Time,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4,BIG W - Make a Little Magic Christmas 60 TVC.mp4
9.2,-0.0125,0.4627,0.7093,0.3486,0.4299,0.3892,0.5198,0.7199,0.6199,0.6527,0.6668,0.6598
9.3,0.0088,0.4633,0.6901,0.3543,0.4291,0.3917,0.5072,0.6865,0.5968,0.6489,0.6729,0.6609
9.4,0.0332,0.4659,0.6686,0.3589,0.4286,0.3937,0.4907,0.6485,0.5696,0.6417,0.6775,0.6596
9.5,0.0603,0.4703,0.6447,0.3619,0.428,0.395,0.4711,0.6072,0.5392,0.6311,0.6801,0.6556
9.6,0.0882,0.476,0.6186,0.3631,0.4272,0.3952,0.4492,0.5642,0.5067,0.6171,0.6801,0.6486
9.7,0.1144,0.4822,0.5906,0.3623,0.4264,0.3944,0.4262,0.5217,0.4739,0.5999,0.6773,0.6386
9.8,0.1359,0.4885,0.5616,0.3598,0.4262,0.393,0.4037,0.4822,0.4429,0.5802,0.6714,0.6258
9.9,0.1499,0.4941,0.533,0.3557,0.427,0.3914,0.3833,0.4482,0.4158,0.559,0.6628,0.6109
10,0.1555,0.4986,0.5061,0.3504,0.4293,0.3898,0.3667,0.4213,0.394,0.5374,0.6522,0.5948
10.1,0.1534,0.5021,0.482,0.3441,0.4331,0.3886,0.3551,0.4021,0.3786,0.5166,0.6406,0.5786
10.2,0.1446,0.5047,0.4615,0.3378,0.4385,0.3882,0.3492,0.3906,0.3699,0.4975,0.6283,0.5629
10.3,0.1299,0.5069,0.4459,0.3325,0.446,0.3892,0.3498,0.3866,0.3682,0.4809,0.6159,0.5484
10.4,0.1097,0.5095,0.4362,0.3288,0.4557,0.3922,0.3578,0.3897,0.3738,0.4682,0.6036,0.5359
10.5,0.0848,0.5134,0.4331,0.3276,0.4673,0.3975,0.3739,0.3991,0.3865,0.46,0.592,0.526
10.6,0.0571,0.5192,0.4365,0.3294,0.4803,0.4049,0.3986,0.4139,0.4062,0.4568,0.5816,0.5192
10.7,0.0291,0.5267,0.4453,0.3348,0.4937,0.4143,0.4317,0.4329,0.4323,0.4584,0.5729,0.5156
10.8,0.0023,0.5358,0.4583,0.3441,0.5072,0.4256,0.4722,0.4555,0.4639,0.4642,0.5657,0.515
10.9,-0.0225,0.5454,0.4744,0.3571,0.5203,0.4387,0.5183,0.4805,0.4994,0.4734,0.5601,0.5168
11,-0.0448,0.5545,0.4925,0.3727,0.5324,0.4526,0.5665,0.5065,0.5365,0.4855,0.5563,0.5209
11.1,-0.0638,0.5617,0.5117,0.3897,0.5427,0.4662,0.6135,0.5316,0.5726,0.5002,0.5551,0.5276
11.2,-0.078,0.5665,0.5312,0.407,0.5502,0.4786,0.6567,0.5544,0.6056,0.5172,0.5572,0.5372
11.3,-0.0862,0.5691,0.5506,0.4246,0.5548,0.4897,0.695,0.5747,0.6348,0.5366,0.563,0.5498
11.4,-0.0883,0.5702,0.5701,0.443,0.5569,0.4999,0.7278,0.5928,0.6603,0.5585,0.5733,0.5659
11.5,-0.085,0.5709,0.59,0.4622,0.5571,0.5096,0.7548,0.6094,0.6821,0.5831,0.5884,0.5858
11.6,-0.0777,0.5716,0.6099,0.4814,0.5555,0.5185,0.7753,0.6242,0.6997,0.6108,0.6086,0.6097
11.7,-0.067,0.5721,0.6294,0.4993,0.5519,0.5256,0.7892,0.6368,0.713,0.6411,0.6333,0.6372
11.8,-0.0528,0.5719,0.6483,0.5146,0.5456,0.5301,0.7972,0.6469,0.722,0.6732,0.6611,0.6672
11.9,-0.0351,0.5704,0.6672,0.5262,0.5364,0.5313,0.8002,0.6545,0.7273,0.7058,0.6903,0.6981
12,-0.0144,0.5674,0.6863,0.5335,0.5245,0.529,0.7986,0.6597,0.7291,0.7371,0.7193,0.7282
12.1,0.008,0.5627,0.7053,0.5356,0.5104,0.523,0.7923,0.6628,0.7275,0.7653,0.7464,0.7558
12.2,0.0314,0.5556,0.7232,0.5318,0.4938,0.5128,0.7812,0.6637,0.7225,0.7894,0.7704,0.7799
12.3,0.0554,0.5458,0.7391,0.5221,0.4745,0.4983,0.7658,0.6628,0.7143,0.8086,0.7908,0.7997
12.4,0.0809,0.5335,0.7523,0.5072,0.453,0.4801,0.7469,0.6606,0.7038,0.8223,0.8071,0.8147
12.5,0.1084,0.5192,0.7621,0.489,0.4305,0.4598,0.7259,0.6575,0.6917,0.8293,0.8184,0.8238
12.6,0.1384,0.5035,0.7673,0.4698,0.4086,0.4392,0.7041,0.6533,0.6787,0.8289,0.8237,0.8263
12.7,0.1711,0.4872,0.7661,0.4512,0.3881,0.4197,0.6828,0.6479,0.6654,0.8215,0.8227,0.8221
12.8,0.2058,0.4709,0.7573,0.4348,0.3699,0.4024,0.6634,0.6412,0.6523,0.8085,0.816,0.8123
12.9,0.2415,0.4554,0.7409,0.4218,0.3545,0.3882,0.6471,0.6339,0.6405,0.792,0.805,0.7985
13,0.277,0.4415,0.7189,0.413,0.3429,0.3779,0.6347,0.6267,0.6307,0.774,0.791,0.7825
13.1,0.3108,0.4295,0.6937,0.409,0.3354,0.3722,0.6264,0.6201,0.6232,0.7554,0.7749,0.7651
13.2,0.3423,0.4196,0.6677,0.4102,0.332,0.3711,0.6227,0.6142,0.6184,0.7368,0.7572,0.747
13.3,0.3711,0.4121,0.6427,0.4167,0.3322,0.3745,0.6239,0.6092,0.6165,0.7182,0.7384,0.7283
13.4,0.3981,0.4071,0.6194,0.4284,0.3354,0.3819,0.6298,0.6052,0.6175,0.6992,0.7192,0.7092
13.5,0.424,0.4049,0.5983,0.4452,0.3412,0.3932,0.6395,0.6024,0.6209,0.6792,0.6997,0.6895
13.6,0.4492,0.4058,0.5798,0.4669,0.3491,0.408,0.6523,0.6007,0.6265,0.6582,0.6808,0.6695
13.7,0.4733,0.4096,0.5644,0.4925,0.3586,0.4255,0.6678,0.6001,0.634,0.6362,0.6626,0.6494
13.8,0.4958,0.4159,0.552,0.5202,0.3688,0.4445,0.6854,0.6007,0.643,0.6134,0.6456,0.6295
13.9,0.5158,0.4241,0.5423,0.5479,0.3793,0.4636,0.7044,0.6026,0.6535,0.5903,0.6303,0.6103
14,0.5324,0.4338,0.535,0.574,0.3897,0.4819,0.7234,0.6064,0.6649,0.5668,0.617,0.5919
14.1,0.5445,0.4444,0.5294,0.5977,0.4004,0.4991,0.7409,0.6124,0.6766,0.5432,0.6063,0.5748
14.2,0.5508,0.4553,0.525,0.6185,0.4112,0.5149,0.7544,0.6202,0.6873,0.5196,0.5979,0.5587
14.3,0.551,0.4662,0.5213,0.6359,0.4219,0.5289,0.7623,0.6294,0.6959,0.4959,0.5913,0.5436
14.4,0.545,0.4769,0.5178,0.6493,0.4323,0.5408,0.7636,0.6396,0.7016,0.4727,0.586,0.5293
14.5,0.5333,0.4873,0.5149,0.6592,0.4422,0.5507,0.759,0.6512,0.7051,0.4509,0.5818,0.5164
14.6,0.5158,0.4978,0.5133,0.6657,0.4519,0.5588,0.7501,0.6643,0.7072,0.4317,0.5789,0.5053
14.7,0.4922,0.5083,0.5138,0.6689,0.4613,0.5651,0.7384,0.6787,0.7086,0.4159,0.5776,0.4968
14.8,0.4624,0.5183,0.5166,0.6679,0.47,0.569,0.7245,0.6933,0.7089,0.4041,0.5785,0.4913
14.9,0.4266,0.5271,0.5216,0.6618,0.477,0.5694,0.7086,0.7067,0.7077,0.3965,0.5818,0.4892
15,0.3856,0.5335,0.5285,0.6498,0.4816,0.5657,0.6912,0.7182,0.7047,0.3931,0.5875,0.4903
15.1,0.3402,0.5366,0.5376,0.6325,0.4835,0.558,0.6731,0.7277,0.7004,0.3933,0.5954,0.4943
15.2,0.291,0.5358,0.5484,0.6108,0.4824,0.5466,0.6558,0.7348,0.6953,0.3966,0.6052,0.5009
15.3,0.2386,0.5306,0.5603,0.5859,0.4786,0.5322,0.6402,0.739,0.6896,0.4024,0.6162,0.5093
15.4,0.1836,0.5208,0.5721,0.5586,0.4724,0.5155,0.6264,0.7398,0.6831,0.4097,0.6274,0.5186
15.5,0.1273,0.5062,0.5832,0.5299,0.4642,0.4971,0.6138,0.7367,0.6753,0.4181,0.6379,0.528
15.6,0.0708,0.4868,0.5934,0.5003,0.4542,0.4773,0.602,0.7298,0.6659,0.4268,0.647,0.5369
15.7,0.0146,0.463,0.6028,0.4706,0.4426,0.4566,0.5907,0.7197,0.6552,0.435,0.6542,0.5446
15.8,-0.0416,0.4348,0.611,0.4411,0.4294,0.4353,0.5807,0.7068,0.6438,0.4419,0.6591,0.5505
15.9,-0.0989,0.4028,0.6175,0.412,0.4149,0.4134,0.5723,0.6916,0.632,0.4466,0.661,0.5538
16,-0.158,0.3674,0.6216,0.3829,0.3993,0.3911,0.5654,0.6744,0.6199,0.4492,0.6597,0.5545
16.1,-0.2181,0.3297,0.6231,0.3539,0.3829,0.3684,0.5592,0.6555,0.6073,0.4504,0.6553,0.5529
16.2,-0.2772,0.291,0.6226,0.3251,0.366,0.3455,0.5531,0.6356,0.5943,0.451,0.6485,0.5497
16.3,-0.333,0.2528,0.6215,0.2968,0.3487,0.3228,0.5473,0.6158,0.5815,0.451,0.64,0.5455
16.4,-0.384,0.2166,0.6218,0.2695,0.3313,0.3004,0.5427,0.5974,0.5701,0.4504,0.6308,0.5406
16.5,-0.4293,0.1835,0.6243,0.2437,0.3142,0.2789,0.5399,0.5816,0.5607,0.4491,0.6215,0.5353
16.6,-0.4681,0.155,0.629,0.2202,0.298,0.2591,0.5386,0.5686,0.5536,0.4471,0.6129,0.53
16.7,-0.4996,0.1324,0.6345,0.1998,0.2838,0.2418,0.538,0.5584,0.5482,0.4448,0.6057,0.5253
16.8,-0.5237,0.1164,0.6395,0.1827,0.2722,0.2275,0.5371,0.5503,0.5437,0.4422,0.6004,0.5213
16.9,-0.5415,0.1073,0.6428,0.1691,0.2637,0.2164,0.5353,0.5432,0.5393,0.4395,0.5967,0.5181
17,-0.555,0.1048,0.6443,0.1587,0.2586,0.2087,0.5321,0.5369,0.5345,0.4368,0.5944,0.5156
17.1,-0.5656,0.1083,0.6444,0.1516,0.257,0.2043,0.5274,0.5311,0.5293,0.4343,0.5936,0.5139
17.2,-0.5733,0.1171,0.6433,0.1475,0.2592,0.2034,0.5208,0.5259,0.5234,0.4324,0.5945,0.5134
17.3,-0.5779,0.1306,0.6415,0.1464,0.2651,0.2058,0.5126,0.5212,0.5169,0.4316,0.5978,0.5147
17.4,-0.5789,0.1479,0.639,0.1482,0.2744,0.2113,0.5029,0.5164,0.5097,0.4322,0.6036,0.5179
17.5,-0.576,0.168,0.6358,0.1526,0.2863,0.2194,0.4921,0.5108,0.5014,0.4344,0.611,0.5227
17.6,-0.5693,0.1896,0.6321,0.1592,0.3002,0.2297,0.48,0.5036,0.4918,0.4382,0.6196,0.5289
17.7,-0.5588,0.2121,0.6289,0.1676,0.3155,0.2415,0.4674,0.495,0.4812,0.4441,0.6293,0.5367
17.8,-0.5447,0.2351,0.6274,0.1769,0.3316,0.2543,0.4554,0.4857,0.4706,0.4523,0.641,0.5466
17.9,-0.528,0.2587,0.6292,0.1864,0.3483,0.2674,0.4457,0.4769,0.4613,0.4634,0.6555,0.5595
18,-0.5102,0.283,0.6344,0.1954,0.3656,0.2805,0.439,0.4691,0.454,0.4773,0.6732,0.5753
18.1,-0.4927,0.3081,0.642,0.2035,0.3836,0.2935,0.4352,0.4621,0.4487,0.4931,0.693,0.593
18.2,-0.4765,0.3334,0.6505,0.2107,0.4022,0.3065,0.4332,0.456,0.4446,0.5096,0.7127,0.6111
18.3,-0.4616,0.3587,0.6584,0.2177,0.4212,0.3195,0.4323,0.4509,0.4416,0.5251,0.7303,0.6277
18.4,-0.4478,0.3842,0.6652,0.2253,0.4401,0.3327,0.4325,0.4479,0.4402,0.5382,0.7439,0.641
18.5,-0.4344,0.4101,0.6702,0.2343,0.4593,0.3468,0.4339,0.4476,0.4407,0.5472,0.7522,0.6497
18.6,-0.4206,0.4367,0.6729,0.2451,0.4789,0.362,0.4365,0.4499,0.4432,0.5507,0.7538,0.6523
18.7,-0.4059,0.4636,0.6731,0.2575,0.4987,0.3781,0.4395,0.4543,0.4469,0.5472,0.7472,0.6472
18.8,-0.3892,0.4904,0.6711,0.2716,0.518,0.3948,0.4419,0.4609,0.4514,0.5363,0.7315,0.6339
18.9,-0.3695,0.5168,0.6678,0.2872,0.5359,0.4115,0.4435,0.4697,0.4566,0.5183,0.707,0.6127
19,-0.3459,0.5431,0.6637,0.3046,0.552,0.4283,0.4446,0.4805,0.4626,0.4948,0.6756,0.5852
19.1,-0.3182,0.5697,0.659,0.3244,0.5665,0.4454,0.4465,0.4931,0.4698,0.4677,0.6398,0.5537
19.2,-0.2868,0.5969,0.654,0.3468,0.5798,0.4633,0.4501,0.5068,0.4785,0.439,0.6024,0.5207
19.3,-0.2522,0.6246,0.6496,0.3719,0.592,0.482,0.4562,0.5215,0.4888,0.4112,0.5661,0.4886
19.4,-0.2147,0.6523,0.6464,0.3993,0.6025,0.5009,0.4647,0.5368,0.5007,0.3866,0.5336,0.4601
19.5,-0.1739,0.6793,0.6451,0.4284,0.6106,0.5195,0.4756,0.5526,0.5141,0.3671,0.5073,0.4372
19.6,-0.1304,0.7053,0.6458,0.4589,0.6158,0.5373,0.4891,0.569,0.529,0.3536,0.4886,0.4211
19.7,-0.0854,0.73,0.6485,0.4903,0.6178,0.5541,0.5053,0.5855,0.5454,0.3459,0.478,0.4119
19.8,-0.0403,0.7531,0.6524,0.5221,0.6167,0.5694,0.5242,0.6014,0.5628,0.3432,0.4751,0.4091
19.9,0.0046,0.7738,0.6561,0.5535,0.6125,0.583,0.545,0.6153,0.5801,0.3449,0.4794,0.4121
20,0.0496,0.7916,0.6581,0.584,0.605,0.5945,0.5673,0.6263,0.5968,0.3506,0.4901,0.4204
20.1,0.0963,0.8058,0.658,0.6131,0.5944,0.6037,0.5914,0.6343,0.6128,0.3598,0.5068,0.4333
20.2,0.1458,0.8165,0.6562,0.6412,0.5812,0.6112,0.6178,0.6399,0.6289,0.3719,0.5293,0.4506
20.3,0.199,0.8239,0.6533,0.6684,0.5664,0.6174,0.6468,0.6441,0.6455,0.3866,0.557,0.4718
20.4,0.2556,0.8284,0.6493,0.6945,0.5511,0.6228,0.6776,0.6476,0.6626,0.4038,0.5892,0.4965
20.5,0.3146,0.8302,0.6443,0.7186,0.5361,0.6274,0.7089,0.651,0.6799,0.4231,0.6246,0.5238
20.6,0.3743,0.8294,0.6383,0.7397,0.5218,0.6308,0.7391,0.6547,0.6969,0.444,0.6617,0.5529
20.7,0.4321,0.8258,0.6312,0.7564,0.5085,0.6324,0.7669,0.6586,0.7128,0.4658,0.6983,0.5821
20.8,0.4852,0.8194,0.623,0.7677,0.4965,0.6321,0.7909,0.6621,0.7265,0.4873,0.7325,0.6099
