Time,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12.4,-0.0863,0.6477,0.9411,0.7347,0.4977,0.6162,0.6595,0.7117,0.6856,0.5205,0.6053,0.5629
12.5,-0.0821,0.6167,0.9578,0.7132,0.4817,0.5974,0.6647,0.7046,0.6847,0.5038,0.6093,0.5565
12.6,-0.0786,0.5831,0.9709,0.6892,0.4647,0.5769,0.6696,0.6964,0.683,0.4899,0.62,0.555
12.7,-0.0743,0.5484,0.9804,0.6641,0.4473,0.5557,0.6744,0.6877,0.6811,0.4801,0.638,0.5591
12.8,-0.0674,0.5139,0.9859,0.6389,0.4303,0.5346,0.6795,0.6799,0.6797,0.4758,0.6629,0.5694
12.9,-0.0576,0.4806,0.9872,0.614,0.4147,0.5144,0.6848,0.6737,0.6793,0.4779,0.6929,0.5854
13,-0.0461,0.4493,0.984,0.5892,0.4008,0.495,0.69,0.6696,0.6798,0.4861,0.7248,0.6055
13.1,-0.035,0.4211,0.9764,0.5645,0.3892,0.4768,0.6946,0.668,0.6813,0.4998,0.7554,0.6276
13.2,-0.0258,0.3976,0.9649,0.541,0.3804,0.4607,0.6984,0.6694,0.6839,0.5182,0.783,0.6506
13.3,-0.019,0.38,0.9506,0.5197,0.3754,0.4476,0.7013,0.6749,0.6881,0.5413,0.8071,0.6742
13.4,-0.0148,0.369,0.9349,0.5016,0.3753,0.4384,0.703,0.685,0.694,0.569,0.828,0.6985
13.5,-0.0135,0.364,0.9192,0.4867,0.3808,0.4338,0.7031,0.6994,0.7012,0.6003,0.8456,0.7229
13.6,-0.0157,0.3638,0.9042,0.4751,0.3919,0.4335,0.7012,0.7165,0.7089,0.6331,0.859,0.7461
13.7,-0.022,0.3673,0.89,0.4664,0.408,0.4372,0.6973,0.7348,0.7161,0.6649,0.8677,0.7663
13.8,-0.0327,0.3739,0.8767,0.461,0.4289,0.4449,0.6913,0.7534,0.7224,0.6942,0.8715,0.7828
13.9,-0.0482,0.3837,0.8646,0.4587,0.4539,0.4563,0.683,0.7722,0.7276,0.7205,0.8709,0.7957
14,-0.0685,0.396,0.8543,0.4595,0.4824,0.4709,0.6723,0.7912,0.7318,0.7435,0.8672,0.8053
14.1,-0.0927,0.4101,0.8459,0.463,0.5126,0.4878,0.6588,0.8103,0.7345,0.7629,0.8612,0.812
14.2,-0.1187,0.4251,0.8393,0.4688,0.5425,0.5056,0.6423,0.829,0.7357,0.7783,0.8536,0.816
14.3,-0.1441,0.4406,0.8338,0.4767,0.5699,0.5233,0.6225,0.8468,0.7347,0.7901,0.8447,0.8174
14.4,-0.1665,0.4565,0.8285,0.4866,0.5935,0.54,0.5998,0.8631,0.7314,0.7986,0.8349,0.8167
14.5,-0.1849,0.4727,0.8226,0.4985,0.6129,0.5557,0.5749,0.8776,0.7263,0.8043,0.8245,0.8144
14.6,-0.1995,0.4889,0.8158,0.5121,0.6279,0.57,0.5494,0.8907,0.72,0.8075,0.8145,0.811
14.7,-0.2106,0.5042,0.8083,0.5268,0.6384,0.5826,0.5247,0.9026,0.7137,0.8086,0.8054,0.807
14.8,-0.2184,0.5174,0.8004,0.5419,0.6442,0.5931,0.5014,0.9139,0.7077,0.808,0.798,0.803
14.9,-0.2227,0.5279,0.7925,0.557,0.6455,0.6012,0.4796,0.9246,0.7021,0.8058,0.7926,0.7992
