Time,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC,Mitre 10 - The Other Hardware Store - Headstrong 15 TVC
1.5,0.0328,0.1399,0.6481,0.1024,0.2212,0.1618,0.1615,0.1914,0.1764,0.4559,0.5616,0.5088
1.6,0.0698,0.1478,0.6477,0.1098,0.2197,0.1648,0.1468,0.1755,0.1612,0.437,0.5398,0.4884
1.7,0.1007,0.154,0.6476,0.1145,0.2166,0.1656,0.1329,0.1594,0.1461,0.4179,0.5163,0.4671
1.8,0.1254,0.1579,0.6474,0.1165,0.2117,0.1641,0.1201,0.143,0.1316,0.3984,0.4913,0.4449
1.9,0.1443,0.1589,0.647,0.1159,0.2049,0.1604,0.1087,0.1264,0.1176,0.378,0.465,0.4215
2,0.1583,0.1576,0.6465,0.1131,0.1959,0.1545,0.0989,0.1098,0.1043,0.3568,0.4376,0.3972
2.1,0.1682,0.1553,0.6462,0.1092,0.1852,0.1472,0.091,0.0932,0.0921,0.3352,0.4097,0.3724
2.2,0.1745,0.1532,0.6458,0.1056,0.1734,0.1395,0.0855,0.0767,0.0811,0.314,0.3821,0.348
2.3,0.1769,0.1522,0.6453,0.1028,0.1617,0.1322,0.083,0.0606,0.0718,0.2941,0.3554,0.3248
2.4,0.1754,0.1522,0.6443,0.1009,0.1507,0.1258,0.0839,0.0453,0.0646,0.276,0.3303,0.3032
2.5,0.1702,0.1527,0.6422,0.0998,0.1411,0.1205,0.0883,0.031,0.0597,0.2598,0.3067,0.2832
2.6,0.1617,0.1537,0.6382,0.0998,0.1333,0.1166,0.0958,0.018,0.0569,0.2452,0.2839,0.2646
2.7,0.1503,0.1555,0.632,0.1018,0.1283,0.1151,0.1058,0.0063,0.0561,0.2323,0.2614,0.2469
2.8,0.1363,0.1588,0.6239,0.1069,0.1267,0.1168,0.1179,-0.0034,0.0573,0.2214,0.2391,0.2302
2.9,0.1205,0.1639,0.615,0.1158,0.1284,0.1221,0.1321,-0.0104,0.0608,0.2129,0.2175,0.2152
3,0.1038,0.1708,0.6063,0.1283,0.1327,0.1305,0.1487,-0.0139,0.0674,0.2073,0.1977,0.2025
3.1,0.0877,0.179,0.5981,0.1439,0.1388,0.1414,0.1678,-0.0133,0.0773,0.2047,0.1808,0.1927
3.2,0.0733,0.1879,0.5903,0.1621,0.146,0.154,0.1893,-0.0088,0.0902,0.205,0.1674,0.1862
3.3,0.0612,0.1971,0.5825,0.1824,0.1542,0.1683,0.2123,-0.0011,0.1056,0.2085,0.1579,0.1832
3.4,0.052,0.2062,0.5746,0.2041,0.1637,0.1839,0.2354,0.0093,0.1224,0.2152,0.1527,0.1839
3.5,0.0466,0.2149,0.5668,0.2267,0.1744,0.2005,0.2573,0.0218,0.1396,0.225,0.152,0.1885
3.6,0.0459,0.2233,0.5592,0.2495,0.1855,0.2175,0.2768,0.0353,0.156,0.237,0.1557,0.1964
3.7,0.0505,0.2317,0.5517,0.2724,0.1963,0.2343,0.2931,0.0492,0.1711,0.2499,0.1634,0.2066
3.8,0.0607,0.2407,0.5443,0.2955,0.2061,0.2508,0.306,0.0633,0.1847,0.2628,0.1747,0.2188
3.9,0.0765,0.2502,0.5372,0.3186,0.2146,0.2666,0.3157,0.0779,0.1968,0.2759,0.1897,0.2328
4,0.0963,0.2604,0.5312,0.3407,0.2218,0.2813,0.3219,0.0931,0.2075,0.2893,0.2091,0.2492
4.1,0.1187,0.271,0.5273,0.3609,0.2276,0.2942,0.3244,0.1084,0.2164,0.3032,0.233,0.2681
4.2,0.1423,0.2817,0.5257,0.3782,0.2317,0.305,0.3223,0.1228,0.2226,0.3171,0.2604,0.2887
4.3,0.1661,0.2923,0.5267,0.392,0.234,0.313,0.3156,0.1357,0.2256,0.3305,0.2897,0.3101
4.4,0.1892,0.3025,0.5302,0.402,0.2347,0.3184,0.3044,0.1467,0.2256,0.3428,0.319,0.3309
4.5,0.2109,0.3121,0.5365,0.4081,0.2339,0.321,0.29,0.1561,0.2231,0.3537,0.3472,0.3504
4.6,0.2309,0.3209,0.5457,0.4102,0.2321,0.3211,0.2737,0.1641,0.2189,0.3631,0.3735,0.3683
4.7,0.2493,0.329,0.5572,0.4087,0.2293,0.319,0.2565,0.1706,0.2136,0.3706,0.3975,0.384
4.8,0.2661,0.3357,0.5699,0.4038,0.226,0.3149,0.2392,0.1751,0.2072,0.3759,0.4182,0.3971
4.9,0.2813,0.3403,0.5826,0.3956,0.222,0.3088,0.2222,0.1773,0.1998,0.379,0.4347,0.4068
5,0.2949,0.3421,0.5942,0.3845,0.2171,0.3008,0.2058,0.1772,0.1915,0.3798,0.4464,0.4131
5.1,0.307,0.3402,0.604,0.3705,0.2108,0.2907,0.19,0.1743,0.1822,0.3788,0.4534,0.4161
5.2,0.3179,0.3343,0.6118,0.3537,0.2028,0.2783,0.1747,0.1684,0.1716,0.376,0.4562,0.4161
5.3,0.3276,0.3245,0.6174,0.3344,0.1928,0.2636,0.1599,0.1592,0.1596,0.3719,0.4554,0.4137
5.4,0.3357,0.3112,0.6206,0.3129,0.181,0.247,0.1457,0.1466,0.1462,0.3668,0.4522,0.4095
5.5,0.341,0.2948,0.6212,0.2894,0.1678,0.2286,0.1323,0.1312,0.1318,0.3607,0.4474,0.404
5.6,0.3422,0.2757,0.6189,0.2641,0.1538,0.209,0.1199,0.1137,0.1168,0.3536,0.4414,0.3975
5.7,0.3385,0.2543,0.6137,0.2379,0.1397,0.1888,0.1086,0.0948,0.1017,0.345,0.4344,0.3897
5.8,0.3293,0.2311,0.6056,0.2119,0.1258,0.1688,0.0987,0.0753,0.087,0.3349,0.4262,0.3806
5.9,0.3144,0.2068,0.5952,0.1876,0.1125,0.15,0.0902,0.0558,0.073,0.3236,0.4169,0.3703
6,0.2936,0.1827,0.5831,0.1666,0.1002,0.1334,0.0836,0.0368,0.0602,0.3115,0.4071,0.3593
6.1,0.2676,0.1601,0.5703,0.1499,0.0895,0.1197,0.0796,0.0187,0.0491,0.2991,0.3973,0.3482
6.2,0.2389,0.1395,0.5577,0.1379,0.081,0.1095,0.0782,0.0021,0.0402,0.2863,0.3879,0.3371
6.3,0.2096,0.1218,0.5456,0.1308,0.0751,0.1029,0.0792,-0.0125,0.0334,0.2729,0.3792,0.326
6.4,0.1812,0.1078,0.5341,0.1284,0.0725,0.1004,0.0818,-0.0248,0.0285,0.2588,0.3713,0.3151
6.5,0.1547,0.0985,0.5231,0.1309,0.0731,0.102,0.0852,-0.0347,0.0252,0.2444,0.3645,0.3044
6.6,0.1311,0.0943,0.5126,0.1376,0.0762,0.1069,0.0887,-0.0427,0.023,0.2299,0.3585,0.2942
6.7,0.1123,0.0954,0.5026,0.1475,0.0807,0.1141,0.092,-0.0491,0.0214,0.2158,0.3532,0.2845
6.8,0.0995,0.1012,0.4937,0.159,0.0855,0.1222,0.095,-0.0544,0.0203,0.2024,0.3483,0.2753
6.9,0.0927,0.1112,0.4861,0.1707,0.0895,0.1301,0.0979,-0.0586,0.0196,0.1903,0.3436,0.2669
7,0.0901,0.1247,0.48,0.1815,0.0919,0.1367,0.1006,-0.0616,0.0195,0.1805,0.339,0.2598
7.1,0.0894,0.1406,0.4757,0.1903,0.0923,0.1413,0.1031,-0.0628,0.0202,0.1744,0.335,0.2547
7.2,0.0882,0.1578,0.4742,0.1962,0.0904,0.1433,0.1059,-0.0616,0.0221,0.1737,0.3323,0.253
7.3,0.0849,0.1748,0.4769,0.1988,0.0861,0.1424,0.1091,-0.0575,0.0258,0.1799,0.3323,0.2561
7.4,0.078,0.191,0.4853,0.1979,0.0799,0.1389,0.113,-0.0498,0.0316,0.194,0.3362,0.2651
7.5,0.0671,0.2067,0.5003,0.1943,0.0727,0.1335,0.1178,-0.0381,0.0399,0.2167,0.3451,0.2809
7.6,0.0522,0.2228,0.5228,0.1888,0.0655,0.1271,0.1235,-0.0218,0.0509,0.2482,0.3595,0.3038
7.7,0.0333,0.2398,0.5531,0.1818,0.0584,0.1201,0.1304,-0.0002,0.0651,0.2886,0.3795,0.3341
7.8,0.0107,0.2574,0.5906,0.1736,0.0513,0.1124,0.1389,0.0273,0.0831,0.3382,0.4052,0.3717
7.9,-0.0165,0.2756,0.6334,0.1648,0.0436,0.1042,0.1496,0.0607,0.1051,0.3965,0.4365,0.4165
8,-0.0496,0.2944,0.6789,0.1562,0.0356,0.0959,0.1626,0.0994,0.131,0.4626,0.473,0.4678
8.1,-0.0891,0.3143,0.7243,0.1491,0.028,0.0885,0.1775,0.1427,0.1601,0.5342,0.5137,0.524
8.2,-0.134,0.3351,0.7677,0.1445,0.0213,0.0829,0.1937,0.1897,0.1917,0.6088,0.5568,0.5828
8.3,-0.182,0.3559,0.8077,0.143,0.0158,0.0794,0.2108,0.2401,0.2255,0.6836,0.6005,0.642
8.4,-0.2308,0.3759,0.8435,0.1444,0.012,0.0782,0.2289,0.2932,0.261,0.7559,0.6434,0.6996
8.5,-0.2788,0.3953,0.875,0.1492,0.0112,0.0802,0.2474,0.3483,0.2978,0.8227,0.6841,0.7534
8.6,-0.3245,0.4147,0.9011,0.1583,0.0151,0.0867,0.2655,0.4037,0.3346,0.8812,0.7206,0.8009
8.7,-0.365,0.4345,0.9211,0.1725,0.0252,0.0989,0.2821,0.4577,0.3699,0.9294,0.7511,0.8403
8.8,-0.3962,0.4538,0.9345,0.1918,0.042,0.1169,0.2962,0.5083,0.4023,0.9663,0.7738,0.8701
8.9,-0.4146,0.4713,0.9416,0.2152,0.0652,0.1402,0.3073,0.5532,0.4302,0.9916,0.7876,0.8896
9,-0.4186,0.4858,0.9435,0.2413,0.094,0.1676,0.3151,0.5905,0.4528,1.0055,0.7918,0.8986
9.1,-0.4092,0.497,0.9413,0.269,0.1278,0.1984,0.3198,0.6193,0.4695,1.0088,0.7868,0.8978
9.2,-0.3883,0.5049,0.9363,0.2969,0.1662,0.2315,0.3215,0.6393,0.4804,1.0028,0.7735,0.8881
9.3,-0.3573,0.5087,0.9298,0.3225,0.2072,0.2649,0.3208,0.6512,0.486,0.9884,0.7541,0.8712
9.4,-0.3175,0.5077,0.9227,0.3433,0.2485,0.2959,0.3179,0.6557,0.4868,0.9669,0.7307,0.8488
9.5,-0.2716,0.5021,0.9151,0.3581,0.2872,0.3226,0.313,0.654,0.4835,0.9395,0.7054,0.8225
9.6,-0.2232,0.4928,0.9069,0.3671,0.3212,0.3441,0.306,0.6469,0.4765,0.9076,0.6801,0.7938
9.7,-0.176,0.4817,0.898,0.3715,0.3488,0.3602,0.2971,0.6353,0.4662,0.8728,0.6562,0.7645
9.8,-0.1322,0.4697,0.8886,0.3724,0.3695,0.371,0.2876,0.6203,0.4539,0.8374,0.635,0.7362
9.9,-0.092,0.4573,0.8795,0.3704,0.3835,0.377,0.2793,0.6032,0.4413,0.8034,0.6179,0.7107
10,-0.0551,0.4452,0.871,0.366,0.3927,0.3794,0.2741,0.5853,0.4297,0.7726,0.6053,0.6889
10.1,-0.0222,0.4342,0.8628,0.3601,0.3996,0.3799,0.2724,0.5676,0.42,0.7456,0.597,0.6713
10.2,0.0046,0.4255,0.855,0.3536,0.4066,0.3801,0.2737,0.5506,0.4121,0.7229,0.5927,0.6578
10.3,0.0235,0.4199,0.8475,0.3475,0.4148,0.3811,0.2774,0.5347,0.406,0.7043,0.5921,0.6482
10.4,0.0341,0.4174,0.8412,0.3423,0.4245,0.3834,0.283,0.5202,0.4016,0.6899,0.5954,0.6426
10.5,0.0374,0.4177,0.8366,0.3389,0.4358,0.3874,0.2906,0.5076,0.3991,0.6791,0.6028,0.641
10.6,0.035,0.4209,0.834,0.3384,0.4487,0.3936,0.2997,0.497,0.3983,0.6718,0.6139,0.6429
10.7,0.0291,0.4274,0.833,0.3416,0.4634,0.4025,0.3088,0.4879,0.3983,0.6672,0.6276,0.6474
10.8,0.0218,0.4378,0.8327,0.3488,0.4794,0.4141,0.3165,0.4793,0.3979,0.6643,0.6422,0.6532
10.9,0.0152,0.4517,0.8319,0.3597,0.4958,0.4278,0.3223,0.4703,0.3963,0.6616,0.6563,0.6589
11,0.0103,0.4679,0.8293,0.3734,0.5114,0.4424,0.3263,0.4607,0.3935,0.6583,0.6687,0.6635
11.1,0.0076,0.4853,0.8242,0.3891,0.5248,0.4569,0.3288,0.4505,0.3897,0.6539,0.679,0.6665
11.2,0.0067,0.503,0.8161,0.4062,0.5354,0.4708,0.3299,0.4396,0.3847,0.6484,0.6871,0.6677
11.3,0.0075,0.521,0.8054,0.4244,0.5432,0.4838,0.3293,0.4273,0.3783,0.6416,0.693,0.6673
11.4,0.0101,0.5387,0.7924,0.443,0.548,0.4955,0.3266,0.4133,0.37,0.633,0.6969,0.665
11.5,0.0146,0.5554,0.7778,0.4608,0.5497,0.5052,0.3226,0.3975,0.36,0.6218,0.6988,0.6603
11.6,0.0213,0.5699,0.762,0.4765,0.5487,0.5126,0.3178,0.3803,0.3491,0.6078,0.6986,0.6532
11.7,0.0297,0.5817,0.7453,0.4899,0.5461,0.518,0.3128,0.3624,0.3376,0.5914,0.6966,0.644
11.8,0.0394,0.5912,0.7281,0.502,0.5432,0.5226,0.3078,0.3442,0.326,0.5732,0.693,0.6331
11.9,0.0509,0.599,0.7106,0.5139,0.5412,0.5275,0.3036,0.326,0.3148,0.5534,0.688,0.6207
12,0.0646,0.6055,0.6928,0.5262,0.5406,0.5334,0.3012,0.3082,0.3047,0.5327,0.6822,0.6074
12.1,0.0802,0.6103,0.6748,0.5391,0.5418,0.5404,0.3018,0.2917,0.2967,0.5118,0.6762,0.594
12.2,0.0965,0.6136,0.6569,0.5526,0.545,0.5488,0.3065,0.2772,0.2918,0.4922,0.6714,0.5818
12.3,0.1129,0.6161,0.6396,0.5672,0.5504,0.5588,0.3163,0.2658,0.2911,0.4757,0.6689,0.5723
12.4,0.1293,0.6188,0.6231,0.5839,0.5579,0.5709,0.3326,0.2589,0.2958,0.4641,0.6696,0.5669
12.5,0.1462,0.6221,0.6074,0.6029,0.5671,0.585,0.3569,0.2579,0.3074,0.4588,0.6739,0.5663
12.6,0.1635,0.6259,0.5924,0.6236,0.5775,0.6006,0.3903,0.2635,0.3269,0.4603,0.6814,0.5708
12.7,0.1799,0.6295,0.5781,0.6448,0.589,0.6169,0.4319,0.2769,0.3544,0.4685,0.6911,0.5798
12.8,0.1936,0.6331,0.5646,0.6652,0.6017,0.6335,0.4791,0.2983,0.3887,0.4826,0.7022,0.5924
12.9,0.2036,0.6371,0.5525,0.6844,0.6162,0.6503,0.5291,0.3283,0.4287,0.5016,0.714,0.6078
13,0.2101,0.6423,0.5429,0.7024,0.6329,0.6676,0.5793,0.3665,0.4729,0.5245,0.7263,0.6254
13.1,0.2148,0.6489,0.5375,0.7189,0.6516,0.6852,0.6278,0.4107,0.5192,0.5504,0.7386,0.6445
13.2,0.2197,0.656,0.5376,0.7333,0.6712,0.7022,0.6716,0.4566,0.5641,0.5771,0.7499,0.6635
13.3,0.2252,0.6625,0.5424,0.7447,0.6901,0.7174,0.707,0.4987,0.6029,0.6019,0.7585,0.6802
13.4,0.2307,0.668,0.5505,0.7528,0.7063,0.7295,0.7312,0.5319,0.6315,0.6218,0.7633,0.6926
13.5,0.2362,0.6724,0.56,0.7577,0.7181,0.7379,0.744,0.5535,0.6488,0.6356,0.7639,0.6997
13.6,0.2427,0.676,0.5697,0.7602,0.724,0.7421,0.7469,0.5636,0.6553,0.6436,0.7607,0.7022
13.7,0.2518,0.6783,0.5797,0.7608,0.7228,0.7418,0.742,0.564,0.653,0.647,0.7547,0.7008
13.8,0.2647,0.6789,0.5905,0.7595,0.7137,0.7366,0.7312,0.5572,0.6442,0.6465,0.7462,0.6964
13.9,0.2815,0.6774,0.6023,0.7558,0.6971,0.7264,0.7162,0.5454,0.6308,0.6429,0.7353,0.6891
14,0.301,0.674,0.6145,0.7491,0.674,0.7115,0.6985,0.5297,0.6141,0.6366,0.7217,0.6791
14.1,0.3217,0.6692,0.6262,0.7383,0.6459,0.6921,0.6796,0.5104,0.595,0.6282,0.7053,0.6667
14.2,0.3417,0.6635,0.6364,0.7226,0.6145,0.6685,0.6607,0.4879,0.5743,0.618,0.6864,0.6522
14.3,0.3584,0.6569,0.6448,0.7016,0.5814,0.6415,0.6424,0.4634,0.5529,0.6062,0.6655,0.6358
14.4,0.3683,0.6492,0.6518,0.6752,0.5481,0.6116,0.6253,0.4386,0.532,0.5933,0.6436,0.6185
14.5,0.3688,0.6403,0.6584,0.6432,0.5161,0.5796,0.6098,0.415,0.5124,0.5803,0.6219,0.6011
14.6,0.3586,0.6296,0.6652,0.6059,0.4858,0.5458,0.5966,0.3932,0.4949,0.5683,0.6011,0.5847
14.7,0.3375,0.6163,0.6723,0.5637,0.4574,0.5105,0.5863,0.3734,0.4798,0.5581,0.5818,0.57
14.8,0.3067,0.5998,0.6794,0.5177,0.4314,0.4745,0.5794,0.3558,0.4676,0.5496,0.5639,0.5568
14.9,0.268,0.5803,0.686,0.4697,0.4091,0.4394,0.5761,0.3413,0.4587,0.5424,0.5464,0.5444
