Time,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC,Optus - Network Transparency 15 TVC
3.4,0.4035,0.7048,0.3877,0.7929,0.7707,0.7818,0.8781,0.6672,0.7726,0.6985,0.4536,0.576
3.5,0.3965,0.6998,0.4163,0.7887,0.7703,0.7795,0.872,0.6661,0.769,0.7263,0.4649,0.5956
3.6,0.3858,0.696,0.4422,0.7855,0.7694,0.7774,0.8632,0.661,0.7621,0.7516,0.4757,0.6137
3.7,0.3741,0.6945,0.4656,0.7842,0.7688,0.7765,0.8514,0.653,0.7522,0.7735,0.4858,0.6296
3.8,0.3619,0.696,0.4866,0.7854,0.7692,0.7773,0.8364,0.6427,0.7396,0.7917,0.4946,0.6432
3.9,0.3479,0.7013,0.5051,0.7895,0.7714,0.7804,0.8186,0.6313,0.7249,0.8064,0.502,0.6542
4,0.3298,0.7109,0.5214,0.7968,0.7761,0.7864,0.7981,0.6202,0.7092,0.8177,0.5081,0.6629
4.1,0.307,0.7249,0.536,0.8073,0.784,0.7957,0.7753,0.611,0.6931,0.8258,0.5135,0.6696
4.2,0.2809,0.7432,0.5493,0.8206,0.7955,0.8081,0.7503,0.6045,0.6774,0.831,0.5185,0.6747
4.3,0.2532,0.7652,0.5605,0.8358,0.8103,0.823,0.7233,0.6006,0.6619,0.8339,0.5235,0.6787
4.4,0.2242,0.7895,0.5694,0.8512,0.8272,0.8392,0.6945,0.5982,0.6464,0.8347,0.5285,0.6816
4.5,0.1936,0.8147,0.5761,0.8659,0.8449,0.8554,0.6645,0.5967,0.6306,0.8334,0.5334,0.6834
4.6,0.162,0.8395,0.5813,0.8793,0.8626,0.871,0.6341,0.5957,0.6149,0.8296,0.5381,0.6838
4.7,0.1313,0.8631,0.5857,0.891,0.8795,0.8853,0.6043,0.5954,0.5998,0.823,0.5429,0.683
4.8,0.104,0.8843,0.59,0.9007,0.8951,0.8979,0.5764,0.5962,0.5863,0.8139,0.5486,0.6813
4.9,0.0824,0.9023,0.5947,0.9084,0.9087,0.9086,0.5519,0.599,0.5755,0.8035,0.5559,0.6797
5,0.0674,0.9167,0.6005,0.9141,0.9202,0.9171,0.5328,0.6046,0.5687,0.7929,0.5652,0.679
5.1,0.0587,0.9275,0.6075,0.9181,0.9293,0.9237,0.5209,0.6139,0.5674,0.7825,0.5762,0.6793
5.2,0.056,0.9347,0.6153,0.9205,0.9356,0.9281,0.5168,0.6273,0.572,0.7725,0.5875,0.68
5.3,0.0587,0.9382,0.6226,0.9215,0.939,0.9302,0.5202,0.6439,0.582,0.7628,0.5976,0.6802
5.4,0.0662,0.9388,0.6283,0.9212,0.9393,0.9303,0.5301,0.6628,0.5964,0.7535,0.6054,0.6794
5.5,0.0771,0.9376,0.6321,0.9199,0.9366,0.9283,0.5458,0.6832,0.6145,0.7446,0.6103,0.6775
5.6,0.0901,0.9356,0.6339,0.918,0.9311,0.9246,0.5668,0.705,0.6359,0.7358,0.6122,0.674
5.7,0.1038,0.933,0.6337,0.916,0.9227,0.9193,0.592,0.7277,0.6598,0.7266,0.611,0.6688
5.8,0.1181,0.9297,0.6311,0.9139,0.911,0.9125,0.62,0.7499,0.685,0.7164,0.6066,0.6615
5.9,0.1328,0.9257,0.625,0.912,0.8961,0.9041,0.6498,0.7706,0.7102,0.7052,0.5989,0.6521
6,0.1477,0.9211,0.6146,0.9105,0.8782,0.8944,0.6806,0.7888,0.7347,0.6933,0.5886,0.6409
6.1,0.1625,0.9163,0.5997,0.9095,0.8581,0.8838,0.7117,0.8038,0.7577,0.6808,0.5767,0.6288
6.2,0.1769,0.9119,0.5814,0.9094,0.8365,0.8729,0.7421,0.8153,0.7787,0.6682,0.5644,0.6163
6.3,0.1912,0.9083,0.5608,0.9107,0.8136,0.8622,0.771,0.8231,0.7971,0.6556,0.5529,0.6043
6.4,0.206,0.9056,0.5388,0.9136,0.7898,0.8517,0.7981,0.8274,0.8128,0.6436,0.5429,0.5932
6.5,0.2212,0.9036,0.5163,0.9185,0.7655,0.842,0.8238,0.8286,0.8262,0.6326,0.5342,0.5834
6.6,0.2361,0.9024,0.4943,0.9252,0.7416,0.8334,0.8485,0.8272,0.8378,0.6227,0.5269,0.5748
6.7,0.2493,0.9021,0.4738,0.9339,0.7196,0.8268,0.8722,0.8233,0.8477,0.6139,0.5214,0.5677
6.8,0.2589,0.9028,0.4554,0.9448,0.7016,0.8232,0.8947,0.8169,0.8558,0.6055,0.518,0.5618
6.9,0.2638,0.905,0.4389,0.9582,0.6892,0.8237,0.9157,0.8079,0.8618,0.5971,0.5166,0.5568
7,0.2632,0.9091,0.4236,0.9745,0.6832,0.8288,0.9347,0.7958,0.8652,0.5885,0.5166,0.5526
7.1,0.2559,0.9148,0.4089,0.9928,0.6836,0.8382,0.9516,0.7804,0.866,0.58,0.5174,0.5487
7.2,0.2404,0.9211,0.3947,1.0116,0.6898,0.8507,0.9665,0.7618,0.8642,0.5721,0.5192,0.5457
7.3,0.2169,0.9269,0.3819,1.029,0.7008,0.8649,0.9791,0.7408,0.86,0.5658,0.5227,0.5443
7.4,0.1871,0.9317,0.3711,1.0444,0.7162,0.8803,0.9894,0.7188,0.8541,0.5623,0.5284,0.5454
7.5,0.1533,0.9354,0.3627,1.0577,0.7361,0.8969,0.9973,0.6972,0.8473,0.5627,0.5363,0.5495
7.6,0.1171,0.938,0.3568,1.0695,0.7599,0.9147,1.003,0.6765,0.8398,0.5668,0.5455,0.5562
7.7,0.0789,0.9393,0.3533,1.0803,0.7861,0.9332,1.0063,0.6569,0.8316,0.5738,0.5546,0.5642
7.8,0.0382,0.9387,0.3528,1.0899,0.813,0.9514,1.0071,0.6385,0.8228,0.5821,0.5621,0.5721
7.9,-0.0046,0.9361,0.3561,1.0976,0.839,0.9683,1.0056,0.6219,0.8137,0.5908,0.5665,0.5786
8,-0.0482,0.932,0.3636,1.1028,0.8631,0.9829,1.0025,0.6082,0.8053,0.5992,0.5666,0.5829
8.1,-0.0912,0.9271,0.3751,1.1049,0.8842,0.9946,0.9983,0.5979,0.7981,0.607,0.5612,0.5841
8.2,-0.1324,0.9215,0.3898,1.1039,0.902,1.003,0.9938,0.591,0.7924,0.6136,0.5497,0.5817
8.3,-0.1711,0.9159,0.4077,1.1005,0.9166,1.0085,0.9891,0.5868,0.788,0.6185,0.5325,0.5755
8.4,-0.2064,0.9111,0.4285,1.0951,0.9281,1.0116,0.9845,0.5851,0.7848,0.6214,0.5108,0.5661
8.5,-0.2373,0.9075,0.4513,1.0883,0.9367,1.0125,0.98,0.5852,0.7826,0.6225,0.4859,0.5542
8.6,-0.2624,0.9049,0.4747,1.0801,0.9418,1.0109,0.9755,0.5867,0.7811,0.6218,0.4586,0.5402
8.7,-0.2798,0.9026,0.4964,1.0705,0.943,1.0068,0.9712,0.5889,0.7801,0.6191,0.4298,0.5244
8.8,-0.2876,0.9006,0.5151,1.0599,0.94,1,0.9672,0.5917,0.7794,0.6135,0.4003,0.5069
8.9,-0.2848,0.8988,0.5304,1.0488,0.9329,0.9908,0.9634,0.5949,0.7792,0.6048,0.3712,0.488
9,-0.2712,0.8971,0.5418,1.0373,0.9214,0.9794,0.9595,0.5983,0.7789,0.593,0.3439,0.4684
9.1,-0.2478,0.8945,0.5487,1.0255,0.9055,0.9655,0.9548,0.6011,0.7779,0.5788,0.3191,0.4489
9.2,-0.2155,0.8903,0.5499,1.013,0.8853,0.9491,0.9491,0.6023,0.7757,0.5627,0.297,0.4298
9.3,-0.1742,0.8844,0.5453,0.9999,0.8619,0.9309,0.9427,0.6013,0.772,0.5451,0.2775,0.4113
9.4,-0.1238,0.8773,0.536,0.9868,0.8373,0.912,0.9359,0.5978,0.7668,0.5266,0.2608,0.3937
9.5,-0.0648,0.8698,0.5234,0.9748,0.8134,0.8941,0.9286,0.592,0.7603,0.5075,0.2471,0.3773
9.6,0.0009,0.8621,0.5083,0.9653,0.7921,0.8787,0.9216,0.5844,0.753,0.4885,0.2362,0.3623
9.7,0.0713,0.8546,0.4906,0.9595,0.775,0.8673,0.9161,0.5755,0.7458,0.47,0.2276,0.3488
9.8,0.145,0.8475,0.4696,0.9577,0.7632,0.8604,0.9126,0.5653,0.739,0.4521,0.2209,0.3365
9.9,0.2201,0.841,0.4453,0.9597,0.7573,0.8585,0.9106,0.5534,0.732,0.435,0.2158,0.3254
10,0.2937,0.8353,0.418,0.9659,0.7582,0.862,0.9088,0.5394,0.7241,0.4188,0.2127,0.3157
10.1,0.3628,0.8303,0.3885,0.977,0.7667,0.8718,0.9065,0.5235,0.715,0.4036,0.2117,0.3076
10.2,0.4253,0.8258,0.3572,0.993,0.7829,0.888,0.9035,0.5071,0.7053,0.3898,0.2129,0.3013
10.3,0.4804,0.8212,0.3242,1.0123,0.805,0.9086,0.9003,0.4912,0.6957,0.378,0.2157,0.2968
10.4,0.527,0.8157,0.2902,1.0321,0.8303,0.9312,0.8966,0.4766,0.6866,0.3693,0.2199,0.2946
10.5,0.5635,0.8089,0.2563,1.0496,0.8569,0.9533,0.8924,0.4638,0.6781,0.3651,0.2259,0.2955
10.6,0.5878,0.8012,0.2243,1.063,0.8839,0.9734,0.8875,0.4538,0.6707,0.3668,0.2338,0.3003
10.7,0.5981,0.7939,0.196,1.0714,0.9108,0.9911,0.8813,0.4478,0.6646,0.3755,0.2438,0.3097
10.8,0.594,0.7883,0.1725,1.0749,0.9371,1.006,0.8731,0.4468,0.66,0.3903,0.2551,0.3227
10.9,0.5757,0.7852,0.1544,1.0735,0.9614,1.0174,0.8622,0.4502,0.6562,0.4094,0.2667,0.338
11,0.545,0.7844,0.142,1.0665,0.9813,1.0239,0.8482,0.4564,0.6523,0.4301,0.2777,0.3539
11.1,0.5044,0.7851,0.1352,1.0538,0.9948,1.0243,0.8317,0.4638,0.6478,0.4508,0.2878,0.3693
11.2,0.4565,0.7863,0.1338,1.035,1.0004,1.0177,0.8128,0.4714,0.6421,0.4706,0.2968,0.3837
11.3,0.4046,0.7873,0.1375,1.0104,0.9978,1.0041,0.7915,0.4785,0.635,0.4891,0.3046,0.3969
11.4,0.352,0.7877,0.146,0.9809,0.9864,0.9836,0.7676,0.4844,0.626,0.5056,0.3109,0.4082
11.5,0.3009,0.7867,0.1583,0.948,0.966,0.957,0.7409,0.4883,0.6146,0.519,0.3157,0.4173
11.6,0.2531,0.7844,0.1738,0.9131,0.9373,0.9252,0.7122,0.49,0.6011,0.5288,0.3196,0.4242
11.7,0.2101,0.7811,0.191,0.8777,0.9009,0.8893,0.6828,0.4896,0.5862,0.5352,0.3232,0.4292
11.8,0.1726,0.777,0.2082,0.8422,0.8574,0.8498,0.6538,0.487,0.5704,0.5378,0.326,0.4319
11.9,0.1414,0.7721,0.2234,0.8069,0.807,0.807,0.6257,0.4815,0.5536,0.5359,0.3269,0.4314
12,0.1174,0.7658,0.2349,0.7721,0.7508,0.7615,0.5991,0.4732,0.5361,0.5288,0.3249,0.4268
12.1,0.0997,0.758,0.2426,0.7382,0.6913,0.7148,0.5747,0.4627,0.5187,0.516,0.3196,0.4178
12.2,0.087,0.7493,0.2473,0.7055,0.6315,0.6685,0.553,0.451,0.502,0.4982,0.3114,0.4048
12.3,0.0771,0.7406,0.2502,0.6739,0.5745,0.6242,0.5338,0.439,0.4864,0.4766,0.3009,0.3887
12.4,0.0685,0.7326,0.2515,0.6439,0.5226,0.5833,0.5174,0.427,0.4722,0.4529,0.288,0.3704
12.5,0.0615,0.7259,0.2511,0.6166,0.4777,0.5471,0.5049,0.4156,0.4602,0.4284,0.273,0.3507
12.6,0.0578,0.721,0.2492,0.5932,0.4409,0.5171,0.4976,0.4055,0.4516,0.4046,0.2562,0.3304
12.7,0.0587,0.7185,0.2467,0.575,0.4129,0.4939,0.4965,0.3976,0.447,0.3828,0.2382,0.3105
12.8,0.0638,0.7186,0.2447,0.5623,0.3934,0.4778,0.501,0.3928,0.4469,0.3635,0.2197,0.2916
12.9,0.0715,0.7208,0.2439,0.5548,0.3813,0.468,0.5102,0.3915,0.4509,0.3465,0.201,0.2737
13,0.0798,0.7241,0.2441,0.5513,0.3748,0.4631,0.5237,0.3936,0.4586,0.3316,0.1828,0.2572
13.1,0.0876,0.7282,0.2449,0.5506,0.3723,0.4615,0.5409,0.3985,0.4697,0.3191,0.1665,0.2428
13.2,0.0941,0.733,0.2466,0.5519,0.3731,0.4625,0.5614,0.4058,0.4836,0.3099,0.1535,0.2317
13.3,0.0978,0.7385,0.25,0.5557,0.377,0.4664,0.5843,0.4152,0.4997,0.3042,0.1453,0.2248
13.4,0.0977,0.7449,0.2557,0.5626,0.3845,0.4735,0.6089,0.4267,0.5178,0.302,0.1426,0.2223
13.5,0.0931,0.7515,0.2635,0.5726,0.3949,0.4837,0.6346,0.4403,0.5374,0.3029,0.1456,0.2242
13.6,0.0845,0.7575,0.2725,0.5844,0.4069,0.4957,0.6606,0.455,0.5578,0.3067,0.1537,0.2302
13.7,0.0723,0.7618,0.2819,0.5967,0.4196,0.5082,0.686,0.47,0.578,0.3137,0.1668,0.2402
13.8,0.0571,0.7637,0.2913,0.6087,0.4329,0.5208,0.7096,0.4846,0.5971,0.3243,0.1855,0.2549
13.9,0.0398,0.7628,0.3003,0.6201,0.4472,0.5336,0.7306,0.4984,0.6145,0.3388,0.2104,0.2746
14,0.0222,0.7592,0.3086,0.6309,0.4624,0.5466,0.7482,0.5108,0.6295,0.357,0.2413,0.2991
14.1,0.0071,0.7533,0.3157,0.6412,0.4775,0.5594,0.7616,0.5211,0.6413,0.3776,0.2771,0.3273
14.2,-0.0024,0.7453,0.3212,0.6513,0.4909,0.5711,0.7705,0.5282,0.6493,0.3992,0.3164,0.3578
14.3,-0.0043,0.7353,0.3246,0.6616,0.5013,0.5814,0.7748,0.5316,0.6532,0.4206,0.358,0.3893
14.4,0.0014,0.7234,0.3259,0.6728,0.5087,0.5908,0.7754,0.5313,0.6534,0.441,0.4007,0.4209
14.5,0.0137,0.7102,0.3251,0.6854,0.5143,0.5998,0.773,0.5282,0.6506,0.46,0.4437,0.4519
14.6,0.0324,0.6964,0.3226,0.6996,0.5187,0.6092,0.768,0.523,0.6455,0.4775,0.4854,0.4814
14.7,0.0587,0.6829,0.3185,0.7152,0.522,0.6186,0.7608,0.5158,0.6383,0.4925,0.5238,0.5081
14.8,0.0931,0.6697,0.313,0.7315,0.5233,0.6274,0.752,0.5065,0.6293,0.5039,0.5571,0.5305
14.9,0.1348,0.6569,0.3068,0.7483,0.5224,0.6353,0.7426,0.4952,0.6189,0.5113,0.5847,0.548
