Time,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12.5,-0.0124,0.5169,0.5375,0.3446,0.5132,0.4289,0.5821,0.5488,0.5654,0.6452,0.6518,0.6485
12.6,-0.0237,0.4973,0.5082,0.3279,0.5014,0.4147,0.5647,0.5413,0.553,0.6247,0.6363,0.6305
12.7,-0.0371,0.4813,0.4792,0.3129,0.4927,0.4028,0.5473,0.5353,0.5413,0.6024,0.6207,0.6116
12.8,-0.0525,0.4692,0.4507,0.3003,0.4872,0.3938,0.53,0.5303,0.5302,0.5788,0.6057,0.5922
12.9,-0.0699,0.4613,0.4231,0.2909,0.485,0.388,0.513,0.5256,0.5193,0.5543,0.5914,0.5728
13,-0.0882,0.4575,0.397,0.2847,0.4856,0.3852,0.4962,0.5198,0.508,0.5295,0.5776,0.5535
13.1,-0.1061,0.4575,0.373,0.2818,0.4883,0.3851,0.4797,0.512,0.4958,0.5053,0.5644,0.5349
13.2,-0.1223,0.4613,0.352,0.2819,0.4924,0.3872,0.4639,0.5022,0.4831,0.483,0.5522,0.5176
13.3,-0.1364,0.4685,0.3346,0.2846,0.4972,0.3909,0.4498,0.4911,0.4705,0.4634,0.5413,0.5023
13.4,-0.1483,0.4783,0.3211,0.29,0.502,0.396,0.438,0.4787,0.4584,0.4469,0.5322,0.4895
13.5,-0.1583,0.4901,0.3115,0.2978,0.5059,0.4019,0.4285,0.4646,0.4465,0.4336,0.5249,0.4793
13.6,-0.1662,0.5026,0.3053,0.3075,0.5075,0.4075,0.4205,0.448,0.4343,0.4236,0.519,0.4713
13.7,-0.1718,0.5141,0.3018,0.3178,0.5058,0.4118,0.4132,0.4287,0.421,0.417,0.5141,0.4656
13.8,-0.175,0.5228,0.3006,0.3274,0.5,0.4137,0.4061,0.4069,0.4065,0.4142,0.5099,0.4621
13.9,-0.1765,0.5268,0.301,0.3347,0.4899,0.4123,0.3991,0.3829,0.391,0.4155,0.5067,0.4611
14,-0.1778,0.5243,0.3026,0.3376,0.4752,0.4064,0.3921,0.3569,0.3745,0.4211,0.5042,0.4627
14.1,-0.1799,0.5139,0.3044,0.3347,0.4555,0.3951,0.3849,0.3295,0.3572,0.4309,0.5016,0.4662
14.2,-0.1826,0.4954,0.3055,0.3251,0.4306,0.3779,0.3771,0.3014,0.3392,0.4442,0.4978,0.471
14.3,-0.1852,0.4701,0.306,0.3101,0.4014,0.3558,0.369,0.2735,0.3213,0.461,0.4925,0.4768
14.4,-0.1861,0.4408,0.306,0.2925,0.3704,0.3315,0.3616,0.247,0.3043,0.4809,0.4865,0.4837
14.5,-0.1836,0.4104,0.3063,0.2759,0.34,0.3079,0.3557,0.2227,0.2892,0.5033,0.4811,0.4922
14.6,-0.1764,0.381,0.3068,0.2622,0.3123,0.2872,0.3523,0.2016,0.277,0.5275,0.4772,0.5023
14.7,-0.1647,0.354,0.3077,0.252,0.2884,0.2702,0.3518,0.1844,0.2681,0.5524,0.4749,0.5137
14.8,-0.1501,0.3307,0.3092,0.2453,0.2694,0.2573,0.3542,0.1721,0.2632,0.5768,0.4741,0.5255
14.9,-0.1348,0.3123,0.3119,0.2418,0.256,0.2489,0.3599,0.1658,0.2628,0.5995,0.4744,0.537
