Time,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC,Lexus - Encore 30 TVC
6.5,-0.1997,0.5479,0.6026,0.3675,0.4814,0.4244,0.73,0.9194,0.8247,0.6894,0.6744,0.6819
6.6,-0.2132,0.584,0.6035,0.3795,0.5332,0.4564,0.7337,0.9292,0.8314,0.6924,0.6686,0.6805
6.7,-0.2229,0.62,0.6107,0.3934,0.5817,0.4876,0.7349,0.9371,0.836,0.6966,0.6647,0.6806
6.8,-0.2276,0.6556,0.6237,0.4099,0.6274,0.5186,0.7345,0.9434,0.839,0.7015,0.6621,0.6818
6.9,-0.2269,0.6903,0.6401,0.4298,0.6703,0.55,0.7331,0.9478,0.8405,0.7067,0.6596,0.6831
7,-0.222,0.7238,0.6565,0.4543,0.7096,0.582,0.7308,0.9493,0.84,0.7115,0.6563,0.6839
7.1,-0.2148,0.7557,0.6701,0.4844,0.7442,0.6143,0.7276,0.946,0.8368,0.7155,0.6521,0.6838
7.2,-0.2077,0.7859,0.6792,0.5198,0.7735,0.6466,0.7238,0.9367,0.8303,0.7182,0.647,0.6826
7.3,-0.202,0.8137,0.6831,0.5585,0.7968,0.6777,0.7202,0.9203,0.8203,0.7189,0.6415,0.6802
7.4,-0.1971,0.8381,0.6805,0.5978,0.814,0.7059,0.7171,0.8966,0.8069,0.7169,0.6353,0.6761
7.5,-0.1914,0.8578,0.67,0.635,0.8256,0.7303,0.7145,0.8655,0.79,0.7114,0.6284,0.6699
7.6,-0.183,0.8711,0.6511,0.6675,0.8327,0.7501,0.7122,0.827,0.7696,0.7021,0.6203,0.6612
7.7,-0.1705,0.8771,0.6244,0.6936,0.8363,0.7649,0.71,0.7813,0.7456,0.6889,0.6109,0.6499
7.8,-0.1537,0.8761,0.5913,0.7128,0.8375,0.7752,0.7081,0.7294,0.7187,0.6724,0.5997,0.636
7.9,-0.1318,0.8691,0.5531,0.7254,0.8364,0.7809,0.7063,0.6729,0.6896,0.6521,0.5863,0.6192
8,-0.104,0.8571,0.5114,0.7324,0.8324,0.7824,0.7045,0.614,0.6593,0.6281,0.5709,0.5995
8.1,-0.0708,0.8413,0.4679,0.7353,0.8252,0.7803,0.7024,0.555,0.6287,0.601,0.5537,0.5774
8.2,-0.0346,0.8225,0.4249,0.7349,0.8149,0.7749,0.7001,0.4982,0.5991,0.5722,0.5359,0.5541
8.3,0.0009,0.8018,0.3844,0.7307,0.8022,0.7664,0.6978,0.4456,0.5717,0.5436,0.5191,0.5314
8.4,0.033,0.7802,0.3473,0.722,0.7874,0.7547,0.6962,0.3985,0.5474,0.5167,0.5041,0.5104
8.5,0.0612,0.7583,0.3139,0.7086,0.7706,0.7396,0.6953,0.3573,0.5263,0.4923,0.4912,0.4918
8.6,0.0868,0.7367,0.2835,0.691,0.7515,0.7212,0.695,0.3215,0.5083,0.4704,0.4807,0.4756
8.7,0.111,0.7157,0.2561,0.6702,0.7304,0.7003,0.6951,0.2905,0.4928,0.451,0.4728,0.4619
8.8,0.1346,0.6955,0.2323,0.6472,0.7082,0.6777,0.6954,0.2638,0.4796,0.4346,0.4679,0.4512
8.9,0.1577,0.6758,0.2126,0.6226,0.685,0.6538,0.6956,0.2413,0.4685,0.4212,0.4663,0.4438
9,0.1804,0.6564,0.1976,0.5971,0.6608,0.629,0.6954,0.2234,0.4594,0.4112,0.4683,0.4398
9.1,0.2019,0.6374,0.1869,0.5714,0.6355,0.6035,0.6947,0.2106,0.4527,0.4045,0.4741,0.4393
9.2,0.2205,0.6187,0.1803,0.5465,0.6098,0.5781,0.6935,0.2034,0.4485,0.4009,0.4835,0.4422
9.3,0.2349,0.6009,0.178,0.5236,0.5846,0.5541,0.692,0.2021,0.447,0.4001,0.4969,0.4485
9.4,0.2451,0.5843,0.1805,0.5036,0.5608,0.5322,0.6904,0.207,0.4487,0.4024,0.5144,0.4584
9.5,0.2523,0.5695,0.1887,0.487,0.5387,0.5128,0.6889,0.2186,0.4537,0.4078,0.536,0.4719
9.6,0.2575,0.5574,0.2031,0.4741,0.5182,0.4961,0.6874,0.2369,0.4621,0.4164,0.5614,0.4889
9.7,0.2609,0.5482,0.2239,0.4649,0.4996,0.4823,0.6856,0.262,0.4738,0.4282,0.59,0.5091
9.8,0.2621,0.542,0.2511,0.4595,0.4837,0.4716,0.6832,0.2935,0.4884,0.4432,0.6207,0.5319
9.9,0.2603,0.5383,0.2838,0.4574,0.4719,0.4646,0.6805,0.3303,0.5054,0.4613,0.6522,0.5568
10,0.255,0.5371,0.32,0.4578,0.465,0.4614,0.6776,0.3709,0.5242,0.4825,0.6829,0.5827
10.1,0.2462,0.5383,0.3578,0.4603,0.4631,0.4617,0.6753,0.4136,0.5445,0.5057,0.7113,0.6085
10.2,0.2338,0.5417,0.3957,0.465,0.4656,0.4653,0.6741,0.4575,0.5658,0.5301,0.7363,0.6332
10.3,0.2178,0.547,0.4337,0.4717,0.4712,0.4714,0.6745,0.5024,0.5885,0.5542,0.7578,0.656
10.4,0.1987,0.5533,0.4729,0.4796,0.4783,0.479,0.6764,0.5483,0.6124,0.5771,0.776,0.6765
10.5,0.1769,0.5595,0.5137,0.4875,0.4855,0.4865,0.6791,0.5943,0.6367,0.5979,0.7911,0.6945
10.6,0.1534,0.5645,0.5558,0.4939,0.4916,0.4927,0.6816,0.6388,0.6602,0.6166,0.8032,0.7099
10.7,0.1281,0.5674,0.5978,0.4979,0.4962,0.4971,0.6831,0.6805,0.6818,0.6328,0.8118,0.7223
10.8,0.1002,0.5677,0.6383,0.4985,0.4996,0.499,0.683,0.7184,0.7007,0.6458,0.8166,0.7312
10.9,0.069,0.565,0.6767,0.4946,0.5021,0.4983,0.6812,0.7526,0.7169,0.655,0.8173,0.7361
11,0.0339,0.5589,0.7131,0.4854,0.5042,0.4948,0.6777,0.7835,0.7306,0.6598,0.8139,0.7368
11.1,-0.0049,0.5498,0.7463,0.4714,0.5063,0.4888,0.6726,0.8108,0.7417,0.6603,0.8066,0.7334
11.2,-0.0463,0.5383,0.7744,0.4537,0.5087,0.4812,0.6658,0.8338,0.7498,0.6568,0.7957,0.7262
11.3,-0.0888,0.5253,0.7955,0.4337,0.5116,0.4726,0.6571,0.8518,0.7545,0.6498,0.7818,0.7158
11.4,-0.1302,0.5114,0.8086,0.4125,0.5153,0.4639,0.6461,0.8643,0.7552,0.6403,0.7659,0.7031
11.5,-0.1688,0.4972,0.8141,0.3908,0.5195,0.4552,0.6329,0.871,0.7519,0.6293,0.7488,0.6891
11.6,-0.2026,0.4828,0.8125,0.3691,0.5241,0.4466,0.6176,0.8717,0.7446,0.6181,0.7313,0.6747
11.7,-0.2298,0.4687,0.804,0.3475,0.5288,0.4382,0.6007,0.8664,0.7335,0.6075,0.7141,0.6608
11.8,-0.2491,0.4549,0.7885,0.3272,0.5333,0.4303,0.5826,0.8549,0.7188,0.5982,0.6976,0.6479
11.9,-0.2601,0.4418,0.7669,0.3093,0.5375,0.4234,0.5639,0.8376,0.7008,0.5906,0.6817,0.6362
12,-0.2633,0.4296,0.7407,0.2944,0.5417,0.418,0.5447,0.8153,0.68,0.5851,0.6665,0.6258
12.1,-0.2599,0.4185,0.7123,0.2828,0.5461,0.4145,0.5254,0.7892,0.6573,0.5825,0.6522,0.6173
12.2,-0.2508,0.4091,0.6839,0.2748,0.5512,0.413,0.5065,0.761,0.6337,0.5839,0.6395,0.6117
12.3,-0.2366,0.402,0.6567,0.2709,0.5567,0.4138,0.4885,0.7323,0.6104,0.5905,0.6296,0.61
12.4,-0.2172,0.3981,0.6317,0.2718,0.5629,0.4174,0.4724,0.7044,0.5884,0.6027,0.6232,0.613
12.5,-0.1928,0.398,0.6095,0.2779,0.5696,0.4237,0.4589,0.6783,0.5686,0.6205,0.6207,0.6206
12.6,-0.1635,0.4018,0.5905,0.2886,0.5769,0.4328,0.4484,0.6545,0.5514,0.6437,0.6213,0.6325
12.7,-0.13,0.4093,0.575,0.3031,0.5845,0.4438,0.4413,0.6338,0.5376,0.6718,0.6246,0.6482
12.8,-0.0931,0.4197,0.5632,0.3205,0.5919,0.4562,0.4379,0.6168,0.5274,0.7041,0.6303,0.6672
12.9,-0.0538,0.4325,0.5545,0.34,0.5986,0.4693,0.4381,0.6037,0.5209,0.7391,0.6381,0.6886
13,-0.0135,0.4468,0.5488,0.3612,0.6042,0.4827,0.4414,0.5944,0.5179,0.7745,0.6472,0.7108
13.1,0.0257,0.4623,0.5461,0.3837,0.6088,0.4963,0.4476,0.589,0.5183,0.8075,0.6566,0.732
13.2,0.0617,0.4783,0.5463,0.407,0.6125,0.5097,0.4566,0.5874,0.522,0.8365,0.6652,0.7508
13.3,0.0925,0.4945,0.5491,0.4307,0.6148,0.5227,0.4688,0.5895,0.5291,0.8604,0.6723,0.7663
13.4,0.1165,0.5104,0.554,0.4541,0.6149,0.5345,0.484,0.595,0.5395,0.8788,0.6776,0.7782
13.5,0.1324,0.5257,0.5607,0.4768,0.6123,0.5446,0.5017,0.6033,0.5525,0.8915,0.6811,0.7863
13.6,0.1388,0.5392,0.5689,0.4978,0.6069,0.5523,0.5205,0.6133,0.5669,0.8985,0.6826,0.7906
13.7,0.1357,0.5499,0.5783,0.5161,0.599,0.5575,0.539,0.6239,0.5815,0.9003,0.6825,0.7914
13.8,0.1244,0.557,0.588,0.5311,0.5894,0.5602,0.5561,0.6337,0.5949,0.898,0.6809,0.7894
13.9,0.107,0.5604,0.5968,0.5431,0.5789,0.561,0.5711,0.6415,0.6063,0.8931,0.6781,0.7856
14,0.0853,0.5606,0.6034,0.5525,0.5685,0.5605,0.5839,0.6468,0.6154,0.8864,0.6741,0.7803
14.1,0.0609,0.5583,0.607,0.5589,0.5591,0.559,0.5945,0.6498,0.6222,0.8784,0.669,0.7737
14.2,0.0356,0.5536,0.6076,0.5619,0.551,0.5565,0.6032,0.6507,0.627,0.8692,0.6628,0.766
14.3,0.0122,0.547,0.6052,0.5619,0.5442,0.553,0.6102,0.6497,0.63,0.8593,0.6557,0.7575
14.4,-0.0063,0.5393,0.5997,0.5604,0.5381,0.5493,0.6159,0.6467,0.6313,0.8493,0.648,0.7487
14.5,-0.0176,0.5324,0.5906,0.5592,0.5326,0.5459,0.6205,0.6416,0.6311,0.8396,0.6397,0.7397
14.6,-0.0209,0.5282,0.5781,0.5589,0.5277,0.5433,0.6245,0.6346,0.6296,0.8304,0.6309,0.7307
14.7,-0.0161,0.5279,0.5631,0.559,0.5237,0.5413,0.628,0.6263,0.6271,0.8218,0.6222,0.722
14.8,-0.0031,0.5313,0.5468,0.5593,0.5198,0.5395,0.6312,0.6174,0.6243,0.814,0.6146,0.7143
14.9,0.0183,0.5371,0.5298,0.5599,0.515,0.5374,0.6342,0.6082,0.6212,0.8072,0.6087,0.708
15,0.0474,0.5441,0.5122,0.561,0.5087,0.5348,0.6369,0.5993,0.6181,0.8016,0.605,0.7033
15.1,0.082,0.5522,0.4946,0.5624,0.501,0.5317,0.6387,0.5908,0.6147,0.7969,0.6029,0.6999
15.2,0.1194,0.5615,0.478,0.5636,0.4926,0.5281,0.6394,0.5833,0.6113,0.7925,0.6016,0.697
15.3,0.1567,0.5727,0.4641,0.5641,0.4847,0.5244,0.6389,0.5775,0.6082,0.7879,0.601,0.6945
15.4,0.1924,0.5856,0.4543,0.564,0.4776,0.5208,0.6374,0.5739,0.6056,0.7831,0.6014,0.6922
15.5,0.2257,0.5995,0.4488,0.5634,0.4714,0.5174,0.6351,0.5724,0.6037,0.7779,0.6029,0.6904
15.6,0.2562,0.6137,0.4472,0.5626,0.4661,0.5144,0.6323,0.573,0.6026,0.772,0.6053,0.6886
15.7,0.2832,0.6274,0.4489,0.5613,0.4617,0.5115,0.6292,0.575,0.6021,0.7646,0.6075,0.6861
15.8,0.3058,0.6401,0.4531,0.5591,0.4584,0.5088,0.6251,0.5781,0.6016,0.7546,0.6084,0.6815
15.9,0.3232,0.6507,0.459,0.5559,0.4561,0.506,0.6198,0.5814,0.6006,0.7414,0.6069,0.6742
16,0.3348,0.6579,0.4661,0.5515,0.4542,0.5029,0.6133,0.5842,0.5988,0.7247,0.6028,0.6637
16.1,0.3406,0.661,0.4738,0.5457,0.4524,0.499,0.6055,0.5861,0.5958,0.7048,0.5961,0.6505
16.2,0.3408,0.6593,0.4815,0.5385,0.4502,0.4944,0.5965,0.5865,0.5915,0.6817,0.5873,0.6345
16.3,0.3356,0.6531,0.4885,0.5304,0.4475,0.489,0.5862,0.5848,0.5855,0.6553,0.5768,0.6161
16.4,0.3264,0.6428,0.4943,0.5223,0.444,0.4831,0.5753,0.5806,0.578,0.626,0.565,0.5955
16.5,0.3152,0.6288,0.4987,0.5146,0.4398,0.4772,0.5646,0.5736,0.5691,0.5954,0.5527,0.574
16.6,0.3043,0.6115,0.5018,0.5075,0.4353,0.4714,0.5555,0.5638,0.5596,0.5653,0.5407,0.553
16.7,0.2955,0.5911,0.504,0.5008,0.4305,0.4656,0.5485,0.5514,0.5499,0.5374,0.5304,0.5339
16.8,0.2903,0.5683,0.5054,0.4946,0.4253,0.46,0.5436,0.5371,0.5404,0.5126,0.5227,0.5177
16.9,0.2899,0.5436,0.5063,0.4891,0.4196,0.4544,0.5401,0.5215,0.5308,0.4918,0.5186,0.5052
17,0.2959,0.518,0.5069,0.485,0.4129,0.4489,0.5377,0.5052,0.5214,0.4764,0.519,0.4977
17.1,0.31,0.492,0.5076,0.4828,0.4051,0.4439,0.5364,0.4888,0.5126,0.4682,0.5247,0.4964
17.2,0.3327,0.4671,0.5094,0.4835,0.396,0.4397,0.5367,0.4736,0.5051,0.4682,0.5368,0.5025
17.3,0.3626,0.4449,0.5132,0.4879,0.3855,0.4367,0.5392,0.4608,0.5,0.4771,0.5557,0.5164
17.4,0.3973,0.4271,0.52,0.4963,0.3733,0.4348,0.5441,0.4516,0.4979,0.4948,0.5807,0.5378
17.5,0.4346,0.4149,0.53,0.5088,0.3593,0.4341,0.5514,0.4467,0.4991,0.5206,0.611,0.5658
17.6,0.4741,0.409,0.5432,0.5261,0.3435,0.4348,0.561,0.4465,0.5037,0.5534,0.6454,0.5994
17.7,0.5155,0.4097,0.5592,0.5486,0.3269,0.4378,0.5727,0.4509,0.5118,0.5915,0.6823,0.6369
17.8,0.5577,0.4172,0.5772,0.5759,0.3104,0.4432,0.5865,0.4597,0.5231,0.6332,0.7198,0.6765
17.9,0.5973,0.431,0.5962,0.6059,0.2948,0.4504,0.6019,0.4719,0.5369,0.6769,0.7561,0.7165
18,0.6296,0.4495,0.6152,0.6356,0.2805,0.458,0.6184,0.4866,0.5525,0.7215,0.7899,0.7557
18.1,0.6508,0.4705,0.6331,0.6624,0.2674,0.4649,0.6351,0.5023,0.5687,0.766,0.8201,0.793
18.2,0.6594,0.4918,0.6487,0.6851,0.2558,0.4705,0.6509,0.5177,0.5843,0.8086,0.8458,0.8272
18.3,0.6551,0.5117,0.6608,0.7032,0.246,0.4746,0.6643,0.5315,0.5979,0.8476,0.8657,0.8566
18.4,0.6377,0.5299,0.6684,0.7161,0.2383,0.4772,0.674,0.5423,0.6082,0.881,0.8786,0.8798
18.5,0.6075,0.5464,0.6711,0.723,0.2324,0.4777,0.6793,0.5486,0.614,0.9074,0.8839,0.8956
18.6,0.5658,0.5602,0.6685,0.7237,0.2281,0.4759,0.6799,0.5493,0.6146,0.9263,0.8813,0.9038
18.7,0.5161,0.5701,0.6595,0.719,0.2246,0.4718,0.6763,0.5434,0.6098,0.9379,0.8713,0.9046
18.8,0.4623,0.5754,0.6432,0.7103,0.2216,0.466,0.6686,0.5304,0.5995,0.9427,0.8538,0.8983
18.9,0.4077,0.576,0.6192,0.6984,0.2193,0.4589,0.6568,0.511,0.5839,0.9407,0.8288,0.8847
19,0.3545,0.5732,0.5882,0.684,0.2179,0.4509,0.6413,0.4864,0.5638,0.9316,0.7967,0.8641
19.1,0.3047,0.5681,0.5518,0.6676,0.2176,0.4426,0.6229,0.4584,0.5407,0.916,0.7588,0.8374
19.2,0.2601,0.5614,0.5119,0.6504,0.2181,0.4343,0.6036,0.4284,0.516,0.8953,0.7175,0.8064
19.3,0.2218,0.5532,0.4705,0.6333,0.219,0.4261,0.585,0.3978,0.4914,0.8714,0.6754,0.7734
19.4,0.1894,0.5437,0.4293,0.616,0.2199,0.4179,0.5685,0.368,0.4682,0.8459,0.6349,0.7404
19.5,0.1614,0.533,0.3893,0.598,0.2207,0.4094,0.5544,0.3402,0.4473,0.8191,0.5973,0.7082
19.6,0.1365,0.5215,0.3518,0.579,0.2224,0.4007,0.5424,0.3157,0.4291,0.7911,0.5633,0.6772
19.7,0.1149,0.5099,0.3176,0.56,0.2255,0.3927,0.5324,0.2953,0.4138,0.762,0.5331,0.6476
19.8,0.0974,0.4985,0.2881,0.5421,0.2309,0.3865,0.5245,0.2796,0.402,0.7323,0.5075,0.6199
19.9,0.0846,0.4878,0.2638,0.5261,0.2389,0.3825,0.5192,0.2691,0.3942,0.703,0.4867,0.5948
20,0.0754,0.4781,0.2448,0.5117,0.2498,0.3807,0.5167,0.2641,0.3904,0.6749,0.4706,0.5727
20.1,0.0677,0.4699,0.2303,0.4986,0.2636,0.3811,0.5167,0.2644,0.3906,0.6479,0.4588,0.5534
20.2,0.0593,0.4633,0.2199,0.4866,0.2806,0.3836,0.5183,0.2695,0.3939,0.6222,0.4502,0.5362
20.3,0.0489,0.4581,0.2136,0.4764,0.3008,0.3886,0.5209,0.2789,0.3999,0.5981,0.4445,0.5213
20.4,0.0358,0.4541,0.2118,0.4683,0.3238,0.396,0.5243,0.2924,0.4084,0.5767,0.4418,0.5092
20.5,0.0194,0.451,0.2152,0.4623,0.349,0.4056,0.5286,0.3103,0.4194,0.5587,0.4425,0.5006
20.6,-0.0005,0.4489,0.2233,0.4572,0.3756,0.4164,0.5333,0.3322,0.4327,0.5443,0.4465,0.4954
20.7,-0.0231,0.4473,0.2343,0.4521,0.4024,0.4273,0.538,0.3564,0.4472,0.5331,0.4524,0.4928
20.8,-0.0463,0.4457,0.2458,0.4466,0.4277,0.4371,0.5415,0.3805,0.461,0.5245,0.4591,0.4918
20.9,-0.068,0.4432,0.256,0.4402,0.4498,0.445,0.5433,0.4024,0.4728,0.5176,0.4652,0.4914
21,-0.0875,0.4392,0.2642,0.4325,0.4677,0.4501,0.5429,0.4205,0.4817,0.5121,0.4699,0.491
21.1,-0.1053,0.4334,0.2697,0.4227,0.4813,0.452,0.5401,0.4338,0.4869,0.5079,0.4728,0.4903
21.2,-0.1213,0.4259,0.2718,0.4102,0.4902,0.4502,0.5347,0.4417,0.4882,0.505,0.4732,0.4891
21.3,-0.1353,0.4164,0.2701,0.3947,0.4937,0.4442,0.5262,0.444,0.4851,0.5027,0.4714,0.4871
