Time,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7.2,0.0654,0.4623,0.4664,0.3784,0.4138,0.3961,0.4572,0.5526,0.5049,0.3622,0.2689,0.3155
7.3,0.059,0.4453,0.4556,0.373,0.3915,0.3822,0.46,0.5502,0.5051,0.3692,0.275,0.3221
7.4,0.0506,0.4303,0.4485,0.3687,0.3722,0.3705,0.4635,0.5481,0.5058,0.3763,0.2822,0.3293
7.5,0.0387,0.4169,0.4444,0.365,0.3559,0.3605,0.4668,0.5463,0.5065,0.3831,0.2902,0.3366
7.6,0.0219,0.4045,0.4423,0.3609,0.3422,0.3516,0.4693,0.5447,0.507,0.3894,0.2988,0.3441
7.7,0.0004,0.3926,0.4416,0.3553,0.3308,0.343,0.4705,0.5433,0.5069,0.3952,0.3079,0.3516
7.8,-0.0241,0.3804,0.4415,0.3472,0.3213,0.3343,0.4702,0.5424,0.5063,0.4001,0.3171,0.3586
7.9,-0.0501,0.3677,0.4413,0.3364,0.3135,0.3249,0.4681,0.5417,0.5049,0.4038,0.3258,0.3648
8,-0.0766,0.3545,0.4405,0.3233,0.3068,0.315,0.4643,0.5411,0.5027,0.4063,0.3339,0.3701
8.1,-0.1035,0.3413,0.4392,0.3087,0.3018,0.3052,0.4594,0.5408,0.5001,0.4084,0.3414,0.3749
8.2,-0.1305,0.3288,0.438,0.2937,0.2994,0.2965,0.4541,0.5409,0.4975,0.4107,0.3483,0.3795
8.3,-0.1563,0.3178,0.4376,0.2791,0.3006,0.2899,0.449,0.5416,0.4953,0.4133,0.3549,0.3841
8.4,-0.1793,0.3087,0.4382,0.2656,0.3059,0.2857,0.4444,0.5428,0.4936,0.4161,0.3613,0.3887
8.5,-0.1976,0.3013,0.4398,0.2538,0.3145,0.2842,0.44,0.5441,0.4921,0.419,0.3674,0.3932
8.6,-0.2113,0.2957,0.4427,0.2443,0.3257,0.285,0.4359,0.5456,0.4907,0.422,0.3734,0.3977
8.7,-0.2208,0.2919,0.4468,0.2371,0.339,0.2881,0.4322,0.5475,0.4898,0.4254,0.3791,0.4023
8.8,-0.2272,0.2905,0.4522,0.2325,0.3552,0.2938,0.4294,0.5502,0.4898,0.4294,0.3847,0.4071
