Time,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC,Virgin Money Smoking Hot Rate 15 TVC
2.1,-0.0822,0.457,0.6266,0.55,0.5685,0.5592,0.4579,0.4493,0.4536,0.1249,0.1963,0.1606
2.2,-0.1092,0.4592,0.655,0.5244,0.5822,0.5533,0.4368,0.4494,0.4431,0.142,0.2184,0.1802
2.3,-0.1294,0.46,0.68,0.4964,0.5912,0.5438,0.4156,0.4489,0.4323,0.1567,0.2393,0.198
2.4,-0.1436,0.4599,0.6997,0.4677,0.5956,0.5316,0.3957,0.4482,0.4219,0.1681,0.258,0.213
2.5,-0.1522,0.4601,0.7128,0.4403,0.5966,0.5184,0.3783,0.4472,0.4128,0.1765,0.2738,0.2252
2.6,-0.1552,0.4617,0.7187,0.4159,0.5954,0.5056,0.3639,0.4458,0.4049,0.183,0.2866,0.2348
2.7,-0.1531,0.4654,0.7176,0.3956,0.593,0.4943,0.3525,0.4435,0.398,0.1886,0.2965,0.2426
2.8,-0.147,0.4717,0.71,0.3801,0.5898,0.485,0.3444,0.4402,0.3923,0.1937,0.3036,0.2487
2.9,-0.1374,0.4809,0.6967,0.3702,0.5861,0.4782,0.34,0.4362,0.3881,0.1979,0.3075,0.2527
3,-0.1245,0.4935,0.6788,0.3669,0.5822,0.4745,0.34,0.4314,0.3857,0.2011,0.3079,0.2545
3.1,-0.1078,0.5094,0.6577,0.3708,0.5786,0.4747,0.3443,0.4257,0.385,0.2035,0.3049,0.2542
3.2,-0.087,0.5279,0.6348,0.3821,0.5753,0.4787,0.3522,0.4188,0.3855,0.2053,0.2994,0.2523
3.3,-0.0627,0.5479,0.6113,0.4,0.5721,0.486,0.3627,0.4108,0.3868,0.2067,0.2922,0.2495
3.4,-0.0358,0.5685,0.5879,0.4232,0.569,0.4961,0.3752,0.4022,0.3887,0.2075,0.2844,0.246
3.5,-0.0069,0.5892,0.5653,0.4505,0.5667,0.5086,0.3895,0.3933,0.3914,0.2075,0.2765,0.242
3.6,0.0234,0.6095,0.544,0.4806,0.5655,0.5231,0.4054,0.3844,0.3949,0.2069,0.269,0.2379
3.7,0.054,0.6289,0.525,0.5126,0.5657,0.5391,0.4228,0.3765,0.3997,0.2068,0.2627,0.2348
3.8,0.0835,0.6465,0.5088,0.5453,0.567,0.5562,0.4415,0.37,0.4058,0.2081,0.2585,0.2333
3.9,0.1106,0.6619,0.4953,0.5782,0.5694,0.5738,0.4612,0.3647,0.413,0.211,0.2568,0.2339
4,0.1332,0.6753,0.4842,0.6101,0.5727,0.5914,0.481,0.3601,0.4205,0.2154,0.2578,0.2366
4.1,0.1498,0.6865,0.4751,0.6394,0.5766,0.608,0.4994,0.3556,0.4275,0.221,0.2614,0.2412
4.2,0.16,0.6949,0.4674,0.6641,0.581,0.6225,0.5153,0.3508,0.433,0.2276,0.2663,0.247
4.3,0.1637,0.6995,0.4612,0.6831,0.5848,0.634,0.5276,0.3453,0.4364,0.2352,0.2714,0.2533
4.4,0.1603,0.6997,0.4564,0.696,0.5874,0.6417,0.5359,0.339,0.4374,0.2436,0.2757,0.2597
4.5,0.1496,0.6957,0.4526,0.7031,0.5882,0.6456,0.5398,0.3319,0.4359,0.2526,0.2795,0.2661
4.6,0.1323,0.6883,0.4496,0.7047,0.5867,0.6457,0.5396,0.324,0.4318,0.2618,0.2833,0.2726
4.7,0.1097,0.6781,0.4468,0.7015,0.5831,0.6423,0.5356,0.3151,0.4253,0.2714,0.2874,0.2794
4.8,0.0835,0.6653,0.4438,0.6937,0.5774,0.6356,0.528,0.3052,0.4166,0.2813,0.2915,0.2864
4.9,0.055,0.6498,0.4405,0.6818,0.5699,0.6259,0.517,0.2946,0.4058,0.2906,0.2951,0.2928
5,0.0249,0.6314,0.4369,0.6661,0.5604,0.6132,0.5027,0.2837,0.3932,0.2986,0.2978,0.2982
5.1,-0.0061,0.6105,0.4333,0.6466,0.5484,0.5975,0.4851,0.2729,0.379,0.3046,0.2997,0.3021
5.2,-0.0372,0.5873,0.4302,0.6235,0.5335,0.5785,0.464,0.2622,0.3631,0.308,0.3012,0.3046
5.3,-0.0665,0.5619,0.428,0.5975,0.5153,0.5564,0.4397,0.2518,0.3457,0.3089,0.3026,0.3057
5.4,-0.0927,0.5343,0.4264,0.5696,0.4945,0.532,0.4126,0.2415,0.3271,0.3075,0.3038,0.3056
5.5,-0.1152,0.5045,0.4242,0.5404,0.4718,0.5061,0.3837,0.2317,0.3077,0.3035,0.3044,0.304
5.6,-0.1343,0.4729,0.4207,0.5103,0.4482,0.4793,0.3543,0.2228,0.2885,0.2968,0.304,0.3004
5.7,-0.1497,0.4405,0.4157,0.48,0.4249,0.4524,0.326,0.2156,0.2708,0.2869,0.3029,0.2949
5.8,-0.1601,0.4084,0.4098,0.4503,0.4025,0.4264,0.2995,0.211,0.2552,0.2739,0.3009,0.2874
5.9,-0.1638,0.3774,0.4031,0.4222,0.3817,0.402,0.2751,0.2088,0.242,0.258,0.2981,0.278
6,-0.1594,0.3482,0.3955,0.3964,0.363,0.3797,0.2529,0.2091,0.231,0.2395,0.2946,0.267
6.1,-0.1467,0.3215,0.3869,0.3732,0.3472,0.3602,0.234,0.2123,0.2231,0.219,0.2903,0.2546
6.2,-0.1265,0.2982,0.3781,0.3531,0.3352,0.3442,0.2194,0.219,0.2192,0.1967,0.285,0.2409
6.3,-0.1002,0.2793,0.3703,0.3365,0.3277,0.3321,0.21,0.2295,0.2197,0.1732,0.2788,0.226
6.4,-0.0703,0.2655,0.365,0.3233,0.3246,0.324,0.2058,0.2438,0.2248,0.1498,0.272,0.2109
6.5,-0.04,0.2566,0.3627,0.3128,0.3251,0.3189,0.2063,0.2613,0.2338,0.1283,0.2654,0.1969
6.6,-0.0111,0.2522,0.3639,0.3039,0.3285,0.3162,0.2107,0.2816,0.2462,0.1106,0.26,0.1853
6.7,0.0149,0.2522,0.3693,0.2962,0.3339,0.315,0.2192,0.3042,0.2617,0.0983,0.2562,0.1772
6.8,0.037,0.2563,0.3791,0.2898,0.3407,0.3152,0.232,0.3286,0.2803,0.0922,0.2539,0.1731
6.9,0.0536,0.2645,0.3932,0.2848,0.3483,0.3166,0.2491,0.3534,0.3013,0.0923,0.2527,0.1725
7,0.063,0.276,0.4108,0.2813,0.3559,0.3186,0.2701,0.3775,0.3238,0.0983,0.2521,0.1752
7.1,0.0652,0.2903,0.4308,0.279,0.3632,0.3211,0.2935,0.4002,0.3469,0.1096,0.2523,0.181
7.2,0.0623,0.3066,0.4521,0.2781,0.3701,0.3241,0.3178,0.4209,0.3694,0.1258,0.2532,0.1895
7.3,0.057,0.3247,0.4741,0.2793,0.376,0.3277,0.3415,0.4389,0.3902,0.1464,0.2551,0.2008
7.4,0.0509,0.3437,0.4962,0.2827,0.3799,0.3313,0.3635,0.4539,0.4087,0.1713,0.2582,0.2147
7.5,0.0446,0.3624,0.5178,0.2884,0.3808,0.3346,0.3829,0.4658,0.4244,0.2,0.2626,0.2313
7.6,0.0385,0.3798,0.5379,0.2962,0.3786,0.3374,0.3996,0.4749,0.4372,0.2322,0.2688,0.2505
7.7,0.032,0.3956,0.5559,0.3064,0.3737,0.3401,0.4132,0.4817,0.4474,0.2673,0.2772,0.2723
7.8,0.025,0.4101,0.5716,0.3191,0.3672,0.3432,0.4236,0.4867,0.4552,0.3049,0.2882,0.2965
7.9,0.0173,0.4237,0.5855,0.334,0.3599,0.347,0.4309,0.4905,0.4607,0.3444,0.302,0.3232
8,0.0094,0.4364,0.5977,0.3502,0.3519,0.3511,0.4353,0.4937,0.4645,0.3853,0.3185,0.3519
8.1,0.0018,0.4473,0.6084,0.3662,0.3432,0.3547,0.4371,0.4968,0.467,0.4266,0.3372,0.3819
8.2,-0.0048,0.4552,0.6169,0.3809,0.3333,0.3571,0.4367,0.5001,0.4684,0.4667,0.3574,0.412
8.3,-0.0098,0.4594,0.623,0.3933,0.3218,0.3575,0.4343,0.5036,0.469,0.5046,0.3785,0.4416
8.4,-0.013,0.4597,0.6265,0.4032,0.3085,0.3558,0.4304,0.507,0.4687,0.5406,0.4006,0.4706
8.5,-0.0145,0.4566,0.6271,0.4109,0.2934,0.3521,0.4249,0.51,0.4674,0.5747,0.4238,0.4993
8.6,-0.015,0.4506,0.6244,0.417,0.2769,0.3469,0.4181,0.5127,0.4654,0.6064,0.4478,0.5271
8.7,-0.0155,0.442,0.6181,0.4218,0.2598,0.3408,0.4104,0.5153,0.4628,0.6352,0.4716,0.5534
8.8,-0.0161,0.4314,0.6082,0.4256,0.2429,0.3342,0.402,0.5176,0.4598,0.6607,0.4945,0.5776
8.9,-0.0161,0.4198,0.595,0.4285,0.227,0.3278,0.3932,0.5195,0.4564,0.6824,0.5153,0.5989
9,-0.0148,0.4085,0.579,0.4312,0.2128,0.322,0.3845,0.5205,0.4525,0.6999,0.5335,0.6167
9.1,-0.0121,0.3986,0.5615,0.4342,0.2013,0.3177,0.3763,0.5206,0.4485,0.7125,0.5486,0.6306
9.2,-0.0087,0.3909,0.5437,0.4378,0.193,0.3154,0.3691,0.5199,0.4445,0.7202,0.5608,0.6405
9.3,-0.006,0.3851,0.5264,0.4415,0.1887,0.3151,0.363,0.5184,0.4407,0.7232,0.5703,0.6468
9.4,-0.0057,0.381,0.5102,0.4444,0.1894,0.3169,0.3584,0.5157,0.437,0.7225,0.5772,0.6498
9.5,-0.0098,0.3779,0.4964,0.4458,0.1958,0.3208,0.3548,0.5116,0.4332,0.7186,0.5814,0.65
9.6,-0.0198,0.3753,0.4853,0.4458,0.2085,0.3271,0.3516,0.5055,0.4285,0.7119,0.5829,0.6474
9.7,-0.0356,0.3722,0.4773,0.4447,0.2267,0.3357,0.3481,0.4967,0.4224,0.7028,0.5822,0.6425
9.8,-0.0556,0.3676,0.472,0.4433,0.2488,0.3461,0.3446,0.4855,0.4151,0.692,0.5799,0.636
9.9,-0.0763,0.3611,0.4695,0.4425,0.2733,0.3579,0.3419,0.4724,0.4072,0.6805,0.5764,0.6285
10,-0.0932,0.3536,0.47,0.4439,0.2985,0.3712,0.3411,0.4582,0.3997,0.669,0.5719,0.6205
10.1,-0.1028,0.3468,0.4741,0.4485,0.3234,0.386,0.3431,0.444,0.3936,0.6574,0.5665,0.6119
10.2,-0.105,0.3415,0.483,0.4561,0.3464,0.4012,0.3481,0.4307,0.3894,0.6451,0.5606,0.6029
10.3,-0.1008,0.3379,0.4976,0.4659,0.3661,0.416,0.3557,0.4188,0.3873,0.6317,0.5549,0.5933
10.4,-0.0897,0.335,0.517,0.4774,0.3811,0.4292,0.3648,0.4086,0.3867,0.6173,0.5499,0.5836
10.5,-0.0699,0.3317,0.5403,0.49,0.3908,0.4404,0.3744,0.4004,0.3874,0.6021,0.5459,0.574
10.6,-0.0419,0.3276,0.5659,0.5033,0.3956,0.4495,0.3839,0.3947,0.3893,0.5866,0.5428,0.5647
10.7,-0.0098,0.3226,0.5935,0.5164,0.3962,0.4563,0.3936,0.3921,0.3928,0.5715,0.5409,0.5562
10.8,0.0206,0.3165,0.6227,0.528,0.3938,0.4609,0.4037,0.3934,0.3985,0.5571,0.5402,0.5486
10.9,0.0456,0.3089,0.6523,0.5368,0.3895,0.4632,0.4136,0.3985,0.406,0.5431,0.5403,0.5417
11,0.0649,0.2997,0.6805,0.5421,0.3848,0.4635,0.4221,0.4069,0.4145,0.5296,0.5408,0.5352
11.1,0.0788,0.2898,0.7063,0.5436,0.381,0.4623,0.4282,0.4182,0.4232,0.5167,0.5415,0.5291
11.2,0.0871,0.2804,0.7296,0.5421,0.3788,0.4604,0.4318,0.4326,0.4322,0.5042,0.5427,0.5234
11.3,0.09,0.272,0.7505,0.5384,0.3779,0.4581,0.4334,0.4501,0.4417,0.4927,0.545,0.5188
11.4,0.089,0.2646,0.769,0.5337,0.3778,0.4558,0.4337,0.4709,0.4523,0.4823,0.5485,0.5154
11.5,0.0856,0.2578,0.7849,0.5285,0.3788,0.4536,0.4333,0.4943,0.4638,0.4729,0.5527,0.5128
11.6,0.0797,0.2517,0.7982,0.5225,0.3812,0.4519,0.4326,0.5195,0.476,0.4644,0.5575,0.511
11.7,0.0699,0.2471,0.8098,0.5157,0.3857,0.4507,0.4312,0.5458,0.4885,0.4576,0.5631,0.5104
11.8,0.0547,0.2447,0.8201,0.5083,0.3928,0.4506,0.4289,0.5724,0.5006,0.4529,0.5703,0.5116
11.9,0.0329,0.2453,0.8295,0.5012,0.403,0.4521,0.4258,0.5986,0.5122,0.4509,0.5793,0.5151
12,0.0042,0.2493,0.8378,0.495,0.4166,0.4558,0.422,0.6239,0.5229,0.4514,0.5897,0.5206
12.1,-0.0307,0.2572,0.8445,0.4905,0.4339,0.4622,0.4179,0.6475,0.5327,0.4544,0.6013,0.5279
12.2,-0.0713,0.2697,0.8492,0.4885,0.4548,0.4717,0.4138,0.669,0.5414,0.4599,0.6139,0.5369
12.3,-0.117,0.2868,0.8524,0.4898,0.479,0.4844,0.4105,0.6886,0.5496,0.4681,0.6279,0.548
12.4,-0.1674,0.3085,0.8544,0.4949,0.5058,0.5003,0.4089,0.7067,0.5578,0.4791,0.6438,0.5615
12.5,-0.2211,0.3343,0.8556,0.5035,0.5345,0.519,0.4096,0.7234,0.5665,0.4933,0.6617,0.5775
12.6,-0.2771,0.3636,0.8562,0.5152,0.5647,0.54,0.4126,0.7388,0.5757,0.5101,0.6811,0.5956
12.7,-0.335,0.3965,0.856,0.5288,0.596,0.5624,0.4181,0.7527,0.5854,0.5295,0.7012,0.6154
12.8,-0.3942,0.4325,0.8549,0.5433,0.6274,0.5854,0.4262,0.765,0.5956,0.5514,0.7217,0.6365
12.9,-0.4526,0.471,0.8532,0.5582,0.6585,0.6084,0.4373,0.7757,0.6065,0.5758,0.7421,0.6589
13,-0.5068,0.511,0.8508,0.5735,0.6892,0.6314,0.4513,0.785,0.6181,0.6019,0.762,0.6819
13.1,-0.5541,0.5512,0.8483,0.5891,0.7194,0.6543,0.4676,0.7933,0.6305,0.6283,0.7807,0.7045
13.2,-0.5938,0.5904,0.8463,0.604,0.7484,0.6762,0.4858,0.8008,0.6433,0.6539,0.7982,0.726
13.3,-0.6255,0.6274,0.846,0.6174,0.7751,0.6962,0.5052,0.8076,0.6564,0.6776,0.8142,0.7459
13.4,-0.649,0.6613,0.8477,0.6285,0.7988,0.7136,0.5253,0.8136,0.6695,0.6986,0.8285,0.7636
13.5,-0.665,0.6908,0.8514,0.6364,0.8187,0.7276,0.5451,0.8189,0.682,0.7161,0.8409,0.7785
13.6,-0.6744,0.7144,0.8566,0.6404,0.8341,0.7372,0.5629,0.8237,0.6933,0.7289,0.8507,0.7898
13.7,-0.6773,0.7312,0.8632,0.6399,0.8443,0.7421,0.5771,0.8284,0.7027,0.7364,0.858,0.7972
13.8,-0.6732,0.7408,0.8705,0.636,0.8494,0.7427,0.5873,0.8332,0.7103,0.7387,0.8632,0.801
13.9,-0.6616,0.7442,0.8783,0.6301,0.8502,0.7401,0.5941,0.8387,0.7164,0.7371,0.8669,0.802
14,-0.6432,0.7426,0.8864,0.6237,0.8476,0.7357,0.598,0.845,0.7215,0.733,0.8694,0.8012
14.1,-0.6191,0.737,0.8949,0.6182,0.8424,0.7303,0.599,0.8519,0.7254,0.7273,0.8709,0.7991
14.2,-0.5897,0.728,0.9042,0.6141,0.8345,0.7243,0.5964,0.8589,0.7277,0.7206,0.8711,0.7959
14.3,-0.5547,0.7161,0.914,0.6119,0.8239,0.7179,0.5899,0.8654,0.7277,0.7129,0.8694,0.7911
14.4,-0.5134,0.7017,0.9241,0.6122,0.8109,0.7115,0.5801,0.8707,0.7254,0.7042,0.8653,0.7848
14.5,-0.466,0.6854,0.9337,0.6154,0.7958,0.7056,0.5679,0.8745,0.7212,0.6941,0.8589,0.7765
14.6,-0.4141,0.6675,0.9427,0.6219,0.7788,0.7004,0.5541,0.8764,0.7152,0.6824,0.8498,0.7661
14.7,-0.3592,0.6476,0.9509,0.6312,0.7599,0.6956,0.5393,0.8762,0.7077,0.6694,0.838,0.7537
14.8,-0.3017,0.6256,0.9583,0.6425,0.7391,0.6908,0.524,0.8736,0.6988,0.6556,0.8231,0.7394
14.9,-0.2418,0.6011,0.9636,0.6543,0.7165,0.6854,0.5088,0.8679,0.6883,0.6411,0.8051,0.7231
