Time,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC,Hungry Jacks - 15 TVC
5.4,-0.2799,0.8183,0.6622,0.7281,0.8946,0.8113,0.7824,0.7292,0.7558,0.6052,0.4514,0.5283
5.5,-0.2935,0.8148,0.6554,0.7329,0.9091,0.821,0.7696,0.723,0.7463,0.6139,0.4498,0.5319
5.6,-0.3034,0.8111,0.6474,0.7378,0.9225,0.8302,0.7538,0.7165,0.7351,0.6241,0.4491,0.5366
5.7,-0.3087,0.8076,0.6386,0.743,0.9347,0.8388,0.7346,0.7098,0.7222,0.6359,0.4498,0.5429
5.8,-0.3083,0.8042,0.6296,0.7484,0.9448,0.8466,0.7113,0.7035,0.7074,0.6486,0.4519,0.5503
5.9,-0.3018,0.8003,0.6204,0.7533,0.9512,0.8523,0.6838,0.6972,0.6905,0.6612,0.4551,0.5582
6,-0.2892,0.7945,0.6105,0.7565,0.9519,0.8542,0.6524,0.6901,0.6712,0.6728,0.4597,0.5662
6.1,-0.2716,0.7858,0.5993,0.757,0.9456,0.8513,0.6181,0.6814,0.6497,0.6826,0.4663,0.5745
6.2,-0.2504,0.7748,0.5866,0.7545,0.9324,0.8435,0.5817,0.6708,0.6262,0.6904,0.4756,0.583
6.3,-0.2271,0.7628,0.5727,0.7495,0.9136,0.8315,0.5444,0.6582,0.6013,0.6959,0.4874,0.5916
6.4,-0.2026,0.7504,0.5579,0.7421,0.89,0.816,0.5073,0.6436,0.5755,0.6987,0.5015,0.6001
6.5,-0.1783,0.7376,0.5429,0.7324,0.8618,0.7971,0.4719,0.6279,0.5499,0.6985,0.518,0.6083
6.6,-0.1561,0.7239,0.5283,0.7205,0.8289,0.7747,0.4398,0.6122,0.526,0.6947,0.5369,0.6158
6.7,-0.1383,0.7097,0.5149,0.7068,0.7919,0.7493,0.4122,0.5973,0.5047,0.6871,0.5577,0.6224
6.8,-0.127,0.6958,0.5039,0.6916,0.7524,0.722,0.3901,0.5835,0.4868,0.6753,0.58,0.6277
6.9,-0.1228,0.6832,0.4963,0.6748,0.7126,0.6937,0.3741,0.5713,0.4727,0.6593,0.6028,0.6311
7,-0.1254,0.6723,0.4931,0.6566,0.6741,0.6653,0.3648,0.5615,0.4631,0.639,0.6258,0.6324
7.1,-0.1343,0.6631,0.4943,0.6369,0.6383,0.6376,0.3626,0.5548,0.4587,0.6147,0.6481,0.6314
7.2,-0.1492,0.6558,0.4995,0.6161,0.6062,0.6111,0.3673,0.5514,0.4594,0.5869,0.6682,0.6275
7.3,-0.1687,0.6502,0.5082,0.5948,0.5789,0.5868,0.3786,0.5507,0.4647,0.556,0.6843,0.6202
7.4,-0.1905,0.6464,0.5195,0.5738,0.5567,0.5653,0.3955,0.5522,0.4739,0.5234,0.6948,0.6091
7.5,-0.2122,0.6435,0.5326,0.5537,0.5397,0.5467,0.4169,0.556,0.4864,0.4904,0.6991,0.5948
7.6,-0.2322,0.6406,0.5474,0.5346,0.5279,0.5312,0.4412,0.5623,0.5018,0.4588,0.6977,0.5782
7.7,-0.2504,0.6372,0.5638,0.5166,0.5208,0.5187,0.4675,0.5712,0.5193,0.4299,0.6921,0.561
7.8,-0.267,0.6333,0.5819,0.5003,0.5186,0.5094,0.4945,0.5819,0.5382,0.4047,0.6841,0.5444
7.9,-0.2819,0.629,0.6008,0.4861,0.5207,0.5034,0.5211,0.5935,0.5573,0.3833,0.6747,0.529
8,-0.2948,0.6241,0.619,0.4744,0.526,0.5002,0.5461,0.6048,0.5755,0.3651,0.6633,0.5142
8.1,-0.3057,0.6179,0.6346,0.4651,0.5332,0.4992,0.5683,0.6152,0.5918,0.3492,0.649,0.4991
8.2,-0.3158,0.6098,0.6465,0.4577,0.5412,0.4994,0.5874,0.6238,0.6056,0.3352,0.6309,0.483
8.3,-0.3265,0.5997,0.654,0.4521,0.5492,0.5007,0.6034,0.6299,0.6167,0.323,0.6089,0.4659
8.4,-0.3388,0.5881,0.6574,0.4483,0.5575,0.5029,0.6165,0.6329,0.6247,0.3133,0.5841,0.4487
8.5,-0.3525,0.5758,0.6568,0.4466,0.5661,0.5064,0.6269,0.6321,0.6295,0.3066,0.5578,0.4322
8.6,-0.3668,0.5629,0.6522,0.4469,0.575,0.511,0.6347,0.6274,0.631,0.3029,0.5312,0.4171
8.7,-0.3804,0.5494,0.6433,0.4489,0.5838,0.5164,0.6397,0.6186,0.6292,0.3015,0.5052,0.4034
8.8,-0.3925,0.5351,0.6304,0.4522,0.592,0.5221,0.6422,0.6063,0.6242,0.3019,0.4803,0.3911
8.9,-0.4026,0.5205,0.6141,0.4568,0.5986,0.5277,0.6424,0.5914,0.6169,0.3037,0.4571,0.3804
9,-0.4101,0.5059,0.5957,0.463,0.6027,0.5328,0.641,0.5752,0.6081,0.3065,0.4362,0.3713
9.1,-0.415,0.4917,0.5764,0.4706,0.6035,0.5371,0.6388,0.5582,0.5985,0.3097,0.4178,0.3638
9.2,-0.4171,0.4778,0.5566,0.4794,0.6009,0.5402,0.6369,0.5408,0.5889,0.3132,0.4023,0.3578
9.3,-0.4168,0.4645,0.5363,0.4888,0.5952,0.542,0.6368,0.5228,0.5798,0.317,0.3901,0.3536
9.4,-0.4144,0.4522,0.5162,0.4986,0.5872,0.5429,0.6394,0.5047,0.5721,0.3212,0.3817,0.3514
9.5,-0.4104,0.4421,0.4973,0.5088,0.5776,0.5432,0.6445,0.4878,0.5661,0.3259,0.3772,0.3515
9.6,-0.4052,0.4349,0.4809,0.5198,0.5669,0.5434,0.6515,0.4736,0.5626,0.3309,0.3763,0.3536
9.7,-0.3992,0.4309,0.4677,0.5319,0.5558,0.5438,0.6602,0.4633,0.5618,0.3361,0.3789,0.3575
9.8,-0.3932,0.4297,0.4578,0.5451,0.5447,0.5449,0.6708,0.4576,0.5642,0.3415,0.3848,0.3631
9.9,-0.3881,0.4308,0.4513,0.5596,0.5346,0.5471,0.6838,0.4568,0.5703,0.3471,0.3938,0.3704
10,-0.3844,0.434,0.4483,0.575,0.5265,0.5508,0.6989,0.4616,0.5803,0.3529,0.4054,0.3791
10.1,-0.3823,0.4392,0.4494,0.5907,0.5213,0.556,0.7153,0.4724,0.5938,0.3587,0.419,0.3888
10.2,-0.381,0.4461,0.4553,0.6057,0.5198,0.5628,0.732,0.4893,0.6106,0.364,0.434,0.399
10.3,-0.3787,0.4545,0.4662,0.6196,0.5224,0.571,0.7485,0.5126,0.6306,0.3684,0.45,0.4092
10.4,-0.3744,0.464,0.4815,0.6323,0.5288,0.5805,0.7653,0.542,0.6536,0.3721,0.4669,0.4195
10.5,-0.3682,0.4741,0.5004,0.6434,0.5383,0.5909,0.7818,0.5761,0.6789,0.3753,0.4844,0.4298
10.6,-0.3621,0.484,0.5221,0.652,0.5504,0.6012,0.7971,0.6132,0.7051,0.3778,0.5014,0.4396
10.7,-0.3591,0.4933,0.5454,0.6579,0.5643,0.6111,0.8105,0.6514,0.731,0.3796,0.517,0.4483
10.8,-0.3627,0.5018,0.5696,0.6608,0.5801,0.6205,0.8222,0.6896,0.7559,0.3806,0.5303,0.4554
10.9,-0.3749,0.5099,0.5942,0.6606,0.5973,0.629,0.8324,0.7265,0.7794,0.3811,0.5407,0.4609
11,-0.3958,0.5177,0.6184,0.657,0.6151,0.6361,0.8412,0.7603,0.8008,0.3815,0.5482,0.4648
11.1,-0.4237,0.5249,0.6415,0.6495,0.6319,0.6407,0.848,0.7889,0.8185,0.3821,0.5523,0.4672
11.2,-0.4561,0.5311,0.6628,0.6378,0.6461,0.6419,0.8516,0.8108,0.8312,0.3825,0.5526,0.4675
11.3,-0.4911,0.5366,0.6818,0.6225,0.6568,0.6396,0.8513,0.8259,0.8386,0.3819,0.5483,0.4651
11.4,-0.5275,0.5424,0.699,0.6046,0.664,0.6343,0.8474,0.8354,0.8414,0.3795,0.5389,0.4592
11.5,-0.5629,0.5493,0.7149,0.5838,0.6683,0.6261,0.841,0.8404,0.8407,0.3745,0.5246,0.4496
11.6,-0.5941,0.5573,0.7306,0.5597,0.6701,0.6149,0.8333,0.8417,0.8375,0.3669,0.5063,0.4366
11.7,-0.6171,0.5658,0.7475,0.5325,0.6695,0.601,0.8249,0.8405,0.8327,0.3566,0.4859,0.4212
11.8,-0.6285,0.5748,0.7666,0.5034,0.6665,0.585,0.8159,0.838,0.8269,0.3441,0.4654,0.4048
11.9,-0.6274,0.5849,0.7887,0.4759,0.6616,0.5687,0.8065,0.8361,0.8213,0.3296,0.4464,0.388
12,-0.6145,0.5964,0.8134,0.4532,0.6547,0.554,0.797,0.8361,0.8166,0.3132,0.43,0.3716
12.1,-0.5915,0.6088,0.8401,0.4379,0.6451,0.5415,0.788,0.8386,0.8133,0.2957,0.417,0.3564
12.2,-0.5595,0.6214,0.8679,0.431,0.6322,0.5316,0.7805,0.8432,0.8118,0.2789,0.4083,0.3436
12.3,-0.5196,0.6339,0.8956,0.4333,0.6169,0.5251,0.7759,0.8492,0.8125,0.265,0.4046,0.3348
12.4,-0.4734,0.6465,0.9221,0.4454,0.6023,0.5239,0.7752,0.8557,0.8155,0.2559,0.4061,0.331
12.5,-0.4243,0.6597,0.9468,0.4665,0.5919,0.5292,0.7785,0.8625,0.8205,0.2519,0.4123,0.3321
12.6,-0.3762,0.673,0.9686,0.4931,0.5873,0.5402,0.7849,0.8692,0.827,0.2532,0.422,0.3376
12.7,-0.3326,0.6849,0.9872,0.5216,0.5876,0.5546,0.7934,0.8756,0.8345,0.2594,0.4346,0.347
12.8,-0.2948,0.6941,1.0019,0.549,0.5907,0.5698,0.8032,0.8816,0.8424,0.2705,0.4495,0.36
12.9,-0.2626,0.7,1.0127,0.5742,0.5949,0.5846,0.8139,0.8865,0.8502,0.2863,0.4662,0.3762
13,-0.2349,0.703,1.0192,0.5971,0.6001,0.5986,0.8256,0.8895,0.8575,0.3061,0.484,0.3951
13.1,-0.2103,0.7035,1.0213,0.6172,0.607,0.6121,0.8385,0.8894,0.8639,0.3292,0.5023,0.4157
13.2,-0.1878,0.7017,1.0191,0.6344,0.6159,0.6252,0.8529,0.8854,0.8691,0.3549,0.5207,0.4378
13.3,-0.167,0.6982,1.0133,0.6487,0.6263,0.6375,0.8684,0.8775,0.873,0.3826,0.5392,0.4609
13.4,-0.1482,0.6934,1.0045,0.6605,0.6376,0.649,0.8844,0.8667,0.8755,0.4118,0.5577,0.4848
13.5,-0.1323,0.688,0.9933,0.6706,0.6492,0.6599,0.8995,0.8536,0.8765,0.4419,0.576,0.509
13.6,-0.1195,0.6827,0.9799,0.68,0.6605,0.6702,0.9124,0.8387,0.8756,0.4719,0.5937,0.5328
13.7,-0.109,0.6778,0.9638,0.689,0.6703,0.6797,0.9224,0.8218,0.8721,0.5012,0.6098,0.5555
13.8,-0.1001,0.6734,0.9448,0.698,0.6781,0.6881,0.9295,0.8025,0.866,0.5291,0.6233,0.5762
13.9,-0.0925,0.6694,0.9231,0.7069,0.6839,0.6954,0.9338,0.7812,0.8575,0.5546,0.6329,0.5938
14,-0.0869,0.6658,0.8993,0.7158,0.6884,0.7021,0.9354,0.759,0.8472,0.5772,0.6375,0.6073
14.1,-0.0837,0.6625,0.8738,0.7248,0.6922,0.7085,0.9344,0.7373,0.8359,0.5961,0.6366,0.6164
14.2,-0.0812,0.6591,0.8472,0.7336,0.6945,0.7141,0.9303,0.7166,0.8235,0.6114,0.63,0.6207
14.3,-0.0763,0.6552,0.8204,0.7421,0.6941,0.7181,0.9227,0.6965,0.8096,0.6233,0.6182,0.6208
14.4,-0.0659,0.65,0.7949,0.7502,0.6893,0.7197,0.9112,0.6766,0.7939,0.6326,0.6022,0.6174
14.5,-0.0492,0.6433,0.7731,0.7582,0.6801,0.7192,0.8958,0.6572,0.7765,0.6394,0.5826,0.611
14.6,-0.0281,0.6353,0.7568,0.7667,0.6676,0.7172,0.8769,0.6394,0.7582,0.6431,0.5599,0.6015
14.7,-0.0054,0.627,0.747,0.7761,0.6539,0.715,0.8553,0.6249,0.7401,0.6428,0.5342,0.5885
14.8,0.0174,0.6191,0.7427,0.7865,0.6405,0.7135,0.8315,0.6147,0.7231,0.6374,0.5056,0.5715
14.9,0.0409,0.6119,0.7418,0.7981,0.6278,0.713,0.8059,0.6083,0.7071,0.6268,0.4748,0.5508
