Time,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC,Gippsland Dairy - The Taste Made Me Do It 30 TVC
1.6,0.2004,0.8201,0.9247,0.5091,0.8061,0.6576,0.7963,0.6887,0.7425,0.5338,0.6548,0.5943
1.7,0.1849,0.7952,0.9106,0.4781,0.7832,0.6306,0.78,0.6795,0.7298,0.5376,0.6544,0.596
1.8,0.1696,0.7677,0.8958,0.4445,0.7565,0.6005,0.7641,0.6702,0.7171,0.5401,0.6536,0.5968
1.9,0.1546,0.7389,0.8817,0.4099,0.7278,0.5688,0.7492,0.6602,0.7047,0.5417,0.6526,0.5972
2,0.1409,0.71,0.8688,0.3756,0.6987,0.5371,0.7361,0.649,0.6925,0.5429,0.6517,0.5973
2.1,0.1293,0.6822,0.8569,0.3435,0.6706,0.5071,0.7253,0.6364,0.6809,0.544,0.6511,0.5975
2.2,0.1201,0.657,0.8454,0.3153,0.6455,0.4804,0.717,0.6234,0.6702,0.5451,0.6507,0.5979
2.3,0.113,0.6355,0.8338,0.2922,0.6249,0.4585,0.7112,0.611,0.6611,0.5467,0.6502,0.5984
2.4,0.1079,0.6181,0.8218,0.2749,0.6097,0.4423,0.7075,0.5998,0.6536,0.549,0.6495,0.5993
2.5,0.1042,0.6047,0.8092,0.263,0.6,0.4315,0.7062,0.5894,0.6478,0.5526,0.6488,0.6007
2.6,0.1016,0.5946,0.7954,0.2562,0.5954,0.4258,0.7072,0.5797,0.6435,0.5577,0.6484,0.603
2.7,0.0995,0.5873,0.7798,0.2545,0.5949,0.4247,0.7104,0.5707,0.6405,0.5641,0.6485,0.6063
2.8,0.0971,0.5828,0.7618,0.2575,0.5981,0.4278,0.7157,0.5627,0.6392,0.5716,0.6493,0.6104
2.9,0.0931,0.5812,0.7416,0.2641,0.6042,0.4341,0.7232,0.5562,0.6397,0.5799,0.6508,0.6153
3,0.0862,0.5823,0.7196,0.2727,0.6123,0.4425,0.7334,0.5509,0.6422,0.589,0.6531,0.621
3.1,0.0755,0.585,0.6962,0.2819,0.6214,0.4516,0.7462,0.5465,0.6464,0.5989,0.656,0.6274
3.2,0.0607,0.5883,0.6714,0.2904,0.6303,0.4604,0.7605,0.5422,0.6514,0.6093,0.6595,0.6344
3.3,0.0422,0.5913,0.6455,0.2976,0.6384,0.468,0.7751,0.5374,0.6562,0.6201,0.6635,0.6418
3.4,0.0204,0.5935,0.6192,0.3032,0.6454,0.4743,0.7891,0.5317,0.6604,0.631,0.6681,0.6495
3.5,-0.0045,0.595,0.5938,0.3073,0.651,0.4791,0.8028,0.5251,0.6639,0.6421,0.6733,0.6577
3.6,-0.0319,0.5962,0.57,0.3101,0.6554,0.4828,0.8165,0.518,0.6672,0.6532,0.6794,0.6663
3.7,-0.0608,0.5974,0.5482,0.3123,0.659,0.4856,0.8298,0.5106,0.6702,0.6637,0.6859,0.6748
3.8,-0.0906,0.5987,0.5287,0.3142,0.6621,0.4882,0.8415,0.5027,0.6721,0.6725,0.692,0.6823
3.9,-0.1204,0.6,0.5117,0.3165,0.6649,0.4907,0.85,0.4942,0.6721,0.6788,0.6965,0.6877
4,-0.1495,0.6016,0.4975,0.3195,0.6671,0.4933,0.8545,0.4848,0.6697,0.6824,0.6989,0.6907
4.1,-0.1773,0.6035,0.4869,0.3237,0.6692,0.4965,0.8553,0.4747,0.665,0.684,0.6992,0.6916
4.2,-0.2025,0.6059,0.4805,0.3303,0.6717,0.501,0.853,0.4648,0.6589,0.6844,0.6986,0.6915
4.3,-0.2235,0.6088,0.4788,0.3402,0.6754,0.5078,0.8479,0.4561,0.652,0.6846,0.6984,0.6915
4.4,-0.239,0.6124,0.482,0.3542,0.6805,0.5173,0.8402,0.4496,0.6449,0.6852,0.6992,0.6922
4.5,-0.2482,0.6167,0.4903,0.3721,0.6864,0.5293,0.8305,0.4457,0.6381,0.6868,0.7015,0.6942
4.6,-0.2503,0.622,0.5034,0.3938,0.6925,0.5432,0.8197,0.4443,0.632,0.6899,0.7052,0.6975
4.7,-0.244,0.6285,0.5208,0.4192,0.6986,0.5589,0.8088,0.4449,0.6269,0.695,0.7101,0.7025
4.8,-0.2282,0.6363,0.542,0.4484,0.7054,0.5769,0.7984,0.4476,0.623,0.7021,0.7165,0.7093
4.9,-0.2034,0.6458,0.5665,0.4813,0.7137,0.5975,0.7879,0.4521,0.62,0.711,0.7245,0.7178
5,-0.1718,0.657,0.5936,0.5172,0.7239,0.6206,0.7769,0.4583,0.6176,0.7209,0.7338,0.7274
5.1,-0.1368,0.6699,0.6224,0.5549,0.7356,0.6453,0.765,0.4654,0.6152,0.7309,0.7436,0.7373
5.2,-0.1017,0.6845,0.6514,0.5927,0.7482,0.6705,0.7525,0.4726,0.6125,0.7405,0.7533,0.7469
5.3,-0.0678,0.7001,0.6792,0.6293,0.7608,0.6951,0.7396,0.4793,0.6095,0.7494,0.7629,0.7561
5.4,-0.0341,0.716,0.7048,0.6639,0.7728,0.7183,0.7267,0.4859,0.6063,0.7579,0.7727,0.7653
5.5,0.0008,0.7316,0.7281,0.6958,0.7839,0.7398,0.7139,0.4928,0.6034,0.766,0.7832,0.7746
5.6,0.0371,0.7462,0.7489,0.7243,0.7938,0.7591,0.7012,0.5007,0.601,0.7734,0.7946,0.784
5.7,0.0743,0.7596,0.7673,0.7487,0.802,0.7754,0.6888,0.5094,0.5991,0.7795,0.8069,0.7932
5.8,0.1112,0.7711,0.7829,0.768,0.8077,0.7878,0.6774,0.5181,0.5977,0.784,0.8201,0.802
5.9,0.1472,0.7795,0.7952,0.781,0.8094,0.7952,0.6675,0.5263,0.5969,0.7862,0.8341,0.8101
6,0.1822,0.7834,0.8041,0.7868,0.8056,0.7962,0.6595,0.5339,0.5967,0.7861,0.8484,0.8172
6.1,0.2166,0.7814,0.8096,0.7848,0.7945,0.7897,0.6529,0.5409,0.5969,0.7835,0.8621,0.8228
6.2,0.2505,0.7727,0.812,0.7749,0.774,0.7745,0.6472,0.5472,0.5972,0.7785,0.874,0.8262
6.3,0.2837,0.757,0.8118,0.7573,0.7423,0.7498,0.6419,0.5526,0.5973,0.7708,0.8832,0.827
6.4,0.3159,0.7345,0.8094,0.7324,0.6987,0.7155,0.6368,0.5573,0.597,0.7608,0.8894,0.8251
6.5,0.346,0.706,0.8051,0.7011,0.6435,0.6723,0.6315,0.5616,0.5966,0.7487,0.893,0.8208
6.6,0.3722,0.6739,0.7988,0.6645,0.5788,0.6217,0.6258,0.5656,0.5957,0.7349,0.8943,0.8146
6.7,0.3923,0.6414,0.7902,0.6238,0.5083,0.566,0.62,0.5692,0.5946,0.7199,0.894,0.8069
6.8,0.4049,0.6114,0.7787,0.5805,0.4359,0.5082,0.6149,0.5725,0.5937,0.7042,0.8921,0.7982
6.9,0.4092,0.5858,0.7637,0.5361,0.3661,0.4511,0.6111,0.5753,0.5932,0.6878,0.8886,0.7882
7,0.4049,0.5651,0.7451,0.492,0.3031,0.3975,0.6086,0.5776,0.5931,0.6708,0.8832,0.777
7.1,0.3921,0.5496,0.7232,0.449,0.2496,0.3493,0.6071,0.5789,0.593,0.6537,0.8754,0.7646
7.2,0.3706,0.5391,0.6987,0.4081,0.2063,0.3072,0.6065,0.579,0.5928,0.6377,0.8653,0.7515
7.3,0.3419,0.5335,0.6727,0.3705,0.1728,0.2717,0.6078,0.5782,0.593,0.6242,0.8529,0.7386
7.4,0.3084,0.5324,0.6461,0.3376,0.1484,0.243,0.6116,0.577,0.5943,0.6144,0.839,0.7267
7.5,0.2729,0.5351,0.6193,0.3103,0.1325,0.2214,0.6183,0.5758,0.597,0.6084,0.8239,0.7162
7.6,0.2374,0.5409,0.5925,0.2889,0.1247,0.2068,0.6274,0.5742,0.6008,0.6059,0.8081,0.707
7.7,0.2026,0.5497,0.5659,0.2734,0.124,0.1987,0.6386,0.5718,0.6052,0.6068,0.7917,0.6993
7.8,0.1688,0.5614,0.5405,0.2634,0.1295,0.1964,0.6516,0.568,0.6098,0.611,0.7748,0.6929
7.9,0.1361,0.576,0.5176,0.2591,0.1406,0.1998,0.6669,0.5635,0.6152,0.6183,0.7582,0.6883
8,0.1046,0.593,0.4987,0.2608,0.1578,0.2093,0.6843,0.5591,0.6217,0.6288,0.7432,0.686
8.1,0.0739,0.6119,0.4849,0.2682,0.1822,0.2252,0.7034,0.5556,0.6295,0.6419,0.7305,0.6862
8.2,0.0425,0.6321,0.4764,0.2805,0.2141,0.2473,0.7229,0.5532,0.638,0.6568,0.7205,0.6887
8.3,0.0095,0.6533,0.4731,0.2967,0.2528,0.2747,0.7418,0.5515,0.6467,0.6726,0.713,0.6928
8.4,-0.0241,0.675,0.475,0.3156,0.2963,0.306,0.7598,0.5509,0.6553,0.6887,0.7073,0.698
8.5,-0.0565,0.6959,0.4827,0.3365,0.3431,0.3398,0.7761,0.552,0.6641,0.7046,0.7033,0.704
8.6,-0.085,0.7144,0.4966,0.3589,0.3913,0.3751,0.7905,0.5552,0.6729,0.72,0.7009,0.7104
8.7,-0.1066,0.7292,0.5162,0.3828,0.4381,0.4105,0.8028,0.561,0.6819,0.7346,0.6998,0.7172
8.8,-0.1193,0.7401,0.5407,0.4083,0.4816,0.4449,0.813,0.5692,0.6911,0.7484,0.6998,0.7241
8.9,-0.1229,0.748,0.5683,0.4353,0.5211,0.4782,0.8212,0.5792,0.7002,0.761,0.7003,0.7307
9,-0.1186,0.7537,0.5976,0.4631,0.5564,0.5098,0.8273,0.5909,0.7091,0.7721,0.701,0.7365
9.1,-0.1083,0.7575,0.6273,0.4907,0.5872,0.539,0.8311,0.6042,0.7176,0.7808,0.7012,0.741
9.2,-0.0941,0.7588,0.6562,0.5169,0.6134,0.5651,0.8322,0.619,0.7256,0.7861,0.7002,0.7432
9.3,-0.0777,0.7569,0.6839,0.5409,0.6353,0.5881,0.8309,0.6353,0.7331,0.7872,0.6974,0.7423
9.4,-0.0601,0.7519,0.7094,0.5627,0.6536,0.6081,0.8273,0.6534,0.7403,0.7837,0.6922,0.738
9.5,-0.0419,0.7449,0.7319,0.5825,0.6689,0.6257,0.8217,0.6734,0.7476,0.776,0.6844,0.7302
9.6,-0.0241,0.7366,0.7501,0.6001,0.6815,0.6408,0.8146,0.6954,0.755,0.7643,0.6741,0.7192
9.7,-0.0072,0.7275,0.7626,0.615,0.6914,0.6532,0.8061,0.7188,0.7625,0.749,0.6615,0.7052
9.8,0.0075,0.7175,0.7681,0.6266,0.6986,0.6626,0.797,0.7426,0.7698,0.7305,0.6469,0.6887
9.9,0.019,0.7065,0.7658,0.6342,0.7034,0.6688,0.7877,0.7655,0.7766,0.7094,0.6308,0.6701
10,0.026,0.6942,0.7555,0.6371,0.7062,0.6717,0.7789,0.7867,0.7828,0.6865,0.6141,0.6503
10.1,0.0279,0.68,0.7381,0.635,0.7074,0.6712,0.7713,0.8061,0.7887,0.6628,0.5974,0.6301
10.2,0.0248,0.6633,0.7149,0.6277,0.707,0.6674,0.7649,0.824,0.7944,0.6394,0.5816,0.6105
10.3,0.0176,0.6436,0.6871,0.6155,0.7047,0.6601,0.7594,0.8398,0.7996,0.6164,0.567,0.5917
10.4,0.0072,0.6211,0.6552,0.5988,0.7,0.6494,0.7543,0.8532,0.8038,0.5941,0.5538,0.574
10.5,-0.0056,0.5967,0.6202,0.5785,0.6932,0.6359,0.7497,0.8641,0.8069,0.5728,0.5426,0.5577
10.6,-0.021,0.5719,0.5833,0.5557,0.6845,0.6201,0.746,0.8731,0.8096,0.5533,0.5341,0.5437
10.7,-0.0386,0.5478,0.5468,0.5315,0.6743,0.6029,0.7434,0.8809,0.8122,0.5367,0.5295,0.5331
10.8,-0.0578,0.5247,0.5126,0.5065,0.6624,0.5844,0.7417,0.8869,0.8143,0.5233,0.5292,0.5262
10.9,-0.0775,0.5024,0.4819,0.4813,0.6482,0.5647,0.7401,0.8899,0.815,0.5131,0.5328,0.5229
11,-0.0968,0.4811,0.4556,0.4566,0.6309,0.5437,0.7382,0.8881,0.8132,0.5058,0.5395,0.5227
11.1,-0.1161,0.4612,0.4343,0.4334,0.6105,0.5219,0.7356,0.8813,0.8085,0.5013,0.549,0.5251
11.2,-0.1353,0.4439,0.419,0.413,0.5878,0.5004,0.7327,0.87,0.8013,0.4998,0.5611,0.5305
11.3,-0.1542,0.4305,0.4107,0.3968,0.5644,0.4806,0.7297,0.8556,0.7926,0.5017,0.576,0.5388
11.4,-0.1718,0.4216,0.4094,0.3858,0.5422,0.464,0.7268,0.8393,0.783,0.5071,0.5933,0.5502
11.5,-0.1876,0.4174,0.4143,0.3805,0.5225,0.4515,0.7239,0.8217,0.7728,0.5155,0.6122,0.5639
11.6,-0.2014,0.4174,0.4247,0.3809,0.5063,0.4436,0.7211,0.8035,0.7623,0.5265,0.6315,0.579
11.7,-0.213,0.4207,0.4402,0.3867,0.4938,0.4402,0.7186,0.7858,0.7522,0.5393,0.6505,0.5949
11.8,-0.2214,0.426,0.4605,0.3978,0.4851,0.4414,0.7166,0.7696,0.7431,0.5534,0.6687,0.611
11.9,-0.2252,0.4324,0.485,0.4142,0.4799,0.4471,0.7151,0.7552,0.7352,0.5683,0.6858,0.627
12,-0.2234,0.4393,0.5118,0.4358,0.4779,0.4568,0.7145,0.7422,0.7283,0.5834,0.7017,0.6425
12.1,-0.216,0.4466,0.5392,0.4621,0.4786,0.4704,0.7153,0.7302,0.7228,0.5984,0.7167,0.6576
12.2,-0.2033,0.4541,0.567,0.4922,0.4819,0.487,0.7178,0.7197,0.7187,0.6134,0.7314,0.6724
12.3,-0.186,0.4615,0.5953,0.5242,0.487,0.5056,0.7217,0.711,0.7163,0.6277,0.7459,0.6868
12.4,-0.1652,0.4681,0.6242,0.5561,0.493,0.5246,0.7261,0.7043,0.7152,0.6401,0.7597,0.6999
12.5,-0.1428,0.4733,0.6526,0.586,0.499,0.5425,0.7304,0.6991,0.7147,0.6501,0.7718,0.7109
12.6,-0.1207,0.4772,0.6791,0.6132,0.505,0.5591,0.7343,0.6941,0.7142,0.658,0.7814,0.7197
12.7,-0.1001,0.4805,0.7022,0.6379,0.5113,0.5746,0.7377,0.6886,0.7131,0.6654,0.7885,0.727
12.8,-0.0805,0.4842,0.721,0.6601,0.5186,0.5893,0.7406,0.6823,0.7114,0.6735,0.7935,0.7335
12.9,-0.0605,0.4891,0.7349,0.6788,0.5267,0.6028,0.7426,0.6752,0.7089,0.6824,0.7967,0.7396
13,-0.0391,0.4952,0.7436,0.6925,0.5353,0.6139,0.743,0.667,0.705,0.6912,0.7979,0.7445
13.1,-0.0173,0.5028,0.7466,0.7001,0.5438,0.6219,0.7416,0.657,0.6993,0.6986,0.7966,0.7476
13.2,0.0034,0.5118,0.7442,0.702,0.5521,0.6271,0.7383,0.6445,0.6914,0.7042,0.7927,0.7484
13.3,0.0218,0.5226,0.737,0.6996,0.5603,0.6299,0.7331,0.6296,0.6813,0.7083,0.7863,0.7473
13.4,0.0382,0.5354,0.7256,0.6938,0.5683,0.6311,0.7258,0.6124,0.6691,0.7115,0.7774,0.7445
13.5,0.0534,0.5501,0.7098,0.6854,0.5757,0.6306,0.7163,0.5934,0.6549,0.7138,0.766,0.7399
13.6,0.0682,0.5668,0.6898,0.6749,0.5825,0.6287,0.705,0.5731,0.6391,0.7152,0.7519,0.7336
13.7,0.0816,0.585,0.6657,0.6631,0.5886,0.6258,0.6922,0.5523,0.6222,0.7153,0.7356,0.7254
13.8,0.0921,0.6042,0.6387,0.6508,0.5943,0.6226,0.6784,0.5316,0.605,0.7146,0.7179,0.7162
13.9,0.0994,0.6236,0.61,0.6393,0.5999,0.6196,0.6643,0.5113,0.5878,0.7139,0.6997,0.7068
14,0.104,0.6422,0.5806,0.629,0.6054,0.6172,0.6501,0.4914,0.5707,0.7139,0.6813,0.6976
14.1,0.1076,0.6595,0.5508,0.6198,0.6104,0.6151,0.6358,0.4715,0.5537,0.7144,0.6628,0.6886
14.2,0.1111,0.6752,0.5208,0.6119,0.6154,0.6137,0.6218,0.4516,0.5367,0.7149,0.6441,0.6795
14.3,0.1147,0.6898,0.4912,0.6058,0.6212,0.6135,0.6083,0.4322,0.5203,0.7146,0.6257,0.6701
14.4,0.1178,0.7039,0.4633,0.6026,0.6289,0.6158,0.5963,0.4147,0.5055,0.7132,0.6083,0.6608
14.5,0.1199,0.7185,0.4388,0.6035,0.6394,0.6215,0.5866,0.4008,0.4937,0.7111,0.5934,0.6523
14.6,0.1218,0.734,0.4186,0.6092,0.6532,0.6312,0.5803,0.3917,0.486,0.7091,0.582,0.6455
14.7,0.1244,0.7507,0.4031,0.62,0.6701,0.645,0.5785,0.3885,0.4835,0.7082,0.5751,0.6416
14.8,0.1282,0.7681,0.3919,0.6365,0.6901,0.6633,0.5818,0.3917,0.4868,0.7091,0.5734,0.6412
14.9,0.1329,0.7857,0.3848,0.6595,0.7128,0.6862,0.5907,0.4013,0.496,0.7119,0.5772,0.6446
15,0.1385,0.8029,0.3814,0.6896,0.738,0.7138,0.6046,0.4172,0.5109,0.7164,0.5863,0.6514
15.1,0.1459,0.819,0.3812,0.7264,0.765,0.7457,0.6233,0.4393,0.5313,0.722,0.6003,0.6612
15.2,0.1559,0.8338,0.3842,0.7691,0.7928,0.7809,0.6463,0.4671,0.5567,0.7282,0.6186,0.6734
15.3,0.1689,0.8472,0.3902,0.8153,0.8202,0.8178,0.6736,0.5003,0.5869,0.7347,0.6403,0.6875
15.4,0.1839,0.8589,0.3992,0.8629,0.8465,0.8547,0.7047,0.5385,0.6216,0.7411,0.6644,0.7028
15.5,0.1991,0.8683,0.4111,0.9091,0.8713,0.8902,0.7386,0.5812,0.6599,0.7471,0.6895,0.7183
15.6,0.2127,0.8749,0.4252,0.9516,0.8943,0.923,0.7736,0.6271,0.7003,0.7522,0.7136,0.7329
15.7,0.2231,0.878,0.4405,0.9882,0.9153,0.9518,0.8069,0.6741,0.7405,0.7558,0.735,0.7454
15.8,0.2289,0.8779,0.4561,1.0173,0.9341,0.9757,0.8362,0.7197,0.778,0.7575,0.7522,0.7548
15.9,0.23,0.8749,0.4711,1.0382,0.9501,0.9941,0.8593,0.7614,0.8104,0.7569,0.7645,0.7607
16,0.2271,0.8696,0.4847,1.0509,0.9621,1.0065,0.8748,0.7975,0.8361,0.7536,0.7718,0.7627
16.1,0.2216,0.862,0.496,1.0553,0.9688,1.0121,0.8822,0.8268,0.8545,0.7468,0.7739,0.7603
16.2,0.2147,0.8518,0.5045,1.0512,0.9685,1.0099,0.8818,0.8485,0.8651,0.735,0.7707,0.7529
16.3,0.2061,0.8385,0.5102,1.0382,0.9601,0.9991,0.8737,0.8619,0.8678,0.7175,0.7623,0.7399
16.4,0.195,0.8218,0.5131,1.0158,0.9432,0.9795,0.8583,0.8665,0.8624,0.6939,0.7491,0.7215
16.5,0.1796,0.8019,0.5143,0.9843,0.9182,0.9512,0.8365,0.8627,0.8496,0.665,0.7324,0.6987
16.6,0.159,0.7793,0.5145,0.9437,0.8865,0.9151,0.8099,0.8517,0.8308,0.6323,0.7139,0.6731
16.7,0.1328,0.7549,0.5148,0.8941,0.8499,0.872,0.78,0.835,0.8075,0.5975,0.695,0.6463
16.8,0.1012,0.7293,0.5156,0.8352,0.8103,0.8227,0.7484,0.8145,0.7815,0.5618,0.6766,0.6192
16.9,0.0639,0.7027,0.5172,0.7678,0.7697,0.7687,0.7164,0.7917,0.7541,0.5258,0.6591,0.5925
17,0.0208,0.6756,0.5198,0.6942,0.7299,0.7121,0.6846,0.7673,0.7259,0.4907,0.6422,0.5664
17.1,-0.027,0.6482,0.5231,0.6179,0.6925,0.6552,0.6535,0.7414,0.6975,0.4572,0.6254,0.5413
17.2,-0.0766,0.6211,0.5269,0.5426,0.6584,0.6005,0.6237,0.7149,0.6693,0.4266,0.6081,0.5173
17.3,-0.1239,0.5951,0.531,0.4723,0.628,0.5501,0.5959,0.6891,0.6425,0.3993,0.5904,0.4948
17.4,-0.1654,0.5715,0.5353,0.4102,0.6021,0.5061,0.5708,0.6661,0.6185,0.3757,0.5723,0.474
17.5,-0.1995,0.5515,0.5397,0.3594,0.5815,0.4704,0.5494,0.6472,0.5983,0.3561,0.5546,0.4553
17.6,-0.2264,0.5363,0.5442,0.3224,0.5671,0.4448,0.5325,0.6332,0.5828,0.341,0.538,0.4395
17.7,-0.2469,0.5262,0.5493,0.3006,0.5595,0.4301,0.5208,0.6242,0.5725,0.3314,0.5236,0.4275
17.8,-0.2618,0.5208,0.5556,0.2941,0.5582,0.4261,0.5145,0.6203,0.5674,0.3287,0.5118,0.4202
17.9,-0.2718,0.5193,0.5636,0.3009,0.5622,0.4316,0.5134,0.6219,0.5677,0.3336,0.5029,0.4182
18,-0.2774,0.521,0.5738,0.3186,0.5704,0.4445,0.5173,0.6294,0.5733,0.3468,0.4971,0.4219
18.1,-0.2796,0.5253,0.5861,0.3446,0.5818,0.4632,0.5256,0.643,0.5843,0.3689,0.4947,0.4318
18.2,-0.2792,0.5319,0.601,0.3764,0.5962,0.4863,0.5382,0.6619,0.6,0.4002,0.4964,0.4483
18.3,-0.2767,0.5402,0.619,0.4106,0.6131,0.5119,0.554,0.6845,0.6192,0.4403,0.5022,0.4712
18.4,-0.2723,0.5496,0.6406,0.443,0.6317,0.5374,0.5719,0.7084,0.6401,0.4878,0.5116,0.4997
18.5,-0.2666,0.5592,0.6653,0.4695,0.6506,0.5601,0.5904,0.731,0.6607,0.5407,0.5239,0.5323
18.6,-0.2602,0.5684,0.6922,0.4885,0.6686,0.5785,0.6086,0.7506,0.6796,0.5966,0.5383,0.5674
18.7,-0.253,0.5768,0.7199,0.5005,0.6852,0.5928,0.6262,0.7664,0.6963,0.6534,0.5544,0.6039
18.8,-0.2447,0.584,0.7472,0.5072,0.7002,0.6037,0.6434,0.7788,0.7111,0.7092,0.572,0.6406
18.9,-0.2354,0.5898,0.7737,0.5099,0.7139,0.6119,0.66,0.7885,0.7243,0.762,0.5907,0.6763
19,-0.2257,0.5935,0.7991,0.5091,0.726,0.6176,0.6758,0.7961,0.736,0.8098,0.61,0.7099
19.1,-0.216,0.5954,0.8231,0.5054,0.7364,0.6209,0.6902,0.8018,0.746,0.8512,0.6294,0.7403
19.2,-0.2064,0.5956,0.8451,0.4999,0.745,0.6225,0.7029,0.8051,0.754,0.8852,0.6483,0.7668
19.3,-0.1971,0.5947,0.8644,0.4939,0.7517,0.6228,0.7133,0.8058,0.7596,0.9112,0.6665,0.7888
19.4,-0.1889,0.5933,0.8802,0.488,0.7568,0.6224,0.7206,0.8036,0.7621,0.9286,0.6835,0.806
19.5,-0.1832,0.5912,0.8922,0.4825,0.7605,0.6215,0.7236,0.7984,0.761,0.9374,0.6988,0.8181
19.6,-0.1808,0.5884,0.9009,0.4771,0.7635,0.6203,0.7213,0.7906,0.7559,0.9376,0.7124,0.825
19.7,-0.1809,0.5848,0.9069,0.4719,0.766,0.619,0.7131,0.781,0.7471,0.9297,0.7238,0.8267
19.8,-0.1819,0.5807,0.9114,0.4677,0.7678,0.6177,0.6999,0.7707,0.7353,0.9146,0.7333,0.8239
19.9,-0.1825,0.5764,0.915,0.4649,0.7686,0.6167,0.6826,0.7606,0.7216,0.8934,0.7408,0.8171
20,-0.1831,0.5721,0.9178,0.4638,0.768,0.6159,0.6625,0.7513,0.7069,0.8671,0.746,0.8066
20.1,-0.1846,0.5675,0.919,0.4643,0.7658,0.6151,0.6404,0.7424,0.6914,0.8368,0.7481,0.7925
20.2,-0.1876,0.5623,0.9178,0.4664,0.7622,0.6143,0.6174,0.7335,0.6755,0.8036,0.7466,0.7751
20.3,-0.1919,0.5566,0.914,0.4702,0.7573,0.6138,0.595,0.7243,0.6597,0.7693,0.7415,0.7554
20.4,-0.1973,0.5507,0.9078,0.4756,0.7512,0.6134,0.5745,0.7151,0.6448,0.7356,0.7337,0.7347
20.5,-0.2036,0.5448,0.9002,0.4821,0.7437,0.6129,0.5569,0.7059,0.6314,0.7044,0.7241,0.7143
20.6,-0.2113,0.5394,0.8917,0.4891,0.7353,0.6122,0.5425,0.6969,0.6197,0.6767,0.7136,0.6952
20.7,-0.2209,0.5349,0.8823,0.4964,0.7264,0.6114,0.5308,0.6874,0.6091,0.6533,0.7026,0.678
20.8,-0.233,0.5324,0.8717,0.5041,0.7184,0.6112,0.5213,0.6766,0.5989,0.6347,0.6917,0.6632
