Time,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13,-0.1501,0.5682,0.9194,0.3525,0.5819,0.4672,0.4187,0.5754,0.4971,0.7069,0.8576,0.7822
13.1,-0.1197,0.5771,0.9045,0.3671,0.6065,0.4868,0.4106,0.5887,0.4996,0.7003,0.8456,0.773
13.2,-0.0837,0.5853,0.8907,0.3859,0.6296,0.5077,0.4057,0.604,0.5049,0.6965,0.8364,0.7665
13.3,-0.0432,0.592,0.878,0.4078,0.6509,0.5293,0.4043,0.621,0.5126,0.6956,0.8297,0.7627
13.4,0.0009,0.5962,0.8661,0.4314,0.6698,0.5506,0.4063,0.6391,0.5227,0.6978,0.825,0.7614
13.5,0.0476,0.5973,0.8547,0.4552,0.6856,0.5704,0.4111,0.6579,0.5345,0.7032,0.8213,0.7622
13.6,0.0953,0.5945,0.8429,0.478,0.697,0.5875,0.4176,0.6753,0.5465,0.7112,0.8176,0.7644
13.7,0.1426,0.5868,0.8302,0.4987,0.7025,0.6006,0.4247,0.6889,0.5568,0.7204,0.8127,0.7665
13.8,0.188,0.5735,0.8157,0.5166,0.701,0.6088,0.432,0.6967,0.5643,0.7288,0.8055,0.7672
13.9,0.2294,0.5546,0.7984,0.5315,0.6922,0.6118,0.4397,0.6982,0.569,0.735,0.7953,0.7651
14,0.2652,0.5305,0.7776,0.5428,0.6765,0.6096,0.4482,0.6937,0.571,0.7383,0.7816,0.7599
14.1,0.294,0.502,0.7522,0.5504,0.6544,0.6024,0.4576,0.6824,0.57,0.7384,0.7641,0.7512
14.2,0.315,0.4699,0.7214,0.5537,0.6264,0.5901,0.4671,0.663,0.5651,0.7348,0.742,0.7384
14.3,0.3278,0.4354,0.6855,0.553,0.5934,0.5732,0.4765,0.6349,0.5557,0.7273,0.7145,0.7209
14.4,0.3326,0.4004,0.6454,0.5492,0.5573,0.5532,0.4858,0.5982,0.542,0.7155,0.6822,0.6988
14.5,0.3294,0.3673,0.6029,0.5436,0.5202,0.5319,0.4955,0.5538,0.5246,0.6998,0.6469,0.6734
14.6,0.3178,0.3375,0.5594,0.5373,0.4837,0.5105,0.5052,0.5019,0.5036,0.6806,0.6108,0.6457
14.7,0.2995,0.3116,0.5153,0.5311,0.4489,0.49,0.5142,0.4429,0.4786,0.6587,0.5757,0.6172
14.8,0.2777,0.2901,0.4713,0.5258,0.4171,0.4714,0.5216,0.3782,0.4499,0.6353,0.5428,0.589
14.9,0.2554,0.2741,0.4282,0.523,0.39,0.4565,0.5272,0.3109,0.419,0.6121,0.5129,0.5625
