Time,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC,Truecore - The Inner Strength 30 TVC
3,0.4187,0.573,0.9332,0.6387,0.6147,0.6267,0.485,0.8798,0.6824,0.4352,0.6164,0.5258
3.1,0.4135,0.5606,0.9562,0.6053,0.6018,0.6035,0.4781,0.8642,0.6711,0.4315,0.6196,0.5256
3.2,0.4072,0.5418,0.9731,0.5687,0.5813,0.575,0.4686,0.8418,0.6552,0.4262,0.6189,0.5226
3.3,0.3993,0.5169,0.9836,0.529,0.5537,0.5414,0.4562,0.8125,0.6344,0.4193,0.614,0.5166
3.4,0.3904,0.4874,0.9879,0.4868,0.5198,0.5033,0.4413,0.777,0.6092,0.4106,0.6047,0.5077
3.5,0.3803,0.4547,0.9862,0.4429,0.4811,0.462,0.4243,0.7368,0.5805,0.4003,0.5915,0.4959
3.6,0.3692,0.42,0.9786,0.3986,0.4386,0.4186,0.4061,0.6937,0.5499,0.3887,0.5748,0.4817
3.7,0.3579,0.3839,0.9658,0.3545,0.3928,0.3736,0.3876,0.6501,0.5189,0.3767,0.5561,0.4664
3.8,0.3483,0.3466,0.9486,0.3113,0.3442,0.3278,0.3697,0.6084,0.4891,0.3658,0.5374,0.4516
3.9,0.3428,0.3082,0.9282,0.27,0.2936,0.2818,0.3527,0.5706,0.4616,0.3574,0.5206,0.439
4,0.3427,0.2695,0.906,0.2316,0.2431,0.2373,0.3367,0.5378,0.4372,0.3523,0.5071,0.4297
4.1,0.3474,0.2318,0.883,0.197,0.1952,0.1961,0.3225,0.5109,0.4167,0.3504,0.4972,0.4238
4.2,0.3545,0.1968,0.8599,0.1666,0.1521,0.1594,0.311,0.4901,0.4005,0.3519,0.4908,0.4214
4.3,0.3613,0.1657,0.8377,0.1405,0.1151,0.1278,0.3033,0.4752,0.3893,0.3571,0.4878,0.4225
4.4,0.3657,0.1395,0.8173,0.1184,0.0845,0.1015,0.3004,0.466,0.3832,0.3659,0.4881,0.427
4.5,0.3671,0.1189,0.7994,0.1008,0.0605,0.0806,0.3026,0.4627,0.3826,0.3776,0.4914,0.4345
4.6,0.3653,0.1047,0.7843,0.0879,0.0429,0.0654,0.3097,0.4653,0.3875,0.391,0.497,0.444
4.7,0.3598,0.0979,0.7724,0.0802,0.0319,0.0561,0.3215,0.4736,0.3976,0.4051,0.5042,0.4547
4.8,0.3495,0.0994,0.7655,0.0781,0.0276,0.0528,0.3371,0.4876,0.4124,0.4193,0.5125,0.4659
4.9,0.3327,0.1101,0.7651,0.0815,0.0304,0.056,0.3554,0.5072,0.4313,0.4338,0.5217,0.4778
5,0.3085,0.1304,0.7717,0.0906,0.0408,0.0657,0.3755,0.5322,0.4539,0.4491,0.5316,0.4903
5.1,0.2772,0.16,0.784,0.1055,0.0583,0.0819,0.3965,0.5619,0.4792,0.4652,0.5414,0.5033
5.2,0.2402,0.1982,0.7995,0.1258,0.0817,0.1037,0.4173,0.5943,0.5058,0.4811,0.5502,0.5156
5.3,0.2003,0.2436,0.8156,0.1505,0.1095,0.13,0.4367,0.6268,0.5318,0.4953,0.557,0.5262
5.4,0.162,0.2943,0.8312,0.1786,0.1407,0.1597,0.4537,0.6569,0.5553,0.5069,0.5619,0.5344
5.5,0.1304,0.348,0.846,0.2098,0.1747,0.1922,0.4681,0.6833,0.5757,0.5153,0.5655,0.5404
5.6,0.11,0.4022,0.8598,0.2443,0.2114,0.2279,0.4803,0.7061,0.5932,0.5206,0.5686,0.5446
5.7,0.1025,0.4547,0.8711,0.2828,0.2508,0.2668,0.4907,0.7257,0.6082,0.5228,0.5716,0.5472
5.8,0.1065,0.5033,0.8775,0.3247,0.2921,0.3084,0.4995,0.7424,0.6209,0.5217,0.5742,0.5479
5.9,0.1183,0.5464,0.8773,0.3682,0.3345,0.3514,0.5066,0.7558,0.6312,0.5171,0.5758,0.5465
6,0.1326,0.5824,0.8707,0.4107,0.377,0.3939,0.5115,0.7657,0.6386,0.5093,0.577,0.5431
6.1,0.1453,0.6099,0.8595,0.4499,0.4187,0.4343,0.5139,0.7717,0.6428,0.4991,0.5786,0.5388
6.2,0.1537,0.6282,0.8452,0.4844,0.4587,0.4715,0.5142,0.7747,0.6444,0.4877,0.5816,0.5346
6.3,0.1564,0.6377,0.8292,0.5135,0.4967,0.5051,0.513,0.7758,0.6444,0.4755,0.5863,0.5309
6.4,0.1527,0.6392,0.8125,0.5373,0.5328,0.5351,0.5105,0.7758,0.6432,0.4628,0.5923,0.5276
6.5,0.1423,0.6343,0.7946,0.556,0.5668,0.5614,0.5068,0.7739,0.6404,0.4499,0.5992,0.5246
6.6,0.1271,0.6245,0.7751,0.57,0.5974,0.5837,0.5017,0.7695,0.6356,0.4374,0.6066,0.522
6.7,0.1097,0.6115,0.754,0.5807,0.6236,0.6022,0.4957,0.7629,0.6293,0.4263,0.6143,0.5203
6.8,0.0922,0.5964,0.7323,0.589,0.6442,0.6166,0.4898,0.7553,0.6226,0.4174,0.6225,0.5199
6.9,0.0763,0.5796,0.7109,0.5951,0.6585,0.6268,0.4849,0.7477,0.6163,0.4111,0.6312,0.5212
7,0.0629,0.5613,0.6905,0.599,0.6661,0.6326,0.4811,0.74,0.6105,0.4075,0.6405,0.524
7.1,0.0538,0.542,0.671,0.6008,0.6675,0.6342,0.4786,0.7317,0.6051,0.4067,0.6502,0.5285
7.2,0.0502,0.5225,0.6525,0.6012,0.6636,0.6324,0.4772,0.7224,0.5998,0.4084,0.6599,0.5341
7.3,0.052,0.5038,0.635,0.6009,0.656,0.6285,0.477,0.7126,0.5948,0.4119,0.6687,0.5403
7.4,0.0574,0.4871,0.6188,0.6006,0.6462,0.6234,0.4781,0.7025,0.5903,0.417,0.6758,0.5464
7.5,0.0644,0.4727,0.604,0.6004,0.6346,0.6175,0.4807,0.6926,0.5866,0.4233,0.6811,0.5522
7.6,0.0717,0.4603,0.5907,0.6,0.6213,0.6106,0.4847,0.6828,0.5838,0.431,0.6847,0.5579
7.7,0.0795,0.4495,0.5787,0.5995,0.6059,0.6027,0.49,0.6734,0.5817,0.4401,0.6865,0.5633
7.8,0.0881,0.4401,0.5678,0.599,0.589,0.594,0.4961,0.6647,0.5804,0.45,0.6863,0.5681
7.9,0.0974,0.4325,0.5579,0.5988,0.5715,0.5851,0.5026,0.657,0.5798,0.4602,0.6838,0.572
8,0.1072,0.4268,0.5488,0.5991,0.5544,0.5767,0.5091,0.6498,0.5795,0.4708,0.6793,0.5751
8.1,0.1167,0.4235,0.5405,0.5998,0.5386,0.5692,0.5153,0.6428,0.579,0.4823,0.6736,0.578
8.2,0.126,0.4228,0.5329,0.6012,0.524,0.5626,0.5216,0.6355,0.5785,0.495,0.6675,0.5813
8.3,0.1348,0.4247,0.5254,0.6028,0.5101,0.5564,0.5283,0.6281,0.5782,0.5087,0.6613,0.585
8.4,0.1429,0.4288,0.5173,0.6041,0.496,0.55,0.536,0.6207,0.5783,0.5227,0.655,0.5889
8.5,0.1493,0.4344,0.5082,0.6036,0.4809,0.5423,0.5443,0.613,0.5786,0.5362,0.6482,0.5922
8.6,0.1536,0.4411,0.4982,0.6002,0.4645,0.5323,0.5525,0.6042,0.5784,0.5485,0.6407,0.5946
8.7,0.1554,0.4489,0.4875,0.5933,0.447,0.5201,0.5599,0.594,0.5769,0.5595,0.6325,0.596
8.8,0.1546,0.4577,0.4766,0.5837,0.429,0.5063,0.566,0.583,0.5745,0.569,0.6239,0.5965
8.9,0.1506,0.4673,0.466,0.5725,0.4114,0.4919,0.5707,0.5724,0.5716,0.5768,0.6152,0.596
9,0.1419,0.4775,0.4559,0.5606,0.3954,0.478,0.574,0.5634,0.5687,0.5824,0.6063,0.5944
9.1,0.1279,0.4885,0.446,0.5483,0.3818,0.465,0.5755,0.5562,0.5658,0.5854,0.5971,0.5913
9.2,0.1091,0.5002,0.4356,0.5355,0.3711,0.4533,0.5745,0.5497,0.5621,0.5855,0.5876,0.5865
9.3,0.087,0.5123,0.4238,0.5226,0.3636,0.4431,0.5707,0.5426,0.5567,0.5825,0.578,0.5802
9.4,0.0626,0.5237,0.4102,0.5094,0.359,0.4342,0.5637,0.5337,0.5487,0.5768,0.569,0.5729
9.5,0.0365,0.533,0.3944,0.4961,0.3563,0.4262,0.5532,0.5222,0.5377,0.5687,0.5611,0.5649
9.6,0.0092,0.5398,0.3762,0.4825,0.3548,0.4186,0.5385,0.5077,0.5231,0.5585,0.5541,0.5563
9.7,-0.0188,0.544,0.3557,0.4688,0.3541,0.4114,0.519,0.4901,0.5046,0.5457,0.5473,0.5465
9.8,-0.0463,0.5463,0.3327,0.455,0.3542,0.4046,0.4941,0.4694,0.4818,0.5303,0.5397,0.535
9.9,-0.072,0.5468,0.307,0.4413,0.3551,0.3982,0.4644,0.4456,0.455,0.5126,0.5309,0.5217
10,-0.0948,0.5457,0.2789,0.4277,0.3569,0.3923,0.431,0.4191,0.425,0.4938,0.5207,0.5072
10.1,-0.1146,0.5432,0.2495,0.4148,0.3599,0.3874,0.3963,0.3911,0.3937,0.475,0.5098,0.4924
10.2,-0.1319,0.54,0.2208,0.4032,0.3647,0.3839,0.3626,0.3628,0.3627,0.4572,0.4985,0.4779
10.3,-0.1476,0.5366,0.1938,0.3931,0.3713,0.3822,0.3314,0.3352,0.3333,0.4407,0.4869,0.4638
10.4,-0.1623,0.5337,0.1691,0.385,0.38,0.3825,0.3032,0.3085,0.3059,0.4251,0.4746,0.4498
10.5,-0.1764,0.5314,0.1468,0.379,0.3904,0.3847,0.278,0.283,0.2805,0.4103,0.4615,0.4359
10.6,-0.1903,0.5299,0.1274,0.3755,0.4026,0.3891,0.2555,0.2595,0.2575,0.396,0.4478,0.4219
10.7,-0.2042,0.5289,0.1119,0.3745,0.4169,0.3957,0.2361,0.2392,0.2376,0.3822,0.434,0.4081
10.8,-0.2189,0.5277,0.1015,0.3758,0.4328,0.4043,0.2203,0.2234,0.2218,0.3694,0.421,0.3952
10.9,-0.2343,0.5253,0.0971,0.3792,0.4495,0.4143,0.2085,0.2134,0.211,0.3577,0.4104,0.3841
11,-0.2502,0.5211,0.0993,0.3841,0.4657,0.4249,0.2014,0.2093,0.2053,0.3475,0.4034,0.3754
11.1,-0.2663,0.5153,0.1087,0.3903,0.481,0.4357,0.1989,0.2109,0.2049,0.3388,0.4004,0.3696
11.2,-0.282,0.5089,0.1256,0.3986,0.4952,0.4469,0.2011,0.218,0.2095,0.3317,0.4013,0.3665
11.3,-0.2965,0.5024,0.1497,0.4097,0.5083,0.459,0.207,0.2293,0.2182,0.3269,0.4058,0.3664
11.4,-0.3096,0.4963,0.1802,0.4236,0.5202,0.4719,0.216,0.2436,0.2298,0.3251,0.4138,0.3695
11.5,-0.3211,0.4912,0.2157,0.4401,0.5311,0.4856,0.2279,0.2599,0.2439,0.3263,0.4249,0.3756
11.6,-0.331,0.4873,0.2547,0.4585,0.5409,0.4997,0.2426,0.2779,0.2603,0.33,0.4382,0.3841
11.7,-0.3404,0.4848,0.296,0.4782,0.55,0.5141,0.2596,0.2975,0.2786,0.3357,0.4527,0.3942
11.8,-0.3499,0.484,0.3392,0.4986,0.5587,0.5286,0.278,0.3185,0.2983,0.343,0.468,0.4055
11.9,-0.3583,0.4857,0.383,0.5195,0.5677,0.5436,0.2973,0.3402,0.3187,0.352,0.4839,0.4179
12,-0.3636,0.4911,0.4259,0.5414,0.5779,0.5597,0.3174,0.3621,0.3398,0.3629,0.5002,0.4316
12.1,-0.3642,0.5008,0.4662,0.5645,0.5898,0.5772,0.3388,0.3843,0.3616,0.3761,0.5173,0.4467
12.2,-0.361,0.5141,0.5025,0.5886,0.6032,0.5959,0.3616,0.407,0.3843,0.3913,0.535,0.4631
12.3,-0.3548,0.5305,0.5334,0.6124,0.6173,0.6149,0.3852,0.4299,0.4076,0.4085,0.553,0.4807
12.4,-0.345,0.5489,0.5574,0.6346,0.6308,0.6327,0.409,0.4517,0.4303,0.4271,0.5706,0.4989
12.5,-0.3303,0.5685,0.5733,0.654,0.6427,0.6483,0.4316,0.4707,0.4511,0.4468,0.5871,0.5169
12.6,-0.3093,0.5878,0.5801,0.6701,0.652,0.661,0.4523,0.4858,0.469,0.4669,0.6019,0.5344
12.7,-0.283,0.6051,0.5783,0.6825,0.6586,0.6706,0.4706,0.4965,0.4835,0.4875,0.6153,0.5514
12.8,-0.2539,0.6193,0.5694,0.6911,0.6627,0.6769,0.4864,0.5031,0.4948,0.5087,0.6277,0.5682
12.9,-0.2234,0.6308,0.5549,0.6967,0.6644,0.6806,0.4994,0.5064,0.5029,0.53,0.6389,0.5845
13,-0.1909,0.6406,0.5358,0.7002,0.6642,0.6822,0.5098,0.5068,0.5083,0.5502,0.6483,0.5993
13.1,-0.1555,0.649,0.5124,0.7026,0.6622,0.6824,0.5177,0.5045,0.5111,0.5683,0.6547,0.6115
13.2,-0.1177,0.6552,0.4846,0.7036,0.6577,0.6807,0.5239,0.4997,0.5118,0.5836,0.657,0.6203
13.3,-0.0789,0.658,0.4532,0.7029,0.6498,0.6764,0.529,0.4924,0.5107,0.596,0.655,0.6255
13.4,-0.0405,0.6574,0.4203,0.7001,0.6384,0.6692,0.5336,0.4833,0.5085,0.6049,0.649,0.627
13.5,-0.003,0.6538,0.3881,0.6951,0.6232,0.6592,0.5377,0.474,0.5058,0.6101,0.6395,0.6248
13.6,0.0339,0.6475,0.3587,0.6883,0.6045,0.6464,0.5411,0.4657,0.5034,0.6115,0.627,0.6192
13.7,0.0709,0.638,0.3335,0.6799,0.5819,0.6309,0.5432,0.4591,0.5011,0.6091,0.6125,0.6108
13.8,0.1081,0.6245,0.3131,0.6693,0.555,0.6122,0.5435,0.4542,0.4989,0.6039,0.5969,0.6004
13.9,0.146,0.607,0.2978,0.6562,0.5242,0.5902,0.5422,0.4509,0.4966,0.5969,0.5816,0.5893
14,0.1857,0.5862,0.2879,0.6406,0.4899,0.5652,0.5399,0.4493,0.4946,0.5886,0.5672,0.5779
14.1,0.2278,0.563,0.2833,0.6229,0.4531,0.538,0.537,0.4496,0.4933,0.5793,0.5539,0.5666
14.2,0.2727,0.5384,0.2835,0.6037,0.4143,0.509,0.5338,0.4516,0.4927,0.5696,0.5422,0.5559
14.3,0.3214,0.5136,0.2881,0.5836,0.3738,0.4787,0.5302,0.4545,0.4924,0.56,0.5321,0.5461
14.4,0.3751,0.4903,0.2966,0.5631,0.3323,0.4477,0.5261,0.4577,0.4919,0.551,0.5242,0.5376
14.5,0.4341,0.4699,0.3085,0.5436,0.2917,0.4177,0.5212,0.461,0.4911,0.5427,0.5186,0.5306
14.6,0.4974,0.4533,0.3228,0.5266,0.254,0.3903,0.5154,0.4651,0.4903,0.5349,0.5152,0.525
14.7,0.5633,0.4411,0.3385,0.5123,0.2205,0.3664,0.5083,0.4701,0.4892,0.527,0.5136,0.5203
14.8,0.6301,0.4332,0.3543,0.4999,0.1922,0.346,0.4998,0.4758,0.4878,0.5186,0.5135,0.5161
14.9,0.6957,0.4293,0.3692,0.4886,0.1694,0.329,0.4898,0.4818,0.4858,0.5091,0.5143,0.5117
15,0.7576,0.4285,0.3825,0.4784,0.152,0.3152,0.4784,0.4875,0.4829,0.4984,0.5154,0.5069
15.1,0.8137,0.4302,0.3935,0.4696,0.1397,0.3047,0.4657,0.4923,0.479,0.4868,0.5159,0.5014
15.2,0.8627,0.4337,0.4014,0.4628,0.132,0.2974,0.4521,0.4959,0.474,0.4745,0.5153,0.4949
15.3,0.9043,0.4383,0.4056,0.4581,0.1282,0.2932,0.4381,0.4981,0.4681,0.4619,0.5132,0.4875
15.4,0.937,0.4431,0.4057,0.4558,0.1279,0.2919,0.4243,0.4988,0.4616,0.4491,0.5094,0.4792
15.5,0.9585,0.4478,0.4021,0.4559,0.1299,0.2929,0.4111,0.4982,0.4546,0.4359,0.5035,0.4697
15.6,0.9675,0.4521,0.3948,0.458,0.1334,0.2957,0.399,0.4962,0.4476,0.4229,0.4949,0.4589
15.7,0.9649,0.456,0.3839,0.4612,0.1375,0.2993,0.3886,0.4928,0.4407,0.4106,0.4832,0.4469
15.8,0.9519,0.4596,0.3696,0.4647,0.1418,0.3032,0.3805,0.4881,0.4343,0.4001,0.4688,0.4345
15.9,0.9282,0.4628,0.3526,0.4677,0.1465,0.3071,0.375,0.4821,0.4286,0.392,0.4529,0.4224
16,0.8928,0.466,0.3342,0.4695,0.152,0.3108,0.3724,0.4754,0.4239,0.3867,0.4366,0.4116
16.1,0.845,0.4698,0.3158,0.4704,0.1582,0.3143,0.3726,0.4688,0.4207,0.3844,0.4204,0.4024
16.2,0.7856,0.4755,0.2986,0.4709,0.1648,0.3178,0.3757,0.4631,0.4194,0.3851,0.4046,0.3948
16.3,0.7182,0.4842,0.2833,0.4719,0.1714,0.3217,0.3817,0.4588,0.4203,0.3887,0.3894,0.389
16.4,0.647,0.4965,0.2711,0.4742,0.1783,0.3262,0.3907,0.4567,0.4237,0.3952,0.3752,0.3852
16.5,0.5751,0.512,0.263,0.4775,0.1853,0.3314,0.4023,0.4571,0.4297,0.4042,0.3631,0.3837
16.6,0.5045,0.5295,0.2597,0.4814,0.1923,0.3369,0.4163,0.4601,0.4382,0.415,0.3542,0.3846
16.7,0.4371,0.5487,0.2619,0.4862,0.1999,0.343,0.433,0.4663,0.4497,0.4269,0.3499,0.3884
16.8,0.3757,0.5691,0.27,0.4928,0.2096,0.3512,0.4524,0.4766,0.4645,0.4396,0.3515,0.3956
16.9,0.3237,0.5906,0.2841,0.503,0.2234,0.3632,0.4737,0.4909,0.4823,0.453,0.3594,0.4062
17,0.2838,0.6123,0.3043,0.5177,0.2424,0.38,0.4957,0.5084,0.5021,0.4663,0.3738,0.42
17.1,0.2574,0.6329,0.3298,0.5371,0.2668,0.402,0.5172,0.5277,0.5225,0.4786,0.3941,0.4364
17.2,0.2443,0.652,0.3585,0.5614,0.2956,0.4285,0.5379,0.5473,0.5426,0.489,0.4197,0.4544
17.3,0.244,0.6696,0.3876,0.5908,0.3279,0.4593,0.5579,0.5666,0.5622,0.4969,0.4496,0.4733
17.4,0.2561,0.6862,0.4145,0.6259,0.3626,0.4942,0.5768,0.5853,0.581,0.502,0.4827,0.4924
17.5,0.279,0.7016,0.4377,0.6669,0.3985,0.5327,0.5932,0.603,0.5981,0.5042,0.5177,0.5109
17.6,0.3097,0.7152,0.4555,0.7117,0.4335,0.5726,0.6058,0.619,0.6124,0.503,0.5532,0.5281
17.7,0.3445,0.7256,0.4662,0.7567,0.4646,0.6107,0.6139,0.6325,0.6232,0.4984,0.5882,0.5433
17.8,0.3797,0.7312,0.4683,0.7982,0.4895,0.6439,0.6172,0.6427,0.6299,0.4905,0.6211,0.5558
17.9,0.4132,0.7312,0.4616,0.8334,0.5074,0.6704,0.6152,0.6484,0.6318,0.4794,0.6506,0.565
18,0.444,0.7255,0.4469,0.8602,0.5176,0.6889,0.6073,0.6482,0.6277,0.4652,0.6756,0.5704
18.1,0.4719,0.7146,0.4255,0.8769,0.5203,0.6986,0.5929,0.6411,0.617,0.4484,0.6951,0.5717
18.2,0.496,0.6991,0.3993,0.8828,0.5167,0.6998,0.5726,0.6277,0.6001,0.4301,0.7086,0.5694
18.3,0.5155,0.6798,0.3705,0.8785,0.5083,0.6934,0.5476,0.6096,0.5786,0.4118,0.7165,0.5641
18.4,0.5295,0.6573,0.3416,0.8652,0.4966,0.6809,0.5196,0.5893,0.5544,0.3941,0.7186,0.5564
18.5,0.5385,0.6332,0.3141,0.8441,0.483,0.6635,0.4901,0.5683,0.5292,0.3773,0.7149,0.5461
18.6,0.5431,0.6088,0.2897,0.8164,0.4683,0.6424,0.4604,0.5482,0.5043,0.3613,0.7059,0.5336
18.7,0.543,0.5856,0.2701,0.7832,0.4535,0.6183,0.4319,0.53,0.481,0.3461,0.6928,0.5195
18.8,0.538,0.5643,0.2568,0.7458,0.4387,0.5923,0.4054,0.5147,0.4601,0.332,0.6772,0.5046
18.9,0.5285,0.5454,0.25,0.7057,0.4242,0.565,0.3811,0.5025,0.4418,0.3196,0.66,0.4898
19,0.516,0.5291,0.2496,0.664,0.41,0.537,0.3591,0.4929,0.426,0.3093,0.6421,0.4757
19.1,0.5017,0.5154,0.2554,0.622,0.3965,0.5092,0.3393,0.4852,0.4122,0.3017,0.625,0.4634
19.2,0.486,0.5045,0.268,0.5816,0.3847,0.4832,0.3219,0.4789,0.4004,0.2967,0.6101,0.4534
19.3,0.4687,0.4968,0.2873,0.545,0.3751,0.46,0.3067,0.4742,0.3904,0.2937,0.5976,0.4456
19.4,0.452,0.4927,0.3127,0.514,0.3676,0.4408,0.2935,0.4713,0.3824,0.292,0.5869,0.4395
19.5,0.4383,0.492,0.3426,0.4897,0.3616,0.4257,0.2829,0.4707,0.3768,0.2909,0.5772,0.4341
19.6,0.4291,0.4942,0.3751,0.4722,0.3565,0.4144,0.2754,0.4723,0.3738,0.2902,0.5682,0.4292
19.7,0.4244,0.4987,0.4091,0.4614,0.3522,0.4068,0.2718,0.4763,0.374,0.2901,0.5604,0.4252
19.8,0.4233,0.5051,0.4438,0.457,0.3488,0.4029,0.2723,0.4824,0.3773,0.291,0.5542,0.4226
19.9,0.4243,0.5128,0.4777,0.4587,0.3464,0.4026,0.2768,0.4896,0.3832,0.2935,0.5499,0.4217
20,0.4269,0.5212,0.5089,0.4657,0.3445,0.4051,0.2853,0.4966,0.3909,0.298,0.5473,0.4227
20.1,0.4314,0.5298,0.536,0.4774,0.3425,0.4099,0.2975,0.5027,0.4001,0.3053,0.5464,0.4259
20.2,0.4375,0.5387,0.5581,0.493,0.3407,0.4169,0.3126,0.5075,0.4101,0.3157,0.5472,0.4315
20.3,0.4445,0.5478,0.5752,0.512,0.3394,0.4257,0.3294,0.5104,0.4199,0.329,0.5497,0.4394
20.4,0.4506,0.5571,0.5875,0.5333,0.3388,0.436,0.347,0.5111,0.4291,0.3446,0.5537,0.4492
20.5,0.4544,0.5661,0.5952,0.5555,0.3383,0.4469,0.3653,0.5098,0.4376,0.3616,0.5591,0.4604
20.6,0.4543,0.5745,0.5981,0.5775,0.3376,0.4576,0.385,0.5067,0.4459,0.3796,0.5655,0.4726
20.7,0.4494,0.5825,0.5968,0.5983,0.3367,0.4675,0.4064,0.5026,0.4545,0.3983,0.5724,0.4854
20.8,0.4389,0.5903,0.5921,0.6172,0.3363,0.4768,0.4288,0.4981,0.4635,0.4172,0.5794,0.4983
20.9,0.4228,0.5982,0.5845,0.6339,0.3372,0.4856,0.4512,0.4931,0.4721,0.4356,0.5859,0.5107
21,0.4015,0.6059,0.5744,0.648,0.3398,0.4939,0.4727,0.487,0.4798,0.4529,0.5916,0.5223
21.1,0.3757,0.6127,0.5629,0.659,0.3438,0.5014,0.4933,0.4798,0.4865,0.4689,0.5964,0.5326
21.2,0.3467,0.6184,0.5517,0.667,0.3493,0.5081,0.5132,0.4724,0.4928,0.4837,0.6002,0.542
21.3,0.3149,0.6232,0.5426,0.6721,0.3568,0.5144,0.533,0.4658,0.4994,0.4976,0.603,0.5503
