Time,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods,Movie Trailer - Into the Woods
3.8,-0.3621,0.4571,0.6106,0.4002,0.4836,0.4419,0.5558,0.636,0.5959,0.3845,0.4948,0.4397
3.9,-0.3813,0.4597,0.619,0.3938,0.4774,0.4356,0.5535,0.6386,0.596,0.3815,0.5082,0.4448
4,-0.4007,0.4653,0.6281,0.3897,0.4739,0.4318,0.5519,0.6422,0.597,0.3827,0.5256,0.4542
4.1,-0.42,0.4733,0.6376,0.3881,0.4732,0.4307,0.5513,0.6465,0.5989,0.3882,0.5461,0.4672
4.2,-0.4385,0.4834,0.6471,0.3889,0.4759,0.4324,0.5514,0.6513,0.6013,0.3971,0.5682,0.4827
4.3,-0.4547,0.4951,0.6563,0.392,0.4819,0.437,0.5515,0.6561,0.6038,0.4086,0.5898,0.4992
4.4,-0.4673,0.508,0.6646,0.3973,0.4914,0.4444,0.5513,0.6605,0.6059,0.422,0.6097,0.5159
4.5,-0.4753,0.5216,0.6723,0.405,0.5042,0.4546,0.5508,0.6642,0.6075,0.4375,0.6274,0.5324
4.6,-0.4787,0.5357,0.6792,0.4152,0.5205,0.4678,0.5505,0.6671,0.6088,0.4552,0.6428,0.549
4.7,-0.4775,0.5501,0.6857,0.4282,0.5399,0.484,0.5506,0.6691,0.6098,0.4746,0.6556,0.5651
4.8,-0.4723,0.5643,0.6916,0.4437,0.5622,0.503,0.5513,0.67,0.6107,0.4948,0.6654,0.5801
4.9,-0.4642,0.5778,0.6967,0.4612,0.5865,0.5239,0.5527,0.6699,0.6113,0.5144,0.6719,0.5931
5,-0.4539,0.5901,0.7001,0.4799,0.6115,0.5457,0.5544,0.6687,0.6116,0.5324,0.6753,0.6038
5.1,-0.4418,0.6008,0.7014,0.4991,0.6359,0.5675,0.5562,0.6665,0.6114,0.5483,0.676,0.6121
5.2,-0.4282,0.6098,0.7004,0.5184,0.659,0.5887,0.5577,0.6634,0.6106,0.5617,0.6748,0.6182
5.3,-0.4135,0.6176,0.6979,0.5378,0.6806,0.6092,0.559,0.66,0.6095,0.5724,0.672,0.6222
5.4,-0.3981,0.6244,0.6947,0.5573,0.7007,0.629,0.5604,0.657,0.6087,0.5804,0.6682,0.6243
5.5,-0.3827,0.6301,0.6918,0.5762,0.7189,0.6476,0.5623,0.6554,0.6088,0.5857,0.6636,0.6246
5.6,-0.3671,0.6347,0.6898,0.5934,0.735,0.6642,0.5645,0.6552,0.6099,0.5884,0.6584,0.6234
5.7,-0.3512,0.638,0.6889,0.6081,0.7485,0.6783,0.5665,0.6561,0.6113,0.5885,0.6526,0.6206
5.8,-0.3346,0.6402,0.689,0.6196,0.7592,0.6894,0.5676,0.6577,0.6127,0.5864,0.6462,0.6163
5.9,-0.3174,0.6416,0.6904,0.628,0.767,0.6975,0.5675,0.6593,0.6134,0.5823,0.6388,0.6106
6,-0.3004,0.6428,0.6932,0.6335,0.7718,0.7026,0.5662,0.6611,0.6136,0.5768,0.6307,0.6037
6.1,-0.284,0.644,0.6975,0.6366,0.7735,0.705,0.5643,0.6631,0.6137,0.5707,0.6222,0.5964
6.2,-0.2684,0.6458,0.7033,0.638,0.7729,0.7054,0.5625,0.6656,0.614,0.5647,0.614,0.5894
6.3,-0.2535,0.6488,0.7107,0.6387,0.771,0.7048,0.5609,0.669,0.615,0.5595,0.6063,0.5829
6.4,-0.239,0.6532,0.7195,0.6394,0.7684,0.7039,0.5599,0.6733,0.6166,0.555,0.5991,0.577
6.5,-0.2247,0.6592,0.7291,0.6407,0.7658,0.7033,0.5593,0.6783,0.6188,0.5511,0.592,0.5715
6.6,-0.2112,0.6669,0.7392,0.6424,0.7634,0.7029,0.5595,0.684,0.6217,0.5478,0.5851,0.5665
6.7,-0.1985,0.6762,0.7495,0.6445,0.761,0.7027,0.5605,0.6904,0.6254,0.5453,0.5787,0.562
6.8,-0.1867,0.6869,0.7597,0.6466,0.7583,0.7024,0.5621,0.6972,0.6296,0.5432,0.5725,0.5578
6.9,-0.1753,0.6981,0.7695,0.6486,0.7548,0.7017,0.564,0.7042,0.6341,0.5415,0.5665,0.554
7,-0.1642,0.7092,0.7791,0.6506,0.7504,0.7005,0.5663,0.7112,0.6387,0.5405,0.5609,0.5507
7.1,-0.1529,0.7194,0.7883,0.6527,0.745,0.6989,0.5695,0.7181,0.6438,0.5407,0.556,0.5484
7.2,-0.1412,0.7281,0.7967,0.6551,0.7389,0.697,0.5741,0.7247,0.6494,0.5425,0.5518,0.5471
7.3,-0.1288,0.7353,0.804,0.6576,0.732,0.6948,0.5802,0.7308,0.6555,0.5454,0.548,0.5467
7.4,-0.1154,0.7406,0.8093,0.66,0.7241,0.6921,0.5871,0.7357,0.6614,0.5487,0.5441,0.5464
7.5,-0.1015,0.7438,0.8122,0.6621,0.7156,0.6889,0.5939,0.739,0.6665,0.5511,0.5396,0.5454
7.6,-0.0876,0.7446,0.8125,0.6639,0.7066,0.6852,0.6001,0.7401,0.6701,0.5525,0.5344,0.5434
7.7,-0.0744,0.743,0.8102,0.6651,0.6974,0.6813,0.6055,0.7387,0.6721,0.5531,0.5291,0.5411
7.8,-0.0624,0.7393,0.8052,0.6658,0.6885,0.6771,0.6106,0.7349,0.6727,0.5534,0.5245,0.539
7.9,-0.053,0.7333,0.7973,0.6659,0.6799,0.6729,0.6151,0.7288,0.672,0.5533,0.5209,0.5371
8,-0.0474,0.7251,0.7859,0.665,0.6721,0.6685,0.6186,0.7207,0.6697,0.5521,0.5177,0.5349
8.1,-0.0457,0.7146,0.771,0.6629,0.6648,0.6638,0.6206,0.7105,0.6655,0.5492,0.5146,0.5319
8.2,-0.0473,0.702,0.7523,0.6592,0.6578,0.6585,0.6207,0.6985,0.6596,0.5446,0.5116,0.5281
8.3,-0.0514,0.6873,0.7302,0.6538,0.6511,0.6524,0.6191,0.6852,0.6522,0.539,0.5091,0.524
8.4,-0.0576,0.6707,0.7057,0.6465,0.6444,0.6455,0.6162,0.6713,0.6437,0.5329,0.5076,0.5203
8.5,-0.0655,0.6526,0.6801,0.6373,0.6382,0.6377,0.6124,0.6573,0.6349,0.527,0.5074,0.5172
8.6,-0.0754,0.6336,0.6549,0.6265,0.6326,0.6296,0.6083,0.644,0.6261,0.5217,0.5086,0.5151
8.7,-0.0868,0.6146,0.6314,0.6147,0.6281,0.6214,0.6042,0.6318,0.618,0.5172,0.5111,0.5141
8.8,-0.0992,0.5962,0.6104,0.6022,0.625,0.6136,0.6008,0.6212,0.611,0.5142,0.5147,0.5144
8.9,-0.112,0.5792,0.5924,0.5895,0.6239,0.6067,0.5982,0.6124,0.6053,0.513,0.5193,0.5161
9,-0.125,0.5646,0.5778,0.5771,0.625,0.6011,0.5965,0.6055,0.601,0.5137,0.5247,0.5192
9.1,-0.1385,0.5529,0.5672,0.5655,0.6288,0.5972,0.5956,0.6007,0.5982,0.5163,0.5306,0.5234
9.2,-0.1525,0.5445,0.5612,0.5551,0.6353,0.5952,0.5957,0.5983,0.597,0.5207,0.5365,0.5286
9.3,-0.1661,0.5394,0.5595,0.5459,0.644,0.5949,0.5972,0.598,0.5976,0.5271,0.5419,0.5345
9.4,-0.1782,0.5371,0.5614,0.5378,0.6543,0.596,0.6002,0.5994,0.5998,0.5352,0.5464,0.5408
9.5,-0.1875,0.5373,0.566,0.5306,0.6658,0.5982,0.6047,0.6021,0.6034,0.5444,0.5497,0.5471
9.6,-0.1935,0.5401,0.5726,0.5245,0.678,0.6013,0.6101,0.6055,0.6078,0.554,0.5516,0.5528
9.7,-0.1961,0.5451,0.5803,0.5197,0.6905,0.6051,0.616,0.6094,0.6127,0.5632,0.5519,0.5575
9.8,-0.1951,0.5519,0.5884,0.5161,0.702,0.609,0.622,0.6136,0.6178,0.5716,0.5504,0.561
9.9,-0.1906,0.5599,0.5964,0.5134,0.7114,0.6124,0.6277,0.6177,0.6227,0.5788,0.5472,0.563
10,-0.1828,0.5682,0.6043,0.5114,0.718,0.6147,0.6334,0.6215,0.6274,0.585,0.5427,0.5638
10.1,-0.1718,0.5766,0.6126,0.5101,0.7218,0.6159,0.6391,0.6253,0.6322,0.5899,0.5374,0.5636
10.2,-0.1584,0.5848,0.6218,0.5096,0.7232,0.6164,0.6451,0.629,0.6371,0.5933,0.5317,0.5625
10.3,-0.1437,0.5926,0.6319,0.5101,0.723,0.6166,0.6516,0.6331,0.6424,0.5951,0.5259,0.5605
10.4,-0.1287,0.6002,0.6427,0.5122,0.7218,0.617,0.6588,0.6378,0.6483,0.5956,0.5203,0.558
10.5,-0.1139,0.6073,0.6532,0.5158,0.7198,0.6178,0.6671,0.643,0.655,0.5952,0.5153,0.5553
10.6,-0.0997,0.6138,0.663,0.5211,0.7174,0.6192,0.6762,0.6489,0.6626,0.5943,0.5116,0.5529
10.7,-0.0858,0.6194,0.6719,0.5278,0.7143,0.6211,0.6863,0.6554,0.6709,0.5934,0.5101,0.5517
10.8,-0.0724,0.6241,0.6802,0.536,0.7111,0.6235,0.697,0.6629,0.68,0.5935,0.5114,0.5525
10.9,-0.0599,0.6281,0.6887,0.5458,0.7082,0.627,0.7085,0.6715,0.69,0.5953,0.5163,0.5558
11,-0.0485,0.6318,0.698,0.5571,0.7064,0.6318,0.7209,0.6813,0.7011,0.5997,0.5252,0.5624
11.1,-0.0388,0.6359,0.708,0.57,0.7062,0.6381,0.7342,0.6923,0.7133,0.6072,0.5381,0.5727
11.2,-0.0317,0.6408,0.7183,0.5843,0.708,0.6462,0.7482,0.7045,0.7264,0.6179,0.555,0.5865
11.3,-0.0281,0.6464,0.7284,0.5995,0.7115,0.6555,0.7625,0.7175,0.74,0.6315,0.5751,0.6033
11.4,-0.0277,0.6524,0.7379,0.6152,0.7161,0.6657,0.7765,0.7309,0.7537,0.6474,0.5977,0.6225
11.5,-0.0292,0.6587,0.7466,0.631,0.721,0.676,0.7895,0.7442,0.7668,0.6652,0.6217,0.6434
11.6,-0.0316,0.6654,0.7541,0.6465,0.7256,0.6861,0.8012,0.7566,0.7789,0.6841,0.6464,0.6652
11.7,-0.0345,0.6726,0.7604,0.6618,0.7301,0.696,0.8111,0.7679,0.7895,0.7035,0.671,0.6872
11.8,-0.038,0.6806,0.7657,0.6769,0.7349,0.7059,0.8191,0.7779,0.7985,0.7224,0.6946,0.7085
11.9,-0.0418,0.6892,0.77,0.6917,0.7402,0.7159,0.8249,0.7863,0.8056,0.7397,0.7159,0.7278
12,-0.0455,0.6983,0.7729,0.706,0.7459,0.726,0.8283,0.7926,0.8105,0.7547,0.7339,0.7443
12.1,-0.0485,0.7076,0.7745,0.7197,0.7517,0.7357,0.8293,0.7968,0.8131,0.7669,0.7483,0.7576
12.2,-0.0504,0.7172,0.7746,0.7323,0.7573,0.7448,0.8282,0.7991,0.8137,0.7762,0.759,0.7676
12.3,-0.0511,0.7269,0.7736,0.7438,0.7623,0.753,0.8254,0.7999,0.8126,0.7824,0.7659,0.7742
12.4,-0.0501,0.7366,0.7718,0.7539,0.766,0.76,0.8212,0.7992,0.8102,0.7853,0.769,0.7771
12.5,-0.047,0.7457,0.7691,0.7622,0.7678,0.765,0.8159,0.797,0.8064,0.7849,0.7681,0.7765
12.6,-0.0416,0.7536,0.7651,0.7683,0.7671,0.7677,0.8093,0.793,0.8011,0.7814,0.7635,0.7725
12.7,-0.0344,0.7602,0.7597,0.7721,0.7643,0.7682,0.8016,0.7875,0.7945,0.7756,0.756,0.7658
12.8,-0.026,0.7655,0.7531,0.7736,0.7597,0.7666,0.7929,0.781,0.7869,0.7682,0.7466,0.7574
12.9,-0.0174,0.77,0.7452,0.773,0.7536,0.7633,0.7835,0.7742,0.7788,0.7599,0.7363,0.7481
13,-0.0096,0.7736,0.7364,0.7704,0.7461,0.7583,0.7734,0.7673,0.7704,0.7511,0.7257,0.7384
13.1,-0.0038,0.7759,0.7266,0.7655,0.737,0.7513,0.7628,0.7605,0.7616,0.7421,0.7153,0.7287
13.2,-0.0006,0.7762,0.716,0.7579,0.7265,0.7422,0.7514,0.7534,0.7524,0.7331,0.7052,0.7191
13.3,0.0001,0.7739,0.7046,0.7477,0.715,0.7314,0.7394,0.7458,0.7426,0.7242,0.6957,0.7099
13.4,-0.0014,0.769,0.6929,0.7357,0.7033,0.7195,0.7271,0.7376,0.7324,0.7158,0.687,0.7014
13.5,-0.0044,0.762,0.681,0.7228,0.692,0.7074,0.7149,0.7291,0.722,0.7081,0.6796,0.6938
13.6,-0.0086,0.7532,0.6689,0.7096,0.681,0.6953,0.7031,0.7204,0.7118,0.7015,0.6734,0.6875
13.7,-0.0141,0.7425,0.6563,0.6968,0.6701,0.6834,0.6919,0.7118,0.7018,0.6963,0.6686,0.6824
13.8,-0.0209,0.7296,0.6432,0.6845,0.6593,0.6719,0.681,0.7033,0.6922,0.6926,0.6649,0.6787
13.9,-0.0284,0.7142,0.6297,0.6733,0.6486,0.661,0.6705,0.6948,0.6827,0.6905,0.6621,0.6763
14,-0.0361,0.6964,0.6159,0.6634,0.6387,0.6511,0.6599,0.6863,0.6731,0.6898,0.6602,0.675
14.1,-0.0436,0.677,0.6019,0.6551,0.6299,0.6425,0.6487,0.6775,0.6631,0.6901,0.6588,0.6745
14.2,-0.0503,0.6568,0.588,0.6482,0.6222,0.6352,0.6365,0.6684,0.6525,0.691,0.6576,0.6743
14.3,-0.056,0.6365,0.5744,0.6422,0.6154,0.6288,0.6235,0.6588,0.6412,0.6917,0.6559,0.6738
14.4,-0.0604,0.6165,0.561,0.637,0.6092,0.6231,0.6097,0.6488,0.6293,0.6919,0.6533,0.6726
14.5,-0.0632,0.5971,0.5478,0.6323,0.6035,0.6179,0.5957,0.6387,0.6172,0.6913,0.6494,0.6704
14.6,-0.0636,0.5785,0.5345,0.6276,0.5978,0.6127,0.5819,0.6286,0.6053,0.6898,0.6444,0.6671
14.7,-0.0604,0.5612,0.5212,0.6225,0.5914,0.607,0.5687,0.619,0.5938,0.6872,0.6385,0.6629
14.8,-0.0528,0.5455,0.5083,0.6167,0.5841,0.6004,0.5563,0.6101,0.5832,0.6834,0.6319,0.6576
14.9,-0.0412,0.5319,0.4964,0.61,0.5761,0.593,0.545,0.6026,0.5738,0.6782,0.6248,0.6515
