Time,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC,Wooolmark - Wear Wool Not Fossil Fuel 60 TVC
3.1,0.3453,0.4367,0.5929,0.3664,0.1693,0.2678,0.7971,0.5959,0.6965,0.8468,0.8736,0.8602
3.2,0.3852,0.445,0.5958,0.3836,0.1835,0.2835,0.812,0.5944,0.7032,0.8787,0.8966,0.8877
3.3,0.4134,0.4526,0.5997,0.4006,0.203,0.3018,0.8308,0.5939,0.7123,0.9119,0.9167,0.9143
3.4,0.4295,0.459,0.6044,0.4168,0.2276,0.3222,0.8523,0.5944,0.7233,0.9453,0.9335,0.9394
3.5,0.4344,0.4644,0.6099,0.4321,0.2568,0.3445,0.8756,0.5962,0.7359,0.9775,0.9466,0.962
3.6,0.4293,0.4693,0.6155,0.4474,0.2902,0.3688,0.9005,0.6001,0.7503,1.0077,0.9557,0.9817
3.7,0.4161,0.4748,0.621,0.4636,0.3267,0.3952,0.9267,0.6067,0.7667,1.035,0.9609,0.998
3.8,0.3968,0.4821,0.6261,0.4814,0.3648,0.4231,0.9537,0.6165,0.7851,1.0589,0.962,1.0105
3.9,0.3739,0.4918,0.6304,0.5003,0.402,0.4511,0.9797,0.6289,0.8043,1.0779,0.9588,1.0184
4,0.3491,0.5036,0.6329,0.519,0.4353,0.4772,1.0027,0.6423,0.8225,1.0908,0.9511,1.0209
4.1,0.3232,0.5167,0.6321,0.5356,0.4623,0.499,1.0203,0.6548,0.8375,1.0965,0.9384,1.0175
4.2,0.2956,0.5298,0.6276,0.5481,0.482,0.5151,1.0312,0.665,0.8481,1.0945,0.9206,1.0076
4.3,0.266,0.5418,0.6194,0.5547,0.4943,0.5245,1.0344,0.6718,0.8531,1.0833,0.8971,0.9902
4.4,0.2338,0.5515,0.6076,0.5546,0.499,0.5268,1.0285,0.6735,0.851,1.0607,0.8675,0.9641
4.5,0.1988,0.5582,0.5925,0.5478,0.4966,0.5222,1.013,0.6691,0.8411,1.0255,0.8313,0.9284
4.6,0.1599,0.5614,0.5747,0.5343,0.4877,0.511,0.9881,0.6581,0.8231,0.9782,0.7892,0.8837
4.7,0.1159,0.5609,0.5558,0.5142,0.4732,0.4937,0.9554,0.6413,0.7984,0.9214,0.7427,0.8321
4.8,0.0673,0.5569,0.5373,0.4884,0.454,0.4712,0.9171,0.6201,0.7686,0.8587,0.6951,0.7769
4.9,0.0149,0.5501,0.5206,0.4583,0.4313,0.4448,0.8752,0.5965,0.7359,0.7936,0.6489,0.7212
5,-0.0401,0.5412,0.5058,0.4255,0.4062,0.4158,0.8312,0.5719,0.7016,0.7291,0.6055,0.6673
5.1,-0.0981,0.531,0.4931,0.391,0.3796,0.3853,0.7863,0.5474,0.6668,0.6676,0.5651,0.6164
5.2,-0.1592,0.5198,0.4824,0.3552,0.3524,0.3538,0.7416,0.5236,0.6326,0.6115,0.5275,0.5695
5.3,-0.2227,0.5079,0.474,0.3187,0.3253,0.322,0.6987,0.5012,0.5999,0.5624,0.493,0.5277
5.4,-0.2862,0.4954,0.4681,0.2823,0.2988,0.2906,0.6592,0.4809,0.57,0.5214,0.4622,0.4918
5.5,-0.3462,0.4832,0.4646,0.248,0.2738,0.2609,0.6247,0.4636,0.5442,0.4888,0.4356,0.4622
5.6,-0.3992,0.472,0.4632,0.2183,0.2509,0.2346,0.5964,0.4502,0.5233,0.4639,0.4127,0.4383
5.7,-0.4431,0.4626,0.4634,0.1954,0.2307,0.2131,0.575,0.4412,0.5081,0.4462,0.393,0.4196
5.8,-0.478,0.4556,0.4652,0.1803,0.2138,0.197,0.5611,0.4364,0.4987,0.4352,0.3761,0.4056
5.9,-0.5042,0.4517,0.4684,0.1729,0.2004,0.1866,0.5547,0.4352,0.4949,0.4297,0.3618,0.3957
6,-0.5219,0.4506,0.4721,0.1729,0.1907,0.1818,0.5554,0.4367,0.496,0.4285,0.3497,0.3891
6.1,-0.5301,0.452,0.4752,0.18,0.1847,0.1824,0.5625,0.4399,0.5012,0.4301,0.3393,0.3847
6.2,-0.5292,0.4551,0.4769,0.1936,0.1818,0.1877,0.5748,0.4445,0.5096,0.434,0.3302,0.3821
6.3,-0.5197,0.4589,0.4767,0.2126,0.1812,0.1969,0.5913,0.4503,0.5208,0.4403,0.3227,0.3815
6.4,-0.5031,0.4627,0.4749,0.2359,0.1821,0.209,0.6112,0.4573,0.5343,0.4489,0.3171,0.383
6.5,-0.4822,0.4669,0.4718,0.2629,0.1848,0.2238,0.6338,0.4657,0.5497,0.459,0.3137,0.3864
6.6,-0.4587,0.4719,0.4679,0.2934,0.1899,0.2416,0.6584,0.4752,0.5668,0.4694,0.3122,0.3908
6.7,-0.4319,0.4789,0.463,0.3274,0.1985,0.263,0.6847,0.4858,0.5852,0.4793,0.3125,0.3959
6.8,-0.4003,0.4885,0.4576,0.3645,0.2109,0.2877,0.7119,0.4976,0.6047,0.489,0.3145,0.4018
6.9,-0.3634,0.5009,0.4523,0.4036,0.2263,0.3149,0.7389,0.5103,0.6246,0.4993,0.3187,0.409
7,-0.3234,0.5154,0.4481,0.4435,0.2432,0.3433,0.7642,0.5236,0.6439,0.5104,0.3257,0.418
7.1,-0.2833,0.5306,0.446,0.4821,0.2599,0.371,0.7864,0.5369,0.6617,0.522,0.3361,0.4291
7.2,-0.2457,0.5449,0.4466,0.5172,0.2749,0.3961,0.8039,0.5493,0.6766,0.5334,0.35,0.4417
7.3,-0.2124,0.5562,0.45,0.5469,0.2868,0.4169,0.8155,0.5596,0.6876,0.544,0.3663,0.4552
7.4,-0.1851,0.5634,0.4562,0.5698,0.295,0.4324,0.8207,0.5671,0.6939,0.5537,0.3841,0.4689
7.5,-0.1654,0.5656,0.4649,0.5855,0.2996,0.4426,0.82,0.571,0.6955,0.5627,0.4026,0.4826
7.6,-0.1545,0.563,0.4764,0.595,0.3014,0.4482,0.8146,0.5717,0.6932,0.5716,0.4219,0.4968
7.7,-0.1518,0.556,0.4906,0.5994,0.301,0.4502,0.8055,0.5697,0.6876,0.5814,0.4423,0.5119
7.8,-0.1546,0.5458,0.5076,0.5999,0.2984,0.4491,0.7933,0.5659,0.6796,0.5933,0.4645,0.5289
7.9,-0.1605,0.5336,0.5274,0.5971,0.2942,0.4457,0.7792,0.5618,0.6705,0.6085,0.489,0.5488
8,-0.1672,0.5204,0.5502,0.592,0.289,0.4405,0.7645,0.5589,0.6617,0.6281,0.5165,0.5723
8.1,-0.1734,0.5066,0.5758,0.5852,0.2834,0.4343,0.7501,0.5588,0.6545,0.6519,0.5476,0.5997
8.2,-0.177,0.4928,0.6037,0.5779,0.2774,0.4277,0.7361,0.5619,0.649,0.6786,0.5824,0.6305
8.3,-0.1768,0.4795,0.6329,0.5709,0.2712,0.4211,0.7216,0.5681,0.6449,0.7061,0.6197,0.6629
8.4,-0.1724,0.4678,0.6622,0.5646,0.2656,0.4151,0.7058,0.5768,0.6413,0.7321,0.6572,0.6947
8.5,-0.1635,0.4588,0.6902,0.5598,0.2613,0.4106,0.6888,0.5868,0.6378,0.7549,0.6922,0.7236
8.6,-0.15,0.4532,0.716,0.5575,0.2593,0.4084,0.6714,0.5977,0.6346,0.7734,0.7231,0.7483
8.7,-0.132,0.4516,0.7388,0.559,0.2603,0.4096,0.6556,0.6095,0.6326,0.7874,0.7499,0.7686
8.8,-0.1104,0.4544,0.7582,0.5651,0.2652,0.4151,0.6431,0.6223,0.6327,0.7975,0.7725,0.785
8.9,-0.0864,0.4613,0.7739,0.576,0.2745,0.4253,0.6349,0.6359,0.6354,0.8045,0.7911,0.7978
9,-0.0618,0.4721,0.7856,0.5913,0.2882,0.4398,0.6314,0.6496,0.6405,0.8092,0.8061,0.8077
9.1,-0.0383,0.4862,0.7936,0.6101,0.3058,0.458,0.6323,0.6627,0.6475,0.8112,0.8176,0.8144
9.2,-0.0174,0.5029,0.7983,0.6311,0.3266,0.4788,0.6366,0.6746,0.6556,0.8099,0.8251,0.8175
9.3,0,0.5209,0.7993,0.6526,0.3493,0.501,0.6425,0.6846,0.6635,0.8046,0.8274,0.816
9.4,0.014,0.5392,0.7968,0.674,0.3727,0.5234,0.6485,0.6922,0.6703,0.7957,0.824,0.8098
9.5,0.0251,0.5568,0.7909,0.6948,0.396,0.5454,0.6534,0.6971,0.6752,0.7844,0.8154,0.7999
9.6,0.0338,0.5735,0.7822,0.7146,0.419,0.5668,0.6558,0.6992,0.6775,0.7714,0.8028,0.7871
9.7,0.0404,0.5892,0.7713,0.733,0.441,0.587,0.6551,0.6987,0.6769,0.757,0.7873,0.7721
9.8,0.045,0.6037,0.7585,0.7495,0.462,0.6057,0.6511,0.696,0.6736,0.7406,0.7693,0.755
9.9,0.0475,0.6177,0.7439,0.7642,0.4817,0.623,0.6447,0.6919,0.6683,0.7223,0.7491,0.7357
10,0.0479,0.6311,0.7276,0.777,0.4998,0.6384,0.637,0.6867,0.6619,0.7025,0.7272,0.7149
10.1,0.0465,0.6437,0.7101,0.7877,0.5151,0.6514,0.6282,0.6811,0.6547,0.6824,0.7045,0.6934
10.2,0.0428,0.6545,0.6915,0.7953,0.5257,0.6605,0.6179,0.6748,0.6463,0.6623,0.6811,0.6717
10.3,0.036,0.6623,0.6714,0.7992,0.5298,0.6645,0.6053,0.6674,0.6364,0.6426,0.6576,0.6501
10.4,0.0258,0.6665,0.6493,0.7989,0.5265,0.6627,0.5909,0.6581,0.6245,0.6237,0.6347,0.6292
10.5,0.0135,0.667,0.6256,0.7946,0.5165,0.6555,0.5754,0.6469,0.6111,0.606,0.6134,0.6097
10.6,0.0014,0.6645,0.6007,0.787,0.5006,0.6438,0.56,0.6341,0.5971,0.5899,0.5939,0.5919
10.7,-0.0086,0.6595,0.5749,0.777,0.4803,0.6286,0.5459,0.6203,0.5831,0.5753,0.5759,0.5756
10.8,-0.0156,0.6522,0.5481,0.7644,0.4561,0.6102,0.5337,0.606,0.5698,0.5619,0.559,0.5604
10.9,-0.0191,0.6425,0.5204,0.7488,0.4289,0.5888,0.5233,0.5915,0.5574,0.5494,0.5431,0.5463
11,-0.0186,0.6305,0.4925,0.7298,0.3996,0.5647,0.5147,0.5775,0.5461,0.5374,0.5285,0.533
11.1,-0.0141,0.6173,0.4656,0.7077,0.37,0.5389,0.5074,0.5646,0.536,0.5256,0.515,0.5203
11.2,-0.0065,0.6039,0.4407,0.6838,0.3422,0.513,0.5009,0.5535,0.5272,0.5135,0.5021,0.5078
11.3,0.0022,0.5912,0.4177,0.6595,0.3174,0.4885,0.4955,0.5442,0.5199,0.5009,0.4893,0.4951
11.4,0.0102,0.5801,0.3965,0.6364,0.2964,0.4664,0.4915,0.5363,0.5139,0.4876,0.4765,0.4821
11.5,0.0164,0.5713,0.3767,0.6151,0.2796,0.4474,0.4892,0.5293,0.5093,0.4738,0.4637,0.4687
11.6,0.0202,0.566,0.3587,0.5962,0.2675,0.4319,0.4887,0.523,0.5059,0.4595,0.451,0.4552
11.7,0.0213,0.5651,0.343,0.58,0.261,0.4205,0.4899,0.5172,0.5036,0.4447,0.4384,0.4415
11.8,0.0195,0.5688,0.3302,0.5668,0.2609,0.4139,0.4929,0.5121,0.5025,0.4298,0.4256,0.4277
11.9,0.015,0.5767,0.3206,0.5568,0.2672,0.412,0.4978,0.5078,0.5028,0.4158,0.4135,0.4147
12,0.0075,0.588,0.3144,0.5498,0.2792,0.4145,0.5046,0.5045,0.5046,0.4038,0.4031,0.4035
12.1,-0.0036,0.602,0.3113,0.5452,0.2958,0.4205,0.5131,0.5026,0.5079,0.3943,0.3956,0.3949
12.2,-0.0167,0.6185,0.3114,0.5431,0.316,0.4296,0.523,0.5021,0.5126,0.387,0.3913,0.3892
12.3,-0.0295,0.6371,0.3147,0.5437,0.3389,0.4413,0.5338,0.5029,0.5184,0.3813,0.3902,0.3858
12.4,-0.0393,0.6569,0.3217,0.5476,0.3631,0.4553,0.5447,0.5046,0.5247,0.3766,0.3919,0.3842
12.5,-0.0444,0.6772,0.3332,0.5547,0.3877,0.4712,0.5548,0.5069,0.5308,0.3722,0.3955,0.3838
12.6,-0.0443,0.697,0.3493,0.5645,0.4118,0.4881,0.5628,0.5096,0.5362,0.3679,0.4002,0.384
12.7,-0.0403,0.7152,0.3695,0.5758,0.4344,0.5051,0.5687,0.5125,0.5406,0.3638,0.4054,0.3846
12.8,-0.0329,0.7314,0.3935,0.5888,0.455,0.5219,0.5731,0.5159,0.5445,0.36,0.411,0.3855
12.9,-0.022,0.7453,0.421,0.604,0.4732,0.5386,0.5776,0.5205,0.549,0.3567,0.4167,0.3867
13,-0.0078,0.7563,0.4517,0.6215,0.4882,0.5549,0.5831,0.5271,0.5551,0.3536,0.422,0.3878
13.1,0.0087,0.7634,0.4849,0.6411,0.4991,0.5701,0.5901,0.5359,0.563,0.3505,0.4265,0.3885
13.2,0.0259,0.7653,0.5196,0.6623,0.5054,0.5838,0.5983,0.5469,0.5726,0.347,0.4294,0.3882
13.3,0.0431,0.7615,0.5551,0.6844,0.507,0.5957,0.6075,0.5594,0.5835,0.3433,0.4305,0.3869
13.4,0.06,0.7516,0.5907,0.7065,0.5043,0.6054,0.6168,0.5729,0.5949,0.3395,0.4299,0.3847
13.5,0.0763,0.7356,0.6256,0.7272,0.4981,0.6126,0.6251,0.5867,0.6059,0.3361,0.4282,0.3822
13.6,0.0908,0.7138,0.658,0.7448,0.4886,0.6167,0.6314,0.6,0.6157,0.334,0.4257,0.3799
13.7,0.1021,0.6873,0.687,0.7585,0.477,0.6178,0.6353,0.6128,0.6241,0.3334,0.4229,0.3782
13.8,0.1092,0.6581,0.7122,0.768,0.4652,0.6166,0.6371,0.6258,0.6314,0.3345,0.4202,0.3774
13.9,0.1115,0.6279,0.7335,0.7734,0.4547,0.614,0.6375,0.6398,0.6386,0.3373,0.4176,0.3774
14,0.1085,0.5982,0.7507,0.774,0.4464,0.6102,0.6369,0.655,0.646,0.342,0.4147,0.3783
14.1,0.0993,0.5693,0.7635,0.7688,0.44,0.6044,0.6351,0.671,0.653,0.3487,0.411,0.3799
14.2,0.0838,0.5416,0.7716,0.7571,0.4352,0.5962,0.6311,0.6865,0.6588,0.3575,0.4058,0.3816
14.3,0.0627,0.5156,0.776,0.74,0.4325,0.5863,0.6249,0.7007,0.6628,0.3679,0.3989,0.3834
14.4,0.0373,0.4932,0.7785,0.7208,0.4338,0.5773,0.6173,0.7139,0.6656,0.3799,0.391,0.3855
14.5,0.0078,0.4754,0.7801,0.7016,0.44,0.5708,0.6093,0.7267,0.668,0.3936,0.3828,0.3882
14.6,-0.0255,0.4622,0.7809,0.683,0.451,0.567,0.6018,0.7387,0.6702,0.4097,0.3749,0.3923
14.7,-0.0617,0.4524,0.7804,0.664,0.4649,0.5645,0.5948,0.7492,0.672,0.4284,0.3675,0.3979
14.8,-0.0987,0.4447,0.7787,0.644,0.4809,0.5624,0.5883,0.758,0.6731,0.4495,0.3609,0.4052
14.9,-0.1343,0.4383,0.7765,0.6234,0.4987,0.5611,0.5822,0.7651,0.6737,0.4725,0.3554,0.414
15,-0.1678,0.433,0.7747,0.6029,0.5187,0.5608,0.577,0.7708,0.6739,0.4969,0.3513,0.4241
15.1,-0.1988,0.4285,0.7728,0.5833,0.5402,0.5618,0.5737,0.7748,0.6743,0.5227,0.3485,0.4356
15.2,-0.2274,0.4245,0.7702,0.5657,0.5621,0.5639,0.5734,0.7772,0.6753,0.5498,0.3472,0.4485
15.3,-0.252,0.421,0.7665,0.5505,0.5833,0.5669,0.5765,0.7784,0.6775,0.5781,0.3473,0.4627
15.4,-0.2712,0.418,0.7619,0.5387,0.6027,0.5707,0.583,0.7788,0.6809,0.607,0.349,0.478
15.5,-0.2835,0.4158,0.7561,0.5311,0.6197,0.5754,0.5926,0.7784,0.6855,0.6357,0.3521,0.4939
15.6,-0.2882,0.4144,0.7492,0.5279,0.6335,0.5807,0.6052,0.7767,0.691,0.6638,0.357,0.5104
15.7,-0.2849,0.4138,0.7411,0.5291,0.6437,0.5864,0.6204,0.773,0.6967,0.6913,0.3645,0.5279
15.8,-0.2737,0.414,0.7325,0.5342,0.6501,0.5922,0.6376,0.7672,0.7024,0.7182,0.3756,0.5469
15.9,-0.255,0.4152,0.7237,0.5431,0.653,0.5981,0.6565,0.7594,0.708,0.7444,0.3913,0.5679
16,-0.2292,0.4179,0.7144,0.5561,0.6524,0.6043,0.6775,0.7502,0.7139,0.7696,0.4115,0.5906
16.1,-0.1977,0.4229,0.7047,0.5739,0.6481,0.611,0.7017,0.7402,0.7209,0.7939,0.4357,0.6148
16.2,-0.1614,0.4313,0.6949,0.5973,0.6408,0.6191,0.7297,0.731,0.7304,0.8173,0.4631,0.6402
16.3,-0.1215,0.4438,0.6858,0.6264,0.6315,0.6289,0.7616,0.7243,0.7429,0.8393,0.4931,0.6662
16.4,-0.0801,0.4605,0.6781,0.6596,0.6219,0.6408,0.796,0.7211,0.7586,0.8591,0.5252,0.6922
16.5,-0.0397,0.4813,0.6716,0.695,0.613,0.654,0.8315,0.7215,0.7765,0.8763,0.5583,0.7173
16.6,-0.0027,0.5059,0.6658,0.73,0.6053,0.6677,0.8663,0.7252,0.7957,0.8906,0.5912,0.7409
16.7,0.0289,0.534,0.6602,0.7631,0.5993,0.6812,0.8995,0.7311,0.8153,0.9026,0.6228,0.7627
16.8,0.0536,0.5646,0.6551,0.7932,0.5957,0.6944,0.9304,0.7389,0.8347,0.9131,0.6531,0.7831
16.9,0.0697,0.5969,0.6508,0.8197,0.5954,0.7076,0.9585,0.7486,0.8535,0.9229,0.6817,0.8023
17,0.0757,0.6292,0.6475,0.842,0.5984,0.7202,0.983,0.7599,0.8714,0.9317,0.708,0.8198
17.1,0.0722,0.6602,0.6453,0.8592,0.6049,0.732,1.0034,0.7723,0.8879,0.9383,0.7309,0.8346
17.2,0.0612,0.6887,0.6442,0.8707,0.6147,0.7427,1.019,0.7849,0.902,0.9417,0.7496,0.8456
17.3,0.0453,0.7139,0.6435,0.8763,0.6273,0.7518,1.0291,0.7963,0.9127,0.9411,0.7637,0.8524
17.4,0.0267,0.7352,0.6427,0.8762,0.642,0.7591,1.0324,0.8055,0.9189,0.936,0.773,0.8545
17.5,0.0071,0.7523,0.6411,0.8706,0.6577,0.7642,1.0277,0.8114,0.9196,0.9259,0.7772,0.8516
17.6,-0.012,0.7647,0.6389,0.8604,0.6737,0.7671,1.0146,0.8145,0.9146,0.9109,0.7769,0.8439
17.7,-0.0302,0.7725,0.6367,0.8469,0.6898,0.7683,0.9943,0.8159,0.9051,0.8917,0.773,0.8323
17.8,-0.0479,0.7765,0.6353,0.8314,0.7059,0.7687,0.9687,0.8173,0.893,0.8694,0.7672,0.8183
17.9,-0.0655,0.7771,0.635,0.8143,0.7211,0.7677,0.9394,0.8194,0.8794,0.8448,0.7601,0.8025
18,-0.0836,0.7743,0.6356,0.7958,0.7343,0.765,0.9076,0.822,0.8648,0.8182,0.7515,0.7849
18.1,-0.1021,0.7681,0.6365,0.7762,0.7446,0.7604,0.8748,0.8245,0.8496,0.7896,0.7406,0.7651
18.2,-0.1209,0.7589,0.6375,0.7568,0.7527,0.7548,0.8423,0.8266,0.8344,0.7593,0.727,0.7431
18.3,-0.1397,0.7474,0.6381,0.7384,0.7592,0.7488,0.8114,0.8281,0.8197,0.7276,0.7103,0.7189
18.4,-0.1577,0.734,0.6382,0.7216,0.7642,0.7429,0.7831,0.8286,0.8059,0.695,0.6904,0.6927
18.5,-0.1736,0.7192,0.6365,0.7062,0.7672,0.7367,0.7574,0.8276,0.7925,0.6616,0.6666,0.6641
18.6,-0.1861,0.7034,0.632,0.6921,0.7674,0.7298,0.7339,0.8242,0.7791,0.6273,0.6386,0.633
18.7,-0.1944,0.6862,0.6244,0.6794,0.7648,0.7221,0.712,0.8178,0.7649,0.5922,0.6062,0.5992
18.8,-0.1985,0.6681,0.6129,0.668,0.7589,0.7134,0.6916,0.808,0.7498,0.5565,0.5698,0.5632
18.9,-0.1986,0.6492,0.5971,0.6581,0.7493,0.7037,0.6726,0.7948,0.7337,0.5203,0.53,0.5252
19,-0.1938,0.6304,0.5772,0.6497,0.7361,0.6929,0.655,0.7782,0.7166,0.4836,0.4871,0.4853
19.1,-0.1819,0.6125,0.5542,0.643,0.7197,0.6814,0.6387,0.7587,0.6987,0.4468,0.4412,0.444
19.2,-0.1602,0.5961,0.5291,0.638,0.7004,0.6692,0.6235,0.737,0.6803,0.4109,0.3929,0.4019
19.3,-0.1274,0.5816,0.5025,0.6348,0.6789,0.6568,0.6095,0.714,0.6617,0.3774,0.3438,0.3606
19.4,-0.0835,0.5692,0.4748,0.6326,0.6549,0.6438,0.5964,0.6902,0.6433,0.3476,0.2955,0.3216
19.5,-0.0299,0.5587,0.4467,0.6303,0.6283,0.6293,0.5839,0.6658,0.6249,0.3227,0.2498,0.2863
19.6,0.0316,0.5501,0.4191,0.627,0.5998,0.6134,0.5714,0.6415,0.6065,0.3029,0.2084,0.2556
19.7,0.0983,0.5431,0.3928,0.622,0.5708,0.5964,0.5583,0.6178,0.588,0.2886,0.1728,0.2307
19.8,0.1667,0.5377,0.3684,0.6146,0.5427,0.5787,0.5443,0.5946,0.5695,0.2808,0.1447,0.2127
19.9,0.2327,0.5333,0.3461,0.6037,0.5158,0.5597,0.5294,0.5715,0.5504,0.2797,0.1251,0.2024
20,0.2923,0.5299,0.3261,0.5887,0.4901,0.5394,0.5137,0.5482,0.531,0.2856,0.1141,0.1999
20.1,0.3424,0.5277,0.3095,0.5703,0.4666,0.5185,0.4981,0.5249,0.5115,0.2976,0.1112,0.2044
20.2,0.3803,0.5278,0.2973,0.5504,0.4463,0.4984,0.4835,0.5028,0.4932,0.3146,0.1157,0.2152
20.3,0.404,0.5314,0.2897,0.5312,0.4298,0.4805,0.4709,0.4835,0.4772,0.3352,0.1273,0.2312
20.4,0.4129,0.5392,0.2869,0.514,0.4165,0.4652,0.4609,0.4677,0.4643,0.3584,0.1451,0.2517
20.5,0.4077,0.5507,0.2889,0.4996,0.4061,0.4528,0.4538,0.4557,0.4548,0.3831,0.168,0.2755
20.6,0.3898,0.5656,0.2962,0.4891,0.398,0.4435,0.45,0.4475,0.4488,0.4083,0.1947,0.3015
20.7,0.3599,0.5838,0.3095,0.4836,0.3927,0.4381,0.4497,0.4435,0.4466,0.4335,0.2241,0.3288
