Time,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible,Loreal Paris - Infallible
6.7,0.2413,0.6232,0.5725,0.615,0.7067,0.6608,0.6661,0.5912,0.6286,0.7661,0.7767,0.7714
6.8,0.258,0.6169,0.5949,0.6123,0.7103,0.6613,0.681,0.5975,0.6392,0.7678,0.7763,0.772
6.9,0.2718,0.6112,0.6169,0.6079,0.7123,0.6601,0.6935,0.6035,0.6485,0.7687,0.7756,0.7721
7,0.282,0.6064,0.6379,0.6022,0.7125,0.6573,0.703,0.6092,0.6561,0.7687,0.7749,0.7718
7.1,0.2889,0.6025,0.6579,0.5953,0.7107,0.653,0.7095,0.6147,0.6621,0.7686,0.7751,0.7718
7.2,0.2927,0.5993,0.6769,0.5876,0.7071,0.6473,0.7138,0.6204,0.6671,0.769,0.777,0.773
7.3,0.294,0.5963,0.6942,0.5789,0.7017,0.6403,0.716,0.6262,0.6711,0.7699,0.7809,0.7754
7.4,0.2931,0.5932,0.7086,0.5695,0.6944,0.6319,0.7156,0.6313,0.6735,0.7709,0.786,0.7784
7.5,0.2908,0.5899,0.7188,0.5601,0.6852,0.6227,0.7119,0.6352,0.6736,0.7713,0.7913,0.7813
7.6,0.2878,0.5871,0.7241,0.5521,0.6746,0.6134,0.7049,0.6378,0.6714,0.7709,0.7961,0.7835
7.7,0.2847,0.5859,0.7243,0.5468,0.6629,0.6048,0.6952,0.6393,0.6672,0.7698,0.8,0.7849
7.8,0.2821,0.5865,0.7201,0.5447,0.6506,0.5977,0.6836,0.6402,0.6619,0.7681,0.8029,0.7855
7.9,0.2807,0.5889,0.7119,0.5462,0.638,0.5921,0.6709,0.6409,0.6559,0.7659,0.8041,0.785
8,0.2809,0.5928,0.7007,0.5514,0.6255,0.5884,0.6579,0.6413,0.6496,0.7631,0.8033,0.7832
8.1,0.2828,0.5982,0.6872,0.5607,0.6138,0.5872,0.6451,0.6417,0.6434,0.7598,0.8,0.7799
8.2,0.2863,0.6055,0.6729,0.5752,0.6039,0.5895,0.6336,0.6423,0.638,0.7562,0.7944,0.7753
8.3,0.2904,0.6156,0.6586,0.5954,0.5966,0.596,0.6243,0.6437,0.634,0.7525,0.7867,0.7696
8.4,0.2943,0.6283,0.6445,0.6206,0.5922,0.6064,0.6177,0.6459,0.6318,0.7488,0.7774,0.7631
8.5,0.2968,0.6436,0.6301,0.6493,0.5901,0.6197,0.6138,0.6484,0.6311,0.745,0.7665,0.7558
8.6,0.2974,0.6612,0.6156,0.6793,0.5899,0.6346,0.6121,0.6505,0.6313,0.7412,0.7545,0.7478
8.7,0.296,0.681,0.6012,0.709,0.5918,0.6504,0.612,0.6522,0.6321,0.7377,0.7419,0.7398
8.8,0.2932,0.703,0.5881,0.7377,0.5962,0.6669,0.6136,0.6539,0.6337,0.7352,0.7301,0.7327
8.9,0.2901,0.7273,0.5773,0.7653,0.6039,0.6846,0.617,0.6561,0.6366,0.7344,0.7202,0.7273
9,0.288,0.7533,0.5699,0.7915,0.6153,0.7034,0.6222,0.659,0.6406,0.7354,0.7128,0.7241
9.1,0.2882,0.7803,0.5664,0.8159,0.6302,0.723,0.6289,0.662,0.6455,0.7381,0.7082,0.7232
9.2,0.2911,0.8071,0.5674,0.8379,0.648,0.7429,0.6373,0.6651,0.6512,0.7427,0.7067,0.7247
9.3,0.2964,0.8326,0.5732,0.8568,0.6679,0.7624,0.6477,0.6687,0.6582,0.7496,0.7086,0.7291
9.4,0.303,0.8559,0.5837,0.8722,0.6894,0.7808,0.6601,0.6733,0.6667,0.7592,0.7138,0.7365
9.5,0.31,0.8758,0.5975,0.8834,0.7117,0.7976,0.674,0.6791,0.6765,0.7711,0.7218,0.7465
9.6,0.3169,0.8914,0.6129,0.8901,0.7344,0.8123,0.6887,0.6856,0.6871,0.7839,0.7317,0.7578
9.7,0.3229,0.9021,0.6283,0.8919,0.7564,0.8241,0.7036,0.6923,0.6979,0.7965,0.7425,0.7695
9.8,0.3272,0.9079,0.6432,0.8881,0.7772,0.8327,0.7184,0.699,0.7087,0.8087,0.7539,0.7813
9.9,0.3284,0.9091,0.6576,0.8788,0.7968,0.8378,0.7333,0.7064,0.7199,0.8211,0.7665,0.7938
10,0.3249,0.9063,0.6711,0.8647,0.8151,0.8399,0.7486,0.7155,0.732,0.8347,0.7811,0.8079
10.1,0.3162,0.8994,0.6833,0.8467,0.8325,0.8396,0.7642,0.7269,0.7456,0.8497,0.7979,0.8238
10.2,0.3024,0.8883,0.6939,0.8258,0.8482,0.837,0.7798,0.7408,0.7603,0.8661,0.8163,0.8412
10.3,0.2853,0.8734,0.7034,0.8026,0.8616,0.8321,0.7953,0.7568,0.7761,0.8831,0.8357,0.8594
10.4,0.2676,0.8554,0.7127,0.7781,0.8722,0.8251,0.811,0.7749,0.7929,0.9,0.855,0.8775
10.5,0.2522,0.8354,0.7223,0.7532,0.8798,0.8165,0.8267,0.7947,0.8107,0.916,0.8728,0.8944
10.6,0.2404,0.815,0.7317,0.7292,0.8849,0.807,0.8422,0.8158,0.829,0.9304,0.8882,0.9093
10.7,0.2321,0.7954,0.7403,0.707,0.8879,0.7974,0.8568,0.8372,0.847,0.9422,0.9001,0.9212
10.8,0.2266,0.7772,0.7474,0.687,0.8893,0.7881,0.87,0.8578,0.8639,0.9508,0.9077,0.9293
10.9,0.2233,0.7609,0.7527,0.6694,0.8889,0.7792,0.8816,0.8766,0.8791,0.9557,0.9105,0.9331
11,0.2221,0.7472,0.7565,0.6542,0.8868,0.7705,0.8916,0.8932,0.8924,0.957,0.9083,0.9327
11.1,0.2231,0.7362,0.7591,0.6415,0.8832,0.7623,0.9002,0.9076,0.9039,0.9544,0.9015,0.9279
11.2,0.2258,0.728,0.761,0.6311,0.8781,0.7546,0.907,0.9196,0.9133,0.948,0.8901,0.919
11.3,0.2286,0.7224,0.7625,0.6226,0.8717,0.7471,0.9118,0.9283,0.92,0.9374,0.8743,0.9059
11.4,0.2301,0.7193,0.7636,0.6152,0.864,0.7396,0.9141,0.9329,0.9235,0.9227,0.8544,0.8886
11.5,0.2298,0.7185,0.7639,0.6086,0.8547,0.7316,0.9133,0.9326,0.923,0.9037,0.831,0.8674
11.6,0.2285,0.7201,0.7633,0.6022,0.8436,0.7229,0.909,0.927,0.918,0.8808,0.8048,0.8428
11.7,0.2266,0.7243,0.7613,0.5962,0.831,0.7136,0.9006,0.9158,0.9082,0.8545,0.7772,0.8158
11.8,0.224,0.7307,0.7579,0.5904,0.8174,0.7039,0.8879,0.8988,0.8934,0.8257,0.7493,0.7875
11.9,0.2204,0.7387,0.7531,0.5844,0.8032,0.6938,0.8706,0.8761,0.8734,0.7949,0.722,0.7585
12,0.2159,0.7474,0.7469,0.5779,0.7885,0.6832,0.8486,0.8475,0.848,0.7623,0.696,0.7291
12.1,0.2111,0.7557,0.7388,0.5707,0.7736,0.6721,0.8217,0.8133,0.8175,0.7281,0.6713,0.6997
12.2,0.2065,0.7625,0.7288,0.5626,0.7583,0.6604,0.7904,0.7739,0.7822,0.6927,0.6481,0.6704
12.3,0.2021,0.7668,0.7168,0.5534,0.7422,0.6478,0.7555,0.7299,0.7427,0.6567,0.6262,0.6415
12.4,0.1969,0.7676,0.7027,0.5428,0.7248,0.6338,0.7174,0.6821,0.6997,0.6211,0.6058,0.6135
12.5,0.1905,0.7638,0.6868,0.5305,0.7062,0.6184,0.6768,0.6316,0.6542,0.5867,0.5869,0.5868
12.6,0.1834,0.7552,0.6692,0.5164,0.6864,0.6014,0.6346,0.5809,0.6077,0.5542,0.5697,0.562
12.7,0.177,0.7419,0.6509,0.501,0.6661,0.5835,0.5919,0.5332,0.5626,0.5243,0.5541,0.5392
12.8,0.1723,0.7251,0.6333,0.4849,0.6466,0.5658,0.55,0.4914,0.5207,0.497,0.5402,0.5186
12.9,0.1698,0.7063,0.618,0.4693,0.6296,0.5494,0.5104,0.4574,0.4839,0.4728,0.5284,0.5006
13,0.1693,0.6868,0.6065,0.4547,0.6159,0.5353,0.4743,0.4318,0.453,0.4519,0.5189,0.4854
13.1,0.1698,0.6674,0.599,0.4414,0.6055,0.5235,0.443,0.4142,0.4286,0.4347,0.5117,0.4732
13.2,0.1709,0.6482,0.5954,0.4293,0.5978,0.5136,0.417,0.4039,0.4104,0.4211,0.5065,0.4638
13.3,0.1726,0.6291,0.5951,0.418,0.5926,0.5053,0.3965,0.4004,0.3985,0.4113,0.5032,0.4573
13.4,0.1751,0.6101,0.5979,0.4076,0.5895,0.4985,0.3816,0.4032,0.3924,0.4051,0.5018,0.4535
13.5,0.179,0.5914,0.6031,0.398,0.588,0.493,0.3718,0.4112,0.3915,0.4025,0.5022,0.4524
13.6,0.1848,0.5735,0.6099,0.3895,0.5876,0.4885,0.3665,0.4233,0.3949,0.4028,0.5041,0.4534
13.7,0.1927,0.557,0.6173,0.382,0.5875,0.4847,0.3651,0.4381,0.4016,0.405,0.5067,0.4559
13.8,0.2023,0.5426,0.624,0.3754,0.5874,0.4814,0.3669,0.4541,0.4105,0.4087,0.5091,0.4589
13.9,0.2119,0.5305,0.6294,0.3694,0.5876,0.4785,0.3715,0.4703,0.4209,0.4136,0.5108,0.4622
14,0.2189,0.521,0.6329,0.3638,0.5888,0.4763,0.3784,0.4858,0.4321,0.4199,0.5119,0.4659
14.1,0.2216,0.5137,0.6344,0.3584,0.5912,0.4748,0.3876,0.5002,0.4439,0.4278,0.5126,0.4702
14.2,0.22,0.5083,0.6336,0.3532,0.5943,0.4738,0.3986,0.5132,0.4559,0.4372,0.5126,0.4749
14.3,0.2154,0.5045,0.6305,0.3482,0.5976,0.4729,0.4108,0.5245,0.4676,0.4477,0.5117,0.4797
14.4,0.2094,0.5022,0.6253,0.3433,0.6005,0.4719,0.4235,0.5337,0.4786,0.4591,0.5098,0.4845
14.5,0.2025,0.5017,0.6186,0.3392,0.6031,0.4711,0.4366,0.5407,0.4886,0.4715,0.507,0.4892
14.6,0.194,0.5031,0.6111,0.3358,0.6056,0.4707,0.4501,0.5455,0.4978,0.4848,0.5038,0.4943
14.7,0.1831,0.5067,0.6028,0.3332,0.6081,0.4707,0.4639,0.548,0.506,0.4989,0.5003,0.4996
14.8,0.1702,0.5125,0.5933,0.3316,0.6104,0.471,0.4777,0.5483,0.513,0.5133,0.4965,0.5049
14.9,0.156,0.5208,0.5819,0.3314,0.6126,0.472,0.4911,0.5465,0.5188,0.5271,0.4923,0.5097
