Time,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
5.7,0.0131,0.4411,0.5353,0.6586,0.471,0.5648,0.5612,0.528,0.5446,0.6243,0.6511,0.6377
5.8,0.0152,0.4368,0.531,0.6633,0.4613,0.5623,0.5616,0.5203,0.5409,0.6208,0.6488,0.6348
5.9,0.0164,0.4345,0.5283,0.6701,0.4531,0.5616,0.5645,0.5147,0.5396,0.6192,0.6479,0.6336
6,0.0166,0.4345,0.5274,0.6788,0.4466,0.5627,0.5701,0.5117,0.5409,0.6196,0.6486,0.6341
6.1,0.0153,0.4368,0.5283,0.6888,0.4418,0.5653,0.5778,0.5114,0.5446,0.6218,0.6507,0.6362
6.2,0.0121,0.4411,0.5308,0.6994,0.4384,0.5689,0.5869,0.5135,0.5502,0.6254,0.6541,0.6397
6.3,0.0063,0.4468,0.5348,0.7099,0.4361,0.573,0.5968,0.5177,0.5573,0.6298,0.6585,0.6442
6.4,-0.0026,0.4534,0.5399,0.7198,0.4347,0.5773,0.6069,0.5239,0.5654,0.6346,0.6639,0.6492
6.5,-0.0143,0.4607,0.5461,0.7294,0.4343,0.5819,0.6172,0.5321,0.5747,0.6395,0.6703,0.6549
6.6,-0.0281,0.4685,0.5532,0.7387,0.4354,0.587,0.6274,0.5423,0.5848,0.6444,0.6779,0.6612
6.7,-0.0435,0.4768,0.5611,0.7478,0.4381,0.5929,0.6371,0.5543,0.5957,0.6497,0.6869,0.6683
6.8,-0.06,0.4857,0.5695,0.7565,0.4427,0.5996,0.6462,0.5679,0.607,0.6553,0.6973,0.6763
6.9,-0.0769,0.4953,0.5787,0.7649,0.4495,0.6072,0.6544,0.5827,0.6185,0.6615,0.7093,0.6854
7,-0.0938,0.5054,0.5888,0.7729,0.4582,0.6156,0.6618,0.5983,0.6301,0.6686,0.7229,0.6957
7.1,-0.1093,0.5156,0.6002,0.7804,0.4687,0.6245,0.6684,0.6145,0.6414,0.6761,0.7378,0.707
7.2,-0.1221,0.5256,0.6125,0.7871,0.4803,0.6337,0.674,0.6306,0.6523,0.6836,0.7533,0.7185
7.3,-0.1317,0.5348,0.6253,0.7929,0.4927,0.6428,0.6786,0.646,0.6623,0.6907,0.7684,0.7296
7.4,-0.1379,0.5432,0.6382,0.798,0.5055,0.6518,0.6822,0.6604,0.6713,0.6971,0.7823,0.7397
7.5,-0.1411,0.5507,0.6508,0.8025,0.5186,0.6606,0.6849,0.6735,0.6792,0.7028,0.7942,0.7485
7.6,-0.1407,0.5576,0.663,0.8071,0.5314,0.6693,0.6868,0.6854,0.6861,0.7079,0.8042,0.7561
7.7,-0.1364,0.5643,0.6742,0.8119,0.5434,0.6776,0.688,0.696,0.692,0.7124,0.812,0.7622
7.8,-0.1278,0.5706,0.684,0.817,0.5541,0.6855,0.6882,0.7047,0.6965,0.7158,0.8172,0.7665
7.9,-0.1153,0.5765,0.6917,0.8223,0.5634,0.6929,0.6876,0.7113,0.6994,0.7177,0.8194,0.7685
8,-0.0999,0.5816,0.6974,0.8277,0.5717,0.6997,0.6861,0.7159,0.701,0.718,0.8182,0.7681
8.1,-0.0826,0.5859,0.7013,0.8332,0.5792,0.7062,0.6842,0.7191,0.7017,0.717,0.8138,0.7654
8.2,-0.0646,0.5896,0.7037,0.8387,0.5862,0.7125,0.6824,0.7214,0.7019,0.7152,0.8067,0.761
8.3,-0.0467,0.5926,0.705,0.8444,0.593,0.7187,0.6809,0.7231,0.702,0.7129,0.7976,0.7553
8.4,-0.0298,0.595,0.7052,0.85,0.5993,0.7247,0.6797,0.7244,0.702,0.7103,0.7869,0.7486
8.5,-0.015,0.5964,0.7041,0.8552,0.6047,0.73,0.6788,0.7248,0.7018,0.7073,0.7746,0.741
8.6,-0.0028,0.5964,0.7017,0.8594,0.6089,0.7341,0.6776,0.724,0.7008,0.7033,0.7607,0.732
8.7,0.0066,0.5948,0.6977,0.8623,0.6114,0.7368,0.6761,0.7217,0.6989,0.6981,0.745,0.7216
8.8,0.0129,0.5912,0.6922,0.8638,0.6122,0.738,0.674,0.7178,0.6959,0.6914,0.7279,0.7096
8.9,0.0163,0.5855,0.6852,0.864,0.6111,0.7375,0.6715,0.7121,0.6918,0.6832,0.7097,0.6965
9,0.0166,0.5775,0.6769,0.8628,0.6077,0.7353,0.6684,0.7047,0.6865,0.6738,0.6907,0.6823
9.1,0.0132,0.5677,0.6677,0.8603,0.6024,0.7314,0.6646,0.6956,0.6801,0.6633,0.6712,0.6673
9.2,0.0056,0.5562,0.6582,0.8564,0.5956,0.726,0.6597,0.6848,0.6723,0.6518,0.6512,0.6515
9.3,-0.0064,0.5434,0.6485,0.8512,0.5874,0.7193,0.6534,0.6726,0.663,0.6392,0.6309,0.6351
9.4,-0.0225,0.5293,0.6391,0.8446,0.5779,0.7112,0.6452,0.6593,0.6522,0.6255,0.6105,0.618
9.5,-0.0428,0.5143,0.6302,0.8368,0.5676,0.7022,0.635,0.645,0.64,0.6108,0.5903,0.6006
9.6,-0.0673,0.4989,0.6224,0.8285,0.5574,0.693,0.6231,0.6302,0.6266,0.5956,0.5712,0.5834
9.7,-0.0959,0.4838,0.6161,0.8201,0.5485,0.6843,0.6099,0.6156,0.6127,0.5804,0.5539,0.5672
