Time,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
5.9,0.1722,0.6907,0.6677,0.7894,0.6732,0.7313,0.7543,0.7039,0.7291,0.8067,0.7523,0.7795
6,0.1871,0.6916,0.6621,0.8017,0.6843,0.743,0.7611,0.702,0.7315,0.8138,0.7517,0.7827
6.1,0.2007,0.692,0.6548,0.8105,0.6926,0.7515,0.7642,0.6968,0.7305,0.8182,0.7489,0.7835
6.2,0.2131,0.6916,0.6456,0.8154,0.6973,0.7564,0.7629,0.6877,0.7253,0.8197,0.7436,0.7817
6.3,0.2242,0.6896,0.6345,0.8163,0.698,0.7571,0.7564,0.6742,0.7153,0.8178,0.7355,0.7767
6.4,0.2331,0.6858,0.6215,0.813,0.6946,0.7538,0.7442,0.6563,0.7002,0.8122,0.7241,0.7681
6.5,0.2391,0.6801,0.6072,0.8056,0.6878,0.7467,0.726,0.6342,0.6801,0.8028,0.709,0.7559
6.6,0.2415,0.6728,0.5919,0.7948,0.6785,0.7366,0.702,0.6091,0.6555,0.7902,0.6909,0.7405
6.7,0.2397,0.664,0.5769,0.7809,0.6673,0.7241,0.6729,0.5818,0.6273,0.775,0.6708,0.7229
6.8,0.2333,0.6539,0.563,0.7643,0.6543,0.7093,0.6394,0.5532,0.5963,0.7582,0.6502,0.7042
6.9,0.2216,0.6424,0.5506,0.7448,0.6397,0.6922,0.6028,0.5242,0.5635,0.7402,0.6299,0.6851
7,0.204,0.6299,0.54,0.7227,0.6241,0.6734,0.5642,0.4956,0.5299,0.7216,0.6104,0.666
7.1,0.1805,0.6171,0.5315,0.6993,0.6088,0.654,0.5255,0.4692,0.4974,0.7027,0.5921,0.6474
7.2,0.1511,0.6046,0.5256,0.6756,0.5951,0.6353,0.4887,0.4463,0.4675,0.6842,0.5756,0.6299
7.3,0.116,0.5927,0.5222,0.6522,0.584,0.6181,0.4549,0.4281,0.4415,0.6665,0.5612,0.6138
7.4,0.0749,0.5814,0.5211,0.6289,0.5758,0.6023,0.4251,0.415,0.42,0.6498,0.5488,0.5993
7.5,0.028,0.5704,0.5217,0.6053,0.5703,0.5878,0.3992,0.407,0.4031,0.6342,0.5383,0.5862
7.6,-0.0242,0.5602,0.5238,0.5816,0.5678,0.5747,0.3778,0.4042,0.391,0.62,0.5296,0.5748
7.7,-0.0804,0.5513,0.5275,0.5588,0.5687,0.5638,0.3616,0.4071,0.3843,0.6078,0.5233,0.5655
7.8,-0.1387,0.544,0.5334,0.5379,0.5736,0.5557,0.3514,0.416,0.3837,0.5982,0.52,0.5591
7.9,-0.1971,0.5385,0.5417,0.5197,0.582,0.5509,0.3476,0.4306,0.3891,0.5919,0.5203,0.5561
8,-0.2531,0.5348,0.5525,0.5042,0.5934,0.5488,0.3505,0.4502,0.4003,0.5887,0.5238,0.5562
8.1,-0.3042,0.5326,0.5654,0.4915,0.6065,0.549,0.3596,0.4737,0.4167,0.5884,0.5301,0.5592
8.2,-0.3484,0.5317,0.5802,0.4817,0.6205,0.5511,0.3747,0.5003,0.4375,0.5906,0.5389,0.5647
8.3,-0.3845,0.5317,0.5965,0.4746,0.6344,0.5545,0.3948,0.5289,0.4619,0.5953,0.5499,0.5726
