Time,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit,Movie Trailer - The Hobbit
4.4,-0.2247,0.7963,0.7312,0.6739,0.7601,0.717,0.6633,0.7379,0.7006,0.7474,0.7228,0.7351
4.5,-0.2155,0.7866,0.735,0.6716,0.7557,0.7136,0.6602,0.7411,0.7006,0.7436,0.7242,0.7339
4.6,-0.2033,0.7729,0.7374,0.6673,0.7477,0.7075,0.6562,0.7433,0.6998,0.7382,0.7224,0.7303
4.7,-0.1893,0.7554,0.7379,0.6605,0.7361,0.6983,0.6512,0.7443,0.6977,0.7316,0.7173,0.7244
4.8,-0.175,0.7345,0.7365,0.6511,0.7213,0.6862,0.6447,0.7434,0.6941,0.7236,0.7091,0.7163
4.9,-0.1612,0.7108,0.7336,0.6392,0.7036,0.6714,0.6369,0.7407,0.6888,0.7146,0.6985,0.7065
5,-0.1479,0.6848,0.7297,0.6251,0.6832,0.6542,0.628,0.7361,0.682,0.7049,0.6862,0.6956
5.1,-0.1348,0.6571,0.7249,0.609,0.6606,0.6348,0.6181,0.7299,0.674,0.6952,0.6732,0.6842
5.2,-0.122,0.6281,0.7191,0.5912,0.6362,0.6137,0.6075,0.7226,0.665,0.6858,0.6601,0.673
5.3,-0.1098,0.5984,0.7121,0.5723,0.6105,0.5914,0.5965,0.7141,0.6553,0.677,0.6477,0.6624
5.4,-0.0989,0.5686,0.7039,0.5534,0.5843,0.5689,0.5853,0.7045,0.6449,0.6693,0.6367,0.653
5.5,-0.0896,0.5395,0.6949,0.5355,0.5586,0.5471,0.5744,0.6938,0.6341,0.663,0.6278,0.6454
5.6,-0.0825,0.5114,0.6853,0.5193,0.5344,0.5268,0.5642,0.6826,0.6234,0.6585,0.6212,0.6398
5.7,-0.0781,0.4845,0.675,0.5052,0.5127,0.509,0.5555,0.6712,0.6134,0.6557,0.6164,0.6361
5.8,-0.0765,0.4592,0.6639,0.4933,0.4947,0.494,0.5488,0.6602,0.6045,0.6545,0.6131,0.6338
5.9,-0.0782,0.4362,0.6522,0.4835,0.4811,0.4823,0.5445,0.6501,0.5973,0.6548,0.6111,0.633
6,-0.0824,0.4163,0.6411,0.4762,0.4721,0.4742,0.5432,0.6414,0.5923,0.6568,0.6104,0.6336
6.1,-0.0878,0.4004,0.6315,0.472,0.4672,0.4696,0.5451,0.6349,0.59,0.6605,0.6111,0.6358
6.2,-0.0923,0.3888,0.6243,0.4711,0.4661,0.4686,0.5505,0.6313,0.5909,0.666,0.6134,0.6397
6.3,-0.0943,0.3814,0.6199,0.4737,0.4684,0.471,0.5598,0.6311,0.5955,0.673,0.6174,0.6452
6.4,-0.0924,0.3781,0.6181,0.4797,0.474,0.4769,0.5729,0.6342,0.6035,0.6813,0.6231,0.6522
6.5,-0.0854,0.3784,0.6192,0.489,0.4828,0.4859,0.5893,0.6401,0.6147,0.6903,0.6305,0.6604
6.6,-0.0724,0.3817,0.6232,0.5018,0.4943,0.498,0.6085,0.6483,0.6284,0.6997,0.6394,0.6695
6.7,-0.0529,0.3875,0.6301,0.5181,0.5081,0.5131,0.6295,0.6586,0.644,0.7093,0.6492,0.6792
6.8,-0.0266,0.3954,0.64,0.5379,0.5237,0.5308,0.6513,0.6705,0.6609,0.7187,0.6592,0.689
6.9,0.0055,0.4052,0.6522,0.561,0.5406,0.5508,0.6729,0.6836,0.6783,0.7274,0.6691,0.6982
7,0.0422,0.4165,0.6663,0.5866,0.5581,0.5724,0.6932,0.6972,0.6952,0.7349,0.6786,0.7068
7.1,0.0819,0.429,0.6814,0.6137,0.5753,0.5945,0.7114,0.7109,0.7111,0.7411,0.6877,0.7144
7.2,0.1235,0.4422,0.6966,0.641,0.5914,0.6162,0.7269,0.7241,0.7255,0.7455,0.6962,0.7209
7.3,0.165,0.4556,0.711,0.6675,0.6059,0.6367,0.7393,0.7364,0.7379,0.7482,0.704,0.7261
7.4,0.2043,0.4684,0.7239,0.692,0.6183,0.6551,0.7484,0.7471,0.7478,0.7491,0.7108,0.73
7.5,0.2387,0.48,0.735,0.7136,0.6286,0.6711,0.7539,0.7558,0.7548,0.7488,0.7165,0.7327
7.6,0.2663,0.4897,0.7439,0.7318,0.6362,0.684,0.756,0.7619,0.7589,0.7478,0.7213,0.7346
7.7,0.2857,0.4976,0.7507,0.746,0.6407,0.6933,0.7548,0.7655,0.7601,0.7465,0.7257,0.7361
7.8,0.2966,0.5037,0.7558,0.7561,0.6421,0.6991,0.7504,0.7671,0.7587,0.7452,0.7298,0.7375
7.9,0.2987,0.5085,0.7593,0.7618,0.6406,0.7012,0.743,0.767,0.755,0.7435,0.7337,0.7386
8,0.2925,0.5127,0.7612,0.7634,0.6369,0.7001,0.7331,0.7653,0.7492,0.7407,0.7375,0.7391
8.1,0.2787,0.5164,0.7616,0.761,0.6313,0.6962,0.7213,0.7623,0.7418,0.7368,0.7409,0.7388
8.2,0.2586,0.5196,0.7606,0.7553,0.6241,0.6897,0.7086,0.7582,0.7334,0.7318,0.7437,0.7378
8.3,0.2341,0.5219,0.7582,0.7465,0.6156,0.6811,0.6959,0.7532,0.7245,0.7259,0.7457,0.7358
8.4,0.2066,0.5233,0.7541,0.7352,0.6061,0.6706,0.6833,0.7472,0.7153,0.7191,0.7464,0.7328
8.5,0.177,0.5239,0.7481,0.7217,0.5959,0.6588,0.671,0.7404,0.7057,0.7113,0.7452,0.7282
8.6,0.1465,0.524,0.74,0.7071,0.5856,0.6463,0.6587,0.7328,0.6957,0.7021,0.7416,0.7218
8.7,0.1159,0.524,0.7301,0.692,0.5755,0.6337,0.6467,0.7246,0.6856,0.6916,0.7358,0.7137
8.8,0.0856,0.5245,0.7187,0.6768,0.566,0.6214,0.6354,0.7161,0.6757,0.6802,0.7277,0.704
8.9,0.0558,0.5257,0.7061,0.6615,0.5575,0.6095,0.6253,0.7076,0.6664,0.6683,0.7171,0.6927
9,0.0271,0.5277,0.6923,0.6461,0.55,0.598,0.6166,0.699,0.6578,0.6558,0.704,0.6799
9.1,0.0005,0.5306,0.6773,0.6306,0.5436,0.5871,0.6092,0.6903,0.6497,0.6427,0.6884,0.6655
9.2,-0.0228,0.5344,0.6614,0.6156,0.538,0.5768,0.603,0.6816,0.6423,0.6293,0.671,0.6501
9.3,-0.0416,0.5389,0.6451,0.6017,0.5327,0.5672,0.5978,0.6731,0.6354,0.6162,0.6522,0.6342
9.4,-0.0549,0.5438,0.629,0.5894,0.5271,0.5582,0.5936,0.665,0.6293,0.6036,0.6328,0.6182
9.5,-0.0623,0.5486,0.6138,0.5789,0.521,0.5499,0.5903,0.6578,0.624,0.5918,0.6133,0.6025
9.6,-0.0641,0.5527,0.5996,0.5703,0.5143,0.5423,0.5879,0.6517,0.6198,0.5809,0.5941,0.5875
9.7,-0.0615,0.556,0.5868,0.5638,0.5073,0.5355,0.5865,0.6466,0.6165,0.571,0.5759,0.5735
9.8,-0.0556,0.5584,0.5759,0.5596,0.5006,0.5301,0.5862,0.6427,0.6145,0.5627,0.5594,0.561
9.9,-0.0479,0.5604,0.5671,0.5582,0.4947,0.5264,0.5874,0.6399,0.6137,0.5561,0.5453,0.5507
10,-0.0394,0.5625,0.5606,0.5598,0.49,0.5249,0.5901,0.6385,0.6143,0.5517,0.5336,0.5427
10.1,-0.0313,0.5655,0.5561,0.5643,0.4866,0.5254,0.5943,0.6386,0.6164,0.5494,0.5243,0.5368
10.2,-0.0242,0.5696,0.5535,0.5714,0.4846,0.528,0.5998,0.6401,0.6199,0.5488,0.5173,0.533
10.3,-0.0186,0.5753,0.5527,0.5805,0.4837,0.5321,0.6062,0.6427,0.6244,0.5493,0.5125,0.5309
10.4,-0.0142,0.5823,0.5539,0.591,0.4839,0.5375,0.6131,0.6461,0.6296,0.5508,0.51,0.5304
10.5,-0.0101,0.5903,0.5571,0.602,0.4849,0.5435,0.6203,0.6501,0.6352,0.5528,0.5098,0.5313
10.6,-0.0058,0.5991,0.5622,0.6128,0.4869,0.5499,0.6275,0.6543,0.6409,0.5553,0.5115,0.5334
10.7,-0.002,0.6085,0.5692,0.623,0.4897,0.5563,0.6343,0.6584,0.6464,0.5578,0.5145,0.5361
10.8,0.0007,0.6181,0.578,0.6323,0.4929,0.5626,0.6407,0.6623,0.6515,0.5601,0.5182,0.5391
10.9,0.0016,0.6279,0.5884,0.6407,0.4966,0.5686,0.6467,0.6658,0.6563,0.5622,0.5226,0.5424
11,0.0006,0.6377,0.6004,0.6482,0.5009,0.5745,0.6525,0.6693,0.6609,0.5642,0.528,0.5461
11.1,-0.0014,0.6477,0.6138,0.655,0.506,0.5805,0.6579,0.6732,0.6655,0.5663,0.5344,0.5503
11.2,-0.0033,0.6576,0.6278,0.6615,0.5119,0.5867,0.6627,0.6773,0.67,0.5683,0.5417,0.555
11.3,-0.0044,0.6669,0.6417,0.6676,0.5184,0.593,0.6666,0.6812,0.6739,0.57,0.5491,0.5595
11.4,-0.0049,0.6747,0.6545,0.6731,0.5248,0.5989,0.6694,0.6841,0.6768,0.5713,0.5561,0.5637
11.5,-0.0052,0.68,0.6658,0.6774,0.5308,0.6041,0.6712,0.6858,0.6785,0.5725,0.5624,0.5675
11.6,-0.0059,0.6823,0.6753,0.6805,0.5364,0.6084,0.6718,0.686,0.6789,0.5738,0.5679,0.5709
11.7,-0.0074,0.6816,0.6828,0.6821,0.5418,0.612,0.6711,0.6846,0.6779,0.5752,0.5724,0.5738
11.8,-0.0101,0.6781,0.6879,0.6826,0.5473,0.6149,0.6687,0.6818,0.6753,0.5766,0.5755,0.576
11.9,-0.0136,0.6722,0.6901,0.6815,0.553,0.6173,0.6645,0.6777,0.6711,0.5779,0.5768,0.5774
12,-0.0178,0.6642,0.6892,0.6786,0.5589,0.6187,0.6585,0.6723,0.6654,0.5788,0.5766,0.5777
12.1,-0.0225,0.6546,0.6856,0.6733,0.5644,0.6189,0.6508,0.6658,0.6583,0.5792,0.5749,0.577
12.2,-0.028,0.6434,0.6797,0.6657,0.5692,0.6174,0.6416,0.6583,0.6499,0.5792,0.5718,0.5755
12.3,-0.0345,0.631,0.6716,0.6562,0.5731,0.6146,0.6305,0.6498,0.6401,0.5788,0.5675,0.5731
12.4,-0.042,0.6177,0.6619,0.6455,0.5759,0.6107,0.6173,0.6403,0.6288,0.5781,0.5618,0.5699
12.5,-0.0505,0.6043,0.6509,0.6339,0.5777,0.6058,0.6022,0.6301,0.6162,0.5771,0.5552,0.5662
12.6,-0.06,0.5911,0.6393,0.6217,0.5789,0.6003,0.5857,0.6198,0.6027,0.5759,0.5481,0.562
12.7,-0.0703,0.5788,0.6275,0.6091,0.5799,0.5945,0.5683,0.6098,0.5891,0.5743,0.5409,0.5576
12.8,-0.0813,0.5678,0.616,0.5962,0.5813,0.5887,0.5507,0.6007,0.5757,0.5722,0.5341,0.5531
12.9,-0.0928,0.5584,0.6051,0.5829,0.5834,0.5831,0.5333,0.5928,0.563,0.5695,0.5281,0.5488
13,-0.1039,0.5507,0.5958,0.5695,0.5863,0.5779,0.5169,0.5863,0.5516,0.5664,0.5236,0.545
13.1,-0.114,0.5449,0.5888,0.5562,0.5902,0.5732,0.5024,0.5816,0.542,0.5631,0.5211,0.5421
13.2,-0.1228,0.5412,0.5847,0.5432,0.595,0.5691,0.4907,0.579,0.5349,0.5601,0.5209,0.5405
13.3,-0.1307,0.5398,0.5836,0.5306,0.6007,0.5657,0.4821,0.5784,0.5303,0.5573,0.5227,0.54
13.4,-0.1377,0.5404,0.5856,0.5186,0.607,0.5628,0.4765,0.5799,0.5282,0.5546,0.5263,0.5404
13.5,-0.1439,0.5425,0.5903,0.5072,0.6137,0.5605,0.474,0.5832,0.5286,0.5517,0.5315,0.5416
13.6,-0.1484,0.5457,0.5977,0.4965,0.6209,0.5587,0.4746,0.5882,0.5314,0.5486,0.5385,0.5436
13.7,-0.1506,0.5497,0.6074,0.487,0.6288,0.5579,0.4786,0.5949,0.5367,0.5454,0.5474,0.5464
13.8,-0.15,0.5546,0.6194,0.4793,0.6378,0.5586,0.4859,0.6033,0.5446,0.5423,0.5583,0.5503
13.9,-0.1471,0.5607,0.6329,0.474,0.6481,0.5611,0.4966,0.6134,0.555,0.5397,0.571,0.5554
14,-0.143,0.5677,0.6476,0.4717,0.6597,0.5657,0.5104,0.6251,0.5677,0.5381,0.5854,0.5617
14.1,-0.1387,0.5757,0.663,0.4731,0.6726,0.5728,0.5274,0.6382,0.5828,0.5379,0.6013,0.5696
14.2,-0.1348,0.5845,0.6789,0.4789,0.6868,0.5828,0.5474,0.6526,0.6,0.5398,0.6187,0.5792
14.3,-0.1313,0.5942,0.6947,0.4893,0.7026,0.5959,0.5699,0.6682,0.619,0.5438,0.6372,0.5905
14.4,-0.1279,0.605,0.7102,0.5043,0.7202,0.6122,0.5939,0.6842,0.6391,0.5499,0.6564,0.6032
14.5,-0.1238,0.6162,0.7248,0.5232,0.739,0.6311,0.6184,0.7001,0.6593,0.5576,0.6754,0.6165
14.6,-0.1186,0.6275,0.7381,0.5453,0.7584,0.6519,0.643,0.715,0.679,0.5663,0.6931,0.6297
14.7,-0.1126,0.6383,0.7499,0.5697,0.7776,0.6736,0.6674,0.7287,0.6981,0.576,0.709,0.6425
14.8,-0.1061,0.6486,0.7604,0.5954,0.7959,0.6957,0.6914,0.7408,0.7161,0.587,0.7226,0.6548
14.9,-0.0998,0.6586,0.7698,0.622,0.813,0.7175,0.7143,0.7514,0.7328,0.5995,0.7339,0.6667
