Time,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC,Google - Pixel 8 Pro 30 TVC
6.8,0.0805,0.4936,0.6431,0.222,0.3139,0.268,0.2642,0.3869,0.3255,0.3871,0.5259,0.4565
6.9,0.0522,0.4954,0.6251,0.1946,0.315,0.2548,0.2514,0.3802,0.3158,0.3857,0.5307,0.4582
7,0.025,0.4986,0.6083,0.1718,0.3203,0.2461,0.2452,0.3767,0.311,0.3879,0.5393,0.4636
7.1,-0.0002,0.5036,0.5927,0.1553,0.3302,0.2428,0.2464,0.376,0.3112,0.3942,0.5516,0.4729
7.2,-0.0224,0.5109,0.5787,0.1473,0.3451,0.2462,0.2548,0.3781,0.3164,0.4047,0.5674,0.4861
7.3,-0.0407,0.5206,0.5667,0.1501,0.3654,0.2577,0.2694,0.3832,0.3263,0.419,0.5862,0.5026
7.4,-0.0536,0.5326,0.5578,0.1646,0.3899,0.2773,0.2896,0.3918,0.3407,0.4361,0.607,0.5216
7.5,-0.0598,0.546,0.5527,0.1904,0.4173,0.3038,0.3151,0.4037,0.3594,0.4553,0.629,0.5422
7.6,-0.059,0.5599,0.5517,0.2259,0.4458,0.3359,0.3456,0.4184,0.382,0.4763,0.6509,0.5636
7.7,-0.052,0.5737,0.5546,0.2694,0.4748,0.3721,0.3807,0.4345,0.4076,0.498,0.6714,0.5847
7.8,-0.0394,0.5862,0.5605,0.319,0.5035,0.4112,0.4186,0.4507,0.4346,0.519,0.689,0.604
7.9,-0.0214,0.5958,0.5687,0.3711,0.5308,0.4509,0.4574,0.4656,0.4615,0.5381,0.7028,0.6204
8,0.0021,0.6006,0.5788,0.4211,0.5548,0.4879,0.4957,0.4785,0.4871,0.5543,0.7126,0.6335
8.1,0.0303,0.5997,0.5908,0.4649,0.5743,0.5196,0.5327,0.4892,0.5109,0.5675,0.7183,0.6429
8.2,0.0617,0.5934,0.6046,0.5009,0.5893,0.5451,0.5682,0.4977,0.533,0.5776,0.7196,0.6486
8.3,0.0943,0.5833,0.6201,0.5293,0.6004,0.5648,0.602,0.5042,0.5531,0.5842,0.7158,0.65
8.4,0.1271,0.5705,0.6367,0.5509,0.6082,0.5795,0.6337,0.5089,0.5713,0.5869,0.7067,0.6468
8.5,0.1595,0.5558,0.6532,0.5657,0.6128,0.5893,0.6623,0.512,0.5871,0.5857,0.6922,0.6389
8.6,0.1909,0.5394,0.6686,0.5736,0.6141,0.5938,0.6871,0.5139,0.6005,0.5807,0.6724,0.6266
8.7,0.2202,0.5219,0.6811,0.5742,0.6123,0.5933,0.7076,0.515,0.6113,0.5722,0.6474,0.6098
8.8,0.2463,0.5037,0.6889,0.5684,0.608,0.5882,0.7237,0.5152,0.6195,0.5601,0.6173,0.5887
8.9,0.2699,0.4851,0.6907,0.5567,0.6014,0.579,0.7352,0.5147,0.625,0.5445,0.5826,0.5635
9,0.2918,0.4663,0.6867,0.5397,0.5919,0.5658,0.7426,0.5135,0.628,0.526,0.545,0.5355
9.1,0.3121,0.4474,0.6778,0.5179,0.5799,0.5489,0.7459,0.5119,0.6289,0.5057,0.5067,0.5062
9.2,0.3303,0.4291,0.6657,0.4918,0.5658,0.5288,0.7452,0.51,0.6276,0.4847,0.4693,0.477
9.3,0.3452,0.4122,0.652,0.4626,0.5507,0.5067,0.7405,0.5082,0.6244,0.4645,0.4341,0.4493
9.4,0.3561,0.3974,0.6376,0.4313,0.5352,0.4833,0.7319,0.5063,0.6191,0.4463,0.4017,0.424
9.5,0.3629,0.3853,0.6237,0.399,0.5198,0.4594,0.7196,0.5042,0.6119,0.4305,0.3725,0.4015
9.6,0.3663,0.3766,0.611,0.3673,0.5043,0.4358,0.7043,0.5018,0.6031,0.4171,0.3467,0.3819
9.7,0.367,0.3717,0.6006,0.3379,0.4892,0.4135,0.687,0.4992,0.5931,0.4061,0.3249,0.3655
9.8,0.3651,0.3712,0.5928,0.312,0.4749,0.3935,0.6688,0.4965,0.5826,0.3973,0.3076,0.3524
9.9,0.3601,0.3756,0.5881,0.2908,0.4628,0.3768,0.6505,0.494,0.5722,0.3908,0.2948,0.3428
10,0.3523,0.3851,0.5864,0.2747,0.4533,0.364,0.633,0.4915,0.5622,0.3868,0.2864,0.3366
10.1,0.3425,0.3991,0.587,0.264,0.4464,0.3552,0.617,0.4889,0.553,0.3849,0.2819,0.3334
10.2,0.3323,0.417,0.589,0.259,0.4417,0.3504,0.6034,0.4861,0.5448,0.3847,0.2805,0.3326
10.3,0.323,0.4381,0.5912,0.2603,0.4386,0.3494,0.5926,0.4829,0.5377,0.3861,0.281,0.3336
10.4,0.3151,0.4608,0.5922,0.2679,0.4369,0.3524,0.5847,0.4787,0.5317,0.3891,0.2829,0.336
10.5,0.309,0.4838,0.5911,0.2817,0.4362,0.359,0.5791,0.4733,0.5262,0.3939,0.2854,0.3396
10.6,0.3048,0.5058,0.5873,0.3011,0.4361,0.3686,0.5752,0.4662,0.5207,0.4001,0.2884,0.3442
10.7,0.3021,0.5258,0.5806,0.3248,0.4356,0.3802,0.5723,0.4572,0.5147,0.407,0.2914,0.3492
10.8,0.3,0.5434,0.5709,0.351,0.4339,0.3925,0.5701,0.4461,0.5081,0.414,0.2937,0.3539
10.9,0.2963,0.5585,0.5582,0.3786,0.4308,0.4047,0.5684,0.4327,0.5005,0.4202,0.2949,0.3575
11,0.2894,0.5711,0.5425,0.4068,0.4267,0.4168,0.5664,0.417,0.4917,0.4249,0.2947,0.3598
11.1,0.2792,0.5816,0.5241,0.4357,0.4224,0.4291,0.5637,0.3994,0.4816,0.4274,0.2934,0.3604
11.2,0.2673,0.5898,0.5036,0.4646,0.4181,0.4414,0.5601,0.3805,0.4703,0.4277,0.2914,0.3595
11.3,0.2555,0.5962,0.4818,0.4929,0.4136,0.4533,0.5559,0.3614,0.4586,0.4259,0.2893,0.3576
11.4,0.245,0.601,0.4597,0.5197,0.409,0.4644,0.5517,0.3428,0.4473,0.4234,0.2881,0.3557
11.5,0.2356,0.6051,0.4376,0.5447,0.4049,0.4748,0.5481,0.3256,0.4368,0.421,0.2883,0.3547
11.6,0.2277,0.6091,0.4158,0.5678,0.4018,0.4848,0.545,0.31,0.4275,0.4196,0.2906,0.3551
11.7,0.2223,0.613,0.3944,0.5881,0.3993,0.4937,0.542,0.2962,0.4191,0.4192,0.2948,0.357
11.8,0.221,0.6159,0.3734,0.6044,0.3962,0.5003,0.5386,0.2842,0.4114,0.4196,0.3006,0.3601
11.9,0.2249,0.6169,0.3533,0.6154,0.3913,0.5033,0.5341,0.2741,0.4041,0.4206,0.3075,0.3641
12,0.2342,0.6155,0.3348,0.6205,0.3844,0.5025,0.5288,0.2665,0.3977,0.4222,0.3156,0.3689
12.1,0.2486,0.6125,0.3188,0.6204,0.3766,0.4985,0.5231,0.2621,0.3926,0.4244,0.3254,0.3749
12.2,0.2674,0.6091,0.3062,0.6163,0.3688,0.4926,0.5176,0.2613,0.3895,0.4276,0.3376,0.3826
12.3,0.2896,0.606,0.2981,0.6094,0.362,0.4857,0.5127,0.2648,0.3888,0.4321,0.3524,0.3922
12.4,0.3133,0.6036,0.295,0.6,0.3562,0.4781,0.5083,0.2725,0.3904,0.438,0.3695,0.4038
12.5,0.3357,0.602,0.2973,0.5887,0.3521,0.4704,0.5043,0.2842,0.3942,0.4455,0.3886,0.4171
12.6,0.3548,0.6017,0.3048,0.5763,0.3498,0.4631,0.5009,0.2992,0.4,0.4542,0.4093,0.4318
12.7,0.3693,0.6031,0.3173,0.5638,0.3497,0.4567,0.4985,0.3171,0.4078,0.4635,0.4314,0.4475
12.8,0.3789,0.6065,0.3346,0.552,0.3519,0.4519,0.4979,0.3374,0.4176,0.4728,0.4546,0.4637
12.9,0.384,0.612,0.3557,0.5414,0.3563,0.4488,0.4992,0.3596,0.4294,0.4814,0.4783,0.4798
13,0.3845,0.6195,0.3793,0.5322,0.3629,0.4475,0.5025,0.3832,0.4428,0.4888,0.5014,0.4951
13.1,0.3803,0.6289,0.4036,0.5246,0.3721,0.4483,0.507,0.4076,0.4573,0.4948,0.5234,0.5091
13.2,0.3711,0.64,0.4272,0.5188,0.384,0.4514,0.5121,0.4317,0.4719,0.4995,0.5439,0.5217
13.3,0.3577,0.6522,0.4483,0.5149,0.3986,0.4568,0.5168,0.4546,0.4857,0.5024,0.5624,0.5324
13.4,0.3411,0.6649,0.4655,0.5126,0.4155,0.4641,0.5204,0.4753,0.4978,0.503,0.5783,0.5407
13.5,0.3219,0.6774,0.4779,0.5115,0.434,0.4728,0.5224,0.4935,0.508,0.5013,0.5916,0.5464
13.6,0.3005,0.689,0.4855,0.5115,0.4535,0.4825,0.5231,0.5092,0.5161,0.4979,0.603,0.5504
13.7,0.277,0.6991,0.4892,0.5121,0.4736,0.4929,0.5227,0.5223,0.5225,0.4941,0.614,0.554
13.8,0.252,0.7071,0.49,0.5123,0.4939,0.5031,0.5209,0.5326,0.5268,0.4905,0.6255,0.558
13.9,0.2265,0.7127,0.4883,0.5109,0.5133,0.5121,0.5169,0.5394,0.5282,0.4865,0.6374,0.5619
14,0.2009,0.7154,0.4844,0.5065,0.531,0.5188,0.5097,0.5419,0.5258,0.481,0.6486,0.5648
14.1,0.1756,0.7151,0.4782,0.4982,0.546,0.5221,0.4986,0.5397,0.5192,0.4736,0.6578,0.5657
14.2,0.1512,0.7115,0.4702,0.4861,0.5579,0.522,0.4844,0.533,0.5087,0.4647,0.6651,0.5649
14.3,0.1289,0.7044,0.461,0.4709,0.5666,0.5188,0.4685,0.5222,0.4953,0.4554,0.671,0.5632
14.4,0.11,0.6941,0.4519,0.4534,0.5725,0.5129,0.4522,0.5085,0.4803,0.4464,0.6765,0.5614
14.5,0.0956,0.6808,0.4439,0.4339,0.5759,0.5049,0.4366,0.4927,0.4646,0.4385,0.6819,0.5602
14.6,0.0853,0.6651,0.4376,0.4121,0.5768,0.4944,0.4219,0.4757,0.4488,0.4324,0.6873,0.5599
14.7,0.0773,0.6473,0.4334,0.3877,0.575,0.4813,0.4082,0.4575,0.4328,0.4286,0.6925,0.5605
14.8,0.0701,0.6279,0.4321,0.3607,0.57,0.4654,0.3959,0.4385,0.4172,0.4272,0.6973,0.5622
14.9,0.0639,0.6075,0.4339,0.3321,0.5617,0.4469,0.3855,0.4187,0.4021,0.428,0.7015,0.5648
15,0.0601,0.5867,0.4389,0.3036,0.5498,0.4267,0.3772,0.3986,0.3879,0.4301,0.7045,0.5673
15.1,0.0605,0.5662,0.4472,0.2767,0.5347,0.4057,0.3708,0.3784,0.3746,0.4327,0.7051,0.5689
15.2,0.0659,0.5469,0.4585,0.2527,0.5173,0.385,0.3665,0.3588,0.3627,0.4353,0.7029,0.5691
15.3,0.076,0.53,0.4728,0.2336,0.4994,0.3665,0.3654,0.3407,0.3531,0.4383,0.6978,0.568
15.4,0.0897,0.5169,0.4897,0.2219,0.4833,0.3526,0.369,0.3252,0.3471,0.4421,0.6906,0.5664
15.5,0.1058,0.5088,0.5082,0.2201,0.4705,0.3453,0.3786,0.3126,0.3456,0.4472,0.6822,0.5647
15.6,0.1242,0.5064,0.5269,0.2297,0.4616,0.3457,0.3945,0.3028,0.3487,0.453,0.6727,0.5629
15.7,0.1452,0.5098,0.5443,0.2504,0.4568,0.3536,0.4161,0.2952,0.3556,0.459,0.6619,0.5605
15.8,0.1683,0.5187,0.5593,0.2807,0.4557,0.3682,0.4425,0.2894,0.366,0.4645,0.6499,0.5572
15.9,0.1934,0.5328,0.5714,0.3182,0.458,0.3881,0.4733,0.2859,0.3796,0.4692,0.6372,0.5532
16,0.2209,0.5519,0.5806,0.3609,0.4638,0.4124,0.5083,0.2854,0.3968,0.4731,0.6252,0.5492
16.1,0.2515,0.5758,0.587,0.4065,0.4731,0.4398,0.5465,0.2885,0.4175,0.4766,0.6149,0.5457
16.2,0.2847,0.6039,0.5914,0.4522,0.4855,0.4689,0.5863,0.295,0.4406,0.4801,0.6067,0.5434
16.3,0.3188,0.6349,0.5941,0.4954,0.5009,0.4982,0.6262,0.3041,0.4651,0.4841,0.6007,0.5424
16.4,0.3508,0.6675,0.595,0.5338,0.5187,0.5262,0.6649,0.3147,0.4898,0.4889,0.5969,0.5429
16.5,0.3782,0.7004,0.5938,0.5663,0.5378,0.552,0.7013,0.3256,0.5135,0.4944,0.595,0.5447
16.6,0.3998,0.7318,0.5902,0.5926,0.557,0.5748,0.7343,0.3364,0.5354,0.5002,0.595,0.5476
16.7,0.4156,0.76,0.5841,0.6124,0.5754,0.5939,0.7629,0.3469,0.5549,0.506,0.5963,0.5512
16.8,0.4252,0.7834,0.576,0.6252,0.5923,0.6088,0.7871,0.357,0.5721,0.5121,0.5987,0.5554
16.9,0.428,0.8003,0.5667,0.6302,0.6075,0.6189,0.8072,0.3669,0.587,0.5193,0.6026,0.561
17,0.4241,0.8096,0.557,0.6271,0.6202,0.6237,0.8232,0.3761,0.5997,0.5283,0.6081,0.5682
17.1,0.4152,0.8108,0.5475,0.616,0.6299,0.6229,0.8344,0.3841,0.6092,0.5389,0.6149,0.5769
17.2,0.4039,0.8042,0.539,0.5979,0.6358,0.6168,0.8392,0.3903,0.6147,0.5499,0.6219,0.5859
17.3,0.3926,0.7906,0.5321,0.5747,0.6381,0.6064,0.8366,0.3945,0.6155,0.5601,0.6279,0.594
17.4,0.3824,0.7709,0.527,0.549,0.6375,0.5932,0.8268,0.3968,0.6118,0.5687,0.6327,0.6007
17.5,0.3741,0.7463,0.5239,0.5236,0.635,0.5793,0.8107,0.398,0.6043,0.5758,0.6366,0.6062
17.6,0.3682,0.7184,0.523,0.5015,0.6311,0.5663,0.7896,0.3987,0.5941,0.5812,0.6403,0.6108
17.7,0.3647,0.6895,0.525,0.4847,0.6263,0.5555,0.7641,0.3997,0.5819,0.5849,0.6441,0.6145
17.8,0.3625,0.6623,0.5298,0.475,0.6215,0.5483,0.7349,0.4014,0.5682,0.5863,0.6475,0.6169
17.9,0.3598,0.6387,0.5371,0.4732,0.6177,0.5454,0.7028,0.404,0.5534,0.5852,0.6504,0.6178
18,0.3557,0.6197,0.5458,0.4794,0.6153,0.5473,0.6689,0.4074,0.5382,0.5811,0.6527,0.6169
18.1,0.3501,0.6055,0.5549,0.493,0.6144,0.5537,0.6346,0.4111,0.5229,0.5742,0.6543,0.6142
18.2,0.3431,0.5966,0.5641,0.5132,0.6148,0.564,0.6017,0.4147,0.5082,0.5647,0.6547,0.6097
18.3,0.3348,0.5928,0.5732,0.5389,0.6162,0.5775,0.5717,0.4178,0.4947,0.5533,0.6535,0.6034
18.4,0.3246,0.594,0.5817,0.5687,0.6187,0.5937,0.5457,0.4202,0.4829,0.5406,0.6502,0.5954
18.5,0.3124,0.5996,0.5895,0.6008,0.6223,0.6115,0.5246,0.4224,0.4735,0.5271,0.6443,0.5857
18.6,0.2984,0.6091,0.5963,0.6332,0.6265,0.6298,0.5091,0.4248,0.467,0.5131,0.6356,0.5744
18.7,0.2832,0.622,0.6019,0.6646,0.6307,0.6476,0.4997,0.4277,0.4637,0.4994,0.6241,0.5617
18.8,0.2675,0.6376,0.6059,0.6941,0.6345,0.6643,0.4961,0.4309,0.4635,0.486,0.6103,0.5481
18.9,0.2526,0.6555,0.6088,0.7215,0.6378,0.6796,0.498,0.4345,0.4663,0.4732,0.5946,0.5339
19,0.2405,0.6746,0.6106,0.7463,0.6405,0.6934,0.5046,0.4386,0.4716,0.4611,0.5773,0.5192
19.1,0.2323,0.6941,0.6115,0.7682,0.6427,0.7054,0.5151,0.4435,0.4793,0.4497,0.5586,0.5041
19.2,0.2282,0.7127,0.6116,0.7865,0.6438,0.7152,0.5291,0.4493,0.4892,0.4395,0.5387,0.4891
19.3,0.2273,0.7301,0.6113,0.8011,0.6435,0.7223,0.546,0.4558,0.5009,0.4309,0.5179,0.4744
19.4,0.2278,0.7462,0.6108,0.8121,0.6416,0.7268,0.5651,0.4628,0.514,0.4241,0.4961,0.4601
19.5,0.2284,0.7609,0.6101,0.8193,0.6377,0.7285,0.5853,0.4698,0.5276,0.4185,0.4728,0.4456
19.6,0.2283,0.7738,0.6085,0.8231,0.632,0.7276,0.6052,0.4762,0.5407,0.4136,0.4475,0.4305
19.7,0.2276,0.7841,0.6047,0.8236,0.6241,0.7239,0.6236,0.4817,0.5527,0.4091,0.4201,0.4146
19.8,0.2267,0.7914,0.5979,0.8207,0.6143,0.7175,0.6403,0.4865,0.5634,0.405,0.3914,0.3982
19.9,0.2258,0.7953,0.5883,0.8145,0.6027,0.7086,0.6549,0.4914,0.5732,0.401,0.363,0.382
20,0.2248,0.7961,0.577,0.8047,0.5901,0.6974,0.6673,0.4977,0.5825,0.3972,0.3364,0.3668
20.1,0.2242,0.7941,0.5653,0.7917,0.5778,0.6848,0.6775,0.5059,0.5917,0.3944,0.3135,0.354
20.2,0.2242,0.7897,0.5538,0.7757,0.5668,0.6713,0.686,0.5165,0.6013,0.3933,0.2953,0.3443
20.3,0.2255,0.7835,0.5435,0.7576,0.5577,0.6576,0.6936,0.5294,0.6115,0.3945,0.2825,0.3385
20.4,0.2286,0.7763,0.5354,0.7383,0.5511,0.6447,0.701,0.5449,0.623,0.3982,0.2758,0.337
20.5,0.2334,0.7688,0.5308,0.7192,0.5477,0.6334,0.7089,0.5636,0.6363,0.4039,0.2756,0.3397
20.6,0.2395,0.7615,0.5303,0.7014,0.5478,0.6246,0.7176,0.5858,0.6517,0.411,0.2817,0.3464
20.7,0.2458,0.7537,0.5334,0.6854,0.5515,0.6184,0.7267,0.6112,0.669,0.419,0.2936,0.3563
20.8,0.251,0.7448,0.5388,0.6706,0.5581,0.6144,0.7362,0.6384,0.6873,0.4275,0.3103,0.3689
20.9,0.2543,0.7339,0.5458,0.6559,0.566,0.611,0.7458,0.6654,0.7056,0.4363,0.3307,0.3835
21,0.2547,0.7208,0.5544,0.6404,0.5736,0.607,0.7558,0.6911,0.7234,0.4453,0.354,0.3997
21.1,0.2514,0.7054,0.5649,0.6238,0.5801,0.6019,0.7661,0.7146,0.7404,0.4552,0.3799,0.4176
