Time,Garnier - Vitamin C Serum 15 TVC,Garnier - Vitamin C Serum 15 TVC,Garnier - Vitamin C Serum 15 TVC,Garnier - Vitamin C Serum 15 TVC,Garnier - Vitamin C Serum 15 TVC,Garnier - Vitamin C Serum 15 TVC,Garnier - Vitamin C Serum 15 TVC,Garnier - Vitamin C Serum 15 TVC,Garnier - Vitamin C Serum 15 TVC,Garnier - Vitamin C Serum 15 TVC,Garnier - Vitamin C Serum 15 TVC,Garnier - Vitamin C Serum 15 TVC
3.1,0.0272,0.6196,0.7087,0.7934,0.6804,0.7369,0.4676,0.7689,0.6182,0.785,0.7709,0.7779
3.2,0.0068,0.6328,0.6903,0.7787,0.6714,0.725,0.4441,0.7453,0.5947,0.7589,0.7834,0.7711
3.3,-0.0132,0.6441,0.6716,0.7629,0.66,0.7114,0.4266,0.7219,0.5743,0.7317,0.7945,0.7631
3.4,-0.0311,0.6536,0.654,0.747,0.6468,0.6969,0.4144,0.7001,0.5573,0.7051,0.8039,0.7545
3.5,-0.0463,0.6618,0.6382,0.7316,0.6327,0.6821,0.4077,0.6813,0.5445,0.6806,0.8117,0.7462
3.6,-0.0595,0.67,0.6251,0.7168,0.619,0.6679,0.407,0.6671,0.537,0.6589,0.8179,0.7384
3.7,-0.0716,0.6788,0.6161,0.703,0.6077,0.6554,0.4127,0.6586,0.5356,0.6402,0.8228,0.7315
3.8,-0.0832,0.6885,0.6126,0.6909,0.6011,0.646,0.4248,0.6565,0.5406,0.6246,0.8263,0.7254
3.9,-0.0945,0.6991,0.6153,0.6814,0.6003,0.6409,0.4426,0.6604,0.5515,0.6111,0.8282,0.7197
4,-0.1051,0.7102,0.6236,0.6744,0.6051,0.6398,0.4649,0.6688,0.5669,0.599,0.8279,0.7134
4.1,-0.1144,0.7219,0.6366,0.6693,0.6145,0.6419,0.4899,0.6805,0.5852,0.5872,0.8249,0.7061
4.2,-0.1227,0.7336,0.6532,0.6656,0.6276,0.6466,0.516,0.6947,0.6053,0.5752,0.8191,0.6972
4.3,-0.1306,0.745,0.6726,0.6632,0.6439,0.6535,0.5417,0.7111,0.6264,0.5627,0.8106,0.6866
4.4,-0.1384,0.7556,0.6942,0.6621,0.6628,0.6625,0.5655,0.7294,0.6475,0.5493,0.7996,0.6744
4.5,-0.1454,0.7647,0.7174,0.662,0.6842,0.6731,0.5862,0.7486,0.6674,0.5352,0.7862,0.6607
4.6,-0.1516,0.7714,0.7412,0.6622,0.7077,0.685,0.6032,0.7668,0.685,0.5205,0.7708,0.6457
4.7,-0.1578,0.7756,0.7649,0.6626,0.7327,0.6977,0.617,0.7825,0.6997,0.5056,0.7543,0.63
4.8,-0.1642,0.7772,0.7878,0.6637,0.7576,0.7106,0.6284,0.7951,0.7118,0.4911,0.7371,0.6141
4.9,-0.1706,0.7762,0.8097,0.6659,0.7799,0.7229,0.638,0.8049,0.7215,0.4773,0.7198,0.5986
5,-0.1762,0.7724,0.8309,0.6689,0.7968,0.7329,0.6456,0.8114,0.7285,0.4642,0.7025,0.5833
5.1,-0.18,0.7652,0.8515,0.6713,0.8063,0.7388,0.6505,0.8138,0.7321,0.4516,0.6855,0.5686
5.2,-0.1814,0.7541,0.8714,0.6717,0.8073,0.7395,0.6525,0.8113,0.7319,0.44,0.6693,0.5546
5.3,-0.1802,0.7387,0.89,0.6688,0.7993,0.7341,0.6515,0.8029,0.7272,0.4297,0.6544,0.542
5.4,-0.176,0.7189,0.9064,0.6617,0.7817,0.7217,0.6476,0.7878,0.7177,0.4209,0.6409,0.5309
5.5,-0.168,0.6947,0.9197,0.6499,0.7538,0.7019,0.6408,0.7656,0.7032,0.4139,0.6285,0.5212
5.6,-0.1551,0.6669,0.9297,0.6341,0.7153,0.6747,0.6314,0.7365,0.6839,0.4087,0.617,0.5129
5.7,-0.1364,0.6369,0.9364,0.6154,0.6675,0.6415,0.6202,0.702,0.6611,0.4055,0.6056,0.5056
5.8,-0.1103,0.6063,0.9398,0.5951,0.6121,0.6036,0.6077,0.665,0.6364,0.4041,0.5939,0.499
5.9,-0.0755,0.576,0.9393,0.5747,0.5517,0.5632,0.5948,0.6288,0.6118,0.404,0.5812,0.4926
6,-0.0313,0.5464,0.9338,0.5549,0.4893,0.5221,0.5819,0.5961,0.589,0.4045,0.5671,0.4858
6.1,0.0211,0.5177,0.9221,0.5357,0.4275,0.4816,0.5694,0.5689,0.5692,0.4047,0.5505,0.4776
6.2,0.0789,0.4901,0.9038,0.5168,0.3685,0.4426,0.5572,0.5476,0.5524,0.4039,0.5307,0.4673
6.3,0.1386,0.4644,0.8793,0.4973,0.3136,0.4055,0.545,0.5321,0.5385,0.401,0.5073,0.4541
6.4,0.1969,0.441,0.8488,0.4771,0.2635,0.3703,0.5327,0.5221,0.5274,0.3954,0.4801,0.4377
6.5,0.2521,0.4195,0.8131,0.4562,0.2181,0.3371,0.5203,0.5173,0.5188,0.3866,0.4494,0.418
6.6,0.3043,0.3994,0.7729,0.4346,0.1769,0.3058,0.5082,0.5168,0.5125,0.3749,0.4152,0.3951
6.7,0.3538,0.3805,0.7292,0.4129,0.1397,0.2763,0.4967,0.5194,0.508,0.3609,0.3789,0.3699
6.8,0.3995,0.3635,0.6834,0.3913,0.1071,0.2492,0.4863,0.5241,0.5052,0.3452,0.3422,0.3437
6.9,0.4394,0.3492,0.6377,0.3705,0.0804,0.2255,0.4775,0.5305,0.504,0.3287,0.3078,0.3183
7,0.4717,0.3382,0.594,0.3508,0.0607,0.2057,0.4703,0.5379,0.5041,0.3119,0.2773,0.2946
7.1,0.4952,0.3304,0.5544,0.3322,0.0482,0.1902,0.4642,0.5452,0.5047,0.2952,0.2514,0.2733
7.2,0.5092,0.3257,0.5204,0.3149,0.0429,0.1789,0.4586,0.5515,0.505,0.279,0.2299,0.2544
7.3,0.5131,0.3246,0.4922,0.2995,0.0443,0.1719,0.4532,0.5558,0.5045,0.2638,0.2128,0.2383
7.4,0.5076,0.3278,0.4702,0.2867,0.0521,0.1694,0.4481,0.5579,0.503,0.2505,0.2004,0.2255
7.5,0.4933,0.3355,0.4538,0.2775,0.0658,0.1717,0.4438,0.5578,0.5008,0.2398,0.1931,0.2164
7.6,0.4707,0.3473,0.4423,0.272,0.0853,0.1786,0.4405,0.5558,0.4982,0.232,0.1909,0.2115
7.7,0.4394,0.3625,0.4353,0.2703,0.11,0.1902,0.4386,0.5523,0.4955,0.2278,0.1937,0.2107
7.8,0.3987,0.3806,0.4325,0.2723,0.1397,0.206,0.438,0.5477,0.4928,0.2276,0.2011,0.2143
7.9,0.3487,0.4012,0.4343,0.2778,0.174,0.2259,0.4391,0.5423,0.4907,0.2317,0.2128,0.2222
8,0.291,0.4238,0.4416,0.2867,0.2121,0.2494,0.4421,0.5368,0.4894,0.2395,0.2285,0.234
8.1,0.2292,0.4477,0.4548,0.299,0.2529,0.276,0.4473,0.5317,0.4895,0.2503,0.2473,0.2488
8.2,0.168,0.4721,0.4738,0.3151,0.2955,0.3053,0.455,0.5282,0.4916,0.2631,0.2681,0.2656
8.3,0.1105,0.4963,0.4979,0.3354,0.3391,0.3373,0.4645,0.5272,0.4959,0.2772,0.29,0.2836
8.4,0.0585,0.5201,0.5267,0.3598,0.384,0.3719,0.4754,0.5291,0.5023,0.2927,0.3128,0.3028
8.5,0.0126,0.5441,0.559,0.3881,0.4304,0.4092,0.4872,0.5338,0.5105,0.3099,0.3363,0.3231
8.6,-0.0255,0.5684,0.5935,0.4199,0.4782,0.4491,0.5003,0.541,0.5206,0.3288,0.3606,0.3447
8.7,-0.0539,0.5922,0.6291,0.455,0.5267,0.4909,0.5148,0.5505,0.5326,0.3492,0.3851,0.3671
8.8,-0.0715,0.6148,0.665,0.4929,0.5746,0.5337,0.5307,0.5625,0.5466,0.3704,0.4094,0.3899
8.9,-0.0796,0.6354,0.7006,0.5327,0.6206,0.5767,0.5471,0.5769,0.562,0.392,0.4331,0.4125
9,-0.0802,0.6539,0.7353,0.5733,0.6633,0.6183,0.5631,0.5937,0.5784,0.4135,0.4561,0.4348
9.1,-0.0751,0.6705,0.768,0.6136,0.7018,0.6577,0.5778,0.6127,0.5953,0.4348,0.4783,0.4566
9.2,-0.0656,0.6855,0.7969,0.6527,0.7354,0.6941,0.5907,0.6335,0.6121,0.4557,0.4993,0.4775
9.3,-0.0528,0.6994,0.8203,0.69,0.7643,0.7271,0.6016,0.6555,0.6285,0.4762,0.5185,0.4974
9.4,-0.0383,0.7126,0.8373,0.7246,0.7888,0.7567,0.6107,0.6773,0.644,0.4966,0.5359,0.5163
9.5,-0.0246,0.7254,0.8481,0.7553,0.8098,0.7825,0.6183,0.6978,0.6581,0.5172,0.5518,0.5345
9.6,-0.0138,0.7377,0.8537,0.7814,0.8276,0.8045,0.6252,0.7159,0.6706,0.5381,0.5672,0.5527
9.7,-0.0069,0.7497,0.8548,0.8025,0.8424,0.8224,0.6318,0.7307,0.6812,0.5592,0.5828,0.571
9.8,-0.0034,0.7614,0.8516,0.8185,0.8543,0.8364,0.6381,0.7418,0.69,0.5805,0.599,0.5898
9.9,-0.0024,0.773,0.8442,0.8294,0.8639,0.8467,0.6437,0.7489,0.6963,0.6018,0.6158,0.6088
10,-0.0032,0.7851,0.8337,0.8359,0.8719,0.8539,0.6479,0.7521,0.7,0.6234,0.633,0.6282
10.1,-0.0058,0.798,0.8217,0.8387,0.8795,0.8591,0.65,0.7519,0.701,0.6453,0.6506,0.6479
10.2,-0.0108,0.8119,0.8098,0.8386,0.887,0.8628,0.6498,0.7494,0.6996,0.6666,0.6685,0.6675
10.3,-0.0183,0.8268,0.7989,0.8363,0.8945,0.8654,0.6473,0.7453,0.6963,0.6856,0.6855,0.6856
10.4,-0.0276,0.8426,0.7894,0.8323,0.9013,0.8668,0.6426,0.7401,0.6914,0.7003,0.7004,0.7004
10.5,-0.037,0.8591,0.7811,0.827,0.9065,0.8667,0.6365,0.7341,0.6853,0.7098,0.7121,0.7109
10.6,-0.0443,0.8759,0.7735,0.8204,0.9092,0.8648,0.6298,0.7276,0.6787,0.7139,0.7203,0.7171
10.7,-0.0479,0.8921,0.766,0.813,0.9087,0.8609,0.6231,0.7205,0.6718,0.7135,0.7253,0.7194
10.8,-0.0472,0.9067,0.7582,0.8046,0.9044,0.8545,0.6164,0.713,0.6647,0.7086,0.7274,0.718
10.9,-0.0418,0.9188,0.7501,0.795,0.8961,0.8456,0.6092,0.7048,0.657,0.6989,0.7263,0.7126
11,-0.0318,0.9285,0.7422,0.784,0.8842,0.8341,0.6012,0.6962,0.6487,0.6846,0.722,0.7033
11.1,-0.0169,0.9362,0.7354,0.7717,0.8699,0.8208,0.5929,0.6871,0.64,0.6668,0.7147,0.6907
11.2,0.0027,0.9425,0.7307,0.7587,0.8538,0.8062,0.5853,0.6778,0.6315,0.6466,0.7048,0.6757
11.3,0.0267,0.9473,0.7287,0.7455,0.8366,0.7911,0.5793,0.6682,0.6238,0.6252,0.693,0.6591
11.4,0.0547,0.9506,0.7293,0.7326,0.8183,0.7754,0.5756,0.6584,0.617,0.6034,0.6799,0.6417
11.5,0.0861,0.9518,0.7318,0.7198,0.7985,0.7591,0.5742,0.6481,0.6112,0.5821,0.6659,0.624
11.6,0.1202,0.95,0.7351,0.7067,0.7771,0.7419,0.5751,0.6367,0.6059,0.5623,0.6513,0.6068
11.7,0.156,0.9445,0.7388,0.693,0.7544,0.7237,0.578,0.624,0.601,0.5453,0.6365,0.5909
11.8,0.1926,0.9347,0.7428,0.6791,0.7309,0.705,0.5826,0.6095,0.596,0.5315,0.6216,0.5766
11.9,0.2276,0.9201,0.7473,0.6654,0.7069,0.6861,0.5884,0.5937,0.5911,0.5208,0.607,0.5639
12,0.2581,0.9,0.7528,0.6521,0.6826,0.6674,0.5949,0.5773,0.5861,0.513,0.5927,0.5528
12.1,0.2808,0.8743,0.7593,0.6395,0.6583,0.6489,0.6014,0.5613,0.5813,0.5078,0.5791,0.5434
12.2,0.2925,0.8432,0.7664,0.628,0.6341,0.631,0.6072,0.5466,0.5769,0.5053,0.5662,0.5358
12.3,0.2905,0.808,0.7731,0.6188,0.6104,0.6146,0.6118,0.5337,0.5727,0.5055,0.554,0.5297
12.4,0.2737,0.7704,0.7784,0.6129,0.5881,0.6005,0.6148,0.5231,0.569,0.5085,0.5419,0.5252
12.5,0.2423,0.7323,0.7817,0.6105,0.5678,0.5892,0.6163,0.5151,0.5657,0.5136,0.5298,0.5217
12.6,0.1984,0.6956,0.7833,0.611,0.5502,0.5806,0.6159,0.5099,0.5629,0.5203,0.518,0.5192
12.7,0.1448,0.6615,0.7836,0.6133,0.5351,0.5742,0.6132,0.5073,0.5603,0.5279,0.507,0.5175
12.8,0.084,0.6305,0.7834,0.6159,0.5221,0.569,0.6076,0.5064,0.557,0.5358,0.4973,0.5165
12.9,0.0177,0.6033,0.7829,0.618,0.511,0.5645,0.5978,0.5062,0.552,0.543,0.4895,0.5162
13,-0.0524,0.5806,0.7819,0.6193,0.5024,0.5609,0.5829,0.5058,0.5444,0.549,0.4834,0.5162
13.1,-0.1236,0.5634,0.7799,0.6196,0.497,0.5583,0.5627,0.5048,0.5338,0.5536,0.4785,0.5161
13.2,-0.1922,0.552,0.7762,0.6189,0.4951,0.557,0.5376,0.5033,0.5205,0.5569,0.4744,0.5156
13.3,-0.2553,0.5453,0.7714,0.6172,0.4962,0.5567,0.5082,0.5013,0.5048,0.5591,0.471,0.5151
13.4,-0.3124,0.5418,0.767,0.6142,0.4997,0.557,0.475,0.4989,0.4869,0.5607,0.4689,0.5148
13.5,-0.3644,0.54,0.7643,0.6093,0.5052,0.5573,0.4386,0.4961,0.4674,0.5622,0.4681,0.5152
13.6,-0.411,0.5398,0.764,0.6022,0.5124,0.5573,0.4002,0.4934,0.4468,0.5638,0.4685,0.5162
13.7,-0.4502,0.5421,0.7656,0.593,0.5215,0.5572,0.3616,0.4913,0.4264,0.5661,0.4699,0.518
13.8,-0.4793,0.547,0.7676,0.5824,0.5319,0.5572,0.3243,0.49,0.4071,0.5705,0.4722,0.5214
13.9,-0.4959,0.5541,0.7691,0.5713,0.5432,0.5572,0.2896,0.4891,0.3894,0.5789,0.4756,0.5272
14,-0.4996,0.562,0.7701,0.5597,0.5546,0.5571,0.2579,0.4882,0.3731,0.5922,0.4802,0.5362
14.1,-0.4924,0.57,0.7711,0.5467,0.5659,0.5563,0.2287,0.4864,0.3576,0.6105,0.4859,0.5482
14.2,-0.4778,0.5774,0.7731,0.5315,0.5766,0.5541,0.2017,0.4836,0.3426,0.6323,0.4923,0.5623
14.3,-0.4593,0.5846,0.7767,0.5139,0.5866,0.5503,0.1775,0.48,0.3287,0.6567,0.4992,0.578
14.4,-0.4399,0.5918,0.7817,0.4952,0.5962,0.5457,0.1572,0.4762,0.3167,0.6836,0.5064,0.595
14.5,-0.4206,0.5996,0.7879,0.4772,0.6054,0.5413,0.1416,0.473,0.3073,0.7131,0.5139,0.6135
14.6,-0.4019,0.608,0.7939,0.4608,0.6141,0.5375,0.131,0.4708,0.3009,0.745,0.5212,0.6331
14.7,-0.3832,0.6163,0.7974,0.4459,0.6221,0.534,0.1253,0.4695,0.2974,0.778,0.528,0.653
14.8,-0.3639,0.6238,0.7963,0.432,0.6281,0.5301,0.1245,0.4694,0.2969,0.8102,0.5332,0.6717
14.9,-0.3441,0.6295,0.789,0.4201,0.6317,0.5259,0.1283,0.4702,0.2993,0.8399,0.5365,0.6882
