Time,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10,0.4486,0.5269,0.7328,0.6199,0.6139,0.6169,0.606,0.6279,0.617,0.4737,0.5686,0.5212
10.1,0.469,0.513,0.7288,0.6184,0.6126,0.6155,0.6082,0.6171,0.6126,0.4656,0.5854,0.5255
10.2,0.4793,0.501,0.7241,0.6161,0.6133,0.6147,0.6117,0.6078,0.6097,0.4614,0.6028,0.5321
10.3,0.4807,0.4911,0.7192,0.6131,0.6158,0.6145,0.6166,0.6004,0.6085,0.4613,0.6205,0.5409
10.4,0.4754,0.4838,0.7144,0.6098,0.6203,0.6151,0.6231,0.5952,0.6091,0.4659,0.6389,0.5524
10.5,0.4644,0.4796,0.7095,0.6065,0.6268,0.6167,0.6313,0.5918,0.6115,0.4757,0.6581,0.5669
10.6,0.4482,0.4787,0.7048,0.6037,0.6344,0.6191,0.6408,0.5899,0.6154,0.4904,0.6782,0.5843
10.7,0.4275,0.4807,0.7003,0.6015,0.6423,0.6219,0.6507,0.5891,0.6199,0.5091,0.6984,0.6038
10.8,0.404,0.4858,0.6955,0.6003,0.6499,0.6251,0.6603,0.589,0.6246,0.5306,0.7182,0.6244
10.9,0.3803,0.494,0.69,0.6003,0.6573,0.6288,0.6688,0.5894,0.6291,0.5537,0.7366,0.6452
11,0.3578,0.5054,0.6828,0.6019,0.6648,0.6333,0.676,0.59,0.633,0.5771,0.753,0.665
11.1,0.3373,0.5192,0.6736,0.6048,0.672,0.6384,0.6813,0.5904,0.6359,0.5998,0.7664,0.6831
