Time,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC,MYOB - MYOBelieve 30 TVC
16.3,0.1512,0.4416,0.4824,0.6593,0.4962,0.5777,0.638,0.7279,0.6829,0.5321,0.5635,0.5478
16.4,0.1554,0.4396,0.4724,0.6649,0.4916,0.5783,0.6359,0.7286,0.6823,0.5176,0.5441,0.5308
16.5,0.1612,0.4372,0.464,0.6709,0.4847,0.5778,0.6338,0.7281,0.681,0.5016,0.5242,0.5129
16.6,0.1687,0.4353,0.4573,0.6778,0.4764,0.5771,0.6314,0.7264,0.6789,0.4843,0.5043,0.4943
16.7,0.1771,0.4344,0.4518,0.6859,0.468,0.5769,0.6283,0.7231,0.6757,0.466,0.4848,0.4754
16.8,0.1853,0.4343,0.4476,0.6947,0.4609,0.5778,0.6242,0.7183,0.6712,0.4469,0.4662,0.4565
16.9,0.1929,0.4353,0.4448,0.704,0.4557,0.5799,0.619,0.7121,0.6655,0.4271,0.4489,0.438
17,0.2,0.4373,0.444,0.7135,0.4527,0.5831,0.6131,0.7049,0.659,0.4068,0.4333,0.4201
17.1,0.2075,0.4411,0.4455,0.7227,0.4519,0.5873,0.6068,0.6969,0.6519,0.3859,0.4196,0.4028
17.2,0.2157,0.4471,0.449,0.7311,0.4535,0.5923,0.6001,0.6886,0.6444,0.3649,0.4079,0.3864
17.3,0.2242,0.4557,0.4545,0.7382,0.4579,0.5981,0.5926,0.6801,0.6364,0.3445,0.3981,0.3713
17.4,0.2317,0.4667,0.4624,0.7435,0.466,0.6048,0.5836,0.6717,0.6276,0.3254,0.3902,0.3578
17.5,0.2367,0.4796,0.4735,0.7467,0.4786,0.6127,0.5727,0.6637,0.6182,0.3079,0.384,0.346
17.6,0.2376,0.4941,0.4887,0.7476,0.4967,0.6221,0.5601,0.6568,0.6085,0.2922,0.3793,0.3358
17.7,0.2329,0.5101,0.5085,0.7463,0.5209,0.6336,0.5466,0.6516,0.5991,0.2789,0.3765,0.3277
17.8,0.2214,0.5278,0.5326,0.7431,0.5516,0.6474,0.5329,0.6485,0.5907,0.269,0.3757,0.3223
17.9,0.2024,0.547,0.5607,0.7382,0.5884,0.6633,0.5195,0.6478,0.5837,0.2634,0.377,0.3202
18,0.1754,0.5675,0.5923,0.7313,0.6299,0.6806,0.5062,0.6496,0.5779,0.2621,0.3804,0.3213
18.1,0.1405,0.5886,0.6268,0.722,0.6735,0.6978,0.4925,0.6539,0.5732,0.2643,0.3856,0.325
18.2,0.0976,0.6099,0.6623,0.7099,0.7165,0.7132,0.4782,0.6602,0.5692,0.2691,0.3922,0.3307
18.3,0.0471,0.631,0.6969,0.695,0.757,0.726,0.463,0.6676,0.5653,0.276,0.3996,0.3378
18.4,-0.0091,0.6515,0.7289,0.678,0.7938,0.7359,0.4465,0.6755,0.561,0.2848,0.407,0.3459
18.5,-0.0683,0.6704,0.757,0.6597,0.8261,0.7429,0.4282,0.6832,0.5557,0.2952,0.4137,0.3544
18.6,-0.127,0.6867,0.7798,0.641,0.8525,0.7468,0.4074,0.6908,0.5491,0.3067,0.4189,0.3628
18.7,-0.1821,0.6997,0.796,0.6228,0.8719,0.7473,0.3837,0.6981,0.5409,0.3186,0.422,0.3703
18.8,-0.2315,0.7093,0.8042,0.6056,0.8834,0.7445,0.3575,0.7047,0.5311,0.3299,0.4227,0.3763
18.9,-0.2737,0.7158,0.8039,0.5902,0.8872,0.7387,0.3301,0.7097,0.5199,0.3397,0.421,0.3804
19,-0.3062,0.7191,0.7958,0.5775,0.8842,0.7309,0.3031,0.7121,0.5076,0.3473,0.4172,0.3822
19.1,-0.3262,0.7188,0.7812,0.5688,0.8755,0.7222,0.2779,0.7114,0.4947,0.3518,0.4118,0.3818
19.2,-0.3323,0.715,0.7617,0.5652,0.8621,0.7137,0.2564,0.7081,0.4823,0.3532,0.4058,0.3795
19.3,-0.3247,0.7085,0.7388,0.5673,0.8451,0.7062,0.2398,0.703,0.4714,0.3518,0.4001,0.3759
19.4,-0.3051,0.6998,0.7142,0.5743,0.8253,0.6998,0.2289,0.6968,0.4628,0.3484,0.3956,0.372
19.5,-0.276,0.6891,0.6888,0.5845,0.8032,0.6938,0.224,0.6894,0.4567,0.3433,0.3921,0.3677
19.6,-0.2399,0.6769,0.6638,0.5962,0.7789,0.6875,0.2249,0.6812,0.453,0.3363,0.3893,0.3628
19.7,-0.1989,0.6638,0.6399,0.6087,0.7532,0.681,0.2318,0.6724,0.4521,0.3275,0.3869,0.3572
19.8,-0.1554,0.651,0.6177,0.6222,0.7272,0.6747,0.2443,0.6637,0.454,0.3174,0.385,0.3512
19.9,-0.1117,0.6391,0.5974,0.637,0.7019,0.6694,0.2617,0.6554,0.4585,0.3073,0.3837,0.3455
20,-0.069,0.6277,0.5786,0.6526,0.6781,0.6653,0.2824,0.6473,0.4648,0.2975,0.3827,0.3401
20.1,-0.0275,0.6158,0.5614,0.6684,0.6557,0.6621,0.3053,0.6393,0.4723,0.2882,0.3814,0.3348
20.2,0.0132,0.603,0.546,0.6841,0.6344,0.6592,0.3298,0.632,0.4809,0.2796,0.3796,0.3296
20.3,0.0536,0.5894,0.5328,0.6998,0.6136,0.6567,0.3554,0.626,0.4907,0.2724,0.3774,0.3249
20.4,0.0931,0.5757,0.5216,0.7156,0.5933,0.6545,0.381,0.6211,0.501,0.2674,0.3754,0.3214
20.5,0.1304,0.5622,0.5117,0.7313,0.5736,0.6525,0.4047,0.6166,0.5107,0.2658,0.3741,0.3199
20.6,0.164,0.5483,0.503,0.7467,0.5552,0.651,0.4248,0.6121,0.5185,0.2681,0.3738,0.321
20.7,0.1929,0.5339,0.4956,0.7614,0.539,0.6502,0.4404,0.6077,0.524,0.2746,0.3746,0.3246
20.8,0.2174,0.5193,0.49,0.7754,0.5255,0.6505,0.4514,0.6037,0.5275,0.2847,0.3762,0.3304
20.9,0.2382,0.5056,0.4864,0.7888,0.5146,0.6517,0.4581,0.6006,0.5294,0.2973,0.3782,0.3378
21,0.256,0.4937,0.4841,0.801,0.5058,0.6534,0.4605,0.5982,0.5294,0.3112,0.3806,0.3459
21.1,0.271,0.4839,0.4823,0.8115,0.4986,0.6551,0.4585,0.5959,0.5272,0.3256,0.3831,0.3543
