Time,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
5.8,0.1248,0.5075,0.308,0.3908,0.374,0.3824,0.4134,0.3374,0.3754,0.5541,0.3879,0.471
5.9,0.1198,0.5157,0.3309,0.3853,0.3802,0.3828,0.4127,0.3484,0.3805,0.5726,0.4092,0.4909
6,0.1116,0.5248,0.3548,0.3821,0.3897,0.3859,0.4136,0.3625,0.388,0.589,0.4313,0.5101
6.1,0.1007,0.5342,0.3794,0.3815,0.4019,0.3917,0.4165,0.3798,0.3981,0.604,0.4541,0.5291
6.2,0.0877,0.5427,0.4037,0.3835,0.416,0.3998,0.4213,0.3998,0.4106,0.618,0.4772,0.5476
6.3,0.0729,0.5496,0.4265,0.3876,0.431,0.4093,0.4276,0.4216,0.4246,0.6304,0.4997,0.565
6.4,0.0569,0.5544,0.4461,0.3929,0.4455,0.4192,0.4346,0.444,0.4393,0.6406,0.5198,0.5802
6.5,0.0401,0.5572,0.4619,0.3986,0.4586,0.4286,0.4418,0.4659,0.4539,0.6483,0.5364,0.5924
6.6,0.0234,0.5577,0.4738,0.4045,0.4693,0.4369,0.4487,0.4863,0.4675,0.6537,0.5491,0.6014
6.7,0.0078,0.555,0.4824,0.4099,0.4767,0.4433,0.455,0.5045,0.4797,0.6567,0.5578,0.6073
6.8,-0.0059,0.5483,0.4881,0.4147,0.4798,0.4473,0.4601,0.5197,0.4899,0.657,0.563,0.61
6.9,-0.0174,0.5373,0.4915,0.4187,0.4787,0.4487,0.4641,0.5319,0.498,0.6548,0.5651,0.6099
7,-0.0258,0.5227,0.4933,0.4223,0.4738,0.448,0.4674,0.5412,0.5043,0.6509,0.5648,0.6079
7.1,-0.0309,0.5056,0.4942,0.426,0.466,0.446,0.471,0.548,0.5095,0.6465,0.5632,0.6048
7.2,-0.0328,0.4869,0.4947,0.4303,0.4559,0.4431,0.475,0.5525,0.5138,0.6428,0.5609,0.6018
7.3,-0.0324,0.4671,0.4957,0.4353,0.4442,0.4398,0.4797,0.5557,0.5177,0.6405,0.5588,0.5996
7.4,-0.0296,0.4468,0.4984,0.4405,0.4315,0.436,0.485,0.5581,0.5215,0.6401,0.5575,0.5988
7.5,-0.0231,0.4265,0.503,0.4457,0.4178,0.4318,0.491,0.5602,0.5256,0.6416,0.5573,0.5994
7.6,-0.012,0.4072,0.5092,0.4512,0.4037,0.4275,0.4978,0.5621,0.53,0.645,0.5579,0.6015
7.7,0.0041,0.3898,0.5158,0.4572,0.3892,0.4232,0.5054,0.5637,0.5345,0.6501,0.5593,0.6047
7.8,0.0249,0.3749,0.522,0.4634,0.3747,0.4191,0.5137,0.5649,0.5393,0.6567,0.5614,0.6091
7.9,0.0494,0.3628,0.5276,0.4695,0.3607,0.4151,0.5227,0.5662,0.5444,0.6644,0.5645,0.6144
8,0.0768,0.3535,0.5328,0.475,0.3484,0.4117,0.5323,0.568,0.5502,0.6728,0.5684,0.6206
8.1,0.1058,0.3472,0.5381,0.4798,0.3387,0.4093,0.5424,0.5707,0.5566,0.6817,0.573,0.6273
8.2,0.1348,0.3441,0.5435,0.4843,0.3324,0.4084,0.5528,0.5745,0.5636,0.6906,0.5778,0.6342
8.3,0.1621,0.3447,0.5492,0.4894,0.3303,0.4098,0.5638,0.5795,0.5716,0.6993,0.5825,0.6409
8.4,0.1864,0.349,0.5551,0.4953,0.3329,0.4141,0.5753,0.5863,0.5808,0.7071,0.5872,0.6472
8.5,0.2071,0.3568,0.5615,0.5016,0.3401,0.4208,0.587,0.5949,0.591,0.7138,0.592,0.6529
8.6,0.2243,0.3671,0.5681,0.5071,0.3509,0.429,0.5981,0.6048,0.6015,0.7188,0.5967,0.6578
8.7,0.2387,0.3785,0.5744,0.5107,0.3643,0.4375,0.6077,0.6151,0.6114,0.7215,0.6009,0.6612
8.8,0.2504,0.3898,0.58,0.512,0.3797,0.4459,0.6148,0.6247,0.6197,0.721,0.6042,0.6626
8.9,0.2589,0.4004,0.5846,0.5116,0.3972,0.4544,0.6188,0.633,0.6259,0.7169,0.6068,0.6619
9,0.2631,0.4105,0.5885,0.5099,0.4166,0.4633,0.6198,0.64,0.6299,0.7092,0.609,0.6591
9.1,0.2626,0.4206,0.5922,0.5076,0.4374,0.4725,0.6182,0.6456,0.6319,0.6987,0.6108,0.6548
