Time,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC,Kmart Low Prices for Life - Christmas Family Matching 30 TVC
1,-0.2003,0.637,0.3236,0.3288,0.5471,0.438,0.3747,0.6474,0.511,0.4277,0.4301,0.4289
1.1,-0.1587,0.624,0.3413,0.3172,0.5287,0.423,0.3639,0.6455,0.5047,0.4127,0.4047,0.4087
1.2,-0.1088,0.6094,0.3549,0.3041,0.5042,0.4042,0.3532,0.642,0.4976,0.3963,0.3762,0.3862
1.3,-0.0539,0.5941,0.3642,0.2905,0.4752,0.3829,0.3418,0.6368,0.4893,0.3798,0.3458,0.3628
1.4,0.0036,0.5787,0.3692,0.2775,0.4436,0.3605,0.33,0.6304,0.4802,0.3643,0.3149,0.3396
1.5,0.0624,0.565,0.3703,0.2656,0.4111,0.3383,0.3183,0.6234,0.4709,0.3507,0.285,0.3179
1.6,0.1214,0.5548,0.3684,0.2557,0.3796,0.3177,0.3073,0.6161,0.4617,0.3398,0.2573,0.2986
1.7,0.1791,0.5497,0.3642,0.2493,0.3508,0.3001,0.2973,0.6094,0.4533,0.3318,0.2328,0.2823
1.8,0.2333,0.5503,0.3585,0.2475,0.3259,0.2867,0.2885,0.6034,0.446,0.3269,0.2118,0.2694
1.9,0.2829,0.5563,0.3521,0.2507,0.3058,0.2783,0.2812,0.5986,0.4399,0.3258,0.1955,0.2606
2,0.3276,0.5673,0.3456,0.259,0.2916,0.2753,0.2761,0.5949,0.4355,0.329,0.1851,0.257
2.1,0.3656,0.5827,0.3396,0.272,0.2841,0.278,0.2735,0.592,0.4328,0.3371,0.182,0.2595
2.2,0.3951,0.6014,0.3344,0.2895,0.2838,0.2866,0.2734,0.5895,0.4314,0.3507,0.1873,0.269
2.3,0.4146,0.622,0.3311,0.3114,0.2907,0.3011,0.2753,0.587,0.4312,0.37,0.2019,0.2859
2.4,0.4239,0.6434,0.3311,0.3381,0.3052,0.3216,0.2789,0.5844,0.4317,0.3949,0.2258,0.3104
2.5,0.4253,0.6649,0.336,0.3699,0.3276,0.3487,0.2838,0.5822,0.433,0.425,0.2585,0.3417
2.6,0.4233,0.6861,0.3463,0.4074,0.357,0.3822,0.2902,0.5808,0.4355,0.4592,0.2986,0.3789
2.7,0.4217,0.7065,0.3618,0.4508,0.392,0.4214,0.2981,0.5805,0.4393,0.4956,0.3442,0.4199
2.8,0.4239,0.7254,0.3825,0.4988,0.4305,0.4646,0.3078,0.5811,0.4445,0.5316,0.3927,0.4621
2.9,0.4306,0.7415,0.4085,0.5488,0.4708,0.5098,0.3195,0.5824,0.451,0.5649,0.4409,0.5029
3,0.4411,0.7542,0.4404,0.5979,0.5122,0.555,0.3333,0.5844,0.4588,0.594,0.4857,0.5399
3.1,0.4543,0.7632,0.4791,0.644,0.5549,0.5994,0.349,0.5881,0.4686,0.6182,0.5251,0.5716
3.2,0.469,0.7691,0.5252,0.6855,0.5988,0.6422,0.3674,0.5946,0.481,0.6369,0.5577,0.5973
3.3,0.4846,0.7722,0.5779,0.7214,0.6434,0.6824,0.3891,0.6044,0.4967,0.65,0.5829,0.6164
3.4,0.501,0.7729,0.6346,0.7507,0.6869,0.7188,0.4138,0.6173,0.5155,0.6574,0.6001,0.6288
3.5,0.5172,0.7716,0.6929,0.7726,0.7276,0.7501,0.4405,0.6326,0.5366,0.6585,0.609,0.6337
3.6,0.5322,0.7687,0.7496,0.7866,0.7637,0.7752,0.4682,0.6497,0.559,0.6528,0.6095,0.6312
3.7,0.5459,0.7646,0.8018,0.7933,0.7944,0.7938,0.4962,0.6681,0.5821,0.6411,0.6028,0.6219
3.8,0.5575,0.7597,0.8475,0.7933,0.8193,0.8063,0.5242,0.6874,0.6058,0.6243,0.5901,0.6072
3.9,0.5651,0.7541,0.886,0.7872,0.8381,0.8126,0.5523,0.7072,0.6298,0.6034,0.5735,0.5884
4,0.5661,0.7474,0.9162,0.7746,0.8506,0.8126,0.5805,0.7274,0.6539,0.5797,0.5544,0.567
4.1,0.558,0.739,0.9375,0.7553,0.8566,0.806,0.6087,0.7472,0.6779,0.5549,0.534,0.5445
4.2,0.5391,0.7285,0.9499,0.7298,0.8569,0.7934,0.6358,0.7664,0.7011,0.5305,0.5132,0.5218
4.3,0.5086,0.7164,0.9543,0.6988,0.8525,0.7756,0.6605,0.7851,0.7228,0.5068,0.4925,0.4997
4.4,0.4657,0.7031,0.9515,0.6631,0.8443,0.7537,0.6814,0.8028,0.7421,0.4833,0.4721,0.4777
4.5,0.4091,0.6885,0.9419,0.6237,0.8328,0.7283,0.6971,0.8179,0.7575,0.4593,0.4517,0.4555
4.6,0.3393,0.6728,0.9259,0.5819,0.818,0.6999,0.7075,0.8285,0.768,0.4347,0.4309,0.4328
4.7,0.2589,0.6558,0.9042,0.5392,0.799,0.6691,0.7132,0.8333,0.7733,0.41,0.4097,0.4099
4.8,0.1719,0.6382,0.8777,0.4973,0.7751,0.6362,0.715,0.8318,0.7734,0.3861,0.3888,0.3875
4.9,0.0825,0.6206,0.8479,0.457,0.7457,0.6014,0.713,0.8238,0.7684,0.3641,0.3688,0.3664
5,-0.006,0.6029,0.8162,0.4186,0.7109,0.5647,0.7064,0.8096,0.758,0.3442,0.3503,0.3472
5.1,-0.0901,0.5848,0.7838,0.3821,0.6715,0.5268,0.6957,0.79,0.7428,0.3267,0.3336,0.3301
5.2,-0.1658,0.5659,0.7518,0.3475,0.6291,0.4883,0.6815,0.7667,0.7241,0.3118,0.3193,0.3156
5.3,-0.2296,0.5464,0.7221,0.3159,0.5858,0.4508,0.6645,0.7419,0.7032,0.3,0.3082,0.3041
5.4,-0.2795,0.5275,0.6962,0.2884,0.5434,0.4159,0.6451,0.7171,0.6811,0.2913,0.3002,0.2957
5.5,-0.3153,0.5102,0.6743,0.266,0.5037,0.3848,0.6239,0.6932,0.6586,0.2855,0.2947,0.2901
5.6,-0.3385,0.4948,0.6564,0.2486,0.4676,0.3581,0.6013,0.6709,0.6361,0.2825,0.291,0.2868
5.7,-0.3503,0.4814,0.6419,0.2359,0.4361,0.336,0.5782,0.6505,0.6143,0.2824,0.2887,0.2855
5.8,-0.3506,0.4709,0.6299,0.2276,0.4102,0.3189,0.5555,0.6316,0.5935,0.2849,0.2872,0.286
5.9,-0.3392,0.4648,0.6199,0.2237,0.3909,0.3073,0.534,0.6137,0.5739,0.2901,0.2864,0.2882
6,-0.3163,0.4643,0.6116,0.2246,0.3785,0.3015,0.5143,0.5965,0.5554,0.2982,0.286,0.2921
6.1,-0.2837,0.4698,0.6057,0.2299,0.3725,0.3012,0.4969,0.5799,0.5384,0.3091,0.2864,0.2978
6.2,-0.242,0.4817,0.6027,0.2392,0.3724,0.3058,0.4823,0.5643,0.5233,0.3228,0.2886,0.3057
6.3,-0.191,0.5003,0.6029,0.2524,0.3775,0.3149,0.4707,0.5507,0.5107,0.3397,0.2935,0.3166
6.4,-0.1316,0.5259,0.6062,0.2699,0.388,0.329,0.4621,0.54,0.5011,0.3598,0.3013,0.3306
6.5,-0.0674,0.5578,0.6118,0.2922,0.4039,0.3481,0.4566,0.5321,0.4943,0.3832,0.3123,0.3477
6.6,-0.0042,0.5936,0.6184,0.3187,0.4242,0.3714,0.4545,0.5257,0.4901,0.4091,0.3271,0.3681
6.7,0.0526,0.6304,0.6249,0.348,0.447,0.3975,0.4557,0.5197,0.4877,0.4364,0.3462,0.3913
6.8,0.1,0.6658,0.6305,0.3783,0.4712,0.4248,0.4599,0.5135,0.4867,0.4633,0.3689,0.4161
6.9,0.136,0.6984,0.6351,0.4085,0.4962,0.4523,0.4662,0.5073,0.4867,0.4876,0.3934,0.4405
7,0.1589,0.7271,0.6384,0.4374,0.5213,0.4794,0.4738,0.5013,0.4875,0.5081,0.4177,0.4629
7.1,0.1676,0.7511,0.6402,0.4646,0.5457,0.5051,0.4824,0.4954,0.4889,0.5238,0.441,0.4824
7.2,0.1629,0.7696,0.6413,0.4896,0.5683,0.529,0.4918,0.4899,0.4909,0.5344,0.4626,0.4985
7.3,0.1467,0.7818,0.6418,0.5115,0.5882,0.5499,0.5022,0.4855,0.4938,0.5404,0.4826,0.5115
7.4,0.1223,0.7875,0.6415,0.5294,0.6049,0.5671,0.5133,0.4829,0.4981,0.5425,0.5008,0.5216
7.5,0.093,0.7868,0.64,0.5428,0.6177,0.5802,0.5248,0.4828,0.5038,0.5412,0.5172,0.5292
7.6,0.0606,0.7801,0.6366,0.5517,0.6263,0.589,0.5368,0.4848,0.5108,0.5369,0.532,0.5345
7.7,0.0253,0.768,0.6307,0.5565,0.6308,0.5937,0.5491,0.4878,0.5185,0.5304,0.5461,0.5383
7.8,-0.0132,0.7508,0.622,0.5581,0.6314,0.5947,0.5622,0.4911,0.5266,0.5224,0.5596,0.541
7.9,-0.0544,0.7292,0.6116,0.5569,0.6282,0.5925,0.576,0.4949,0.5355,0.5136,0.5724,0.543
8,-0.0967,0.704,0.6014,0.5529,0.6216,0.5873,0.5911,0.5004,0.5458,0.505,0.585,0.545
8.1,-0.138,0.6762,0.5927,0.5465,0.6117,0.5791,0.6076,0.5086,0.5581,0.4974,0.598,0.5477
8.2,-0.1775,0.6468,0.5862,0.5375,0.5999,0.5687,0.6259,0.5197,0.5728,0.4913,0.612,0.5516
8.3,-0.2155,0.6171,0.5826,0.5264,0.5877,0.5571,0.6459,0.5329,0.5894,0.4863,0.6264,0.5563
8.4,-0.2524,0.5886,0.5812,0.5138,0.5765,0.5451,0.6667,0.547,0.6069,0.4821,0.64,0.5611
8.5,-0.2886,0.5621,0.5811,0.5004,0.5667,0.5335,0.6874,0.5609,0.6242,0.4785,0.6519,0.5652
8.6,-0.3253,0.5381,0.582,0.4871,0.5592,0.5232,0.7072,0.5743,0.6407,0.4757,0.6616,0.5687
8.7,-0.3628,0.5169,0.5843,0.4751,0.5545,0.5148,0.7254,0.5872,0.6563,0.4738,0.6691,0.5715
8.8,-0.4006,0.4986,0.5879,0.4644,0.5535,0.509,0.7419,0.599,0.6705,0.4729,0.6743,0.5736
8.9,-0.4385,0.4835,0.5923,0.4546,0.5567,0.5057,0.7566,0.6094,0.683,0.4729,0.6775,0.5752
9,-0.477,0.4715,0.5968,0.4449,0.5637,0.5043,0.7693,0.6173,0.6933,0.474,0.6792,0.5766
9.1,-0.5158,0.4622,0.6012,0.4348,0.5737,0.5042,0.7795,0.6225,0.701,0.477,0.6803,0.5786
9.2,-0.553,0.4556,0.6062,0.4247,0.5862,0.5054,0.7867,0.625,0.7059,0.4827,0.6813,0.582
9.3,-0.5862,0.4525,0.6124,0.4157,0.601,0.5084,0.7909,0.6254,0.7081,0.4911,0.6824,0.5868
9.4,-0.6134,0.4526,0.6201,0.4083,0.6172,0.5128,0.7922,0.624,0.7081,0.5019,0.6837,0.5928
9.5,-0.6337,0.4556,0.6283,0.4024,0.6338,0.5181,0.7911,0.6209,0.706,0.5144,0.6853,0.5999
9.6,-0.6472,0.461,0.6353,0.3979,0.6501,0.524,0.7883,0.616,0.7022,0.5283,0.6873,0.6078
9.7,-0.6542,0.4688,0.6401,0.3948,0.6661,0.5304,0.7851,0.6096,0.6974,0.5433,0.6896,0.6165
9.8,-0.6542,0.4797,0.6424,0.3933,0.6822,0.5378,0.7826,0.6019,0.6923,0.5593,0.692,0.6256
9.9,-0.6465,0.4944,0.6421,0.3931,0.6985,0.5458,0.782,0.5929,0.6874,0.5756,0.6943,0.635
10,-0.6314,0.5121,0.6395,0.3935,0.7139,0.5537,0.7837,0.5829,0.6833,0.5915,0.6963,0.6439
10.1,-0.6093,0.5317,0.6348,0.3944,0.7265,0.5605,0.7878,0.573,0.6804,0.6065,0.698,0.6522
10.2,-0.5825,0.5524,0.6279,0.3959,0.736,0.566,0.7942,0.5645,0.6793,0.6205,0.6991,0.6598
10.3,-0.5542,0.5742,0.6192,0.3985,0.7426,0.5705,0.8029,0.5583,0.6806,0.6333,0.6996,0.6665
10.4,-0.528,0.5969,0.6091,0.4024,0.7465,0.5745,0.8137,0.5549,0.6843,0.645,0.7003,0.6726
10.5,-0.5071,0.6195,0.5978,0.4067,0.7477,0.5772,0.8265,0.5542,0.6903,0.6553,0.7025,0.6789
10.6,-0.4926,0.6407,0.5856,0.41,0.7459,0.5779,0.8413,0.5559,0.6986,0.6649,0.7074,0.6862
10.7,-0.4846,0.6592,0.573,0.4107,0.7407,0.5757,0.858,0.5603,0.7092,0.6742,0.7155,0.6948
10.8,-0.4825,0.6753,0.5608,0.4085,0.7323,0.5704,0.8763,0.5674,0.7218,0.6831,0.7266,0.7049
10.9,-0.4865,0.689,0.5498,0.4036,0.721,0.5623,0.8953,0.5764,0.7358,0.6911,0.7399,0.7155
11,-0.4975,0.7002,0.5405,0.397,0.7073,0.5522,0.9144,0.5862,0.7503,0.697,0.754,0.7255
11.1,-0.5148,0.7087,0.5338,0.3905,0.6919,0.5412,0.9327,0.5963,0.7645,0.7006,0.7684,0.7345
11.2,-0.5365,0.7148,0.5307,0.3847,0.6753,0.53,0.9493,0.607,0.7782,0.7019,0.7824,0.7421
11.3,-0.5604,0.7186,0.5318,0.3798,0.6584,0.5191,0.964,0.6186,0.7913,0.7017,0.7959,0.7488
11.4,-0.5861,0.7198,0.5377,0.3755,0.642,0.5087,0.9766,0.6311,0.8038,0.7013,0.8093,0.7553
11.5,-0.6125,0.7184,0.5474,0.3724,0.6273,0.4998,0.9871,0.6434,0.8153,0.7004,0.8222,0.7613
11.6,-0.6376,0.7151,0.5597,0.3708,0.6158,0.4933,0.9953,0.6549,0.8251,0.6982,0.8336,0.7659
11.7,-0.6591,0.7097,0.5735,0.3706,0.608,0.4893,1.0009,0.6649,0.8329,0.6947,0.8424,0.7686
11.8,-0.6752,0.7015,0.5877,0.3712,0.6032,0.4872,1.0035,0.6727,0.8381,0.6911,0.8489,0.77
11.9,-0.6865,0.6895,0.6016,0.3719,0.6007,0.4863,1.003,0.6771,0.8401,0.6885,0.8531,0.7708
12,-0.693,0.6739,0.6141,0.3726,0.6001,0.4863,0.9997,0.6775,0.8386,0.6868,0.8553,0.7711
12.1,-0.6941,0.6556,0.6246,0.3733,0.6015,0.4874,0.9936,0.6736,0.8336,0.6856,0.8548,0.7702
12.2,-0.6892,0.6358,0.633,0.374,0.6054,0.4897,0.9846,0.6659,0.8253,0.6845,0.8513,0.7679
12.3,-0.6782,0.6152,0.6389,0.3749,0.6112,0.4931,0.9725,0.6553,0.8139,0.6839,0.8446,0.7643
12.4,-0.661,0.5937,0.6419,0.3761,0.6176,0.4969,0.9574,0.6426,0.8,0.684,0.8353,0.7597
12.5,-0.6368,0.5719,0.6419,0.3786,0.6238,0.5012,0.9396,0.6293,0.7844,0.6838,0.8235,0.7537
12.6,-0.6037,0.5509,0.6396,0.384,0.6299,0.507,0.9194,0.6169,0.7682,0.6816,0.8087,0.7452
12.7,-0.561,0.5316,0.6358,0.3929,0.636,0.5144,0.8976,0.6067,0.7522,0.6763,0.7908,0.7336
12.8,-0.5111,0.5141,0.6305,0.4044,0.642,0.5232,0.8748,0.5996,0.7372,0.6677,0.7701,0.7189
12.9,-0.458,0.4989,0.6239,0.4182,0.6481,0.5331,0.8518,0.5962,0.724,0.6566,0.7473,0.702
13,-0.4048,0.4871,0.6167,0.4344,0.6547,0.5446,0.8294,0.5971,0.7132,0.6444,0.7236,0.684
13.1,-0.352,0.48,0.6098,0.4538,0.6621,0.5579,0.8085,0.6021,0.7053,0.6319,0.6999,0.6659
13.2,-0.2991,0.4779,0.6042,0.4759,0.6702,0.5731,0.7893,0.6108,0.7,0.6199,0.6773,0.6486
13.3,-0.248,0.4798,0.6006,0.4994,0.6784,0.5889,0.7717,0.622,0.6968,0.6088,0.6567,0.6327
13.4,-0.2022,0.4838,0.5989,0.5223,0.6857,0.604,0.7555,0.6347,0.6951,0.5992,0.6388,0.619
13.5,-0.1633,0.4886,0.5984,0.5435,0.6911,0.6173,0.7406,0.6478,0.6942,0.5916,0.6243,0.608
13.6,-0.1309,0.4945,0.5989,0.5626,0.6945,0.6286,0.7268,0.6602,0.6935,0.5858,0.6131,0.5995
13.7,-0.1028,0.5025,0.6008,0.5794,0.6961,0.6377,0.7138,0.6709,0.6923,0.5811,0.6044,0.5928
13.8,-0.0767,0.5125,0.6042,0.5932,0.6952,0.6442,0.7012,0.6789,0.6901,0.5767,0.5977,0.5872
13.9,-0.0515,0.5242,0.6087,0.6032,0.6916,0.6474,0.6889,0.6835,0.6862,0.5723,0.5927,0.5825
14,-0.0266,0.5373,0.6134,0.6098,0.685,0.6474,0.6768,0.6843,0.6805,0.5675,0.5888,0.5782
14.1,-0.0007,0.5518,0.6178,0.6137,0.6759,0.6448,0.6647,0.6806,0.6727,0.5622,0.5854,0.5738
14.2,0.0266,0.5676,0.6213,0.6157,0.6651,0.6404,0.6518,0.6718,0.6618,0.5556,0.5819,0.5688
14.3,0.0538,0.5835,0.6239,0.6161,0.6532,0.6346,0.6372,0.6571,0.6471,0.5475,0.578,0.5628
14.4,0.0786,0.5984,0.6254,0.6154,0.6409,0.6281,0.621,0.6366,0.6288,0.5379,0.574,0.556
14.5,0.1004,0.6119,0.6257,0.6137,0.6289,0.6213,0.6041,0.6115,0.6078,0.5275,0.5704,0.5489
14.6,0.1199,0.6239,0.6249,0.6116,0.6176,0.6146,0.5872,0.5833,0.5853,0.517,0.5672,0.5421
14.7,0.1381,0.6345,0.6227,0.6099,0.6077,0.6088,0.5705,0.5537,0.5621,0.5064,0.5644,0.5354
14.8,0.1574,0.6441,0.6192,0.6091,0.5997,0.6044,0.5539,0.5235,0.5387,0.4951,0.5614,0.5283
14.9,0.1794,0.6529,0.6143,0.6095,0.5938,0.6017,0.5371,0.4932,0.5151,0.4824,0.5578,0.5201
15,0.2038,0.6611,0.6085,0.6112,0.5901,0.6006,0.5209,0.4632,0.492,0.4686,0.5538,0.5112
15.1,0.2282,0.6689,0.6028,0.6139,0.5887,0.6013,0.5068,0.4349,0.4708,0.4549,0.5496,0.5022
15.2,0.2479,0.6757,0.5984,0.6172,0.5899,0.6035,0.4956,0.41,0.4528,0.4418,0.5451,0.4935
15.3,0.2587,0.6811,0.5963,0.6208,0.5939,0.6074,0.4874,0.3902,0.4388,0.4288,0.5403,0.4845
15.4,0.2587,0.6859,0.5968,0.6249,0.6016,0.6132,0.4814,0.377,0.4292,0.4151,0.5349,0.475
15.5,0.2479,0.6907,0.5994,0.6295,0.6132,0.6214,0.4772,0.3718,0.4245,0.401,0.5288,0.4649
15.6,0.227,0.6959,0.6038,0.6354,0.6287,0.632,0.475,0.3751,0.4251,0.3873,0.5219,0.4546
15.7,0.1977,0.7015,0.6088,0.6428,0.6469,0.6448,0.4748,0.3867,0.4308,0.3747,0.5147,0.4447
15.8,0.1622,0.7071,0.6135,0.6511,0.6669,0.659,0.4762,0.4057,0.441,0.3639,0.5079,0.4359
15.9,0.1213,0.7123,0.6178,0.6591,0.6882,0.6736,0.4786,0.4314,0.455,0.3556,0.5024,0.429
16,0.0774,0.7168,0.6218,0.6659,0.7097,0.6878,0.4818,0.4619,0.4719,0.3514,0.4991,0.4253
16.1,0.0336,0.721,0.6251,0.6708,0.7306,0.7007,0.4861,0.4958,0.4909,0.3527,0.4986,0.4256
16.2,-0.0077,0.7249,0.6274,0.674,0.7498,0.7119,0.491,0.5309,0.511,0.3597,0.5009,0.4303
16.3,-0.045,0.728,0.6279,0.6752,0.7662,0.7207,0.4958,0.5654,0.5306,0.3719,0.5059,0.4389
16.4,-0.0778,0.7293,0.6262,0.6739,0.7789,0.7264,0.4994,0.5975,0.5484,0.388,0.5129,0.4505
16.5,-0.1062,0.7284,0.6223,0.6697,0.7874,0.7286,0.5011,0.6262,0.5637,0.4059,0.5207,0.4633
16.6,-0.1306,0.7253,0.6164,0.6628,0.7916,0.7272,0.5013,0.6514,0.5764,0.4235,0.528,0.4757
16.7,-0.1513,0.7206,0.6089,0.6538,0.7911,0.7224,0.5006,0.673,0.5868,0.4392,0.5333,0.4863
16.8,-0.1683,0.7141,0.5998,0.6433,0.7855,0.7144,0.4996,0.6903,0.5949,0.4519,0.5358,0.4939
16.9,-0.1798,0.7055,0.5885,0.6315,0.774,0.7027,0.498,0.7027,0.6004,0.4609,0.535,0.4979
17,-0.1842,0.695,0.5752,0.6186,0.7566,0.6876,0.4959,0.7104,0.6032,0.4657,0.5307,0.4982
17.1,-0.1814,0.6839,0.5605,0.6057,0.7344,0.6701,0.4935,0.7143,0.6039,0.4668,0.5234,0.4951
17.2,-0.172,0.6735,0.5447,0.594,0.709,0.6515,0.4915,0.7152,0.6033,0.4651,0.514,0.4895
17.3,-0.1584,0.6646,0.5282,0.5842,0.6818,0.633,0.4907,0.7139,0.6023,0.462,0.503,0.4825
17.4,-0.1422,0.6568,0.5118,0.5764,0.6541,0.6153,0.4912,0.711,0.6011,0.4585,0.4907,0.4746
17.5,-0.1239,0.6495,0.4968,0.5709,0.6265,0.5987,0.4933,0.7072,0.6002,0.4552,0.4778,0.4665
17.6,-0.1038,0.6425,0.4845,0.5672,0.5992,0.5832,0.4972,0.7035,0.6003,0.4526,0.465,0.4588
17.7,-0.083,0.6367,0.4761,0.5654,0.5719,0.5687,0.5036,0.7011,0.6023,0.4515,0.4526,0.4521
17.8,-0.0633,0.6332,0.4728,0.5659,0.5458,0.5559,0.5135,0.7016,0.6075,0.4526,0.441,0.4468
17.9,-0.0454,0.6327,0.4747,0.5688,0.5217,0.5453,0.5273,0.7058,0.6166,0.4559,0.43,0.4429
18,-0.0289,0.6352,0.4821,0.5741,0.501,0.5376,0.5445,0.7138,0.6291,0.4605,0.4193,0.4399
18.1,-0.0138,0.6402,0.495,0.5818,0.4851,0.5334,0.5638,0.7246,0.6442,0.465,0.4091,0.4371
18.2,-0.0012,0.6471,0.5128,0.5913,0.4745,0.5329,0.5846,0.7373,0.6609,0.4686,0.3989,0.4338
18.3,0.0071,0.6542,0.5349,0.6008,0.4693,0.5351,0.6067,0.7509,0.6788,0.4713,0.3885,0.4299
18.4,0.0098,0.6597,0.5594,0.6082,0.4688,0.5385,0.6305,0.7643,0.6974,0.4736,0.3782,0.4259
18.5,0.0073,0.6621,0.5846,0.6119,0.4721,0.542,0.6558,0.777,0.7164,0.4755,0.3688,0.4221
18.6,0.0005,0.6606,0.6087,0.6116,0.4783,0.545,0.6816,0.7883,0.7349,0.4767,0.3602,0.4185
18.7,-0.0082,0.6562,0.6302,0.6086,0.4873,0.548,0.7063,0.7973,0.7518,0.4772,0.3525,0.4148
18.8,-0.0164,0.6506,0.6483,0.6047,0.4994,0.552,0.7288,0.8035,0.7661,0.4767,0.3457,0.4112
18.9,-0.0223,0.6445,0.6625,0.6007,0.5143,0.5575,0.7478,0.8065,0.7772,0.4756,0.3405,0.4081
19,-0.0249,0.6376,0.673,0.5965,0.5319,0.5642,0.7625,0.8063,0.7844,0.4739,0.3379,0.4059
19.1,-0.0239,0.6297,0.6801,0.5913,0.5519,0.5716,0.7716,0.8028,0.7872,0.4717,0.3386,0.4052
19.2,-0.0198,0.6207,0.684,0.5845,0.5734,0.579,0.7744,0.796,0.7852,0.4685,0.3424,0.4054
19.3,-0.0133,0.6113,0.6849,0.576,0.5955,0.5857,0.7712,0.7855,0.7784,0.4633,0.3484,0.4058
19.4,-0.0044,0.6024,0.6822,0.5664,0.6171,0.5918,0.7632,0.7715,0.7673,0.4548,0.3554,0.4051
19.5,0.0069,0.5951,0.6759,0.5571,0.638,0.5975,0.7513,0.7543,0.7528,0.4425,0.3621,0.4023
19.6,0.0189,0.5898,0.6664,0.5491,0.6581,0.6036,0.736,0.7352,0.7356,0.4258,0.3673,0.3965
19.7,0.0289,0.5865,0.6548,0.5432,0.6776,0.6104,0.7186,0.7152,0.7169,0.405,0.37,0.3875
19.8,0.0359,0.5855,0.6417,0.5397,0.6964,0.6181,0.7009,0.695,0.698,0.3822,0.3707,0.3764
19.9,0.0405,0.5873,0.6273,0.5393,0.7137,0.6265,0.685,0.6747,0.6799,0.3613,0.3702,0.3658
20,0.0436,0.5921,0.6116,0.5419,0.7283,0.6351,0.672,0.6543,0.6631,0.3453,0.3702,0.3577
20.1,0.0457,0.5994,0.5951,0.547,0.7395,0.6433,0.6616,0.6336,0.6476,0.3351,0.3715,0.3533
20.2,0.0468,0.6081,0.5786,0.5534,0.7468,0.6501,0.6528,0.6129,0.6328,0.3302,0.3746,0.3524
20.3,0.0473,0.6179,0.5633,0.5606,0.7501,0.6553,0.6452,0.5931,0.6192,0.3298,0.3799,0.3548
20.4,0.0475,0.6288,0.5505,0.5687,0.75,0.6593,0.6399,0.5752,0.6076,0.3335,0.388,0.3608
20.5,0.0473,0.641,0.5413,0.5783,0.7471,0.6627,0.6379,0.5598,0.5989,0.3412,0.3993,0.3703
20.6,0.0464,0.6537,0.5364,0.59,0.7417,0.6659,0.6393,0.5472,0.5933,0.3522,0.4135,0.3828
20.7,0.0453,0.6659,0.536,0.6033,0.7337,0.6685,0.6435,0.5373,0.5904,0.3656,0.4298,0.3977
