Time,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.9,0.2662,0.6193,0.6331,0.5686,0.572,0.5703,0.6604,0.5714,0.6159,0.6062,0.6848,0.6455
12,0.2998,0.6274,0.6409,0.5781,0.5767,0.5774,0.6677,0.5784,0.623,0.618,0.697,0.6575
12.1,0.3293,0.6377,0.6491,0.5909,0.5836,0.5872,0.6769,0.5875,0.6322,0.6305,0.7092,0.6698
12.2,0.354,0.6491,0.6575,0.6065,0.592,0.5992,0.6879,0.5985,0.6432,0.643,0.7209,0.6819
12.3,0.3736,0.6606,0.6655,0.6243,0.6007,0.6125,0.7003,0.611,0.6556,0.6546,0.7315,0.693
12.4,0.3875,0.6717,0.6726,0.6437,0.6091,0.6264,0.7134,0.6245,0.669,0.6647,0.7407,0.7027
12.5,0.3948,0.6821,0.6786,0.6644,0.6176,0.641,0.7267,0.6389,0.6828,0.673,0.7488,0.7109
12.6,0.3951,0.6919,0.6837,0.6855,0.6264,0.6559,0.7398,0.6538,0.6968,0.6798,0.7561,0.7179
12.7,0.3882,0.7008,0.6879,0.7061,0.6356,0.6709,0.7525,0.6689,0.7107,0.6846,0.7622,0.7234
12.8,0.3749,0.7081,0.6911,0.7255,0.6446,0.685,0.7645,0.6835,0.724,0.6869,0.7665,0.7267
12.9,0.3557,0.7132,0.693,0.7429,0.6526,0.6977,0.7754,0.6969,0.7361,0.686,0.7682,0.7271
13,0.3311,0.7162,0.6939,0.7581,0.659,0.7086,0.7849,0.7082,0.7465,0.6823,0.7677,0.725
13.1,0.3018,0.7175,0.694,0.7707,0.6643,0.7175,0.7926,0.7172,0.7549,0.6768,0.766,0.7214
13.2,0.2694,0.7177,0.6939,0.7805,0.6689,0.7247,0.7985,0.7237,0.7611,0.6706,0.764,0.7173
13.3,0.2352,0.7172,0.6934,0.7868,0.6727,0.7298,0.8026,0.7274,0.765,0.664,0.7619,0.7129
13.4,0.2007,0.7161,0.6923,0.7896,0.6756,0.7326,0.8048,0.7283,0.7666,0.657,0.7592,0.7081
13.5,0.1671,0.7147,0.6906,0.7896,0.6774,0.7335,0.8057,0.7268,0.7662,0.6498,0.7557,0.7027
13.6,0.1354,0.7137,0.6884,0.7883,0.6785,0.7334,0.8058,0.7238,0.7648,0.6429,0.752,0.6975
13.7,0.1067,0.7137,0.6861,0.7869,0.6794,0.7332,0.8059,0.7204,0.7632,0.6371,0.7488,0.693
13.8,0.0819,0.715,0.6841,0.7866,0.6806,0.7336,0.8066,0.7176,0.7621,0.6329,0.7467,0.6898
13.9,0.0613,0.7176,0.6827,0.7876,0.6822,0.7349,0.8086,0.7158,0.7622,0.6303,0.7458,0.6881
14,0.0445,0.7209,0.6823,0.7901,0.6844,0.7372,0.8121,0.7154,0.7638,0.6297,0.7466,0.6882
14.1,0.0308,0.7248,0.6832,0.7938,0.6871,0.7405,0.8172,0.7168,0.767,0.6315,0.7495,0.6905
14.2,0.0201,0.7291,0.6858,0.7989,0.6909,0.7449,0.8236,0.7202,0.7719,0.6361,0.755,0.6956
14.3,0.0123,0.7339,0.6903,0.8051,0.696,0.7506,0.8314,0.7259,0.7787,0.6435,0.7632,0.7033
14.4,0.0073,0.7389,0.697,0.8124,0.703,0.7577,0.8407,0.7341,0.7874,0.6536,0.7735,0.7136
14.5,0.0052,0.7438,0.7056,0.82,0.7114,0.7657,0.8515,0.7442,0.7979,0.6661,0.7854,0.7258
14.6,0.0058,0.7481,0.7155,0.8271,0.721,0.7741,0.8637,0.7557,0.8097,0.6806,0.798,0.7393
14.7,0.0082,0.7519,0.7262,0.8333,0.7313,0.7823,0.8764,0.7679,0.8221,0.6963,0.8106,0.7535
14.8,0.0114,0.7555,0.7373,0.8383,0.742,0.7902,0.8889,0.7806,0.8348,0.7126,0.8228,0.7677
14.9,0.0147,0.759,0.7487,0.8423,0.7531,0.7977,0.9005,0.7938,0.8471,0.7285,0.8341,0.7813
