Time,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
9.1,-0.1138,0.6228,0.589,0.6583,0.6333,0.6458,0.6276,0.6208,0.6242,0.6297,0.5597,0.5947
9.2,-0.1096,0.627,0.5928,0.6608,0.6392,0.65,0.6295,0.6252,0.6273,0.632,0.561,0.5965
9.3,-0.1036,0.6304,0.5957,0.663,0.6448,0.6539,0.6303,0.6292,0.6298,0.6335,0.5621,0.5978
9.4,-0.0958,0.633,0.5978,0.6646,0.6496,0.6571,0.6301,0.6327,0.6314,0.6339,0.5629,0.5984
9.5,-0.0862,0.6345,0.599,0.6655,0.6532,0.6593,0.6289,0.6354,0.6321,0.6328,0.5631,0.598
9.6,-0.075,0.6345,0.5992,0.6653,0.6552,0.6603,0.6265,0.6369,0.6317,0.6301,0.5625,0.5963
9.7,-0.0631,0.6329,0.5985,0.6638,0.6556,0.6597,0.6229,0.6371,0.63,0.6257,0.5606,0.5932
9.8,-0.0515,0.6302,0.5972,0.6612,0.6548,0.658,0.6181,0.6359,0.627,0.6197,0.5576,0.5886
9.9,-0.041,0.6269,0.5959,0.6577,0.6535,0.6556,0.6124,0.6336,0.623,0.6125,0.5536,0.583
10,-0.0321,0.6233,0.595,0.6536,0.6523,0.6529,0.6059,0.6307,0.6183,0.6045,0.5492,0.5769
10.1,-0.025,0.6197,0.5949,0.6487,0.6513,0.65,0.5991,0.6276,0.6134,0.5964,0.5452,0.5708
10.2,-0.0195,0.6159,0.5957,0.6431,0.6504,0.6468,0.5922,0.6243,0.6083,0.5886,0.5418,0.5652
10.3,-0.0156,0.6119,0.5973,0.6369,0.6495,0.6432,0.5854,0.6208,0.6031,0.5814,0.539,0.5602
10.4,-0.0133,0.6077,0.5997,0.63,0.6487,0.6394,0.5789,0.6173,0.5981,0.5748,0.5368,0.5558
10.5,-0.0134,0.6032,0.6029,0.6225,0.6482,0.6354,0.573,0.6138,0.5934,0.5689,0.535,0.552
10.6,-0.0159,0.5983,0.6067,0.6145,0.648,0.6312,0.5678,0.6106,0.5892,0.5637,0.5336,0.5486
10.7,-0.0205,0.5931,0.6111,0.606,0.648,0.627,0.5635,0.6078,0.5857,0.5592,0.5326,0.5459
10.8,-0.0267,0.5878,0.6161,0.5969,0.6482,0.6226,0.5604,0.6056,0.583,0.5555,0.5321,0.5438
10.9,-0.0341,0.5828,0.6217,0.5878,0.6489,0.6184,0.5586,0.604,0.5813,0.5528,0.5321,0.5425
11,-0.0422,0.5785,0.628,0.579,0.6499,0.6145,0.5583,0.6032,0.5808,0.5512,0.5327,0.542
11.1,-0.0507,0.5748,0.6349,0.5709,0.651,0.611,0.5596,0.6033,0.5814,0.551,0.5339,0.5424
11.2,-0.0591,0.5716,0.6422,0.5635,0.6515,0.6075,0.5621,0.6042,0.5832,0.5521,0.5356,0.5439
11.3,-0.0674,0.5682,0.6492,0.5568,0.6507,0.6038,0.5656,0.6058,0.5857,0.5545,0.5376,0.5461
11.4,-0.0752,0.5644,0.6555,0.5504,0.6483,0.5993,0.5696,0.6076,0.5886,0.5576,0.5397,0.5486
11.5,-0.0821,0.5601,0.6605,0.544,0.6438,0.5939,0.5738,0.6091,0.5915,0.561,0.5414,0.5512
