Time,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC,Panadol Extra Tough Pain TVC
12.1,0.1306,0.4171,0.6796,0.5916,0.4456,0.5186,0.6122,0.6233,0.6178,0.7471,0.6967,0.7219
12.2,0.141,0.4216,0.686,0.606,0.4503,0.5282,0.6093,0.643,0.6262,0.7485,0.6907,0.7196
12.3,0.1555,0.4246,0.6904,0.6211,0.4562,0.5387,0.6071,0.6624,0.6347,0.7499,0.6841,0.717
12.4,0.1726,0.426,0.6922,0.6361,0.4637,0.5499,0.6052,0.6809,0.643,0.7512,0.6765,0.7138
12.5,0.1919,0.4258,0.6918,0.6504,0.4733,0.5619,0.6034,0.6982,0.6508,0.7521,0.668,0.7101
12.6,0.2131,0.4246,0.6901,0.6643,0.4851,0.5747,0.6017,0.7146,0.6581,0.7529,0.6588,0.7058
12.7,0.2347,0.4232,0.6877,0.6777,0.4988,0.5883,0.6002,0.7301,0.6651,0.7533,0.6492,0.7012
12.8,0.255,0.4223,0.6846,0.6905,0.5138,0.6022,0.599,0.7447,0.6719,0.7532,0.6393,0.6962
12.9,0.2732,0.422,0.6803,0.7019,0.5295,0.6157,0.5985,0.7578,0.6782,0.7519,0.6292,0.6906
13,0.2899,0.4218,0.6744,0.7111,0.5451,0.6281,0.5987,0.7691,0.6839,0.7492,0.619,0.6841
13.1,0.3072,0.4217,0.6673,0.7176,0.5595,0.6386,0.5992,0.7781,0.6887,0.7448,0.6086,0.6767
13.2,0.3267,0.4214,0.6595,0.7215,0.5716,0.6466,0.5999,0.7847,0.6923,0.7386,0.5982,0.6684
13.3,0.3485,0.4211,0.6507,0.7225,0.5804,0.6514,0.6006,0.7884,0.6945,0.7305,0.5876,0.659
13.4,0.371,0.4207,0.6407,0.7203,0.5856,0.6529,0.6014,0.7887,0.695,0.7206,0.5762,0.6484
13.5,0.3925,0.4199,0.6287,0.7148,0.5882,0.6515,0.6026,0.7853,0.694,0.7091,0.5635,0.6363
13.6,0.4126,0.4189,0.6148,0.7066,0.5897,0.6481,0.6048,0.7786,0.6917,0.6963,0.5495,0.6229
13.7,0.4314,0.4179,0.5992,0.6962,0.5907,0.6435,0.6081,0.7691,0.6886,0.6828,0.5347,0.6088
13.8,0.4491,0.4169,0.5822,0.6843,0.5911,0.6377,0.6127,0.7578,0.6852,0.669,0.5198,0.5944
13.9,0.4647,0.416,0.5638,0.6712,0.5901,0.6306,0.6182,0.7458,0.682,0.6552,0.5053,0.5802
14,0.4759,0.4151,0.5445,0.6567,0.587,0.6219,0.6247,0.7339,0.6793,0.6419,0.4914,0.5667
14.1,0.4803,0.4145,0.5246,0.6408,0.5817,0.6112,0.6323,0.7227,0.6775,0.6296,0.4783,0.5539
14.2,0.4765,0.4147,0.5053,0.6235,0.5744,0.5989,0.6409,0.7129,0.6769,0.6185,0.4663,0.5424
14.3,0.4651,0.4158,0.4873,0.6054,0.5655,0.5855,0.6508,0.705,0.6779,0.6093,0.456,0.5326
14.4,0.448,0.4176,0.4714,0.5873,0.5548,0.5711,0.6621,0.6995,0.6808,0.6022,0.4475,0.5249
14.5,0.4272,0.4193,0.4575,0.5693,0.542,0.5557,0.6747,0.6969,0.6858,0.5979,0.4408,0.5193
14.6,0.4039,0.4204,0.4451,0.5513,0.5269,0.5391,0.6883,0.6975,0.6929,0.5962,0.4354,0.5158
14.7,0.3803,0.4208,0.4338,0.5333,0.5097,0.5215,0.7026,0.7015,0.7021,0.5969,0.4318,0.5143
14.8,0.3582,0.4208,0.4237,0.5159,0.4908,0.5033,0.7175,0.7094,0.7134,0.5996,0.4307,0.5152
14.9,0.3389,0.4208,0.4149,0.4997,0.4712,0.4854,0.7325,0.7209,0.7267,0.6041,0.4325,0.5183
