Time,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE,ANZ Business Client 15s TVC VIEWING ONE
1.7,-0.2409,0.4329,0.8762,0.6126,0.5505,0.5816,0.7131,0.7156,0.7143,0.6732,0.7393,0.7062
1.8,-0.181,0.4174,0.8708,0.6235,0.548,0.5858,0.7167,0.7103,0.7135,0.6681,0.7306,0.6993
1.9,-0.116,0.406,0.8625,0.6363,0.5442,0.5903,0.7206,0.7043,0.7124,0.6649,0.7208,0.6928
2,-0.0485,0.3989,0.8514,0.6502,0.5396,0.5949,0.7244,0.6974,0.7109,0.663,0.7102,0.6866
2.1,0.0189,0.3956,0.8374,0.6645,0.5339,0.5992,0.7278,0.6898,0.7088,0.6618,0.6987,0.6802
2.2,0.0836,0.3954,0.8205,0.6783,0.5272,0.6027,0.7303,0.6814,0.7059,0.6609,0.6863,0.6736
2.3,0.1438,0.3981,0.8008,0.6907,0.5199,0.6053,0.7315,0.672,0.7017,0.6599,0.6732,0.6666
2.4,0.1989,0.4031,0.7789,0.7015,0.5121,0.6068,0.7311,0.6614,0.6962,0.659,0.6597,0.6594
2.5,0.2483,0.4101,0.7559,0.7102,0.5038,0.607,0.7293,0.6493,0.6893,0.6584,0.6464,0.6524
2.6,0.2913,0.4187,0.7332,0.7171,0.4953,0.6062,0.7258,0.6363,0.6811,0.6582,0.6335,0.6459
2.7,0.3274,0.4289,0.7124,0.7225,0.4875,0.605,0.7205,0.6232,0.6719,0.6585,0.6212,0.6398
2.8,0.3562,0.4407,0.6946,0.727,0.4819,0.6045,0.7134,0.6116,0.6625,0.6589,0.6096,0.6342
2.9,0.3771,0.4539,0.6802,0.7302,0.4788,0.6045,0.705,0.6024,0.6537,0.6594,0.5989,0.6292
3,0.3894,0.4683,0.6695,0.7313,0.478,0.6046,0.6964,0.5965,0.6465,0.66,0.5897,0.6249
3.1,0.3925,0.4832,0.6623,0.7295,0.4789,0.6042,0.6885,0.594,0.6412,0.6609,0.5828,0.6218
3.2,0.3869,0.4987,0.6585,0.7253,0.4812,0.6032,0.682,0.5949,0.6385,0.6624,0.5785,0.6205
3.3,0.374,0.5146,0.6578,0.7192,0.4845,0.6018,0.6775,0.5993,0.6384,0.6651,0.5776,0.6213
3.4,0.3558,0.531,0.6599,0.7117,0.4887,0.6002,0.6755,0.6069,0.6412,0.6694,0.5808,0.6251
3.5,0.3341,0.5481,0.6647,0.7033,0.4937,0.5985,0.6762,0.6174,0.6468,0.6757,0.5884,0.632
3.6,0.31,0.5656,0.6721,0.6946,0.4994,0.597,0.6796,0.6307,0.6551,0.6838,0.6002,0.642
3.7,0.2837,0.5832,0.682,0.6864,0.5058,0.5961,0.6854,0.6462,0.6658,0.6934,0.6158,0.6546
3.8,0.2556,0.6008,0.6938,0.6797,0.5126,0.5961,0.6931,0.6636,0.6783,0.7043,0.635,0.6697
3.9,0.2272,0.618,0.7065,0.6746,0.5192,0.5969,0.7024,0.6824,0.6924,0.7169,0.6574,0.6872
4,0.2001,0.634,0.7187,0.6715,0.5247,0.5981,0.7132,0.7024,0.7078,0.7311,0.6825,0.7068
4.1,0.1747,0.6482,0.7293,0.6705,0.5282,0.5994,0.7247,0.7233,0.724,0.7466,0.7091,0.7278
4.2,0.1507,0.6601,0.7374,0.6715,0.5283,0.5999,0.7364,0.7444,0.7404,0.7625,0.7359,0.7492
4.3,0.1281,0.6689,0.7427,0.6733,0.5237,0.5985,0.7476,0.7647,0.7561,0.7784,0.7622,0.7703
4.4,0.1076,0.6743,0.7451,0.6748,0.5139,0.5944,0.7577,0.7835,0.7706,0.7946,0.7878,0.7912
4.5,0.0898,0.6768,0.7449,0.6759,0.499,0.5875,0.7666,0.8005,0.7836,0.8111,0.8128,0.812
4.6,0.0747,0.6772,0.7421,0.6779,0.4803,0.5791,0.774,0.8155,0.7947,0.8279,0.8369,0.8324
4.7,0.0635,0.6762,0.7367,0.6821,0.459,0.5706,0.7796,0.8275,0.8035,0.8443,0.8598,0.852
4.8,0.0576,0.6736,0.7285,0.6881,0.4363,0.5622,0.7832,0.8354,0.8093,0.8599,0.8806,0.8703
4.9,0.0581,0.669,0.7176,0.6943,0.4132,0.5537,0.785,0.8386,0.8118,0.8744,0.8992,0.8868
5,0.0645,0.6625,0.7042,0.699,0.3909,0.5449,0.7851,0.8374,0.8113,0.8873,0.9151,0.9012
5.1,0.0743,0.655,0.6888,0.7013,0.3709,0.5361,0.7839,0.8326,0.8082,0.8983,0.9283,0.9133
5.2,0.085,0.6476,0.6725,0.7019,0.3547,0.5283,0.7813,0.8255,0.8034,0.907,0.9387,0.9229
5.3,0.0954,0.641,0.6567,0.7011,0.3433,0.5222,0.7774,0.8167,0.797,0.914,0.9472,0.9306
5.4,0.1054,0.6353,0.6424,0.6992,0.3369,0.5181,0.7724,0.8063,0.7894,0.9196,0.954,0.9368
5.5,0.115,0.6306,0.6302,0.6959,0.3354,0.5157,0.7662,0.7945,0.7804,0.9239,0.9591,0.9415
5.6,0.1236,0.6271,0.6207,0.6913,0.3381,0.5147,0.7592,0.7816,0.7704,0.9272,0.9626,0.9449
5.7,0.1305,0.6252,0.6145,0.6857,0.3448,0.5153,0.7521,0.768,0.7601,0.9294,0.9649,0.9472
5.8,0.1344,0.6257,0.6123,0.6797,0.3552,0.5175,0.7457,0.7547,0.7502,0.9309,0.9664,0.9486
5.9,0.1343,0.6288,0.6149,0.6733,0.3694,0.5213,0.74,0.7424,0.7412,0.9316,0.9671,0.9494
6,0.1297,0.634,0.6224,0.6663,0.3869,0.5266,0.7347,0.7315,0.7331,0.9311,0.967,0.949
6.1,0.1218,0.6407,0.6336,0.6584,0.4065,0.5325,0.7293,0.7216,0.7254,0.9288,0.9657,0.9472
6.2,0.1124,0.6481,0.6468,0.6494,0.4265,0.5379,0.7238,0.7121,0.718,0.9238,0.9633,0.9435
6.3,0.1034,0.6558,0.6601,0.6396,0.4453,0.5424,0.7189,0.7024,0.7107,0.9156,0.9594,0.9375
6.4,0.0953,0.6637,0.6723,0.6295,0.4622,0.5458,0.7146,0.692,0.7033,0.9045,0.9537,0.9291
6.5,0.0881,0.6716,0.6826,0.6199,0.4773,0.5486,0.7102,0.6808,0.6955,0.8907,0.9455,0.9181
6.6,0.0814,0.6794,0.6908,0.6116,0.4909,0.5512,0.7048,0.6688,0.6868,0.8748,0.9349,0.9049
6.7,0.0752,0.6868,0.6971,0.6047,0.503,0.5538,0.6985,0.6562,0.6773,0.8575,0.9222,0.8899
6.8,0.0696,0.6933,0.7019,0.5993,0.5134,0.5563,0.6915,0.6431,0.6673,0.8399,0.9081,0.874
6.9,0.0646,0.6984,0.7055,0.5954,0.5219,0.5587,0.6843,0.6303,0.6573,0.8226,0.8929,0.8577
7,0.0592,0.7018,0.7081,0.5928,0.5286,0.5607,0.6767,0.6186,0.6476,0.8056,0.8769,0.8412
7.1,0.0521,0.7033,0.7095,0.5911,0.5335,0.5623,0.669,0.6085,0.6387,0.789,0.8603,0.8247
7.2,0.0426,0.7032,0.7095,0.5896,0.5367,0.5632,0.6613,0.6004,0.6309,0.7733,0.8439,0.8086
7.3,0.0308,0.7018,0.7079,0.588,0.5386,0.5633,0.6544,0.5943,0.6243,0.7586,0.8279,0.7933
7.4,0.0172,0.6993,0.7048,0.5863,0.5396,0.5629,0.6485,0.5904,0.6194,0.745,0.8126,0.7788
7.5,0.0028,0.6963,0.7002,0.5846,0.5401,0.5623,0.6434,0.5886,0.616,0.7322,0.7975,0.7649
7.6,-0.0121,0.693,0.6939,0.5827,0.5403,0.5615,0.6383,0.5884,0.6133,0.72,0.7823,0.7512
7.7,-0.0266,0.6897,0.6857,0.5805,0.5403,0.5604,0.6327,0.5894,0.611,0.7083,0.7669,0.7376
7.8,-0.0401,0.6865,0.6758,0.5779,0.54,0.5589,0.6269,0.5913,0.6091,0.6975,0.7519,0.7247
7.9,-0.052,0.6834,0.6646,0.5751,0.5397,0.5574,0.6217,0.5945,0.6081,0.6879,0.7378,0.7129
8,-0.0623,0.6802,0.6526,0.5727,0.5397,0.5562,0.6177,0.5994,0.6085,0.6799,0.725,0.7025
8.1,-0.0714,0.6765,0.6402,0.5706,0.5401,0.5553,0.615,0.6058,0.6104,0.6736,0.7135,0.6935
8.2,-0.0796,0.672,0.6274,0.5685,0.5406,0.5545,0.6138,0.6134,0.6136,0.6693,0.7033,0.6863
8.3,-0.0874,0.6666,0.6149,0.566,0.5408,0.5534,0.6144,0.6217,0.618,0.6672,0.6949,0.681
8.4,-0.0953,0.6609,0.6031,0.5633,0.5404,0.5518,0.6172,0.6308,0.624,0.6674,0.6887,0.678
8.5,-0.1032,0.6554,0.5929,0.5608,0.5392,0.55,0.6228,0.6411,0.6319,0.6697,0.6847,0.6772
8.6,-0.1107,0.6503,0.5847,0.5591,0.537,0.5481,0.631,0.6526,0.6418,0.6734,0.6824,0.6779
8.7,-0.117,0.6453,0.5782,0.5579,0.5333,0.5456,0.6412,0.6645,0.6529,0.6779,0.6812,0.6796
8.8,-0.1229,0.6402,0.5732,0.5566,0.5276,0.5421,0.6528,0.6757,0.6642,0.6826,0.6804,0.6815
8.9,-0.1297,0.6351,0.5693,0.5549,0.52,0.5374,0.6651,0.6854,0.6753,0.6871,0.6795,0.6833
9,-0.1378,0.6303,0.567,0.5525,0.5107,0.5316,0.6777,0.6936,0.6856,0.6912,0.6782,0.6847
9.1,-0.1476,0.6262,0.5664,0.5499,0.5007,0.5253,0.6904,0.7003,0.6953,0.6949,0.6763,0.6856
9.2,-0.1587,0.6229,0.5678,0.5478,0.4904,0.5191,0.7027,0.7056,0.7042,0.6984,0.6735,0.686
9.3,-0.17,0.6203,0.571,0.5471,0.4796,0.5134,0.7139,0.7093,0.7116,0.7015,0.6695,0.6855
9.4,-0.1805,0.6182,0.5754,0.5487,0.4678,0.5082,0.7235,0.7107,0.7171,0.7035,0.6641,0.6838
9.5,-0.1895,0.6167,0.5803,0.5536,0.4546,0.5041,0.7317,0.7094,0.7205,0.7041,0.6568,0.6805
9.6,-0.1968,0.6161,0.585,0.5623,0.4407,0.5015,0.738,0.7057,0.7218,0.7029,0.6474,0.6751
9.7,-0.2016,0.617,0.589,0.5749,0.4277,0.5013,0.742,0.6999,0.721,0.7001,0.6361,0.6681
9.8,-0.203,0.6194,0.5922,0.5909,0.4171,0.504,0.7432,0.6926,0.7179,0.6967,0.624,0.6603
9.9,-0.2002,0.6236,0.5954,0.6102,0.4096,0.5099,0.7416,0.6845,0.713,0.694,0.6125,0.6533
10,-0.1924,0.6295,0.5994,0.6323,0.4051,0.5187,0.7378,0.6764,0.7071,0.6932,0.6031,0.6481
10.1,-0.1782,0.6372,0.6049,0.6572,0.4036,0.5304,0.7333,0.6691,0.7012,0.6946,0.5968,0.6457
10.2,-0.1567,0.6471,0.6115,0.6845,0.4047,0.5446,0.7289,0.6633,0.6961,0.6983,0.5939,0.6461
10.3,-0.1282,0.6588,0.6183,0.7135,0.4084,0.5609,0.7246,0.6589,0.6918,0.7033,0.594,0.6487
10.4,-0.0947,0.6719,0.6245,0.743,0.4146,0.5788,0.7204,0.6556,0.688,0.7089,0.5969,0.6529
10.5,-0.0583,0.6858,0.6296,0.7722,0.4237,0.5979,0.716,0.6529,0.6845,0.7147,0.6024,0.6586
10.6,-0.0204,0.7004,0.6338,0.8012,0.4362,0.6187,0.7114,0.6506,0.681,0.7212,0.6109,0.6661
10.7,0.0182,0.716,0.6371,0.8308,0.453,0.6419,0.7062,0.6488,0.6775,0.7289,0.6225,0.6757
10.8,0.0571,0.7325,0.6397,0.8616,0.4743,0.6679,0.7002,0.6478,0.674,0.7381,0.637,0.6876
10.9,0.0955,0.7492,0.6417,0.8928,0.499,0.6959,0.6936,0.648,0.6708,0.7488,0.6538,0.7013
11,0.1328,0.7647,0.6435,0.9236,0.5255,0.7245,0.6874,0.6494,0.6684,0.7604,0.6725,0.7165
11.1,0.169,0.7778,0.6453,0.9529,0.5525,0.7527,0.6825,0.6522,0.6674,0.7727,0.6928,0.7327
11.2,0.2037,0.7882,0.648,0.9803,0.5794,0.7798,0.6796,0.6568,0.6682,0.7851,0.7145,0.7498
11.3,0.2361,0.796,0.652,1.0052,0.6062,0.8057,0.6784,0.6632,0.6708,0.7975,0.7376,0.7676
11.4,0.2644,0.8013,0.6572,1.0265,0.6328,0.8297,0.6783,0.6713,0.6748,0.8093,0.7615,0.7854
11.5,0.2872,0.8047,0.6634,1.0428,0.6585,0.8506,0.679,0.6802,0.6796,0.8199,0.7851,0.8025
11.6,0.3037,0.8061,0.6698,1.0528,0.682,0.8674,0.6805,0.6894,0.685,0.8289,0.8075,0.8182
11.7,0.314,0.8058,0.6763,1.0559,0.7025,0.8792,0.683,0.6984,0.6907,0.8359,0.8273,0.8316
11.8,0.3183,0.8033,0.6829,1.0523,0.7194,0.8858,0.6862,0.707,0.6966,0.841,0.8438,0.8424
11.9,0.3165,0.7982,0.6898,1.042,0.7323,0.8871,0.6892,0.7147,0.702,0.844,0.8563,0.8502
12,0.3091,0.7901,0.697,1.0249,0.7409,0.8829,0.6913,0.7209,0.7061,0.8453,0.8646,0.855
12.1,0.2965,0.7789,0.7045,1.001,0.7454,0.8732,0.6916,0.7249,0.7083,0.8452,0.8689,0.857
12.2,0.2791,0.7649,0.7119,0.9709,0.7458,0.8583,0.6901,0.7263,0.7082,0.844,0.8695,0.8567
12.3,0.2576,0.7481,0.7185,0.9357,0.7423,0.839,0.6869,0.7249,0.7059,0.842,0.8671,0.8545
12.4,0.233,0.7285,0.724,0.8971,0.7345,0.8158,0.6822,0.721,0.7016,0.8392,0.862,0.8506
12.5,0.2058,0.7056,0.7277,0.8565,0.7219,0.7892,0.6761,0.7147,0.6954,0.8355,0.8545,0.845
12.6,0.1772,0.6794,0.7291,0.8154,0.7041,0.7597,0.6691,0.7063,0.6877,0.8308,0.8451,0.8379
12.7,0.1483,0.6502,0.7279,0.7751,0.6817,0.7284,0.6612,0.6956,0.6784,0.8249,0.8339,0.8294
12.8,0.1203,0.6187,0.7238,0.7366,0.6557,0.6961,0.6526,0.6826,0.6676,0.8175,0.8208,0.8191
12.9,0.0938,0.5857,0.7165,0.7001,0.6274,0.6637,0.6432,0.6673,0.6553,0.8081,0.8054,0.8068
13,0.0691,0.5517,0.7056,0.6654,0.5981,0.6317,0.6329,0.6497,0.6413,0.7969,0.7878,0.7923
13.1,0.0462,0.5173,0.6909,0.6326,0.568,0.6003,0.6218,0.6299,0.6258,0.7842,0.7686,0.7764
13.2,0.0248,0.4828,0.6728,0.6019,0.5371,0.5695,0.6099,0.6083,0.6091,0.7709,0.748,0.7595
13.3,0.0045,0.4485,0.6519,0.5732,0.5052,0.5392,0.5974,0.5853,0.5914,0.7575,0.7263,0.7419
13.4,-0.0157,0.4144,0.6282,0.546,0.4724,0.5092,0.5842,0.5613,0.5728,0.7436,0.703,0.7233
13.5,-0.0356,0.3805,0.6016,0.5197,0.4392,0.4795,0.57,0.5364,0.5532,0.7287,0.6781,0.7034
13.6,-0.0549,0.3469,0.572,0.4937,0.4062,0.45,0.554,0.5104,0.5322,0.7124,0.652,0.6822
13.7,-0.0731,0.3139,0.54,0.4678,0.3738,0.4208,0.5358,0.4836,0.5097,0.6948,0.6256,0.6602
13.8,-0.0898,0.2814,0.5068,0.4422,0.3423,0.3922,0.5154,0.4565,0.4859,0.6767,0.6003,0.6385
13.9,-0.1053,0.2498,0.4742,0.4168,0.3116,0.3642,0.4934,0.4296,0.4615,0.659,0.5775,0.6183
14,-0.1196,0.2194,0.4436,0.392,0.2817,0.3369,0.4707,0.4039,0.4373,0.6425,0.5577,0.6001
14.1,-0.1321,0.191,0.4157,0.3681,0.2521,0.3101,0.4485,0.38,0.4142,0.6274,0.5409,0.5841
14.2,-0.1418,0.1654,0.3913,0.3456,0.2227,0.2842,0.4277,0.3582,0.393,0.6139,0.5273,0.5706
14.3,-0.148,0.1435,0.3707,0.3255,0.1937,0.2596,0.4088,0.3392,0.374,0.6021,0.5172,0.5596
14.4,-0.1516,0.1261,0.3547,0.308,0.166,0.237,0.392,0.3233,0.3577,0.5923,0.5109,0.5516
14.5,-0.1547,0.1141,0.3431,0.2932,0.1411,0.2171,0.3769,0.3107,0.3438,0.5843,0.5082,0.5462
14.6,-0.1593,0.1086,0.3353,0.2806,0.1208,0.2007,0.3629,0.3012,0.332,0.5778,0.5087,0.5433
14.7,-0.1662,0.1104,0.3301,0.2699,0.1067,0.1883,0.3501,0.2948,0.3225,0.5727,0.5115,0.5421
14.8,-0.1751,0.1201,0.3269,0.2618,0.1001,0.181,0.3392,0.2915,0.3153,0.5689,0.5158,0.5424
14.9,-0.1855,0.1377,0.3254,0.2578,0.102,0.1799,0.3309,0.2918,0.3113,0.5663,0.521,0.5437
