Time,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC,Woolworths Jamie Oliver TVC
5.5,0.1251,0.944,0.7945,0.8632,0.9187,0.891,0.926,0.9087,0.9173,0.7944,0.8196,0.807
5.6,0.1456,0.9623,0.8131,0.8793,0.926,0.9027,0.9435,0.9338,0.9387,0.8142,0.8319,0.823
5.7,0.1598,0.9779,0.8299,0.893,0.932,0.9125,0.9562,0.9546,0.9554,0.8295,0.8409,0.8352
5.8,0.1682,0.9907,0.8446,0.9046,0.9367,0.9206,0.9637,0.9709,0.9673,0.8395,0.846,0.8427
5.9,0.1724,1.0014,0.857,0.9146,0.9408,0.9277,0.9662,0.9825,0.9744,0.8438,0.847,0.8454
6,0.174,1.0107,0.8669,0.9236,0.9446,0.9341,0.9644,0.9892,0.9768,0.8423,0.8438,0.8431
6.1,0.1744,1.0191,0.8739,0.9316,0.9485,0.94,0.9586,0.9903,0.9744,0.8348,0.8358,0.8353
6.2,0.1747,1.0264,0.8775,0.9382,0.9522,0.9452,0.9487,0.9853,0.967,0.8207,0.8222,0.8215
6.3,0.1761,1.0322,0.877,0.9431,0.9549,0.949,0.9344,0.9738,0.9541,0.7993,0.8022,0.8008
6.4,0.1804,1.0354,0.871,0.9456,0.955,0.9503,0.9155,0.9554,0.9354,0.77,0.7752,0.7726
6.5,0.1886,1.0349,0.8576,0.9452,0.9509,0.9481,0.8921,0.9297,0.9109,0.7324,0.7401,0.7363
6.6,0.2014,1.0295,0.8339,0.9406,0.9413,0.941,0.8641,0.896,0.8801,0.6863,0.6962,0.6913
6.7,0.2185,1.0185,0.798,0.9311,0.9257,0.9284,0.8312,0.8544,0.8428,0.6319,0.6434,0.6376
6.8,0.2389,1.0015,0.75,0.917,0.9045,0.9108,0.7937,0.8057,0.7997,0.5703,0.5829,0.5766
6.9,0.2615,0.9789,0.6921,0.8994,0.8791,0.8892,0.7525,0.7519,0.7522,0.5037,0.5177,0.5107
7,0.2848,0.9512,0.6274,0.8797,0.8501,0.8649,0.709,0.6951,0.7021,0.4347,0.4513,0.443
7.1,0.3066,0.9184,0.5591,0.8585,0.8182,0.8384,0.6647,0.6372,0.651,0.366,0.3865,0.3763
7.2,0.3244,0.881,0.4903,0.8362,0.7836,0.8099,0.6206,0.5795,0.6001,0.3003,0.3255,0.3129
7.3,0.3354,0.8394,0.424,0.8126,0.7469,0.7798,0.5777,0.5232,0.5505,0.2396,0.2701,0.2549
7.4,0.3373,0.7941,0.3631,0.7879,0.7092,0.7486,0.5366,0.4699,0.5033,0.1861,0.2216,0.2038
7.5,0.3288,0.7462,0.3095,0.7624,0.6715,0.717,0.4983,0.421,0.4597,0.1408,0.1813,0.1611
7.6,0.3097,0.6967,0.2637,0.7368,0.6347,0.6857,0.4637,0.3775,0.4206,0.1043,0.1495,0.1269
7.7,0.2805,0.647,0.2259,0.7116,0.6,0.6558,0.4339,0.3405,0.3872,0.0767,0.1261,0.1014
7.8,0.2427,0.5993,0.1965,0.688,0.569,0.6285,0.4106,0.311,0.3608,0.058,0.111,0.0845
7.9,0.1983,0.5557,0.1764,0.6672,0.5437,0.6055,0.3952,0.2902,0.3427,0.049,0.1042,0.0766
8,0.1502,0.5187,0.1661,0.6502,0.5261,0.5882,0.3889,0.2792,0.3341,0.05,0.1056,0.0778
8.1,0.1016,0.49,0.1653,0.6374,0.5171,0.5772,0.3923,0.278,0.3351,0.0613,0.1147,0.088
8.2,0.0551,0.4704,0.173,0.6285,0.5163,0.5724,0.405,0.286,0.3455,0.0825,0.131,0.1068
8.3,0.0123,0.46,0.1881,0.6234,0.523,0.5732,0.4267,0.3026,0.3647,0.1135,0.1542,0.1339
8.4,-0.0263,0.4584,0.2108,0.622,0.5361,0.5791,0.4574,0.3278,0.3926,0.1541,0.1844,0.1693
8.5,-0.0601,0.4656,0.2408,0.6248,0.5551,0.59,0.4964,0.3613,0.4289,0.2041,0.2217,0.2129
8.6,-0.0887,0.4813,0.2771,0.632,0.5796,0.6058,0.5423,0.4022,0.4723,0.2621,0.2655,0.2638
8.7,-0.1118,0.505,0.3176,0.6433,0.6082,0.6258,0.5924,0.4485,0.5204,0.3252,0.3144,0.3198
8.8,-0.1291,0.5353,0.3597,0.6583,0.6391,0.6487,0.6435,0.4977,0.5706,0.3905,0.3664,0.3784
8.9,-0.1399,0.5707,0.402,0.6764,0.6705,0.6734,0.6933,0.5478,0.6205,0.455,0.4196,0.4373
9,-0.1441,0.6097,0.4444,0.6974,0.7012,0.6993,0.7403,0.5976,0.6689,0.5168,0.4726,0.4947
9.1,-0.1417,0.6509,0.4874,0.7214,0.7313,0.7264,0.7842,0.6465,0.7154,0.5747,0.5248,0.5498
9.2,-0.1333,0.6933,0.531,0.7481,0.7611,0.7546,0.8251,0.6938,0.7594,0.6281,0.5757,0.6019
9.3,-0.1193,0.736,0.5749,0.7762,0.7908,0.7835,0.8625,0.7382,0.8003,0.6763,0.6247,0.6505
9.4,-0.1005,0.7778,0.6183,0.8038,0.8194,0.8116,0.8958,0.7787,0.8372,0.7189,0.6714,0.6951
9.5,-0.0782,0.8173,0.6601,0.8291,0.8456,0.8373,0.9243,0.8144,0.8694,0.7556,0.715,0.7353
9.6,-0.0538,0.853,0.6996,0.8507,0.8682,0.8594,0.9478,0.8453,0.8965,0.7867,0.7551,0.7709
9.7,-0.0285,0.8838,0.736,0.8684,0.8865,0.8775,0.9667,0.8714,0.9191,0.813,0.7916,0.8023
9.8,-0.0026,0.9092,0.7685,0.8829,0.9008,0.8918,0.9816,0.8933,0.9375,0.8354,0.8241,0.8298
9.9,0.0238,0.9291,0.7968,0.8948,0.9115,0.9031,0.9929,0.9111,0.952,0.8546,0.8525,0.8536
10,0.0507,0.9439,0.8207,0.9044,0.9192,0.9118,1.0005,0.9247,0.9626,0.8705,0.8763,0.8734
10.1,0.0782,0.9542,0.84,0.9122,0.9241,0.9181,1.004,0.934,0.969,0.8824,0.895,0.8887
10.2,0.106,0.9607,0.8546,0.9183,0.9264,0.9223,1.0033,0.939,0.9712,0.8902,0.9081,0.8992
10.3,0.1341,0.9639,0.8642,0.9235,0.9261,0.9248,0.9988,0.9399,0.9693,0.894,0.9157,0.9048
10.4,0.1622,0.9642,0.8687,0.9279,0.9235,0.9257,0.9907,0.9366,0.9636,0.8943,0.9177,0.906
10.5,0.1908,0.9613,0.8672,0.9309,0.9179,0.9244,0.9794,0.9283,0.9538,0.8904,0.913,0.9017
10.6,0.2179,0.9544,0.859,0.9315,0.9086,0.9201,0.9651,0.9144,0.9397,0.8816,0.9009,0.8913
10.7,0.2421,0.9435,0.8445,0.9293,0.8958,0.9125,0.9483,0.8955,0.9219,0.8683,0.8823,0.8753
10.8,0.2626,0.9289,0.8249,0.9242,0.8797,0.902,0.9303,0.8728,0.9015,0.8513,0.8586,0.8549
10.9,0.2794,0.9112,0.8018,0.9169,0.8608,0.8888,0.9124,0.8476,0.88,0.8316,0.8315,0.8315
11,0.2925,0.8909,0.7773,0.9079,0.8398,0.8738,0.8957,0.8214,0.8586,0.8104,0.8027,0.8066
11.1,0.3018,0.8691,0.7528,0.8977,0.8178,0.8578,0.8807,0.7951,0.8379,0.7888,0.7738,0.7813
11.2,0.3069,0.8466,0.7291,0.8868,0.7958,0.8413,0.8674,0.7695,0.8184,0.7673,0.7455,0.7564
11.3,0.3074,0.8244,0.7062,0.8753,0.7743,0.8248,0.8553,0.7449,0.8001,0.7462,0.7181,0.7321
11.4,0.3032,0.8031,0.6838,0.8632,0.7536,0.8084,0.8442,0.7213,0.7827,0.7255,0.6916,0.7086
11.5,0.2949,0.7829,0.6617,0.8504,0.7338,0.7921,0.8333,0.6985,0.7659,0.7054,0.6661,0.6857
11.6,0.2833,0.7639,0.64,0.8366,0.7148,0.7757,0.8225,0.6766,0.7496,0.6858,0.6419,0.6638
11.7,0.2694,0.7464,0.6192,0.8222,0.697,0.7596,0.8119,0.6559,0.7339,0.6671,0.6193,0.6432
11.8,0.2541,0.7306,0.6,0.8076,0.6808,0.7442,0.8016,0.6372,0.7194,0.6499,0.599,0.6244
11.9,0.2379,0.7168,0.5826,0.7934,0.6667,0.7301,0.7918,0.6208,0.7063,0.6343,0.5811,0.6077
12,0.2212,0.7054,0.567,0.7803,0.6549,0.7176,0.7826,0.607,0.6948,0.6204,0.5658,0.5931
12.1,0.2052,0.6963,0.5532,0.7683,0.6452,0.7068,0.7737,0.5954,0.6846,0.608,0.5528,0.5804
12.2,0.1913,0.6895,0.541,0.7577,0.6375,0.6976,0.7649,0.5859,0.6754,0.5967,0.542,0.5694
12.3,0.1806,0.6851,0.5306,0.7487,0.6316,0.6901,0.7565,0.5782,0.6674,0.5863,0.5335,0.5599
12.4,0.1735,0.6832,0.5223,0.7416,0.6278,0.6847,0.7488,0.5726,0.6607,0.5767,0.5271,0.5519
12.5,0.1698,0.6841,0.5164,0.7366,0.6266,0.6816,0.7423,0.5693,0.6558,0.568,0.5227,0.5453
12.6,0.1691,0.6877,0.5128,0.7337,0.6282,0.681,0.7369,0.5683,0.6526,0.56,0.5202,0.5401
12.7,0.1712,0.6938,0.5115,0.7326,0.6324,0.6825,0.7328,0.5695,0.6511,0.5527,0.5198,0.5363
12.8,0.1757,0.7016,0.5123,0.7331,0.6386,0.6858,0.7296,0.5725,0.6511,0.546,0.5213,0.5337
12.9,0.1825,0.7099,0.5151,0.7351,0.6462,0.6907,0.7275,0.5772,0.6524,0.5398,0.5247,0.5322
13,0.1912,0.7175,0.5199,0.7389,0.6552,0.697,0.7263,0.5832,0.6548,0.5339,0.5293,0.5316
13.1,0.202,0.7236,0.5265,0.7447,0.6653,0.705,0.726,0.59,0.658,0.5278,0.5344,0.5311
13.2,0.2153,0.7277,0.5346,0.7525,0.6762,0.7144,0.726,0.5967,0.6613,0.5211,0.5393,0.5302
13.3,0.2317,0.729,0.5439,0.7617,0.6874,0.7246,0.7257,0.6026,0.6641,0.5132,0.5433,0.5282
13.4,0.251,0.727,0.5538,0.7716,0.6979,0.7347,0.7247,0.607,0.6658,0.5038,0.5459,0.5248
13.5,0.2726,0.7208,0.5636,0.7814,0.7066,0.744,0.7228,0.6093,0.6661,0.493,0.5467,0.5198
13.6,0.2947,0.7102,0.5725,0.7908,0.713,0.7519,0.72,0.609,0.6645,0.4809,0.5456,0.5132
13.7,0.3159,0.6951,0.5798,0.7993,0.7167,0.758,0.7162,0.6058,0.661,0.4677,0.5421,0.5049
13.8,0.3343,0.676,0.5847,0.8064,0.7169,0.7617,0.7116,0.5994,0.6555,0.4535,0.5362,0.4949
13.9,0.3483,0.653,0.5864,0.8116,0.7128,0.7622,0.7062,0.5896,0.6479,0.4385,0.5278,0.4832
14,0.3554,0.6262,0.584,0.8142,0.7036,0.7589,0.6995,0.5761,0.6378,0.4228,0.5169,0.4699
14.1,0.3552,0.5955,0.5774,0.8143,0.689,0.7516,0.6905,0.5589,0.6247,0.4062,0.5037,0.4549
14.2,0.3488,0.5623,0.5672,0.8122,0.669,0.7406,0.6792,0.5386,0.6089,0.3893,0.4886,0.4389
14.3,0.3368,0.5281,0.554,0.8083,0.6446,0.7264,0.6659,0.5161,0.591,0.3729,0.4722,0.4225
14.4,0.3194,0.4947,0.5381,0.8026,0.6174,0.71,0.6512,0.4929,0.572,0.3573,0.455,0.4062
14.5,0.2961,0.4643,0.5195,0.7952,0.5895,0.6924,0.6356,0.4705,0.5531,0.3431,0.4374,0.3902
14.6,0.2665,0.439,0.4989,0.7864,0.5627,0.6746,0.6206,0.4505,0.5355,0.3308,0.4199,0.3754
14.7,0.2316,0.4202,0.4782,0.7764,0.5384,0.6574,0.6076,0.4344,0.521,0.3214,0.4038,0.3626
14.8,0.1942,0.4086,0.4595,0.7653,0.5171,0.6412,0.5976,0.4236,0.5106,0.316,0.3902,0.3531
14.9,0.1583,0.4041,0.4446,0.7528,0.4988,0.6258,0.5911,0.4185,0.5048,0.3154,0.3805,0.348
15,0.1271,0.4066,0.4347,0.7394,0.4838,0.6116,0.5881,0.4195,0.5038,0.3199,0.3755,0.3477
15.1,0.1017,0.4162,0.4302,0.7257,0.4728,0.5993,0.5886,0.4265,0.5075,0.3289,0.3756,0.3523
15.2,0.0813,0.4327,0.4314,0.7126,0.4666,0.5896,0.5921,0.4386,0.5153,0.3414,0.3809,0.3611
15.3,0.0642,0.4553,0.438,0.7008,0.4656,0.5832,0.5978,0.4546,0.5262,0.3562,0.3912,0.3737
15.4,0.0498,0.4829,0.4507,0.6912,0.4704,0.5808,0.6055,0.4734,0.5394,0.3728,0.4067,0.3898
15.5,0.0383,0.5144,0.4701,0.6844,0.4815,0.5829,0.6155,0.4944,0.5549,0.3913,0.4278,0.4096
15.6,0.0298,0.5491,0.4971,0.6812,0.4996,0.5904,0.6284,0.5179,0.5731,0.4124,0.4548,0.4336
15.7,0.023,0.5855,0.5317,0.6819,0.5248,0.6033,0.6444,0.5438,0.5941,0.4367,0.4873,0.462
15.8,0.0166,0.6219,0.5718,0.6858,0.5557,0.6208,0.6626,0.5709,0.6168,0.4635,0.5238,0.4936
15.9,0.0097,0.6563,0.6143,0.6916,0.5905,0.641,0.6813,0.5976,0.6395,0.4915,0.5619,0.5267
16,0.0026,0.6872,0.6558,0.6977,0.6267,0.6622,0.6989,0.6224,0.6607,0.5192,0.5989,0.5591
16.1,-0.0039,0.7136,0.6941,0.7034,0.6621,0.6828,0.7145,0.6444,0.6795,0.5455,0.6332,0.5893
16.2,-0.0092,0.735,0.7282,0.7084,0.6954,0.7019,0.7279,0.6636,0.6958,0.5694,0.6636,0.6165
16.3,-0.013,0.7512,0.7575,0.7123,0.7255,0.7189,0.7384,0.6801,0.7092,0.5901,0.6892,0.6396
16.4,-0.0149,0.7625,0.7811,0.7149,0.7518,0.7334,0.7455,0.6935,0.7195,0.6067,0.7092,0.6579
16.5,-0.0143,0.7691,0.7984,0.7161,0.7738,0.7449,0.7485,0.7039,0.7262,0.6187,0.7233,0.671
16.6,-0.0112,0.7717,0.8092,0.7157,0.7915,0.7536,0.7478,0.7115,0.7297,0.6264,0.7322,0.6793
16.7,-0.0057,0.7713,0.8141,0.7142,0.8055,0.7599,0.7446,0.7173,0.7309,0.6305,0.7367,0.6836
16.8,0.0011,0.7684,0.8139,0.7117,0.8163,0.764,0.7398,0.7219,0.7309,0.6314,0.7378,0.6846
16.9,0.0083,0.7634,0.809,0.7081,0.8237,0.7659,0.7338,0.7255,0.7296,0.6291,0.7357,0.6824
17,0.0149,0.7561,0.799,0.7023,0.8273,0.7648,0.7259,0.7273,0.7266,0.6232,0.7301,0.6766
17.1,0.0208,0.7463,0.784,0.6934,0.8259,0.7596,0.7155,0.7265,0.721,0.6133,0.7209,0.6671
17.2,0.026,0.7335,0.7641,0.6806,0.8186,0.7496,0.7025,0.7226,0.7125,0.5999,0.7084,0.6542
17.3,0.0311,0.7177,0.7402,0.6638,0.805,0.7344,0.6874,0.7157,0.7016,0.5837,0.6934,0.6385
17.4,0.0363,0.6991,0.7134,0.6436,0.7855,0.7146,0.671,0.7061,0.6886,0.5657,0.6766,0.6211
17.5,0.0415,0.6787,0.6845,0.621,0.7615,0.6913,0.6536,0.6942,0.6739,0.5465,0.6585,0.6025
17.6,0.0465,0.6575,0.654,0.5971,0.7344,0.6657,0.6356,0.6798,0.6577,0.5265,0.6393,0.5829
17.7,0.0512,0.6364,0.6221,0.5729,0.7053,0.6391,0.6174,0.6631,0.6403,0.5061,0.619,0.5626
17.8,0.0554,0.6159,0.5893,0.5491,0.6755,0.6123,0.5997,0.6441,0.6219,0.4854,0.5978,0.5416
17.9,0.0589,0.5963,0.5566,0.5261,0.6457,0.5859,0.5829,0.6232,0.603,0.4647,0.5758,0.5202
18,0.0616,0.5776,0.525,0.5042,0.6169,0.5605,0.5669,0.6005,0.5837,0.4442,0.5535,0.4989
18.1,0.0637,0.5598,0.4951,0.4836,0.5896,0.5366,0.5513,0.5762,0.5637,0.424,0.5312,0.4776
18.2,0.0652,0.5432,0.4669,0.4647,0.5643,0.5145,0.5355,0.5505,0.543,0.404,0.5092,0.4566
18.3,0.0659,0.5278,0.4403,0.4473,0.5414,0.4943,0.5195,0.5239,0.5217,0.3837,0.4873,0.4355
18.4,0.0653,0.5138,0.4152,0.4316,0.521,0.4763,0.5032,0.4971,0.5002,0.3631,0.4655,0.4143
18.5,0.0628,0.5009,0.3919,0.4174,0.5033,0.4603,0.4872,0.4707,0.4789,0.3422,0.444,0.3931
18.6,0.058,0.489,0.3704,0.4047,0.4882,0.4465,0.4715,0.4451,0.4583,0.3212,0.4231,0.3722
18.7,0.0514,0.478,0.3509,0.3941,0.4757,0.4349,0.4567,0.4208,0.4387,0.301,0.4036,0.3523
18.8,0.0441,0.4679,0.3337,0.3861,0.4661,0.4261,0.4434,0.3983,0.4208,0.2823,0.386,0.3342
18.9,0.0371,0.459,0.3191,0.3812,0.4594,0.4203,0.4325,0.3779,0.4052,0.2659,0.3708,0.3184
19,0.0308,0.4513,0.307,0.3792,0.4554,0.4173,0.4243,0.3601,0.3922,0.2523,0.3578,0.3051
19.1,0.0251,0.445,0.2971,0.3798,0.4539,0.4169,0.4189,0.3446,0.3817,0.2419,0.347,0.2945
19.2,0.0199,0.4401,0.2892,0.3829,0.4549,0.4189,0.4163,0.3316,0.3739,0.2351,0.3385,0.2868
19.3,0.0159,0.4368,0.2832,0.3887,0.4585,0.4236,0.4169,0.3213,0.3691,0.2321,0.3329,0.2825
19.4,0.0141,0.435,0.2793,0.3974,0.4651,0.4312,0.4211,0.3145,0.3678,0.2332,0.3307,0.282
19.5,0.015,0.4343,0.2778,0.4092,0.4745,0.4418,0.4291,0.3114,0.3702,0.2384,0.3325,0.2854
19.6,0.0182,0.4344,0.2783,0.4239,0.4861,0.455,0.4403,0.3119,0.3761,0.2475,0.3382,0.2928
19.7,0.0228,0.4353,0.2806,0.4411,0.4992,0.4702,0.4544,0.3156,0.385,0.2604,0.3477,0.304
19.8,0.0282,0.4373,0.2842,0.4607,0.5132,0.4869,0.4709,0.3223,0.3966,0.2771,0.3606,0.3189
19.9,0.034,0.4407,0.2894,0.4824,0.5279,0.5052,0.49,0.3319,0.4109,0.2979,0.377,0.3375
20,0.0402,0.4458,0.2966,0.506,0.543,0.5245,0.5115,0.3444,0.428,0.3224,0.3968,0.3596
20.1,0.0471,0.4525,0.3062,0.5309,0.5575,0.5442,0.5348,0.3594,0.4471,0.3503,0.4196,0.3849
20.2,0.0546,0.4601,0.3181,0.5563,0.5702,0.5633,0.5583,0.376,0.4672,0.3808,0.4448,0.4128
20.3,0.0624,0.4677,0.3321,0.5813,0.58,0.5807,0.5811,0.3936,0.4873,0.4132,0.4716,0.4424
20.4,0.0704,0.4749,0.3486,0.6053,0.5866,0.5959,0.6026,0.4119,0.5072,0.447,0.4995,0.4733
20.5,0.0781,0.4817,0.3682,0.6282,0.5904,0.6093,0.6231,0.4314,0.5272,0.4819,0.528,0.5049
20.6,0.0852,0.4881,0.3918,0.6502,0.5922,0.6212,0.6432,0.4523,0.5477,0.5175,0.5566,0.537
20.7,0.0913,0.4942,0.4194,0.671,0.5926,0.6318,0.6627,0.4744,0.5685,0.5532,0.5848,0.569
20.8,0.0968,0.5,0.4501,0.6899,0.5919,0.6409,0.6808,0.4968,0.5888,0.588,0.6118,0.5999
20.9,0.1021,0.5055,0.4826,0.7052,0.59,0.6476,0.6969,0.5185,0.6077,0.6208,0.6369,0.6289
21,0.1072,0.5106,0.5157,0.7158,0.5869,0.6514,0.7108,0.5387,0.6248,0.6507,0.6596,0.6552
21.1,0.1116,0.5155,0.5488,0.7213,0.5828,0.6521,0.7228,0.5576,0.6402,0.6773,0.6799,0.6786
21.2,0.1146,0.5201,0.582,0.722,0.5782,0.6501,0.7332,0.5755,0.6544,0.7004,0.698,0.6992
21.3,0.1157,0.5246,0.6149,0.7185,0.5735,0.646,0.7424,0.5928,0.6676,0.7202,0.7141,0.7171
