Time,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC,Kayo - Footy is Back 30 TVC
3.7,0.2978,0.2456,0.3462,0.2805,0.0239,0.1522,0.8408,0.8028,0.8218,0.6047,0.5258,0.5653
3.8,0.2608,0.2478,0.3326,0.2571,0.0138,0.1354,0.8191,0.7871,0.8031,0.601,0.5201,0.5605
3.9,0.2111,0.2591,0.32,0.2383,0.0136,0.126,0.7925,0.771,0.7818,0.5955,0.5155,0.5555
4,0.1479,0.2792,0.3088,0.2244,0.0239,0.1241,0.7612,0.7553,0.7582,0.5883,0.5125,0.5504
4.1,0.0713,0.3062,0.2993,0.2147,0.0434,0.1291,0.7251,0.7407,0.7329,0.5794,0.5106,0.545
4.2,-0.015,0.3372,0.2921,0.2081,0.0703,0.1392,0.6847,0.7277,0.7062,0.5686,0.5093,0.5389
4.3,-0.1039,0.3691,0.2866,0.2035,0.1016,0.1525,0.6408,0.7162,0.6785,0.5554,0.5082,0.5318
4.4,-0.1881,0.3987,0.2821,0.2005,0.1345,0.1675,0.5947,0.7054,0.65,0.54,0.5065,0.5233
4.5,-0.2618,0.4239,0.2778,0.1988,0.1665,0.1827,0.5476,0.6942,0.6209,0.5229,0.5034,0.5131
4.6,-0.3212,0.4427,0.2728,0.1985,0.1958,0.1971,0.501,0.6818,0.5914,0.5042,0.4984,0.5013
4.7,-0.3652,0.4538,0.267,0.1991,0.2211,0.2101,0.4561,0.6673,0.5617,0.4845,0.491,0.4877
4.8,-0.3948,0.457,0.2602,0.2007,0.2416,0.2212,0.4145,0.6505,0.5325,0.4644,0.4814,0.4729
4.9,-0.4117,0.4525,0.2526,0.2035,0.2577,0.2306,0.3772,0.6312,0.5042,0.4446,0.4704,0.4575
5,-0.4192,0.4414,0.2449,0.2074,0.2698,0.2386,0.345,0.61,0.4775,0.4253,0.4587,0.442
5.1,-0.4209,0.4246,0.237,0.2118,0.2786,0.2452,0.3188,0.5874,0.4531,0.4065,0.447,0.4267
5.2,-0.4185,0.4026,0.2289,0.2156,0.2844,0.25,0.2984,0.5641,0.4312,0.3879,0.435,0.4115
5.3,-0.4124,0.3762,0.22,0.2184,0.2871,0.2528,0.2831,0.54,0.4116,0.3696,0.4224,0.396
5.4,-0.404,0.346,0.211,0.22,0.287,0.2535,0.2718,0.5156,0.3937,0.3519,0.4086,0.3802
5.5,-0.397,0.3137,0.2031,0.2201,0.2848,0.2525,0.2637,0.4917,0.3777,0.3352,0.3938,0.3645
5.6,-0.3952,0.2813,0.1981,0.2188,0.2815,0.2502,0.2582,0.4697,0.3639,0.3197,0.3787,0.3492
5.7,-0.4018,0.2511,0.1972,0.2163,0.2779,0.2471,0.255,0.4504,0.3527,0.3059,0.3645,0.3352
5.8,-0.418,0.2248,0.2006,0.2126,0.2747,0.2436,0.2543,0.4345,0.3444,0.2942,0.3521,0.3231
5.9,-0.4444,0.2036,0.2077,0.2076,0.2727,0.2401,0.2562,0.4217,0.339,0.2851,0.3422,0.3136
6,-0.4807,0.1888,0.217,0.2018,0.2731,0.2374,0.2607,0.4119,0.3363,0.2792,0.3345,0.3068
6.1,-0.5253,0.1813,0.2281,0.1963,0.2772,0.2367,0.2679,0.4052,0.3366,0.2762,0.3288,0.3025
6.2,-0.5746,0.1819,0.2412,0.1923,0.2862,0.2393,0.2779,0.4017,0.3398,0.2761,0.325,0.3006
6.3,-0.624,0.1902,0.2567,0.1903,0.3,0.2451,0.2908,0.4013,0.3461,0.2788,0.3232,0.301
6.4,-0.6681,0.2044,0.2745,0.1897,0.3174,0.2535,0.3064,0.4036,0.355,0.2837,0.3231,0.3034
6.5,-0.7033,0.2217,0.2936,0.1893,0.3365,0.2629,0.3241,0.4081,0.3661,0.2905,0.3248,0.3077
6.6,-0.7295,0.2392,0.3134,0.1886,0.3556,0.2721,0.3434,0.4146,0.379,0.2991,0.3286,0.3139
6.7,-0.7476,0.2554,0.3337,0.1879,0.3738,0.2809,0.3642,0.4234,0.3938,0.3099,0.3349,0.3224
6.8,-0.7585,0.2704,0.3547,0.1879,0.3912,0.2895,0.3872,0.4344,0.4108,0.3233,0.3439,0.3336
6.9,-0.7623,0.2852,0.3762,0.1895,0.4079,0.2987,0.4122,0.4477,0.43,0.3394,0.3556,0.3475
7,-0.7603,0.3,0.3978,0.1932,0.424,0.3086,0.4391,0.4632,0.4511,0.3585,0.3699,0.3642
7.1,-0.7532,0.3147,0.42,0.1992,0.4392,0.3192,0.4671,0.4809,0.474,0.3811,0.3863,0.3837
7.2,-0.7412,0.3291,0.4432,0.2079,0.4532,0.3306,0.4959,0.5011,0.4985,0.4075,0.4048,0.4061
7.3,-0.7234,0.3435,0.4673,0.2197,0.4659,0.3428,0.5251,0.5242,0.5247,0.4377,0.4249,0.4313
7.4,-0.6987,0.3583,0.4918,0.2351,0.4769,0.356,0.5544,0.5495,0.5519,0.4711,0.4462,0.4586
7.5,-0.6651,0.3736,0.5151,0.2547,0.4862,0.3705,0.5828,0.5759,0.5793,0.5069,0.468,0.4875
7.6,-0.6216,0.3893,0.536,0.2794,0.4935,0.3865,0.6092,0.6021,0.6057,0.5445,0.4903,0.5174
7.7,-0.5689,0.4054,0.5541,0.3094,0.4991,0.4042,0.6325,0.6271,0.6298,0.5835,0.5128,0.5482
7.8,-0.5087,0.422,0.5694,0.3443,0.503,0.4236,0.6519,0.6501,0.651,0.6234,0.5351,0.5793
7.9,-0.4428,0.4393,0.5823,0.3834,0.5054,0.4444,0.6673,0.6707,0.669,0.6639,0.5571,0.6105
8,-0.3726,0.4576,0.5931,0.4258,0.5065,0.4661,0.6792,0.6895,0.6843,0.7045,0.5789,0.6417
8.1,-0.2985,0.4769,0.6017,0.4698,0.5066,0.4882,0.688,0.7065,0.6973,0.7445,0.6006,0.6726
8.2,-0.221,0.4975,0.608,0.5139,0.5062,0.5101,0.694,0.7219,0.708,0.7832,0.6222,0.7027
8.3,-0.1412,0.519,0.6115,0.5566,0.5056,0.5311,0.6975,0.7356,0.7166,0.8197,0.6434,0.7315
8.4,-0.0615,0.5409,0.6126,0.596,0.505,0.5505,0.6987,0.7476,0.7232,0.8531,0.6637,0.7584
8.5,0.0159,0.5624,0.6113,0.6306,0.504,0.5673,0.6976,0.7578,0.7277,0.8827,0.6821,0.7824
8.6,0.0897,0.5832,0.6074,0.6596,0.5023,0.5809,0.6937,0.766,0.7299,0.9075,0.698,0.8027
8.7,0.159,0.6026,0.6015,0.6828,0.4996,0.5912,0.6868,0.772,0.7294,0.9268,0.7105,0.8186
8.8,0.2222,0.6199,0.5946,0.701,0.4962,0.5986,0.6767,0.7757,0.7262,0.9402,0.7196,0.8299
8.9,0.2772,0.6349,0.5883,0.715,0.4925,0.6038,0.6637,0.7775,0.7206,0.9473,0.7256,0.8365
9,0.3228,0.6471,0.5835,0.7259,0.4893,0.6076,0.6488,0.7778,0.7133,0.9485,0.7298,0.8391
9.1,0.3583,0.6561,0.5811,0.7343,0.4869,0.6106,0.6328,0.7769,0.7048,0.9447,0.7327,0.8387
9.2,0.3836,0.6612,0.5806,0.7404,0.4857,0.6131,0.6166,0.7748,0.6957,0.9365,0.7343,0.8354
9.3,0.399,0.6625,0.5807,0.7443,0.4854,0.6148,0.6006,0.7712,0.6859,0.9242,0.7337,0.8289
9.4,0.4059,0.6603,0.5806,0.7462,0.4849,0.6156,0.5844,0.7663,0.6753,0.9075,0.7301,0.8188
9.5,0.4065,0.6546,0.5798,0.7466,0.4835,0.615,0.5683,0.7602,0.6643,0.8869,0.7237,0.8053
9.6,0.4019,0.6458,0.5786,0.7458,0.4804,0.6131,0.5531,0.7534,0.6533,0.8635,0.7151,0.7893
9.7,0.391,0.6341,0.577,0.7437,0.4756,0.6096,0.5396,0.7462,0.6429,0.8387,0.7052,0.772
9.8,0.3726,0.62,0.5747,0.7406,0.4692,0.6049,0.5283,0.7388,0.6336,0.8143,0.6947,0.7545
9.9,0.3462,0.6047,0.5716,0.7374,0.4619,0.5997,0.5197,0.7318,0.6258,0.7912,0.6842,0.7377
10,0.3134,0.59,0.5678,0.7353,0.4546,0.595,0.5138,0.7261,0.6199,0.7701,0.674,0.7221
10.1,0.276,0.5771,0.5638,0.7346,0.4478,0.5912,0.5106,0.7216,0.6161,0.751,0.6642,0.7076
10.2,0.235,0.5661,0.5597,0.7349,0.4414,0.5881,0.5099,0.7184,0.6141,0.7335,0.6549,0.6942
10.3,0.1903,0.5569,0.5564,0.7353,0.4349,0.5851,0.5109,0.7162,0.6135,0.7176,0.6466,0.6821
10.4,0.1415,0.5487,0.5543,0.7349,0.4281,0.5815,0.5132,0.715,0.6141,0.7034,0.6393,0.6714
10.5,0.0884,0.5413,0.5545,0.7335,0.4207,0.5771,0.5161,0.7153,0.6157,0.6911,0.6335,0.6623
10.6,0.0314,0.5348,0.5577,0.7308,0.4131,0.572,0.5193,0.7172,0.6183,0.6808,0.6297,0.6553
10.7,-0.0295,0.5293,0.5637,0.7264,0.4055,0.5659,0.5226,0.7206,0.6216,0.6727,0.6283,0.6505
10.8,-0.0941,0.5246,0.5719,0.7195,0.3981,0.5588,0.5259,0.7248,0.6254,0.6665,0.6294,0.6479
10.9,-0.1615,0.5204,0.5818,0.7095,0.3909,0.5502,0.5293,0.7291,0.6292,0.6621,0.6328,0.6475
11,-0.2307,0.5164,0.5932,0.696,0.3837,0.5399,0.5329,0.7336,0.6332,0.6592,0.6384,0.6488
11.1,-0.3004,0.5122,0.6061,0.6789,0.3764,0.5277,0.5372,0.7381,0.6376,0.6577,0.6459,0.6518
11.2,-0.3698,0.5069,0.6205,0.6579,0.3688,0.5133,0.5429,0.7426,0.6428,0.6573,0.6551,0.6562
11.3,-0.4382,0.4993,0.6358,0.6328,0.3608,0.4968,0.5505,0.7472,0.6489,0.6581,0.6655,0.6618
11.4,-0.5038,0.4882,0.6507,0.6038,0.3525,0.4781,0.56,0.7515,0.6558,0.6598,0.6764,0.6681
11.5,-0.5644,0.4739,0.6641,0.5715,0.3448,0.4581,0.5711,0.7551,0.6631,0.6621,0.6873,0.6747
11.6,-0.6175,0.4584,0.6761,0.5376,0.3392,0.4384,0.583,0.7577,0.6704,0.6646,0.6974,0.681
11.7,-0.6609,0.4441,0.6866,0.5041,0.3371,0.4206,0.5952,0.7595,0.6774,0.6677,0.7067,0.6872
11.8,-0.691,0.4332,0.6954,0.4729,0.3395,0.4062,0.6072,0.7607,0.684,0.6713,0.7151,0.6932
11.9,-0.7025,0.4274,0.7022,0.445,0.3461,0.3956,0.6181,0.7615,0.6898,0.6751,0.7224,0.6988
12,-0.689,0.4273,0.7062,0.4213,0.357,0.3892,0.6274,0.7614,0.6944,0.6785,0.7286,0.7035
12.1,-0.6455,0.4324,0.707,0.403,0.3717,0.3873,0.6344,0.7602,0.6973,0.681,0.7336,0.7073
12.2,-0.5724,0.4412,0.704,0.3908,0.3894,0.3901,0.6389,0.7576,0.6983,0.6822,0.7377,0.7099
12.3,-0.4771,0.4517,0.696,0.3847,0.4089,0.3968,0.641,0.7533,0.6971,0.6817,0.7405,0.7111
12.4,-0.3681,0.462,0.6817,0.3835,0.428,0.4057,0.6408,0.7467,0.6938,0.6789,0.7417,0.7103
12.5,-0.2531,0.4708,0.6604,0.3861,0.4447,0.4154,0.6383,0.7376,0.688,0.6733,0.7406,0.707
12.6,-0.1371,0.4782,0.6323,0.3923,0.4576,0.425,0.6331,0.7258,0.6794,0.6646,0.7369,0.7008
12.7,-0.0227,0.4844,0.5983,0.4026,0.4663,0.4344,0.625,0.7113,0.6681,0.6529,0.7309,0.6919
12.8,0.0871,0.49,0.5599,0.417,0.4713,0.4442,0.6142,0.6948,0.6545,0.6393,0.7231,0.6812
12.9,0.1895,0.4953,0.5187,0.4356,0.4738,0.4547,0.6015,0.6771,0.6393,0.6252,0.7145,0.6698
13,0.2829,0.5014,0.4769,0.4582,0.4752,0.4667,0.5884,0.659,0.6237,0.6117,0.7061,0.6589
13.1,0.3672,0.5093,0.4362,0.4847,0.4765,0.4806,0.5759,0.6413,0.6086,0.5994,0.6986,0.649
13.2,0.4432,0.5195,0.3982,0.5152,0.4785,0.4968,0.5642,0.6244,0.5943,0.5881,0.6924,0.6403
13.3,0.513,0.5318,0.3639,0.5493,0.4817,0.5155,0.5532,0.6086,0.5809,0.5773,0.6874,0.6324
13.4,0.5781,0.5449,0.3337,0.5853,0.4862,0.5358,0.5422,0.5938,0.568,0.5664,0.6835,0.6249
13.5,0.6399,0.5575,0.3073,0.6211,0.4919,0.5565,0.5309,0.5799,0.5554,0.555,0.6805,0.6178
13.6,0.6985,0.5693,0.2846,0.6547,0.4983,0.5765,0.5195,0.5667,0.5431,0.5435,0.6787,0.6111
13.7,0.7533,0.5806,0.2652,0.6847,0.5055,0.5951,0.5083,0.5541,0.5312,0.5328,0.6785,0.6056
13.8,0.8028,0.592,0.2493,0.7106,0.5136,0.6121,0.4972,0.5422,0.5197,0.5235,0.6798,0.6017
13.9,0.8451,0.6037,0.2371,0.7316,0.5228,0.6272,0.4862,0.5311,0.5086,0.5163,0.6823,0.5993
14,0.8797,0.6159,0.2285,0.7469,0.533,0.6399,0.4748,0.5206,0.4977,0.5108,0.6849,0.5978
14.1,0.9068,0.6286,0.2231,0.7563,0.5439,0.6501,0.4626,0.5108,0.4867,0.5063,0.6862,0.5962
14.2,0.9263,0.6415,0.2203,0.7601,0.5555,0.6578,0.4496,0.5014,0.4755,0.5019,0.6851,0.5935
14.3,0.9371,0.6537,0.2196,0.7591,0.5676,0.6633,0.4359,0.4926,0.4643,0.4973,0.6805,0.5889
14.4,0.937,0.6638,0.2203,0.7537,0.5798,0.6667,0.4215,0.4846,0.4531,0.4919,0.6713,0.5816
14.5,0.9231,0.6703,0.2218,0.7437,0.5914,0.6676,0.4064,0.4772,0.4418,0.4853,0.6574,0.5713
14.6,0.8925,0.6728,0.2237,0.7289,0.6017,0.6653,0.3912,0.4705,0.4308,0.478,0.6393,0.5587
14.7,0.8434,0.6717,0.2264,0.7094,0.6094,0.6594,0.3766,0.4644,0.4205,0.4701,0.6184,0.5442
14.8,0.7753,0.6678,0.2301,0.6857,0.6139,0.6498,0.3632,0.4589,0.411,0.4616,0.5961,0.5288
14.9,0.6892,0.6616,0.2349,0.6587,0.6149,0.6368,0.3511,0.4538,0.4024,0.4526,0.5737,0.5132
15,0.5891,0.6531,0.2412,0.6292,0.6118,0.6205,0.3401,0.449,0.3945,0.4435,0.5523,0.4979
15.1,0.4814,0.6421,0.2486,0.5979,0.6047,0.6013,0.3305,0.4441,0.3873,0.4343,0.5324,0.4833
15.2,0.3731,0.6287,0.2567,0.5649,0.5943,0.5796,0.3225,0.4391,0.3808,0.4248,0.514,0.4694
15.3,0.2706,0.6126,0.2648,0.5303,0.5818,0.556,0.3165,0.4335,0.375,0.4138,0.4966,0.4552
15.4,0.1775,0.5933,0.2721,0.4941,0.5681,0.5311,0.3121,0.4269,0.3695,0.401,0.4788,0.4399
15.5,0.0958,0.5707,0.2786,0.4568,0.5535,0.5051,0.3093,0.4191,0.3642,0.3865,0.4605,0.4235
15.6,0.0266,0.5456,0.285,0.4194,0.5381,0.4788,0.308,0.4106,0.3593,0.3713,0.442,0.4066
15.7,-0.0289,0.5194,0.2926,0.3832,0.5229,0.453,0.3086,0.4026,0.3556,0.3566,0.4244,0.3905
15.8,-0.0682,0.494,0.303,0.3495,0.5093,0.4294,0.3115,0.3966,0.354,0.3432,0.4085,0.3759
15.9,-0.09,0.471,0.3168,0.3199,0.4989,0.4094,0.3164,0.3934,0.3549,0.3316,0.3945,0.3631
16,-0.0946,0.4509,0.334,0.2954,0.4923,0.3938,0.3231,0.3929,0.358,0.3218,0.3825,0.3521
16.1,-0.0834,0.4345,0.3538,0.2763,0.4892,0.3827,0.3314,0.395,0.3632,0.3139,0.3722,0.3431
16.2,-0.0596,0.4225,0.3756,0.2627,0.4892,0.3759,0.3418,0.4,0.3709,0.308,0.3634,0.3357
16.3,-0.0261,0.4155,0.3991,0.2548,0.4926,0.3737,0.3545,0.4089,0.3817,0.3037,0.3558,0.3298
16.4,0.0145,0.4137,0.4237,0.2531,0.5001,0.3766,0.3697,0.422,0.3958,0.3007,0.3493,0.325
16.5,0.061,0.4166,0.4482,0.257,0.5114,0.3842,0.3866,0.4387,0.4126,0.2985,0.3433,0.3209
16.6,0.1129,0.423,0.4713,0.2656,0.5254,0.3955,0.4044,0.4574,0.4309,0.2972,0.337,0.3171
16.7,0.1703,0.4317,0.4922,0.2772,0.5402,0.4087,0.4224,0.477,0.4497,0.2974,0.3298,0.3136
16.8,0.2323,0.4422,0.511,0.2902,0.5547,0.4224,0.4404,0.4968,0.4686,0.2999,0.3215,0.3107
16.9,0.2965,0.4545,0.5278,0.3039,0.5684,0.4361,0.4582,0.5159,0.4871,0.3051,0.3119,0.3085
17,0.3597,0.4686,0.5425,0.3184,0.5813,0.4499,0.4755,0.5334,0.5045,0.3129,0.3009,0.3069
17.1,0.4195,0.4843,0.5545,0.3344,0.5932,0.4638,0.4918,0.5476,0.5197,0.3229,0.2885,0.3057
17.2,0.4749,0.501,0.5636,0.3521,0.604,0.478,0.5066,0.5573,0.532,0.3347,0.275,0.3049
17.3,0.5261,0.5184,0.5701,0.3719,0.6134,0.4927,0.5199,0.5626,0.5413,0.3478,0.261,0.3044
17.4,0.5731,0.5361,0.5746,0.3938,0.6218,0.5078,0.5319,0.5643,0.5481,0.3611,0.2471,0.3041
17.5,0.6159,0.5533,0.5778,0.4173,0.6292,0.5232,0.5428,0.5634,0.5531,0.3737,0.2336,0.3036
17.6,0.6543,0.5687,0.5795,0.4418,0.6347,0.5383,0.5526,0.5602,0.5564,0.3849,0.2209,0.3029
17.7,0.6886,0.5809,0.5795,0.466,0.6373,0.5516,0.5611,0.5546,0.5579,0.3941,0.2088,0.3015
17.8,0.7182,0.5892,0.5777,0.4885,0.6362,0.5624,0.5681,0.5467,0.5574,0.401,0.1971,0.299
17.9,0.7418,0.5945,0.5745,0.5081,0.6318,0.57,0.5732,0.5371,0.5551,0.405,0.1859,0.2955
18,0.7574,0.5975,0.5704,0.5235,0.625,0.5742,0.5764,0.5267,0.5515,0.4059,0.1758,0.2908
18.1,0.764,0.5985,0.5653,0.5333,0.6162,0.5748,0.5775,0.5159,0.5467,0.4035,0.1666,0.2851
18.2,0.7614,0.5968,0.559,0.5363,0.606,0.5711,0.5763,0.5051,0.5407,0.3976,0.1582,0.2779
18.3,0.7498,0.592,0.5507,0.5312,0.5947,0.5629,0.5728,0.4946,0.5337,0.3885,0.1499,0.2692
18.4,0.7282,0.5843,0.5404,0.5177,0.5833,0.5505,0.5676,0.4853,0.5265,0.3765,0.1416,0.2591
18.5,0.6955,0.5748,0.5277,0.4965,0.5732,0.5349,0.5614,0.478,0.5197,0.3621,0.1337,0.2479
18.6,0.651,0.5645,0.5124,0.4691,0.5652,0.5171,0.5545,0.4737,0.5141,0.3457,0.1269,0.2363
18.7,0.5957,0.5539,0.4948,0.4378,0.5586,0.4982,0.5471,0.4726,0.5098,0.3282,0.1216,0.2249
18.8,0.5313,0.5432,0.4764,0.4052,0.5524,0.4788,0.5392,0.4748,0.507,0.3109,0.1182,0.2145
18.9,0.4604,0.5332,0.4596,0.3736,0.5459,0.4598,0.5306,0.4805,0.5056,0.2949,0.1175,0.2062
19,0.386,0.5252,0.4463,0.345,0.5393,0.4422,0.5212,0.4893,0.5052,0.2812,0.1195,0.2003
19.1,0.311,0.5202,0.4369,0.3205,0.5332,0.4269,0.5105,0.5005,0.5055,0.2701,0.1235,0.1968
19.2,0.2385,0.5188,0.4308,0.301,0.5274,0.4142,0.4982,0.5127,0.5055,0.2614,0.1284,0.1949
19.3,0.1715,0.5206,0.4274,0.2871,0.5212,0.4042,0.4842,0.5244,0.5043,0.2544,0.1327,0.1936
19.4,0.1117,0.5251,0.427,0.279,0.514,0.3965,0.4687,0.5346,0.5017,0.2486,0.1358,0.1922
19.5,0.0599,0.5315,0.4308,0.2763,0.5059,0.3911,0.4523,0.543,0.4977,0.2435,0.1376,0.1905
19.6,0.0164,0.5392,0.4388,0.2781,0.4979,0.388,0.4353,0.5493,0.4923,0.2386,0.138,0.1883
19.7,-0.0177,0.5479,0.4499,0.284,0.491,0.3875,0.4179,0.5533,0.4856,0.2338,0.1369,0.1853
19.8,-0.041,0.5571,0.4619,0.2938,0.4855,0.3897,0.4004,0.5546,0.4775,0.2294,0.1344,0.1819
19.9,-0.052,0.5668,0.4736,0.3077,0.4813,0.3945,0.3835,0.5529,0.4682,0.226,0.1309,0.1784
20,-0.051,0.5769,0.485,0.3268,0.4784,0.4026,0.3684,0.548,0.4582,0.2241,0.1268,0.1755
20.1,-0.0399,0.5877,0.4974,0.3515,0.4774,0.4145,0.3559,0.5404,0.4481,0.2242,0.1232,0.1737
20.2,-0.0214,0.5993,0.5111,0.3819,0.4792,0.4305,0.346,0.5305,0.4382,0.2259,0.1209,0.1734
20.3,0.0019,0.6116,0.5252,0.4168,0.4843,0.4506,0.3383,0.5188,0.4286,0.229,0.1203,0.1747
20.4,0.0281,0.6244,0.5388,0.4557,0.4927,0.4742,0.3327,0.506,0.4194,0.233,0.1223,0.1776
20.5,0.0564,0.6377,0.5519,0.4986,0.5039,0.5012,0.3296,0.493,0.4113,0.2382,0.1278,0.183
20.6,0.0868,0.652,0.5652,0.5451,0.5181,0.5316,0.3302,0.4813,0.4057,0.2457,0.1376,0.1916
20.7,0.1185,0.6675,0.579,0.5942,0.5358,0.565,0.3356,0.4721,0.4039,0.2563,0.1517,0.204
20.8,0.1494,0.6832,0.5921,0.6423,0.5574,0.5998,0.3464,0.4661,0.4062,0.2702,0.1696,0.2199
20.9,0.1771,0.6973,0.603,0.6852,0.5822,0.6337,0.3628,0.4627,0.4128,0.288,0.1905,0.2392
21,0.1992,0.7079,0.6103,0.719,0.6089,0.664,0.3852,0.4611,0.4232,0.3102,0.2143,0.2623
21.1,0.2143,0.7143,0.6136,0.7421,0.6362,0.6892,0.414,0.4608,0.4374,0.3362,0.2414,0.2888
21.2,0.2218,0.7169,0.613,0.7545,0.6635,0.709,0.4486,0.4615,0.455,0.3645,0.2713,0.3179
