Time,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC,Daphnee Hair Straightner TVC
1.8,0.0299,0.7536,0.7187,0.807,0.7501,0.7786,0.6985,0.7308,0.7146,0.4938,0.7015,0.5977
1.9,0.0324,0.7506,0.6979,0.8005,0.7364,0.7684,0.7019,0.7228,0.7123,0.4838,0.6737,0.5787
2,0.0364,0.7487,0.6782,0.794,0.7251,0.7596,0.7082,0.7166,0.7124,0.4776,0.6476,0.5626
2.1,0.0414,0.7475,0.6596,0.7866,0.716,0.7513,0.7172,0.7124,0.7148,0.4753,0.6233,0.5493
2.2,0.0475,0.747,0.6417,0.7782,0.7086,0.7434,0.7279,0.7098,0.7189,0.4766,0.6007,0.5387
2.3,0.0554,0.7469,0.6245,0.7688,0.7025,0.7356,0.7394,0.7085,0.7239,0.4812,0.5794,0.5303
2.4,0.0658,0.747,0.6087,0.7585,0.6969,0.7277,0.7516,0.7089,0.7303,0.4893,0.5591,0.5242
2.5,0.0776,0.7474,0.5952,0.748,0.6923,0.7202,0.7643,0.7116,0.7379,0.5006,0.5403,0.5204
2.6,0.0902,0.7483,0.5853,0.7379,0.6896,0.7137,0.776,0.7164,0.7462,0.5138,0.5233,0.5185
2.7,0.1031,0.7501,0.5795,0.7283,0.6891,0.7087,0.7855,0.7227,0.7541,0.5271,0.5084,0.5178
2.8,0.1158,0.7525,0.5778,0.7195,0.691,0.7053,0.792,0.7294,0.7607,0.5393,0.4956,0.5174
2.9,0.1276,0.7554,0.5797,0.711,0.6951,0.703,0.7952,0.7351,0.7651,0.5492,0.4848,0.517
3,0.1383,0.7585,0.5847,0.7025,0.7009,0.7017,0.7952,0.7389,0.767,0.5567,0.476,0.5164
3.1,0.1476,0.7616,0.5921,0.6941,0.7079,0.701,0.7924,0.7403,0.7664,0.5619,0.4696,0.5157
3.2,0.1563,0.7651,0.6016,0.6865,0.7155,0.701,0.7873,0.7391,0.7632,0.5653,0.4654,0.5154
3.3,0.1651,0.7688,0.6121,0.6804,0.7227,0.7015,0.7801,0.7349,0.7575,0.5667,0.4634,0.5151
3.4,0.1747,0.7729,0.6226,0.6758,0.7289,0.7023,0.7713,0.7279,0.7496,0.5657,0.4629,0.5143
3.5,0.1848,0.7773,0.6323,0.6725,0.7339,0.7032,0.7615,0.7188,0.7402,0.5622,0.4635,0.5129
3.6,0.1947,0.7822,0.6408,0.6699,0.7383,0.7041,0.7509,0.7085,0.7297,0.5565,0.4651,0.5108
3.7,0.2033,0.7877,0.6481,0.6677,0.7422,0.705,0.7398,0.6979,0.7189,0.5492,0.4678,0.5085
3.8,0.2102,0.7936,0.6542,0.6658,0.746,0.7059,0.7281,0.6873,0.7077,0.5413,0.4719,0.5066
3.9,0.2152,0.7989,0.659,0.6645,0.7492,0.7068,0.7162,0.6766,0.6964,0.5331,0.4772,0.5052
4,0.2187,0.8029,0.6631,0.6637,0.7517,0.7077,0.7046,0.6658,0.6852,0.5249,0.4839,0.5044
4.1,0.2208,0.8053,0.6668,0.6634,0.7536,0.7085,0.6939,0.6554,0.6747,0.517,0.4917,0.5044
4.2,0.222,0.8061,0.6706,0.6637,0.7552,0.7094,0.6847,0.6459,0.6653,0.5096,0.5007,0.5051
4.3,0.2228,0.8058,0.6738,0.6644,0.7565,0.7105,0.6768,0.6377,0.6573,0.5028,0.5107,0.5068
4.4,0.2238,0.8042,0.6754,0.6656,0.7572,0.7114,0.6702,0.6312,0.6507,0.497,0.5215,0.5092
4.5,0.226,0.8006,0.6743,0.6671,0.7565,0.7118,0.6649,0.6262,0.6456,0.492,0.5327,0.5123
4.6,0.2296,0.7943,0.6701,0.6686,0.7538,0.7112,0.6611,0.6229,0.642,0.4878,0.5437,0.5158
4.7,0.2343,0.7847,0.663,0.6695,0.7489,0.7092,0.6586,0.6211,0.6399,0.4845,0.5542,0.5193
4.8,0.2394,0.7719,0.6535,0.6689,0.7419,0.7054,0.6569,0.6206,0.6387,0.482,0.564,0.523
4.9,0.2438,0.7565,0.6423,0.6661,0.7333,0.6997,0.6552,0.6213,0.6382,0.4809,0.5732,0.5271
5,0.2466,0.7393,0.6303,0.6605,0.7236,0.692,0.6534,0.6233,0.6383,0.4819,0.5826,0.5322
5.1,0.2475,0.7207,0.6182,0.6514,0.7129,0.6821,0.6517,0.6272,0.6394,0.4856,0.5928,0.5392
5.2,0.2454,0.7005,0.607,0.6386,0.701,0.6698,0.6506,0.633,0.6418,0.4927,0.6042,0.5484
5.3,0.2405,0.6793,0.5973,0.6221,0.6879,0.655,0.6502,0.6406,0.6454,0.5032,0.6166,0.5599
5.4,0.2332,0.6573,0.589,0.602,0.6732,0.6376,0.6497,0.649,0.6494,0.5167,0.6294,0.573
5.5,0.2244,0.6351,0.5822,0.5792,0.6567,0.618,0.6483,0.657,0.6527,0.5327,0.6418,0.5872
5.6,0.2144,0.6129,0.5771,0.5547,0.6384,0.5966,0.6456,0.6637,0.6547,0.5501,0.6534,0.6018
5.7,0.2035,0.591,0.574,0.5295,0.6182,0.5739,0.6419,0.6689,0.6554,0.5681,0.664,0.616
5.8,0.1915,0.5698,0.5736,0.5046,0.5966,0.5506,0.6375,0.6726,0.6551,0.5856,0.6733,0.6295
5.9,0.1785,0.55,0.5753,0.4811,0.5749,0.528,0.6322,0.6749,0.6535,0.6016,0.6817,0.6417
6,0.1658,0.5318,0.5781,0.4594,0.5541,0.5067,0.6254,0.6751,0.6503,0.6147,0.6888,0.6518
6.1,0.1545,0.5157,0.5809,0.4401,0.5347,0.4874,0.6178,0.6732,0.6455,0.6248,0.6937,0.6592
6.2,0.1447,0.5018,0.583,0.4237,0.5171,0.4704,0.6098,0.6687,0.6393,0.6318,0.6958,0.6638
6.3,0.1359,0.4902,0.5835,0.4103,0.5011,0.4557,0.6021,0.6619,0.632,0.6362,0.6948,0.6655
6.4,0.1279,0.4812,0.5821,0.4002,0.4867,0.4434,0.5952,0.6531,0.6242,0.6384,0.6906,0.6645
6.5,0.1208,0.4754,0.5788,0.3938,0.474,0.4339,0.5894,0.6434,0.6164,0.6386,0.6835,0.6611
6.6,0.1149,0.4733,0.5733,0.3916,0.4634,0.4275,0.5848,0.6336,0.6092,0.6363,0.6742,0.6552
6.7,0.1106,0.4746,0.5658,0.3936,0.4552,0.4244,0.5813,0.624,0.6026,0.6311,0.663,0.6471
6.8,0.1074,0.479,0.5566,0.3991,0.4494,0.4242,0.5788,0.615,0.5969,0.6232,0.651,0.6371
6.9,0.1046,0.486,0.5464,0.4073,0.4462,0.4267,0.5773,0.6071,0.5922,0.6133,0.639,0.6261
7,0.1014,0.4956,0.536,0.4179,0.4458,0.4319,0.5771,0.6012,0.5891,0.6029,0.6281,0.6155
7.1,0.0978,0.5077,0.5262,0.4311,0.4487,0.4399,0.5782,0.598,0.5881,0.5933,0.6193,0.6063
7.2,0.0946,0.5223,0.5175,0.447,0.4551,0.451,0.5811,0.5976,0.5893,0.5855,0.6131,0.5993
7.3,0.093,0.5389,0.5101,0.4654,0.4646,0.465,0.5857,0.6001,0.5929,0.5802,0.6101,0.5952
7.4,0.0939,0.5572,0.504,0.4855,0.4764,0.481,0.5918,0.6052,0.5985,0.5781,0.6103,0.5942
7.5,0.0975,0.5765,0.499,0.5063,0.4899,0.4981,0.5989,0.6126,0.6058,0.5791,0.6135,0.5963
7.6,0.1035,0.5964,0.4945,0.5272,0.5046,0.5159,0.6062,0.6217,0.614,0.5832,0.6187,0.6009
7.7,0.1117,0.616,0.4898,0.5477,0.5204,0.5341,0.6132,0.6319,0.6225,0.5895,0.6247,0.6071
7.8,0.1219,0.635,0.4848,0.5683,0.5372,0.5527,0.6197,0.6428,0.6313,0.5977,0.6305,0.6141
7.9,0.1338,0.6531,0.4797,0.5889,0.5552,0.572,0.6261,0.6543,0.6402,0.6073,0.6357,0.6215
8,0.147,0.6705,0.4758,0.6095,0.5742,0.5919,0.6327,0.6663,0.6495,0.6184,0.6406,0.6295
8.1,0.1607,0.6872,0.4741,0.6299,0.5938,0.6118,0.6396,0.6791,0.6593,0.6312,0.6458,0.6385
8.2,0.1744,0.7028,0.4756,0.6495,0.6133,0.6314,0.6467,0.6925,0.6696,0.6452,0.6513,0.6483
8.3,0.188,0.7165,0.4803,0.6676,0.6319,0.6497,0.6537,0.7058,0.6798,0.6599,0.6566,0.6583
8.4,0.2014,0.7278,0.4875,0.6838,0.6486,0.6662,0.6604,0.7182,0.6893,0.6742,0.661,0.6676
8.5,0.2147,0.7364,0.4967,0.6975,0.6625,0.68,0.6665,0.729,0.6978,0.6871,0.6634,0.6752
8.6,0.2272,0.7426,0.5077,0.7088,0.6731,0.691,0.6719,0.738,0.705,0.6976,0.6636,0.6806
8.7,0.2387,0.7471,0.5203,0.7178,0.6805,0.6991,0.6766,0.7454,0.711,0.7058,0.6619,0.6839
8.8,0.249,0.7499,0.5342,0.7244,0.6843,0.7044,0.6807,0.7511,0.7159,0.7116,0.6589,0.6853
8.9,0.2577,0.7511,0.5489,0.7287,0.6847,0.7067,0.6844,0.7548,0.7196,0.715,0.6551,0.6851
9,0.2645,0.7512,0.5639,0.7306,0.6823,0.7065,0.6877,0.7564,0.7221,0.7162,0.6509,0.6836
9.1,0.2694,0.7506,0.5784,0.7306,0.678,0.7043,0.6904,0.7564,0.7234,0.7155,0.6467,0.6811
9.2,0.2726,0.75,0.592,0.7293,0.673,0.7012,0.692,0.7553,0.7237,0.7134,0.6429,0.6781
9.3,0.2744,0.7504,0.6041,0.7275,0.6687,0.6981,0.693,0.7533,0.7232,0.7105,0.6398,0.6752
9.4,0.2747,0.7522,0.6143,0.7261,0.666,0.696,0.694,0.7501,0.7221,0.7074,0.6379,0.6726
9.5,0.2729,0.7561,0.622,0.7252,0.6656,0.6954,0.6956,0.7453,0.7205,0.7048,0.6372,0.671
9.6,0.2681,0.7619,0.6273,0.7252,0.668,0.6966,0.6982,0.7387,0.7184,0.7027,0.638,0.6703
9.7,0.26,0.7693,0.63,0.726,0.6733,0.6997,0.7018,0.7304,0.7161,0.7012,0.6403,0.6708
9.8,0.2496,0.7772,0.6302,0.7278,0.6813,0.7046,0.7069,0.7209,0.7139,0.7003,0.6441,0.6722
9.9,0.2385,0.7842,0.6277,0.7303,0.6911,0.7107,0.7135,0.7103,0.7119,0.6995,0.6495,0.6745
10,0.2282,0.7891,0.6225,0.7327,0.7012,0.7169,0.7217,0.6988,0.7103,0.6984,0.6563,0.6774
10.1,0.2194,0.791,0.6148,0.7342,0.7104,0.7223,0.7305,0.6866,0.7086,0.6966,0.6642,0.6804
10.2,0.2115,0.7899,0.605,0.7346,0.7183,0.7264,0.7389,0.6744,0.7066,0.6941,0.6727,0.6834
10.3,0.2038,0.7864,0.5932,0.7344,0.7254,0.7299,0.7461,0.6632,0.7047,0.6915,0.6814,0.6865
10.4,0.1961,0.7816,0.5796,0.7348,0.7327,0.7338,0.7524,0.6543,0.7034,0.6895,0.6899,0.6897
10.5,0.189,0.7764,0.5642,0.7366,0.7406,0.7386,0.7577,0.6484,0.7031,0.6883,0.698,0.6931
10.6,0.1832,0.771,0.5474,0.7396,0.7486,0.7441,0.7614,0.6458,0.7036,0.6875,0.7052,0.6963
10.7,0.179,0.7653,0.53,0.7428,0.7552,0.749,0.7629,0.6461,0.7045,0.6865,0.711,0.6987
10.8,0.1766,0.7593,0.5132,0.7453,0.76,0.7527,0.7615,0.649,0.7053,0.6847,0.715,0.6999
10.9,0.1752,0.7533,0.4981,0.7474,0.7634,0.7554,0.7582,0.6543,0.7062,0.6824,0.7175,0.7
11,0.1745,0.7479,0.4859,0.7501,0.7667,0.7584,0.754,0.6622,0.7081,0.68,0.7191,0.6995
11.1,0.1741,0.7441,0.4776,0.7541,0.7708,0.7624,0.7504,0.6732,0.7118,0.6783,0.7205,0.6994
11.2,0.1739,0.742,0.4739,0.7593,0.7757,0.7675,0.7477,0.6874,0.7176,0.6774,0.7225,0.7
11.3,0.1735,0.7413,0.4757,0.7648,0.7809,0.7728,0.7463,0.7045,0.7254,0.6773,0.7253,0.7013
11.4,0.1722,0.7413,0.4833,0.7693,0.7853,0.7773,0.7458,0.7234,0.7346,0.6776,0.7286,0.7031
11.5,0.1696,0.7411,0.4965,0.7717,0.7885,0.7801,0.7462,0.7433,0.7447,0.6779,0.7322,0.705
11.6,0.1653,0.7404,0.5144,0.7712,0.7902,0.7807,0.7471,0.7632,0.7551,0.6778,0.7356,0.7067
11.7,0.1591,0.7387,0.5359,0.7671,0.7902,0.7787,0.7483,0.7823,0.7653,0.6772,0.7389,0.708
11.8,0.1508,0.7362,0.56,0.7596,0.7888,0.7742,0.7496,0.8003,0.775,0.6766,0.7424,0.7095
11.9,0.1402,0.7328,0.5861,0.7489,0.7861,0.7675,0.7512,0.817,0.7841,0.6766,0.7467,0.7116
12,0.1276,0.7284,0.6135,0.7357,0.7822,0.7589,0.7535,0.8321,0.7928,0.6776,0.7522,0.7149
12.1,0.1137,0.7231,0.641,0.7209,0.7773,0.7491,0.7567,0.8457,0.8012,0.6797,0.7588,0.7193
12.2,0.0992,0.7168,0.6672,0.7051,0.7717,0.7384,0.7605,0.8574,0.8089,0.6825,0.7662,0.7244
12.3,0.0843,0.7096,0.6913,0.6889,0.766,0.7274,0.7645,0.8672,0.8158,0.6858,0.7737,0.7297
12.4,0.0692,0.7018,0.713,0.6729,0.7604,0.7166,0.7683,0.8753,0.8218,0.6895,0.7809,0.7352
12.5,0.0536,0.6937,0.732,0.6578,0.755,0.7064,0.772,0.8816,0.8268,0.6936,0.7878,0.7407
12.6,0.0377,0.6855,0.7485,0.6438,0.7495,0.6967,0.7758,0.8859,0.8308,0.6984,0.7942,0.7463
12.7,0.0217,0.6775,0.7618,0.6312,0.7435,0.6874,0.7797,0.8877,0.8337,0.7037,0.7997,0.7517
12.8,0.0055,0.6701,0.7717,0.6199,0.7367,0.6783,0.7835,0.8866,0.8351,0.709,0.804,0.7565
12.9,-0.0105,0.6634,0.7779,0.6098,0.7289,0.6693,0.7867,0.8828,0.8347,0.7136,0.8067,0.7602
13,-0.0263,0.6574,0.7806,0.6006,0.72,0.6603,0.7888,0.8763,0.8325,0.7164,0.8078,0.7621
13.1,-0.041,0.6517,0.7802,0.5923,0.7096,0.6509,0.7893,0.8674,0.8283,0.7162,0.8071,0.7616
13.2,-0.0539,0.6462,0.777,0.5844,0.6972,0.6408,0.7876,0.8564,0.822,0.7122,0.8049,0.7585
13.3,-0.0647,0.6413,0.7717,0.5771,0.6829,0.63,0.7837,0.8434,0.8135,0.7041,0.8013,0.7527
13.4,-0.0735,0.6376,0.7648,0.5704,0.6672,0.6188,0.7775,0.8288,0.8032,0.6927,0.797,0.7448
13.5,-0.0809,0.6358,0.7573,0.5651,0.6512,0.6081,0.7698,0.8132,0.7915,0.6791,0.7924,0.7357
13.6,-0.0872,0.636,0.7494,0.5614,0.6355,0.5985,0.7613,0.7971,0.7792,0.6646,0.7881,0.7264
13.7,-0.0921,0.6377,0.7414,0.5593,0.6201,0.5897,0.7523,0.781,0.7666,0.6504,0.7845,0.7174
13.8,-0.0946,0.6402,0.7329,0.558,0.6047,0.5814,0.7429,0.765,0.7539,0.637,0.7815,0.7092
13.9,-0.0938,0.6427,0.7241,0.5564,0.5888,0.5726,0.7331,0.7493,0.7412,0.6248,0.779,0.7019
14,-0.0892,0.645,0.7153,0.5539,0.5725,0.5632,0.7226,0.7339,0.7282,0.6139,0.7771,0.6955
14.1,-0.0809,0.6463,0.7067,0.5505,0.5564,0.5534,0.7116,0.7185,0.7151,0.6046,0.7756,0.6901
14.2,-0.0697,0.6463,0.698,0.5465,0.5414,0.5439,0.7001,0.7031,0.7016,0.597,0.7744,0.6857
14.3,-0.0573,0.6444,0.6888,0.5424,0.5282,0.5353,0.6885,0.6878,0.6881,0.5909,0.7729,0.6819
14.4,-0.0449,0.6403,0.679,0.5376,0.5173,0.5275,0.6765,0.6728,0.6747,0.586,0.7708,0.6784
14.5,-0.0333,0.6335,0.6685,0.5311,0.5087,0.5199,0.6641,0.6586,0.6613,0.5821,0.7676,0.6749
14.6,-0.023,0.6237,0.6577,0.522,0.502,0.512,0.6513,0.6453,0.6483,0.5789,0.7632,0.6711
14.7,-0.0144,0.6109,0.6467,0.5103,0.4972,0.5037,0.6384,0.6329,0.6356,0.5762,0.7577,0.667
14.8,-0.0079,0.5956,0.6353,0.4967,0.4944,0.4955,0.6257,0.6214,0.6236,0.5744,0.7512,0.6628
14.9,-0.0034,0.5785,0.6236,0.4824,0.4937,0.4881,0.6136,0.6109,0.6122,0.5735,0.7442,0.6588
15,-0.0003,0.5603,0.6116,0.4686,0.4954,0.482,0.6021,0.6016,0.6018,0.5737,0.7366,0.6552
15.1,0.0022,0.5418,0.5998,0.4559,0.4992,0.4775,0.5913,0.5937,0.5925,0.5748,0.7286,0.6517
15.2,0.0047,0.5234,0.5882,0.4448,0.5045,0.4746,0.5815,0.5874,0.5844,0.5765,0.7199,0.6482
15.3,0.0072,0.506,0.577,0.4355,0.5109,0.4732,0.5725,0.5825,0.5775,0.5782,0.7102,0.6442
15.4,0.0088,0.4907,0.5662,0.4284,0.5185,0.4734,0.5642,0.5791,0.5716,0.5796,0.6982,0.6389
15.5,0.0079,0.4786,0.5557,0.4243,0.5277,0.476,0.5564,0.5777,0.5671,0.5796,0.6828,0.6312
15.6,0.004,0.4699,0.5456,0.423,0.5383,0.4806,0.549,0.5786,0.5638,0.5774,0.664,0.6207
15.7,-0.0026,0.4645,0.5364,0.424,0.5498,0.4869,0.5417,0.5816,0.5616,0.5731,0.6425,0.6078
15.8,-0.0115,0.4622,0.5285,0.4271,0.5615,0.4943,0.5346,0.5863,0.5605,0.5672,0.6197,0.5935
15.9,-0.0227,0.4632,0.5224,0.4325,0.5734,0.5029,0.528,0.5923,0.5601,0.5604,0.5969,0.5786
16,-0.0361,0.4676,0.5185,0.4404,0.5855,0.513,0.5221,0.5994,0.5608,0.5532,0.5752,0.5642
16.1,-0.0515,0.4751,0.5169,0.4509,0.5982,0.5245,0.5173,0.6079,0.5626,0.546,0.5554,0.5507
16.2,-0.0679,0.4849,0.5179,0.4637,0.611,0.5373,0.5141,0.6177,0.5659,0.5386,0.5377,0.5382
16.3,-0.084,0.4959,0.5214,0.4784,0.6234,0.5509,0.5126,0.6289,0.5707,0.5308,0.5223,0.5265
16.4,-0.0988,0.507,0.5269,0.4944,0.6345,0.5645,0.5124,0.641,0.5767,0.5225,0.5088,0.5156
16.5,-0.1115,0.5173,0.534,0.5109,0.6435,0.5772,0.5133,0.6535,0.5834,0.514,0.4971,0.5055
16.6,-0.122,0.5263,0.5422,0.5271,0.6498,0.5885,0.5147,0.6655,0.5901,0.5058,0.4872,0.4965
16.7,-0.13,0.5335,0.5511,0.5426,0.6534,0.598,0.5167,0.6767,0.5967,0.4983,0.4789,0.4886
16.8,-0.1354,0.5387,0.5602,0.5571,0.6544,0.6057,0.5194,0.6868,0.6031,0.4917,0.4724,0.482
16.9,-0.1378,0.5423,0.5688,0.5705,0.6532,0.6119,0.5227,0.6956,0.6092,0.4859,0.4676,0.4767
17,-0.1373,0.5444,0.5763,0.5829,0.6502,0.6166,0.526,0.703,0.6145,0.4809,0.4643,0.4726
17.1,-0.1342,0.5457,0.5825,0.5942,0.6458,0.62,0.5289,0.7089,0.6189,0.4767,0.4622,0.4695
17.2,-0.1283,0.5468,0.5874,0.6047,0.6407,0.6227,0.5313,0.7132,0.6222,0.4734,0.4615,0.4674
17.3,-0.1194,0.5482,0.5917,0.6151,0.6355,0.6253,0.5339,0.716,0.6249,0.4711,0.4622,0.4666
17.4,-0.1071,0.5504,0.5957,0.6258,0.631,0.6284,0.5374,0.7175,0.6275,0.4699,0.4648,0.4673
17.5,-0.0916,0.5538,0.5997,0.6372,0.6277,0.6324,0.5422,0.7179,0.63,0.4698,0.4693,0.4696
17.6,-0.0735,0.5582,0.6036,0.6491,0.6255,0.6373,0.5481,0.717,0.6326,0.471,0.4756,0.4733
17.7,-0.0533,0.5637,0.607,0.661,0.6242,0.6426,0.5546,0.7148,0.6347,0.4731,0.483,0.4781
17.8,-0.0314,0.5701,0.6098,0.6725,0.6236,0.6481,0.5613,0.7111,0.6362,0.4759,0.4914,0.4836
17.9,-0.0076,0.5776,0.612,0.6836,0.6239,0.6537,0.5683,0.7059,0.6371,0.4793,0.5005,0.4899
18,0.0179,0.5865,0.6133,0.6944,0.6252,0.6598,0.5754,0.6989,0.6371,0.4836,0.5103,0.497
18.1,0.0443,0.5971,0.6135,0.7049,0.6275,0.6662,0.5826,0.6898,0.6362,0.4894,0.5206,0.505
18.2,0.0708,0.6094,0.6118,0.7147,0.6308,0.6727,0.5894,0.6786,0.634,0.4969,0.5307,0.5138
18.3,0.0965,0.6226,0.6072,0.7229,0.6349,0.6789,0.5947,0.6653,0.63,0.5062,0.5401,0.5231
18.4,0.1203,0.6362,0.5997,0.7287,0.6401,0.6844,0.5981,0.6506,0.6244,0.517,0.5487,0.5329
18.5,0.1412,0.6497,0.5894,0.7319,0.6468,0.6893,0.5993,0.6352,0.6172,0.5291,0.5567,0.5429
18.6,0.1579,0.6631,0.5764,0.7324,0.6556,0.694,0.5978,0.6195,0.6086,0.5423,0.5642,0.5533
18.7,0.1689,0.6764,0.5611,0.7304,0.667,0.6987,0.5936,0.6038,0.5987,0.5566,0.5713,0.5639
18.8,0.1729,0.6888,0.5438,0.7262,0.6809,0.7036,0.5866,0.5888,0.5877,0.5712,0.5777,0.5744
18.9,0.17,0.6994,0.5253,0.7198,0.6965,0.7082,0.5771,0.5747,0.5759,0.585,0.5836,0.5843
19,0.1621,0.7072,0.5061,0.7113,0.7126,0.712,0.5653,0.5616,0.5634,0.5975,0.5897,0.5936
19.1,0.151,0.7122,0.487,0.7008,0.7286,0.7147,0.5511,0.5494,0.5503,0.6087,0.5959,0.6023
19.2,0.1376,0.7147,0.4689,0.6889,0.7439,0.7164,0.5351,0.5381,0.5366,0.6183,0.6022,0.6102
19.3,0.1223,0.715,0.4524,0.6758,0.7583,0.7171,0.518,0.5281,0.5231,0.6264,0.6088,0.6176
19.4,0.1053,0.7134,0.4383,0.6621,0.7712,0.7166,0.5009,0.5198,0.5104,0.6329,0.616,0.6245
19.5,0.0871,0.71,0.4268,0.6476,0.7818,0.7147,0.4843,0.5138,0.499,0.6377,0.6239,0.6308
19.6,0.0686,0.7045,0.4178,0.6322,0.7891,0.7106,0.4681,0.51,0.489,0.6404,0.6321,0.6363
19.7,0.0505,0.6969,0.4108,0.6157,0.7923,0.704,0.452,0.5077,0.4799,0.641,0.6402,0.6406
19.8,0.0331,0.6873,0.4053,0.5979,0.7911,0.6945,0.4358,0.5062,0.471,0.6397,0.6477,0.6437
19.9,0.0161,0.6762,0.4012,0.5789,0.7859,0.6824,0.4199,0.5047,0.4623,0.6369,0.6542,0.6455
20,-0.0006,0.6646,0.3983,0.5589,0.7777,0.6683,0.4049,0.5032,0.454,0.6328,0.6596,0.6462
20.1,-0.017,0.6531,0.3963,0.5388,0.7674,0.6531,0.3914,0.5019,0.4467,0.6275,0.6639,0.6457
20.2,-0.0324,0.6427,0.3955,0.5195,0.7557,0.6376,0.3799,0.5011,0.4405,0.6211,0.6669,0.644
20.3,-0.046,0.6337,0.3958,0.5017,0.743,0.6223,0.3705,0.5008,0.4357,0.6137,0.6684,0.6411
20.4,-0.057,0.6258,0.3974,0.4859,0.7291,0.6075,0.3635,0.5008,0.4322,0.6057,0.6683,0.637
20.5,-0.0649,0.6186,0.4005,0.4722,0.7142,0.5932,0.3592,0.501,0.4301,0.5969,0.6664,0.6317
20.6,-0.0696,0.6114,0.4049,0.4602,0.6984,0.5793,0.3575,0.501,0.4293,0.5872,0.6628,0.625
20.7,-0.0712,0.6041,0.41,0.4501,0.6821,0.5661,0.3586,0.5005,0.4295,0.5764,0.6575,0.617
20.8,-0.0705,0.5963,0.4155,0.4417,0.6656,0.5537,0.362,0.499,0.4305,0.5645,0.6503,0.6074
20.9,-0.0679,0.5881,0.4211,0.4349,0.649,0.542,0.3671,0.4964,0.4318,0.5518,0.6414,0.5966
21,-0.0641,0.5793,0.4267,0.4294,0.6323,0.5309,0.3735,0.4929,0.4332,0.5387,0.6308,0.5847
21.1,-0.0592,0.5698,0.4323,0.4249,0.6156,0.5202,0.3805,0.489,0.4347,0.5257,0.6187,0.5722
21.2,-0.0529,0.56,0.4379,0.421,0.5992,0.5101,0.388,0.4855,0.4368,0.5135,0.6057,0.5596
21.3,-0.0452,0.5501,0.4435,0.4176,0.5837,0.5007,0.3961,0.4829,0.4395,0.5027,0.5922,0.5474
