Time,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC,Cocopops Gluten Free 15 TVC
2.1,0.1225,0.8505,0.7611,1.0016,0.7249,0.8633,0.5901,0.6684,0.6293,1.0255,1.0686,1.0471
2.2,0.1431,0.845,0.7716,0.9971,0.7166,0.8569,0.5798,0.6754,0.6276,1.0292,1.0731,1.0511
2.3,0.1664,0.835,0.7795,0.985,0.703,0.844,0.5669,0.6769,0.6219,1.0284,1.0715,1.0499
2.4,0.191,0.8207,0.7853,0.9662,0.6841,0.8252,0.5518,0.6733,0.6126,1.0231,1.0643,1.0437
2.5,0.2154,0.8023,0.7892,0.9421,0.6604,0.8013,0.5349,0.6648,0.5999,1.0139,1.0519,1.0329
2.6,0.2388,0.7803,0.791,0.914,0.6329,0.7735,0.5171,0.6517,0.5844,1.0011,1.0349,1.018
2.7,0.2607,0.7554,0.7902,0.883,0.6026,0.7428,0.4993,0.6349,0.5671,0.985,1.0133,0.9992
2.8,0.2811,0.7284,0.7865,0.8499,0.5701,0.71,0.4827,0.6156,0.5492,0.9663,0.9875,0.9769
2.9,0.2989,0.6997,0.78,0.8148,0.5359,0.6754,0.4684,0.5946,0.5315,0.9453,0.958,0.9516
3,0.3127,0.6694,0.7709,0.7775,0.4999,0.6387,0.457,0.5726,0.5148,0.9225,0.9254,0.9239
3.1,0.3203,0.6377,0.7591,0.7379,0.4623,0.6001,0.4487,0.5497,0.4992,0.8985,0.8904,0.8944
3.2,0.3199,0.6048,0.7446,0.6964,0.4235,0.5599,0.4437,0.5268,0.4852,0.874,0.8538,0.8639
3.3,0.3099,0.5708,0.7273,0.6539,0.3849,0.5194,0.4423,0.5048,0.4735,0.8495,0.8168,0.8332
3.4,0.2895,0.5361,0.7075,0.6113,0.3482,0.4798,0.4445,0.4845,0.4645,0.8256,0.7811,0.8034
3.5,0.2596,0.5008,0.686,0.5693,0.315,0.4422,0.4496,0.4665,0.458,0.8027,0.7484,0.7756
3.6,0.2221,0.4655,0.6638,0.5288,0.2863,0.4075,0.4566,0.4506,0.4536,0.7814,0.7198,0.7506
3.7,0.18,0.4317,0.6417,0.4908,0.263,0.3769,0.4647,0.4368,0.4508,0.7621,0.6955,0.7288
3.8,0.1368,0.4017,0.6202,0.4569,0.2461,0.3515,0.4738,0.4251,0.4494,0.7453,0.6754,0.7103
3.9,0.0956,0.3769,0.5998,0.4284,0.2365,0.3324,0.4839,0.4159,0.4499,0.7314,0.6597,0.6956
4,0.0586,0.3584,0.5813,0.4066,0.2345,0.3205,0.4952,0.4096,0.4524,0.7209,0.6489,0.6849
4.1,0.027,0.3462,0.5658,0.3923,0.2401,0.3162,0.5081,0.4069,0.4575,0.714,0.6437,0.6788
4.2,0.0017,0.3398,0.5542,0.3863,0.2529,0.3196,0.5234,0.4082,0.4658,0.7109,0.6442,0.6776
4.3,-0.0172,0.3389,0.5468,0.3887,0.2723,0.3305,0.5418,0.4138,0.4778,0.7119,0.6508,0.6813
4.4,-0.0299,0.343,0.5435,0.399,0.2975,0.3483,0.5643,0.4236,0.4939,0.717,0.6631,0.69
4.5,-0.0371,0.3514,0.5443,0.4158,0.3283,0.372,0.5911,0.4373,0.5142,0.7257,0.6806,0.7032
4.6,-0.04,0.3633,0.5488,0.4379,0.3638,0.4008,0.6219,0.4546,0.5382,0.737,0.702,0.7195
4.7,-0.0393,0.3779,0.5567,0.4643,0.4027,0.4335,0.6553,0.4749,0.5651,0.7497,0.7252,0.7374
4.8,-0.0349,0.3948,0.567,0.4948,0.4432,0.469,0.6898,0.4976,0.5937,0.7627,0.748,0.7553
4.9,-0.0266,0.4139,0.5783,0.5291,0.4834,0.5062,0.7235,0.5215,0.6225,0.7754,0.7686,0.772
5,-0.0145,0.4347,0.5894,0.5665,0.5221,0.5443,0.7549,0.5451,0.65,0.787,0.7861,0.7865
5.1,0.0014,0.4562,0.599,0.6054,0.5588,0.5821,0.7821,0.5669,0.6745,0.797,0.7999,0.7984
5.2,0.0211,0.4776,0.6064,0.6445,0.593,0.6188,0.8038,0.5856,0.6947,0.805,0.8098,0.8074
5.3,0.0441,0.4986,0.6112,0.6829,0.6245,0.6537,0.8191,0.6003,0.7097,0.8109,0.8159,0.8134
5.4,0.0691,0.5191,0.6129,0.7201,0.6529,0.6865,0.8276,0.6104,0.719,0.8146,0.8182,0.8164
5.5,0.0947,0.539,0.6118,0.7556,0.678,0.7168,0.8293,0.6158,0.7226,0.8162,0.8174,0.8168
5.6,0.1201,0.5582,0.6085,0.789,0.6994,0.7442,0.8249,0.6171,0.721,0.816,0.8144,0.8152
5.7,0.1453,0.5762,0.6037,0.82,0.7164,0.7682,0.8152,0.6148,0.715,0.8149,0.8105,0.8127
5.8,0.1708,0.5927,0.5979,0.8483,0.7282,0.7882,0.8017,0.6096,0.7057,0.8142,0.8068,0.8105
5.9,0.1966,0.6073,0.5915,0.8731,0.7346,0.8038,0.7852,0.6021,0.6936,0.8149,0.8039,0.8094
6,0.2217,0.6197,0.5845,0.8932,0.7355,0.8144,0.7663,0.5927,0.6795,0.817,0.8019,0.8095
6.1,0.2452,0.6293,0.5773,0.9074,0.7309,0.8191,0.7455,0.5822,0.6639,0.8202,0.8007,0.8105
6.2,0.2663,0.6356,0.5706,0.9146,0.7204,0.8175,0.7231,0.5713,0.6472,0.8241,0.8002,0.8122
6.3,0.2846,0.6384,0.5646,0.9145,0.7037,0.8091,0.6992,0.5601,0.6297,0.8283,0.8006,0.8144
6.4,0.2999,0.6377,0.5591,0.9071,0.681,0.794,0.6736,0.5488,0.6112,0.8327,0.8019,0.8173
6.5,0.3114,0.6341,0.5541,0.8933,0.6531,0.7732,0.6462,0.5372,0.5917,0.8373,0.8042,0.8207
6.6,0.3178,0.628,0.5499,0.874,0.6213,0.7477,0.617,0.5253,0.5712,0.8419,0.8073,0.8246
6.7,0.3174,0.6196,0.5471,0.8499,0.5871,0.7185,0.5863,0.5139,0.5501,0.8463,0.8119,0.8291
6.8,0.3095,0.6091,0.5469,0.822,0.552,0.687,0.5554,0.5038,0.5296,0.8509,0.8187,0.8348
6.9,0.2944,0.5974,0.5502,0.7918,0.5181,0.655,0.5259,0.4959,0.5109,0.8569,0.8288,0.8428
7,0.2733,0.5853,0.5576,0.7602,0.4869,0.6235,0.4996,0.4907,0.4952,0.8653,0.8426,0.854
7.1,0.2474,0.5734,0.5688,0.7278,0.4595,0.5936,0.4782,0.4881,0.4831,0.8766,0.8599,0.8683
7.2,0.218,0.5617,0.583,0.6955,0.4361,0.5658,0.4625,0.4878,0.4752,0.8907,0.8805,0.8856
7.3,0.1861,0.5493,0.599,0.6642,0.4164,0.5403,0.4532,0.4898,0.4715,0.9073,0.9042,0.9058
7.4,0.1535,0.5358,0.6164,0.6352,0.4,0.5176,0.4507,0.4943,0.4725,0.9262,0.9314,0.9288
7.5,0.1225,0.5215,0.6352,0.6094,0.3866,0.498,0.4559,0.5015,0.4787,0.9467,0.9614,0.9541
7.6,0.0954,0.5071,0.6554,0.587,0.3759,0.4815,0.4688,0.5116,0.4902,0.9675,0.9926,0.9801
7.7,0.0736,0.4935,0.6767,0.5681,0.3678,0.4679,0.4892,0.5242,0.5067,0.987,1.0229,1.0049
7.8,0.0578,0.4812,0.6982,0.5526,0.362,0.4573,0.5163,0.5395,0.5279,1.0036,1.0503,1.027
7.9,0.048,0.4703,0.7188,0.5405,0.3585,0.4495,0.5481,0.5575,0.5528,1.016,1.0738,1.0449
8,0.0433,0.4611,0.7378,0.5315,0.357,0.4443,0.5819,0.5776,0.5798,1.0236,1.0926,1.0581
8.1,0.0423,0.4539,0.7546,0.5251,0.3574,0.4412,0.6155,0.5986,0.607,1.0258,1.106,1.0659
8.2,0.0426,0.449,0.7688,0.52,0.3593,0.4396,0.6469,0.6185,0.6327,1.0221,1.1137,1.0679
8.3,0.0422,0.4465,0.7801,0.515,0.3624,0.4387,0.6751,0.6355,0.6553,1.0126,1.1158,1.0642
8.4,0.0395,0.4456,0.7886,0.5091,0.3666,0.4378,0.6996,0.6486,0.6741,0.9978,1.1133,1.0556
8.5,0.0341,0.4459,0.795,0.5021,0.3715,0.4368,0.7197,0.6577,0.6887,0.9792,1.1071,1.0431
8.6,0.0253,0.4467,0.8,0.4941,0.3774,0.4358,0.7355,0.6633,0.6994,0.958,1.0978,1.0279
8.7,0.0123,0.4481,0.8036,0.4855,0.3846,0.435,0.7468,0.6656,0.7062,0.9351,1.0856,1.0103
8.8,-0.006,0.45,0.8057,0.4763,0.3935,0.4349,0.753,0.6645,0.7088,0.9112,1.0704,0.9908
8.9,-0.0293,0.4529,0.8056,0.467,0.405,0.436,0.7535,0.6601,0.7068,0.8872,1.0525,0.9698
9,-0.0559,0.4576,0.8029,0.4585,0.4196,0.439,0.7483,0.6532,0.7008,0.8639,1.033,0.9485
9.1,-0.0843,0.4643,0.7977,0.4523,0.4379,0.4451,0.7385,0.6454,0.692,0.8425,1.0128,0.9277
9.2,-0.1136,0.4732,0.7907,0.4498,0.4601,0.455,0.7257,0.6382,0.682,0.8235,0.9927,0.9081
9.3,-0.1432,0.4837,0.7833,0.4513,0.4862,0.4688,0.7117,0.6329,0.6723,0.8072,0.9728,0.89
9.4,-0.1725,0.4951,0.7764,0.4565,0.5157,0.4861,0.6979,0.63,0.6639,0.7935,0.9537,0.8736
9.5,-0.2007,0.5065,0.7708,0.4646,0.5472,0.5059,0.6854,0.6293,0.6574,0.7823,0.9358,0.8591
9.6,-0.227,0.5173,0.7666,0.4748,0.5796,0.5272,0.6749,0.6305,0.6527,0.774,0.92,0.847
9.7,-0.2515,0.5272,0.7633,0.4868,0.6122,0.5495,0.6664,0.633,0.6497,0.7688,0.9067,0.8377
9.8,-0.2748,0.536,0.7604,0.4998,0.645,0.5724,0.6604,0.6366,0.6485,0.7667,0.8958,0.8313
9.9,-0.2973,0.5437,0.7572,0.5129,0.6776,0.5953,0.6572,0.641,0.6491,0.7677,0.887,0.8274
10,-0.3186,0.5504,0.7532,0.5249,0.7092,0.6171,0.6571,0.6463,0.6517,0.7712,0.8802,0.8257
10.1,-0.3371,0.5561,0.7481,0.5353,0.7391,0.6372,0.6606,0.6525,0.6565,0.7771,0.875,0.826
10.2,-0.3511,0.561,0.7418,0.5443,0.767,0.6556,0.6676,0.6594,0.6635,0.7848,0.8709,0.8279
10.3,-0.3598,0.5655,0.7342,0.552,0.7926,0.6723,0.6779,0.6665,0.6722,0.7937,0.8672,0.8305
10.4,-0.3624,0.5696,0.7251,0.5585,0.8155,0.687,0.6905,0.6735,0.682,0.8027,0.8631,0.8329
10.5,-0.3581,0.573,0.7145,0.5637,0.8355,0.6996,0.7039,0.6801,0.692,0.811,0.8579,0.8344
10.6,-0.3468,0.5755,0.7027,0.5677,0.852,0.7099,0.7171,0.6863,0.7017,0.8181,0.8514,0.8347
10.7,-0.329,0.5769,0.6907,0.5706,0.8653,0.718,0.7294,0.692,0.7107,0.8236,0.8437,0.8337
10.8,-0.3055,0.5772,0.6798,0.5718,0.8758,0.7238,0.7409,0.6972,0.719,0.8276,0.8349,0.8313
10.9,-0.278,0.5768,0.6717,0.5708,0.8839,0.7274,0.7517,0.7021,0.7269,0.8306,0.8255,0.8281
11,-0.2483,0.576,0.6669,0.5671,0.8901,0.7286,0.7617,0.707,0.7343,0.8332,0.8164,0.8248
11.1,-0.2188,0.5747,0.6652,0.5606,0.8945,0.7275,0.7703,0.7114,0.7408,0.8357,0.8088,0.8222
11.2,-0.1915,0.5724,0.6655,0.5513,0.8969,0.7241,0.7762,0.7143,0.7453,0.8385,0.8038,0.8212
11.3,-0.1679,0.5682,0.6673,0.539,0.8971,0.7181,0.7789,0.7143,0.7466,0.8417,0.8021,0.8219
11.4,-0.1487,0.5615,0.6706,0.5237,0.8952,0.7094,0.7781,0.7101,0.7441,0.8453,0.8036,0.8245
11.5,-0.1333,0.5518,0.6755,0.5055,0.8907,0.6981,0.7743,0.7011,0.7377,0.8494,0.8081,0.8287
11.6,-0.1203,0.539,0.6818,0.4851,0.8827,0.6839,0.7673,0.6872,0.7272,0.8539,0.8151,0.8345
11.7,-0.108,0.5231,0.6891,0.464,0.8702,0.6671,0.757,0.6684,0.7127,0.8587,0.8243,0.8415
11.8,-0.0951,0.5037,0.697,0.4432,0.8529,0.6481,0.7433,0.6456,0.6944,0.8635,0.8352,0.8494
11.9,-0.0809,0.4806,0.7051,0.4237,0.8307,0.6272,0.7265,0.62,0.6732,0.8683,0.8474,0.8579
12,-0.0649,0.4539,0.7131,0.4058,0.8037,0.6048,0.7069,0.5938,0.6503,0.8733,0.8608,0.8671
12.1,-0.0465,0.4245,0.7206,0.3901,0.7724,0.5812,0.6855,0.5692,0.6274,0.8787,0.8754,0.877
12.2,-0.0255,0.3939,0.7278,0.3775,0.7376,0.5575,0.6633,0.5489,0.6061,0.8847,0.891,0.8878
12.3,-0.0021,0.3637,0.735,0.3687,0.701,0.5349,0.642,0.5348,0.5884,0.8916,0.9073,0.8995
12.4,0.0228,0.3355,0.7429,0.3636,0.6651,0.5144,0.6231,0.5279,0.5755,0.8992,0.9242,0.9117
12.5,0.0473,0.3101,0.752,0.3613,0.6313,0.4963,0.607,0.5275,0.5673,0.9071,0.941,0.924
12.6,0.0702,0.2876,0.7623,0.3604,0.5999,0.4801,0.5936,0.5315,0.5625,0.9149,0.9567,0.9358
12.7,0.0909,0.2683,0.7731,0.3596,0.5707,0.4652,0.5816,0.5376,0.5596,0.9218,0.9701,0.946
12.8,0.1088,0.2524,0.7828,0.3588,0.5441,0.4515,0.57,0.5439,0.557,0.9273,0.9797,0.9535
12.9,0.1236,0.2404,0.7899,0.3587,0.5212,0.4399,0.5576,0.5489,0.5532,0.9304,0.9844,0.9574
13,0.1349,0.2324,0.7927,0.3599,0.5022,0.4311,0.5431,0.5518,0.5475,0.93,0.9833,0.9566
13.1,0.1429,0.2278,0.7907,0.3625,0.4864,0.4245,0.5256,0.5519,0.5388,0.925,0.9755,0.9502
13.2,0.1481,0.226,0.7842,0.3662,0.4726,0.4194,0.5045,0.5493,0.5269,0.915,0.9607,0.9379
13.3,0.1513,0.2264,0.7745,0.3704,0.4594,0.4149,0.4801,0.5442,0.5122,0.9002,0.9393,0.9197
13.4,0.1545,0.229,0.7631,0.3751,0.4466,0.4109,0.4535,0.5368,0.4951,0.8812,0.9124,0.8968
13.5,0.16,0.2343,0.7513,0.3807,0.4343,0.4075,0.4259,0.5275,0.4767,0.8595,0.8814,0.8704
13.6,0.1705,0.2428,0.7397,0.3879,0.4224,0.4051,0.3988,0.5168,0.4578,0.8362,0.8479,0.842
13.7,0.1866,0.2549,0.7287,0.3968,0.411,0.4039,0.3729,0.5051,0.439,0.8125,0.8133,0.8129
13.8,0.2062,0.27,0.7182,0.4076,0.4006,0.4041,0.3488,0.4926,0.4207,0.7895,0.7787,0.7841
13.9,0.2258,0.2876,0.7085,0.4201,0.3916,0.4059,0.3271,0.4796,0.4033,0.7681,0.7451,0.7566
14,0.2411,0.3071,0.6997,0.4337,0.3844,0.4091,0.3081,0.4662,0.3872,0.7489,0.7139,0.7314
14.1,0.2496,0.3283,0.6919,0.4474,0.3791,0.4133,0.2928,0.4525,0.3726,0.7322,0.6859,0.709
14.2,0.2516,0.3519,0.6851,0.4608,0.3761,0.4184,0.2816,0.439,0.3603,0.7183,0.6622,0.6902
14.3,0.2484,0.3786,0.679,0.4739,0.3758,0.4248,0.2753,0.4261,0.3507,0.7078,0.6436,0.6757
14.4,0.2416,0.4085,0.6733,0.4875,0.3784,0.433,0.2742,0.4141,0.3441,0.7009,0.6308,0.6658
14.5,0.2317,0.4402,0.6673,0.5026,0.384,0.4433,0.2779,0.4027,0.3403,0.6971,0.6237,0.6604
14.6,0.2189,0.4722,0.6607,0.5193,0.3923,0.4558,0.2862,0.3917,0.339,0.6959,0.6214,0.6586
14.7,0.2037,0.5036,0.6537,0.538,0.4035,0.4708,0.2992,0.3811,0.3402,0.6969,0.6227,0.6598
14.8,0.1867,0.534,0.6466,0.559,0.4189,0.489,0.3171,0.371,0.344,0.7001,0.6266,0.6634
14.9,0.1684,0.5639,0.6398,0.5835,0.44,0.5117,0.3396,0.3613,0.3504,0.7054,0.6323,0.6688
