Time,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC,Target - Doug Tested 30 TVC
5.9,0.2802,0.7714,0.4829,0.8208,0.6459,0.7333,0.4539,0.4403,0.4471,0.2628,0.2954,0.2791
6,0.2997,0.7721,0.4747,0.8017,0.639,0.7204,0.447,0.4377,0.4424,0.2504,0.2871,0.2687
6.1,0.3151,0.7722,0.4703,0.7812,0.6359,0.7086,0.4434,0.4379,0.4406,0.2413,0.2817,0.2615
6.2,0.3263,0.771,0.4696,0.7601,0.6367,0.6984,0.4424,0.4403,0.4414,0.2357,0.2789,0.2573
6.3,0.3331,0.7682,0.4722,0.7393,0.6413,0.6903,0.4439,0.4445,0.4442,0.2337,0.2784,0.2561
6.4,0.3356,0.7638,0.4777,0.7193,0.6497,0.6845,0.4477,0.4502,0.449,0.236,0.2805,0.2583
6.5,0.3344,0.7579,0.4856,0.701,0.6607,0.6809,0.4537,0.4568,0.4553,0.243,0.2854,0.2642
6.6,0.3307,0.7502,0.4944,0.685,0.6733,0.6791,0.4611,0.4632,0.4622,0.2552,0.2931,0.2741
6.7,0.3259,0.7407,0.5029,0.6721,0.6863,0.6792,0.4691,0.4686,0.4689,0.2719,0.3032,0.2876
6.8,0.3207,0.7292,0.5109,0.6627,0.6992,0.6809,0.4769,0.4732,0.475,0.2925,0.3154,0.3039
6.9,0.3156,0.7164,0.5188,0.6569,0.7118,0.6844,0.4841,0.4776,0.4808,0.3159,0.3294,0.3227
7,0.3105,0.7029,0.527,0.6546,0.7242,0.6894,0.4905,0.4823,0.4864,0.341,0.3452,0.3431
7.1,0.3044,0.69,0.5355,0.6555,0.736,0.6958,0.4961,0.4866,0.4914,0.3665,0.3618,0.3641
7.2,0.2957,0.6785,0.5433,0.659,0.7468,0.7029,0.5002,0.489,0.4946,0.3908,0.3777,0.3842
7.3,0.2831,0.6692,0.5496,0.6641,0.756,0.7101,0.502,0.4881,0.495,0.4125,0.3913,0.4019
7.4,0.2657,0.6631,0.554,0.67,0.7631,0.7166,0.5007,0.4838,0.4923,0.4309,0.4023,0.4166
7.5,0.2442,0.661,0.5567,0.676,0.768,0.722,0.4963,0.4773,0.4868,0.4463,0.4108,0.4286
7.6,0.22,0.6629,0.5581,0.6817,0.771,0.7264,0.4891,0.4697,0.4794,0.4593,0.4172,0.4383
7.7,0.1951,0.6679,0.5579,0.6868,0.7724,0.7296,0.48,0.4614,0.4707,0.47,0.4215,0.4458
7.8,0.171,0.6747,0.5553,0.6912,0.7727,0.7319,0.4695,0.4523,0.4609,0.4782,0.4236,0.4509
7.9,0.1486,0.6821,0.5504,0.6947,0.7722,0.7334,0.4586,0.4426,0.4506,0.4836,0.4238,0.4537
8,0.1282,0.6893,0.5438,0.6972,0.7706,0.7339,0.4481,0.433,0.4406,0.4868,0.4227,0.4548
8.1,0.1098,0.6956,0.5361,0.698,0.7675,0.7328,0.4385,0.4241,0.4313,0.4886,0.4214,0.455
8.2,0.0936,0.7003,0.5281,0.6962,0.7625,0.7293,0.43,0.4163,0.4232,0.4893,0.4202,0.4547
8.3,0.0798,0.7026,0.5198,0.6915,0.7555,0.7235,0.4224,0.4094,0.4159,0.4889,0.4189,0.4539
8.4,0.0691,0.702,0.5112,0.6843,0.7473,0.7158,0.4159,0.4032,0.4096,0.4873,0.4171,0.4522
8.5,0.0618,0.6984,0.5017,0.6754,0.7387,0.707,0.411,0.3978,0.4044,0.4845,0.4148,0.4496
8.6,0.0578,0.692,0.4916,0.6654,0.7305,0.6979,0.4084,0.3937,0.401,0.4813,0.4127,0.447
8.7,0.0562,0.6831,0.4813,0.6546,0.7231,0.6889,0.4083,0.3914,0.3999,0.4783,0.4118,0.4451
8.8,0.0558,0.672,0.4711,0.643,0.7167,0.6799,0.4108,0.3909,0.4008,0.476,0.4125,0.4443
8.9,0.0557,0.659,0.4613,0.6306,0.7112,0.6709,0.4156,0.3916,0.4036,0.4743,0.4149,0.4446
9,0.056,0.6443,0.4514,0.6177,0.706,0.6619,0.4225,0.393,0.4077,0.4731,0.4186,0.4459
9.1,0.0577,0.628,0.4408,0.6046,0.7002,0.6524,0.4312,0.3948,0.413,0.4722,0.4233,0.4477
9.2,0.062,0.61,0.4293,0.5916,0.6928,0.6422,0.4415,0.3967,0.4191,0.4716,0.4286,0.4501
9.3,0.0694,0.5907,0.4167,0.579,0.6832,0.6311,0.4528,0.3983,0.4256,0.4714,0.4341,0.4527
9.4,0.0793,0.5707,0.403,0.5672,0.671,0.6191,0.4642,0.3988,0.4315,0.4714,0.4391,0.4552
9.5,0.0898,0.5515,0.3882,0.5563,0.6565,0.6064,0.4751,0.3974,0.4362,0.4712,0.4432,0.4572
9.6,0.0992,0.5345,0.3725,0.5463,0.6403,0.5933,0.4849,0.3935,0.4392,0.4705,0.4467,0.4586
9.7,0.1063,0.5208,0.3566,0.5372,0.6235,0.5804,0.4935,0.3873,0.4404,0.4694,0.4502,0.4598
9.8,0.1109,0.5115,0.3412,0.5291,0.6072,0.5682,0.5011,0.379,0.44,0.4677,0.4541,0.4609
9.9,0.1128,0.5069,0.3268,0.5221,0.5927,0.5574,0.5075,0.3689,0.4382,0.4655,0.4584,0.4619
10,0.1118,0.5072,0.3137,0.5161,0.5808,0.5484,0.5129,0.3576,0.4352,0.4626,0.4629,0.4628
10.1,0.1077,0.5119,0.3022,0.5109,0.5717,0.5413,0.517,0.3455,0.4313,0.4594,0.4672,0.4633
10.2,0.0998,0.5204,0.2925,0.5059,0.5653,0.5356,0.5197,0.3333,0.4265,0.4559,0.471,0.4634
10.3,0.0879,0.5314,0.2843,0.501,0.5612,0.5311,0.5206,0.3211,0.4209,0.4523,0.4741,0.4632
10.4,0.0724,0.5439,0.2774,0.4961,0.5592,0.5277,0.5198,0.3091,0.4144,0.449,0.4763,0.4627
10.5,0.054,0.5573,0.2711,0.4922,0.5592,0.5257,0.5173,0.2975,0.4074,0.4461,0.4773,0.4617
10.6,0.0338,0.571,0.2652,0.4899,0.5611,0.5255,0.5131,0.2867,0.3999,0.4438,0.4768,0.4603
10.7,0.0133,0.5846,0.2598,0.4896,0.5643,0.527,0.5072,0.2773,0.3922,0.4425,0.4746,0.4585
10.8,-0.0062,0.5972,0.2553,0.4914,0.569,0.5302,0.4993,0.2701,0.3847,0.4422,0.4704,0.4563
10.9,-0.0239,0.6086,0.252,0.4954,0.5752,0.5353,0.4892,0.2654,0.3773,0.4427,0.4642,0.4535
11,-0.0393,0.6184,0.25,0.5017,0.5833,0.5425,0.477,0.2635,0.3703,0.4433,0.4558,0.4496
11.1,-0.052,0.6269,0.2491,0.5098,0.5928,0.5513,0.4627,0.2644,0.3635,0.4434,0.4454,0.4444
11.2,-0.0616,0.6342,0.2495,0.5196,0.603,0.5613,0.4462,0.2678,0.357,0.4422,0.4332,0.4377
11.3,-0.0681,0.6405,0.252,0.5304,0.6126,0.5715,0.4277,0.274,0.3509,0.4396,0.4198,0.4297
11.4,-0.0719,0.6458,0.2572,0.542,0.6206,0.5813,0.4073,0.2828,0.3451,0.4354,0.4056,0.4205
11.5,-0.0738,0.65,0.2655,0.554,0.627,0.5905,0.3856,0.2941,0.3398,0.4298,0.3909,0.4103
11.6,-0.074,0.6532,0.2771,0.5662,0.6318,0.599,0.3634,0.3079,0.3356,0.4233,0.3762,0.3998
11.7,-0.0728,0.6554,0.2918,0.5784,0.6356,0.607,0.3419,0.3245,0.3332,0.4168,0.3622,0.3895
11.8,-0.0701,0.6563,0.3094,0.59,0.6383,0.6142,0.3226,0.3438,0.3332,0.411,0.3494,0.3802
11.9,-0.0657,0.6553,0.3291,0.6005,0.6392,0.6198,0.3064,0.3655,0.3359,0.4059,0.3382,0.3721
12,-0.0596,0.6523,0.35,0.6092,0.6376,0.6234,0.2942,0.3886,0.3414,0.4016,0.329,0.3653
12.1,-0.0513,0.6471,0.3712,0.6158,0.6335,0.6246,0.2868,0.4118,0.3493,0.3975,0.3219,0.3597
12.2,-0.0406,0.6403,0.3918,0.6204,0.6271,0.6237,0.2847,0.4344,0.3595,0.3936,0.3171,0.3554
12.3,-0.0276,0.6324,0.4115,0.6236,0.6192,0.6214,0.2883,0.4556,0.372,0.3901,0.3149,0.3525
12.4,-0.0129,0.6234,0.4301,0.6255,0.6106,0.618,0.2977,0.4753,0.3865,0.3873,0.3151,0.3512
12.5,0.0021,0.6131,0.4475,0.6259,0.6015,0.6137,0.3121,0.4928,0.4024,0.385,0.3175,0.3512
12.6,0.0161,0.6013,0.463,0.6246,0.592,0.6083,0.3302,0.5075,0.4189,0.3829,0.3216,0.3523
12.7,0.0279,0.5882,0.4763,0.6214,0.5827,0.6021,0.3509,0.5185,0.4347,0.3806,0.3273,0.3539
12.8,0.0361,0.5747,0.4874,0.6163,0.5741,0.5952,0.373,0.5255,0.4492,0.3778,0.3342,0.356
12.9,0.0398,0.5613,0.4962,0.6096,0.5666,0.5881,0.3961,0.5287,0.4624,0.375,0.3418,0.3584
13,0.0382,0.5488,0.5031,0.6018,0.5607,0.5813,0.4199,0.5287,0.4743,0.3723,0.3494,0.3608
13.1,0.0315,0.5374,0.5077,0.5936,0.5563,0.5749,0.4438,0.526,0.4849,0.3698,0.3561,0.3629
13.2,0.0199,0.5272,0.5097,0.5855,0.5529,0.5692,0.4666,0.521,0.4938,0.3671,0.3611,0.3641
13.3,0.0041,0.5183,0.5092,0.5779,0.55,0.564,0.4872,0.5139,0.5006,0.3643,0.364,0.3641
13.4,-0.0156,0.5107,0.5063,0.5708,0.5475,0.5591,0.5046,0.505,0.5048,0.3613,0.3644,0.3628
13.5,-0.0393,0.5042,0.5015,0.564,0.5454,0.5547,0.5183,0.4948,0.5065,0.3584,0.3624,0.3604
13.6,-0.0671,0.499,0.4952,0.5578,0.5441,0.551,0.5279,0.4838,0.5058,0.356,0.358,0.357
13.7,-0.0987,0.4951,0.4877,0.5529,0.5442,0.5485,0.5339,0.4726,0.5033,0.354,0.3517,0.3529
13.8,-0.1332,0.493,0.4795,0.5499,0.5459,0.5479,0.5367,0.4619,0.4993,0.3527,0.3438,0.3483
13.9,-0.1697,0.4931,0.471,0.5488,0.5492,0.549,0.5365,0.4522,0.4944,0.352,0.3348,0.3434
14,-0.2074,0.4952,0.4626,0.549,0.5539,0.5515,0.5333,0.444,0.4887,0.3517,0.3247,0.3382
14.1,-0.246,0.4989,0.4546,0.5493,0.5596,0.5545,0.527,0.4375,0.4822,0.3513,0.3134,0.3324
14.2,-0.285,0.5037,0.447,0.5492,0.5657,0.5574,0.5178,0.4331,0.4754,0.3502,0.3012,0.3257
14.3,-0.3232,0.5089,0.4398,0.5488,0.5718,0.5603,0.5066,0.4315,0.4691,0.3486,0.2888,0.3187
14.4,-0.3592,0.5143,0.4331,0.5486,0.5773,0.563,0.495,0.433,0.464,0.3471,0.2771,0.3121
14.5,-0.3916,0.5195,0.4272,0.5488,0.5813,0.5651,0.4839,0.4376,0.4608,0.3469,0.2672,0.3071
14.6,-0.42,0.5236,0.4224,0.5483,0.5832,0.5658,0.4743,0.4451,0.4597,0.3486,0.2597,0.3041
14.7,-0.4444,0.5262,0.4187,0.5461,0.5825,0.5643,0.4664,0.4549,0.4606,0.3523,0.2549,0.3036
14.8,-0.465,0.5269,0.4159,0.5414,0.5787,0.5601,0.4603,0.4665,0.4634,0.3577,0.2527,0.3052
14.9,-0.4822,0.5258,0.4136,0.5341,0.5722,0.5532,0.4563,0.4796,0.468,0.3643,0.2534,0.3088
15,-0.4958,0.523,0.4112,0.5247,0.5635,0.5441,0.4546,0.4937,0.4741,0.3719,0.2569,0.3144
15.1,-0.506,0.5188,0.4087,0.5138,0.5532,0.5335,0.4551,0.508,0.4816,0.3801,0.2629,0.3215
15.2,-0.5129,0.5134,0.4056,0.5017,0.5418,0.5217,0.4576,0.5218,0.4897,0.3881,0.271,0.3296
15.3,-0.5171,0.5071,0.4022,0.4889,0.5296,0.5092,0.4614,0.5347,0.498,0.3959,0.2811,0.3385
15.4,-0.5186,0.5003,0.399,0.4758,0.517,0.4964,0.4663,0.5467,0.5065,0.4039,0.2937,0.3488
15.5,-0.518,0.4937,0.3969,0.4629,0.5049,0.4839,0.4722,0.5581,0.5152,0.4126,0.3093,0.3609
15.6,-0.516,0.4878,0.3969,0.4503,0.494,0.4721,0.4783,0.569,0.5237,0.4225,0.3281,0.3753
15.7,-0.5137,0.4829,0.3989,0.4374,0.4848,0.4611,0.4841,0.5791,0.5316,0.4335,0.3495,0.3915
15.8,-0.5119,0.4789,0.4028,0.4237,0.4773,0.4505,0.4892,0.5876,0.5384,0.4453,0.373,0.4091
15.9,-0.5107,0.4761,0.4079,0.4091,0.4714,0.4403,0.4935,0.594,0.5438,0.4575,0.3978,0.4276
16,-0.5096,0.4748,0.4139,0.3945,0.467,0.4308,0.4976,0.5977,0.5476,0.4704,0.4236,0.447
16.1,-0.5079,0.4753,0.421,0.3806,0.4645,0.4226,0.5019,0.5985,0.5502,0.4843,0.4503,0.4673
16.2,-0.5053,0.4774,0.4296,0.3679,0.4642,0.4161,0.5069,0.5965,0.5517,0.4999,0.4772,0.4885
16.3,-0.5014,0.481,0.4396,0.3568,0.4663,0.4115,0.5128,0.5917,0.5523,0.5172,0.5038,0.5105
16.4,-0.4953,0.486,0.4506,0.3479,0.4705,0.4092,0.5193,0.584,0.5517,0.5363,0.53,0.5332
16.5,-0.4861,0.492,0.4624,0.342,0.4765,0.4093,0.5263,0.5739,0.5501,0.5568,0.5559,0.5564
16.6,-0.4727,0.499,0.4751,0.3397,0.4843,0.412,0.5338,0.562,0.5479,0.5788,0.5814,0.5801
16.7,-0.4548,0.5065,0.4892,0.3414,0.4942,0.4178,0.5423,0.5494,0.5459,0.6022,0.6063,0.6043
16.8,-0.433,0.5144,0.5046,0.3472,0.5065,0.4268,0.5517,0.5366,0.5441,0.627,0.6299,0.6285
16.9,-0.4073,0.5224,0.5204,0.3577,0.5212,0.4394,0.5619,0.5238,0.5429,0.6526,0.6513,0.6519
17,-0.3768,0.5305,0.5358,0.3737,0.5374,0.4555,0.5734,0.5113,0.5423,0.6782,0.67,0.6741
17.1,-0.3402,0.5389,0.5503,0.3955,0.554,0.4747,0.5868,0.4994,0.5431,0.7034,0.6863,0.6948
17.2,-0.2969,0.5476,0.5639,0.4227,0.5695,0.4961,0.6026,0.4888,0.5457,0.7273,0.6998,0.7135
17.3,-0.2485,0.5562,0.5764,0.4546,0.5833,0.5189,0.6208,0.4797,0.5503,0.7485,0.7099,0.7292
17.4,-0.198,0.5642,0.5876,0.49,0.5952,0.5426,0.641,0.4721,0.5565,0.7655,0.7157,0.7406
17.5,-0.1481,0.5709,0.5968,0.5283,0.6057,0.567,0.6622,0.4662,0.5642,0.7771,0.7167,0.7469
17.6,-0.0999,0.5764,0.604,0.5689,0.6158,0.5924,0.6839,0.4625,0.5732,0.7831,0.7134,0.7483
17.7,-0.0541,0.5807,0.6093,0.6112,0.6261,0.6187,0.7057,0.4617,0.5837,0.7843,0.7065,0.7454
17.8,-0.0115,0.5838,0.6134,0.6535,0.637,0.6453,0.7271,0.4645,0.5958,0.7813,0.6965,0.7389
17.9,0.0267,0.5853,0.6165,0.6936,0.6485,0.671,0.7473,0.4704,0.6088,0.7743,0.6836,0.7289
18,0.0597,0.585,0.6183,0.7301,0.66,0.6951,0.7651,0.4788,0.622,0.7631,0.668,0.7155
18.1,0.0876,0.5832,0.6186,0.7635,0.6714,0.7174,0.7799,0.4891,0.6345,0.7478,0.6502,0.699
18.2,0.1113,0.5805,0.6179,0.7949,0.6827,0.7388,0.7916,0.5012,0.6464,0.7293,0.6309,0.6801
18.3,0.1317,0.5774,0.617,0.8254,0.6944,0.7599,0.8005,0.5153,0.6579,0.7088,0.6109,0.6599
18.4,0.1488,0.5743,0.6165,0.8554,0.7067,0.7811,0.8069,0.5317,0.6693,0.6877,0.591,0.6393
18.5,0.1626,0.5707,0.6165,0.8842,0.7192,0.8017,0.8109,0.55,0.6804,0.6665,0.5717,0.6191
18.6,0.1735,0.5662,0.6166,0.9109,0.7309,0.8209,0.8124,0.5696,0.691,0.6458,0.5533,0.5995
18.7,0.1831,0.5608,0.6162,0.9351,0.7408,0.8379,0.8115,0.5899,0.7007,0.6257,0.5363,0.581
18.8,0.193,0.555,0.6155,0.9569,0.7487,0.8528,0.8087,0.6104,0.7096,0.6067,0.521,0.5638
18.9,0.2028,0.549,0.6142,0.9766,0.7548,0.8657,0.8047,0.6307,0.7177,0.5894,0.5076,0.5485
19,0.2111,0.543,0.6121,0.9941,0.7596,0.8769,0.7999,0.6502,0.725,0.5742,0.4964,0.5353
19.1,0.2159,0.5368,0.6087,1.0093,0.7627,0.886,0.7945,0.6681,0.7313,0.5615,0.4877,0.5246
19.2,0.2169,0.5302,0.6036,1.0219,0.7635,0.8927,0.7887,0.6833,0.736,0.5516,0.4817,0.5167
19.3,0.2146,0.5229,0.5964,1.0313,0.7614,0.8964,0.7823,0.6949,0.7386,0.5447,0.4785,0.5116
19.4,0.21,0.5145,0.5875,1.0369,0.7564,0.8967,0.7756,0.7024,0.739,0.5412,0.4779,0.5096
19.5,0.203,0.5051,0.577,1.0379,0.7491,0.8935,0.7688,0.7063,0.7375,0.5416,0.4796,0.5106
19.6,0.1932,0.4951,0.5655,1.0337,0.7404,0.8871,0.7622,0.7072,0.7347,0.5457,0.4834,0.5146
19.7,0.18,0.4856,0.5531,1.0248,0.7314,0.8781,0.7561,0.706,0.731,0.5532,0.4892,0.5212
19.8,0.1638,0.4772,0.5402,1.0118,0.7225,0.8671,0.7503,0.7035,0.7269,0.5633,0.4965,0.5299
19.9,0.1452,0.4706,0.5274,0.9953,0.714,0.8547,0.745,0.7003,0.7226,0.5751,0.5045,0.5398
20,0.1249,0.4657,0.5153,0.9756,0.7061,0.8409,0.7401,0.6967,0.7184,0.5875,0.5124,0.55
20.1,0.1023,0.4627,0.5042,0.9532,0.6988,0.826,0.7356,0.6927,0.7141,0.6,0.5194,0.5597
20.2,0.0767,0.4614,0.4948,0.9287,0.6925,0.8106,0.7315,0.6884,0.71,0.6115,0.5251,0.5683
20.3,0.0486,0.4616,0.4874,0.9026,0.6873,0.7949,0.728,0.6842,0.7061,0.6214,0.5297,0.5756
20.4,0.0194,0.4626,0.483,0.8756,0.6833,0.7795,0.7252,0.6807,0.703,0.6293,0.5336,0.5815
20.5,-0.0095,0.4638,0.4818,0.8481,0.6806,0.7644,0.7229,0.6785,0.7007,0.6347,0.5367,0.5857
20.6,-0.0367,0.4648,0.4836,0.8208,0.6791,0.7499,0.7202,0.6774,0.6988,0.6369,0.5389,0.5879
20.7,-0.0618,0.4653,0.4879,0.7944,0.6788,0.7366,0.7164,0.6774,0.6969,0.6355,0.5396,0.5875
20.8,-0.0845,0.4653,0.494,0.7696,0.6802,0.7249,0.7108,0.6782,0.6945,0.6304,0.5387,0.5845
20.9,-0.1041,0.465,0.5014,0.7469,0.683,0.715,0.7034,0.6796,0.6915,0.6221,0.5364,0.5793
21,-0.1199,0.4645,0.51,0.7266,0.6868,0.7067,0.6945,0.6815,0.688,0.6113,0.533,0.5722
21.1,-0.1316,0.4636,0.5196,0.7087,0.6909,0.6998,0.6848,0.6838,0.6843,0.5985,0.5287,0.5636
21.2,-0.1391,0.4622,0.5297,0.6931,0.6944,0.6938,0.6748,0.6859,0.6803,0.5841,0.5235,0.5538
21.3,-0.1424,0.4604,0.5396,0.6798,0.6967,0.6883,0.6648,0.6872,0.676,0.5681,0.5174,0.5427
