Time,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC,Kmart - Lego Masters Themed 15 TVC
1.7,-0.2656,0.5929,0.5973,0.4947,0.6018,0.5482,0.5497,0.8325,0.6911,0.527,0.6605,0.5938
1.8,-0.2536,0.5833,0.5672,0.5046,0.6146,0.5596,0.5545,0.8198,0.6871,0.5239,0.6674,0.5956
1.9,-0.2389,0.5731,0.5369,0.513,0.6293,0.5712,0.5618,0.804,0.6829,0.5223,0.673,0.5976
2,-0.2222,0.5627,0.508,0.5204,0.646,0.5832,0.5702,0.7858,0.678,0.5223,0.678,0.6001
2.1,-0.2045,0.5523,0.4829,0.5268,0.6635,0.5952,0.5795,0.7666,0.6731,0.5248,0.6837,0.6042
2.2,-0.1872,0.5423,0.464,0.5319,0.6799,0.6059,0.59,0.7473,0.6687,0.5306,0.691,0.6108
2.3,-0.1725,0.5321,0.4524,0.5346,0.6938,0.6142,0.6019,0.7285,0.6652,0.54,0.7001,0.6201
2.4,-0.1628,0.5213,0.448,0.534,0.7047,0.6193,0.6148,0.7105,0.6626,0.5528,0.7103,0.6315
2.5,-0.1588,0.5101,0.4497,0.5301,0.713,0.6215,0.6273,0.6936,0.6605,0.5685,0.7203,0.6444
2.6,-0.1602,0.4991,0.4567,0.5236,0.7187,0.6211,0.6383,0.6781,0.6582,0.5869,0.7299,0.6584
2.7,-0.165,0.4897,0.4692,0.5155,0.7219,0.6187,0.6471,0.665,0.6561,0.6082,0.7394,0.6738
2.8,-0.1704,0.4831,0.4875,0.507,0.7225,0.6148,0.654,0.6555,0.6547,0.6326,0.7493,0.6909
2.9,-0.1742,0.4802,0.5118,0.4992,0.721,0.6101,0.6588,0.6504,0.6546,0.6598,0.7599,0.7099
3,-0.1749,0.4807,0.5413,0.4919,0.7178,0.6049,0.661,0.6506,0.6558,0.6899,0.7714,0.7306
3.1,-0.1721,0.4837,0.5749,0.4852,0.7134,0.5993,0.66,0.6569,0.6584,0.7229,0.784,0.7535
3.2,-0.1653,0.4886,0.6114,0.4789,0.7077,0.5933,0.6561,0.6698,0.6629,0.7593,0.7979,0.7786
3.3,-0.1552,0.4948,0.6496,0.4728,0.7005,0.5867,0.6502,0.6895,0.6698,0.7983,0.8126,0.8055
3.4,-0.143,0.5019,0.6884,0.4679,0.692,0.5799,0.6433,0.7152,0.6793,0.8387,0.8276,0.8332
3.5,-0.1298,0.5105,0.7265,0.4653,0.6826,0.5739,0.6358,0.7457,0.6908,0.8794,0.8421,0.8607
3.6,-0.1152,0.5215,0.7625,0.4666,0.6729,0.5698,0.6272,0.7792,0.7032,0.9196,0.8556,0.8876
3.7,-0.0979,0.5349,0.7949,0.4724,0.6632,0.5678,0.6174,0.8135,0.7154,0.959,0.8678,0.9134
3.8,-0.0777,0.55,0.8225,0.4823,0.653,0.5677,0.6064,0.8467,0.7265,0.9971,0.8779,0.9375
3.9,-0.0551,0.5656,0.8439,0.4953,0.6412,0.5683,0.5945,0.8767,0.7356,1.0321,0.885,0.9586
4,-0.0311,0.5806,0.8582,0.51,0.6279,0.569,0.5817,0.9013,0.7415,1.0619,0.8879,0.9749
4.1,-0.007,0.5943,0.8644,0.5252,0.6138,0.5695,0.5681,0.9183,0.7432,1.0843,0.8861,0.9852
4.2,0.0166,0.6065,0.8623,0.5398,0.5991,0.5695,0.5544,0.9267,0.7405,1.0987,0.8797,0.9892
4.3,0.0402,0.6174,0.8521,0.5535,0.584,0.5687,0.541,0.9271,0.7341,1.1053,0.8692,0.9872
4.4,0.064,0.6273,0.835,0.5664,0.5685,0.5674,0.5284,0.9215,0.7249,1.105,0.8555,0.9802
4.5,0.0874,0.6367,0.8125,0.5792,0.5536,0.5664,0.5169,0.9115,0.7142,1.099,0.8392,0.9691
4.6,0.11,0.6461,0.7855,0.5921,0.5405,0.5663,0.5064,0.8978,0.7021,1.0882,0.8211,0.9547
4.7,0.1315,0.6555,0.7544,0.6045,0.53,0.5672,0.4968,0.8804,0.6886,1.073,0.8017,0.9374
4.8,0.1518,0.6639,0.7187,0.615,0.522,0.5685,0.4883,0.8587,0.6735,1.0538,0.7814,0.9176
4.9,0.1707,0.6704,0.6787,0.6231,0.5154,0.5692,0.4811,0.8327,0.6569,1.0312,0.7608,0.896
5,0.1882,0.6748,0.6353,0.6292,0.51,0.5696,0.4753,0.8033,0.6393,1.0061,0.7406,0.8733
5.1,0.2039,0.6775,0.5901,0.6348,0.5069,0.5709,0.471,0.7721,0.6216,0.9791,0.7215,0.8503
5.2,0.2168,0.6794,0.5451,0.6413,0.507,0.5741,0.4677,0.7408,0.6042,0.9509,0.7043,0.8276
5.3,0.2261,0.6807,0.5027,0.6491,0.51,0.5795,0.4653,0.7111,0.5882,0.9225,0.6899,0.8062
5.4,0.2307,0.6813,0.465,0.6579,0.5149,0.5864,0.4642,0.6847,0.5745,0.8957,0.6793,0.7875
5.5,0.2298,0.6808,0.4333,0.6673,0.5211,0.5942,0.4655,0.6626,0.564,0.8722,0.6736,0.7729
5.6,0.2236,0.6798,0.4084,0.6771,0.5294,0.6032,0.4698,0.6456,0.5577,0.8527,0.6728,0.7628
5.7,0.2128,0.6789,0.3903,0.6878,0.5407,0.6143,0.4774,0.6339,0.5557,0.8377,0.6766,0.7572
5.8,0.199,0.6791,0.3794,0.6998,0.5552,0.6275,0.4884,0.6279,0.5581,0.8273,0.6844,0.7559
5.9,0.1845,0.6805,0.377,0.713,0.572,0.6425,0.5024,0.6275,0.5649,0.8214,0.6955,0.7584
6,0.1701,0.683,0.3846,0.7268,0.5899,0.6584,0.5195,0.6325,0.576,0.8197,0.7092,0.7645
6.1,0.1558,0.6862,0.4021,0.7404,0.6081,0.6743,0.539,0.6425,0.5908,0.8217,0.7249,0.7733
6.2,0.1408,0.6902,0.4275,0.753,0.6262,0.6896,0.5601,0.6565,0.6083,0.8257,0.7413,0.7835
6.3,0.1251,0.6951,0.4576,0.7642,0.6438,0.704,0.5813,0.6733,0.6273,0.8304,0.7575,0.7939
6.4,0.1096,0.7012,0.4896,0.7739,0.6605,0.7172,0.6021,0.6918,0.647,0.8352,0.773,0.8041
6.5,0.0948,0.7086,0.5216,0.7826,0.676,0.7293,0.6225,0.7113,0.6669,0.8401,0.7878,0.814
6.6,0.0805,0.7173,0.5533,0.7902,0.6897,0.7399,0.642,0.7309,0.6865,0.845,0.8017,0.8233
6.7,0.0665,0.7267,0.5843,0.7966,0.7011,0.7489,0.6597,0.7498,0.7048,0.8492,0.8137,0.8315
6.8,0.0536,0.7362,0.6135,0.8016,0.7098,0.7557,0.6742,0.7672,0.7207,0.8521,0.8231,0.8376
6.9,0.0436,0.7449,0.6402,0.805,0.7148,0.7599,0.6841,0.7823,0.7332,0.8539,0.8295,0.8417
7,0.0384,0.7522,0.6637,0.8065,0.7157,0.7611,0.689,0.7947,0.7419,0.855,0.8333,0.8442
7.1,0.0386,0.7574,0.6844,0.8055,0.7123,0.7589,0.6894,0.8045,0.7469,0.8558,0.8349,0.8454
7.2,0.0438,0.7605,0.7031,0.8021,0.7055,0.7538,0.6855,0.8118,0.7486,0.8558,0.8343,0.8451
7.3,0.053,0.7615,0.7198,0.796,0.6965,0.7463,0.6776,0.8164,0.747,0.8542,0.8311,0.8426
7.4,0.0648,0.7606,0.7336,0.7876,0.686,0.7368,0.6664,0.8181,0.7423,0.8507,0.8253,0.838
7.5,0.0782,0.7576,0.7441,0.7768,0.6744,0.7256,0.6526,0.8169,0.7348,0.8462,0.8174,0.8318
7.6,0.0918,0.7523,0.7516,0.764,0.6612,0.7126,0.6375,0.8134,0.7254,0.8422,0.8086,0.8254
7.7,0.1043,0.7451,0.7567,0.7495,0.6466,0.698,0.6216,0.8083,0.715,0.8398,0.7992,0.8195
7.8,0.1149,0.7364,0.7601,0.7336,0.6309,0.6822,0.6052,0.8021,0.7037,0.8393,0.7891,0.8142
7.9,0.1236,0.7271,0.7618,0.7172,0.6148,0.666,0.5881,0.7944,0.6912,0.8403,0.7778,0.809
8,0.1314,0.7175,0.7614,0.7009,0.5991,0.65,0.5704,0.7845,0.6774,0.8419,0.7646,0.8033
8.1,0.1389,0.7073,0.7589,0.6847,0.5838,0.6343,0.5527,0.7723,0.6625,0.8435,0.7497,0.7966
8.2,0.1452,0.6964,0.754,0.6686,0.569,0.6188,0.5363,0.7581,0.6472,0.8451,0.7334,0.7893
8.3,0.1491,0.6848,0.7475,0.6527,0.5547,0.6037,0.5224,0.7425,0.6325,0.8472,0.7166,0.7819
8.4,0.1489,0.6731,0.7405,0.6373,0.5414,0.5894,0.5117,0.7264,0.619,0.85,0.7002,0.7751
8.5,0.144,0.6613,0.7338,0.6224,0.5293,0.5759,0.5037,0.7102,0.6069,0.8535,0.6856,0.7695
8.6,0.1349,0.6492,0.7275,0.6076,0.518,0.5628,0.4977,0.6939,0.5958,0.8574,0.6737,0.7655
8.7,0.123,0.6365,0.7216,0.5927,0.5069,0.5498,0.493,0.6775,0.5853,0.8618,0.6649,0.7633
8.8,0.1096,0.6235,0.7161,0.5782,0.4961,0.5371,0.4902,0.6614,0.5758,0.8669,0.6599,0.7634
8.9,0.0961,0.6112,0.7118,0.5651,0.4866,0.5258,0.4897,0.6461,0.5679,0.8728,0.6588,0.7658
9,0.0831,0.6007,0.7097,0.5546,0.4795,0.517,0.4922,0.632,0.5621,0.8794,0.6615,0.7705
9.1,0.0716,0.5929,0.711,0.547,0.4756,0.5113,0.4978,0.62,0.5589,0.8865,0.6674,0.7769
9.2,0.0629,0.5879,0.716,0.5427,0.4753,0.509,0.5063,0.6107,0.5585,0.8937,0.6759,0.7848
9.3,0.0583,0.5859,0.7248,0.5416,0.4789,0.5103,0.5176,0.6046,0.5611,0.9006,0.6867,0.7936
9.4,0.059,0.5872,0.7366,0.5439,0.4872,0.5156,0.5317,0.6019,0.5668,0.9068,0.6995,0.8031
9.5,0.0663,0.5926,0.7506,0.5503,0.5006,0.5254,0.5486,0.6025,0.5755,0.9124,0.7137,0.8131
9.6,0.0814,0.6026,0.7666,0.5614,0.5189,0.5402,0.5686,0.6062,0.5874,0.9176,0.7287,0.8232
9.7,0.1054,0.6174,0.7839,0.5776,0.542,0.5598,0.5919,0.613,0.6025,0.9222,0.7438,0.833
9.8,0.1375,0.6367,0.8019,0.5984,0.5698,0.5841,0.6185,0.6229,0.6207,0.9263,0.7583,0.8423
9.9,0.1747,0.6597,0.8201,0.6229,0.602,0.6125,0.6479,0.6353,0.6416,0.9297,0.7719,0.8508
10,0.2135,0.6851,0.8376,0.6495,0.6378,0.6436,0.679,0.6491,0.6641,0.9323,0.784,0.8581
10.1,0.2512,0.7116,0.8534,0.6765,0.6751,0.6758,0.711,0.6636,0.6873,0.9336,0.7938,0.8637
10.2,0.2868,0.7385,0.8662,0.7032,0.7118,0.7075,0.7437,0.6783,0.711,0.9336,0.8008,0.8672
10.3,0.3196,0.7656,0.8754,0.7289,0.7465,0.7377,0.7771,0.6932,0.7352,0.9324,0.8046,0.8685
10.4,0.3489,0.793,0.8805,0.7532,0.7786,0.7659,0.8109,0.7083,0.7596,0.9299,0.8053,0.8676
10.5,0.3738,0.8207,0.8812,0.776,0.8083,0.7922,0.844,0.7228,0.7834,0.9259,0.8028,0.8644
10.6,0.3932,0.8483,0.8772,0.7973,0.8358,0.8166,0.8757,0.7361,0.8059,0.9202,0.7967,0.8585
10.7,0.4063,0.8747,0.8682,0.8168,0.8609,0.8388,0.9051,0.7477,0.8264,0.9128,0.787,0.8499
10.8,0.4127,0.8987,0.8548,0.8337,0.8833,0.8585,0.9322,0.7577,0.845,0.9042,0.7743,0.8392
10.9,0.4126,0.9189,0.838,0.8473,0.9025,0.8749,0.9571,0.7669,0.862,0.8954,0.7597,0.8275
11,0.4068,0.9346,0.8188,0.8571,0.9182,0.8876,0.9795,0.7761,0.8778,0.8869,0.7441,0.8155
11.1,0.3962,0.9452,0.7976,0.8632,0.9298,0.8965,0.9985,0.7854,0.892,0.8785,0.7279,0.8032
11.2,0.382,0.9506,0.7746,0.866,0.9374,0.9017,1.0131,0.7946,0.9039,0.8693,0.7112,0.7903
11.3,0.3655,0.9502,0.7499,0.8656,0.9405,0.903,1.0222,0.8031,0.9127,0.8587,0.6944,0.7765
11.4,0.3474,0.9431,0.724,0.8611,0.9386,0.8999,1.0252,0.8106,0.9179,0.8464,0.6782,0.7623
11.5,0.3284,0.929,0.6973,0.8521,0.9311,0.8916,1.0219,0.8162,0.919,0.8326,0.6636,0.7481
11.6,0.3094,0.9085,0.6704,0.839,0.9182,0.8786,1.0128,0.8187,0.9157,0.8174,0.6511,0.7343
11.7,0.292,0.8832,0.6444,0.8233,0.9008,0.862,0.9982,0.8173,0.9078,0.8006,0.641,0.7208
11.8,0.2777,0.8546,0.6207,0.8066,0.8796,0.8431,0.9789,0.8114,0.8952,0.7824,0.6332,0.7078
11.9,0.2679,0.8233,0.6002,0.7897,0.8548,0.8223,0.956,0.8012,0.8786,0.7633,0.6279,0.6956
12,0.2627,0.7895,0.5829,0.7726,0.826,0.7993,0.9311,0.7866,0.8588,0.7444,0.6251,0.6848
12.1,0.2612,0.7536,0.569,0.7552,0.7931,0.7742,0.9056,0.7677,0.8366,0.7266,0.6246,0.6756
12.2,0.2619,0.7166,0.5587,0.7378,0.757,0.7474,0.8803,0.7451,0.8127,0.7103,0.6257,0.668
12.3,0.2635,0.6798,0.5524,0.7211,0.7196,0.7203,0.8552,0.7198,0.7875,0.6952,0.6274,0.6613
12.4,0.2653,0.6441,0.5499,0.7052,0.6826,0.6939,0.8304,0.6931,0.7618,0.6811,0.6289,0.655
12.5,0.267,0.6099,0.5507,0.69,0.6473,0.6686,0.806,0.6663,0.7362,0.6679,0.6297,0.6488
12.6,0.2688,0.5774,0.5536,0.6751,0.6141,0.6446,0.7827,0.6401,0.7114,0.6557,0.6296,0.6426
12.7,0.2707,0.547,0.5579,0.6604,0.5837,0.6221,0.7609,0.6145,0.6877,0.6447,0.628,0.6363
12.8,0.2726,0.5195,0.5631,0.6463,0.557,0.6016,0.7415,0.5899,0.6657,0.6346,0.6244,0.6295
12.9,0.2738,0.4955,0.569,0.633,0.5348,0.5839,0.7244,0.5671,0.6457,0.6255,0.6189,0.6222
13,0.2733,0.4752,0.5746,0.6203,0.5177,0.569,0.7095,0.5468,0.6281,0.6173,0.6119,0.6146
13.1,0.2702,0.4586,0.5791,0.6075,0.5061,0.5568,0.6964,0.5297,0.613,0.6098,0.6037,0.6068
13.2,0.2645,0.4456,0.5815,0.5941,0.5003,0.5472,0.6847,0.5159,0.6003,0.6026,0.5944,0.5985
13.3,0.2569,0.4362,0.5817,0.5801,0.4999,0.54,0.6737,0.5054,0.5895,0.5953,0.5837,0.5895
13.4,0.2485,0.4306,0.5799,0.5656,0.5041,0.5348,0.6627,0.4978,0.5803,0.5876,0.5712,0.5794
13.5,0.2399,0.4285,0.5763,0.5504,0.5118,0.5311,0.6513,0.493,0.5722,0.5795,0.5569,0.5682
13.6,0.2311,0.4298,0.5711,0.5344,0.5226,0.5285,0.6396,0.4914,0.5655,0.5706,0.5411,0.5559
13.7,0.2218,0.4348,0.5639,0.5174,0.5361,0.5267,0.6276,0.493,0.5603,0.5603,0.524,0.5422
13.8,0.2127,0.4436,0.5544,0.5004,0.5531,0.5267,0.6156,0.4974,0.5565,0.5479,0.5057,0.5268
13.9,0.2045,0.4566,0.543,0.4847,0.5745,0.5296,0.6039,0.5041,0.554,0.5335,0.4861,0.5098
14,0.1977,0.4735,0.5304,0.4721,0.6001,0.5361,0.5929,0.5125,0.5527,0.5177,0.4661,0.4919
14.1,0.1922,0.4939,0.5174,0.4633,0.629,0.5462,0.5826,0.5221,0.5523,0.5016,0.4467,0.4741
14.2,0.1872,0.517,0.505,0.4586,0.6596,0.5591,0.5723,0.5323,0.5523,0.4859,0.4288,0.4574
14.3,0.1812,0.5419,0.4934,0.458,0.6897,0.5739,0.5616,0.5427,0.5521,0.4712,0.4132,0.4422
14.4,0.1739,0.5677,0.4826,0.4628,0.7175,0.5902,0.5501,0.5523,0.5512,0.4576,0.3999,0.4287
14.5,0.1659,0.5933,0.4731,0.4737,0.7412,0.6075,0.5374,0.56,0.5487,0.4451,0.3893,0.4172
14.6,0.1597,0.618,0.4659,0.491,0.7594,0.6252,0.523,0.5643,0.5437,0.434,0.3822,0.4081
14.7,0.1567,0.6414,0.4615,0.5138,0.7715,0.6427,0.5071,0.5641,0.5356,0.4244,0.3792,0.4018
14.8,0.1562,0.6635,0.4602,0.5411,0.7774,0.6593,0.4904,0.5584,0.5244,0.4171,0.3812,0.3992
14.9,0.1551,0.6843,0.4624,0.5717,0.778,0.6748,0.4745,0.5468,0.5106,0.4132,0.3878,0.4005
