Time,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC,Nurofen - Quickzorb 15 TVC
4.1,0.4213,0.3778,0.7337,0.3513,0.5299,0.4406,0.6433,0.7956,0.7195,0.4489,0.7214,0.5852
4.2,0.4819,0.3729,0.7569,0.3543,0.5233,0.4388,0.6423,0.8113,0.7268,0.4473,0.7293,0.5883
4.3,0.5327,0.3701,0.7798,0.3579,0.5202,0.439,0.6374,0.8255,0.7314,0.4458,0.7347,0.5903
4.4,0.5719,0.3689,0.8012,0.3618,0.5202,0.441,0.6289,0.8372,0.7331,0.4448,0.7373,0.591
4.5,0.5991,0.3687,0.8203,0.3653,0.5228,0.444,0.6175,0.8463,0.7319,0.4442,0.7373,0.5907
4.6,0.6153,0.3694,0.8371,0.3679,0.5277,0.4478,0.6043,0.8532,0.7287,0.4438,0.7346,0.5892
4.7,0.6218,0.3711,0.8517,0.3692,0.535,0.4521,0.5901,0.8582,0.7241,0.4432,0.7292,0.5862
4.8,0.6191,0.3738,0.8644,0.3693,0.545,0.4572,0.5759,0.8619,0.7189,0.4423,0.7214,0.5818
4.9,0.606,0.3774,0.875,0.3681,0.5577,0.4629,0.5621,0.8644,0.7133,0.4415,0.7115,0.5765
5,0.5809,0.3813,0.883,0.3651,0.5729,0.469,0.5489,0.8658,0.7073,0.4412,0.7005,0.5709
5.1,0.5427,0.385,0.8885,0.3598,0.5902,0.475,0.5363,0.866,0.7012,0.4416,0.6892,0.5654
5.2,0.4917,0.3882,0.8916,0.3523,0.6091,0.4807,0.5243,0.8649,0.6946,0.442,0.6778,0.5599
5.3,0.4296,0.3905,0.8924,0.3429,0.6287,0.4858,0.5123,0.8624,0.6874,0.4419,0.6661,0.554
5.4,0.3589,0.3915,0.891,0.3325,0.6481,0.4903,0.5,0.8586,0.6793,0.4405,0.6538,0.5471
5.5,0.2826,0.3905,0.8871,0.3216,0.6664,0.494,0.4876,0.8536,0.6706,0.4379,0.6405,0.5392
5.6,0.2035,0.3869,0.8809,0.3102,0.6827,0.4965,0.475,0.8476,0.6613,0.4338,0.6262,0.53
5.7,0.1241,0.3801,0.8727,0.2981,0.6963,0.4972,0.4624,0.8408,0.6516,0.4282,0.611,0.5196
5.8,0.0461,0.3704,0.8628,0.285,0.7069,0.4959,0.4495,0.8334,0.6414,0.4203,0.5953,0.5078
5.9,-0.0293,0.3583,0.8515,0.2716,0.715,0.4933,0.4364,0.8256,0.631,0.4105,0.5793,0.4949
6,-0.1014,0.3449,0.8391,0.259,0.7208,0.4899,0.4237,0.8176,0.6207,0.3994,0.5641,0.4818
6.1,-0.1694,0.3311,0.8262,0.2477,0.7243,0.486,0.4125,0.8098,0.6111,0.3883,0.551,0.4696
6.2,-0.2324,0.3179,0.8133,0.2376,0.7253,0.4815,0.4034,0.8024,0.6029,0.378,0.541,0.4595
6.3,-0.2893,0.3057,0.8009,0.2286,0.7238,0.4762,0.3968,0.795,0.5959,0.3691,0.5348,0.4519
6.4,-0.3393,0.2956,0.7894,0.2212,0.7203,0.4707,0.3923,0.7872,0.5898,0.3623,0.5328,0.4476
6.5,-0.3817,0.2881,0.7788,0.2163,0.7154,0.4659,0.3898,0.7788,0.5843,0.3584,0.5348,0.4466
6.6,-0.4162,0.2835,0.7689,0.2151,0.7097,0.4624,0.3888,0.7697,0.5792,0.3576,0.5405,0.4491
6.7,-0.442,0.2814,0.7595,0.2177,0.7034,0.4605,0.3886,0.7597,0.5742,0.3599,0.5495,0.4547
6.8,-0.4591,0.2812,0.7506,0.2236,0.6967,0.4602,0.3887,0.749,0.5688,0.3652,0.5612,0.4632
6.9,-0.4678,0.283,0.7423,0.2325,0.6907,0.4616,0.3884,0.7375,0.563,0.3732,0.5747,0.474
7,-0.4692,0.2873,0.7343,0.2449,0.6865,0.4657,0.3878,0.7258,0.5568,0.3836,0.5891,0.4864
7.1,-0.4643,0.2953,0.7269,0.262,0.6854,0.4737,0.3875,0.7144,0.5509,0.3963,0.6038,0.5
7.2,-0.4539,0.3079,0.72,0.2845,0.6882,0.4864,0.388,0.7043,0.5461,0.4106,0.6187,0.5147
7.3,-0.4388,0.3251,0.7136,0.3124,0.6951,0.5038,0.3891,0.6963,0.5427,0.4263,0.6339,0.5301
7.4,-0.4203,0.3464,0.7079,0.3448,0.7051,0.5249,0.3908,0.6909,0.5409,0.4427,0.6494,0.546
7.5,-0.3999,0.3711,0.7028,0.3803,0.7171,0.5487,0.3927,0.6873,0.54,0.459,0.6647,0.5618
7.6,-0.3786,0.3989,0.698,0.4183,0.7303,0.5743,0.3949,0.6848,0.5399,0.4748,0.6792,0.577
7.7,-0.3567,0.4292,0.693,0.4586,0.744,0.6013,0.3978,0.6825,0.5401,0.4894,0.6922,0.5908
7.8,-0.3344,0.4616,0.6877,0.5002,0.7577,0.629,0.4014,0.6798,0.5406,0.5023,0.7033,0.6028
7.9,-0.3127,0.4947,0.6823,0.5416,0.7713,0.6565,0.4056,0.6768,0.5412,0.5132,0.7121,0.6126
8,-0.2935,0.527,0.6768,0.5805,0.7847,0.6826,0.4098,0.6733,0.5416,0.5215,0.7184,0.62
8.1,-0.2792,0.5575,0.6718,0.6148,0.7981,0.7065,0.4137,0.6697,0.5417,0.527,0.7221,0.6245
8.2,-0.2707,0.5851,0.6673,0.643,0.8109,0.7269,0.4174,0.666,0.5417,0.5293,0.7228,0.6261
8.3,-0.2674,0.6086,0.6631,0.6635,0.8218,0.7426,0.4213,0.662,0.5416,0.5284,0.72,0.6242
8.4,-0.2662,0.6269,0.659,0.6756,0.8293,0.7525,0.4254,0.6568,0.5411,0.5238,0.713,0.6184
8.5,-0.2634,0.6398,0.6549,0.6796,0.8325,0.7561,0.43,0.6501,0.54,0.5157,0.7014,0.6086
8.6,-0.256,0.6478,0.6511,0.6765,0.8312,0.7539,0.4352,0.6422,0.5387,0.504,0.6851,0.5946
8.7,-0.2426,0.6518,0.6474,0.6678,0.8258,0.7468,0.4415,0.6335,0.5375,0.4893,0.6644,0.5768
8.8,-0.223,0.6526,0.6437,0.6549,0.8168,0.7358,0.4491,0.6243,0.5367,0.4729,0.6401,0.5565
8.9,-0.1969,0.6507,0.6398,0.6385,0.8044,0.7214,0.4581,0.6142,0.5361,0.4563,0.6136,0.5349
9,-0.1644,0.6467,0.6355,0.6192,0.7884,0.7038,0.4684,0.6028,0.5356,0.4408,0.5861,0.5134
9.1,-0.1271,0.6415,0.6307,0.5976,0.769,0.6833,0.48,0.5903,0.5351,0.4272,0.5585,0.4929
9.2,-0.0887,0.6363,0.6255,0.5745,0.747,0.6608,0.4926,0.577,0.5348,0.4162,0.5318,0.474
9.3,-0.0536,0.6315,0.6201,0.5501,0.7234,0.6367,0.5059,0.5633,0.5346,0.4082,0.5067,0.4575
9.4,-0.0249,0.6265,0.6146,0.5244,0.6989,0.6116,0.5188,0.5488,0.5338,0.403,0.4834,0.4432
9.5,-0.0035,0.6209,0.6089,0.4975,0.674,0.5858,0.5301,0.5333,0.5317,0.3997,0.4618,0.4307
9.6,0.0109,0.6145,0.6031,0.4702,0.6492,0.5597,0.5389,0.5168,0.5279,0.3974,0.4414,0.4194
9.7,0.0182,0.6074,0.5971,0.4432,0.6249,0.5341,0.5446,0.4997,0.5222,0.3951,0.4222,0.4086
9.8,0.0178,0.5999,0.5907,0.4171,0.6018,0.5094,0.5467,0.4829,0.5148,0.3927,0.4043,0.3985
9.9,0.0096,0.592,0.584,0.3918,0.5801,0.486,0.5453,0.4673,0.5063,0.3905,0.388,0.3892
10,-0.0061,0.5842,0.5775,0.3669,0.5608,0.4639,0.5409,0.4536,0.4973,0.3885,0.3731,0.3808
10.1,-0.0274,0.5775,0.5716,0.3421,0.5447,0.4434,0.5345,0.4425,0.4885,0.3869,0.3593,0.3731
10.2,-0.0532,0.5729,0.5672,0.318,0.5326,0.4253,0.5269,0.4344,0.4806,0.386,0.3463,0.3662
10.3,-0.0828,0.5713,0.5643,0.2953,0.5249,0.4101,0.519,0.4296,0.4743,0.3862,0.3348,0.3605
10.4,-0.1165,0.5732,0.5625,0.2748,0.5214,0.3981,0.5116,0.428,0.4698,0.3881,0.3251,0.3566
10.5,-0.1544,0.5783,0.5615,0.2566,0.5216,0.3891,0.5056,0.4296,0.4676,0.3922,0.3179,0.3551
10.6,-0.1954,0.5859,0.5606,0.2403,0.5251,0.3827,0.502,0.4343,0.4682,0.3983,0.3131,0.3557
10.7,-0.238,0.5953,0.5596,0.2264,0.5318,0.3791,0.5017,0.442,0.4718,0.406,0.3102,0.3581
10.8,-0.2804,0.6064,0.5586,0.2164,0.5417,0.379,0.5048,0.4519,0.4784,0.4148,0.3091,0.362
10.9,-0.3215,0.619,0.5575,0.2119,0.5549,0.3834,0.5113,0.4635,0.4874,0.4249,0.3102,0.3676
11,-0.3615,0.6332,0.5565,0.2148,0.5716,0.3932,0.5211,0.4767,0.4989,0.4364,0.3139,0.3751
11.1,-0.4008,0.6485,0.5556,0.2266,0.5914,0.409,0.5344,0.4921,0.5133,0.4496,0.3199,0.3847
11.2,-0.44,0.664,0.5551,0.2479,0.6142,0.431,0.5508,0.5104,0.5306,0.4643,0.3277,0.396
11.3,-0.4796,0.6789,0.5548,0.2781,0.6396,0.4588,0.5697,0.5318,0.5507,0.4801,0.3364,0.4083
11.4,-0.5196,0.6932,0.5544,0.3153,0.6669,0.4911,0.59,0.5554,0.5727,0.4963,0.345,0.4206
11.5,-0.5589,0.7068,0.5536,0.3574,0.6944,0.5259,0.6109,0.5803,0.5956,0.5118,0.3527,0.4322
11.6,-0.5959,0.7193,0.552,0.4021,0.7198,0.5609,0.6312,0.605,0.6181,0.5256,0.3593,0.4425
11.7,-0.6287,0.7301,0.5497,0.4472,0.7409,0.594,0.6501,0.6285,0.6393,0.5372,0.3649,0.451
11.8,-0.6564,0.7387,0.5472,0.4911,0.7561,0.6236,0.667,0.6502,0.6586,0.5463,0.3703,0.4583
11.9,-0.6787,0.7449,0.5453,0.5323,0.7646,0.6484,0.6815,0.6694,0.6755,0.5534,0.3766,0.465
12,-0.6953,0.7485,0.5438,0.5696,0.7649,0.6672,0.6933,0.6848,0.689,0.5587,0.3844,0.4715
12.1,-0.7047,0.7486,0.5424,0.6021,0.7557,0.6789,0.702,0.6952,0.6986,0.5627,0.394,0.4783
12.2,-0.7051,0.7447,0.5419,0.6294,0.7361,0.6828,0.7074,0.6999,0.7037,0.5662,0.4057,0.486
12.3,-0.6959,0.7362,0.5429,0.6518,0.7059,0.6789,0.7092,0.6989,0.704,0.5696,0.4201,0.4948
12.4,-0.6777,0.7232,0.546,0.6696,0.666,0.6678,0.7073,0.6926,0.6999,0.5733,0.437,0.5051
12.5,-0.6522,0.7066,0.5517,0.6836,0.6186,0.6511,0.7022,0.6819,0.6921,0.5772,0.456,0.5166
12.6,-0.6209,0.6873,0.5601,0.6947,0.5665,0.6306,0.6951,0.6677,0.6814,0.5816,0.4766,0.5291
12.7,-0.5842,0.6664,0.5712,0.7045,0.5132,0.6089,0.6867,0.6509,0.6688,0.5866,0.4977,0.5421
12.8,-0.5411,0.645,0.5847,0.7147,0.4621,0.5884,0.6776,0.6324,0.655,0.5925,0.5188,0.5557
12.9,-0.4915,0.6246,0.6002,0.7262,0.4158,0.571,0.6686,0.6137,0.6412,0.6002,0.5398,0.57
13,-0.4369,0.6065,0.6171,0.7391,0.376,0.5575,0.6609,0.5967,0.6288,0.6104,0.5605,0.5854
13.1,-0.3801,0.592,0.6347,0.7527,0.3434,0.5481,0.6554,0.5826,0.619,0.6233,0.5802,0.6018
13.2,-0.3229,0.5816,0.6525,0.7665,0.3187,0.5426,0.653,0.5721,0.6125,0.6386,0.5984,0.6185
13.3,-0.2665,0.5754,0.6699,0.781,0.3021,0.5415,0.6539,0.5651,0.6095,0.6551,0.6143,0.6347
13.4,-0.2112,0.5731,0.6858,0.7965,0.2936,0.545,0.6573,0.561,0.6092,0.6712,0.6276,0.6494
13.5,-0.1574,0.5739,0.699,0.8132,0.2923,0.5528,0.6624,0.5594,0.6109,0.6856,0.6384,0.662
13.6,-0.1055,0.5766,0.7087,0.8309,0.2965,0.5637,0.6684,0.5596,0.614,0.6982,0.6469,0.6726
13.7,-0.0565,0.5801,0.7144,0.849,0.3046,0.5768,0.6748,0.5611,0.6179,0.7088,0.6536,0.6812
13.8,-0.0121,0.5836,0.7162,0.8665,0.3157,0.5911,0.6813,0.5637,0.6225,0.7176,0.6587,0.6881
13.9,0.0258,0.5862,0.7148,0.8821,0.3295,0.6058,0.6875,0.5675,0.6275,0.7243,0.662,0.6932
14,0.0566,0.5876,0.7116,0.8951,0.3461,0.6206,0.6934,0.5727,0.6331,0.7286,0.6637,0.6962
14.1,0.0808,0.5872,0.7079,0.9064,0.3649,0.6357,0.6986,0.5796,0.6391,0.7302,0.6641,0.6971
14.2,0.0994,0.585,0.7047,0.9163,0.3851,0.6507,0.7028,0.5885,0.6456,0.7289,0.6642,0.6966
14.3,0.1119,0.581,0.7028,0.9239,0.4059,0.6649,0.7058,0.5996,0.6527,0.7251,0.6645,0.6948
14.4,0.1167,0.5751,0.702,0.9271,0.4268,0.677,0.7076,0.6133,0.6604,0.7185,0.6648,0.6917
14.5,0.1138,0.5669,0.7017,0.9242,0.4476,0.6859,0.7073,0.629,0.6682,0.7085,0.6649,0.6867
14.6,0.1059,0.5565,0.7018,0.9148,0.468,0.6914,0.7045,0.6456,0.675,0.6947,0.6651,0.6799
14.7,0.0976,0.5447,0.7024,0.8995,0.4878,0.6936,0.6987,0.6621,0.6804,0.677,0.6665,0.6718
14.8,0.0924,0.5333,0.7048,0.8792,0.5071,0.6932,0.6901,0.6786,0.6843,0.6561,0.6711,0.6636
14.9,0.0911,0.5236,0.7102,0.8549,0.5265,0.6907,0.6791,0.6957,0.6874,0.6326,0.6806,0.6566
