Time,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC,Hyundai - Have You Tried It 30 Competitor TVC
1.7,0.196,0.5688,0.4036,0.4573,0.458,0.4576,0.3836,0.4955,0.4396,0.3469,0.3835,0.3652
1.8,0.1965,0.5703,0.4124,0.4732,0.4613,0.4672,0.3902,0.5032,0.4467,0.3626,0.3873,0.3749
1.9,0.195,0.5724,0.4213,0.4868,0.4659,0.4764,0.3955,0.5102,0.4529,0.3765,0.3901,0.3833
2,0.192,0.5758,0.4311,0.4993,0.4717,0.4855,0.4001,0.5175,0.4588,0.3893,0.3921,0.3907
2.1,0.188,0.581,0.4423,0.5117,0.4791,0.4954,0.4044,0.5256,0.465,0.4014,0.3934,0.3974
2.2,0.1835,0.5882,0.455,0.5251,0.4882,0.5066,0.4082,0.5348,0.4715,0.4137,0.3945,0.4041
2.3,0.1793,0.5971,0.4691,0.5399,0.4995,0.5197,0.4114,0.5449,0.4782,0.427,0.3958,0.4114
2.4,0.1758,0.6074,0.4844,0.5564,0.5129,0.5346,0.4143,0.5557,0.485,0.4417,0.3976,0.4196
2.5,0.1731,0.6192,0.5004,0.5745,0.5282,0.5514,0.4168,0.5666,0.4917,0.4576,0.3999,0.4287
2.6,0.1708,0.6326,0.5166,0.5948,0.5451,0.57,0.4192,0.5777,0.4984,0.4739,0.4027,0.4383
2.7,0.1684,0.6475,0.5324,0.6176,0.5633,0.5904,0.4217,0.5889,0.5053,0.4897,0.4059,0.4478
2.8,0.1659,0.6634,0.5471,0.6428,0.5819,0.6124,0.4242,0.6003,0.5122,0.5044,0.4093,0.4569
2.9,0.1632,0.6797,0.56,0.6701,0.6001,0.6351,0.4269,0.6116,0.5192,0.5179,0.4126,0.4653
3,0.1606,0.6954,0.5707,0.6988,0.6165,0.6577,0.4301,0.6219,0.526,0.5303,0.4158,0.473
3.1,0.1583,0.7096,0.5784,0.7285,0.63,0.6792,0.4343,0.6306,0.5324,0.5416,0.4189,0.4803
3.2,0.1563,0.7216,0.5826,0.7587,0.6405,0.6996,0.4395,0.638,0.5388,0.5517,0.4224,0.4871
3.3,0.1541,0.731,0.5834,0.7892,0.6486,0.7189,0.4455,0.6454,0.5454,0.5603,0.4266,0.4935
3.4,0.1512,0.738,0.581,0.8196,0.6553,0.7375,0.4519,0.6536,0.5528,0.5672,0.4319,0.4996
3.5,0.1477,0.7427,0.5759,0.8493,0.6617,0.7555,0.4584,0.6629,0.5606,0.5724,0.4381,0.5053
3.6,0.1439,0.745,0.5681,0.8771,0.6684,0.7728,0.4645,0.6723,0.5684,0.5757,0.4448,0.5103
3.7,0.1397,0.7441,0.5572,0.9011,0.6749,0.788,0.4702,0.6803,0.5753,0.577,0.4511,0.5141
3.8,0.1349,0.7392,0.5425,0.92,0.6802,0.8001,0.4757,0.686,0.5808,0.5764,0.4566,0.5165
3.9,0.1291,0.7302,0.5242,0.9332,0.6833,0.8082,0.4808,0.689,0.5849,0.5741,0.4608,0.5174
4,0.1236,0.7175,0.503,0.9413,0.6834,0.8124,0.4856,0.6896,0.5876,0.5699,0.4638,0.5168
4.1,0.1207,0.7022,0.4799,0.9451,0.6804,0.8127,0.4899,0.688,0.589,0.5639,0.4656,0.5147
4.2,0.1226,0.6847,0.4562,0.9448,0.674,0.8094,0.494,0.6843,0.5891,0.5558,0.4662,0.511
4.3,0.131,0.6659,0.433,0.9403,0.6643,0.8023,0.4978,0.6788,0.5883,0.546,0.4656,0.5058
4.4,0.1471,0.6462,0.4107,0.9314,0.6516,0.7915,0.5013,0.6719,0.5866,0.5351,0.4635,0.4993
4.5,0.1708,0.6262,0.39,0.9179,0.636,0.7769,0.5039,0.6638,0.5838,0.5231,0.46,0.4915
4.6,0.2012,0.6063,0.3708,0.8998,0.6173,0.7586,0.5054,0.6547,0.5801,0.5099,0.455,0.4824
4.7,0.2364,0.587,0.3531,0.8771,0.5956,0.7363,0.5057,0.6446,0.5752,0.4952,0.4486,0.4719
4.8,0.2742,0.569,0.3365,0.8506,0.5709,0.7108,0.5048,0.6333,0.5691,0.479,0.441,0.46
4.9,0.312,0.5533,0.3214,0.822,0.5447,0.6833,0.503,0.6209,0.562,0.462,0.4326,0.4473
5,0.3479,0.541,0.3089,0.7929,0.519,0.6559,0.5008,0.6085,0.5546,0.4454,0.4238,0.4346
5.1,0.3803,0.5326,0.3004,0.7645,0.4958,0.6302,0.4988,0.5972,0.548,0.4301,0.4148,0.4225
5.2,0.4081,0.5282,0.296,0.738,0.4765,0.6073,0.497,0.5878,0.5424,0.4165,0.4061,0.4113
5.3,0.43,0.5279,0.2952,0.7146,0.4622,0.5884,0.4952,0.5802,0.5377,0.4043,0.3978,0.401
5.4,0.4445,0.5319,0.2977,0.6956,0.4535,0.5745,0.4928,0.5739,0.5334,0.3935,0.3902,0.3919
5.5,0.4504,0.5399,0.3035,0.6817,0.4512,0.5665,0.4898,0.5686,0.5292,0.3842,0.3839,0.3841
5.6,0.4464,0.5514,0.3129,0.6727,0.4558,0.5643,0.4863,0.5641,0.5252,0.3764,0.3792,0.3778
5.7,0.4326,0.5655,0.3265,0.6678,0.4671,0.5674,0.4822,0.5601,0.5212,0.3704,0.3764,0.3734
5.8,0.409,0.5819,0.3443,0.6668,0.4845,0.5756,0.4781,0.556,0.5171,0.366,0.3759,0.3709
5.9,0.3761,0.6001,0.366,0.67,0.5075,0.5888,0.4743,0.5515,0.5129,0.3635,0.3778,0.3706
6,0.3359,0.6197,0.3908,0.6779,0.5355,0.6067,0.4716,0.5461,0.5089,0.3632,0.3821,0.3727
6.1,0.2913,0.6397,0.4177,0.6898,0.5671,0.6284,0.4704,0.5396,0.505,0.3655,0.3886,0.3771
6.2,0.2451,0.6589,0.446,0.7037,0.6004,0.6521,0.4711,0.5313,0.5012,0.3706,0.3967,0.3837
6.3,0.1994,0.6763,0.4747,0.7184,0.6337,0.6761,0.4737,0.521,0.4974,0.3783,0.406,0.3921
6.4,0.1547,0.6913,0.5029,0.7332,0.6662,0.6997,0.4782,0.5089,0.4936,0.3883,0.4157,0.402
6.5,0.111,0.7043,0.5293,0.7481,0.6975,0.7228,0.4847,0.4957,0.4902,0.4002,0.4256,0.4129
6.6,0.0683,0.7154,0.5527,0.763,0.7269,0.7449,0.4929,0.4826,0.4877,0.4132,0.4351,0.4241
6.7,0.0271,0.7242,0.5719,0.7772,0.7528,0.765,0.5025,0.4696,0.4861,0.4263,0.4433,0.4348
6.8,-0.0114,0.7302,0.5856,0.7901,0.7736,0.7818,0.5132,0.4564,0.4848,0.4385,0.4495,0.444
6.9,-0.0465,0.733,0.5931,0.801,0.7882,0.7946,0.5244,0.4423,0.4834,0.4488,0.4525,0.4506
7,-0.0776,0.7324,0.5942,0.8098,0.7965,0.8032,0.5362,0.4271,0.4817,0.456,0.4517,0.4538
7.1,-0.1044,0.7284,0.5892,0.8166,0.7986,0.8076,0.5485,0.4115,0.48,0.4597,0.4471,0.4534
7.2,-0.1261,0.7212,0.579,0.8224,0.7953,0.8088,0.5611,0.3965,0.4788,0.4599,0.4397,0.4498
7.3,-0.1416,0.7116,0.5648,0.8281,0.7873,0.8077,0.5733,0.383,0.4781,0.457,0.4306,0.4438
7.4,-0.1503,0.7001,0.548,0.8334,0.7762,0.8048,0.5844,0.3712,0.4778,0.4514,0.4206,0.436
7.5,-0.1532,0.687,0.5294,0.8371,0.7635,0.8003,0.5932,0.361,0.4771,0.4435,0.4105,0.427
7.6,-0.1529,0.6725,0.5098,0.8376,0.7501,0.7938,0.5987,0.3523,0.4755,0.4333,0.4002,0.4168
7.7,-0.1524,0.6573,0.4892,0.8342,0.7367,0.7854,0.5999,0.3449,0.4724,0.4205,0.3894,0.405
7.8,-0.1542,0.6421,0.4679,0.8273,0.7235,0.7754,0.5964,0.3383,0.4674,0.4051,0.3778,0.3914
7.9,-0.1591,0.6274,0.4458,0.8174,0.7107,0.7641,0.5883,0.3321,0.4602,0.3874,0.3657,0.3765
8,-0.1665,0.6134,0.4232,0.805,0.6984,0.7517,0.576,0.3256,0.4508,0.368,0.3536,0.3608
8.1,-0.1767,0.6001,0.4005,0.7904,0.6866,0.7385,0.5596,0.3188,0.4392,0.348,0.3424,0.3452
8.2,-0.1906,0.5883,0.3785,0.7739,0.6756,0.7248,0.5394,0.3115,0.4254,0.3282,0.3329,0.3306
8.3,-0.2093,0.5785,0.3581,0.7566,0.6665,0.7115,0.5165,0.3041,0.4103,0.3097,0.3259,0.3178
8.4,-0.2329,0.5715,0.3401,0.7392,0.66,0.6996,0.4925,0.297,0.3947,0.2936,0.322,0.3078
8.5,-0.2611,0.5677,0.3252,0.7225,0.6561,0.6893,0.4691,0.2902,0.3797,0.281,0.3219,0.3014
8.6,-0.293,0.5667,0.3136,0.7069,0.6541,0.6805,0.4472,0.2837,0.3655,0.2726,0.3258,0.2992
8.7,-0.3281,0.5682,0.3063,0.6926,0.6531,0.6728,0.4269,0.2775,0.3522,0.2686,0.3339,0.3012
8.8,-0.3657,0.5715,0.3041,0.68,0.6525,0.6662,0.4085,0.2719,0.3402,0.2693,0.3461,0.3077
8.9,-0.4045,0.5759,0.3075,0.6694,0.652,0.6607,0.393,0.2675,0.3302,0.275,0.3621,0.3185
9,-0.4429,0.5807,0.3163,0.6608,0.6513,0.6561,0.3815,0.2647,0.3231,0.2853,0.381,0.3332
9.1,-0.4792,0.5852,0.3296,0.6538,0.6496,0.6517,0.3747,0.2639,0.3193,0.3001,0.4019,0.351
9.2,-0.5122,0.5887,0.3459,0.6477,0.6461,0.6469,0.3723,0.2648,0.3186,0.3188,0.424,0.3714
9.3,-0.5405,0.5909,0.3638,0.6423,0.6405,0.6414,0.3737,0.267,0.3203,0.3406,0.4465,0.3935
9.4,-0.5632,0.5919,0.3823,0.6377,0.6329,0.6353,0.3785,0.2703,0.3244,0.3646,0.4687,0.4167
9.5,-0.5797,0.5913,0.4008,0.6342,0.6238,0.629,0.3864,0.2752,0.3308,0.3897,0.4905,0.4401
9.6,-0.5902,0.5893,0.4189,0.6321,0.6137,0.6229,0.3969,0.2824,0.3396,0.415,0.5115,0.4633
9.7,-0.5957,0.5862,0.4364,0.6317,0.6028,0.6173,0.4089,0.2921,0.3505,0.4395,0.5317,0.4856
9.8,-0.597,0.5822,0.4526,0.6331,0.5915,0.6123,0.4217,0.3041,0.3629,0.4624,0.551,0.5067
9.9,-0.5944,0.5775,0.467,0.6362,0.5798,0.608,0.4352,0.3179,0.3766,0.4831,0.5691,0.5261
10,-0.5867,0.5716,0.479,0.6404,0.5677,0.604,0.4496,0.333,0.3913,0.5011,0.5857,0.5434
10.1,-0.5724,0.5638,0.4883,0.6448,0.5552,0.6,0.4645,0.349,0.4067,0.5161,0.6004,0.5582
10.2,-0.5506,0.554,0.4945,0.6487,0.5427,0.5957,0.4792,0.3654,0.4223,0.5276,0.613,0.5703
10.3,-0.5214,0.5425,0.498,0.6517,0.5312,0.5914,0.4934,0.3822,0.4378,0.5357,0.6233,0.5795
10.4,-0.486,0.5296,0.4987,0.6537,0.5215,0.5876,0.5068,0.3994,0.4531,0.5403,0.6313,0.5858
10.5,-0.4458,0.515,0.4965,0.6548,0.514,0.5844,0.5191,0.4168,0.468,0.5416,0.6371,0.5894
10.6,-0.4022,0.498,0.4912,0.6547,0.5082,0.5814,0.5301,0.4338,0.482,0.5405,0.6409,0.5907
10.7,-0.3569,0.4785,0.4831,0.6529,0.5038,0.5784,0.5392,0.4496,0.4944,0.5374,0.6431,0.5902
10.8,-0.3111,0.457,0.4726,0.6494,0.5012,0.5753,0.5459,0.4634,0.5046,0.5327,0.6437,0.5882
10.9,-0.266,0.4351,0.4603,0.6448,0.5007,0.5728,0.5501,0.4754,0.5128,0.5265,0.6428,0.5847
11,-0.2225,0.4144,0.4465,0.6402,0.5029,0.5715,0.5522,0.4858,0.519,0.5192,0.6403,0.5797
11.1,-0.1815,0.3955,0.4314,0.636,0.5073,0.5716,0.5526,0.4945,0.5236,0.5111,0.6365,0.5738
11.2,-0.1433,0.3788,0.415,0.6323,0.5132,0.5727,0.5518,0.501,0.5264,0.503,0.6321,0.5675
11.3,-0.1081,0.3643,0.3979,0.6289,0.5197,0.5743,0.5497,0.5048,0.5272,0.4956,0.6275,0.5615
11.4,-0.0764,0.3522,0.3808,0.6255,0.526,0.5757,0.546,0.5062,0.5261,0.4892,0.6235,0.5563
11.5,-0.0494,0.343,0.3647,0.6223,0.5319,0.5771,0.5404,0.5058,0.5231,0.484,0.6201,0.5521
11.6,-0.0285,0.3366,0.3505,0.6199,0.5376,0.5787,0.533,0.5037,0.5184,0.4803,0.6175,0.5489
11.7,-0.0137,0.3328,0.3389,0.6186,0.5434,0.581,0.5238,0.5,0.5119,0.4783,0.6154,0.5469
11.8,-0.0041,0.3313,0.3305,0.6187,0.5495,0.5841,0.5128,0.4941,0.5034,0.4778,0.6139,0.5458
11.9,0.0019,0.3325,0.3259,0.6206,0.5554,0.588,0.4999,0.4858,0.4929,0.4786,0.6124,0.5455
12,0.0053,0.3361,0.325,0.6241,0.5606,0.5924,0.485,0.475,0.48,0.4798,0.6105,0.5451
12.1,0.0063,0.3422,0.3266,0.6292,0.5653,0.5972,0.4678,0.4616,0.4647,0.4805,0.6076,0.5441
12.2,0.0053,0.3505,0.3293,0.6358,0.5694,0.6026,0.449,0.4454,0.4472,0.4801,0.6032,0.5417
12.3,0.0024,0.3614,0.3319,0.644,0.5734,0.6087,0.4291,0.4265,0.4278,0.4781,0.5965,0.5373
12.4,-0.0028,0.3748,0.3335,0.6537,0.5777,0.6157,0.4089,0.4053,0.4071,0.4744,0.5871,0.5308
12.5,-0.0103,0.3904,0.334,0.6645,0.5826,0.6236,0.3888,0.3827,0.3857,0.4688,0.5749,0.5219
12.6,-0.02,0.4078,0.3332,0.6763,0.5888,0.6325,0.3692,0.3598,0.3645,0.4616,0.56,0.5108
12.7,-0.0312,0.4262,0.3311,0.689,0.5966,0.6428,0.3507,0.3375,0.3441,0.4528,0.5429,0.4979
12.8,-0.0425,0.4452,0.328,0.7026,0.6058,0.6542,0.334,0.3169,0.3254,0.4428,0.5242,0.4835
12.9,-0.0522,0.4644,0.3246,0.7168,0.6155,0.6661,0.3196,0.2988,0.3092,0.4324,0.5043,0.4683
13,-0.0592,0.4835,0.3211,0.7311,0.6241,0.6776,0.3079,0.2835,0.2957,0.4225,0.4837,0.4531
13.1,-0.0627,0.5023,0.3177,0.7449,0.6313,0.6881,0.2995,0.2708,0.2852,0.4144,0.463,0.4387
13.2,-0.0624,0.5205,0.3146,0.7582,0.6373,0.6977,0.2952,0.2609,0.278,0.4091,0.4429,0.426
13.3,-0.0582,0.5373,0.3124,0.7708,0.6429,0.7069,0.2955,0.2536,0.2746,0.4076,0.4246,0.4161
13.4,-0.0499,0.5524,0.3118,0.7826,0.6484,0.7155,0.3005,0.2493,0.2749,0.4107,0.4091,0.4099
13.5,-0.0383,0.5655,0.3132,0.7931,0.6528,0.723,0.3095,0.2483,0.2789,0.4186,0.397,0.4078
13.6,-0.025,0.5764,0.3166,0.8016,0.6552,0.7284,0.3218,0.2506,0.2862,0.4311,0.388,0.4096
13.7,-0.0121,0.5851,0.3216,0.8078,0.6551,0.7314,0.3369,0.2562,0.2965,0.4469,0.3817,0.4143
13.8,-0.0008,0.5916,0.3274,0.8112,0.6523,0.7317,0.3543,0.265,0.3097,0.4644,0.3774,0.4209
13.9,0.0088,0.5959,0.3333,0.8117,0.6473,0.7295,0.3737,0.2772,0.3254,0.4833,0.3753,0.4293
14,0.0173,0.5985,0.339,0.8096,0.6404,0.725,0.3946,0.2929,0.3438,0.5037,0.3761,0.4399
14.1,0.0244,0.6001,0.3446,0.8057,0.6325,0.7191,0.4169,0.3119,0.3644,0.5257,0.3804,0.453
14.2,0.0297,0.6013,0.35,0.8006,0.6245,0.7126,0.4403,0.3338,0.387,0.5488,0.3883,0.4685
14.3,0.0323,0.6023,0.3548,0.795,0.6171,0.7061,0.4642,0.3578,0.411,0.5721,0.3997,0.4859
14.4,0.031,0.6027,0.3591,0.7886,0.6103,0.6995,0.4875,0.3831,0.4353,0.5948,0.4146,0.5047
14.5,0.0252,0.6021,0.3633,0.7812,0.6034,0.6923,0.5086,0.4082,0.4584,0.6158,0.4329,0.5244
14.6,0.0149,0.6007,0.3677,0.7731,0.5959,0.6845,0.5263,0.432,0.4791,0.6342,0.454,0.5441
14.7,0.0016,0.5993,0.3725,0.7654,0.5879,0.6766,0.5401,0.4538,0.497,0.6492,0.4766,0.5629
14.8,-0.0131,0.5988,0.3783,0.759,0.5798,0.6694,0.5499,0.4737,0.5118,0.6601,0.4995,0.5798
14.9,-0.0284,0.5996,0.3849,0.7543,0.5719,0.6631,0.5556,0.4915,0.5235,0.6668,0.5221,0.5945
15,-0.0444,0.6016,0.3921,0.7507,0.5644,0.6576,0.557,0.5065,0.5318,0.6696,0.5444,0.607
15.1,-0.0612,0.6043,0.3993,0.7476,0.5567,0.6522,0.5538,0.5179,0.5358,0.6687,0.5662,0.6175
15.2,-0.0786,0.6078,0.4061,0.7445,0.5487,0.6466,0.546,0.5254,0.5357,0.664,0.5869,0.6254
15.3,-0.0969,0.6119,0.4122,0.7413,0.54,0.6406,0.5343,0.5295,0.5319,0.6555,0.6058,0.6306
15.4,-0.1158,0.6162,0.4181,0.7378,0.531,0.6344,0.5194,0.5309,0.5251,0.6441,0.6229,0.6335
15.5,-0.1347,0.6198,0.4247,0.7338,0.5218,0.6278,0.5018,0.5303,0.5161,0.6309,0.6385,0.6347
15.6,-0.1526,0.6224,0.4329,0.7293,0.5125,0.6209,0.4824,0.5286,0.5055,0.6169,0.6527,0.6348
15.7,-0.1687,0.6235,0.4433,0.7241,0.503,0.6136,0.4619,0.5264,0.4941,0.6028,0.6653,0.6341
15.8,-0.1819,0.6231,0.456,0.718,0.4932,0.6056,0.4411,0.5246,0.4828,0.5892,0.6759,0.6325
15.9,-0.1914,0.621,0.4706,0.7108,0.4831,0.597,0.4203,0.5236,0.472,0.5762,0.6841,0.6302
16,-0.1965,0.6176,0.4865,0.7028,0.4729,0.5878,0.3997,0.5237,0.4617,0.5642,0.6902,0.6272
16.1,-0.1966,0.6136,0.5036,0.6943,0.4633,0.5788,0.3805,0.5249,0.4527,0.5531,0.6942,0.6237
16.2,-0.1916,0.6101,0.5218,0.6862,0.4556,0.5709,0.3644,0.5277,0.4461,0.5429,0.6963,0.6196
16.3,-0.1816,0.6082,0.5404,0.6793,0.451,0.5652,0.3537,0.5325,0.4431,0.5338,0.6963,0.6151
16.4,-0.1674,0.6081,0.5586,0.6738,0.4501,0.5619,0.3497,0.539,0.4444,0.5257,0.6942,0.6099
16.5,-0.1498,0.6093,0.5756,0.6698,0.4527,0.5613,0.3527,0.5471,0.4499,0.5185,0.69,0.6042
16.6,-0.1291,0.611,0.5905,0.6674,0.4587,0.5631,0.3624,0.5567,0.4596,0.5116,0.6837,0.5977
16.7,-0.105,0.6127,0.6029,0.6664,0.4675,0.567,0.3784,0.5682,0.4733,0.5045,0.6752,0.5898
16.8,-0.0779,0.6138,0.6123,0.6664,0.4783,0.5723,0.4006,0.5817,0.4911,0.4964,0.6639,0.5801
16.9,-0.0486,0.6142,0.6185,0.6663,0.4901,0.5782,0.4282,0.5969,0.5125,0.487,0.6496,0.5683
17,-0.0179,0.6135,0.6208,0.6655,0.5025,0.584,0.4598,0.6128,0.5363,0.4761,0.6327,0.5544
17.1,0.0138,0.6115,0.6191,0.6637,0.5154,0.5896,0.4936,0.6283,0.561,0.4641,0.6144,0.5392
17.2,0.0468,0.6087,0.6142,0.6619,0.5289,0.5954,0.5284,0.6429,0.5856,0.4519,0.5961,0.524
17.3,0.0807,0.6056,0.607,0.6609,0.5431,0.602,0.5631,0.6561,0.6096,0.441,0.5788,0.5099
17.4,0.1141,0.6029,0.5987,0.661,0.5575,0.6092,0.5967,0.6676,0.6321,0.4321,0.5637,0.4979
17.5,0.1446,0.6007,0.5901,0.6616,0.5711,0.6163,0.6279,0.6768,0.6524,0.4252,0.5508,0.488
17.6,0.17,0.599,0.5814,0.662,0.5833,0.6226,0.6555,0.6833,0.6694,0.4194,0.5403,0.4798
17.7,0.1893,0.598,0.573,0.6616,0.5934,0.6275,0.6783,0.6869,0.6826,0.4141,0.5317,0.4729
17.8,0.2026,0.5978,0.5648,0.6606,0.6008,0.6307,0.696,0.688,0.692,0.4088,0.5248,0.4668
17.9,0.2108,0.5987,0.5567,0.6591,0.6048,0.6319,0.7085,0.6865,0.6975,0.4033,0.5194,0.4613
18,0.215,0.6005,0.5485,0.657,0.6047,0.6308,0.7161,0.6824,0.6993,0.3972,0.5152,0.4562
18.1,0.2159,0.6028,0.5395,0.6539,0.6,0.627,0.7192,0.6755,0.6973,0.3905,0.5117,0.4511
18.2,0.2133,0.6046,0.5293,0.6493,0.5907,0.62,0.7174,0.6658,0.6916,0.383,0.5087,0.4458
18.3,0.2067,0.6053,0.5174,0.6422,0.5775,0.6099,0.7106,0.6532,0.6819,0.375,0.5061,0.4406
18.4,0.1964,0.6045,0.5039,0.6323,0.5609,0.5966,0.6986,0.6382,0.6684,0.3671,0.5037,0.4354
18.5,0.1832,0.6023,0.4889,0.6195,0.5418,0.5807,0.6817,0.6211,0.6514,0.3597,0.5012,0.4305
18.6,0.1681,0.5988,0.4732,0.6047,0.5208,0.5627,0.6611,0.6032,0.6321,0.3533,0.4986,0.4259
18.7,0.1524,0.5938,0.4578,0.5888,0.4982,0.5435,0.6383,0.5859,0.6121,0.3483,0.496,0.4221
18.8,0.1375,0.587,0.4433,0.5726,0.4745,0.5235,0.6147,0.5704,0.5925,0.3452,0.4936,0.4194
18.9,0.1245,0.5785,0.4297,0.5563,0.4498,0.5031,0.591,0.5573,0.5741,0.3438,0.4911,0.4174
19,0.1141,0.5685,0.4162,0.54,0.4245,0.4823,0.5675,0.5463,0.5569,0.3436,0.488,0.4158
19.1,0.1061,0.5569,0.4027,0.5234,0.399,0.4612,0.5445,0.5369,0.5407,0.3442,0.4837,0.414
19.2,0.1006,0.5438,0.3895,0.5067,0.3741,0.4404,0.522,0.5288,0.5254,0.3453,0.4781,0.4117
19.3,0.0979,0.529,0.3773,0.4906,0.3504,0.4205,0.5006,0.5219,0.5113,0.3469,0.4716,0.4092
19.4,0.0982,0.5127,0.3672,0.4756,0.3287,0.4021,0.4808,0.5165,0.4987,0.349,0.465,0.407
19.5,0.1012,0.4953,0.3597,0.4624,0.3091,0.3858,0.4635,0.5125,0.488,0.352,0.4594,0.4057
19.6,0.1068,0.4772,0.3551,0.4513,0.2916,0.3714,0.4492,0.5097,0.4795,0.3564,0.4557,0.4061
19.7,0.1148,0.4582,0.3534,0.442,0.2757,0.3589,0.4379,0.5076,0.4727,0.3627,0.4546,0.4086
19.8,0.1252,0.4378,0.355,0.4341,0.2614,0.3477,0.4292,0.5056,0.4674,0.3707,0.4566,0.4136
19.9,0.1372,0.416,0.3602,0.4272,0.2492,0.3382,0.4231,0.5036,0.4633,0.3804,0.4618,0.4211
20,0.1496,0.3938,0.3692,0.4219,0.2402,0.3311,0.4195,0.5019,0.4607,0.392,0.4705,0.4313
20.1,0.1607,0.3729,0.3818,0.4188,0.2353,0.327,0.4185,0.5003,0.4594,0.4057,0.4832,0.4445
20.2,0.1688,0.3541,0.3976,0.4181,0.2346,0.3264,0.4201,0.4985,0.4593,0.422,0.5001,0.461
20.3,0.1736,0.3376,0.4157,0.4204,0.2378,0.3291,0.4239,0.496,0.46,0.4405,0.5208,0.4807
20.4,0.1752,0.3234,0.4351,0.4257,0.2444,0.3351,0.4293,0.4925,0.4609,0.4609,0.5445,0.5027
20.5,0.1739,0.3124,0.4552,0.4348,0.2548,0.3448,0.4354,0.488,0.4617,0.4821,0.5691,0.5256
20.6,0.1697,0.3058,0.4749,0.4483,0.2694,0.3589,0.4418,0.483,0.4624,0.5033,0.5929,0.5481
20.7,0.1629,0.3045,0.4933,0.4659,0.2879,0.3769,0.4473,0.4774,0.4624,0.5235,0.6143,0.5689
20.8,0.1541,0.3079,0.5091,0.4861,0.309,0.3976,0.4511,0.471,0.4611,0.542,0.6324,0.5872
20.9,0.1447,0.3146,0.521,0.5077,0.3307,0.4192,0.4524,0.4632,0.4578,0.5576,0.6463,0.602
21,0.1365,0.3232,0.5284,0.5295,0.3513,0.4404,0.4506,0.4538,0.4522,0.5696,0.6556,0.6126
