Time,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC,Uber Eats Tom Felton 15 TVC
1.5,0.1597,0.4616,0.28,0.5451,0.3158,0.4304,0.6082,0.4031,0.5057,0.3675,0.3884,0.3779
1.6,0.1323,0.4684,0.2675,0.5347,0.3395,0.4371,0.6191,0.4132,0.5161,0.3729,0.4019,0.3874
1.7,0.1069,0.4732,0.2547,0.5227,0.3638,0.4432,0.626,0.4208,0.5234,0.3768,0.4134,0.3951
1.8,0.0843,0.476,0.2428,0.5089,0.3873,0.4481,0.6285,0.426,0.5273,0.3794,0.423,0.4012
1.9,0.0655,0.4772,0.2324,0.4938,0.4094,0.4516,0.6268,0.429,0.5279,0.3806,0.4305,0.4055
2,0.0509,0.4772,0.2241,0.4773,0.4296,0.4534,0.6211,0.4302,0.5257,0.3803,0.4362,0.4083
2.1,0.0409,0.476,0.2182,0.4596,0.4471,0.4533,0.6116,0.4301,0.5209,0.3786,0.4403,0.4094
2.2,0.0357,0.4732,0.2145,0.4407,0.4611,0.4509,0.5985,0.429,0.5138,0.3755,0.443,0.4093
2.3,0.0349,0.4691,0.2129,0.4213,0.471,0.4461,0.5819,0.427,0.5045,0.3715,0.4447,0.4081
2.4,0.0382,0.4641,0.2133,0.4019,0.4764,0.4391,0.5624,0.4243,0.4933,0.3669,0.4455,0.4062
2.5,0.0453,0.4588,0.216,0.3835,0.4773,0.4304,0.5409,0.421,0.4809,0.3619,0.4454,0.4037
2.6,0.0552,0.4532,0.2215,0.3664,0.4741,0.4202,0.5184,0.4176,0.468,0.3574,0.4445,0.4009
2.7,0.0665,0.4469,0.23,0.3508,0.4673,0.409,0.496,0.4146,0.4553,0.3538,0.4428,0.3983
2.8,0.0779,0.4395,0.2407,0.3369,0.4576,0.3973,0.4749,0.4126,0.4437,0.3518,0.4403,0.396
2.9,0.0885,0.4311,0.2528,0.325,0.4458,0.3854,0.4563,0.4118,0.434,0.3518,0.4371,0.3944
3,0.0973,0.4223,0.2652,0.3153,0.4326,0.374,0.441,0.4119,0.4265,0.3537,0.433,0.3934
3.1,0.1036,0.4136,0.2774,0.3081,0.4192,0.3636,0.4292,0.4129,0.421,0.3576,0.4283,0.3929
3.2,0.106,0.4058,0.2887,0.3035,0.4072,0.3553,0.4209,0.4146,0.4178,0.3632,0.4233,0.3932
3.3,0.1041,0.3994,0.2986,0.3022,0.3982,0.3502,0.4166,0.4176,0.4171,0.3708,0.419,0.3949
3.4,0.0979,0.3951,0.3066,0.3052,0.3936,0.3494,0.4173,0.4224,0.4198,0.381,0.4167,0.3989
3.5,0.0883,0.3934,0.3126,0.3135,0.394,0.3538,0.4239,0.4295,0.4267,0.3945,0.4174,0.4059
3.6,0.0764,0.3942,0.3168,0.327,0.399,0.363,0.4358,0.4391,0.4375,0.4108,0.4218,0.4163
3.7,0.0629,0.3973,0.3193,0.345,0.408,0.3765,0.4516,0.4508,0.4512,0.4291,0.4293,0.4292
3.8,0.0487,0.402,0.3199,0.3668,0.4205,0.3937,0.4689,0.464,0.4664,0.4478,0.4389,0.4433
3.9,0.035,0.4079,0.3184,0.3913,0.4359,0.4136,0.4863,0.478,0.4822,0.4656,0.4492,0.4574
4,0.0237,0.4148,0.3143,0.4177,0.4526,0.4352,0.5032,0.492,0.4976,0.4814,0.4591,0.4703
4.1,0.017,0.422,0.307,0.4446,0.4691,0.4568,0.5194,0.5048,0.5121,0.4947,0.4678,0.4812
4.2,0.0163,0.429,0.2963,0.4702,0.4834,0.4768,0.5344,0.5149,0.5247,0.5051,0.4746,0.4898
4.3,0.0218,0.4353,0.2828,0.4932,0.4948,0.494,0.5475,0.5212,0.5343,0.5121,0.4792,0.4956
4.4,0.0331,0.4406,0.2677,0.5129,0.5027,0.5078,0.5579,0.5235,0.5407,0.5154,0.4814,0.4984
4.5,0.0496,0.4447,0.2521,0.5295,0.5068,0.5181,0.5661,0.5222,0.5441,0.5152,0.4815,0.4983
4.6,0.0706,0.4479,0.2365,0.5435,0.5069,0.5252,0.5733,0.5177,0.5455,0.5121,0.4792,0.4957
4.7,0.0951,0.45,0.2211,0.5555,0.5024,0.5289,0.5807,0.5107,0.5457,0.5071,0.475,0.491
4.8,0.1214,0.4509,0.2068,0.5649,0.4934,0.5292,0.5884,0.5023,0.5453,0.5009,0.4689,0.4849
4.9,0.1477,0.4505,0.1946,0.5715,0.4803,0.5259,0.5965,0.4935,0.545,0.4938,0.4615,0.4777
5,0.1729,0.4489,0.1853,0.5746,0.4641,0.5194,0.605,0.4855,0.5453,0.4859,0.4531,0.4695
5.1,0.197,0.4467,0.1787,0.5743,0.4457,0.51,0.6144,0.479,0.5467,0.4769,0.4439,0.4604
5.2,0.2205,0.4442,0.1742,0.5711,0.426,0.4986,0.6252,0.4742,0.5497,0.4669,0.4344,0.4506
5.3,0.2425,0.4418,0.1708,0.5656,0.4059,0.4857,0.6372,0.4711,0.5541,0.4563,0.425,0.4406
5.4,0.2612,0.4396,0.1681,0.5581,0.3865,0.4723,0.65,0.4696,0.5598,0.4458,0.4164,0.4311
5.5,0.2748,0.4377,0.1661,0.5488,0.3688,0.4588,0.6633,0.47,0.5667,0.4362,0.4092,0.4227
5.6,0.2827,0.436,0.1653,0.5383,0.3535,0.4459,0.6771,0.4724,0.5748,0.4282,0.4041,0.4162
5.7,0.2853,0.4349,0.166,0.5268,0.3414,0.4341,0.6915,0.4771,0.5843,0.422,0.4014,0.4117
5.8,0.2834,0.4342,0.1687,0.5142,0.3325,0.4233,0.7061,0.4839,0.595,0.4173,0.4011,0.4092
5.9,0.2773,0.4334,0.1732,0.5003,0.3269,0.4136,0.7197,0.4929,0.6063,0.4134,0.4028,0.4081
6,0.2671,0.432,0.1791,0.4849,0.3247,0.4048,0.7312,0.5035,0.6173,0.4094,0.4059,0.4077
6.1,0.2528,0.4296,0.1857,0.4684,0.3261,0.3973,0.7393,0.5144,0.6269,0.4042,0.4094,0.4068
6.2,0.2349,0.4266,0.1924,0.4516,0.3312,0.3914,0.7438,0.5239,0.6339,0.3972,0.4128,0.405
6.3,0.2142,0.4235,0.1989,0.4354,0.3396,0.3875,0.7446,0.5305,0.6375,0.3885,0.416,0.4023
6.4,0.1913,0.4206,0.2058,0.4201,0.3515,0.3858,0.7416,0.5334,0.6375,0.3787,0.4195,0.3991
6.5,0.1671,0.4183,0.2136,0.4062,0.3668,0.3865,0.7351,0.5329,0.634,0.3687,0.4239,0.3963
6.6,0.1424,0.4168,0.2234,0.3941,0.3854,0.3898,0.7258,0.5296,0.6277,0.3592,0.4296,0.3944
6.7,0.1183,0.4161,0.2358,0.3844,0.4067,0.3955,0.7138,0.524,0.6189,0.3508,0.4368,0.3938
6.8,0.0955,0.416,0.2513,0.377,0.4292,0.4031,0.699,0.5156,0.6073,0.3435,0.4451,0.3943
6.9,0.0736,0.4161,0.2697,0.3713,0.4518,0.4116,0.6808,0.5042,0.5925,0.3376,0.4543,0.3959
7,0.0516,0.4165,0.2904,0.3665,0.4736,0.42,0.6581,0.4898,0.5739,0.3326,0.4634,0.398
7.1,0.0285,0.4169,0.3118,0.362,0.4941,0.428,0.6304,0.4726,0.5515,0.3279,0.4714,0.3997
7.2,0.0044,0.4175,0.3324,0.3579,0.5129,0.4354,0.5985,0.4527,0.5256,0.3229,0.4771,0.4
7.3,-0.0198,0.4183,0.3508,0.3544,0.5293,0.4419,0.5643,0.4304,0.4973,0.3171,0.4799,0.3985
7.4,-0.0431,0.419,0.3662,0.352,0.5424,0.4472,0.5296,0.4059,0.4677,0.3105,0.4799,0.3952
7.5,-0.0655,0.4194,0.3786,0.3511,0.5512,0.4511,0.4961,0.3802,0.4382,0.3037,0.4776,0.3907
7.6,-0.0869,0.4194,0.3885,0.3517,0.5561,0.4539,0.465,0.3552,0.4101,0.2971,0.4738,0.3855
7.7,-0.1073,0.4193,0.3965,0.3542,0.5575,0.4558,0.4373,0.3327,0.385,0.2909,0.469,0.38
7.8,-0.1258,0.419,0.403,0.3589,0.5559,0.4574,0.4141,0.3138,0.364,0.2852,0.4635,0.3743
7.9,-0.1415,0.4185,0.4086,0.3662,0.5516,0.4589,0.3967,0.2996,0.3482,0.2799,0.4575,0.3687
8,-0.154,0.4176,0.4133,0.3764,0.5453,0.4608,0.3858,0.2912,0.3385,0.2752,0.4514,0.3633
8.1,-0.1638,0.4168,0.4169,0.3899,0.538,0.4639,0.3815,0.2895,0.3355,0.271,0.4454,0.3582
8.2,-0.1714,0.4169,0.4188,0.4068,0.531,0.4689,0.3834,0.2949,0.3391,0.2671,0.4397,0.3534
8.3,-0.1769,0.4183,0.4184,0.427,0.5253,0.4761,0.3907,0.3067,0.3487,0.2635,0.4345,0.349
8.4,-0.1792,0.4206,0.4155,0.4495,0.5204,0.4849,0.4031,0.3238,0.3634,0.2604,0.4298,0.3451
8.5,-0.1773,0.4226,0.41,0.4729,0.5155,0.4942,0.4198,0.3451,0.3824,0.258,0.426,0.342
8.6,-0.1709,0.4231,0.4022,0.4958,0.5096,0.5027,0.44,0.3696,0.4048,0.2569,0.4235,0.3402
8.7,-0.1607,0.4217,0.3927,0.5166,0.5022,0.5094,0.4627,0.3969,0.4298,0.2572,0.4228,0.34
8.8,-0.1484,0.4186,0.3822,0.5339,0.4929,0.5134,0.4869,0.4263,0.4566,0.259,0.4243,0.3416
8.9,-0.1351,0.4146,0.3718,0.5467,0.4814,0.5141,0.5117,0.457,0.4843,0.2621,0.4282,0.3451
9,-0.1216,0.4098,0.3624,0.5543,0.4671,0.5107,0.5361,0.4876,0.5118,0.266,0.4345,0.3503
9.1,-0.1081,0.4048,0.3542,0.5566,0.4498,0.5032,0.5592,0.5169,0.538,0.2707,0.4429,0.3568
9.2,-0.0946,0.3999,0.3469,0.554,0.4293,0.4917,0.5801,0.5438,0.562,0.2758,0.453,0.3644
9.3,-0.0811,0.3962,0.3402,0.5476,0.4058,0.4767,0.5985,0.5671,0.5828,0.2814,0.4646,0.373
9.4,-0.0675,0.3946,0.3343,0.5385,0.3803,0.4594,0.6145,0.586,0.6003,0.2877,0.4778,0.3827
9.5,-0.0539,0.3957,0.3303,0.5283,0.3543,0.4413,0.6285,0.6003,0.6144,0.295,0.4926,0.3938
9.6,-0.0407,0.3996,0.3295,0.5183,0.3298,0.424,0.6408,0.6107,0.6258,0.3036,0.5095,0.4065
9.7,-0.0281,0.4061,0.333,0.5093,0.3091,0.4092,0.6515,0.6185,0.635,0.3134,0.5284,0.4209
9.8,-0.017,0.4149,0.3409,0.5015,0.2939,0.3977,0.66,0.6249,0.6424,0.3243,0.549,0.4366
9.9,-0.0075,0.4259,0.3523,0.4949,0.285,0.39,0.6657,0.6303,0.648,0.3358,0.5705,0.4531
10,0.0004,0.438,0.3659,0.4896,0.2818,0.3857,0.6678,0.6346,0.6512,0.3474,0.5921,0.4698
10.1,0.0069,0.45,0.3808,0.4853,0.2828,0.384,0.6657,0.6372,0.6514,0.3588,0.6134,0.4861
10.2,0.0122,0.4608,0.3962,0.4819,0.2866,0.3842,0.6592,0.6379,0.6485,0.3697,0.634,0.5019
10.3,0.0162,0.4701,0.4117,0.4793,0.2925,0.3859,0.6486,0.637,0.6428,0.3799,0.6537,0.5168
10.4,0.0193,0.4776,0.4267,0.4773,0.2991,0.3882,0.6352,0.6346,0.6349,0.3893,0.6721,0.5307
10.5,0.023,0.4832,0.4409,0.4755,0.3046,0.3901,0.6201,0.6306,0.6253,0.3973,0.6886,0.5429
10.6,0.0281,0.4865,0.4542,0.4737,0.3075,0.3906,0.6046,0.625,0.6148,0.4036,0.7023,0.553
10.7,0.035,0.487,0.4672,0.4714,0.3066,0.389,0.5893,0.6181,0.6037,0.408,0.7129,0.5605
10.8,0.0427,0.4845,0.4806,0.4681,0.3014,0.3847,0.5743,0.6103,0.5923,0.4103,0.7204,0.5653
10.9,0.0499,0.4792,0.495,0.4634,0.2927,0.3781,0.5597,0.6022,0.5809,0.4101,0.7251,0.5676
11,0.0554,0.4716,0.5105,0.4574,0.2819,0.3697,0.5456,0.5946,0.5701,0.4074,0.7269,0.5672
11.1,0.0582,0.4624,0.5266,0.4504,0.2701,0.3603,0.5326,0.5875,0.56,0.4024,0.7257,0.564
11.2,0.0581,0.452,0.5428,0.4424,0.2583,0.3503,0.5211,0.5808,0.551,0.3948,0.721,0.5579
11.3,0.0554,0.4413,0.5584,0.4335,0.2468,0.3401,0.511,0.5742,0.5426,0.3852,0.7129,0.549
11.4,0.0505,0.4304,0.5728,0.4232,0.2357,0.3295,0.5019,0.5674,0.5346,0.3739,0.7016,0.5378
11.5,0.0442,0.4195,0.5859,0.4113,0.2251,0.3182,0.4932,0.56,0.5266,0.3618,0.6881,0.525
11.6,0.0372,0.4084,0.5974,0.398,0.2148,0.3064,0.4843,0.5518,0.518,0.3498,0.6733,0.5115
11.7,0.0298,0.397,0.6074,0.3832,0.2049,0.294,0.4752,0.5429,0.509,0.3384,0.6579,0.4981
11.8,0.0227,0.3853,0.6159,0.3666,0.1953,0.281,0.4658,0.5341,0.5,0.3281,0.6425,0.4853
11.9,0.017,0.3738,0.6226,0.3486,0.1861,0.2673,0.4565,0.5262,0.4913,0.3191,0.6277,0.4734
12,0.0135,0.3632,0.6266,0.33,0.1775,0.2537,0.447,0.5193,0.4831,0.3111,0.6135,0.4623
12.1,0.0133,0.3543,0.6262,0.3123,0.1696,0.2409,0.4375,0.5126,0.475,0.3037,0.5995,0.4516
12.2,0.0165,0.3472,0.6197,0.297,0.1628,0.2299,0.4275,0.5056,0.4666,0.2969,0.5853,0.4411
12.3,0.0232,0.3422,0.607,0.2851,0.1574,0.2213,0.4171,0.4979,0.4575,0.291,0.5709,0.431
12.4,0.0336,0.3389,0.5887,0.2768,0.1538,0.2153,0.4062,0.4898,0.448,0.2863,0.5565,0.4214
12.5,0.0485,0.337,0.5658,0.2724,0.1519,0.2122,0.3953,0.4817,0.4385,0.2829,0.5426,0.4128
12.6,0.068,0.3366,0.5393,0.2726,0.1519,0.2123,0.3851,0.4741,0.4296,0.281,0.5294,0.4052
12.7,0.0906,0.3373,0.5102,0.2776,0.1539,0.2158,0.3762,0.467,0.4216,0.2804,0.5168,0.3986
12.8,0.1138,0.3385,0.4793,0.2865,0.1578,0.2221,0.3686,0.4606,0.4146,0.2814,0.5046,0.393
12.9,0.1348,0.3392,0.4477,0.2974,0.163,0.2302,0.3619,0.4546,0.4083,0.2838,0.4921,0.388
13,0.152,0.3384,0.4166,0.308,0.1687,0.2384,0.3555,0.4489,0.4022,0.2877,0.479,0.3833
13.1,0.1654,0.3356,0.3866,0.3163,0.1736,0.2449,0.3488,0.4431,0.396,0.2928,0.4646,0.3787
13.2,0.1751,0.3307,0.3585,0.3213,0.1766,0.2489,0.342,0.4366,0.3893,0.2989,0.449,0.374
13.3,0.1809,0.3237,0.3329,0.3231,0.1769,0.25,0.3361,0.4294,0.3828,0.3062,0.433,0.3696
13.4,0.1824,0.3144,0.3113,0.3214,0.1737,0.2475,0.3323,0.4221,0.3772,0.3149,0.4176,0.3663
13.5,0.1793,0.3026,0.2947,0.3154,0.1665,0.241,0.3311,0.4152,0.3731,0.3251,0.4032,0.3642
13.6,0.171,0.2882,0.2833,0.3049,0.1557,0.2303,0.3322,0.4087,0.3705,0.3362,0.3899,0.3631
13.7,0.1569,0.2714,0.2766,0.2898,0.1425,0.2161,0.335,0.4029,0.3689,0.3477,0.3772,0.3625
13.8,0.1358,0.2525,0.2741,0.2697,0.1281,0.1989,0.3388,0.3978,0.3683,0.3585,0.3645,0.3615
13.9,0.1068,0.2312,0.2755,0.2449,0.1135,0.1792,0.343,0.3937,0.3684,0.3679,0.3517,0.3598
14,0.0689,0.2077,0.2805,0.216,0.1,0.158,0.3478,0.391,0.3694,0.3754,0.3391,0.3573
14.1,0.0213,0.1821,0.289,0.1842,0.0885,0.1364,0.3538,0.3899,0.3718,0.3813,0.3276,0.3544
14.2,-0.0358,0.1549,0.3,0.1513,0.0801,0.1157,0.3616,0.39,0.3758,0.386,0.3181,0.3521
14.3,-0.1008,0.1271,0.3132,0.119,0.0753,0.0971,0.3715,0.3909,0.3812,0.3904,0.3114,0.3509
14.4,-0.1711,0.0993,0.3282,0.0878,0.0738,0.0808,0.3832,0.3923,0.3877,0.3957,0.3082,0.352
14.5,-0.2426,0.0719,0.3445,0.0577,0.075,0.0664,0.3963,0.393,0.3947,0.4026,0.3087,0.3556
14.6,-0.3107,0.0446,0.3614,0.0284,0.0779,0.0532,0.41,0.3924,0.4012,0.4109,0.3132,0.362
14.7,-0.371,0.018,0.378,-0.0001,0.0819,0.0409,0.4237,0.3909,0.4073,0.4206,0.3217,0.3711
14.8,-0.4194,-0.0074,0.3935,-0.027,0.087,0.03,0.4377,0.3898,0.4138,0.4317,0.3348,0.3832
14.9,-0.4519,-0.0302,0.4069,-0.0506,0.0934,0.0214,0.4527,0.3911,0.4219,0.4445,0.3525,0.3985
