Time,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC,ASB Home Loans  Cold Feet 15 TVC
6.9,0.0729,0.5379,0.3965,0.5691,0.4137,0.4914,0.5554,0.6141,0.5848,0.5168,0.5772,0.547
7,0.0623,0.546,0.4132,0.6005,0.4351,0.5178,0.5786,0.6297,0.6042,0.5112,0.5746,0.5429
7.1,0.0475,0.5536,0.4297,0.6317,0.4577,0.5447,0.601,0.6458,0.6234,0.5071,0.5733,0.5402
7.2,0.0297,0.5608,0.4455,0.6616,0.4807,0.5712,0.6222,0.6612,0.6417,0.5046,0.5737,0.5391
7.3,0.0098,0.5677,0.4607,0.6894,0.5034,0.5964,0.6423,0.676,0.6592,0.5042,0.5769,0.5405
7.4,-0.0121,0.5746,0.4756,0.7143,0.5247,0.6195,0.6617,0.6906,0.6762,0.5068,0.5836,0.5452
7.5,-0.036,0.5808,0.4904,0.7358,0.543,0.6394,0.6805,0.705,0.6928,0.5129,0.5943,0.5536
7.6,-0.0618,0.5851,0.505,0.7527,0.5565,0.6546,0.6984,0.7183,0.7083,0.5224,0.6087,0.5656
7.7,-0.0894,0.5868,0.5193,0.7629,0.5644,0.6636,0.7149,0.7294,0.7222,0.5356,0.6266,0.5811
7.8,-0.1184,0.5863,0.5333,0.7649,0.5675,0.6662,0.7298,0.738,0.7339,0.5526,0.6474,0.6
7.9,-0.148,0.5848,0.5472,0.7575,0.5675,0.6625,0.7428,0.7444,0.7436,0.5723,0.67,0.6212
8,-0.1769,0.5834,0.5614,0.7409,0.5657,0.6533,0.7532,0.7494,0.7513,0.593,0.6929,0.6429
8.1,-0.2031,0.5827,0.5757,0.7165,0.5631,0.6398,0.7604,0.7532,0.7568,0.6131,0.7145,0.6638
8.2,-0.2258,0.5827,0.5896,0.6865,0.5607,0.6236,0.7636,0.7552,0.7594,0.6313,0.7344,0.6828
8.3,-0.2456,0.5832,0.6027,0.653,0.5599,0.6064,0.7625,0.7551,0.7588,0.6477,0.7524,0.7
8.4,-0.2642,0.5843,0.6147,0.6172,0.5615,0.5894,0.7567,0.7529,0.7548,0.6624,0.7685,0.7154
8.5,-0.2821,0.5863,0.6251,0.5802,0.5655,0.5728,0.7459,0.7484,0.7471,0.675,0.7819,0.7285
8.6,-0.2984,0.5895,0.6332,0.543,0.5707,0.5569,0.7295,0.7414,0.7355,0.6846,0.7912,0.7379
8.7,-0.3119,0.5943,0.6378,0.5076,0.5762,0.5419,0.7069,0.7317,0.7193,0.6905,0.7949,0.7427
8.8,-0.3223,0.6007,0.6373,0.4753,0.5812,0.5283,0.6773,0.7199,0.6986,0.6924,0.7931,0.7428
8.9,-0.3296,0.6082,0.6309,0.447,0.5846,0.5158,0.6401,0.7063,0.6732,0.691,0.7865,0.7388
9,-0.3336,0.616,0.6189,0.4232,0.5852,0.5042,0.5958,0.6912,0.6435,0.6877,0.776,0.7319
9.1,-0.3324,0.6237,0.6022,0.4052,0.5823,0.4938,0.5464,0.6746,0.6105,0.6842,0.762,0.7231
9.2,-0.3243,0.6314,0.5814,0.3949,0.5762,0.4855,0.4954,0.6566,0.576,0.6817,0.7445,0.7131
9.3,-0.3084,0.6392,0.5569,0.3932,0.5673,0.4803,0.4461,0.6376,0.5418,0.6811,0.7236,0.7024
9.4,-0.2845,0.647,0.5289,0.4003,0.5562,0.4782,0.401,0.6179,0.5094,0.6822,0.6999,0.691
9.5,-0.2528,0.6548,0.4983,0.4155,0.543,0.4793,0.3619,0.5982,0.48,0.684,0.6743,0.6792
9.6,-0.2139,0.6624,0.4661,0.4386,0.528,0.4833,0.3297,0.5788,0.4542,0.686,0.6478,0.6669
9.7,-0.1683,0.6697,0.4334,0.4689,0.5118,0.4903,0.3048,0.5597,0.4322,0.6877,0.6208,0.6543
9.8,-0.1172,0.6762,0.4009,0.5061,0.495,0.5006,0.2872,0.5403,0.4137,0.689,0.5942,0.6416
9.9,-0.0632,0.6813,0.3687,0.5492,0.4776,0.5134,0.2761,0.5201,0.3981,0.6899,0.5683,0.6291
10,-0.0086,0.684,0.3373,0.5957,0.4586,0.5272,0.27,0.4988,0.3844,0.6895,0.5431,0.6163
10.1,0.0442,0.6831,0.3071,0.6426,0.4377,0.5402,0.2672,0.4764,0.3718,0.6861,0.5186,0.6023
10.2,0.0934,0.6783,0.279,0.6875,0.4152,0.5513,0.2661,0.4537,0.3599,0.6785,0.4943,0.5864
10.3,0.1378,0.6701,0.2535,0.729,0.3921,0.5605,0.266,0.4315,0.3488,0.6672,0.4703,0.5688
10.4,0.1771,0.6597,0.2316,0.7662,0.3699,0.568,0.2673,0.4109,0.3391,0.654,0.4477,0.5508
10.5,0.2106,0.6487,0.2145,0.7983,0.3504,0.5743,0.2706,0.393,0.3318,0.6403,0.428,0.5342
10.6,0.237,0.6386,0.2034,0.8247,0.3347,0.5797,0.2763,0.3793,0.3278,0.6269,0.4127,0.5198
10.7,0.2545,0.6298,0.1994,0.8452,0.3237,0.5844,0.2842,0.3709,0.3276,0.6141,0.4022,0.5082
10.8,0.2621,0.6223,0.2025,0.8595,0.3175,0.5885,0.2934,0.3685,0.331,0.6018,0.3962,0.499
10.9,0.2601,0.6156,0.2121,0.8677,0.3159,0.5918,0.303,0.3719,0.3374,0.59,0.3942,0.4921
11,0.2504,0.61,0.2276,0.8702,0.3188,0.5945,0.3126,0.3804,0.3465,0.5792,0.3957,0.4875
11.1,0.2352,0.6059,0.2481,0.8684,0.3264,0.5974,0.3229,0.3933,0.3581,0.5695,0.4004,0.485
11.2,0.217,0.6036,0.2722,0.8639,0.339,0.6014,0.3346,0.4097,0.3722,0.5609,0.4084,0.4847
11.3,0.1971,0.6033,0.2986,0.8582,0.3563,0.6072,0.348,0.4285,0.3882,0.5535,0.4196,0.4866
11.4,0.1762,0.6047,0.3261,0.8522,0.377,0.6146,0.3628,0.4481,0.4055,0.5475,0.4336,0.4906
11.5,0.1541,0.6076,0.353,0.8462,0.3995,0.6228,0.379,0.4669,0.4229,0.5432,0.4489,0.496
11.6,0.1304,0.6113,0.3783,0.8397,0.4219,0.6308,0.3962,0.4833,0.4398,0.5403,0.4637,0.502
11.7,0.1049,0.6153,0.4013,0.8317,0.4425,0.6371,0.4139,0.4965,0.4552,0.5387,0.477,0.5078
11.8,0.0786,0.6194,0.4218,0.8218,0.4604,0.6411,0.4311,0.5061,0.4686,0.5385,0.4881,0.5133
11.9,0.0534,0.6234,0.4399,0.8104,0.4747,0.6426,0.4471,0.5123,0.4797,0.54,0.4973,0.5187
12,0.0303,0.6271,0.456,0.7982,0.4848,0.6415,0.4606,0.5158,0.4882,0.5438,0.5045,0.5242
12.1,0.0091,0.6301,0.4704,0.7851,0.4902,0.6376,0.4708,0.5169,0.4938,0.5502,0.5097,0.5299
12.2,-0.012,0.6316,0.4836,0.7705,0.4906,0.6306,0.4769,0.5157,0.4963,0.5591,0.5132,0.5361
12.3,-0.0349,0.631,0.496,0.7534,0.4863,0.6199,0.4781,0.5126,0.4953,0.5708,0.5155,0.5431
12.4,-0.0602,0.6281,0.5084,0.7337,0.4777,0.6057,0.4742,0.5078,0.491,0.5857,0.5173,0.5515
12.5,-0.0874,0.6231,0.5205,0.7117,0.4655,0.5886,0.4652,0.5022,0.4837,0.6036,0.5189,0.5613
12.6,-0.1156,0.6165,0.5313,0.6876,0.4498,0.5687,0.4502,0.4958,0.473,0.6232,0.5205,0.5718
12.7,-0.144,0.6081,0.5401,0.6611,0.4305,0.5458,0.4291,0.4885,0.4588,0.6423,0.5226,0.5824
12.8,-0.1711,0.5978,0.5468,0.6319,0.4079,0.5199,0.4026,0.4798,0.4412,0.6588,0.5261,0.5924
12.9,-0.1964,0.5857,0.5517,0.6003,0.3833,0.4918,0.3726,0.47,0.4213,0.6716,0.5318,0.6017
13,-0.2192,0.5723,0.5554,0.5672,0.3586,0.4629,0.3412,0.4599,0.4005,0.6803,0.5399,0.6101
13.1,-0.2381,0.5582,0.558,0.534,0.3352,0.4346,0.3099,0.45,0.3799,0.685,0.5494,0.6172
13.2,-0.2513,0.5442,0.5601,0.5017,0.3141,0.4079,0.2796,0.4407,0.3601,0.6862,0.5595,0.6229
13.3,-0.257,0.5312,0.5622,0.4717,0.2959,0.3838,0.2511,0.4324,0.3417,0.6848,0.5698,0.6273
13.4,-0.2552,0.5198,0.5648,0.4449,0.2817,0.3633,0.2254,0.4259,0.3257,0.6816,0.5813,0.6315
13.5,-0.247,0.5103,0.5688,0.4221,0.2733,0.3477,0.204,0.4216,0.3128,0.6776,0.5956,0.6366
13.6,-0.2343,0.5026,0.574,0.4039,0.2714,0.3377,0.1879,0.4199,0.3039,0.6733,0.6136,0.6435
13.7,-0.2181,0.4969,0.5802,0.3907,0.2757,0.3332,0.1771,0.4208,0.299,0.669,0.6352,0.6521
13.8,-0.1989,0.4929,0.5869,0.3818,0.2846,0.3332,0.1714,0.424,0.2977,0.6643,0.6592,0.6617
13.9,-0.1772,0.4901,0.5937,0.3766,0.2964,0.3365,0.1698,0.4291,0.2995,0.6587,0.6843,0.6715
14,-0.1538,0.488,0.6008,0.3746,0.3103,0.3425,0.1721,0.4359,0.304,0.6517,0.7097,0.6807
14.1,-0.1298,0.4857,0.6082,0.3757,0.3261,0.3509,0.1777,0.4438,0.3108,0.6428,0.7343,0.6886
14.2,-0.1062,0.4825,0.6153,0.3798,0.3439,0.3618,0.1864,0.4523,0.3194,0.6318,0.7573,0.6946
14.3,-0.0838,0.4777,0.6217,0.3865,0.3629,0.3747,0.1977,0.4603,0.329,0.6183,0.7774,0.6979
14.4,-0.0633,0.4715,0.6264,0.3954,0.3823,0.3888,0.2107,0.4667,0.3387,0.6015,0.7928,0.6972
14.5,-0.0447,0.4642,0.6286,0.4059,0.4008,0.4034,0.2244,0.4706,0.3475,0.5806,0.8019,0.6913
14.6,-0.0277,0.4566,0.6275,0.4177,0.4177,0.4177,0.238,0.4717,0.3549,0.5554,0.8036,0.6795
14.7,-0.0123,0.449,0.6229,0.4301,0.4323,0.4312,0.2511,0.4702,0.3606,0.5264,0.7973,0.6618
14.8,0.0015,0.4412,0.615,0.4425,0.4442,0.4433,0.2633,0.4663,0.3648,0.4942,0.7826,0.6384
14.9,0.0135,0.4331,0.6043,0.4546,0.4537,0.4541,0.2752,0.4599,0.3675,0.4593,0.7601,0.6097
