Time,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps,Subway - Paninis Subs and Wraps
3.1,-0.01,0.8869,0.5603,0.6998,0.6894,0.6946,0.572,0.7461,0.6591,0.484,0.6485,0.5663
3.2,0.0291,0.9041,0.5764,0.7046,0.703,0.7038,0.5754,0.7466,0.661,0.4949,0.6564,0.5757
3.3,0.0686,0.9196,0.5938,0.7082,0.7155,0.7118,0.5812,0.7476,0.6644,0.5066,0.6631,0.5848
3.4,0.1055,0.933,0.6125,0.7102,0.7273,0.7187,0.5886,0.7495,0.669,0.5187,0.669,0.5939
3.5,0.1378,0.9434,0.6315,0.7101,0.7376,0.7238,0.5965,0.7524,0.6744,0.5311,0.6745,0.6028
3.6,0.1649,0.9495,0.6494,0.7071,0.7447,0.7259,0.6047,0.756,0.6803,0.5435,0.6794,0.6115
3.7,0.1879,0.9509,0.6642,0.7012,0.7477,0.7244,0.6135,0.7592,0.6864,0.5558,0.6831,0.6195
3.8,0.2086,0.9472,0.6755,0.6928,0.7463,0.7195,0.6232,0.761,0.6921,0.5676,0.6853,0.6264
3.9,0.2285,0.9383,0.6841,0.6827,0.7405,0.7116,0.6334,0.7609,0.6972,0.5787,0.6858,0.6323
4,0.2477,0.9244,0.6917,0.6717,0.7301,0.7009,0.6437,0.7598,0.7018,0.5894,0.6858,0.6376
4.1,0.266,0.9057,0.6996,0.6602,0.7155,0.6879,0.6535,0.7588,0.7062,0.5994,0.6861,0.6427
4.2,0.2836,0.8828,0.7082,0.6483,0.6974,0.6729,0.6624,0.758,0.7102,0.6083,0.687,0.6476
4.3,0.3013,0.8558,0.7175,0.636,0.677,0.6565,0.6704,0.7574,0.7139,0.6153,0.6882,0.6518
4.4,0.3193,0.8261,0.7272,0.6237,0.6559,0.6398,0.6778,0.7569,0.7174,0.6205,0.6896,0.655
4.5,0.337,0.7949,0.7374,0.6112,0.6354,0.6233,0.6853,0.7565,0.7209,0.6243,0.691,0.6577
4.6,0.353,0.7631,0.7478,0.5988,0.6167,0.6077,0.6927,0.756,0.7244,0.6273,0.6923,0.6598
4.7,0.3669,0.7312,0.7579,0.5859,0.6007,0.5933,0.6999,0.7545,0.7272,0.6296,0.6938,0.6617
4.8,0.3781,0.6998,0.767,0.5723,0.5875,0.5799,0.7066,0.7517,0.7291,0.631,0.6955,0.6633
4.9,0.3865,0.6696,0.7747,0.5579,0.5771,0.5675,0.7125,0.7477,0.7301,0.6316,0.6977,0.6646
5,0.3915,0.6419,0.7812,0.5432,0.5686,0.5559,0.7172,0.7432,0.7302,0.6316,0.7003,0.6659
5.1,0.3931,0.6173,0.7862,0.5288,0.5613,0.5451,0.7203,0.738,0.7292,0.6313,0.7033,0.6673
5.2,0.392,0.5964,0.7899,0.5155,0.5546,0.5351,0.7214,0.7316,0.7265,0.6311,0.707,0.669
5.3,0.3882,0.58,0.7919,0.5043,0.549,0.5267,0.7206,0.7236,0.7221,0.6312,0.7113,0.6713
5.4,0.3821,0.5689,0.7922,0.4968,0.5455,0.5211,0.7184,0.7143,0.7163,0.6317,0.7163,0.674
5.5,0.3737,0.5636,0.7906,0.4937,0.5447,0.5192,0.7153,0.7039,0.7096,0.6326,0.7219,0.6772
5.6,0.3633,0.5641,0.7874,0.495,0.5463,0.5206,0.7119,0.6929,0.7024,0.634,0.728,0.681
5.7,0.3517,0.5696,0.7824,0.4996,0.5493,0.5244,0.708,0.6811,0.6945,0.6359,0.7344,0.6852
5.8,0.3394,0.5794,0.7753,0.5064,0.5525,0.5295,0.7033,0.6686,0.6859,0.6381,0.7408,0.6895
5.9,0.3264,0.5929,0.7658,0.5142,0.5557,0.5349,0.6975,0.6555,0.6765,0.6408,0.7469,0.6939
6,0.3117,0.6097,0.7539,0.5225,0.5585,0.5405,0.6904,0.6421,0.6663,0.6442,0.7522,0.6982
6.1,0.2942,0.6297,0.7401,0.531,0.5609,0.546,0.6828,0.6297,0.6563,0.6487,0.7568,0.7028
6.2,0.2729,0.6523,0.725,0.5398,0.5633,0.5515,0.6749,0.6193,0.6471,0.6553,0.7612,0.7083
6.3,0.2474,0.6761,0.7098,0.5489,0.566,0.5574,0.6673,0.6119,0.6396,0.6641,0.7657,0.7149
6.4,0.2174,0.6997,0.6952,0.5576,0.5693,0.5635,0.6601,0.6077,0.6339,0.6748,0.7705,0.7226
6.5,0.1828,0.7217,0.6821,0.5654,0.5735,0.5695,0.653,0.6069,0.6299,0.6864,0.7752,0.7308
6.6,0.1432,0.7415,0.6706,0.5717,0.5786,0.5751,0.6459,0.6092,0.6276,0.6974,0.7791,0.7383
6.7,0.0989,0.7585,0.6611,0.5758,0.584,0.5799,0.6384,0.6146,0.6265,0.707,0.7818,0.7444
6.8,0.0515,0.7718,0.6536,0.5768,0.589,0.5829,0.6308,0.6224,0.6266,0.7147,0.783,0.7488
6.9,0.0031,0.7809,0.6483,0.5745,0.5933,0.5839,0.6233,0.6318,0.6275,0.7199,0.7828,0.7513
7,-0.0442,0.7857,0.6455,0.5695,0.5973,0.5834,0.6164,0.642,0.6292,0.7223,0.7813,0.7518
7.1,-0.0894,0.7872,0.645,0.563,0.6014,0.5822,0.6106,0.653,0.6318,0.7221,0.779,0.7505
7.2,-0.1322,0.7865,0.6471,0.5559,0.6059,0.5809,0.606,0.6645,0.6352,0.7195,0.7765,0.748
7.3,-0.173,0.7845,0.6516,0.549,0.6104,0.5797,0.6028,0.6764,0.6396,0.7148,0.7748,0.7448
7.4,-0.2126,0.7815,0.6579,0.542,0.6145,0.5782,0.6009,0.6881,0.6445,0.708,0.774,0.741
7.5,-0.2507,0.7774,0.6651,0.5345,0.6181,0.5763,0.6003,0.6985,0.6494,0.6989,0.7736,0.7362
7.6,-0.287,0.7723,0.6721,0.5263,0.6211,0.5737,0.6009,0.7068,0.6539,0.6877,0.7729,0.7303
7.7,-0.3209,0.7667,0.6785,0.5179,0.6237,0.5708,0.6029,0.7128,0.6578,0.6753,0.7716,0.7234
7.8,-0.3526,0.7617,0.6839,0.5103,0.626,0.5682,0.6066,0.7165,0.6616,0.6632,0.7703,0.7167
7.9,-0.3818,0.7576,0.6885,0.5044,0.6274,0.5659,0.6117,0.7182,0.6649,0.6528,0.7693,0.711
8,-0.4073,0.7543,0.6918,0.5004,0.6267,0.5635,0.6171,0.7174,0.6673,0.6445,0.7687,0.7066
8.1,-0.4274,0.751,0.6933,0.4981,0.6224,0.5603,0.6219,0.7138,0.6679,0.638,0.7682,0.7031
8.2,-0.441,0.7475,0.6927,0.4973,0.6139,0.5556,0.6255,0.7074,0.6665,0.633,0.7674,0.7002
8.3,-0.448,0.7437,0.69,0.4981,0.6013,0.5497,0.6279,0.6989,0.6634,0.6293,0.7656,0.6975
8.4,-0.4486,0.7393,0.6855,0.5007,0.5857,0.5432,0.6295,0.6886,0.6591,0.6272,0.7628,0.695
8.5,-0.4428,0.7339,0.6797,0.5049,0.5679,0.5364,0.6304,0.6769,0.6537,0.6268,0.7589,0.6929
8.6,-0.4304,0.7273,0.6725,0.51,0.5483,0.5291,0.631,0.6638,0.6474,0.6279,0.7538,0.6909
8.7,-0.4123,0.7191,0.6637,0.5155,0.5274,0.5214,0.6315,0.6496,0.6406,0.63,0.7473,0.6886
8.8,-0.3898,0.7094,0.6536,0.5209,0.5055,0.5132,0.6322,0.635,0.6336,0.6325,0.739,0.6858
8.9,-0.3646,0.6981,0.6425,0.5252,0.4833,0.5043,0.6328,0.6204,0.6266,0.6355,0.7288,0.6821
9,-0.3383,0.6847,0.6312,0.5276,0.4609,0.4942,0.6326,0.6066,0.6196,0.6387,0.7168,0.6778
9.1,-0.3118,0.6688,0.6205,0.5276,0.4381,0.4829,0.6311,0.5939,0.6125,0.6423,0.7033,0.6728
9.2,-0.2857,0.6509,0.611,0.5256,0.4147,0.4702,0.6291,0.583,0.6061,0.6465,0.6888,0.6676
9.3,-0.2597,0.6321,0.6032,0.5226,0.3911,0.4568,0.6281,0.5745,0.6013,0.652,0.6741,0.663
9.4,-0.2338,0.614,0.5979,0.5197,0.3682,0.4439,0.6293,0.5689,0.5991,0.659,0.6603,0.6596
9.5,-0.2079,0.5974,0.5954,0.5178,0.348,0.4329,0.6338,0.5667,0.6002,0.6678,0.6486,0.6582
9.6,-0.1825,0.5821,0.5959,0.5174,0.3316,0.4245,0.6416,0.5676,0.6046,0.6779,0.6393,0.6586
9.7,-0.1563,0.5676,0.5994,0.5182,0.3197,0.4189,0.6522,0.5711,0.6116,0.6885,0.6323,0.6604
9.8,-0.1277,0.5538,0.6053,0.5203,0.3119,0.4161,0.6654,0.5769,0.6211,0.699,0.6274,0.6632
9.9,-0.0954,0.5413,0.6132,0.5243,0.3083,0.4163,0.6811,0.5851,0.6331,0.7087,0.6241,0.6664
10,-0.059,0.5308,0.6223,0.5313,0.3095,0.4204,0.6992,0.5957,0.6474,0.7174,0.6218,0.6696
10.1,-0.0187,0.523,0.6319,0.5414,0.3158,0.4286,0.7197,0.6086,0.6642,0.7249,0.6201,0.6725
10.2,0.0252,0.5178,0.6417,0.5547,0.3268,0.4408,0.7423,0.6238,0.683,0.7311,0.6192,0.6752
10.3,0.0726,0.5153,0.6516,0.5715,0.3415,0.4565,0.7667,0.6412,0.7039,0.736,0.6193,0.6776
10.4,0.1235,0.5161,0.6611,0.5922,0.3593,0.4757,0.7929,0.6606,0.7268,0.7398,0.6211,0.6804
10.5,0.1765,0.521,0.6696,0.6171,0.3796,0.4983,0.8206,0.6822,0.7514,0.7429,0.6246,0.6837
10.6,0.2294,0.5303,0.6767,0.6458,0.4021,0.524,0.8493,0.7059,0.7776,0.7456,0.6295,0.6875
10.7,0.2797,0.5435,0.6821,0.6771,0.4261,0.5516,0.8776,0.7314,0.8045,0.7476,0.6351,0.6913
10.8,0.3259,0.5594,0.6852,0.7094,0.4506,0.58,0.9039,0.758,0.8309,0.7482,0.6407,0.6944
10.9,0.3674,0.5769,0.6861,0.7418,0.4748,0.6083,0.9268,0.7853,0.8561,0.7471,0.6461,0.6966
11,0.4034,0.5954,0.6852,0.7734,0.4978,0.6356,0.9454,0.813,0.8792,0.7441,0.6516,0.6978
11.1,0.4327,0.6141,0.6829,0.8031,0.5185,0.6608,0.9591,0.8401,0.8996,0.7392,0.6573,0.6983
11.2,0.4538,0.6316,0.6795,0.8296,0.5355,0.6825,0.9673,0.8651,0.9162,0.7326,0.6633,0.6979
11.3,0.4657,0.6462,0.6749,0.8514,0.548,0.6997,0.9697,0.8859,0.9278,0.7245,0.6693,0.6969
11.4,0.4686,0.6567,0.6687,0.8676,0.5557,0.7117,0.966,0.9006,0.9333,0.7151,0.6748,0.6949
11.5,0.4629,0.6623,0.6604,0.8779,0.5592,0.7185,0.9566,0.9082,0.9324,0.7044,0.6794,0.6919
11.6,0.4493,0.6626,0.6505,0.8821,0.5586,0.7203,0.9419,0.9086,0.9253,0.6924,0.6828,0.6876
11.7,0.4281,0.6578,0.6395,0.8802,0.5543,0.7173,0.9224,0.9022,0.9123,0.6795,0.6852,0.6823
11.8,0.4002,0.648,0.6283,0.8725,0.5467,0.7096,0.8989,0.8891,0.894,0.6664,0.6866,0.6765
11.9,0.3672,0.6338,0.6172,0.8592,0.5361,0.6976,0.8721,0.8694,0.8707,0.6536,0.6874,0.6705
12,0.331,0.6162,0.6058,0.8409,0.5228,0.6818,0.843,0.8433,0.8432,0.6412,0.6873,0.6642
12.1,0.2932,0.5961,0.5939,0.8178,0.5069,0.6624,0.8125,0.8122,0.8124,0.6291,0.6861,0.6576
12.2,0.2548,0.5742,0.582,0.7899,0.4888,0.6394,0.7808,0.7775,0.7792,0.6173,0.6841,0.6507
12.3,0.2169,0.5511,0.5706,0.7576,0.4683,0.613,0.7477,0.741,0.7443,0.6059,0.6814,0.6436
12.4,0.1816,0.5281,0.5598,0.7219,0.4456,0.5837,0.7135,0.7037,0.7086,0.5948,0.6783,0.6365
12.5,0.151,0.5065,0.5497,0.684,0.4213,0.5527,0.6797,0.6665,0.6731,0.584,0.6747,0.6293
12.6,0.1258,0.4869,0.5404,0.6454,0.3965,0.5209,0.6477,0.6301,0.6389,0.5733,0.6704,0.6219
12.7,0.1058,0.4696,0.5321,0.6067,0.3724,0.4895,0.6181,0.5953,0.6067,0.5624,0.6654,0.6139
12.8,0.0905,0.4542,0.5249,0.5689,0.3502,0.4595,0.5908,0.5631,0.577,0.5512,0.66,0.6056
12.9,0.0801,0.4401,0.5191,0.5325,0.3306,0.4315,0.5657,0.5343,0.55,0.5397,0.6543,0.597
13,0.0754,0.4267,0.5152,0.4983,0.3134,0.4059,0.5436,0.5096,0.5266,0.5283,0.6489,0.5886
13.1,0.0779,0.414,0.5136,0.4673,0.2982,0.3828,0.5255,0.4894,0.5075,0.5171,0.6442,0.5807
13.2,0.0881,0.4022,0.5145,0.4403,0.2852,0.3627,0.512,0.474,0.493,0.5065,0.6408,0.5737
13.3,0.1052,0.3914,0.5179,0.418,0.2747,0.3464,0.5031,0.4632,0.4832,0.4969,0.6391,0.568
13.4,0.1278,0.3815,0.5234,0.4007,0.2673,0.334,0.4988,0.4567,0.4777,0.489,0.6397,0.5643
13.5,0.1551,0.3726,0.5314,0.3889,0.2629,0.3259,0.4989,0.4543,0.4766,0.4833,0.6435,0.5634
13.6,0.187,0.3651,0.5425,0.3831,0.2611,0.3221,0.5034,0.4561,0.4797,0.4804,0.6511,0.5657
13.7,0.2236,0.36,0.5564,0.3839,0.2621,0.323,0.5118,0.4625,0.4871,0.4804,0.6627,0.5715
13.8,0.2635,0.3576,0.5724,0.3908,0.2664,0.3286,0.5232,0.4739,0.4986,0.4835,0.6783,0.5809
13.9,0.3037,0.358,0.5898,0.4028,0.2742,0.3385,0.5366,0.4902,0.5134,0.4894,0.6972,0.5933
14,0.3417,0.3609,0.6082,0.4183,0.2853,0.3518,0.5509,0.5111,0.531,0.498,0.7186,0.6083
14.1,0.3759,0.3664,0.6274,0.4363,0.2992,0.3678,0.565,0.5357,0.5503,0.5083,0.7415,0.6249
14.2,0.4064,0.3745,0.6474,0.4563,0.3154,0.3859,0.5783,0.5634,0.5708,0.5194,0.7649,0.6421
14.3,0.4332,0.3854,0.668,0.4783,0.3337,0.406,0.5902,0.5936,0.5919,0.5302,0.7878,0.659
14.4,0.4565,0.3992,0.6885,0.5021,0.3538,0.4279,0.6004,0.6256,0.613,0.5403,0.8095,0.6749
14.5,0.4759,0.4156,0.7081,0.5273,0.3755,0.4514,0.6089,0.6581,0.6335,0.5494,0.8288,0.6891
14.6,0.4916,0.4344,0.7254,0.5535,0.3984,0.476,0.6162,0.6904,0.6533,0.5577,0.8449,0.7013
14.7,0.5036,0.4549,0.7393,0.5804,0.4221,0.5013,0.6228,0.7217,0.6723,0.565,0.8568,0.7109
14.8,0.512,0.4766,0.7488,0.6072,0.4463,0.5268,0.629,0.7517,0.6903,0.5709,0.864,0.7174
14.9,0.517,0.4988,0.7536,0.6331,0.4704,0.5518,0.6345,0.7801,0.7073,0.5742,0.866,0.7201
