Time,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC,EFTPOS - TVC
9.7,-0.0583,0.6629,0.704,0.6145,0.7398,0.6771,0.6329,0.6803,0.6566,0.5918,0.5908,0.5913
9.8,-0.0544,0.6504,0.6938,0.6024,0.7227,0.6626,0.6205,0.6674,0.6439,0.5863,0.5849,0.5856
9.9,-0.0522,0.6376,0.6829,0.5894,0.7052,0.6473,0.6076,0.654,0.6308,0.5797,0.578,0.5789
10,-0.0517,0.6253,0.6715,0.5761,0.6881,0.6321,0.595,0.6408,0.6179,0.5724,0.5706,0.5715
10.1,-0.0526,0.6138,0.6603,0.563,0.6722,0.6176,0.5831,0.6283,0.6057,0.5649,0.5631,0.564
10.2,-0.0547,0.6035,0.6496,0.5509,0.6579,0.6044,0.5723,0.617,0.5946,0.5577,0.5562,0.5569
10.3,-0.0577,0.5946,0.6398,0.5402,0.6453,0.5928,0.5627,0.6071,0.5849,0.5511,0.5499,0.5505
10.4,-0.0612,0.5872,0.6311,0.5313,0.6346,0.5829,0.5545,0.5989,0.5767,0.5454,0.5446,0.545
10.5,-0.065,0.5813,0.624,0.5243,0.626,0.5751,0.548,0.5925,0.5703,0.5408,0.5403,0.5406
10.6,-0.0686,0.5768,0.6189,0.5196,0.6196,0.5696,0.5434,0.5883,0.5659,0.5374,0.5373,0.5373
10.7,-0.0714,0.5734,0.6159,0.5172,0.6155,0.5663,0.5409,0.5863,0.5636,0.5352,0.5357,0.5355
10.8,-0.0728,0.571,0.6151,0.5172,0.6137,0.5655,0.5402,0.5865,0.5634,0.5344,0.5356,0.535
10.9,-0.0722,0.5696,0.6163,0.5196,0.6143,0.567,0.5416,0.5889,0.5652,0.5349,0.537,0.536
11,-0.0697,0.5693,0.6196,0.5244,0.6172,0.5708,0.5447,0.5936,0.5692,0.5368,0.5399,0.5383
11.1,-0.0653,0.5702,0.6248,0.5317,0.6222,0.577,0.5498,0.6005,0.5751,0.54,0.5443,0.5421
11.2,-0.059,0.5722,0.6322,0.5414,0.6296,0.5855,0.5565,0.6096,0.5831,0.5445,0.5503,0.5474
11.3,-0.0506,0.5755,0.6415,0.5534,0.6392,0.5963,0.5648,0.6208,0.5928,0.5501,0.5579,0.554
11.4,-0.0403,0.5799,0.6526,0.5674,0.6509,0.6091,0.5743,0.6339,0.6041,0.5567,0.5667,0.5617
11.5,-0.0286,0.5857,0.665,0.5828,0.6644,0.6236,0.5845,0.6481,0.6163,0.5642,0.5764,0.5703
11.6,-0.0158,0.5927,0.6785,0.5993,0.6793,0.6393,0.5952,0.6631,0.6292,0.5722,0.5869,0.5795
11.7,-0.0022,0.6004,0.6924,0.6159,0.6948,0.6554,0.6058,0.6781,0.6419,0.5804,0.5976,0.589
11.8,0.0119,0.6081,0.706,0.632,0.7105,0.6713,0.6155,0.6925,0.654,0.5884,0.6079,0.5982
11.9,0.0264,0.6155,0.7186,0.6471,0.7257,0.6864,0.6238,0.7057,0.6648,0.5956,0.6175,0.6066
12,0.0407,0.6223,0.7299,0.6607,0.74,0.7004,0.6304,0.7174,0.6739,0.6019,0.626,0.6139
12.1,0.0545,0.6288,0.7398,0.6729,0.7532,0.713,0.6351,0.7273,0.6812,0.6072,0.6332,0.6202
12.2,0.0671,0.6349,0.7481,0.6829,0.7651,0.724,0.6379,0.7351,0.6865,0.6113,0.6394,0.6253
12.3,0.0783,0.6402,0.7547,0.6902,0.7751,0.7326,0.6386,0.7407,0.6896,0.6142,0.6444,0.6293
12.4,0.0876,0.6442,0.759,0.6938,0.7827,0.7382,0.6372,0.7435,0.6904,0.6159,0.6481,0.632
12.5,0.0946,0.6467,0.7608,0.6934,0.7874,0.7404,0.6338,0.7434,0.6886,0.6165,0.6505,0.6335
12.6,0.0996,0.6474,0.7597,0.6893,0.789,0.7392,0.6287,0.7404,0.6846,0.6164,0.6515,0.6339
12.7,0.103,0.6465,0.7559,0.6821,0.7875,0.7348,0.6226,0.7347,0.6787,0.6156,0.6513,0.6334
12.8,0.1051,0.6438,0.7499,0.6724,0.783,0.7277,0.6157,0.7268,0.6712,0.6144,0.65,0.6322
12.9,0.1062,0.6394,0.7422,0.6608,0.776,0.7184,0.6083,0.717,0.6626,0.6129,0.6478,0.6303
13,0.1064,0.6332,0.7333,0.6479,0.7665,0.7072,0.6007,0.706,0.6533,0.611,0.645,0.628
13.1,0.1055,0.6253,0.7237,0.6341,0.7549,0.6945,0.5931,0.694,0.6436,0.6089,0.6417,0.6253
13.2,0.1036,0.616,0.7139,0.62,0.7411,0.6806,0.5858,0.6817,0.6338,0.6066,0.6381,0.6224
13.3,0.1005,0.6059,0.7042,0.6063,0.726,0.6661,0.579,0.6695,0.6243,0.6045,0.6346,0.6196
13.4,0.0963,0.5951,0.6951,0.5935,0.7101,0.6518,0.5731,0.658,0.6155,0.6027,0.6318,0.6173
13.5,0.0908,0.584,0.6868,0.582,0.6942,0.6381,0.5684,0.6474,0.6079,0.6015,0.6299,0.6157
13.6,0.0842,0.5729,0.6798,0.5724,0.6789,0.6256,0.5653,0.638,0.6016,0.6007,0.6288,0.6148
13.7,0.0764,0.5622,0.6742,0.5648,0.6647,0.6148,0.5638,0.63,0.5969,0.6006,0.6286,0.6146
13.8,0.0675,0.5523,0.6703,0.5595,0.6521,0.6058,0.5637,0.6233,0.5935,0.6011,0.6293,0.6152
13.9,0.0574,0.5437,0.668,0.5564,0.6416,0.599,0.5647,0.6181,0.5914,0.6019,0.6306,0.6163
14,0.0463,0.5368,0.667,0.5556,0.6335,0.5946,0.5665,0.6144,0.5904,0.603,0.6324,0.6177
14.1,0.034,0.5322,0.6673,0.5572,0.6283,0.5927,0.5692,0.6123,0.5907,0.6042,0.6344,0.6193
14.2,0.0207,0.5301,0.6687,0.561,0.6259,0.5935,0.5726,0.6117,0.5921,0.6056,0.6365,0.6211
14.3,0.0066,0.5308,0.6711,0.5669,0.6262,0.5965,0.5764,0.6126,0.5945,0.6069,0.6385,0.6227
14.4,-0.0077,0.5341,0.6742,0.5742,0.6285,0.6013,0.5801,0.6144,0.5973,0.6077,0.6403,0.624
14.5,-0.0216,0.5393,0.6779,0.582,0.6322,0.6071,0.5829,0.6169,0.5999,0.6079,0.6416,0.6248
14.6,-0.0348,0.5456,0.6818,0.5895,0.6368,0.6131,0.5844,0.6196,0.602,0.6074,0.6424,0.6249
14.7,-0.0472,0.5525,0.6856,0.5961,0.6417,0.6189,0.5842,0.6222,0.6032,0.6062,0.6424,0.6243
14.8,-0.0588,0.5595,0.6888,0.6013,0.6464,0.6238,0.5822,0.6245,0.6033,0.6045,0.6414,0.623
14.9,-0.0694,0.5663,0.6913,0.6049,0.6506,0.6278,0.5786,0.6263,0.6024,0.6024,0.6394,0.6209
15,-0.0787,0.5727,0.6928,0.6069,0.6542,0.6306,0.5736,0.6275,0.6006,0.5999,0.6364,0.6182
15.1,-0.0867,0.5785,0.6932,0.6071,0.6571,0.6321,0.5675,0.6283,0.5979,0.5973,0.6324,0.6149
15.2,-0.0933,0.5837,0.6927,0.6058,0.6593,0.6326,0.5609,0.6285,0.5947,0.5948,0.6278,0.6113
15.3,-0.0989,0.5885,0.6915,0.6029,0.6609,0.6319,0.5542,0.6284,0.5913,0.5924,0.6229,0.6077
15.4,-0.1036,0.5928,0.6897,0.5987,0.6617,0.6302,0.5476,0.6279,0.5878,0.5905,0.618,0.6042
15.5,-0.1078,0.5965,0.6874,0.593,0.6616,0.6273,0.5415,0.627,0.5843,0.589,0.6133,0.6012
15.6,-0.1119,0.5993,0.6844,0.5859,0.6604,0.6232,0.5358,0.6259,0.5808,0.588,0.6088,0.5984
15.7,-0.1158,0.6008,0.6806,0.5776,0.6576,0.6176,0.5308,0.6241,0.5775,0.5871,0.6045,0.5958
15.8,-0.1197,0.6006,0.6758,0.5682,0.6529,0.6105,0.5265,0.6218,0.5742,0.5862,0.6001,0.5931
15.9,-0.1235,0.5986,0.6702,0.558,0.6464,0.6022,0.5229,0.6191,0.571,0.5852,0.5957,0.5904
16,-0.127,0.5949,0.6642,0.5475,0.6384,0.593,0.52,0.6163,0.5682,0.584,0.5918,0.5879
16.1,-0.1299,0.5897,0.6583,0.5372,0.6296,0.5834,0.518,0.6138,0.5659,0.583,0.5886,0.5858
16.2,-0.1321,0.5832,0.653,0.5275,0.6204,0.5739,0.5168,0.6119,0.5644,0.5821,0.5865,0.5843
16.3,-0.1337,0.5757,0.6486,0.5188,0.611,0.5649,0.5168,0.6106,0.5637,0.5814,0.5854,0.5834
16.4,-0.1345,0.5673,0.6448,0.5111,0.6017,0.5564,0.5176,0.6098,0.5637,0.5808,0.5853,0.583
16.5,-0.1345,0.5581,0.6416,0.5045,0.5924,0.5485,0.5191,0.6091,0.5641,0.5802,0.5859,0.583
16.6,-0.1338,0.5481,0.6387,0.499,0.5834,0.5412,0.521,0.6087,0.5649,0.5794,0.5869,0.5832
16.7,-0.1329,0.5378,0.6363,0.4947,0.5752,0.535,0.5232,0.6083,0.5657,0.5784,0.5884,0.5834
16.8,-0.132,0.5274,0.634,0.4915,0.5679,0.5297,0.5252,0.6079,0.5665,0.5769,0.5899,0.5834
16.9,-0.1316,0.5169,0.6317,0.4892,0.5614,0.5253,0.5268,0.607,0.5669,0.5747,0.5911,0.5829
17,-0.1317,0.5069,0.6292,0.4881,0.5558,0.5219,0.5278,0.6055,0.5666,0.5716,0.5916,0.5816
17.1,-0.1321,0.4977,0.6265,0.4882,0.5512,0.5197,0.5282,0.6034,0.5658,0.5676,0.5913,0.5794
17.2,-0.1329,0.4899,0.6235,0.4895,0.5478,0.5186,0.528,0.6009,0.5645,0.5628,0.5902,0.5765
17.3,-0.1343,0.4836,0.6204,0.4919,0.5457,0.5188,0.5277,0.5982,0.563,0.5575,0.5883,0.5729
17.4,-0.1361,0.4787,0.617,0.4949,0.5446,0.5198,0.5273,0.5954,0.5613,0.5517,0.5857,0.5687
17.5,-0.1383,0.4751,0.6131,0.4984,0.544,0.5212,0.5267,0.5923,0.5595,0.5454,0.5822,0.5638
17.6,-0.1402,0.4727,0.6087,0.5022,0.5435,0.5229,0.5257,0.5887,0.5572,0.539,0.5779,0.5584
17.7,-0.1413,0.4718,0.6036,0.5063,0.543,0.5247,0.5242,0.5848,0.5545,0.5326,0.5728,0.5527
17.8,-0.1416,0.4727,0.5982,0.5108,0.5426,0.5267,0.5225,0.5808,0.5516,0.5268,0.567,0.5469
17.9,-0.1416,0.4752,0.5927,0.5153,0.5428,0.5291,0.521,0.5772,0.5491,0.5218,0.5608,0.5413
18,-0.142,0.4792,0.5875,0.5197,0.5436,0.5317,0.52,0.5741,0.5471,0.518,0.5546,0.5363
18.1,-0.1429,0.4847,0.5828,0.5238,0.545,0.5344,0.5197,0.5718,0.5458,0.5158,0.5485,0.5322
18.2,-0.1443,0.4918,0.579,0.5275,0.5469,0.5372,0.5203,0.5704,0.5453,0.5153,0.543,0.5292
18.3,-0.146,0.501,0.5763,0.5309,0.5491,0.54,0.5218,0.57,0.5459,0.5165,0.5383,0.5274
18.4,-0.148,0.5119,0.575,0.534,0.5519,0.5429,0.5245,0.5709,0.5477,0.5192,0.5347,0.527
18.5,-0.1505,0.5242,0.5751,0.5367,0.555,0.5459,0.5282,0.573,0.5506,0.5232,0.5322,0.5277
18.6,-0.1531,0.5373,0.5766,0.539,0.5585,0.5487,0.5328,0.5763,0.5546,0.5278,0.5311,0.5295
18.7,-0.1553,0.5506,0.5794,0.5409,0.5623,0.5516,0.5377,0.5808,0.5592,0.5329,0.5315,0.5322
18.8,-0.1568,0.564,0.5832,0.5424,0.5664,0.5544,0.5428,0.586,0.5644,0.5381,0.5332,0.5357
18.9,-0.1576,0.5773,0.5878,0.5435,0.5707,0.5571,0.5476,0.5919,0.5698,0.5433,0.5361,0.5397
19,-0.1578,0.59,0.5926,0.5443,0.5751,0.5597,0.5521,0.5982,0.5751,0.5479,0.5401,0.544
19.1,-0.157,0.6016,0.5972,0.5445,0.5793,0.5619,0.5556,0.6044,0.58,0.5517,0.5446,0.5482
19.2,-0.1547,0.6117,0.6011,0.5441,0.583,0.5636,0.5579,0.6101,0.584,0.5545,0.5493,0.5519
19.3,-0.1505,0.6199,0.6042,0.5435,0.5864,0.5649,0.5586,0.6149,0.5868,0.5563,0.554,0.5551
19.4,-0.1445,0.6261,0.6062,0.5427,0.5896,0.5661,0.5579,0.6187,0.5883,0.557,0.5586,0.5578
19.5,-0.1376,0.6304,0.6072,0.542,0.5926,0.5673,0.5558,0.6215,0.5886,0.5567,0.5628,0.5597
19.6,-0.1304,0.6329,0.6072,0.5415,0.5955,0.5685,0.5526,0.6229,0.5877,0.5549,0.5662,0.5606
19.7,-0.1239,0.6338,0.606,0.5414,0.5981,0.5697,0.5484,0.6229,0.5856,0.5517,0.5685,0.5601
19.8,-0.1186,0.6334,0.6036,0.5416,0.6003,0.5709,0.5433,0.6215,0.5824,0.5469,0.5691,0.558
19.9,-0.1151,0.6322,0.6003,0.5422,0.6023,0.5722,0.5378,0.619,0.5784,0.5407,0.5681,0.5544
20,-0.1137,0.6306,0.5962,0.5433,0.6043,0.5738,0.5324,0.6159,0.5742,0.5335,0.5656,0.5495
20.1,-0.1147,0.6289,0.5919,0.5454,0.6065,0.5759,0.5277,0.6126,0.5701,0.5255,0.5617,0.5436
20.2,-0.1171,0.6274,0.5876,0.5484,0.6089,0.5787,0.524,0.6093,0.5667,0.5171,0.5567,0.5369
20.3,-0.1201,0.6265,0.5836,0.5527,0.6119,0.5823,0.5219,0.6064,0.5642,0.5087,0.551,0.5299
20.4,-0.1227,0.6267,0.5805,0.5582,0.6156,0.5869,0.5215,0.6043,0.5629,0.5011,0.5449,0.523
20.5,-0.1248,0.6283,0.5785,0.5646,0.62,0.5923,0.5229,0.6033,0.5631,0.4946,0.5389,0.5167
20.6,-0.1268,0.6308,0.5777,0.5711,0.6247,0.5979,0.5258,0.6035,0.5646,0.4894,0.5331,0.5113
20.7,-0.1291,0.6335,0.578,0.5771,0.6292,0.6032,0.5299,0.6044,0.5671,0.4856,0.5276,0.5066
20.8,-0.1312,0.6362,0.5792,0.5822,0.6332,0.6077,0.5349,0.6058,0.5704,0.4828,0.5224,0.5026
20.9,-0.1324,0.6386,0.5812,0.5864,0.6365,0.6115,0.5408,0.6076,0.5742,0.4812,0.5177,0.4995
21,-0.1321,0.6408,0.5838,0.5899,0.639,0.6145,0.5475,0.6097,0.5786,0.4811,0.514,0.4975
21.1,-0.1301,0.6423,0.5871,0.5925,0.641,0.6167,0.5547,0.6122,0.5834,0.4823,0.5114,0.4968
21.2,-0.1265,0.6426,0.591,0.594,0.6422,0.6181,0.5621,0.6146,0.5883,0.4847,0.5098,0.4973
21.3,-0.1212,0.6416,0.5952,0.5945,0.6424,0.6185,0.569,0.6166,0.5928,0.4881,0.5094,0.4987
21.4,-0.114,0.6391,0.5997,0.5939,0.6414,0.6177,0.5752,0.6181,0.5966,0.4923,0.5101,0.5012
