Time,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC,CCs - Si Si Sitcom Proposal 30 TVC
4.9,0.1193,0.4345,0.8076,0.4857,0.561,0.5234,0.5707,0.6926,0.6316,0.4866,0.2925,0.3896
5,0.1296,0.4415,0.7933,0.4861,0.5555,0.5208,0.5789,0.6917,0.6353,0.5,0.317,0.4085
5.1,0.1425,0.4511,0.7826,0.4911,0.5503,0.5207,0.5913,0.6925,0.6419,0.5169,0.3438,0.4304
5.2,0.1578,0.4631,0.7748,0.5004,0.5455,0.5229,0.6069,0.6948,0.6509,0.5366,0.3719,0.4543
5.3,0.1734,0.4764,0.7689,0.5128,0.5413,0.5271,0.6249,0.6988,0.6619,0.5579,0.4,0.4789
5.4,0.1877,0.4906,0.7647,0.5276,0.5386,0.5331,0.6446,0.705,0.6748,0.5799,0.4272,0.5036
5.5,0.1989,0.5057,0.7625,0.5441,0.5385,0.5413,0.6654,0.7136,0.6895,0.6022,0.4526,0.5274
5.6,0.2055,0.5221,0.7623,0.5619,0.5416,0.5517,0.6866,0.7248,0.7057,0.6243,0.4749,0.5496
5.7,0.2051,0.5399,0.7642,0.5805,0.5483,0.5644,0.7081,0.7384,0.7232,0.6457,0.493,0.5694
5.8,0.194,0.5588,0.7682,0.5994,0.5587,0.5791,0.7304,0.7543,0.7423,0.6657,0.5065,0.5861
5.9,0.1707,0.579,0.7735,0.6181,0.5726,0.5954,0.7537,0.7724,0.7631,0.6837,0.5146,0.5992
6,0.1355,0.6007,0.7792,0.6361,0.5897,0.6129,0.7779,0.792,0.785,0.6989,0.5177,0.6083
6.1,0.0894,0.6232,0.7843,0.653,0.6096,0.6313,0.8023,0.8121,0.8072,0.7106,0.5165,0.6136
6.2,0.0338,0.6458,0.788,0.6683,0.6317,0.65,0.8257,0.832,0.8288,0.7175,0.5115,0.6145
6.3,-0.0289,0.6676,0.7905,0.6813,0.6557,0.6685,0.8468,0.8509,0.8489,0.7184,0.5026,0.6105
6.4,-0.0951,0.6886,0.792,0.692,0.6816,0.6868,0.865,0.8686,0.8668,0.7137,0.4906,0.6022
6.5,-0.1601,0.7089,0.7931,0.7009,0.7096,0.7052,0.8804,0.8846,0.8825,0.7044,0.4765,0.5905
6.6,-0.2197,0.7276,0.7943,0.7088,0.7389,0.7239,0.8934,0.8985,0.8959,0.6911,0.4616,0.5764
6.7,-0.2718,0.7434,0.7958,0.7171,0.768,0.7426,0.9044,0.9096,0.907,0.6733,0.4463,0.5598
6.8,-0.3163,0.7555,0.7976,0.7264,0.7953,0.7608,0.9134,0.9175,0.9155,0.6495,0.4301,0.5398
6.9,-0.353,0.7639,0.7996,0.7368,0.8198,0.7783,0.9205,0.9217,0.9211,0.6186,0.4128,0.5157
7,-0.3817,0.7696,0.8011,0.748,0.8407,0.7944,0.9254,0.9212,0.9233,0.5809,0.3944,0.4877
7.1,-0.4031,0.7732,0.8009,0.759,0.8575,0.8083,0.9279,0.9147,0.9213,0.538,0.3761,0.4571
7.2,-0.4173,0.7748,0.7986,0.7694,0.8695,0.8195,0.9286,0.9018,0.9152,0.4923,0.3593,0.4258
7.3,-0.4228,0.7746,0.7951,0.7791,0.8767,0.8279,0.9287,0.8826,0.9057,0.4465,0.345,0.3958
7.4,-0.4174,0.7732,0.7908,0.7887,0.8792,0.8339,0.9302,0.8585,0.8943,0.4028,0.3335,0.3682
7.5,-0.401,0.7712,0.7857,0.7979,0.8771,0.8375,0.9345,0.8306,0.8825,0.3632,0.3251,0.3441
7.6,-0.3748,0.7689,0.7794,0.8068,0.871,0.8389,0.9417,0.8001,0.8709,0.3292,0.3201,0.3246
7.7,-0.3402,0.7669,0.7717,0.8158,0.862,0.8389,0.9512,0.7678,0.8595,0.3019,0.3187,0.3103
7.8,-0.2987,0.7657,0.7622,0.826,0.852,0.839,0.962,0.7347,0.8484,0.2815,0.3205,0.301
7.9,-0.2526,0.7659,0.7502,0.8387,0.8429,0.8408,0.9736,0.7021,0.8378,0.2672,0.3245,0.2959
8,-0.2051,0.7672,0.7347,0.8544,0.8356,0.845,0.9857,0.6711,0.8284,0.2586,0.33,0.2943
8.1,-0.1588,0.7698,0.7151,0.8725,0.8303,0.8514,0.9981,0.6426,0.8203,0.2562,0.3371,0.2967
8.2,-0.1149,0.7738,0.6913,0.8921,0.8266,0.8593,1.01,0.6172,0.8136,0.2609,0.3468,0.3039
8.3,-0.0741,0.7793,0.6633,0.9117,0.824,0.8678,1.0207,0.595,0.8079,0.2727,0.3583,0.3155
8.4,-0.0386,0.785,0.6307,0.9304,0.8221,0.8763,1.0291,0.5757,0.8024,0.2904,0.3704,0.3304
8.5,-0.0108,0.7895,0.5926,0.9472,0.821,0.8841,1.0341,0.5583,0.7962,0.3126,0.382,0.3473
8.6,0.0081,0.7921,0.5493,0.9616,0.8208,0.8912,1.0342,0.5424,0.7883,0.3382,0.3929,0.3655
8.7,0.0188,0.7934,0.5022,0.9733,0.8221,0.8977,1.0285,0.5282,0.7783,0.367,0.4038,0.3854
8.8,0.0224,0.7948,0.4537,0.9824,0.825,0.9037,1.0166,0.5156,0.7661,0.3989,0.416,0.4074
8.9,0.0184,0.7966,0.4068,0.9892,0.8292,0.9092,0.9987,0.5048,0.7517,0.4333,0.4298,0.4316
9,0.0077,0.7985,0.364,0.9937,0.8334,0.9136,0.975,0.4957,0.7354,0.4688,0.4455,0.4571
9.1,-0.0067,0.7995,0.3276,0.9967,0.8367,0.9167,0.946,0.4881,0.7171,0.5031,0.463,0.483
9.2,-0.0211,0.7995,0.2986,0.999,0.8388,0.9189,0.9118,0.4817,0.6967,0.5343,0.4824,0.5083
9.3,-0.0332,0.7985,0.2775,1.0015,0.8406,0.9211,0.8722,0.4763,0.6742,0.5612,0.5039,0.5325
9.4,-0.043,0.7963,0.2649,1.0047,0.8431,0.9239,0.8282,0.4725,0.6503,0.583,0.5277,0.5554
9.5,-0.0515,0.793,0.2611,1.0084,0.847,0.9277,0.7824,0.471,0.6267,0.5998,0.5533,0.5765
9.6,-0.0591,0.7891,0.2658,1.0125,0.8525,0.9325,0.737,0.4717,0.6043,0.6117,0.5791,0.5954
9.7,-0.0655,0.785,0.2781,1.0169,0.8597,0.9383,0.6931,0.4741,0.5836,0.6191,0.6034,0.6113
9.8,-0.0709,0.7807,0.2965,1.0218,0.8687,0.9453,0.6518,0.4778,0.5648,0.6229,0.6248,0.6238
9.9,-0.0755,0.7757,0.3189,1.0266,0.8787,0.9527,0.6143,0.4826,0.5484,0.6231,0.6425,0.6328
10,-0.0787,0.769,0.3433,1.0299,0.8885,0.9592,0.5811,0.4883,0.5347,0.6194,0.6558,0.6376
10.1,-0.0807,0.76,0.368,1.0307,0.8972,0.9639,0.5525,0.4949,0.5237,0.6117,0.6645,0.6381
10.2,-0.0817,0.7482,0.3916,1.0281,0.9045,0.9663,0.5278,0.5019,0.5148,0.6006,0.6684,0.6345
10.3,-0.0819,0.7334,0.4126,1.0217,0.9107,0.9662,0.5057,0.5085,0.5071,0.587,0.668,0.6275
10.4,-0.0817,0.7155,0.43,1.0112,0.9157,0.9635,0.4855,0.5143,0.4999,0.572,0.6637,0.6178
10.5,-0.0813,0.6945,0.4438,0.9964,0.919,0.9577,0.4675,0.5192,0.4934,0.5561,0.656,0.6061
10.6,-0.0808,0.6706,0.4542,0.9775,0.9197,0.9486,0.4521,0.5235,0.4878,0.5396,0.6452,0.5924
10.7,-0.0797,0.6442,0.4614,0.9549,0.9173,0.9361,0.4394,0.5269,0.4832,0.5225,0.6315,0.577
10.8,-0.0777,0.616,0.4653,0.9294,0.9115,0.9204,0.4296,0.5293,0.4795,0.505,0.6156,0.5603
10.9,-0.0745,0.5871,0.4658,0.9022,0.9028,0.9025,0.4225,0.5304,0.4764,0.4881,0.5985,0.5433
11,-0.0705,0.5583,0.4637,0.8744,0.8916,0.883,0.4175,0.5304,0.474,0.4724,0.5814,0.5269
11.1,-0.0669,0.5308,0.4604,0.8467,0.8786,0.8626,0.4142,0.5298,0.472,0.4585,0.5649,0.5117
11.2,-0.0648,0.5056,0.4571,0.8197,0.8638,0.8418,0.4124,0.529,0.4707,0.4467,0.5496,0.4982
11.3,-0.0645,0.4833,0.4543,0.794,0.8475,0.8207,0.4127,0.5282,0.4705,0.4378,0.5362,0.487
11.4,-0.0655,0.4646,0.4525,0.7695,0.83,0.7998,0.4155,0.5273,0.4714,0.4326,0.5253,0.4789
11.5,-0.0669,0.4501,0.4519,0.7467,0.8117,0.7792,0.4212,0.5262,0.4737,0.4317,0.5172,0.4745
11.6,-0.0684,0.4402,0.4523,0.7258,0.7933,0.7595,0.4298,0.525,0.4774,0.4347,0.5115,0.4731
11.7,-0.0716,0.4348,0.4539,0.7069,0.7755,0.7412,0.4409,0.524,0.4825,0.4403,0.5072,0.4737
11.8,-0.0762,0.433,0.4569,0.6901,0.759,0.7245,0.4542,0.5232,0.4887,0.4478,0.5039,0.4758
11.9,-0.081,0.4348,0.4621,0.6751,0.7443,0.7097,0.469,0.523,0.496,0.4572,0.502,0.4796
12,-0.0848,0.4406,0.4703,0.662,0.733,0.6975,0.4848,0.524,0.5044,0.4682,0.5014,0.4848
12.1,-0.0876,0.451,0.482,0.6509,0.7266,0.6887,0.5008,0.5269,0.5138,0.4801,0.5015,0.4908
12.2,-0.0895,0.465,0.4967,0.6418,0.7257,0.6837,0.5163,0.5314,0.5239,0.4921,0.5015,0.4968
12.3,-0.0899,0.4812,0.5134,0.6351,0.7299,0.6825,0.5313,0.5366,0.5339,0.5036,0.5008,0.5022
12.4,-0.0878,0.4986,0.5312,0.6309,0.7392,0.6851,0.5452,0.542,0.5436,0.5137,0.4989,0.5063
12.5,-0.0834,0.5164,0.5496,0.6292,0.7538,0.6915,0.5578,0.5477,0.5528,0.5217,0.4955,0.5086
12.6,-0.078,0.5345,0.5681,0.6293,0.7733,0.7013,0.5685,0.5543,0.5614,0.5271,0.4904,0.5087
12.7,-0.0734,0.5526,0.5861,0.6299,0.7964,0.7132,0.5767,0.5619,0.5693,0.5299,0.4837,0.5068
12.8,-0.0703,0.5703,0.6028,0.6299,0.8209,0.7254,0.5826,0.5703,0.5765,0.5304,0.475,0.5027
12.9,-0.0683,0.5877,0.6176,0.6293,0.8452,0.7372,0.5868,0.5793,0.583,0.5286,0.4639,0.4963
13,-0.0676,0.6049,0.6301,0.6288,0.8689,0.7489,0.5892,0.5884,0.5888,0.5239,0.45,0.4869
13.1,-0.0692,0.622,0.64,0.63,0.8917,0.7609,0.5898,0.5974,0.5936,0.5153,0.4328,0.474
13.2,-0.0747,0.6386,0.647,0.6336,0.9132,0.7734,0.5888,0.606,0.5974,0.5023,0.4127,0.4575
13.3,-0.0843,0.6546,0.6508,0.6393,0.9319,0.7856,0.5867,0.6138,0.6003,0.4853,0.3909,0.4381
13.4,-0.0973,0.6702,0.6517,0.6471,0.9475,0.7973,0.5838,0.6209,0.6023,0.4653,0.3685,0.4169
13.5,-0.1146,0.6855,0.65,0.6573,0.9609,0.8091,0.5806,0.6276,0.6041,0.4434,0.3462,0.3948
13.6,-0.1373,0.7005,0.6459,0.6703,0.9727,0.8215,0.5771,0.6343,0.6057,0.4205,0.3244,0.3724
13.7,-0.1649,0.7149,0.6389,0.6854,0.9826,0.834,0.5731,0.641,0.6071,0.3971,0.3029,0.35
13.8,-0.1953,0.7286,0.6289,0.7016,0.9893,0.8455,0.5692,0.6467,0.6079,0.374,0.2821,0.328
13.9,-0.2273,0.7412,0.6164,0.7177,0.992,0.8549,0.566,0.6507,0.6084,0.3523,0.2628,0.3075
14,-0.2605,0.7526,0.6032,0.7331,0.9905,0.8618,0.5636,0.6531,0.6083,0.333,0.2461,0.2896
14.1,-0.2948,0.7625,0.591,0.7474,0.9857,0.8666,0.5612,0.654,0.6076,0.3171,0.2329,0.275
14.2,-0.3285,0.7704,0.5801,0.7602,0.9782,0.8692,0.5581,0.6533,0.6057,0.3051,0.2235,0.2643
14.3,-0.3601,0.7761,0.5706,0.771,0.9683,0.8697,0.5543,0.651,0.6027,0.2967,0.2177,0.2572
14.4,-0.3893,0.7795,0.5624,0.7796,0.9562,0.8679,0.5498,0.6468,0.5983,0.2911,0.2149,0.253
14.5,-0.4166,0.7804,0.5559,0.7857,0.9418,0.8637,0.5448,0.6407,0.5927,0.2874,0.2144,0.2509
14.6,-0.4417,0.7785,0.5505,0.7892,0.925,0.8571,0.5392,0.6323,0.5858,0.2849,0.215,0.2499
14.7,-0.4635,0.7734,0.5454,0.7899,0.9056,0.8477,0.5331,0.6215,0.5773,0.2831,0.2164,0.2497
14.8,-0.4806,0.7645,0.5397,0.7874,0.8829,0.8352,0.526,0.6079,0.567,0.2819,0.2188,0.2503
14.9,-0.4925,0.7518,0.5337,0.7818,0.8568,0.8193,0.5181,0.5924,0.5552,0.281,0.2223,0.2517
15,-0.4985,0.7356,0.5288,0.7736,0.8276,0.8006,0.5091,0.5765,0.5428,0.2805,0.2269,0.2537
15.1,-0.4974,0.7163,0.5269,0.763,0.7956,0.7793,0.4993,0.5611,0.5302,0.2807,0.2325,0.2566
15.2,-0.4885,0.6939,0.5283,0.7499,0.7609,0.7554,0.489,0.5466,0.5178,0.2823,0.2393,0.2608
15.3,-0.4732,0.6689,0.5324,0.735,0.7238,0.7294,0.4788,0.5331,0.506,0.2855,0.2472,0.2663
15.4,-0.4534,0.6426,0.5388,0.7194,0.6858,0.7026,0.4697,0.5211,0.4954,0.2898,0.2555,0.2726
15.5,-0.43,0.6172,0.5471,0.7045,0.6484,0.6764,0.4625,0.5109,0.4867,0.2944,0.2635,0.2789
15.6,-0.4034,0.5943,0.5569,0.6913,0.6127,0.652,0.4579,0.5026,0.4803,0.299,0.271,0.285
15.7,-0.3742,0.5743,0.5678,0.6805,0.5793,0.6299,0.4563,0.497,0.4767,0.3042,0.2783,0.2912
15.8,-0.3439,0.5575,0.5796,0.6717,0.5484,0.61,0.4577,0.4948,0.4762,0.3098,0.2857,0.2977
15.9,-0.3141,0.5442,0.5918,0.6652,0.5205,0.5929,0.4619,0.4961,0.479,0.3155,0.2926,0.304
16,-0.2839,0.5347,0.6039,0.662,0.496,0.579,0.4686,0.5003,0.4845,0.3205,0.2984,0.3094
16.1,-0.2516,0.5293,0.6151,0.6631,0.475,0.5691,0.4772,0.5064,0.4918,0.3244,0.3025,0.3134
16.2,-0.2159,0.5278,0.6248,0.6692,0.458,0.5636,0.4875,0.5132,0.5004,0.3272,0.3048,0.316
16.3,-0.1776,0.53,0.6329,0.6802,0.4454,0.5628,0.4992,0.5203,0.5097,0.3292,0.3055,0.3174
16.4,-0.1382,0.5348,0.6398,0.6956,0.4372,0.5664,0.512,0.5278,0.5199,0.3305,0.3054,0.318
16.5,-0.0986,0.5415,0.6461,0.714,0.433,0.5735,0.5252,0.5357,0.5304,0.3317,0.3051,0.3184
16.6,-0.0594,0.5494,0.6522,0.7332,0.4321,0.5827,0.5381,0.5438,0.541,0.3335,0.3054,0.3195
16.7,-0.0205,0.5581,0.6582,0.7517,0.434,0.5929,0.5505,0.5521,0.5513,0.3362,0.3065,0.3214
16.8,0.0175,0.5674,0.664,0.7685,0.4384,0.6034,0.5621,0.5604,0.5612,0.3393,0.3077,0.3235
16.9,0.0532,0.5762,0.6692,0.783,0.4445,0.6137,0.5728,0.5681,0.5704,0.3419,0.3081,0.325
17,0.0855,0.5834,0.6732,0.7945,0.4511,0.6228,0.5822,0.5745,0.5783,0.3432,0.3073,0.3253
17.1,0.1147,0.5884,0.6762,0.8027,0.4568,0.6297,0.59,0.5786,0.5843,0.3436,0.3054,0.3245
17.2,0.1408,0.591,0.6786,0.807,0.4614,0.6342,0.5963,0.5802,0.5883,0.3432,0.303,0.3231
17.3,0.1624,0.5915,0.6811,0.8072,0.4652,0.6362,0.6019,0.5794,0.5906,0.3424,0.3005,0.3214
17.4,0.1787,0.5901,0.6841,0.8037,0.4688,0.6362,0.6068,0.5761,0.5915,0.3411,0.2982,0.3197
17.5,0.1897,0.5876,0.6865,0.7966,0.4721,0.6344,0.611,0.5703,0.5906,0.3391,0.2961,0.3176
17.6,0.195,0.5843,0.6877,0.7867,0.4744,0.6306,0.6141,0.5616,0.5879,0.336,0.2935,0.3147
17.7,0.1933,0.581,0.6876,0.7743,0.4751,0.6247,0.616,0.5507,0.5833,0.3315,0.2895,0.3105
17.8,0.1826,0.578,0.6865,0.7592,0.4739,0.6166,0.6158,0.5383,0.577,0.3253,0.2839,0.3046
17.9,0.1621,0.5754,0.6846,0.7407,0.4705,0.6056,0.6121,0.5252,0.5687,0.3175,0.2764,0.2969
18,0.1328,0.5733,0.6821,0.7185,0.4642,0.5914,0.6046,0.5115,0.5581,0.3087,0.2675,0.2881
18.1,0.0959,0.5715,0.6789,0.6928,0.4551,0.574,0.594,0.4975,0.5457,0.2998,0.2575,0.2787
18.2,0.0517,0.5705,0.6757,0.665,0.4438,0.5544,0.5818,0.4839,0.5328,0.2918,0.2474,0.2696
18.3,0.0009,0.5704,0.6734,0.6364,0.4316,0.534,0.57,0.4719,0.5209,0.2855,0.2377,0.2616
18.4,-0.0544,0.5707,0.6731,0.608,0.4195,0.5138,0.5601,0.4621,0.5111,0.2811,0.2292,0.2552
18.5,-0.1111,0.5704,0.6746,0.5801,0.4075,0.4938,0.5527,0.4548,0.5038,0.2786,0.2221,0.2504
18.6,-0.1668,0.5685,0.6771,0.5531,0.3962,0.4747,0.548,0.4498,0.4989,0.2772,0.2161,0.2467
18.7,-0.2195,0.5654,0.68,0.5283,0.3875,0.4579,0.5456,0.4477,0.4966,0.2763,0.2107,0.2435
18.8,-0.2662,0.5624,0.6836,0.5071,0.3839,0.4455,0.5452,0.4489,0.4971,0.2754,0.2059,0.2406
18.9,-0.3044,0.5596,0.6883,0.4901,0.386,0.4381,0.5462,0.4538,0.5,0.2748,0.2024,0.2386
19,-0.3327,0.5558,0.6939,0.4769,0.3926,0.4348,0.5482,0.4619,0.505,0.2757,0.2012,0.2385
19.1,-0.3512,0.5495,0.7001,0.4666,0.4016,0.4341,0.5511,0.4723,0.5117,0.2789,0.2024,0.2406
19.2,-0.361,0.54,0.7074,0.4583,0.4118,0.435,0.5546,0.484,0.5193,0.2846,0.2056,0.2451
19.3,-0.3635,0.5282,0.7161,0.4521,0.4234,0.4378,0.5582,0.4965,0.5274,0.2926,0.2105,0.2515
19.4,-0.3592,0.5146,0.7266,0.4485,0.4361,0.4423,0.5618,0.5092,0.5355,0.3031,0.2174,0.2603
19.5,-0.3483,0.4996,0.7383,0.4471,0.4487,0.4479,0.5653,0.5219,0.5436,0.3162,0.2269,0.2715
19.6,-0.3321,0.4829,0.7505,0.4469,0.4601,0.4535,0.5688,0.5344,0.5516,0.3319,0.2388,0.2854
19.7,-0.3124,0.4645,0.763,0.4469,0.4693,0.4581,0.5726,0.5471,0.5599,0.3497,0.2533,0.3015
19.8,-0.2901,0.4447,0.7763,0.4463,0.4762,0.4613,0.5769,0.5607,0.5688,0.3689,0.2703,0.3196
19.9,-0.2655,0.4237,0.7903,0.4447,0.4809,0.4628,0.5811,0.5748,0.5779,0.389,0.2903,0.3396
20,-0.2378,0.4015,0.8038,0.4416,0.4831,0.4624,0.5846,0.5885,0.5866,0.4094,0.3135,0.3615
20.1,-0.207,0.3786,0.8159,0.4373,0.4827,0.46,0.5869,0.6008,0.5939,0.4298,0.3393,0.3846
20.2,-0.1736,0.3549,0.8257,0.4315,0.4798,0.4557,0.5879,0.611,0.5994,0.4491,0.3669,0.408
20.3,-0.1392,0.3305,0.8326,0.4242,0.4743,0.4493,0.5875,0.6186,0.603,0.4667,0.3956,0.4311
20.4,-0.1051,0.306,0.8369,0.4157,0.4665,0.4411,0.5855,0.6234,0.6045,0.4816,0.4246,0.4531
20.5,-0.0719,0.2825,0.8385,0.4063,0.457,0.4316,0.5819,0.6255,0.6037,0.4929,0.4523,0.4726
20.6,-0.0401,0.2611,0.8372,0.3964,0.4465,0.4215,0.5766,0.6247,0.6007,0.4998,0.4767,0.4882
20.7,-0.011,0.2423,0.8326,0.386,0.4356,0.4108,0.5691,0.6206,0.5948,0.5015,0.4957,0.4986
20.8,0.0145,0.2263,0.8242,0.3753,0.4246,0.3999,0.5588,0.6128,0.5858,0.4981,0.508,0.5031
20.9,0.0358,0.2131,0.8119,0.3649,0.4136,0.3893,0.5457,0.6013,0.5735,0.4895,0.5131,0.5013
