Time,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston,Aveeno - Jennifer Aniston
1.2,0.151,0.7252,0.774,0.7251,0.6032,0.6642,0.8189,0.6947,0.7568,0.6198,0.5933,0.6066
1.3,0.1452,0.7196,0.7524,0.7244,0.6144,0.6694,0.8056,0.6732,0.7394,0.6024,0.578,0.5902
1.4,0.1327,0.7099,0.7281,0.7166,0.6229,0.6698,0.7866,0.6504,0.7185,0.5858,0.5625,0.5741
1.5,0.1159,0.6973,0.7017,0.7032,0.629,0.6661,0.7623,0.6274,0.6949,0.5713,0.5472,0.5592
1.6,0.0984,0.6826,0.6743,0.6858,0.633,0.6594,0.7339,0.6055,0.6697,0.5598,0.5329,0.5463
1.7,0.0826,0.6667,0.6465,0.6652,0.6354,0.6503,0.7024,0.5854,0.6439,0.5527,0.5208,0.5367
1.8,0.0694,0.6501,0.6186,0.6425,0.6367,0.6396,0.6685,0.5673,0.6179,0.5504,0.512,0.5312
1.9,0.0585,0.6336,0.5905,0.619,0.637,0.628,0.6326,0.5509,0.5917,0.5525,0.5067,0.5296
2,0.0502,0.618,0.563,0.5964,0.6364,0.6164,0.5955,0.5356,0.5655,0.558,0.5045,0.5313
2.1,0.0457,0.6039,0.5368,0.5765,0.6346,0.6056,0.5584,0.521,0.5397,0.5661,0.5044,0.5353
2.2,0.0466,0.592,0.5128,0.5602,0.6314,0.5958,0.5222,0.5068,0.5145,0.5758,0.5058,0.5408
2.3,0.0529,0.5827,0.4913,0.5478,0.6272,0.5875,0.4873,0.4927,0.49,0.5864,0.5082,0.5473
2.4,0.0634,0.576,0.4725,0.5397,0.6227,0.5812,0.4539,0.4783,0.4661,0.5975,0.511,0.5543
2.5,0.0765,0.572,0.4568,0.5364,0.619,0.5777,0.4226,0.4637,0.4431,0.6088,0.5137,0.5612
2.6,0.0908,0.5702,0.4452,0.5376,0.6171,0.5774,0.3943,0.4487,0.4215,0.62,0.5162,0.5681
2.7,0.1051,0.5698,0.4381,0.5421,0.617,0.5795,0.3691,0.4331,0.4011,0.6312,0.518,0.5746
2.8,0.1182,0.57,0.4348,0.5481,0.6181,0.5831,0.3466,0.4167,0.3817,0.6415,0.5185,0.58
2.9,0.129,0.5701,0.434,0.5541,0.6195,0.5868,0.3259,0.399,0.3624,0.6501,0.5169,0.5835
3,0.1366,0.5697,0.4345,0.5592,0.6206,0.5899,0.3065,0.3798,0.3431,0.6563,0.5123,0.5843
3.1,0.1407,0.569,0.4358,0.5632,0.6214,0.5923,0.2883,0.3594,0.3238,0.6598,0.5044,0.5821
3.2,0.1421,0.5685,0.4379,0.5663,0.6226,0.5944,0.2716,0.3383,0.3049,0.6606,0.4931,0.5769
3.3,0.141,0.5685,0.4407,0.5688,0.625,0.5969,0.2566,0.3171,0.2869,0.6589,0.4784,0.5686
3.4,0.1378,0.5694,0.4437,0.5707,0.6295,0.6001,0.244,0.2964,0.2702,0.6542,0.46,0.5571
3.5,0.1326,0.5715,0.4469,0.5723,0.6364,0.6044,0.2343,0.277,0.2556,0.6463,0.4379,0.5421
3.6,0.1259,0.5745,0.4506,0.574,0.6452,0.6096,0.2281,0.2598,0.244,0.635,0.4124,0.5237
3.7,0.1186,0.5781,0.4557,0.5761,0.6549,0.6155,0.2259,0.2459,0.2359,0.6208,0.384,0.5024
3.8,0.1117,0.5818,0.4628,0.5784,0.6643,0.6213,0.228,0.2362,0.2321,0.6043,0.3542,0.4793
3.9,0.1058,0.586,0.4717,0.5803,0.673,0.6266,0.2342,0.2308,0.2325,0.5862,0.3245,0.4554
4,0.1003,0.5909,0.4812,0.5815,0.681,0.6312,0.244,0.2295,0.2367,0.5671,0.2963,0.4317
4.1,0.0943,0.5964,0.4902,0.582,0.688,0.635,0.2571,0.2317,0.2444,0.5477,0.2709,0.4093
4.2,0.0867,0.6018,0.4972,0.5812,0.6928,0.637,0.2728,0.2367,0.2547,0.5289,0.2497,0.3893
4.3,0.0777,0.6062,0.5013,0.5785,0.6936,0.636,0.2897,0.2434,0.2666,0.5114,0.234,0.3727
4.4,0.068,0.6093,0.5019,0.5731,0.689,0.6311,0.3059,0.2511,0.2785,0.4956,0.2242,0.3599
4.5,0.0583,0.6117,0.4992,0.5654,0.6794,0.6224,0.3193,0.259,0.2891,0.4816,0.2199,0.3508
4.6,0.0491,0.6144,0.4937,0.556,0.6661,0.6111,0.3288,0.2666,0.2977,0.4693,0.2202,0.3448
4.7,0.0412,0.6182,0.486,0.5461,0.6503,0.5982,0.3345,0.2736,0.304,0.4588,0.224,0.3414
4.8,0.0356,0.6233,0.4763,0.5363,0.6327,0.5845,0.3365,0.2795,0.308,0.45,0.2306,0.3403
4.9,0.0328,0.6295,0.4641,0.5267,0.6138,0.5702,0.3351,0.2842,0.3096,0.4428,0.2397,0.3413
5,0.0319,0.6362,0.4494,0.5172,0.5935,0.5553,0.3305,0.2874,0.309,0.4369,0.2506,0.3437
5.1,0.0315,0.6426,0.4323,0.5082,0.5723,0.5402,0.3233,0.2889,0.3061,0.432,0.2621,0.347
5.2,0.0306,0.6485,0.4133,0.5001,0.5507,0.5254,0.3143,0.2882,0.3012,0.4284,0.2735,0.3509
5.3,0.0285,0.6535,0.3935,0.4927,0.5286,0.5107,0.3049,0.2855,0.2952,0.4263,0.2844,0.3554
5.4,0.0243,0.6574,0.3743,0.4848,0.5057,0.4953,0.2966,0.2815,0.289,0.4259,0.2946,0.3602
5.5,0.0169,0.6596,0.357,0.4747,0.4818,0.4782,0.2905,0.2772,0.2838,0.4266,0.3036,0.3651
5.6,0.0051,0.6595,0.3418,0.4618,0.4565,0.4592,0.2867,0.2733,0.28,0.4274,0.3109,0.3692
5.7,-0.0117,0.6568,0.3287,0.4468,0.4303,0.4386,0.2846,0.27,0.2773,0.4274,0.3154,0.3714
5.8,-0.0332,0.6517,0.3176,0.4306,0.4039,0.4173,0.2833,0.2675,0.2754,0.426,0.3168,0.3714
5.9,-0.0582,0.645,0.3086,0.414,0.3777,0.3959,0.2827,0.2661,0.2744,0.4232,0.3155,0.3694
6,-0.0856,0.6377,0.3021,0.3973,0.3521,0.3747,0.2828,0.266,0.2744,0.4197,0.3128,0.3663
6.1,-0.1153,0.6308,0.298,0.3808,0.327,0.3539,0.2836,0.2678,0.2757,0.416,0.3096,0.3628
6.2,-0.1467,0.6248,0.2963,0.3656,0.3028,0.3342,0.2849,0.2719,0.2784,0.4123,0.3067,0.3595
6.3,-0.1785,0.6201,0.2973,0.3526,0.2798,0.3162,0.2865,0.2783,0.2824,0.4088,0.3044,0.3566
6.4,-0.2094,0.6171,0.3013,0.3427,0.2588,0.3007,0.289,0.2867,0.2878,0.4059,0.3028,0.3544
6.5,-0.2381,0.6156,0.3084,0.3362,0.2408,0.2885,0.2929,0.2964,0.2946,0.4038,0.3022,0.353
6.6,-0.264,0.6154,0.3182,0.3333,0.2269,0.2801,0.2986,0.3069,0.3027,0.4025,0.3025,0.3525
6.7,-0.2861,0.6154,0.3298,0.3335,0.2174,0.2754,0.3057,0.3176,0.3116,0.4014,0.3035,0.3525
6.8,-0.3033,0.6147,0.3418,0.3359,0.212,0.274,0.3134,0.328,0.3207,0.4001,0.3052,0.3527
6.9,-0.3147,0.6125,0.3537,0.3399,0.2097,0.2748,0.321,0.3377,0.3293,0.3985,0.3078,0.3531
7,-0.3201,0.6085,0.3648,0.3447,0.2098,0.2772,0.3279,0.3462,0.3371,0.3973,0.3115,0.3544
7.1,-0.3205,0.603,0.3747,0.35,0.2118,0.2809,0.334,0.3532,0.3436,0.3974,0.3166,0.357
7.2,-0.3174,0.5963,0.3829,0.3555,0.2162,0.2858,0.3385,0.3577,0.3481,0.3991,0.3231,0.3611
7.3,-0.3122,0.5888,0.3886,0.3604,0.2232,0.2918,0.3405,0.3589,0.3497,0.4019,0.3301,0.366
7.4,-0.306,0.5803,0.3915,0.364,0.2326,0.2983,0.3394,0.356,0.3477,0.4053,0.3368,0.3711
7.5,-0.2989,0.5713,0.3917,0.3655,0.2436,0.3046,0.335,0.3491,0.3421,0.409,0.3427,0.3758
7.6,-0.29,0.5623,0.39,0.3646,0.2558,0.3102,0.328,0.339,0.3335,0.4135,0.3479,0.3807
7.7,-0.2782,0.5546,0.3866,0.3613,0.2689,0.3151,0.3187,0.3267,0.3227,0.4194,0.3528,0.3861
7.8,-0.262,0.549,0.3814,0.3556,0.2828,0.3192,0.3076,0.3125,0.3101,0.427,0.3575,0.3923
7.9,-0.2422,0.5457,0.3744,0.3478,0.2977,0.3228,0.2952,0.2968,0.296,0.4362,0.3622,0.3992
8,-0.2201,0.5441,0.366,0.3382,0.3136,0.3259,0.2823,0.2796,0.2809,0.4468,0.3667,0.4068
8.1,-0.1974,0.5435,0.3563,0.3272,0.3301,0.3286,0.2697,0.2612,0.2655,0.4586,0.3713,0.415
8.2,-0.1745,0.5434,0.3453,0.3157,0.3469,0.3313,0.2583,0.2422,0.2502,0.4714,0.3762,0.4238
8.3,-0.1513,0.5435,0.3334,0.3042,0.3633,0.3337,0.2486,0.2234,0.236,0.485,0.3814,0.4332
8.4,-0.1276,0.5439,0.3209,0.2932,0.3789,0.336,0.2414,0.2057,0.2236,0.4994,0.387,0.4432
8.5,-0.1047,0.5448,0.3089,0.283,0.393,0.338,0.2377,0.19,0.2139,0.5144,0.3931,0.4537
8.6,-0.0849,0.5466,0.2982,0.2741,0.4058,0.3399,0.2383,0.1769,0.2076,0.5296,0.3996,0.4646
8.7,-0.0696,0.5495,0.2894,0.2674,0.4177,0.3425,0.2435,0.1671,0.2053,0.5442,0.4061,0.4752
8.8,-0.0586,0.5538,0.2826,0.2642,0.4297,0.3469,0.2532,0.1606,0.2069,0.5572,0.412,0.4846
8.9,-0.0507,0.5595,0.2773,0.2653,0.4426,0.3539,0.2666,0.1571,0.2119,0.5679,0.4166,0.4922
9,-0.0444,0.5664,0.2729,0.2711,0.4568,0.364,0.283,0.1564,0.2197,0.576,0.4197,0.4978
9.1,-0.0393,0.574,0.2693,0.2813,0.4725,0.3769,0.3018,0.1583,0.23,0.5818,0.4212,0.5015
9.2,-0.0356,0.5816,0.2666,0.2949,0.489,0.392,0.3227,0.1624,0.2425,0.5855,0.4211,0.5033
9.3,-0.0332,0.5879,0.2649,0.3108,0.5052,0.408,0.3455,0.1681,0.2568,0.5874,0.4192,0.5033
9.4,-0.032,0.5919,0.2636,0.3276,0.5197,0.4236,0.3697,0.1748,0.2722,0.5876,0.4156,0.5016
9.5,-0.0315,0.5926,0.2621,0.3443,0.5314,0.4379,0.3945,0.182,0.2883,0.5862,0.4099,0.4981
9.6,-0.0308,0.5894,0.2602,0.3599,0.5395,0.4497,0.4192,0.1893,0.3043,0.5832,0.4021,0.4926
9.7,-0.0288,0.5822,0.2577,0.3735,0.5432,0.4584,0.4431,0.1961,0.3196,0.5785,0.3917,0.4851
9.8,-0.0251,0.5715,0.2543,0.3842,0.5426,0.4634,0.4654,0.202,0.3337,0.5724,0.3789,0.4756
9.9,-0.0191,0.5575,0.2498,0.3915,0.5379,0.4647,0.4856,0.207,0.3463,0.5651,0.364,0.4645
10,-0.0108,0.5411,0.2446,0.3952,0.5296,0.4624,0.5031,0.2118,0.3574,0.5574,0.3482,0.4528
10.1,-0.0008,0.5235,0.2396,0.3953,0.5179,0.4566,0.5178,0.217,0.3674,0.5499,0.3332,0.4415
10.2,0.0099,0.5064,0.2359,0.3925,0.5034,0.448,0.5294,0.2232,0.3763,0.5433,0.32,0.4316
10.3,0.02,0.4908,0.2342,0.3872,0.4868,0.437,0.5377,0.2304,0.3841,0.538,0.3095,0.4238
10.4,0.0284,0.4771,0.2343,0.3798,0.4686,0.4242,0.5427,0.2383,0.3905,0.5345,0.3018,0.4182
10.5,0.035,0.4654,0.2353,0.3706,0.4491,0.4098,0.5441,0.2463,0.3952,0.5326,0.2966,0.4146
10.6,0.0401,0.4555,0.237,0.3596,0.4281,0.3938,0.5417,0.2539,0.3978,0.5319,0.2937,0.4128
10.7,0.0443,0.4475,0.2396,0.3473,0.4055,0.3764,0.5361,0.2611,0.3986,0.5326,0.2929,0.4128
10.8,0.0478,0.4415,0.244,0.3346,0.3812,0.3579,0.5285,0.2685,0.3985,0.5345,0.2948,0.4147
10.9,0.0512,0.4377,0.2509,0.3229,0.3557,0.3393,0.5199,0.277,0.3984,0.5381,0.2997,0.4189
11,0.0537,0.436,0.2605,0.3134,0.3303,0.3219,0.5112,0.2868,0.399,0.5433,0.3077,0.4255
11.1,0.0542,0.4355,0.2718,0.3064,0.3063,0.3064,0.5026,0.2977,0.4002,0.55,0.3185,0.4343
11.2,0.052,0.4354,0.2839,0.3018,0.2842,0.293,0.4942,0.3086,0.4014,0.5576,0.3314,0.4445
11.3,0.0479,0.4352,0.2964,0.2992,0.2643,0.2818,0.4859,0.3185,0.4022,0.5655,0.3455,0.4555
11.4,0.0431,0.4348,0.3093,0.2987,0.2472,0.273,0.4777,0.3273,0.4025,0.5738,0.3609,0.4673
11.5,0.0388,0.4343,0.3227,0.3007,0.2334,0.2671,0.4705,0.3353,0.4029,0.5828,0.3776,0.4802
11.6,0.0359,0.4337,0.3365,0.3053,0.223,0.2642,0.4651,0.3432,0.4041,0.5927,0.3958,0.4942
11.7,0.0349,0.433,0.3503,0.3117,0.2155,0.2636,0.462,0.351,0.4065,0.6035,0.4154,0.5094
11.8,0.0356,0.4318,0.3643,0.3192,0.2104,0.2648,0.4614,0.3588,0.4101,0.6147,0.4364,0.5256
11.9,0.0371,0.4303,0.3787,0.3274,0.2083,0.2678,0.4631,0.3668,0.415,0.6259,0.4584,0.5422
12,0.039,0.4284,0.394,0.3364,0.2101,0.2732,0.4665,0.3752,0.4208,0.6365,0.481,0.5588
12.1,0.0407,0.4262,0.4099,0.346,0.2166,0.2813,0.4709,0.3838,0.4273,0.6463,0.5036,0.575
12.2,0.0424,0.4234,0.426,0.3558,0.2273,0.2915,0.4758,0.3918,0.4338,0.6554,0.526,0.5907
12.3,0.0444,0.4198,0.4419,0.3652,0.2405,0.3028,0.4809,0.3989,0.4399,0.6639,0.5483,0.6061
12.4,0.0473,0.4153,0.4576,0.3741,0.2549,0.3145,0.4866,0.4051,0.4458,0.6722,0.5703,0.6213
12.5,0.0515,0.4102,0.4735,0.3826,0.2702,0.3264,0.4931,0.4113,0.4522,0.6805,0.5915,0.636
12.6,0.0565,0.4048,0.4897,0.3912,0.2864,0.3388,0.5007,0.4182,0.4594,0.6887,0.6113,0.65
12.7,0.0614,0.3995,0.5055,0.3999,0.3034,0.3517,0.5093,0.4261,0.4677,0.6971,0.6294,0.6633
12.8,0.0654,0.3944,0.5202,0.4087,0.3212,0.365,0.5186,0.4349,0.4768,0.7058,0.6458,0.6758
12.9,0.0686,0.3897,0.5334,0.4178,0.3395,0.3787,0.5283,0.4445,0.4864,0.7142,0.6601,0.6872
13,0.0708,0.3855,0.545,0.4277,0.3587,0.3932,0.5373,0.4547,0.496,0.7213,0.6714,0.6963
13.1,0.0709,0.3828,0.5553,0.4393,0.3794,0.4093,0.545,0.4652,0.5051,0.7261,0.6793,0.7027
13.2,0.0678,0.3826,0.5639,0.4533,0.4022,0.4278,0.5512,0.4762,0.5137,0.7287,0.6839,0.7063
13.3,0.0609,0.3858,0.571,0.4706,0.4274,0.449,0.5558,0.4877,0.5217,0.7297,0.6859,0.7078
13.4,0.0504,0.3928,0.5767,0.4915,0.4542,0.4728,0.5587,0.4996,0.5292,0.7293,0.6859,0.7076
13.5,0.037,0.4037,0.5812,0.5158,0.4817,0.4988,0.5597,0.5114,0.5355,0.7275,0.6839,0.7057
13.6,0.0219,0.418,0.5846,0.5432,0.5094,0.5263,0.5583,0.522,0.5402,0.7237,0.6798,0.7018
13.7,0.0062,0.4342,0.5868,0.5724,0.5362,0.5543,0.5548,0.5307,0.5427,0.7179,0.6733,0.6956
13.8,-0.0088,0.451,0.5876,0.6015,0.5614,0.5814,0.5498,0.5369,0.5434,0.7103,0.6647,0.6875
13.9,-0.0217,0.4672,0.5871,0.6289,0.5837,0.6063,0.5442,0.541,0.5426,0.7016,0.6549,0.6782
14,-0.0321,0.4819,0.5861,0.6531,0.6024,0.6277,0.5388,0.5435,0.5411,0.6926,0.6447,0.6686
14.1,-0.0401,0.4947,0.5851,0.6729,0.6168,0.6449,0.5338,0.5449,0.5394,0.6835,0.6348,0.6592
14.2,-0.046,0.5052,0.5842,0.6876,0.6265,0.6571,0.529,0.5449,0.5369,0.6743,0.6253,0.6498
14.3,-0.0496,0.5134,0.5831,0.6965,0.6315,0.664,0.5236,0.5431,0.5333,0.665,0.6161,0.6406
14.4,-0.0511,0.5187,0.5809,0.6991,0.6318,0.6655,0.5171,0.5388,0.528,0.6556,0.6069,0.6313
14.5,-0.0501,0.5207,0.5772,0.6952,0.6272,0.6612,0.5091,0.5316,0.5204,0.6462,0.5981,0.6221
14.6,-0.0466,0.5197,0.5724,0.6854,0.6174,0.6514,0.4995,0.5214,0.5104,0.637,0.59,0.6135
14.7,-0.0408,0.5164,0.5676,0.6709,0.6026,0.6368,0.4883,0.509,0.4986,0.6282,0.583,0.6056
14.8,-0.0342,0.5116,0.5636,0.6529,0.5836,0.6183,0.4759,0.4953,0.4856,0.6203,0.5777,0.599
14.9,-0.0283,0.5057,0.5606,0.6324,0.5616,0.597,0.463,0.4812,0.4721,0.6132,0.5743,0.5937
