Time,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch,Big W - Think Big - Launch
5.3,-0.2312,0.6448,0.454,0.4698,0.6004,0.5351,0.7173,0.5768,0.6471,0.6593,0.4654,0.5624
5.4,-0.2386,0.6587,0.4695,0.487,0.6228,0.5549,0.7445,0.6038,0.6742,0.7031,0.4943,0.5987
5.5,-0.2426,0.6723,0.488,0.5034,0.6449,0.5741,0.7693,0.6339,0.7016,0.7465,0.5253,0.6359
5.6,-0.2439,0.6859,0.5085,0.5186,0.6655,0.592,0.791,0.6653,0.7282,0.7884,0.5573,0.6728
5.7,-0.244,0.7,0.5301,0.5325,0.6845,0.6085,0.8093,0.6967,0.753,0.8279,0.5892,0.7085
5.8,-0.2445,0.7156,0.552,0.5455,0.7022,0.6239,0.824,0.7264,0.7752,0.8644,0.6198,0.7421
5.9,-0.2466,0.7333,0.5729,0.5583,0.7191,0.6387,0.8356,0.7532,0.7944,0.8969,0.6474,0.7721
6,-0.2497,0.7528,0.5915,0.5711,0.7349,0.653,0.8444,0.7758,0.8101,0.9244,0.6702,0.7973
6.1,-0.2526,0.7734,0.6075,0.5841,0.749,0.6665,0.851,0.7942,0.8226,0.9469,0.688,0.8174
6.2,-0.2545,0.794,0.6212,0.597,0.7604,0.6787,0.8559,0.809,0.8324,0.965,0.7014,0.8332
6.3,-0.2557,0.8141,0.6329,0.6097,0.7689,0.6893,0.8592,0.8208,0.84,0.9796,0.7122,0.8459
6.4,-0.2568,0.8334,0.643,0.622,0.7745,0.6982,0.8612,0.8295,0.8454,0.9913,0.722,0.8566
6.5,-0.2582,0.8517,0.6518,0.6338,0.7778,0.7058,0.8622,0.8352,0.8487,1.0003,0.7314,0.8658
6.6,-0.2598,0.8687,0.6597,0.6455,0.7792,0.7123,0.8625,0.8382,0.8503,1.0067,0.7409,0.8738
6.7,-0.2602,0.8846,0.6671,0.6578,0.7795,0.7186,0.8624,0.8389,0.8507,1.0111,0.7508,0.8809
6.8,-0.2574,0.8996,0.674,0.6714,0.7795,0.7254,0.8625,0.838,0.8502,1.0144,0.7614,0.8879
6.9,-0.2496,0.9138,0.6806,0.6867,0.7798,0.7332,0.8629,0.8357,0.8493,1.017,0.7731,0.895
7,-0.2362,0.9266,0.6873,0.7033,0.7806,0.742,0.8633,0.8327,0.848,1.0187,0.7861,0.9024
7.1,-0.217,0.9374,0.6947,0.7207,0.7816,0.7512,0.8629,0.8295,0.8462,1.0192,0.8002,0.9097
7.2,-0.1916,0.9452,0.7031,0.7381,0.7822,0.7602,0.861,0.8265,0.8437,1.0177,0.8153,0.9165
7.3,-0.1593,0.9492,0.7128,0.7546,0.7817,0.7681,0.857,0.8234,0.8402,1.0138,0.831,0.9224
7.4,-0.1203,0.9488,0.7232,0.7697,0.7791,0.7744,0.8512,0.8195,0.8353,1.0073,0.8467,0.927
7.5,-0.0762,0.9438,0.7339,0.7833,0.7743,0.7788,0.8441,0.8145,0.8293,0.9986,0.8617,0.9301
7.6,-0.0302,0.9345,0.7448,0.7949,0.7676,0.7813,0.8363,0.8088,0.8226,0.9881,0.8758,0.932
7.7,0.0131,0.9216,0.7563,0.8042,0.7595,0.7819,0.828,0.803,0.8155,0.9765,0.8888,0.9327
7.8,0.0494,0.906,0.7681,0.8105,0.7503,0.7804,0.8194,0.7969,0.8081,0.9636,0.8999,0.9318
7.9,0.0758,0.8885,0.7798,0.8136,0.7404,0.777,0.8105,0.7905,0.8005,0.9496,0.9084,0.929
8,0.0914,0.8698,0.7912,0.8142,0.7304,0.7723,0.8017,0.7839,0.7928,0.9348,0.9139,0.9243
8.1,0.0963,0.8507,0.8017,0.8127,0.721,0.7668,0.793,0.7772,0.7851,0.9191,0.9158,0.9175
8.2,0.0908,0.8312,0.8102,0.8093,0.712,0.7606,0.7842,0.7697,0.7769,0.9017,0.9131,0.9074
8.3,0.0753,0.8121,0.8161,0.804,0.7037,0.7538,0.7745,0.7611,0.7678,0.8821,0.9055,0.8938
8.4,0.0505,0.7938,0.8193,0.7971,0.696,0.7465,0.7636,0.7518,0.7577,0.8609,0.8938,0.8773
8.5,0.0183,0.7766,0.8197,0.7887,0.6887,0.7387,0.7515,0.7421,0.7468,0.8388,0.8788,0.8588
8.6,-0.0188,0.7602,0.8165,0.7791,0.6816,0.7304,0.7386,0.7324,0.7355,0.8161,0.8612,0.8386
8.7,-0.0579,0.7443,0.8095,0.7685,0.6743,0.7214,0.7252,0.7231,0.7241,0.7931,0.8416,0.8173
8.8,-0.0975,0.7293,0.7992,0.7571,0.6673,0.7122,0.7117,0.7146,0.7131,0.7708,0.8214,0.7961
8.9,-0.1372,0.7156,0.7865,0.7454,0.6606,0.703,0.6982,0.7073,0.7027,0.7502,0.8022,0.7762
9,-0.1764,0.7035,0.7719,0.7337,0.6543,0.694,0.6844,0.7013,0.6928,0.7318,0.785,0.7584
9.1,-0.2141,0.6926,0.7557,0.7218,0.6479,0.6848,0.6702,0.6961,0.6832,0.7153,0.7698,0.7426
9.2,-0.249,0.682,0.738,0.7096,0.6405,0.675,0.6553,0.6913,0.6733,0.7001,0.7563,0.7282
9.3,-0.28,0.6706,0.7195,0.697,0.6317,0.6643,0.64,0.6869,0.6635,0.6861,0.7441,0.7151
9.4,-0.3065,0.6581,0.7012,0.6844,0.6214,0.6529,0.6248,0.6834,0.6541,0.6741,0.7336,0.7038
9.5,-0.3277,0.6444,0.6841,0.672,0.6099,0.641,0.6102,0.6814,0.6458,0.6648,0.7254,0.6951
9.6,-0.3424,0.6295,0.6686,0.66,0.5973,0.6287,0.5965,0.6811,0.6388,0.6582,0.7196,0.6889
9.7,-0.3494,0.6133,0.6541,0.6485,0.5836,0.616,0.5838,0.6818,0.6328,0.6536,0.7156,0.6846
9.8,-0.3475,0.5958,0.6405,0.6379,0.5691,0.6035,0.5719,0.6831,0.6275,0.6499,0.7125,0.6812
9.9,-0.3358,0.5776,0.6279,0.6285,0.5548,0.5916,0.5612,0.6852,0.6232,0.6465,0.7096,0.6781
10,-0.314,0.5591,0.6166,0.6205,0.5414,0.581,0.5522,0.6885,0.6203,0.6437,0.7069,0.6753
10.1,-0.2824,0.541,0.6077,0.6141,0.529,0.5716,0.5457,0.6933,0.6195,0.6424,0.705,0.6737
10.2,-0.2423,0.5239,0.6023,0.6086,0.5174,0.563,0.5426,0.6996,0.6211,0.6431,0.7048,0.674
10.3,-0.1959,0.5081,0.6019,0.6036,0.5062,0.5549,0.5433,0.707,0.6251,0.6466,0.707,0.6768
10.4,-0.1462,0.4941,0.6075,0.5992,0.4962,0.5477,0.548,0.7155,0.6318,0.6531,0.7113,0.6822
10.5,-0.0964,0.4826,0.619,0.5962,0.4888,0.5425,0.5567,0.7249,0.6408,0.6626,0.7173,0.69
10.6,-0.0497,0.4749,0.6355,0.5953,0.4854,0.5404,0.5692,0.7346,0.6519,0.6748,0.7242,0.6995
10.7,-0.009,0.472,0.6556,0.5972,0.487,0.5421,0.5854,0.744,0.6647,0.6891,0.7311,0.7101
10.8,0.0235,0.4748,0.6783,0.6021,0.4937,0.5479,0.6051,0.7525,0.6788,0.7049,0.738,0.7215
10.9,0.0461,0.4835,0.7036,0.6102,0.5056,0.5579,0.6279,0.7606,0.6943,0.7221,0.7452,0.7336
11,0.0582,0.4977,0.731,0.6208,0.5225,0.5717,0.653,0.7686,0.7108,0.7405,0.7531,0.7468
11.1,0.0596,0.5164,0.7592,0.6333,0.5432,0.5883,0.6793,0.7764,0.7279,0.7595,0.7613,0.7604
11.2,0.0512,0.5381,0.7863,0.6466,0.5664,0.6065,0.7055,0.7832,0.7444,0.7775,0.7691,0.7733
11.3,0.0349,0.5613,0.811,0.66,0.5905,0.6253,0.7303,0.7886,0.7594,0.7932,0.7757,0.7845
11.4,0.0125,0.5846,0.8327,0.6728,0.6144,0.6436,0.7521,0.7923,0.7722,0.8055,0.7807,0.7931
11.5,-0.0144,0.6068,0.8503,0.6838,0.637,0.6604,0.7696,0.7939,0.7818,0.8138,0.7838,0.7988
11.6,-0.0445,0.6273,0.8628,0.6924,0.6576,0.675,0.782,0.7934,0.7877,0.8185,0.7851,0.8018
11.7,-0.0761,0.6459,0.8703,0.6985,0.6761,0.6873,0.7893,0.7915,0.7904,0.8211,0.7855,0.8033
11.8,-0.1075,0.6633,0.8735,0.7032,0.6926,0.6979,0.7922,0.7887,0.7905,0.8225,0.786,0.8042
11.9,-0.1375,0.6792,0.8729,0.7067,0.7066,0.7067,0.7915,0.7849,0.7882,0.8225,0.7859,0.8042
12,-0.1663,0.6934,0.8686,0.7092,0.7177,0.7134,0.7873,0.7798,0.7835,0.8205,0.7845,0.8025
12.1,-0.194,0.7059,0.8619,0.7104,0.7257,0.7181,0.7798,0.7735,0.7767,0.8169,0.7817,0.7993
12.2,-0.2199,0.717,0.8541,0.7104,0.7307,0.7206,0.7693,0.7663,0.7678,0.8126,0.778,0.7953
12.3,-0.2424,0.7273,0.8462,0.7094,0.7327,0.7211,0.7565,0.7585,0.7575,0.8084,0.7738,0.7911
12.4,-0.2602,0.7367,0.8387,0.7078,0.7316,0.7197,0.7425,0.75,0.7463,0.804,0.7685,0.7863
12.5,-0.2729,0.7452,0.8314,0.7055,0.7275,0.7165,0.7285,0.7407,0.7346,0.7996,0.7616,0.7806
12.6,-0.2816,0.7528,0.8235,0.7027,0.7209,0.7118,0.7153,0.7311,0.7232,0.7953,0.7527,0.774
12.7,-0.2884,0.7603,0.8149,0.6994,0.7124,0.7059,0.7032,0.7221,0.7127,0.7921,0.7427,0.7674
12.8,-0.2953,0.7687,0.8065,0.6957,0.7029,0.6993,0.6925,0.7147,0.7036,0.7911,0.7333,0.7622
12.9,-0.3037,0.7788,0.7989,0.6918,0.6927,0.6923,0.6831,0.7093,0.6962,0.7922,0.7254,0.7588
13,-0.315,0.7905,0.7924,0.6879,0.682,0.6849,0.6753,0.7053,0.6903,0.7949,0.7191,0.757
13.1,-0.3308,0.8037,0.7864,0.6842,0.6714,0.6778,0.6698,0.7024,0.6861,0.7995,0.7146,0.7571
13.2,-0.3522,0.8186,0.781,0.6811,0.6619,0.6715,0.6674,0.7015,0.6845,0.807,0.713,0.76
13.3,-0.3792,0.8356,0.7762,0.6792,0.6544,0.6668,0.669,0.7032,0.6861,0.8183,0.7149,0.7666
13.4,-0.4106,0.855,0.7731,0.679,0.6494,0.6642,0.6753,0.7087,0.692,0.834,0.7214,0.7777
13.5,-0.4441,0.8764,0.7737,0.6815,0.6475,0.6645,0.6866,0.7191,0.7029,0.8542,0.7334,0.7938
13.6,-0.4773,0.8992,0.7789,0.6872,0.6496,0.6684,0.7026,0.735,0.7188,0.8784,0.7511,0.8147
13.7,-0.5086,0.9222,0.7876,0.6967,0.6563,0.6765,0.7225,0.7555,0.739,0.9054,0.7733,0.8393
13.8,-0.5368,0.9444,0.7974,0.7097,0.6676,0.6887,0.7453,0.7789,0.7621,0.9337,0.798,0.8658
13.9,-0.5605,0.9647,0.806,0.725,0.6824,0.7037,0.7697,0.803,0.7864,0.9614,0.8232,0.8923
14,-0.5773,0.9817,0.8123,0.7409,0.6986,0.7197,0.7943,0.8262,0.8103,0.9866,0.8478,0.9172
14.1,-0.5843,0.9937,0.8164,0.7554,0.7144,0.7349,0.8183,0.8475,0.8329,1.008,0.8708,0.9394
14.2,-0.5804,0.9997,0.8188,0.7676,0.7286,0.7481,0.841,0.8666,0.8538,1.0248,0.8918,0.9583
14.3,-0.5659,0.999,0.8191,0.7771,0.7403,0.7587,0.8611,0.8827,0.8719,1.0365,0.9097,0.9731
14.4,-0.5418,0.9918,0.8166,0.7832,0.7484,0.7658,0.8771,0.8946,0.8858,1.0425,0.9236,0.983
14.5,-0.5098,0.9784,0.811,0.7852,0.7519,0.7685,0.8874,0.9004,0.8939,1.0414,0.9321,0.9868
14.6,-0.4709,0.9596,0.8022,0.7823,0.7499,0.7661,0.8906,0.8989,0.8948,1.0324,0.9343,0.9833
14.7,-0.4254,0.9363,0.7902,0.7746,0.7429,0.7587,0.8865,0.8899,0.8882,1.0152,0.9296,0.9724
14.8,-0.3737,0.9098,0.7751,0.7631,0.7318,0.7474,0.8758,0.8741,0.875,0.991,0.9185,0.9548
14.9,-0.3171,0.8818,0.7573,0.7491,0.7178,0.7335,0.8603,0.8533,0.8568,0.9622,0.902,0.9321
15,-0.2581,0.8536,0.7382,0.7338,0.7014,0.7176,0.8417,0.8287,0.8352,0.9306,0.8814,0.906
15.1,-0.2004,0.8263,0.7187,0.718,0.6825,0.7002,0.8208,0.8011,0.811,0.8972,0.8576,0.8774
15.2,-0.1472,0.8002,0.6996,0.7017,0.6612,0.6815,0.7982,0.771,0.7846,0.8627,0.8312,0.8469
15.3,-0.1008,0.7757,0.6806,0.6847,0.6381,0.6614,0.774,0.7388,0.7564,0.8281,0.8024,0.8152
15.4,-0.0622,0.7534,0.6617,0.6669,0.614,0.6405,0.749,0.7057,0.7274,0.7947,0.7722,0.7834
15.5,-0.0319,0.7334,0.6433,0.6481,0.59,0.6191,0.724,0.6729,0.6984,0.764,0.7419,0.753
15.6,-0.0106,0.7157,0.6256,0.6285,0.5669,0.5977,0.6996,0.6409,0.6703,0.7363,0.713,0.7247
15.7,0.0002,0.7001,0.6077,0.6086,0.5451,0.5769,0.6763,0.6104,0.6433,0.7118,0.6861,0.699
15.8,-0.0003,0.6866,0.5889,0.5886,0.5258,0.5572,0.6541,0.5817,0.6179,0.6903,0.6617,0.676
15.9,-0.0119,0.6753,0.5684,0.5687,0.5095,0.5391,0.633,0.5553,0.5941,0.6722,0.6401,0.6561
16,-0.0329,0.6662,0.547,0.5494,0.4972,0.5233,0.6128,0.5318,0.5723,0.6579,0.6219,0.6399
16.1,-0.0613,0.6598,0.5261,0.5315,0.4893,0.5104,0.5939,0.5116,0.5527,0.6473,0.6075,0.6274
16.2,-0.0937,0.6556,0.5074,0.5156,0.4864,0.501,0.5765,0.4949,0.5357,0.64,0.5971,0.6185
16.3,-0.1267,0.6531,0.4912,0.5024,0.4883,0.4954,0.5609,0.4815,0.5212,0.6352,0.5898,0.6125
16.4,-0.157,0.6515,0.4767,0.4921,0.4948,0.4935,0.5476,0.4711,0.5093,0.6329,0.5851,0.609
16.5,-0.1826,0.6501,0.4636,0.4844,0.5055,0.495,0.5365,0.4639,0.5002,0.6332,0.5826,0.6079
16.6,-0.2024,0.6482,0.4526,0.4787,0.5195,0.4991,0.5273,0.4599,0.4936,0.6361,0.5824,0.6092
16.7,-0.217,0.645,0.4444,0.474,0.5359,0.505,0.519,0.4587,0.4889,0.6404,0.5835,0.6119
16.8,-0.2274,0.6401,0.4402,0.47,0.5544,0.5122,0.5106,0.4595,0.485,0.6445,0.5852,0.6149
16.9,-0.235,0.6332,0.4401,0.4662,0.5746,0.5204,0.5013,0.4617,0.4815,0.6474,0.5864,0.6169
17,-0.2406,0.6242,0.4437,0.4623,0.5958,0.5291,0.4905,0.4646,0.4776,0.6485,0.586,0.6172
17.1,-0.245,0.6131,0.4508,0.4575,0.6173,0.5374,0.4787,0.4676,0.4732,0.6477,0.5835,0.6156
17.2,-0.2489,0.5998,0.4616,0.4512,0.638,0.5446,0.4662,0.471,0.4686,0.6453,0.5796,0.6124
17.3,-0.2525,0.5846,0.4769,0.4434,0.6572,0.5503,0.4534,0.4753,0.4644,0.6417,0.5751,0.6084
17.4,-0.2555,0.5684,0.4964,0.4348,0.6749,0.5549,0.441,0.4812,0.4611,0.6375,0.5711,0.6043
17.5,-0.257,0.5524,0.5189,0.4264,0.6911,0.5588,0.4302,0.4886,0.4594,0.6335,0.5682,0.6009
17.6,-0.2557,0.5377,0.5429,0.4194,0.7054,0.5624,0.4221,0.497,0.4596,0.6304,0.5669,0.5987
17.7,-0.2505,0.5252,0.5671,0.414,0.7168,0.5654,0.4176,0.5058,0.4617,0.6283,0.5673,0.5978
17.8,-0.2416,0.5154,0.5907,0.4104,0.7246,0.5675,0.4169,0.5143,0.4656,0.6269,0.5693,0.5981
17.9,-0.2293,0.5089,0.6123,0.4087,0.7291,0.5689,0.4199,0.5222,0.4711,0.6257,0.5725,0.5991
18,-0.2138,0.5062,0.6311,0.4095,0.7308,0.5702,0.4264,0.5294,0.4779,0.6246,0.5765,0.6006
18.1,-0.1945,0.5079,0.6472,0.4134,0.7308,0.5721,0.4366,0.5365,0.4865,0.6241,0.5813,0.6027
18.2,-0.1713,0.5145,0.6615,0.421,0.7296,0.5753,0.4505,0.544,0.4973,0.6245,0.5871,0.6058
18.3,-0.1454,0.526,0.6748,0.4322,0.727,0.5796,0.468,0.5528,0.5104,0.6265,0.5941,0.6103
18.4,-0.1191,0.5418,0.6869,0.4461,0.7231,0.5846,0.4881,0.5629,0.5255,0.63,0.6025,0.6163
18.5,-0.094,0.5605,0.6967,0.4617,0.7179,0.5898,0.5099,0.5738,0.5419,0.6348,0.6121,0.6235
18.6,-0.0703,0.581,0.7027,0.4778,0.7118,0.5948,0.5325,0.5851,0.5588,0.6407,0.6226,0.6316
18.7,-0.0466,0.6026,0.7044,0.4939,0.7051,0.5995,0.5553,0.5962,0.5758,0.647,0.6338,0.6404
18.8,-0.0217,0.6247,0.7027,0.51,0.6979,0.604,0.5781,0.6073,0.5927,0.6536,0.6453,0.6495
18.9,0.0046,0.6466,0.6984,0.5262,0.6905,0.6083,0.6003,0.6183,0.6093,0.6602,0.6569,0.6586
19,0.0316,0.6674,0.6921,0.5421,0.6827,0.6124,0.6214,0.6288,0.6251,0.6666,0.6682,0.6674
19.1,0.0591,0.6862,0.684,0.5577,0.6748,0.6163,0.6409,0.6382,0.6395,0.6727,0.6788,0.6757
19.2,0.0869,0.7028,0.6745,0.5727,0.6673,0.62,0.6585,0.646,0.6522,0.678,0.6882,0.6831
19.3,0.1156,0.7176,0.6639,0.5867,0.6604,0.6235,0.6736,0.6519,0.6627,0.682,0.6957,0.6889
19.4,0.1449,0.7307,0.6524,0.5993,0.6541,0.6267,0.6858,0.6557,0.6708,0.684,0.7006,0.6923
19.5,0.1741,0.7417,0.6402,0.6095,0.6483,0.6289,0.6949,0.6575,0.6762,0.6835,0.7021,0.6928
19.6,0.2025,0.7503,0.6272,0.6165,0.6425,0.6295,0.7004,0.6574,0.6789,0.68,0.7001,0.6901
19.7,0.2293,0.7561,0.6137,0.62,0.6368,0.6284,0.7024,0.6556,0.679,0.6738,0.6944,0.6841
19.8,0.2537,0.7593,0.5998,0.6205,0.6311,0.6258,0.701,0.6521,0.6766,0.6647,0.6848,0.6748
19.9,0.2743,0.76,0.5854,0.6182,0.6255,0.6219,0.6964,0.6469,0.6716,0.6526,0.6711,0.6619
20,0.2892,0.758,0.5709,0.6135,0.6203,0.6169,0.6887,0.6399,0.6643,0.6375,0.6532,0.6454
20.1,0.2966,0.7538,0.5568,0.6068,0.6157,0.6113,0.6781,0.6314,0.6548,0.6196,0.6314,0.6255
20.2,0.2956,0.7477,0.5437,0.5987,0.6122,0.6054,0.6649,0.6218,0.6434,0.5994,0.6067,0.6031
20.3,0.2873,0.7406,0.5321,0.5898,0.6099,0.5999,0.6498,0.6115,0.6307,0.578,0.5802,0.5791
20.4,0.2732,0.7331,0.522,0.5808,0.6093,0.5951,0.6334,0.6008,0.6171,0.5566,0.5536,0.5551
20.5,0.2543,0.7255,0.513,0.5717,0.6102,0.591,0.6167,0.5899,0.6033,0.5365,0.5281,0.5323
20.6,0.2305,0.7177,0.5042,0.5625,0.6127,0.5876,0.6001,0.579,0.5896,0.5183,0.5049,0.5116
20.7,0.2018,0.7101,0.4949,0.5532,0.6171,0.5852,0.5841,0.5685,0.5763,0.5019,0.4842,0.4931
20.8,0.1685,0.7029,0.4853,0.5441,0.624,0.584,0.5694,0.5583,0.5638,0.4872,0.4664,0.4768
20.9,0.1307,0.6963,0.4752,0.5354,0.6336,0.5845,0.5565,0.5485,0.5525,0.4742,0.4514,0.4628
21,0.0888,0.6905,0.4653,0.5278,0.646,0.5869,0.5461,0.5393,0.5427,0.4631,0.4394,0.4513
21.1,0.043,0.6854,0.4562,0.5218,0.6613,0.5915,0.539,0.5312,0.5351,0.4549,0.4309,0.4429
21.2,-0.0056,0.6811,0.4487,0.5177,0.68,0.5989,0.5355,0.5253,0.5304,0.4506,0.426,0.4383
