Time,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15,Ladbrokes 101 on every runner TVC 15
3.4,0.4088,0.459,0.3876,0.6285,0.1807,0.4046,0.6515,0.4573,0.5544,0.4094,0.3535,0.3815
3.5,0.3803,0.4606,0.4126,0.6143,0.1809,0.3976,0.6584,0.4761,0.5673,0.4295,0.382,0.4058
3.6,0.3549,0.4706,0.4385,0.6069,0.1895,0.3982,0.6691,0.4972,0.5832,0.4493,0.4109,0.4301
3.7,0.3329,0.4871,0.4641,0.6056,0.2045,0.4051,0.6832,0.52,0.6016,0.4684,0.4395,0.454
3.8,0.3142,0.5085,0.489,0.6097,0.2244,0.4171,0.7003,0.5439,0.6221,0.4865,0.4677,0.4771
3.9,0.298,0.5339,0.5129,0.6189,0.2483,0.4336,0.7197,0.5686,0.6441,0.5034,0.4951,0.4992
4,0.2837,0.5628,0.5356,0.6335,0.276,0.4548,0.7407,0.5937,0.6672,0.5187,0.5219,0.5203
4.1,0.2712,0.5953,0.5569,0.6545,0.3075,0.481,0.7624,0.6191,0.6907,0.5324,0.5478,0.5401
4.2,0.2606,0.6311,0.5772,0.6821,0.3417,0.5119,0.784,0.645,0.7145,0.5441,0.5726,0.5584
4.3,0.2516,0.6692,0.5972,0.7152,0.378,0.5466,0.8051,0.6714,0.7383,0.5541,0.5961,0.5751
4.4,0.2436,0.7076,0.6169,0.7524,0.4158,0.5841,0.8258,0.6981,0.762,0.5622,0.6182,0.5902
4.5,0.2351,0.7444,0.6363,0.7909,0.455,0.623,0.8454,0.7245,0.785,0.5684,0.6388,0.6036
4.6,0.2253,0.7779,0.655,0.8274,0.4951,0.6612,0.8633,0.7499,0.8066,0.5729,0.6576,0.6152
4.7,0.2146,0.8059,0.6725,0.858,0.534,0.696,0.8785,0.7737,0.8261,0.5753,0.6739,0.6246
4.8,0.2052,0.826,0.6881,0.8799,0.5691,0.7245,0.8903,0.7948,0.8426,0.5754,0.687,0.6312
4.9,0.1997,0.8366,0.7009,0.8913,0.5979,0.7446,0.8981,0.8122,0.8552,0.573,0.6962,0.6346
5,0.199,0.8375,0.7103,0.8917,0.6187,0.7552,0.9012,0.8244,0.8628,0.5675,0.7009,0.6342
5.1,0.202,0.8299,0.7158,0.8817,0.6318,0.7567,0.8992,0.831,0.8651,0.5592,0.7009,0.63
5.2,0.2065,0.8157,0.7179,0.8634,0.6383,0.7509,0.8922,0.8325,0.8624,0.5482,0.6963,0.6222
5.3,0.2114,0.7969,0.7176,0.8393,0.64,0.7397,0.8809,0.8302,0.8555,0.5351,0.6878,0.6114
5.4,0.2162,0.7751,0.7156,0.812,0.6381,0.7251,0.8662,0.8253,0.8457,0.5205,0.6763,0.5984
5.5,0.2214,0.7517,0.7133,0.7837,0.6335,0.7086,0.8492,0.8189,0.8341,0.5055,0.6629,0.5842
5.6,0.2263,0.7274,0.7113,0.7559,0.6265,0.6912,0.8304,0.8116,0.821,0.4904,0.6478,0.5691
5.7,0.2303,0.703,0.7097,0.7291,0.6177,0.6734,0.8099,0.8032,0.8066,0.4755,0.6309,0.5532
5.8,0.2323,0.6793,0.7086,0.7041,0.6077,0.6559,0.7881,0.7937,0.7909,0.4612,0.6128,0.537
5.9,0.2319,0.6569,0.7091,0.6826,0.5974,0.64,0.7661,0.7836,0.7749,0.4483,0.5949,0.5216
6,0.2287,0.637,0.7121,0.6659,0.5877,0.6268,0.7448,0.774,0.7594,0.4379,0.5783,0.5081
6.1,0.2214,0.6208,0.7177,0.6544,0.5806,0.6175,0.7248,0.765,0.7449,0.4299,0.5634,0.4967
6.2,0.2085,0.6092,0.7245,0.6478,0.5779,0.6128,0.706,0.756,0.731,0.4235,0.5498,0.4867
6.3,0.1889,0.6029,0.7314,0.6454,0.5812,0.6133,0.6882,0.7466,0.7174,0.4179,0.5371,0.4775
6.4,0.1624,0.6023,0.7376,0.6471,0.5914,0.6192,0.671,0.7368,0.7039,0.4124,0.5252,0.4688
6.5,0.13,0.6072,0.7431,0.6525,0.6084,0.6305,0.6542,0.7267,0.6904,0.407,0.5143,0.4606
6.6,0.0934,0.617,0.748,0.6612,0.6318,0.6465,0.6385,0.7165,0.6775,0.4021,0.5048,0.4535
6.7,0.054,0.6304,0.7521,0.6724,0.661,0.6667,0.6248,0.7065,0.6657,0.3984,0.4975,0.4479
6.8,0.0123,0.6466,0.7546,0.6855,0.6959,0.6907,0.6141,0.6969,0.6555,0.396,0.4931,0.4445
6.9,-0.0313,0.6649,0.7561,0.6998,0.7359,0.7178,0.6063,0.6882,0.6473,0.3953,0.4923,0.4438
7,-0.0768,0.6846,0.7574,0.7143,0.7803,0.7473,0.6011,0.6812,0.6412,0.3964,0.4956,0.446
7.1,-0.1245,0.7056,0.7594,0.728,0.8281,0.778,0.5975,0.6758,0.6367,0.3989,0.503,0.451
7.2,-0.1747,0.7279,0.7618,0.7402,0.8778,0.809,0.5948,0.6713,0.6331,0.4024,0.5141,0.4582
7.3,-0.2264,0.7516,0.7646,0.7513,0.9281,0.8397,0.5933,0.6675,0.6304,0.4073,0.5286,0.4679
7.4,-0.278,0.7762,0.7685,0.7621,0.9773,0.8697,0.5943,0.6652,0.6298,0.4156,0.5473,0.4814
7.5,-0.3279,0.801,0.775,0.7732,1.0243,0.8988,0.5987,0.6658,0.6323,0.4293,0.5704,0.4998
7.6,-0.3752,0.8252,0.7845,0.7846,1.0682,0.9264,0.6071,0.6701,0.6386,0.4499,0.5968,0.5234
7.7,-0.4188,0.848,0.7962,0.7954,1.1079,0.9516,0.6188,0.6772,0.648,0.4771,0.6246,0.5509
7.8,-0.4571,0.8687,0.8085,0.8047,1.1421,0.9734,0.6327,0.6857,0.6592,0.5093,0.6515,0.5804
7.9,-0.4863,0.8865,0.8202,0.8119,1.1693,0.9906,0.6477,0.6939,0.6708,0.545,0.6761,0.6106
8,-0.5029,0.9004,0.8304,0.8163,1.1873,1.0018,0.6633,0.7009,0.6821,0.5822,0.6973,0.6397
8.1,-0.5041,0.9094,0.8391,0.8175,1.1948,1.0062,0.6789,0.7064,0.6926,0.6184,0.7135,0.666
8.2,-0.4898,0.9134,0.8452,0.8156,1.1914,1.0035,0.6937,0.7104,0.702,0.6509,0.7232,0.6871
8.3,-0.4613,0.9132,0.8481,0.8111,1.1784,0.9947,0.707,0.713,0.71,0.678,0.7262,0.7021
8.4,-0.4209,0.9102,0.8472,0.8051,1.1571,0.9811,0.7186,0.7143,0.7164,0.6991,0.7236,0.7114
8.5,-0.3716,0.9048,0.8433,0.7986,1.129,0.9638,0.7289,0.715,0.722,0.715,0.717,0.716
8.6,-0.3167,0.8966,0.8369,0.7915,1.0948,0.9432,0.7383,0.7161,0.7272,0.7263,0.7079,0.7171
8.7,-0.2586,0.8849,0.8286,0.7834,1.0549,0.9191,0.7463,0.7178,0.732,0.733,0.6966,0.7148
8.8,-0.1995,0.8693,0.8181,0.7738,1.0099,0.8919,0.7518,0.7198,0.7358,0.7351,0.6832,0.7091
8.9,-0.1414,0.8505,0.8051,0.7631,0.9613,0.8622,0.7546,0.7216,0.7381,0.7329,0.6675,0.7002
9,-0.0862,0.8295,0.7897,0.752,0.911,0.8315,0.7553,0.723,0.7391,0.7268,0.6501,0.6884
9.1,-0.0361,0.808,0.7725,0.7415,0.8617,0.8016,0.7547,0.7238,0.7393,0.7176,0.6317,0.6746
9.2,0.0069,0.7872,0.7539,0.7317,0.8158,0.7737,0.7534,0.7242,0.7388,0.7058,0.6132,0.6595
9.3,0.0418,0.768,0.7342,0.7229,0.775,0.749,0.7506,0.7237,0.7372,0.6917,0.5946,0.6432
9.4,0.0685,0.751,0.7136,0.7146,0.7405,0.7276,0.7459,0.7217,0.7338,0.6752,0.5757,0.6255
9.5,0.0871,0.7361,0.692,0.7061,0.7126,0.7094,0.7387,0.7174,0.728,0.6565,0.5564,0.6064
9.6,0.0988,0.7227,0.6699,0.6971,0.6909,0.694,0.7295,0.7111,0.7203,0.6362,0.5375,0.5868
9.7,0.1046,0.7108,0.6482,0.6873,0.6749,0.6811,0.7197,0.7039,0.7118,0.6158,0.5198,0.5678
9.8,0.1051,0.7006,0.628,0.6768,0.6637,0.6702,0.7104,0.6966,0.7035,0.5964,0.5041,0.5502
9.9,0.101,0.6923,0.6099,0.6661,0.6566,0.6614,0.7024,0.6895,0.696,0.5787,0.4905,0.5346
10,0.0929,0.6863,0.5938,0.6557,0.653,0.6543,0.6955,0.6825,0.689,0.5632,0.4789,0.5211
10.1,0.0811,0.6824,0.5794,0.6461,0.652,0.649,0.6891,0.675,0.6821,0.5499,0.4689,0.5094
10.2,0.0658,0.6808,0.5666,0.638,0.6536,0.6458,0.6823,0.6672,0.6748,0.5391,0.4603,0.4997
10.3,0.0474,0.6817,0.5561,0.6322,0.6581,0.6452,0.6746,0.6592,0.6669,0.5315,0.4532,0.4923
10.4,0.0257,0.6859,0.5482,0.6296,0.6659,0.6477,0.6657,0.6511,0.6584,0.527,0.4478,0.4874
10.5,0.0009,0.6937,0.5429,0.6309,0.6769,0.6539,0.6557,0.6429,0.6493,0.5254,0.4439,0.4846
10.6,-0.0258,0.7052,0.5401,0.6369,0.6906,0.6637,0.6455,0.6351,0.6403,0.5266,0.4415,0.4841
10.7,-0.0522,0.7192,0.5405,0.6477,0.7062,0.6769,0.6366,0.6291,0.6329,0.5314,0.4415,0.4864
10.8,-0.0767,0.7346,0.5442,0.6621,0.7226,0.6924,0.6296,0.6261,0.6279,0.5403,0.4446,0.4925
10.9,-0.0988,0.7497,0.5501,0.6778,0.739,0.7084,0.6242,0.6257,0.6249,0.5532,0.4506,0.5019
11,-0.1182,0.7631,0.5558,0.6923,0.7546,0.7235,0.6197,0.6267,0.6232,0.5687,0.4584,0.5136
11.1,-0.1345,0.7736,0.5593,0.7039,0.7687,0.7363,0.616,0.628,0.622,0.5857,0.4672,0.5265
11.2,-0.1473,0.7808,0.5603,0.7121,0.7807,0.7464,0.6138,0.6296,0.6217,0.6039,0.4772,0.5405
11.3,-0.157,0.785,0.5596,0.7173,0.7905,0.7539,0.614,0.6324,0.6232,0.6233,0.4891,0.5562
11.4,-0.1651,0.7866,0.5585,0.72,0.7986,0.7593,0.6165,0.6374,0.6269,0.644,0.5033,0.5736
11.5,-0.1727,0.7857,0.557,0.7203,0.8049,0.7626,0.6211,0.6445,0.6328,0.6653,0.5188,0.592
11.6,-0.1802,0.782,0.5548,0.7176,0.8089,0.7632,0.6272,0.6537,0.6405,0.6864,0.5347,0.6106
11.7,-0.1873,0.7751,0.5522,0.7119,0.8099,0.7609,0.6346,0.6642,0.6494,0.7071,0.5513,0.6292
11.8,-0.1937,0.7648,0.5493,0.7035,0.8077,0.7556,0.643,0.6752,0.6591,0.727,0.5685,0.6477
11.9,-0.2004,0.7513,0.5464,0.6929,0.8024,0.7476,0.6522,0.6856,0.6689,0.745,0.5854,0.6652
12,-0.2086,0.7352,0.5437,0.6811,0.7948,0.738,0.6618,0.6947,0.6783,0.76,0.6008,0.6804
12.1,-0.2176,0.7178,0.5415,0.6692,0.7861,0.7277,0.6713,0.702,0.6866,0.7709,0.6139,0.6924
12.2,-0.2259,0.6997,0.54,0.6584,0.7765,0.7174,0.6811,0.7069,0.694,0.7774,0.6244,0.7009
12.3,-0.231,0.6811,0.5386,0.6488,0.7653,0.7071,0.6908,0.7093,0.7,0.7794,0.6323,0.7058
12.4,-0.2316,0.6614,0.5367,0.6395,0.752,0.6958,0.6992,0.7083,0.7037,0.7763,0.6367,0.7065
12.5,-0.2277,0.6398,0.5334,0.6297,0.7361,0.6829,0.7039,0.7031,0.7035,0.7676,0.6374,0.7025
12.6,-0.2199,0.6163,0.5282,0.6191,0.7185,0.6688,0.7032,0.6933,0.6982,0.7536,0.6343,0.694
12.7,-0.2086,0.5915,0.5208,0.6085,0.7002,0.6544,0.6967,0.6793,0.688,0.7347,0.628,0.6814
12.8,-0.1938,0.5665,0.5117,0.5991,0.6824,0.6408,0.6849,0.6617,0.6733,0.7117,0.6195,0.6656
12.9,-0.1747,0.5426,0.5012,0.5916,0.6658,0.6287,0.6683,0.6413,0.6548,0.6852,0.6095,0.6474
13,-0.1502,0.5211,0.4897,0.586,0.6506,0.6183,0.6469,0.6189,0.6329,0.6557,0.5986,0.6272
13.1,-0.1207,0.503,0.4774,0.5826,0.637,0.6098,0.6213,0.5954,0.6084,0.6239,0.587,0.6054
13.2,-0.0877,0.4893,0.4645,0.5812,0.6253,0.6033,0.5929,0.5719,0.5824,0.5908,0.5754,0.5831
13.3,-0.0526,0.4807,0.4508,0.582,0.6161,0.5991,0.5628,0.5489,0.5559,0.5576,0.5647,0.5611
13.4,-0.0168,0.4779,0.4366,0.5851,0.6103,0.5977,0.5325,0.5267,0.5296,0.5254,0.5562,0.5408
13.5,0.0184,0.4813,0.4227,0.5906,0.6086,0.5996,0.5033,0.5059,0.5046,0.4958,0.5517,0.5238
13.6,0.0521,0.4909,0.4097,0.5983,0.6109,0.6046,0.4767,0.4872,0.4819,0.4703,0.5526,0.5114
13.7,0.0839,0.5058,0.3979,0.6078,0.616,0.6119,0.4537,0.4711,0.4624,0.4491,0.5589,0.504
13.8,0.1134,0.5243,0.387,0.6174,0.6217,0.6196,0.4348,0.4579,0.4464,0.4318,0.5695,0.5006
13.9,0.1407,0.5442,0.377,0.6246,0.6259,0.6252,0.4198,0.4471,0.4335,0.4178,0.583,0.5004
14,0.1668,0.563,0.3679,0.6272,0.6266,0.6269,0.4079,0.4383,0.4231,0.4068,0.5977,0.5022
14.1,0.1918,0.5783,0.36,0.6239,0.6231,0.6235,0.398,0.4311,0.4146,0.3982,0.6117,0.505
14.2,0.2152,0.5886,0.353,0.6144,0.6153,0.6148,0.3895,0.4249,0.4072,0.3908,0.6231,0.5069
14.3,0.237,0.5933,0.3461,0.6,0.6033,0.6017,0.3818,0.419,0.4004,0.3834,0.6296,0.5065
14.4,0.2574,0.5928,0.3391,0.5832,0.5877,0.5854,0.375,0.4132,0.3941,0.3761,0.6311,0.5036
14.5,0.2766,0.5879,0.3329,0.5664,0.5695,0.568,0.3694,0.4083,0.3888,0.3697,0.629,0.4993
14.6,0.294,0.5795,0.3288,0.5517,0.5498,0.5508,0.3649,0.405,0.385,0.3647,0.625,0.4948
14.7,0.3092,0.568,0.328,0.5403,0.5295,0.5349,0.3611,0.4035,0.3823,0.3603,0.6197,0.49
14.8,0.322,0.5539,0.3303,0.5325,0.5092,0.5209,0.3576,0.4039,0.3808,0.3551,0.6128,0.4839
14.9,0.3325,0.5378,0.3351,0.5282,0.4891,0.5087,0.355,0.4062,0.3806,0.3479,0.6033,0.4756
