Time,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.7,0.4539,0.6354,0.6771,0.7086,0.736,0.7223,0.7293,0.6162,0.6728,0.8316,0.7599,0.7957
8.8,0.4463,0.6327,0.6788,0.7347,0.7463,0.7405,0.7166,0.6139,0.6652,0.8328,0.7762,0.8045
8.9,0.4348,0.6321,0.6791,0.759,0.7577,0.7583,0.7006,0.6122,0.6564,0.8319,0.7906,0.8112
9,0.4193,0.6332,0.6778,0.7804,0.77,0.7752,0.6822,0.6113,0.6467,0.8286,0.8016,0.8151
9.1,0.4005,0.6355,0.6741,0.7978,0.782,0.7899,0.662,0.6108,0.6364,0.823,0.808,0.8155
9.2,0.379,0.6384,0.6678,0.8103,0.7922,0.8013,0.6407,0.6104,0.6255,0.8154,0.8092,0.8123
9.3,0.3555,0.6413,0.6588,0.8177,0.7996,0.8086,0.6193,0.6096,0.6144,0.8063,0.8053,0.8058
9.4,0.3303,0.6436,0.6474,0.8202,0.8034,0.8118,0.5982,0.6082,0.6032,0.796,0.7972,0.7966
9.5,0.3039,0.6443,0.6338,0.8178,0.8046,0.8112,0.5777,0.6061,0.5919,0.7842,0.7853,0.7848
9.6,0.2761,0.6434,0.6181,0.8106,0.8045,0.8076,0.5577,0.6031,0.5804,0.7709,0.7704,0.7707
9.7,0.2473,0.6409,0.6006,0.7993,0.8044,0.8018,0.5385,0.5991,0.5688,0.7562,0.7531,0.7546
9.8,0.2176,0.6374,0.5817,0.7846,0.805,0.7948,0.521,0.5942,0.5576,0.7414,0.7345,0.738
9.9,0.1865,0.6338,0.5626,0.7677,0.8067,0.7872,0.5065,0.5891,0.5478,0.7278,0.7164,0.7221
10,0.154,0.6308,0.5443,0.7493,0.8099,0.7796,0.4958,0.5848,0.5403,0.7163,0.6997,0.708
10.1,0.1203,0.6286,0.5278,0.7301,0.8146,0.7724,0.4891,0.5817,0.5354,0.707,0.6847,0.6959
10.2,0.0868,0.6274,0.5142,0.7101,0.8208,0.7655,0.4858,0.58,0.5329,0.7003,0.6716,0.6859
10.3,0.0554,0.6273,0.5048,0.6899,0.8279,0.7589,0.4853,0.5798,0.5325,0.6961,0.6603,0.6782
10.4,0.0275,0.6283,0.5004,0.6698,0.8352,0.7525,0.4876,0.5814,0.5345,0.6948,0.6512,0.673
10.5,0.0037,0.6301,0.5018,0.6507,0.8423,0.7465,0.4927,0.5854,0.5391,0.696,0.6443,0.6702
10.6,-0.0159,0.6322,0.5087,0.6333,0.8484,0.7408,0.5002,0.5922,0.5462,0.699,0.6394,0.6692
10.7,-0.0306,0.6335,0.5202,0.6179,0.8529,0.7354,0.509,0.6013,0.5552,0.7026,0.6359,0.6693
10.8,-0.0389,0.6327,0.535,0.6044,0.855,0.7297,0.5178,0.6117,0.5647,0.706,0.6332,0.6696
10.9,-0.0394,0.6293,0.5516,0.5928,0.8544,0.7236,0.5255,0.6221,0.5738,0.7087,0.631,0.6698
11,-0.0318,0.6237,0.5693,0.5833,0.8505,0.7169,0.5321,0.6322,0.5821,0.7105,0.6294,0.6699
11.1,-0.0163,0.6163,0.5876,0.5768,0.8436,0.7102,0.5376,0.6419,0.5898,0.7114,0.6283,0.6699
11.2,0.0059,0.6076,0.6061,0.5738,0.8337,0.7037,0.5422,0.6511,0.5967,0.7115,0.6271,0.6693
11.3,0.0334,0.5977,0.6243,0.5745,0.8208,0.6977,0.5454,0.6596,0.6025,0.7107,0.6255,0.6681
11.4,0.065,0.5869,0.6418,0.5787,0.805,0.6918,0.547,0.6667,0.6068,0.709,0.6237,0.6663
11.5,0.0997,0.576,0.6585,0.5859,0.7865,0.6862,0.5468,0.6722,0.6095,0.7066,0.6222,0.6644
11.6,0.1364,0.5658,0.6745,0.5961,0.7664,0.6812,0.5455,0.6766,0.6111,0.7037,0.6216,0.6626
11.7,0.1741,0.557,0.6898,0.6094,0.7459,0.6777,0.5439,0.6805,0.6122,0.7005,0.6221,0.6613
11.8,0.212,0.5499,0.7042,0.6256,0.7266,0.6761,0.5426,0.6842,0.6134,0.6976,0.6234,0.6605
11.9,0.2505,0.544,0.7173,0.6439,0.7091,0.6765,0.5423,0.6874,0.6148,0.6957,0.6252,0.6604
12,0.2895,0.5385,0.7288,0.6629,0.6935,0.6782,0.5437,0.6902,0.6169,0.6954,0.627,0.6612
12.1,0.3275,0.5329,0.7387,0.6811,0.6798,0.6805,0.5468,0.6927,0.6197,0.6966,0.6289,0.6628
12.2,0.3621,0.5268,0.7469,0.6975,0.6679,0.6827,0.551,0.695,0.623,0.6986,0.6308,0.6647
12.3,0.3906,0.5197,0.7531,0.7115,0.6582,0.6848,0.5552,0.6973,0.6262,0.7009,0.6325,0.6667
12.4,0.4108,0.5119,0.7574,0.7225,0.6509,0.6867,0.5585,0.6989,0.6287,0.7032,0.6341,0.6687
12.5,0.4225,0.504,0.7601,0.7302,0.6464,0.6883,0.561,0.6995,0.6303,0.7054,0.6359,0.6707
12.6,0.4263,0.4968,0.7618,0.7345,0.6452,0.6899,0.5637,0.6995,0.6316,0.7075,0.6381,0.6728
12.7,0.4235,0.4908,0.7637,0.736,0.6474,0.6917,0.5676,0.6998,0.6337,0.7097,0.6412,0.6755
12.8,0.4147,0.4862,0.7663,0.7353,0.6528,0.694,0.5734,0.7015,0.6374,0.7124,0.6454,0.6789
12.9,0.4003,0.4837,0.7695,0.7335,0.6613,0.6974,0.5811,0.7048,0.643,0.7161,0.6508,0.6834
13,0.3803,0.4838,0.7724,0.7314,0.6724,0.7019,0.5907,0.7098,0.6503,0.7211,0.6569,0.689
13.1,0.3549,0.4873,0.7743,0.7294,0.6851,0.7073,0.6016,0.7156,0.6586,0.7271,0.6629,0.695
13.2,0.325,0.4938,0.7745,0.7271,0.6981,0.7126,0.6133,0.7213,0.6673,0.7331,0.6684,0.7008
13.3,0.2927,0.5025,0.773,0.7239,0.7099,0.7169,0.6245,0.726,0.6752,0.7376,0.6728,0.7052
13.4,0.26,0.5115,0.7695,0.7192,0.7195,0.7194,0.6338,0.7289,0.6813,0.739,0.6756,0.7073
13.5,0.2283,0.5196,0.7635,0.7132,0.7267,0.7199,0.6402,0.7293,0.6848,0.7367,0.6761,0.7064
13.6,0.1979,0.5263,0.7546,0.706,0.7315,0.7187,0.6436,0.7272,0.6854,0.7305,0.6738,0.7021
13.7,0.1684,0.5319,0.7425,0.6981,0.734,0.7161,0.6443,0.723,0.6836,0.7202,0.6686,0.6944
13.8,0.1389,0.5363,0.7271,0.6895,0.7342,0.7118,0.6422,0.7168,0.6795,0.7055,0.6603,0.6829
13.9,0.1097,0.5395,0.7084,0.6801,0.7319,0.706,0.6369,0.7087,0.6728,0.6862,0.6489,0.6676
14,0.0817,0.542,0.6868,0.67,0.7273,0.6987,0.6278,0.6988,0.6633,0.6629,0.6347,0.6488
14.1,0.0557,0.5442,0.6629,0.6599,0.7213,0.6906,0.6154,0.6872,0.6513,0.6368,0.6186,0.6277
14.2,0.0328,0.5475,0.6375,0.6508,0.7148,0.6828,0.6013,0.6747,0.638,0.6096,0.6018,0.6057
14.3,0.0129,0.5524,0.6116,0.6439,0.7088,0.6763,0.5875,0.662,0.6247,0.5828,0.5856,0.5842
14.4,-0.004,0.559,0.5857,0.6395,0.7041,0.6718,0.5753,0.6496,0.6125,0.5574,0.5706,0.564
14.5,-0.0181,0.5664,0.56,0.6374,0.7007,0.669,0.5648,0.6377,0.6012,0.534,0.5569,0.5454
14.6,-0.0292,0.5737,0.5338,0.6366,0.6985,0.6676,0.5553,0.626,0.5906,0.5129,0.5441,0.5285
14.7,-0.0367,0.5803,0.5073,0.6369,0.6977,0.6673,0.5468,0.6145,0.5806,0.4943,0.5323,0.5133
14.8,-0.0401,0.5863,0.4813,0.6382,0.6984,0.6683,0.5396,0.6037,0.5716,0.479,0.5221,0.5005
14.9,-0.0389,0.592,0.4572,0.6409,0.701,0.6709,0.5344,0.5944,0.5644,0.4676,0.5144,0.491
