Time,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC,Optus - Network Pulse 15 TVC
8.5,0.1049,0.5765,0.4837,0.5292,0.8803,0.7047,0.8135,0.6072,0.7104,0.6961,0.6017,0.6489
8.6,0.0742,0.5827,0.4354,0.5349,0.8924,0.7137,0.8041,0.5789,0.6915,0.6828,0.5889,0.6359
8.7,0.0413,0.5891,0.3874,0.5405,0.9033,0.7219,0.7904,0.5521,0.6713,0.6711,0.5757,0.6234
8.8,0.0057,0.5959,0.343,0.5466,0.9135,0.7301,0.7742,0.5279,0.6511,0.662,0.5629,0.6125
8.9,-0.0316,0.6036,0.3044,0.5537,0.9235,0.7386,0.7572,0.5069,0.6321,0.6563,0.5505,0.6034
9,-0.0692,0.6119,0.2726,0.5617,0.9334,0.7476,0.7405,0.4895,0.615,0.6539,0.5383,0.5961
9.1,-0.106,0.6202,0.2471,0.5701,0.9432,0.7567,0.724,0.4758,0.5999,0.654,0.5263,0.5901
9.2,-0.1422,0.6276,0.2266,0.5785,0.9526,0.7655,0.7075,0.4656,0.5865,0.6558,0.5147,0.5853
9.3,-0.1783,0.6335,0.2103,0.5861,0.9616,0.7738,0.6908,0.4584,0.5746,0.6589,0.5041,0.5815
9.4,-0.2145,0.638,0.1976,0.5931,0.9706,0.7818,0.6745,0.454,0.5643,0.6627,0.4946,0.5786
9.5,-0.2508,0.641,0.1884,0.5997,0.9803,0.79,0.6592,0.4523,0.5558,0.6668,0.4864,0.5766
9.6,-0.2873,0.642,0.1831,0.6058,0.9914,0.7986,0.6448,0.453,0.5489,0.6703,0.4794,0.5748
9.7,-0.3237,0.6403,0.1818,0.6111,1.0034,0.8072,0.6306,0.4554,0.543,0.6719,0.4734,0.5727
9.8,-0.3592,0.6351,0.1842,0.6151,1.0158,0.8154,0.6163,0.4588,0.5376,0.6717,0.4682,0.5699
9.9,-0.393,0.6265,0.1901,0.6182,1.0278,0.823,0.6029,0.4625,0.5327,0.6701,0.464,0.567
10,-0.4232,0.615,0.1989,0.6209,1.0385,0.8297,0.5913,0.4656,0.5285,0.6677,0.4613,0.5645
10.1,-0.4472,0.6014,0.2098,0.6236,1.047,0.8353,0.5814,0.4671,0.5243,0.6643,0.4599,0.5621
10.2,-0.4632,0.586,0.2222,0.6267,1.0525,0.8396,0.5728,0.4662,0.5195,0.6585,0.4592,0.5589
10.3,-0.4701,0.569,0.2351,0.6302,1.0544,0.8423,0.5648,0.4627,0.5137,0.6494,0.4583,0.5539
10.4,-0.4668,0.5509,0.2477,0.6343,1.0517,0.843,0.5573,0.4568,0.5071,0.6362,0.4568,0.5465
10.5,-0.4525,0.5321,0.2601,0.6398,1.0435,0.8417,0.5508,0.4492,0.5,0.6193,0.4551,0.5372
10.6,-0.427,0.5139,0.2723,0.6477,1.03,0.8388,0.5464,0.4403,0.4934,0.5994,0.4537,0.5266
10.7,-0.3899,0.4978,0.2842,0.6591,1.0121,0.8356,0.5444,0.431,0.4877,0.5775,0.4529,0.5152
10.8,-0.3416,0.4846,0.2951,0.6739,0.9913,0.8326,0.5446,0.422,0.4833,0.5544,0.4522,0.5033
10.9,-0.2836,0.4751,0.3035,0.6908,0.9687,0.8297,0.5462,0.414,0.4801,0.5306,0.4507,0.4907
11,-0.2185,0.4693,0.308,0.7083,0.9444,0.8263,0.5477,0.4071,0.4774,0.5062,0.448,0.4771
11.1,-0.1502,0.4669,0.3077,0.7249,0.9186,0.8217,0.5472,0.4009,0.4741,0.4812,0.4439,0.4625
11.2,-0.0833,0.4672,0.3031,0.7387,0.8916,0.8152,0.5435,0.3949,0.4692,0.456,0.4389,0.4475
11.3,-0.0209,0.4696,0.2948,0.7489,0.8642,0.8066,0.5364,0.3889,0.4627,0.4315,0.4339,0.4327
11.4,0.0357,0.474,0.2841,0.7559,0.8375,0.7967,0.527,0.3834,0.4552,0.4089,0.4294,0.4192
11.5,0.0848,0.4806,0.2728,0.7608,0.8128,0.7868,0.5165,0.3798,0.4482,0.3892,0.4255,0.4073
11.6,0.1241,0.4895,0.2626,0.7642,0.7913,0.7778,0.505,0.3788,0.4419,0.3723,0.4212,0.3967
11.7,0.1516,0.5001,0.2542,0.7659,0.7728,0.7694,0.4921,0.3803,0.4362,0.3578,0.4157,0.3867
11.8,0.1672,0.5115,0.2471,0.7649,0.7569,0.7609,0.4771,0.3834,0.4303,0.3453,0.4085,0.3769
11.9,0.1716,0.523,0.2403,0.7606,0.7425,0.7516,0.4602,0.3865,0.4234,0.3346,0.3994,0.367
12,0.1666,0.5345,0.2329,0.7528,0.7289,0.7408,0.442,0.3885,0.4153,0.3254,0.3885,0.357
12.1,0.1544,0.546,0.2251,0.7423,0.7157,0.729,0.4241,0.3891,0.4066,0.3175,0.3758,0.3466
12.2,0.1378,0.557,0.2175,0.7299,0.7032,0.7165,0.4074,0.3886,0.398,0.3107,0.361,0.3359
12.3,0.1195,0.5665,0.2107,0.7161,0.691,0.7036,0.3923,0.3871,0.3897,0.3046,0.3445,0.3245
12.4,0.102,0.5737,0.2046,0.7012,0.6787,0.6899,0.3782,0.3842,0.3812,0.2989,0.3265,0.3127
12.5,0.0878,0.5782,0.1987,0.685,0.6653,0.6752,0.3648,0.3797,0.3723,0.2935,0.3076,0.3005
12.6,0.0781,0.5801,0.1931,0.6679,0.6507,0.6593,0.3523,0.3735,0.3629,0.288,0.2876,0.2878
12.7,0.0736,0.5799,0.1881,0.6499,0.6348,0.6424,0.3407,0.3658,0.3533,0.2828,0.2665,0.2746
12.8,0.0747,0.5778,0.1846,0.6308,0.6182,0.6245,0.3298,0.3569,0.3433,0.2778,0.2449,0.2613
12.9,0.0816,0.5733,0.1829,0.6104,0.6006,0.6055,0.3189,0.3468,0.3329,0.2733,0.2234,0.2483
13,0.0946,0.5659,0.1827,0.5885,0.5814,0.5849,0.3076,0.3357,0.3216,0.269,0.2024,0.2357
13.1,0.114,0.5552,0.183,0.5647,0.56,0.5624,0.2956,0.3234,0.3095,0.2643,0.1822,0.2232
13.2,0.1398,0.5417,0.1833,0.5391,0.5365,0.5378,0.2836,0.3103,0.297,0.2587,0.1625,0.2106
13.3,0.1713,0.526,0.184,0.5122,0.511,0.5116,0.2721,0.2969,0.2845,0.2524,0.1436,0.198
13.4,0.2079,0.5086,0.1865,0.4842,0.4835,0.4839,0.2615,0.2836,0.2725,0.2457,0.1259,0.1858
13.5,0.2485,0.4901,0.1923,0.4557,0.4543,0.455,0.2518,0.271,0.2614,0.2387,0.11,0.1743
13.6,0.2912,0.471,0.2025,0.4273,0.4238,0.4255,0.2438,0.2594,0.2516,0.2317,0.0962,0.1639
13.7,0.3328,0.4519,0.2168,0.3999,0.3923,0.3961,0.2382,0.2492,0.2437,0.2247,0.0845,0.1546
13.8,0.3697,0.4332,0.2346,0.3742,0.3605,0.3674,0.2354,0.2402,0.2378,0.2176,0.0746,0.1461
13.9,0.3982,0.4148,0.255,0.3508,0.3289,0.3398,0.2354,0.2324,0.2339,0.2105,0.0667,0.1386
14,0.4157,0.3971,0.2772,0.3298,0.2984,0.3141,0.2375,0.2254,0.2315,0.2029,0.0606,0.1318
14.1,0.42,0.3809,0.2991,0.3109,0.2705,0.2907,0.2413,0.2192,0.2302,0.1938,0.0553,0.1246
14.2,0.4094,0.367,0.3189,0.294,0.2468,0.2704,0.2463,0.2138,0.23,0.1822,0.0496,0.1159
14.3,0.3828,0.3563,0.3352,0.2796,0.2292,0.2544,0.2522,0.2093,0.2308,0.1675,0.0423,0.1049
14.4,0.3413,0.3495,0.348,0.2692,0.2188,0.244,0.2589,0.2059,0.2324,0.1503,0.0339,0.0921
14.5,0.2874,0.3471,0.3586,0.2649,0.2162,0.2406,0.2671,0.2036,0.2354,0.1318,0.0256,0.0787
14.6,0.2243,0.3495,0.3677,0.2686,0.2217,0.2451,0.2785,0.2027,0.2406,0.1135,0.0186,0.0661
14.7,0.1543,0.3571,0.3755,0.2819,0.2358,0.2588,0.2939,0.2034,0.2486,0.0966,0.0132,0.0549
14.8,0.079,0.37,0.3818,0.3058,0.2586,0.2822,0.3131,0.2054,0.2592,0.0818,0.0088,0.0453
14.9,-0.0014,0.3877,0.3864,0.3399,0.2881,0.314,0.3344,0.208,0.2712,0.0687,0.0048,0.0368
