Time,WWF The Melting Point of Ice 45s TVC,WWF The Melting Point of Ice 45s TVC,WWF The Melting Point of Ice 45s TVC,WWF The Melting Point of Ice 45s TVC,WWF The Melting Point of Ice 45s TVC,WWF The Melting Point of Ice 45s TVC,WWF The Melting Point of Ice 45s TVC,WWF The Melting Point of Ice 45s TVC,WWF The Melting Point of Ice 45s TVC,WWF The Melting Point of Ice 45s TVC,WWF The Melting Point of Ice 45s TVC,WWF The Melting Point of Ice 45s TVC
1.5,0.06,0.7402,0.9716,0.814,0.5956,0.7048,0.6447,0.9368,0.7907,0.7072,0.8302,0.7687
1.6,0.0193,0.738,0.9765,0.8198,0.5853,0.7026,0.619,0.9158,0.7674,0.7087,0.833,0.7709
1.7,-0.0224,0.7344,0.98,0.8241,0.5738,0.699,0.5951,0.892,0.7436,0.7104,0.837,0.7737
1.8,-0.0636,0.7296,0.9824,0.8267,0.5617,0.6942,0.5729,0.8656,0.7193,0.7117,0.8425,0.7771
1.9,-0.1041,0.7242,0.9841,0.8282,0.5501,0.6891,0.5532,0.8366,0.6949,0.7128,0.8495,0.7812
2,-0.1449,0.719,0.9856,0.8295,0.5404,0.685,0.5368,0.8062,0.6715,0.7139,0.8571,0.7855
2.1,-0.1874,0.7141,0.9868,0.8313,0.5334,0.6823,0.5249,0.7755,0.6502,0.7147,0.8636,0.7892
2.2,-0.2314,0.7094,0.9871,0.8338,0.529,0.6814,0.5175,0.7455,0.6315,0.7153,0.8672,0.7913
2.3,-0.2761,0.7043,0.9857,0.8369,0.5267,0.6818,0.5138,0.7164,0.6151,0.7151,0.8662,0.7906
2.4,-0.3206,0.6988,0.9817,0.8408,0.5267,0.6838,0.5135,0.6886,0.6011,0.7135,0.8598,0.7867
2.5,-0.3629,0.6936,0.9745,0.8464,0.5304,0.6884,0.5173,0.6635,0.5904,0.7106,0.848,0.7793
2.6,-0.4002,0.6902,0.9641,0.8558,0.5393,0.6976,0.5266,0.6423,0.5845,0.7069,0.8308,0.7689
2.7,-0.4289,0.6893,0.9504,0.8709,0.5545,0.7127,0.5418,0.6259,0.5839,0.703,0.8088,0.7559
2.8,-0.4452,0.6909,0.9337,0.8918,0.5752,0.7335,0.5623,0.6142,0.5882,0.6993,0.7824,0.7409
2.9,-0.4464,0.6947,0.9146,0.9169,0.6,0.7585,0.5869,0.607,0.597,0.6961,0.7522,0.7241
3,-0.4325,0.7002,0.8936,0.9436,0.6281,0.7859,0.6143,0.6044,0.6094,0.6935,0.7184,0.706
3.1,-0.4052,0.7072,0.8709,0.9698,0.6591,0.8145,0.6434,0.6067,0.6251,0.6913,0.682,0.6867
3.2,-0.3667,0.7152,0.8473,0.994,0.6917,0.8429,0.6738,0.6137,0.6438,0.6897,0.6447,0.6672
3.3,-0.3189,0.7231,0.8237,1.0158,0.7241,0.8699,0.705,0.6238,0.6644,0.6887,0.6088,0.6488
3.4,-0.264,0.7302,0.8005,1.0353,0.7547,0.895,0.7361,0.6345,0.6853,0.6884,0.5763,0.6323
3.5,-0.2046,0.7354,0.7783,1.0531,0.7823,0.9177,0.7661,0.644,0.7051,0.6887,0.5482,0.6184
3.6,-0.1429,0.7381,0.7572,1.069,0.807,0.938,0.7943,0.6522,0.7232,0.6899,0.5247,0.6073
3.7,-0.0802,0.7391,0.7375,1.0829,0.83,0.9564,0.8201,0.6597,0.7399,0.6919,0.5059,0.5989
3.8,-0.0183,0.7394,0.7196,1.0946,0.8527,0.9736,0.8431,0.6674,0.7553,0.6948,0.4918,0.5933
3.9,0.0405,0.7403,0.7037,1.1041,0.8761,0.9901,0.863,0.6752,0.7691,0.6981,0.4822,0.5902
4,0.0948,0.7423,0.69,1.1116,0.9004,1.006,0.8803,0.6825,0.7814,0.7013,0.4767,0.589
4.1,0.1445,0.7458,0.6786,1.118,0.9247,1.0214,0.896,0.6885,0.7923,0.7038,0.4751,0.5894
4.2,0.1902,0.7509,0.6698,1.124,0.9475,1.0358,0.9111,0.6927,0.8019,0.7055,0.4774,0.5914
4.3,0.2318,0.7573,0.6636,1.1294,0.9675,1.0484,0.9259,0.6952,0.8105,0.7076,0.484,0.5958
4.4,0.2684,0.7644,0.6607,1.1339,0.984,1.0589,0.9397,0.6967,0.8182,0.7111,0.496,0.6035
4.5,0.298,0.7719,0.6615,1.1369,0.9972,1.067,0.9518,0.6983,0.8251,0.7167,0.5139,0.6153
4.6,0.3198,0.7796,0.6668,1.1378,1.0076,1.0727,0.962,0.7012,0.8316,0.7245,0.5377,0.6311
4.7,0.3346,0.7873,0.6765,1.1364,1.0156,1.076,0.9713,0.7063,0.8388,0.7341,0.5668,0.6504
4.8,0.3443,0.7951,0.6897,1.1328,1.0211,1.0769,0.9802,0.7138,0.847,0.7457,0.5999,0.6728
4.9,0.3496,0.8033,0.7058,1.1275,1.0244,1.076,0.9886,0.7235,0.8561,0.7593,0.6358,0.6976
5,0.3501,0.8123,0.7242,1.1218,1.0269,1.0743,0.9957,0.7351,0.8654,0.7743,0.6735,0.7239
5.1,0.3451,0.8227,0.7448,1.1166,1.0298,1.0732,1.0009,0.7488,0.8749,0.79,0.7118,0.7509
5.2,0.3341,0.8347,0.7675,1.1129,1.0339,1.0734,1.0048,0.7649,0.8849,0.806,0.7497,0.7779
5.3,0.3178,0.8478,0.7918,1.1106,1.0385,1.0745,1.0082,0.7837,0.8959,0.8221,0.7862,0.8042
5.4,0.2969,0.8608,0.8163,1.1085,1.0421,1.0753,1.011,0.8043,0.9076,0.8382,0.8197,0.829
5.5,0.2719,0.8726,0.8395,1.1053,1.0433,1.0743,1.0119,0.8254,0.9187,0.8533,0.849,0.8512
5.6,0.2441,0.8826,0.8602,1.1002,1.0417,1.071,1.0102,0.8459,0.9281,0.8663,0.8734,0.8698
5.7,0.2142,0.891,0.8784,1.0931,1.0379,1.0655,1.0059,0.8654,0.9357,0.8763,0.8933,0.8848
5.8,0.1832,0.898,0.8941,1.0847,1.0328,1.0588,0.9998,0.8839,0.9419,0.8833,0.9092,0.8962
5.9,0.1524,0.9035,0.9075,1.0755,1.0268,1.0512,0.9923,0.9015,0.9469,0.8873,0.9209,0.9041
6,0.123,0.9073,0.9186,1.0655,1.0196,1.0426,0.9834,0.9175,0.9505,0.8882,0.9284,0.9083
6.1,0.0954,0.9088,0.9273,1.0543,1.0103,1.0323,0.9729,0.931,0.952,0.8866,0.9314,0.909
6.2,0.069,0.9082,0.9339,1.0414,0.9982,1.0198,0.9606,0.9418,0.9512,0.8826,0.9305,0.9066
6.3,0.0424,0.906,0.9388,1.0267,0.9834,1.0051,0.9468,0.9502,0.9485,0.8764,0.9263,0.9014
6.4,0.0139,0.9027,0.9426,1.0105,0.967,0.9887,0.9321,0.957,0.9446,0.8681,0.9197,0.8939
6.5,-0.017,0.8981,0.9458,0.9929,0.9499,0.9714,0.9174,0.9627,0.94,0.8576,0.9113,0.8845
6.6,-0.0505,0.8922,0.949,0.9741,0.933,0.9535,0.9032,0.9672,0.9352,0.8451,0.9018,0.8734
6.7,-0.0858,0.8852,0.9523,0.954,0.9169,0.9355,0.8895,0.9704,0.93,0.8308,0.8914,0.8611
6.8,-0.1226,0.878,0.9554,0.9332,0.9023,0.9178,0.8762,0.9722,0.9242,0.8149,0.8802,0.8475
6.9,-0.1596,0.8719,0.9582,0.9122,0.89,0.9011,0.8635,0.9732,0.9184,0.798,0.8682,0.8331
7,-0.1946,0.867,0.9606,0.8913,0.88,0.8857,0.8524,0.9739,0.9131,0.7809,0.8554,0.8181
7.1,-0.225,0.8631,0.9628,0.8701,0.8719,0.871,0.8431,0.9744,0.9087,0.7639,0.8424,0.8032
7.2,-0.2494,0.8592,0.965,0.8471,0.8639,0.8555,0.8353,0.974,0.9047,0.7477,0.8301,0.7889
7.3,-0.2681,0.8544,0.9674,0.8207,0.854,0.8374,0.8286,0.9722,0.9004,0.7329,0.8191,0.776
7.4,-0.2815,0.8482,0.97,0.7898,0.8407,0.8153,0.823,0.9688,0.8959,0.7199,0.8101,0.765
7.5,-0.2893,0.8401,0.9721,0.7536,0.8229,0.7883,0.819,0.9643,0.8916,0.7096,0.8038,0.7567
7.6,-0.2914,0.829,0.9732,0.7118,0.8005,0.7561,0.8172,0.9597,0.8885,0.7035,0.8011,0.7523
7.7,-0.2881,0.8143,0.973,0.6646,0.7739,0.7193,0.8178,0.9563,0.8871,0.7031,0.8026,0.7529
7.8,-0.2805,0.7961,0.9715,0.6132,0.7446,0.6789,0.8205,0.955,0.8878,0.7093,0.8085,0.7589
7.9,-0.2695,0.7754,0.9688,0.5594,0.7141,0.6367,0.8254,0.9563,0.8908,0.7218,0.8182,0.77
8,-0.2548,0.7532,0.9645,0.5057,0.6842,0.5949,0.8328,0.9599,0.8963,0.7394,0.8299,0.7846
8.1,-0.2359,0.7306,0.9576,0.455,0.6559,0.5554,0.8429,0.9649,0.9039,0.7603,0.8418,0.801
8.2,-0.2131,0.7077,0.9474,0.4098,0.6298,0.5198,0.855,0.9704,0.9127,0.7829,0.8528,0.8178
8.3,-0.1882,0.6849,0.9345,0.3719,0.6063,0.4891,0.8682,0.9759,0.9221,0.8057,0.8626,0.8341
8.4,-0.1631,0.6625,0.9197,0.3418,0.5857,0.4638,0.8816,0.9815,0.9315,0.8277,0.8708,0.8492
8.5,-0.1386,0.6407,0.904,0.3197,0.5679,0.4438,0.8945,0.987,0.9407,0.8479,0.8763,0.8621
8.6,-0.1147,0.6195,0.8876,0.3052,0.5524,0.4288,0.9065,0.992,0.9493,0.8654,0.8781,0.8718
8.7,-0.0913,0.599,0.8703,0.2978,0.5388,0.4183,0.917,0.996,0.9565,0.8798,0.8756,0.8777
8.8,-0.0689,0.5797,0.8521,0.2965,0.5272,0.4119,0.9251,0.9984,0.9618,0.8904,0.8689,0.8797
8.9,-0.0479,0.5621,0.8338,0.3004,0.5179,0.4091,0.9299,0.9999,0.9649,0.897,0.8581,0.8775
9,-0.0289,0.5468,0.8168,0.3083,0.511,0.4097,0.9313,1.0013,0.9663,0.8994,0.8437,0.8715
9.1,-0.0121,0.5337,0.8024,0.3197,0.506,0.4128,0.9296,1.0032,0.9664,0.8987,0.8263,0.8625
9.2,0.0026,0.5227,0.7909,0.334,0.502,0.418,0.925,1.0056,0.9653,0.8962,0.8065,0.8513
9.3,0.0155,0.5134,0.7817,0.3507,0.4983,0.4245,0.9176,1.008,0.9628,0.8923,0.7847,0.8385
9.4,0.0267,0.5062,0.7739,0.3697,0.4944,0.4321,0.9076,1.01,0.9588,0.8871,0.7613,0.8242
9.5,0.0365,0.5015,0.7667,0.3905,0.4904,0.4405,0.8952,1.0119,0.9535,0.8805,0.7368,0.8087
9.6,0.0455,0.4995,0.7599,0.4127,0.4868,0.4498,0.8808,1.0134,0.9471,0.8721,0.7118,0.7919
9.7,0.0542,0.4999,0.7534,0.4355,0.4843,0.4599,0.8648,1.0144,0.9396,0.8617,0.6868,0.7742
9.8,0.063,0.5023,0.7474,0.4583,0.4835,0.4709,0.8479,1.0142,0.931,0.8492,0.6629,0.7561
9.9,0.0727,0.507,0.7419,0.4816,0.4849,0.4833,0.8307,1.0123,0.9215,0.8351,0.6408,0.738
10,0.0845,0.5143,0.7367,0.5057,0.4886,0.4972,0.8138,1.0086,0.9112,0.8195,0.6212,0.7204
10.1,0.1,0.5242,0.731,0.531,0.4943,0.5126,0.7976,1.0031,0.9003,0.8032,0.6045,0.7038
10.2,0.1197,0.5359,0.7246,0.557,0.5017,0.5294,0.7832,0.9959,0.8896,0.7873,0.591,0.6891
10.3,0.1429,0.5485,0.7175,0.583,0.5107,0.5468,0.7717,0.9875,0.8796,0.7731,0.5808,0.677
10.4,0.1678,0.5614,0.7095,0.6079,0.5213,0.5646,0.7636,0.9782,0.8709,0.7612,0.5738,0.6675
10.5,0.1922,0.5746,0.7007,0.6314,0.5332,0.5823,0.7586,0.9684,0.8635,0.7516,0.5697,0.6607
10.6,0.2143,0.588,0.6909,0.6531,0.5462,0.5997,0.7561,0.9581,0.8571,0.7446,0.5684,0.6565
10.7,0.2333,0.6014,0.6802,0.6729,0.5603,0.6166,0.7559,0.9473,0.8516,0.7407,0.5694,0.655
10.8,0.2492,0.6143,0.6687,0.6904,0.5756,0.633,0.7577,0.9358,0.8467,0.7402,0.5723,0.6563
10.9,0.262,0.6261,0.6562,0.7052,0.5923,0.6487,0.7611,0.9235,0.8423,0.7428,0.5766,0.6597
11,0.272,0.6364,0.6426,0.7168,0.6105,0.6637,0.7654,0.9104,0.8379,0.7475,0.5814,0.6645
11.1,0.2794,0.6455,0.628,0.7255,0.63,0.6777,0.7696,0.8966,0.8331,0.7531,0.5856,0.6693
11.2,0.2845,0.6538,0.6122,0.7316,0.6503,0.691,0.7733,0.8817,0.8275,0.758,0.5879,0.673
11.3,0.2879,0.6617,0.5957,0.7356,0.6711,0.7033,0.7763,0.8658,0.8211,0.7617,0.5874,0.6746
11.4,0.2898,0.6695,0.5788,0.7382,0.6919,0.7151,0.7789,0.8495,0.8142,0.764,0.5835,0.6738
11.5,0.29,0.6777,0.562,0.7402,0.7127,0.7264,0.7811,0.8333,0.8072,0.7647,0.5765,0.6706
11.6,0.2886,0.6865,0.5456,0.7426,0.7333,0.738,0.7829,0.818,0.8004,0.7638,0.5671,0.6655
11.7,0.2861,0.6959,0.5297,0.7459,0.754,0.75,0.7839,0.8038,0.7938,0.7612,0.5562,0.6587
11.8,0.2834,0.7053,0.5146,0.7502,0.7746,0.7624,0.7839,0.7908,0.7873,0.7569,0.5444,0.6507
11.9,0.2816,0.7139,0.5002,0.7555,0.7949,0.7752,0.783,0.779,0.781,0.751,0.5322,0.6416
12,0.2815,0.7208,0.4866,0.7617,0.8145,0.7881,0.7813,0.7686,0.7749,0.7438,0.5201,0.632
12.1,0.2829,0.7257,0.4736,0.7682,0.8332,0.8007,0.7788,0.7597,0.7693,0.7359,0.5085,0.6222
12.2,0.2853,0.7285,0.4616,0.7749,0.8507,0.8128,0.7756,0.7528,0.7642,0.7278,0.4978,0.6128
12.3,0.2879,0.7293,0.4509,0.7814,0.8669,0.8241,0.7716,0.7482,0.7599,0.7197,0.4885,0.6041
12.4,0.29,0.728,0.442,0.7875,0.8811,0.8343,0.7666,0.7462,0.7564,0.7122,0.481,0.5966
12.5,0.2917,0.7242,0.4353,0.7929,0.8924,0.8427,0.7608,0.7467,0.7538,0.7057,0.476,0.5908
12.6,0.2934,0.7173,0.4316,0.7974,0.9,0.8487,0.7545,0.7496,0.752,0.7002,0.4741,0.5871
12.7,0.2953,0.7074,0.4312,0.8007,0.9035,0.8521,0.7478,0.7542,0.751,0.6958,0.4758,0.5858
12.8,0.2975,0.695,0.4344,0.8022,0.9033,0.8527,0.7404,0.7601,0.7502,0.6926,0.4812,0.5869
12.9,0.2997,0.6804,0.4412,0.801,0.8995,0.8502,0.7318,0.7663,0.7491,0.6906,0.4904,0.5905
13,0.3022,0.664,0.4512,0.7969,0.8923,0.8446,0.7218,0.7723,0.7471,0.6898,0.5031,0.5965
13.1,0.3053,0.6461,0.464,0.7908,0.8817,0.8363,0.7107,0.7776,0.7442,0.6902,0.5197,0.6049
13.2,0.3097,0.6273,0.4792,0.784,0.8685,0.8262,0.6991,0.7822,0.7407,0.6917,0.5404,0.6161
13.3,0.3157,0.6084,0.496,0.7774,0.853,0.8152,0.6877,0.7858,0.7368,0.6947,0.565,0.6298
13.4,0.3228,0.5899,0.5137,0.7705,0.8355,0.803,0.6768,0.7879,0.7323,0.699,0.5923,0.6456
13.5,0.3296,0.572,0.5312,0.7619,0.8162,0.789,0.6664,0.7879,0.7271,0.7043,0.6214,0.6628
13.6,0.3347,0.5546,0.5476,0.75,0.7951,0.7725,0.6565,0.7853,0.7209,0.7106,0.6511,0.6809
13.7,0.3373,0.5381,0.5623,0.7345,0.7728,0.7536,0.6468,0.7798,0.7133,0.717,0.6805,0.6988
13.8,0.3372,0.5234,0.575,0.7158,0.7498,0.7328,0.6368,0.7716,0.7042,0.7224,0.7083,0.7153
13.9,0.3348,0.5109,0.5856,0.6942,0.7262,0.7102,0.6265,0.7605,0.6935,0.7257,0.7327,0.7292
14,0.3299,0.5008,0.5944,0.67,0.7023,0.6862,0.6163,0.7471,0.6817,0.726,0.7528,0.7394
14.1,0.3221,0.4927,0.6019,0.6433,0.6786,0.6609,0.6071,0.7323,0.6697,0.7236,0.7681,0.7458
14.2,0.3108,0.4867,0.6085,0.6152,0.6563,0.6358,0.6,0.7175,0.6588,0.7189,0.7785,0.7487
14.3,0.2966,0.4839,0.6146,0.5881,0.6366,0.6123,0.5954,0.7042,0.6498,0.7128,0.7841,0.7484
14.4,0.28,0.4855,0.6202,0.5638,0.62,0.5919,0.5935,0.6929,0.6432,0.7056,0.7842,0.7449
14.5,0.2618,0.4919,0.6251,0.5438,0.6063,0.5751,0.5946,0.6841,0.6393,0.6979,0.7786,0.7383
14.6,0.2416,0.5024,0.6293,0.5282,0.5952,0.5617,0.5989,0.6782,0.6386,0.6904,0.7683,0.7293
14.7,0.2184,0.5158,0.6333,0.5171,0.587,0.5521,0.6067,0.6763,0.6415,0.6838,0.7548,0.7193
14.8,0.1919,0.5308,0.6369,0.5106,0.5829,0.5467,0.6176,0.6793,0.6484,0.6787,0.7397,0.7092
14.9,0.1629,0.5468,0.6397,0.5093,0.5836,0.5465,0.6304,0.6873,0.6589,0.6753,0.7235,0.6994
15,0.1331,0.5629,0.6405,0.513,0.589,0.551,0.6444,0.6996,0.672,0.6728,0.7062,0.6895
15.1,0.104,0.5784,0.6383,0.5203,0.5973,0.5588,0.6586,0.7154,0.687,0.6707,0.6872,0.6789
15.2,0.0763,0.5923,0.633,0.5296,0.6074,0.5685,0.6727,0.7343,0.7035,0.6692,0.6667,0.668
15.3,0.0504,0.6046,0.6254,0.5403,0.6189,0.5796,0.6867,0.7567,0.7217,0.6698,0.645,0.6574
15.4,0.0267,0.6161,0.6161,0.5528,0.6322,0.5925,0.701,0.7831,0.742,0.6733,0.6229,0.6481
15.5,0.0062,0.6274,0.6057,0.5675,0.6473,0.6074,0.7162,0.8134,0.7648,0.6795,0.6008,0.6402
15.6,-0.0106,0.6392,0.5946,0.5853,0.6641,0.6247,0.7329,0.8471,0.79,0.6881,0.5795,0.6338
15.7,-0.0237,0.6514,0.5826,0.6068,0.6821,0.6444,0.7509,0.8833,0.8171,0.6987,0.5599,0.6293
15.8,-0.0333,0.6632,0.57,0.6309,0.7004,0.6657,0.7697,0.921,0.8453,0.7118,0.5429,0.6274
15.9,-0.0397,0.6743,0.5572,0.6562,0.7185,0.6874,0.789,0.9587,0.8738,0.7277,0.529,0.6284
16,-0.0438,0.6846,0.5446,0.6814,0.7364,0.7089,0.8085,0.995,0.9018,0.7458,0.518,0.6319
16.1,-0.047,0.6942,0.532,0.7056,0.754,0.7298,0.8278,1.0288,0.9283,0.7645,0.5091,0.6368
16.2,-0.0502,0.703,0.5196,0.7279,0.7708,0.7493,0.8458,1.0592,0.9525,0.782,0.5015,0.6418
16.3,-0.0541,0.7097,0.5078,0.7477,0.7852,0.7664,0.8622,1.0855,0.9738,0.7968,0.4944,0.6456
16.4,-0.0581,0.7134,0.4973,0.7643,0.7957,0.78,0.8766,1.1075,0.9921,0.8079,0.4879,0.6479
16.5,-0.0612,0.7134,0.4891,0.7774,0.8013,0.7893,0.8894,1.1244,1.0069,0.815,0.4821,0.6485
16.6,-0.0627,0.7102,0.4837,0.7861,0.8009,0.7935,0.9002,1.1352,1.0177,0.8178,0.4772,0.6475
16.7,-0.0631,0.7038,0.4811,0.7895,0.7938,0.7917,0.9079,1.139,1.0234,0.8161,0.4729,0.6445
16.8,-0.0627,0.6946,0.4806,0.7866,0.7797,0.7832,0.9115,1.1352,1.0234,0.8097,0.4684,0.6391
16.9,-0.0618,0.6829,0.4815,0.7777,0.759,0.7684,0.9104,1.1244,1.0174,0.7985,0.4631,0.6308
17,-0.0603,0.6694,0.483,0.7644,0.7331,0.7488,0.9051,1.1071,1.0061,0.7828,0.457,0.6199
17.1,-0.0579,0.6552,0.485,0.7489,0.7037,0.7263,0.8963,1.0843,0.9903,0.7635,0.4507,0.6071
17.2,-0.0551,0.6417,0.4879,0.7331,0.6724,0.7028,0.885,1.057,0.971,0.7418,0.4451,0.5934
17.3,-0.0524,0.6295,0.492,0.7181,0.6409,0.6795,0.8723,1.0267,0.9495,0.7192,0.4414,0.5803
17.4,-0.05,0.619,0.4977,0.7046,0.6104,0.6575,0.8594,0.9948,0.9271,0.6976,0.4402,0.5689
17.5,-0.0475,0.6098,0.505,0.6931,0.5823,0.6377,0.847,0.9628,0.9049,0.6788,0.4415,0.5602
17.6,-0.0444,0.6021,0.5133,0.6842,0.5578,0.621,0.8352,0.932,0.8836,0.6637,0.4448,0.5543
17.7,-0.0404,0.596,0.5215,0.6782,0.5379,0.6081,0.8242,0.9028,0.8635,0.6519,0.4496,0.5508
17.8,-0.0349,0.5917,0.5291,0.6755,0.5234,0.5994,0.8143,0.8757,0.845,0.643,0.4557,0.5493
17.9,-0.0278,0.5892,0.5356,0.6761,0.5144,0.5953,0.806,0.8514,0.8287,0.6373,0.4632,0.5503
18,-0.0194,0.5885,0.541,0.6798,0.5112,0.5955,0.8004,0.8309,0.8156,0.6356,0.4725,0.554
18.1,-0.0103,0.5897,0.5452,0.6863,0.5134,0.5998,0.7978,0.8151,0.8064,0.6386,0.4832,0.5609
18.2,-0.0009,0.5931,0.5476,0.695,0.5205,0.6078,0.7982,0.8038,0.801,0.6471,0.4944,0.5708
18.3,0.0083,0.5987,0.5476,0.7055,0.5321,0.6188,0.8013,0.7966,0.7989,0.6612,0.5054,0.5833
18.4,0.0169,0.6063,0.5444,0.7175,0.5476,0.6325,0.8063,0.7929,0.7996,0.6808,0.5154,0.5981
18.5,0.0244,0.6154,0.5375,0.7305,0.5666,0.6485,0.8125,0.7927,0.8026,0.7055,0.5244,0.615
18.6,0.0302,0.6256,0.5272,0.7442,0.589,0.6666,0.8194,0.7959,0.8076,0.7349,0.5328,0.6339
18.7,0.0339,0.6363,0.5136,0.7586,0.6143,0.6865,0.8259,0.8022,0.8141,0.7679,0.5404,0.6542
18.8,0.0351,0.6467,0.4965,0.7734,0.6411,0.7072,0.8309,0.8106,0.8207,0.8026,0.5462,0.6744
18.9,0.0342,0.6557,0.4752,0.7876,0.6673,0.7275,0.8332,0.8195,0.8263,0.8367,0.5491,0.6929
19,0.031,0.6619,0.4495,0.8002,0.6912,0.7457,0.832,0.828,0.83,0.8684,0.5486,0.7085
19.1,0.0254,0.6645,0.4196,0.8097,0.7115,0.7606,0.8268,0.836,0.8314,0.8963,0.5449,0.7206
19.2,0.0175,0.6632,0.3872,0.8147,0.7273,0.771,0.817,0.8432,0.8301,0.9191,0.5387,0.7289
19.3,0.0073,0.6576,0.354,0.8141,0.7379,0.776,0.8019,0.849,0.8254,0.9353,0.5304,0.7328
19.4,-0.0045,0.6474,0.3212,0.8077,0.7422,0.775,0.781,0.8519,0.8165,0.943,0.5196,0.7313
19.5,-0.0169,0.6321,0.2897,0.7953,0.7396,0.7674,0.7544,0.8504,0.8024,0.9412,0.5058,0.7235
19.6,-0.0291,0.6115,0.2601,0.7769,0.7294,0.7531,0.7227,0.8431,0.7829,0.9298,0.4889,0.7093
19.7,-0.0399,0.5864,0.2336,0.7532,0.7122,0.7327,0.6872,0.8294,0.7583,0.9093,0.4699,0.6896
19.8,-0.048,0.5581,0.2117,0.7261,0.6893,0.7077,0.6499,0.8094,0.7297,0.8811,0.4507,0.6659
19.9,-0.0524,0.5282,0.1953,0.6977,0.6628,0.6802,0.6125,0.7834,0.698,0.847,0.4329,0.6399
20,-0.053,0.4982,0.1841,0.6701,0.6343,0.6522,0.5768,0.7526,0.6647,0.8087,0.417,0.6128
20.1,-0.0508,0.4691,0.1774,0.6446,0.6054,0.625,0.5441,0.7183,0.6312,0.7683,0.4028,0.5855
20.2,-0.0466,0.442,0.1746,0.6217,0.5772,0.5994,0.5153,0.6822,0.5988,0.7271,0.3902,0.5586
20.3,-0.041,0.4176,0.1755,0.6019,0.5509,0.5764,0.4911,0.6463,0.5687,0.6862,0.3795,0.5328
20.4,-0.0342,0.3968,0.1802,0.5856,0.5275,0.5566,0.4716,0.6124,0.542,0.6468,0.371,0.5089
20.5,-0.0266,0.38,0.1886,0.5733,0.508,0.5407,0.4567,0.5828,0.5197,0.6102,0.3647,0.4874
20.6,-0.0185,0.3675,0.2001,0.565,0.4933,0.5292,0.446,0.5589,0.5025,0.5772,0.3601,0.4687
20.7,-0.0101,0.3592,0.2139,0.5604,0.4841,0.5222,0.4391,0.5412,0.4901,0.5482,0.3563,0.4523
20.8,-0.0005,0.3548,0.2289,0.5587,0.48,0.5193,0.4349,0.5289,0.4819,0.5228,0.3522,0.4375
20.9,0.0111,0.3534,0.2441,0.5592,0.4805,0.5198,0.4325,0.5208,0.4767,0.5009,0.3472,0.424
21,0.0245,0.3546,0.2581,0.5614,0.4851,0.5233,0.4313,0.5155,0.4734,0.4819,0.3415,0.4117
21.1,0.0387,0.3581,0.2699,0.5651,0.4933,0.5292,0.4316,0.5125,0.472,0.4657,0.3356,0.4007
