Time,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10.4,-0.4425,0.6383,0.6763,0.6229,0.6263,0.6246,0.7294,0.6534,0.6914,0.7964,0.6874,0.7419
10.5,-0.4225,0.6438,0.6722,0.6539,0.631,0.6424,0.7432,0.6587,0.701,0.8036,0.6888,0.7462
10.6,-0.3946,0.6519,0.6675,0.6864,0.6383,0.6624,0.7574,0.6631,0.7103,0.8133,0.6897,0.7515
10.7,-0.3583,0.6617,0.6623,0.7193,0.6479,0.6836,0.7712,0.666,0.7186,0.8253,0.6905,0.7579
10.8,-0.3131,0.6725,0.657,0.7513,0.6592,0.7052,0.7838,0.6669,0.7253,0.8385,0.6908,0.7647
10.9,-0.2591,0.6831,0.6515,0.7807,0.6711,0.7259,0.7943,0.6647,0.7295,0.8516,0.6902,0.7709
11,-0.1973,0.6923,0.6458,0.8061,0.6827,0.7444,0.8017,0.6585,0.7301,0.8636,0.688,0.7758
11.1,-0.1296,0.699,0.6394,0.8264,0.6928,0.7596,0.8055,0.6474,0.7265,0.8735,0.6842,0.7788
11.2,-0.0579,0.703,0.6322,0.8409,0.7011,0.771,0.8056,0.6318,0.7187,0.8807,0.6789,0.7798
11.3,0.0158,0.7047,0.6246,0.8492,0.7078,0.7785,0.8021,0.6126,0.7074,0.8847,0.6728,0.7787
11.4,0.0896,0.7043,0.6167,0.8518,0.7128,0.7823,0.7956,0.591,0.6933,0.8854,0.6659,0.7756
11.5,0.1619,0.7017,0.6083,0.8494,0.7156,0.7825,0.7867,0.568,0.6773,0.8828,0.6582,0.7705
11.6,0.231,0.6964,0.5988,0.8431,0.7161,0.7796,0.7762,0.5442,0.6602,0.878,0.6501,0.7641
11.7,0.2953,0.6883,0.5881,0.8337,0.7139,0.7738,0.7645,0.5208,0.6427,0.8715,0.642,0.7568
11.8,0.3528,0.6777,0.5764,0.8214,0.7087,0.765,0.7518,0.4987,0.6252,0.8635,0.6342,0.7489
11.9,0.4007,0.6652,0.564,0.806,0.7001,0.753,0.7377,0.479,0.6083,0.8537,0.6271,0.7404
