Time,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
5.2,0.1206,0.4985,0.4486,0.2016,0.6433,0.4224,0.3882,0.5157,0.452,0.2707,0.655,0.4628
5.3,0.1143,0.508,0.4499,0.2113,0.6301,0.4207,0.3703,0.5206,0.4454,0.262,0.6525,0.4573
5.4,0.1081,0.5191,0.449,0.2236,0.6132,0.4184,0.3522,0.5231,0.4376,0.2519,0.6463,0.4491
5.5,0.1015,0.5318,0.4463,0.2389,0.5957,0.4173,0.3352,0.523,0.4291,0.2404,0.6364,0.4384
5.6,0.095,0.5459,0.4421,0.2577,0.5799,0.4188,0.32,0.5203,0.4202,0.2275,0.6236,0.4256
5.7,0.0892,0.5605,0.4366,0.2798,0.5671,0.4234,0.3071,0.5151,0.4111,0.2137,0.6082,0.4109
5.8,0.0837,0.5754,0.4296,0.305,0.5574,0.4312,0.2965,0.5073,0.4019,0.1996,0.5902,0.3949
5.9,0.0775,0.5902,0.4202,0.3336,0.5507,0.4421,0.288,0.4971,0.3926,0.1862,0.5693,0.3777
6,0.0696,0.6051,0.4082,0.3658,0.5465,0.4561,0.2808,0.4847,0.3827,0.1734,0.5452,0.3593
6.1,0.0597,0.6197,0.3937,0.4015,0.5441,0.4728,0.2742,0.4704,0.3723,0.1612,0.5186,0.3399
6.2,0.0483,0.6334,0.3774,0.4399,0.5428,0.4913,0.2676,0.4552,0.3614,0.1494,0.4903,0.3199
6.3,0.0361,0.6453,0.3604,0.48,0.5415,0.5108,0.2609,0.4401,0.3505,0.1386,0.4612,0.2999
6.4,0.0232,0.6546,0.3436,0.5207,0.5397,0.5302,0.254,0.4263,0.3401,0.1294,0.4315,0.2805
6.5,0.0105,0.6608,0.3278,0.5608,0.5373,0.549,0.2468,0.4146,0.3307,0.1215,0.4011,0.2613
6.6,-0.0013,0.6632,0.3135,0.599,0.5341,0.5665,0.2391,0.4058,0.3225,0.114,0.3704,0.2422
6.7,-0.0116,0.6615,0.3014,0.6337,0.5299,0.5818,0.2308,0.4003,0.3155,0.1064,0.3405,0.2235
6.8,-0.0208,0.6553,0.2928,0.6636,0.5244,0.594,0.2221,0.3984,0.3103,0.0993,0.3131,0.2062
6.9,-0.0301,0.6447,0.2886,0.688,0.5175,0.6027,0.2137,0.4007,0.3072,0.0935,0.2897,0.1916
