Time,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7.8,-0.3144,0.6181,0.467,0.731,0.7019,0.7165,0.5103,0.8387,0.6745,0.3905,0.5089,0.4497
7.9,-0.3247,0.6261,0.4599,0.7431,0.7021,0.7226,0.5017,0.8477,0.6747,0.3809,0.5077,0.4443
8,-0.3322,0.6334,0.4528,0.7548,0.703,0.7289,0.4929,0.8544,0.6736,0.3723,0.5047,0.4385
8.1,-0.3363,0.6393,0.4452,0.7653,0.704,0.7347,0.4846,0.8583,0.6714,0.3641,0.4993,0.4317
8.2,-0.3367,0.6441,0.4363,0.774,0.7043,0.7392,0.4779,0.859,0.6685,0.3564,0.4914,0.4239
8.3,-0.3324,0.6484,0.4256,0.7803,0.7036,0.7419,0.4734,0.8567,0.6651,0.3495,0.4812,0.4153
8.4,-0.3223,0.6523,0.4122,0.7836,0.7018,0.7427,0.4708,0.8509,0.6609,0.3436,0.4692,0.4064
8.5,-0.3058,0.656,0.3956,0.7839,0.6984,0.7412,0.4696,0.8399,0.6547,0.3388,0.4558,0.3973
8.6,-0.2831,0.659,0.3755,0.7812,0.6932,0.7372,0.4691,0.8225,0.6458,0.3352,0.4419,0.3886
8.7,-0.2561,0.6616,0.3529,0.7754,0.6865,0.7309,0.4695,0.7994,0.6344,0.3332,0.4282,0.3807
8.8,-0.2276,0.6641,0.3294,0.7659,0.6794,0.7226,0.4713,0.7727,0.622,0.3331,0.4159,0.3745
8.9,-0.2,0.6673,0.3066,0.7528,0.6737,0.7132,0.475,0.7451,0.61,0.3347,0.4053,0.37
9,-0.1745,0.6719,0.286,0.7371,0.6702,0.7037,0.4806,0.7182,0.5994,0.338,0.3964,0.3672
9.1,-0.1515,0.6781,0.2683,0.7197,0.669,0.6944,0.4879,0.6929,0.5904,0.3423,0.3889,0.3656
9.2,-0.1325,0.6857,0.2537,0.7004,0.6696,0.685,0.4957,0.6699,0.5828,0.3472,0.3826,0.3649
9.3,-0.1192,0.6939,0.2427,0.6783,0.6718,0.6751,0.5029,0.6495,0.5762,0.3523,0.3777,0.365
9.4,-0.1128,0.7022,0.2359,0.6532,0.6759,0.6646,0.5082,0.6323,0.5703,0.3576,0.3747,0.3662
9.5,-0.1132,0.7105,0.2347,0.626,0.6825,0.6542,0.5113,0.6191,0.5652,0.3636,0.3738,0.3687
9.6,-0.12,0.7185,0.2402,0.5986,0.6913,0.6449,0.5124,0.6099,0.5612,0.3704,0.3753,0.3729
9.7,-0.1325,0.7255,0.2534,0.5723,0.7016,0.637,0.5124,0.6048,0.5586,0.3781,0.3797,0.3789
9.8,-0.1493,0.73,0.2741,0.5476,0.712,0.6298,0.5119,0.6033,0.5576,0.3874,0.3873,0.3873
9.9,-0.1683,0.7308,0.3012,0.5238,0.7211,0.6225,0.5113,0.6052,0.5583,0.3985,0.3982,0.3984
