Time,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC,Uber - Carshare Second Car 30 TVC
3.1,0.3053,0.3352,0.557,0.3654,0.4244,0.3949,0.5835,0.5647,0.5741,0.4488,0.4994,0.4741
3.2,0.2769,0.3243,0.5592,0.3617,0.4146,0.3881,0.5869,0.5757,0.5813,0.4552,0.5025,0.4789
3.3,0.2453,0.3138,0.5609,0.3568,0.4042,0.3805,0.5895,0.5881,0.5888,0.4626,0.5083,0.4855
3.4,0.2114,0.3041,0.5619,0.3516,0.3934,0.3725,0.5918,0.6017,0.5967,0.4702,0.5164,0.4933
3.5,0.1765,0.295,0.562,0.3465,0.3829,0.3647,0.5941,0.616,0.6051,0.4774,0.5263,0.5019
3.6,0.1422,0.2867,0.5608,0.3419,0.3731,0.3575,0.5967,0.6306,0.6137,0.4839,0.5377,0.5108
3.7,0.1104,0.2793,0.5574,0.3377,0.3645,0.3511,0.5993,0.6449,0.6221,0.4894,0.5501,0.5198
3.8,0.0826,0.2732,0.5507,0.3342,0.3579,0.346,0.6019,0.6581,0.63,0.4941,0.5629,0.5285
3.9,0.0592,0.2692,0.5402,0.3323,0.3544,0.3434,0.6044,0.6696,0.637,0.4984,0.5759,0.5371
4,0.0397,0.2687,0.5264,0.333,0.3554,0.3442,0.6066,0.6792,0.6429,0.5025,0.5889,0.5457
4.1,0.0241,0.2725,0.5099,0.3372,0.3618,0.3495,0.6078,0.6867,0.6473,0.5068,0.6019,0.5544
4.2,0.0122,0.2814,0.4916,0.3453,0.3739,0.3596,0.6083,0.692,0.6502,0.5119,0.6146,0.5633
4.3,0.0037,0.2954,0.4719,0.3573,0.3914,0.3743,0.6082,0.695,0.6516,0.5177,0.6265,0.5721
4.4,-0.002,0.3145,0.4516,0.3724,0.4137,0.3931,0.6081,0.6957,0.6519,0.5239,0.637,0.5804
4.5,-0.0063,0.3384,0.4313,0.3897,0.4402,0.4149,0.6082,0.6944,0.6513,0.5302,0.6455,0.5879
4.6,-0.0106,0.3666,0.4114,0.4081,0.4702,0.4392,0.6084,0.6914,0.6499,0.5366,0.652,0.5943
4.7,-0.0157,0.3986,0.3916,0.4274,0.5031,0.4653,0.6085,0.6864,0.6474,0.5428,0.6565,0.5996
4.8,-0.0214,0.4334,0.3717,0.4476,0.5378,0.4927,0.6079,0.6789,0.6434,0.5485,0.6582,0.6034
4.9,-0.0264,0.4704,0.3518,0.4694,0.5732,0.5213,0.6061,0.6688,0.6374,0.5532,0.657,0.6051
5,-0.0304,0.5086,0.3327,0.4933,0.6085,0.5509,0.6032,0.6562,0.6297,0.5568,0.6532,0.605
5.1,-0.034,0.5474,0.3156,0.5194,0.6433,0.5813,0.5991,0.6422,0.6207,0.5591,0.6472,0.6032
5.2,-0.0389,0.5854,0.301,0.5472,0.6769,0.612,0.5941,0.6278,0.6109,0.5601,0.6399,0.6
5.3,-0.046,0.6212,0.289,0.5753,0.7082,0.6418,0.5882,0.6139,0.6011,0.5599,0.6319,0.5959
5.4,-0.0554,0.6529,0.2793,0.6024,0.736,0.6692,0.5819,0.6012,0.5916,0.5585,0.624,0.5912
5.5,-0.0672,0.6792,0.2723,0.6272,0.7592,0.6932,0.5756,0.5901,0.5828,0.5564,0.6167,0.5865
5.6,-0.0818,0.6995,0.2692,0.6489,0.7776,0.7133,0.5697,0.5813,0.5755,0.5537,0.6108,0.5823
5.7,-0.0994,0.7141,0.271,0.6672,0.7916,0.7294,0.5647,0.5756,0.5701,0.5505,0.6067,0.5786
5.8,-0.1195,0.7233,0.2777,0.6814,0.8019,0.7416,0.5609,0.5732,0.567,0.5461,0.6041,0.5751
5.9,-0.1412,0.7275,0.2885,0.6911,0.8088,0.7499,0.5585,0.5737,0.5661,0.5399,0.6024,0.5711
6,-0.1631,0.7269,0.302,0.6961,0.8124,0.7542,0.5576,0.5763,0.5669,0.5308,0.6009,0.5659
6.1,-0.1842,0.7219,0.3171,0.6964,0.8125,0.7544,0.5578,0.5803,0.569,0.5184,0.5988,0.5586
6.2,-0.2032,0.7128,0.3332,0.6923,0.809,0.7507,0.5582,0.5849,0.5715,0.5025,0.5954,0.549
6.3,-0.2185,0.7005,0.3494,0.6843,0.8018,0.743,0.558,0.5892,0.5736,0.4831,0.5904,0.5368
6.4,-0.228,0.6853,0.3651,0.6727,0.7908,0.7318,0.5567,0.5925,0.5746,0.4602,0.5834,0.5218
6.5,-0.2305,0.6676,0.3794,0.6585,0.7766,0.7175,0.5543,0.594,0.5741,0.434,0.574,0.504
6.6,-0.2266,0.6478,0.3917,0.6424,0.7601,0.7013,0.5513,0.5932,0.5723,0.4054,0.5624,0.4839
6.7,-0.2176,0.6267,0.4015,0.6257,0.7425,0.6841,0.548,0.5899,0.569,0.3756,0.5492,0.4624
6.8,-0.205,0.6052,0.409,0.609,0.7248,0.6669,0.5446,0.5843,0.5644,0.3462,0.5356,0.4409
6.9,-0.19,0.584,0.4147,0.5923,0.7077,0.65,0.5404,0.5771,0.5587,0.3187,0.5227,0.4207
7,-0.1734,0.5639,0.4192,0.5756,0.6916,0.6336,0.5353,0.5689,0.5521,0.2944,0.5109,0.4026
7.1,-0.1562,0.5455,0.423,0.5593,0.6766,0.618,0.5292,0.5599,0.5445,0.2741,0.5006,0.3874
7.2,-0.1399,0.5292,0.4263,0.544,0.6623,0.6031,0.5221,0.5499,0.536,0.2583,0.4923,0.3753
7.3,-0.1256,0.5154,0.4291,0.5299,0.6488,0.5893,0.5139,0.5387,0.5263,0.2471,0.4861,0.3666
7.4,-0.1139,0.5037,0.4317,0.5172,0.6359,0.5766,0.505,0.5269,0.5159,0.2408,0.4827,0.3617
7.5,-0.1046,0.494,0.4342,0.5062,0.624,0.5651,0.4959,0.515,0.5054,0.2393,0.4819,0.3606
7.6,-0.0972,0.4859,0.436,0.4973,0.6132,0.5553,0.4876,0.5037,0.4956,0.2426,0.4835,0.363
7.7,-0.0912,0.4792,0.4367,0.491,0.6036,0.5473,0.4804,0.4931,0.4868,0.2504,0.4873,0.3688
7.8,-0.0864,0.4739,0.4357,0.4877,0.5952,0.5414,0.4745,0.4834,0.4789,0.2624,0.4932,0.3778
7.9,-0.0823,0.4702,0.4328,0.4877,0.588,0.5378,0.4695,0.4745,0.472,0.2782,0.5013,0.3898
8,-0.0781,0.4685,0.4284,0.491,0.5821,0.5365,0.465,0.4669,0.4659,0.2974,0.5113,0.4044
8.1,-0.0725,0.4689,0.4231,0.4975,0.5772,0.5374,0.4611,0.4606,0.4608,0.3191,0.5224,0.4208
8.2,-0.0645,0.4713,0.4174,0.5069,0.5734,0.5402,0.4578,0.4559,0.4569,0.3428,0.5341,0.4384
8.3,-0.054,0.4753,0.4121,0.5185,0.5706,0.5446,0.4551,0.4532,0.4542,0.3678,0.5463,0.4571
8.4,-0.0423,0.4804,0.4077,0.5313,0.5687,0.55,0.4529,0.4528,0.4528,0.3938,0.5592,0.4765
8.5,-0.0312,0.4859,0.4045,0.544,0.5677,0.5559,0.4506,0.4547,0.4526,0.42,0.5721,0.496
8.6,-0.0221,0.4913,0.4024,0.5561,0.5673,0.5617,0.4482,0.4585,0.4533,0.4453,0.5843,0.5148
8.7,-0.0159,0.4967,0.4013,0.5673,0.5671,0.5672,0.4458,0.4636,0.4547,0.4683,0.5949,0.5316
8.8,-0.0125,0.5023,0.4008,0.5772,0.5669,0.5721,0.4435,0.4694,0.4565,0.4883,0.6035,0.5459
8.9,-0.0119,0.5082,0.4009,0.5857,0.5668,0.5763,0.4413,0.4757,0.4585,0.5044,0.6099,0.5572
9,-0.0137,0.5146,0.401,0.5926,0.567,0.5798,0.4388,0.4818,0.4603,0.5163,0.6139,0.5651
9.1,-0.0168,0.5211,0.4009,0.5979,0.5676,0.5827,0.4362,0.4872,0.4617,0.5238,0.615,0.5694
9.2,-0.0195,0.5271,0.3996,0.6021,0.5682,0.5852,0.4333,0.4909,0.4621,0.5271,0.6132,0.5701
9.3,-0.0203,0.5323,0.3972,0.6058,0.5685,0.5872,0.4304,0.4924,0.4614,0.5263,0.6088,0.5676
9.4,-0.0188,0.5364,0.3937,0.609,0.568,0.5885,0.4276,0.4916,0.4596,0.5222,0.6026,0.5624
9.5,-0.0151,0.5394,0.3898,0.6115,0.5667,0.5891,0.4252,0.4888,0.457,0.5154,0.5949,0.5551
9.6,-0.0101,0.5412,0.3859,0.6127,0.565,0.5888,0.4235,0.4843,0.4539,0.5065,0.5858,0.5462
9.7,-0.004,0.5421,0.3824,0.6128,0.5633,0.588,0.4233,0.4785,0.4509,0.4965,0.5756,0.5361
9.8,0.003,0.5425,0.3791,0.6123,0.5629,0.5876,0.4257,0.4716,0.4486,0.4867,0.5655,0.5261
9.9,0.0098,0.5426,0.376,0.612,0.5644,0.5882,0.431,0.4639,0.4474,0.4788,0.5567,0.5177
10,0.0148,0.5425,0.3731,0.6119,0.5684,0.5902,0.4392,0.4556,0.4474,0.4741,0.5501,0.5121
10.1,0.0169,0.542,0.3708,0.6116,0.5747,0.5932,0.4499,0.4471,0.4485,0.4736,0.5456,0.5096
10.2,0.0166,0.5409,0.3699,0.611,0.5823,0.5966,0.4629,0.4384,0.4506,0.4775,0.5429,0.5102
10.3,0.0148,0.5391,0.3711,0.6101,0.5903,0.6002,0.4783,0.4299,0.4541,0.4857,0.5417,0.5137
10.4,0.0124,0.5369,0.3745,0.6094,0.5979,0.6037,0.4963,0.4219,0.4591,0.498,0.542,0.52
10.5,0.0089,0.5347,0.38,0.6094,0.6051,0.6072,0.5167,0.415,0.4658,0.5142,0.5439,0.5291
10.6,0.0034,0.5333,0.3873,0.6104,0.6123,0.6113,0.539,0.4095,0.4742,0.5341,0.5475,0.5408
10.7,-0.0049,0.5331,0.3963,0.6128,0.6202,0.6165,0.5631,0.4062,0.4846,0.5575,0.5532,0.5553
10.8,-0.0157,0.5348,0.4075,0.6169,0.6296,0.6232,0.5888,0.4061,0.4975,0.5842,0.5613,0.5728
10.9,-0.0286,0.5384,0.4211,0.6225,0.6399,0.6312,0.6161,0.41,0.513,0.6143,0.572,0.5931
11,-0.043,0.5434,0.4376,0.6286,0.6502,0.6394,0.6438,0.4179,0.5309,0.647,0.5853,0.6161
11.1,-0.0581,0.5493,0.457,0.6343,0.6593,0.6468,0.6702,0.4297,0.55,0.6812,0.601,0.6411
11.2,-0.0726,0.5559,0.4791,0.6388,0.6665,0.6527,0.6937,0.4449,0.5693,0.7151,0.6185,0.6668
11.3,-0.0854,0.5633,0.5029,0.6417,0.6714,0.6566,0.7131,0.4629,0.588,0.7472,0.6372,0.6922
11.4,-0.0962,0.5714,0.5276,0.6422,0.6743,0.6582,0.7283,0.4831,0.6057,0.7763,0.6562,0.7163
11.5,-0.1062,0.5793,0.5518,0.6392,0.6751,0.6572,0.7391,0.5049,0.622,0.8012,0.6745,0.7379
11.6,-0.117,0.5858,0.5743,0.6317,0.6734,0.6525,0.7454,0.5272,0.6363,0.8212,0.6914,0.7563
11.7,-0.1294,0.5899,0.5936,0.6187,0.6687,0.6437,0.7469,0.5491,0.648,0.8355,0.7068,0.7712
11.8,-0.1429,0.5909,0.6091,0.6006,0.6611,0.6308,0.7439,0.5698,0.6569,0.8437,0.7207,0.7822
11.9,-0.1566,0.5892,0.6203,0.5784,0.6513,0.6149,0.7373,0.5889,0.6631,0.8456,0.7328,0.7892
12,-0.1698,0.5854,0.6272,0.5533,0.6402,0.5967,0.7279,0.606,0.667,0.8413,0.7424,0.7919
12.1,-0.182,0.5796,0.6294,0.5259,0.6278,0.5769,0.7158,0.6207,0.6683,0.8309,0.7488,0.7899
12.2,-0.1922,0.5718,0.6265,0.4966,0.6137,0.5551,0.701,0.6326,0.6668,0.8148,0.7517,0.7833
12.3,-0.1992,0.5618,0.6189,0.4659,0.5977,0.5318,0.6838,0.6413,0.6625,0.7938,0.751,0.7724
12.4,-0.2019,0.55,0.608,0.4351,0.5803,0.5077,0.6652,0.6473,0.6562,0.7691,0.7473,0.7582
12.5,-0.2004,0.537,0.5955,0.4056,0.5626,0.4841,0.6471,0.6514,0.6492,0.7419,0.7413,0.7416
12.6,-0.1955,0.5237,0.583,0.3783,0.5459,0.4621,0.6309,0.6544,0.6427,0.7131,0.7339,0.7235
12.7,-0.1883,0.5103,0.5714,0.3534,0.5307,0.4421,0.6174,0.657,0.6372,0.683,0.7256,0.7043
12.8,-0.1797,0.4974,0.5616,0.3305,0.5177,0.4241,0.6063,0.6591,0.6327,0.6523,0.7163,0.6843
12.9,-0.1706,0.4854,0.5538,0.3095,0.5073,0.4084,0.5971,0.6605,0.6288,0.6217,0.7059,0.6638
13,-0.1615,0.4749,0.548,0.291,0.4999,0.3954,0.5897,0.6609,0.6253,0.5928,0.6948,0.6438
13.1,-0.1525,0.466,0.544,0.2753,0.4955,0.3854,0.5842,0.6599,0.622,0.5672,0.6839,0.6256
13.2,-0.1433,0.4583,0.5415,0.2628,0.4935,0.3782,0.5804,0.6578,0.6191,0.5458,0.6742,0.61
13.3,-0.1342,0.4509,0.5406,0.2534,0.4932,0.3733,0.5779,0.6551,0.6165,0.5285,0.6655,0.597
13.4,-0.1261,0.4437,0.5421,0.2471,0.4945,0.3708,0.5766,0.6523,0.6144,0.5151,0.6575,0.5863
13.5,-0.1202,0.4369,0.5469,0.2442,0.4978,0.371,0.5767,0.6495,0.6131,0.5057,0.6502,0.578
13.6,-0.1168,0.4315,0.5551,0.2449,0.5032,0.374,0.5782,0.6471,0.6126,0.5004,0.6443,0.5723
13.7,-0.1158,0.4279,0.566,0.2488,0.5104,0.3796,0.5808,0.6449,0.6128,0.4993,0.6403,0.5698
13.8,-0.1162,0.4262,0.5784,0.2552,0.5186,0.3869,0.584,0.643,0.6135,0.5019,0.6385,0.5702
13.9,-0.1173,0.4262,0.5916,0.2634,0.5273,0.3954,0.5871,0.6414,0.6143,0.5078,0.6387,0.5732
14,-0.1192,0.4278,0.6054,0.2734,0.5363,0.4049,0.59,0.6402,0.6151,0.5167,0.6407,0.5787
14.1,-0.1217,0.4308,0.6196,0.2848,0.545,0.4149,0.5925,0.6392,0.6158,0.5285,0.6448,0.5867
14.2,-0.1249,0.4345,0.6332,0.2967,0.552,0.4243,0.5944,0.6378,0.6161,0.543,0.6511,0.597
14.3,-0.1286,0.4382,0.6455,0.3077,0.5558,0.4317,0.5951,0.6355,0.6153,0.5589,0.6588,0.6089
14.4,-0.133,0.4416,0.6554,0.3169,0.5558,0.4364,0.5937,0.6313,0.6125,0.5749,0.667,0.621
14.5,-0.1381,0.4449,0.6625,0.3243,0.5526,0.4385,0.5896,0.625,0.6073,0.5898,0.6748,0.6323
14.6,-0.1442,0.4484,0.6664,0.3298,0.5473,0.4386,0.5828,0.6165,0.5997,0.6031,0.682,0.6425
14.7,-0.1515,0.4522,0.6669,0.3336,0.5405,0.4371,0.5734,0.6062,0.5898,0.6143,0.6885,0.6514
14.8,-0.16,0.4558,0.664,0.3353,0.5327,0.434,0.5618,0.5944,0.5781,0.6234,0.6945,0.659
14.9,-0.1689,0.4585,0.6582,0.3351,0.5237,0.4294,0.548,0.5814,0.5647,0.6299,0.6997,0.6648
15,-0.1765,0.4602,0.6501,0.3337,0.5141,0.4239,0.5323,0.5675,0.5499,0.6334,0.7037,0.6685
15.1,-0.1806,0.4612,0.6402,0.3325,0.5046,0.4185,0.5151,0.5532,0.5341,0.6336,0.7065,0.6701
15.2,-0.1795,0.4621,0.6286,0.3329,0.4959,0.4144,0.4969,0.539,0.518,0.6306,0.708,0.6693
15.3,-0.1728,0.4635,0.6154,0.3359,0.4883,0.4121,0.4784,0.5255,0.5019,0.6244,0.708,0.6662
15.4,-0.161,0.4655,0.6008,0.3417,0.4819,0.4118,0.4597,0.5131,0.4864,0.6152,0.7059,0.6606
15.5,-0.1446,0.4676,0.585,0.3499,0.4766,0.4133,0.4412,0.5018,0.4715,0.6033,0.7018,0.6526
15.6,-0.1241,0.4698,0.5687,0.3603,0.4725,0.4164,0.4233,0.4919,0.4576,0.589,0.6961,0.6425
15.7,-0.0993,0.4722,0.5526,0.3725,0.4698,0.4212,0.4065,0.4836,0.445,0.5725,0.6891,0.6308
15.8,-0.0706,0.4749,0.5373,0.3864,0.469,0.4277,0.3915,0.4771,0.4343,0.5541,0.6814,0.6178
15.9,-0.0388,0.4777,0.5233,0.4017,0.4705,0.4361,0.3786,0.4727,0.4256,0.5343,0.6731,0.6037
16,-0.0053,0.4803,0.5106,0.4177,0.4745,0.4461,0.3676,0.4702,0.4189,0.5133,0.6641,0.5887
16.1,0.0286,0.4826,0.4993,0.4336,0.481,0.4573,0.3583,0.4693,0.4138,0.4917,0.6545,0.5731
16.2,0.0621,0.4844,0.4898,0.4492,0.4896,0.4694,0.351,0.4702,0.4106,0.4705,0.6446,0.5576
16.3,0.0946,0.486,0.4824,0.4646,0.5002,0.4824,0.3465,0.4731,0.4098,0.451,0.6351,0.543
16.4,0.1252,0.4874,0.4776,0.4798,0.5127,0.4963,0.3457,0.4787,0.4122,0.4344,0.6265,0.5305
16.5,0.1529,0.4888,0.4755,0.4949,0.5277,0.5113,0.3493,0.4872,0.4183,0.4218,0.6195,0.5206
16.6,0.1761,0.4903,0.476,0.5094,0.5456,0.5275,0.3577,0.4987,0.4282,0.4135,0.6143,0.5139
16.7,0.1936,0.4919,0.4789,0.5229,0.5668,0.5449,0.3705,0.5126,0.4415,0.4099,0.6112,0.5105
16.8,0.204,0.4937,0.4843,0.5349,0.591,0.5629,0.3875,0.528,0.4577,0.4112,0.6103,0.5107
16.9,0.2072,0.4958,0.4919,0.5451,0.6169,0.581,0.4084,0.5444,0.4764,0.4174,0.6117,0.5146
17,0.2034,0.4984,0.5007,0.5533,0.6434,0.5984,0.433,0.5611,0.4971,0.4282,0.6154,0.5218
17.1,0.193,0.5011,0.5096,0.5591,0.6693,0.6142,0.4603,0.5778,0.519,0.4426,0.6208,0.5317
17.2,0.1766,0.5035,0.5177,0.5623,0.6933,0.6278,0.4892,0.5938,0.5415,0.4598,0.6274,0.5436
17.3,0.1543,0.5053,0.5243,0.5625,0.7145,0.6385,0.5184,0.6082,0.5633,0.4793,0.635,0.5571
17.4,0.1265,0.5056,0.5284,0.5593,0.7321,0.6457,0.5468,0.6202,0.5835,0.5006,0.6433,0.5719
17.5,0.0936,0.5041,0.5291,0.5516,0.7454,0.6485,0.5727,0.6289,0.6008,0.523,0.6517,0.5873
17.6,0.0559,0.5002,0.5253,0.5385,0.7541,0.6463,0.5948,0.6338,0.6143,0.5452,0.6592,0.6022
17.7,0.0148,0.4939,0.5164,0.5197,0.7582,0.639,0.6119,0.6346,0.6232,0.5658,0.6647,0.6153
17.8,-0.028,0.4853,0.5025,0.4962,0.7585,0.6273,0.6238,0.6313,0.6275,0.5841,0.6676,0.6258
17.9,-0.0705,0.4751,0.4844,0.4695,0.7556,0.6125,0.6306,0.624,0.6273,0.5997,0.6677,0.6337
18,-0.111,0.4637,0.4627,0.4407,0.7502,0.5954,0.6324,0.613,0.6227,0.6126,0.6657,0.6391
18.1,-0.1478,0.4513,0.4385,0.4106,0.7422,0.5764,0.6292,0.5985,0.6138,0.6224,0.6615,0.642
18.2,-0.1795,0.4386,0.4129,0.38,0.7315,0.5557,0.621,0.5806,0.6008,0.6289,0.6554,0.6422
18.3,-0.204,0.4264,0.3874,0.35,0.7182,0.5341,0.6083,0.56,0.5842,0.632,0.6474,0.6397
18.4,-0.219,0.4158,0.3636,0.3225,0.7028,0.5127,0.592,0.5375,0.5647,0.6319,0.6382,0.6351
18.5,-0.2233,0.4075,0.3424,0.2989,0.686,0.4924,0.5732,0.5139,0.5435,0.6296,0.6287,0.6291
18.6,-0.2168,0.4019,0.3247,0.2798,0.6684,0.4741,0.553,0.4899,0.5214,0.6259,0.6196,0.6228
18.7,-0.2002,0.399,0.3109,0.2652,0.6503,0.4578,0.5321,0.4658,0.4989,0.6213,0.6115,0.6164
18.8,-0.1733,0.3985,0.3012,0.2549,0.6316,0.4432,0.5112,0.4418,0.4765,0.6159,0.6042,0.6101
18.9,-0.1368,0.3998,0.2958,0.2483,0.612,0.4301,0.4907,0.4182,0.4544,0.6097,0.5979,0.6038
19,-0.0919,0.4026,0.2945,0.245,0.5916,0.4183,0.4711,0.3952,0.4332,0.6032,0.5927,0.5979
19.1,-0.0407,0.4064,0.297,0.2448,0.5709,0.4078,0.453,0.3734,0.4132,0.5967,0.5894,0.593
19.2,0.0147,0.4111,0.303,0.2473,0.5502,0.3988,0.4367,0.3533,0.395,0.5909,0.5883,0.5896
19.3,0.0723,0.4162,0.3122,0.2525,0.5303,0.3914,0.4226,0.3354,0.379,0.5862,0.5897,0.5879
19.4,0.1305,0.4217,0.3239,0.2602,0.5117,0.386,0.4112,0.32,0.3656,0.5825,0.5932,0.5878
19.5,0.1877,0.4275,0.3375,0.2707,0.4949,0.3828,0.4027,0.3072,0.3549,0.5792,0.5984,0.5888
19.6,0.2418,0.4333,0.3519,0.2838,0.4804,0.3821,0.3971,0.2966,0.3468,0.576,0.6048,0.5904
19.7,0.2908,0.439,0.3664,0.2989,0.4688,0.3838,0.3939,0.2881,0.341,0.5726,0.6117,0.5921
19.8,0.3332,0.4442,0.3804,0.315,0.4605,0.3878,0.3923,0.2817,0.337,0.5687,0.6185,0.5936
19.9,0.3682,0.4485,0.3936,0.331,0.4555,0.3933,0.3913,0.2774,0.3343,0.5638,0.6249,0.5944
20,0.3952,0.451,0.4059,0.346,0.4532,0.3996,0.3904,0.2755,0.333,0.5573,0.6304,0.5938
20.1,0.4144,0.4511,0.4175,0.36,0.4525,0.4063,0.3894,0.276,0.3327,0.5485,0.634,0.5912
20.2,0.4267,0.4489,0.4281,0.3729,0.4527,0.4128,0.3878,0.2786,0.3332,0.5371,0.6352,0.5861
20.3,0.434,0.4448,0.4369,0.3848,0.4529,0.4188,0.3853,0.2829,0.3341,0.5233,0.6333,0.5783
20.4,0.4383,0.4394,0.4427,0.3949,0.4526,0.4238,0.3815,0.288,0.3348,0.5073,0.6276,0.5675
20.5,0.4409,0.4327,0.4449,0.4028,0.4509,0.4269,0.3756,0.2934,0.3345,0.4893,0.6173,0.5533
20.6,0.4421,0.4247,0.4434,0.408,0.4474,0.4277,0.3677,0.2985,0.3331,0.4691,0.6021,0.5356
20.7,0.4425,0.4157,0.4384,0.4109,0.4422,0.4266,0.3582,0.3032,0.3307,0.4468,0.5819,0.5144
20.8,0.4424,0.4066,0.4308,0.4122,0.4361,0.4241,0.3476,0.3074,0.3275,0.4231,0.5574,0.4902
20.9,0.4424,0.3983,0.4215,0.4127,0.4297,0.4212,0.3365,0.3114,0.324,0.3985,0.5293,0.4639
21,0.4429,0.3915,0.4119,0.4128,0.4234,0.4181,0.3254,0.3154,0.3204,0.3737,0.4985,0.4361
21.1,0.444,0.386,0.4029,0.4132,0.4168,0.415,0.3149,0.3193,0.3171,0.3495,0.4663,0.4079
