Time,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
6.5,0.3654,0.4672,0.3957,0.6465,0.0886,0.3675,0.4851,0.3131,0.3991,0.5624,0.4858,0.5241
6.6,0.3881,0.4692,0.3958,0.6516,0.0488,0.3502,0.518,0.3241,0.421,0.5512,0.4846,0.5179
6.7,0.4161,0.473,0.3941,0.6561,0.0069,0.3315,0.5491,0.3339,0.4415,0.5334,0.4779,0.5056
6.8,0.4498,0.4784,0.3905,0.6604,-0.0358,0.3123,0.5781,0.3425,0.4603,0.5103,0.4665,0.4884
6.9,0.4873,0.4849,0.3858,0.665,-0.0771,0.294,0.6049,0.35,0.4774,0.4834,0.4518,0.4676
7,0.5262,0.4923,0.3809,0.6704,-0.114,0.2782,0.6294,0.3575,0.4934,0.4537,0.435,0.4444
7.1,0.5644,0.5011,0.3771,0.6773,-0.144,0.2667,0.652,0.366,0.509,0.423,0.4181,0.4205
7.2,0.601,0.5118,0.3755,0.6864,-0.1654,0.2605,0.6729,0.3762,0.5246,0.3929,0.4025,0.3977
7.3,0.6357,0.5241,0.3764,0.6977,-0.1773,0.2602,0.6918,0.3881,0.5399,0.3647,0.3897,0.3772
7.4,0.669,0.5376,0.3789,0.7111,-0.1798,0.2656,0.708,0.4006,0.5543,0.3391,0.3798,0.3595
7.5,0.7008,0.5514,0.3822,0.726,-0.1736,0.2762,0.721,0.4128,0.5669,0.3162,0.3721,0.3441
7.6,0.7307,0.565,0.3857,0.7419,-0.1589,0.2915,0.7309,0.4244,0.5776,0.2961,0.3654,0.3308
7.7,0.7575,0.5775,0.3898,0.758,-0.1355,0.3113,0.7379,0.4356,0.5868,0.2794,0.359,0.3192
7.8,0.7782,0.588,0.3956,0.7728,-0.1027,0.335,0.7416,0.4469,0.5942,0.2664,0.3533,0.3099
7.9,0.7899,0.5955,0.4036,0.7848,-0.0602,0.3623,0.7412,0.4583,0.5997,0.2576,0.3484,0.303
8,0.7918,0.5998,0.414,0.7938,-0.0077,0.393,0.7367,0.4703,0.6035,0.2526,0.3445,0.2985
8.1,0.7836,0.6011,0.4274,0.7999,0.0548,0.4273,0.7292,0.4835,0.6064,0.2509,0.3414,0.2961
8.2,0.7657,0.6003,0.444,0.8038,0.126,0.4649,0.7198,0.4982,0.609,0.2528,0.3389,0.2959
8.3,0.7388,0.5979,0.4634,0.8058,0.2036,0.5047,0.7087,0.5143,0.6115,0.259,0.3374,0.2982
8.4,0.703,0.5951,0.4856,0.8064,0.2857,0.5461,0.6963,0.5318,0.6141,0.2709,0.3372,0.304
8.5,0.658,0.5939,0.5123,0.8059,0.3704,0.5881,0.6839,0.5516,0.6177,0.291,0.3391,0.315
8.6,0.6047,0.5957,0.5471,0.8045,0.4551,0.6298,0.673,0.5754,0.6242,0.3215,0.3442,0.3328
8.7,0.545,0.6014,0.5923,0.802,0.5364,0.6692,0.665,0.6038,0.6344,0.3631,0.3528,0.358
8.8,0.4821,0.6111,0.6472,0.7983,0.6111,0.7047,0.6601,0.6361,0.6481,0.4148,0.3647,0.3898
8.9,0.42,0.6247,0.7073,0.7943,0.6772,0.7358,0.6576,0.6703,0.6639,0.4736,0.3786,0.4261
9,0.3626,0.6416,0.7667,0.791,0.7348,0.7629,0.6564,0.7038,0.6801,0.5355,0.3931,0.4643
9.1,0.3125,0.6611,0.8204,0.7897,0.7846,0.7871,0.6564,0.7351,0.6958,0.5954,0.4073,0.5013
9.2,0.2705,0.6825,0.8653,0.7908,0.8275,0.8091,0.6579,0.7632,0.7106,0.6474,0.4205,0.5339
9.3,0.2365,0.705,0.8998,0.794,0.8639,0.8289,0.6609,0.7877,0.7243,0.6869,0.4312,0.559
9.4,0.2104,0.728,0.9246,0.7991,0.8944,0.8468,0.6651,0.8083,0.7367,0.7122,0.4384,0.5753
9.5,0.1914,0.7513,0.9414,0.806,0.9198,0.8629,0.671,0.8248,0.7479,0.7253,0.4428,0.5841
9.6,0.1788,0.7742,0.9512,0.8151,0.94,0.8776,0.6788,0.8371,0.758,0.73,0.4457,0.5878
