Time,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC,Bank of Queensland - First Home Buyers Cashback 15 TVC
2.3,-0.0088,0.5212,0.4498,0.5628,0.2692,0.416,0.2744,0.3201,0.2972,0.4842,0.566,0.5251
2.4,-0.0203,0.5346,0.4474,0.5817,0.2598,0.4208,0.2825,0.3062,0.2944,0.4699,0.5589,0.5144
2.5,-0.0331,0.547,0.4457,0.6006,0.2534,0.427,0.2931,0.2937,0.2934,0.4555,0.5506,0.503
2.6,-0.0458,0.5583,0.444,0.6196,0.2502,0.4349,0.3057,0.283,0.2944,0.4398,0.5402,0.49
2.7,-0.0572,0.5681,0.4415,0.6388,0.2498,0.4443,0.3198,0.2738,0.2968,0.4222,0.5274,0.4748
2.8,-0.0667,0.576,0.4376,0.6576,0.2505,0.454,0.3343,0.266,0.3001,0.403,0.5122,0.4576
2.9,-0.0734,0.5819,0.432,0.675,0.2505,0.4628,0.3483,0.2589,0.3036,0.3827,0.4955,0.4391
3,-0.0771,0.5856,0.4246,0.6907,0.2497,0.4702,0.3611,0.2524,0.3067,0.3619,0.4776,0.4198
3.1,-0.0786,0.5869,0.4155,0.7045,0.2484,0.4764,0.3728,0.2461,0.3094,0.3414,0.4588,0.4001
3.2,-0.0787,0.5853,0.4053,0.7162,0.2472,0.4817,0.384,0.2404,0.3122,0.3214,0.4395,0.3805
3.3,-0.078,0.5803,0.3947,0.7253,0.2459,0.4856,0.3949,0.2361,0.3155,0.3023,0.4204,0.3614
3.4,-0.0757,0.5716,0.3842,0.7312,0.2445,0.4879,0.4053,0.2338,0.3196,0.2839,0.4018,0.3428
3.5,-0.0708,0.5596,0.3738,0.7337,0.243,0.4883,0.4143,0.2337,0.324,0.2658,0.3841,0.3249
3.6,-0.0639,0.5449,0.3638,0.7328,0.2413,0.4871,0.4211,0.2357,0.3284,0.2484,0.3676,0.308
3.7,-0.0569,0.528,0.355,0.7288,0.2399,0.4843,0.4253,0.24,0.3326,0.2322,0.3532,0.2927
3.8,-0.0515,0.5089,0.3476,0.7218,0.2384,0.4801,0.4267,0.2463,0.3365,0.2178,0.3416,0.2797
3.9,-0.0469,0.4878,0.3417,0.712,0.2363,0.4741,0.4249,0.2539,0.3394,0.2055,0.3336,0.2696
4,-0.042,0.4651,0.3367,0.699,0.2332,0.4661,0.4197,0.2617,0.3407,0.1957,0.3295,0.2626
4.1,-0.0357,0.4411,0.3322,0.683,0.2293,0.4562,0.4108,0.268,0.3394,0.1885,0.3288,0.2586
4.2,-0.0286,0.4167,0.3272,0.6646,0.2245,0.4445,0.3988,0.2718,0.3353,0.1838,0.3305,0.2571
4.3,-0.0221,0.3924,0.321,0.6445,0.2189,0.4317,0.3847,0.2725,0.3286,0.181,0.3335,0.2573
4.4,-0.0171,0.3689,0.3133,0.6236,0.2132,0.4184,0.3694,0.2699,0.3196,0.18,0.3371,0.2585
4.5,-0.0133,0.3468,0.3039,0.6028,0.2082,0.4055,0.3538,0.2638,0.3088,0.1805,0.341,0.2607
4.6,-0.0107,0.3267,0.2928,0.5828,0.2045,0.3937,0.3382,0.2544,0.2963,0.1831,0.345,0.2641
4.7,-0.0098,0.309,0.2799,0.5629,0.2019,0.3824,0.3231,0.242,0.2825,0.1881,0.3493,0.2687
4.8,-0.0119,0.2941,0.2654,0.5422,0.2007,0.3714,0.3086,0.2276,0.2681,0.1957,0.3542,0.2749
4.9,-0.018,0.2822,0.2498,0.5197,0.2011,0.3604,0.295,0.2125,0.2538,0.2058,0.3601,0.2829
5,-0.0278,0.2736,0.2343,0.4956,0.2043,0.3499,0.2826,0.198,0.2403,0.2178,0.3677,0.2927
5.1,-0.0399,0.2689,0.2199,0.471,0.211,0.341,0.2717,0.1851,0.2284,0.231,0.3774,0.3042
5.2,-0.0534,0.2686,0.2075,0.4469,0.2216,0.3343,0.263,0.1745,0.2188,0.245,0.3892,0.3171
5.3,-0.0688,0.2731,0.1981,0.4248,0.2362,0.3305,0.2571,0.1668,0.2119,0.2593,0.403,0.3312
5.4,-0.0877,0.2829,0.1931,0.4059,0.2551,0.3305,0.2543,0.1631,0.2087,0.274,0.419,0.3465
5.5,-0.1109,0.2979,0.1935,0.3907,0.2788,0.3348,0.2551,0.1642,0.2097,0.2886,0.4369,0.3628
5.6,-0.1378,0.3177,0.1996,0.3795,0.3067,0.3431,0.2594,0.1703,0.2148,0.3026,0.4566,0.3796
5.7,-0.1666,0.3413,0.2112,0.3718,0.3366,0.3542,0.2662,0.1807,0.2234,0.3155,0.4772,0.3963
5.8,-0.1959,0.3673,0.2274,0.367,0.3654,0.3662,0.2745,0.1943,0.2344,0.3271,0.4972,0.4122
5.9,-0.2236,0.3945,0.2473,0.3645,0.391,0.3778,0.2826,0.2102,0.2464,0.3373,0.5155,0.4264
6,-0.2477,0.4217,0.2701,0.3635,0.4122,0.3879,0.2895,0.2273,0.2584,0.3459,0.5309,0.4384
6.1,-0.2667,0.4482,0.2952,0.3632,0.4284,0.3958,0.2947,0.2447,0.2697,0.3534,0.5433,0.4484
6.2,-0.2799,0.4735,0.3219,0.3626,0.4394,0.401,0.2981,0.2617,0.2799,0.3604,0.553,0.4567
6.3,-0.2873,0.4972,0.3491,0.3618,0.4453,0.4036,0.3,0.2777,0.2889,0.3671,0.56,0.4635
6.4,-0.2899,0.5191,0.3752,0.3612,0.447,0.4041,0.3011,0.2925,0.2968,0.373,0.5637,0.4684
6.5,-0.2887,0.539,0.3984,0.3615,0.4456,0.4036,0.3019,0.3062,0.304,0.3776,0.5638,0.4707
6.6,-0.2842,0.5574,0.4183,0.3636,0.4422,0.4029,0.3031,0.3188,0.3109,0.3807,0.5605,0.4706
6.7,-0.276,0.5744,0.4345,0.3681,0.4375,0.4028,0.3048,0.3302,0.3175,0.3821,0.5545,0.4683
6.8,-0.2641,0.5904,0.4468,0.3753,0.4318,0.4036,0.307,0.3394,0.3232,0.3818,0.5464,0.4641
6.9,-0.2488,0.6056,0.4545,0.3849,0.4255,0.4052,0.3093,0.3455,0.3274,0.38,0.536,0.458
7,-0.2315,0.6193,0.4578,0.3963,0.4188,0.4075,0.3116,0.348,0.3298,0.3772,0.5232,0.4502
7.1,-0.213,0.6309,0.4571,0.4086,0.4123,0.4105,0.3136,0.3466,0.3301,0.374,0.5077,0.4408
7.2,-0.1938,0.6401,0.4534,0.4214,0.4066,0.414,0.3153,0.3418,0.3286,0.371,0.4899,0.4305
7.3,-0.174,0.6471,0.4472,0.4343,0.4017,0.418,0.317,0.3341,0.3256,0.3687,0.4706,0.4196
7.4,-0.1537,0.6521,0.4388,0.4471,0.3978,0.4225,0.3191,0.3246,0.3218,0.3672,0.45,0.4086
7.5,-0.1332,0.655,0.4286,0.4597,0.3949,0.4273,0.3219,0.3141,0.318,0.3664,0.4286,0.3975
7.6,-0.1129,0.6556,0.4172,0.4717,0.3927,0.4322,0.3256,0.3038,0.3147,0.3656,0.4065,0.3861
7.7,-0.0933,0.6538,0.4056,0.4828,0.3913,0.4371,0.3304,0.2947,0.3126,0.3646,0.3845,0.3746
7.8,-0.0752,0.6495,0.3954,0.4929,0.3904,0.4417,0.3365,0.2878,0.3121,0.3639,0.3643,0.3641
7.9,-0.0597,0.6432,0.3879,0.5017,0.3896,0.4456,0.3434,0.2833,0.3134,0.3641,0.3474,0.3557
8,-0.0474,0.6354,0.3841,0.5087,0.3883,0.4485,0.3509,0.2813,0.3161,0.3657,0.3352,0.3504
8.1,-0.0388,0.6266,0.385,0.5133,0.3861,0.4497,0.3585,0.282,0.3203,0.3689,0.3284,0.3487
8.2,-0.0347,0.6168,0.3915,0.5156,0.3827,0.4491,0.366,0.2853,0.3257,0.3739,0.3276,0.3507
8.3,-0.036,0.606,0.4044,0.5155,0.3778,0.4467,0.3735,0.2912,0.3324,0.3805,0.3329,0.3567
8.4,-0.0432,0.5944,0.4236,0.5135,0.3712,0.4424,0.3815,0.2993,0.3404,0.3887,0.3442,0.3665
8.5,-0.0566,0.5828,0.449,0.5102,0.3628,0.4365,0.3902,0.3096,0.3499,0.3986,0.361,0.3798
8.6,-0.0765,0.5718,0.4802,0.5063,0.3528,0.4296,0.3995,0.322,0.3608,0.4103,0.3827,0.3965
8.7,-0.1018,0.5619,0.5161,0.5022,0.3417,0.422,0.4095,0.3369,0.3732,0.4237,0.4081,0.4159
8.8,-0.1305,0.5525,0.5552,0.498,0.3302,0.4141,0.4199,0.3542,0.387,0.4387,0.436,0.4373
8.9,-0.16,0.5432,0.5948,0.4936,0.3192,0.4064,0.4303,0.3733,0.4018,0.4547,0.4647,0.4597
9,-0.1879,0.5338,0.6324,0.4888,0.3089,0.3988,0.4404,0.3933,0.4169,0.4713,0.4927,0.482
9.1,-0.2121,0.5242,0.6663,0.4838,0.2996,0.3917,0.45,0.4131,0.4315,0.4885,0.5186,0.5035
9.2,-0.2317,0.5146,0.6954,0.4791,0.2917,0.3854,0.4587,0.4318,0.4453,0.5059,0.5415,0.5237
9.3,-0.2463,0.505,0.7186,0.4756,0.2858,0.3807,0.4667,0.4482,0.4575,0.5233,0.5612,0.5423
9.4,-0.256,0.4951,0.7356,0.4742,0.282,0.3781,0.4741,0.4614,0.4678,0.5405,0.5781,0.5593
9.5,-0.2599,0.4849,0.747,0.475,0.2799,0.3774,0.4816,0.4711,0.4763,0.5576,0.593,0.5753
9.6,-0.2575,0.4745,0.7536,0.4782,0.2789,0.3786,0.4894,0.4773,0.4833,0.5746,0.6065,0.5906
9.7,-0.2495,0.4641,0.7568,0.4835,0.2789,0.3812,0.498,0.4802,0.4891,0.5912,0.6188,0.605
9.8,-0.2382,0.4538,0.758,0.4899,0.2798,0.3848,0.5073,0.4801,0.4937,0.6071,0.63,0.6186
9.9,-0.2254,0.4431,0.7585,0.496,0.2819,0.389,0.5171,0.477,0.497,0.6224,0.6405,0.6315
10,-0.2115,0.4317,0.7594,0.5007,0.2851,0.3929,0.5267,0.4715,0.4991,0.6372,0.6508,0.644
10.1,-0.1955,0.4196,0.7613,0.5029,0.289,0.396,0.5357,0.4644,0.5,0.6514,0.6606,0.656
10.2,-0.1762,0.4072,0.7639,0.5023,0.2936,0.3979,0.5437,0.4568,0.5003,0.6648,0.6694,0.6671
10.3,-0.1535,0.3952,0.7672,0.499,0.299,0.399,0.5508,0.4498,0.5003,0.6772,0.6764,0.6768
10.4,-0.1275,0.3844,0.7708,0.4937,0.3054,0.3996,0.5573,0.4446,0.501,0.6879,0.6813,0.6846
10.5,-0.0983,0.3756,0.7744,0.4878,0.313,0.4004,0.5633,0.4415,0.5024,0.6963,0.6842,0.6903
10.6,-0.0655,0.3695,0.7777,0.4821,0.3213,0.4017,0.5686,0.4404,0.5045,0.702,0.6855,0.6937
10.7,-0.0291,0.3666,0.78,0.4767,0.3296,0.4032,0.5728,0.441,0.5069,0.7049,0.6851,0.695
10.8,0.0104,0.3672,0.7805,0.4719,0.3377,0.4048,0.5754,0.4429,0.5091,0.7049,0.683,0.694
10.9,0.0515,0.3712,0.7791,0.4671,0.3457,0.4064,0.5763,0.446,0.5111,0.7023,0.6791,0.6907
11,0.0923,0.3783,0.7752,0.4617,0.3535,0.4076,0.5758,0.4501,0.5129,0.6977,0.6734,0.6856
11.1,0.1314,0.388,0.7684,0.4553,0.3612,0.4082,0.5738,0.4551,0.5145,0.6917,0.6666,0.6792
11.2,0.1683,0.3999,0.7577,0.4474,0.3686,0.408,0.5704,0.4606,0.5155,0.685,0.6591,0.6721
11.3,0.2021,0.4141,0.7423,0.4376,0.3757,0.4067,0.5652,0.4656,0.5154,0.6777,0.6508,0.6643
11.4,0.2314,0.4305,0.7222,0.4257,0.3829,0.4043,0.5581,0.4698,0.5139,0.6695,0.6413,0.6554
11.5,0.2542,0.4494,0.698,0.4115,0.3907,0.4011,0.5493,0.473,0.5111,0.6597,0.6303,0.645
11.6,0.2687,0.4708,0.6706,0.3952,0.4,0.3976,0.5396,0.4756,0.5076,0.6479,0.6179,0.6329
11.7,0.2745,0.495,0.6407,0.3772,0.4116,0.3944,0.5307,0.4785,0.5046,0.6339,0.6044,0.6191
11.8,0.2719,0.5228,0.6092,0.3584,0.4265,0.3925,0.5236,0.4823,0.5029,0.6178,0.5898,0.6038
11.9,0.2623,0.555,0.5771,0.3403,0.4464,0.3934,0.5186,0.4875,0.5031,0.6005,0.5745,0.5875
12,0.2474,0.592,0.5457,0.3239,0.4723,0.3981,0.5162,0.4944,0.5053,0.5838,0.5592,0.5715
12.1,0.2293,0.6325,0.5159,0.3095,0.504,0.4068,0.5169,0.5028,0.5098,0.5693,0.5446,0.557
12.2,0.2092,0.6747,0.489,0.2979,0.5402,0.419,0.521,0.512,0.5165,0.5586,0.5316,0.5451
12.3,0.1866,0.7172,0.466,0.2897,0.579,0.4343,0.5287,0.5221,0.5254,0.5523,0.521,0.5366
12.4,0.1605,0.7583,0.4474,0.2858,0.6182,0.452,0.5394,0.5329,0.5362,0.5502,0.5128,0.5315
12.5,0.1301,0.7958,0.4328,0.2861,0.6557,0.4709,0.5517,0.5439,0.5478,0.552,0.5068,0.5294
12.6,0.0959,0.8266,0.4216,0.2901,0.6889,0.4895,0.564,0.5547,0.5593,0.5568,0.5025,0.5297
12.7,0.0606,0.849,0.4136,0.2974,0.7161,0.5068,0.5761,0.5651,0.5706,0.5644,0.4998,0.5321
12.8,0.0294,0.8632,0.4098,0.3082,0.7371,0.5226,0.5889,0.5764,0.5826,0.5744,0.4984,0.5364
12.9,0.0088,0.8712,0.4115,0.3231,0.7531,0.5381,0.6025,0.5898,0.5961,0.5864,0.4982,0.5423
13,0.0028,0.875,0.4196,0.3425,0.7662,0.5544,0.6166,0.606,0.6113,0.5995,0.4985,0.549
13.1,0.0113,0.8752,0.4338,0.3659,0.7778,0.5718,0.6305,0.6243,0.6274,0.6129,0.4991,0.556
13.2,0.0331,0.8713,0.453,0.3924,0.7876,0.59,0.6437,0.6433,0.6435,0.626,0.4998,0.5629
13.3,0.069,0.8633,0.4761,0.422,0.7948,0.6084,0.6558,0.6617,0.6587,0.6385,0.5009,0.5697
13.4,0.1202,0.8522,0.5021,0.4552,0.799,0.6271,0.667,0.6789,0.673,0.6505,0.503,0.5767
13.5,0.1847,0.839,0.5306,0.4922,0.8004,0.6463,0.6775,0.6946,0.6861,0.6617,0.5059,0.5838
13.6,0.2573,0.8234,0.5608,0.5312,0.7981,0.6646,0.6874,0.708,0.6977,0.6718,0.5095,0.5906
13.7,0.3325,0.8042,0.5916,0.5676,0.7899,0.6787,0.6964,0.7176,0.707,0.68,0.5137,0.5969
13.8,0.4067,0.7804,0.6214,0.5954,0.7742,0.6848,0.704,0.7223,0.7131,0.6861,0.5183,0.6022
13.9,0.4774,0.7515,0.649,0.6103,0.7497,0.68,0.7092,0.721,0.7151,0.6898,0.523,0.6064
14,0.5399,0.7178,0.6735,0.6093,0.716,0.6627,0.7116,0.7133,0.7124,0.692,0.528,0.61
14.1,0.5886,0.6798,0.6944,0.5928,0.6739,0.6333,0.7115,0.6994,0.7054,0.6934,0.5337,0.6135
14.2,0.6199,0.6383,0.7115,0.5621,0.6251,0.5936,0.7095,0.6794,0.6945,0.6941,0.5408,0.6175
14.3,0.6316,0.5943,0.7248,0.5198,0.5719,0.5459,0.7062,0.6541,0.6802,0.6941,0.5494,0.6217
14.4,0.623,0.5487,0.7337,0.4698,0.5165,0.4932,0.7022,0.6243,0.6632,0.6924,0.559,0.6257
14.5,0.5956,0.503,0.7374,0.4166,0.4615,0.4391,0.6974,0.591,0.6442,0.6884,0.5687,0.6285
14.6,0.5527,0.4591,0.7354,0.3647,0.4088,0.3867,0.6925,0.5558,0.6241,0.6815,0.5773,0.6294
14.7,0.4974,0.4187,0.728,0.3173,0.3606,0.3389,0.6887,0.5204,0.6045,0.6716,0.5837,0.6277
14.8,0.4323,0.3841,0.716,0.2771,0.3188,0.298,0.6872,0.4865,0.5869,0.6586,0.5878,0.6232
14.9,0.3582,0.3565,0.7007,0.2454,0.2841,0.2647,0.689,0.456,0.5725,0.6425,0.5903,0.6164
