Time,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30,Target Fashion DenimLand TVC 30
6.3,-0.0874,0.5263,0.5038,0.6443,0.6499,0.6471,0.6182,0.7038,0.661,0.5952,0.5039,0.5496
6.4,-0.0352,0.5149,0.5144,0.6543,0.6461,0.6502,0.6571,0.722,0.6896,0.6195,0.5423,0.5809
6.5,0.0162,0.5044,0.5292,0.6648,0.6425,0.6537,0.6998,0.7437,0.7217,0.6492,0.5853,0.6172
6.6,0.0652,0.496,0.5479,0.6766,0.6398,0.6582,0.745,0.7691,0.7571,0.6828,0.6314,0.6571
6.7,0.1103,0.4907,0.5702,0.69,0.6379,0.6639,0.7918,0.7981,0.795,0.7188,0.6793,0.6991
6.8,0.1499,0.4889,0.5958,0.7044,0.6361,0.6702,0.8389,0.8298,0.8344,0.7563,0.7283,0.7423
6.9,0.1819,0.4902,0.624,0.7182,0.6332,0.6757,0.8849,0.8629,0.8739,0.7941,0.777,0.7855
7,0.2045,0.4938,0.6535,0.7296,0.6284,0.679,0.9282,0.8963,0.9122,0.831,0.824,0.8275
7.1,0.2171,0.4986,0.683,0.7369,0.6206,0.6788,0.9676,0.9285,0.948,0.8657,0.8677,0.8667
7.2,0.2211,0.5037,0.7115,0.7391,0.6098,0.6744,1.0026,0.9587,0.9807,0.8974,0.9075,0.9024
7.3,0.2191,0.5092,0.7391,0.7357,0.5961,0.6659,1.0329,0.9868,1.0098,0.9259,0.9432,0.9346
7.4,0.2124,0.5157,0.7658,0.7268,0.5806,0.6537,1.0581,1.0123,1.0352,0.9506,0.9746,0.9626
7.5,0.2009,0.5239,0.7907,0.7128,0.5647,0.6388,1.0779,1.0347,1.0563,0.9705,1.0008,0.9856
7.6,0.1834,0.5339,0.8131,0.6938,0.5497,0.6218,1.0914,1.0533,1.0723,0.985,1.0214,1.0032
7.7,0.1593,0.5456,0.8325,0.6703,0.5368,0.6035,1.0986,1.0668,1.0827,0.9945,1.0368,1.0156
7.8,0.1304,0.5589,0.8491,0.6428,0.5267,0.5847,1.1001,1.0745,1.0873,0.9998,1.0479,1.0239
7.9,0.0994,0.5737,0.8639,0.6122,0.52,0.5661,1.0966,1.0765,1.0866,1.0021,1.0561,1.0291
8,0.0676,0.5904,0.8774,0.5796,0.5173,0.5484,1.0888,1.0729,1.0808,1.0018,1.0618,1.0318
8.1,0.0353,0.6094,0.8886,0.5459,0.5188,0.5324,1.0765,1.0634,1.07,0.9986,1.0643,1.0314
8.2,0.0028,0.6304,0.8959,0.512,0.5247,0.5183,1.0594,1.0477,1.0536,0.9918,1.0627,1.0272
8.3,-0.0283,0.6525,0.8982,0.4794,0.5348,0.5071,1.038,1.0256,1.0318,0.9812,1.0564,1.0188
8.4,-0.0567,0.6747,0.8954,0.4503,0.5493,0.4998,1.0134,0.9982,1.0058,0.9671,1.046,1.0065
8.5,-0.0814,0.6961,0.8885,0.4266,0.5683,0.4974,0.9872,0.9673,0.9772,0.9502,1.0321,0.9912
8.6,-0.1025,0.7163,0.8788,0.4091,0.5913,0.5002,0.9606,0.9349,0.9478,0.9315,1.0157,0.9736
8.7,-0.1201,0.7352,0.8666,0.3977,0.6169,0.5073,0.9348,0.9027,0.9187,0.9114,0.9973,0.9543
8.8,-0.1334,0.7526,0.8523,0.3921,0.6434,0.5178,0.9104,0.8714,0.8909,0.8898,0.9768,0.9333
8.9,-0.1407,0.7686,0.8364,0.392,0.6698,0.5309,0.8882,0.8422,0.8652,0.8667,0.9546,0.9106
9,-0.1423,0.7833,0.8196,0.3976,0.6957,0.5467,0.8692,0.8162,0.8427,0.8427,0.9315,0.8871
9.1,-0.1384,0.7967,0.8029,0.4091,0.721,0.5651,0.8542,0.7946,0.8244,0.8195,0.9086,0.864
9.2,-0.1287,0.8092,0.7864,0.4265,0.7455,0.586,0.8439,0.7778,0.8109,0.7985,0.8869,0.8427
9.3,-0.1125,0.8213,0.77,0.4498,0.7684,0.6091,0.8384,0.7659,0.8021,0.7804,0.8667,0.8235
9.4,-0.0888,0.834,0.7535,0.4791,0.7889,0.634,0.8371,0.7584,0.7978,0.7646,0.8474,0.806
9.5,-0.0576,0.848,0.7369,0.5146,0.8066,0.6606,0.8392,0.7549,0.7971,0.7498,0.8282,0.789
9.6,-0.0204,0.8637,0.7202,0.5554,0.822,0.6887,0.8435,0.7553,0.7994,0.7348,0.8081,0.7715
9.7,0.0213,0.8812,0.7034,0.6005,0.8358,0.7182,0.8492,0.7598,0.8045,0.7192,0.7867,0.7529
9.8,0.067,0.9007,0.6868,0.6486,0.8487,0.7486,0.856,0.769,0.8125,0.7037,0.7651,0.7344
9.9,0.1171,0.9217,0.6713,0.6981,0.8607,0.7794,0.8638,0.7829,0.8234,0.6898,0.7451,0.7175
10,0.171,0.9438,0.6581,0.747,0.8714,0.8092,0.8729,0.8011,0.837,0.6789,0.7287,0.7038
10.1,0.2263,0.9657,0.6479,0.7922,0.8802,0.8362,0.8823,0.8222,0.8522,0.6716,0.7169,0.6942
10.2,0.2804,0.986,0.6407,0.8308,0.8863,0.8586,0.8909,0.844,0.8675,0.6682,0.7097,0.6889
10.3,0.3316,1.0039,0.6359,0.8611,0.8893,0.8752,0.8978,0.8649,0.8814,0.6692,0.7069,0.6881
10.4,0.3797,1.0195,0.633,0.8834,0.8896,0.8865,0.9029,0.8837,0.8933,0.6749,0.709,0.692
10.5,0.4245,1.0334,0.6321,0.8987,0.888,0.8934,0.9068,0.9,0.9034,0.685,0.7164,0.7007
10.6,0.465,1.0459,0.6334,0.9081,0.8859,0.897,0.9097,0.9134,0.9116,0.6991,0.7288,0.714
10.7,0.4996,1.0567,0.6366,0.9122,0.8839,0.898,0.9116,0.9235,0.9176,0.7158,0.7447,0.7303
10.8,0.5273,1.0653,0.6409,0.9114,0.8821,0.8968,0.912,0.9297,0.9208,0.7332,0.7615,0.7473
10.9,0.5481,1.0709,0.6451,0.9069,0.8802,0.8935,0.9109,0.9316,0.9212,0.7498,0.7773,0.7635
11,0.5629,1.0732,0.6495,0.8996,0.8775,0.8886,0.9086,0.9296,0.9191,0.7654,0.7919,0.7786
11.1,0.5728,1.0719,0.6546,0.8903,0.8739,0.8821,0.9056,0.9247,0.9152,0.78,0.8062,0.7931
11.2,0.5783,1.0667,0.6613,0.8789,0.8692,0.8741,0.9022,0.9178,0.91,0.7932,0.8204,0.8068
11.3,0.5788,1.0576,0.6696,0.8651,0.8637,0.8644,0.898,0.9097,0.9039,0.804,0.8337,0.8189
11.4,0.5724,1.0449,0.6789,0.8488,0.8578,0.8533,0.8926,0.9003,0.8965,0.8109,0.8441,0.8275
11.5,0.5579,1.0293,0.6885,0.8307,0.8518,0.8413,0.8856,0.8895,0.8875,0.8127,0.8504,0.8315
11.6,0.5359,1.0114,0.6979,0.812,0.8458,0.8289,0.8767,0.8772,0.8769,0.8091,0.8523,0.8307
11.7,0.5079,0.9918,0.7073,0.7938,0.8395,0.8166,0.8656,0.8635,0.8646,0.8006,0.8504,0.8255
11.8,0.4758,0.9712,0.7171,0.7769,0.8328,0.8049,0.8526,0.849,0.8508,0.7881,0.8453,0.8167
11.9,0.4419,0.9501,0.7274,0.7617,0.8252,0.7935,0.8381,0.8341,0.8361,0.772,0.8372,0.8046
12,0.4085,0.929,0.738,0.7481,0.8158,0.782,0.8227,0.8193,0.821,0.7529,0.826,0.7895
12.1,0.3777,0.9084,0.7485,0.7361,0.8041,0.7701,0.807,0.8052,0.8061,0.731,0.8122,0.7716
12.2,0.3509,0.8889,0.7592,0.7257,0.7901,0.7579,0.7914,0.7918,0.7916,0.7064,0.7962,0.7513
12.3,0.3286,0.8711,0.77,0.7169,0.7749,0.7459,0.776,0.7792,0.7776,0.6793,0.7783,0.7288
12.4,0.3107,0.8553,0.7807,0.7099,0.7594,0.7347,0.7607,0.7669,0.7638,0.6496,0.7584,0.704
12.5,0.2973,0.8421,0.7904,0.705,0.7445,0.7247,0.7452,0.7545,0.7498,0.6176,0.7365,0.677
12.6,0.2883,0.8323,0.7985,0.7024,0.7308,0.7166,0.7293,0.742,0.7357,0.5838,0.7128,0.6483
12.7,0.2838,0.8263,0.8048,0.7029,0.7191,0.711,0.7133,0.7297,0.7215,0.5492,0.6882,0.6187
12.8,0.2824,0.8241,0.81,0.7066,0.7101,0.7083,0.6976,0.7183,0.7079,0.5153,0.664,0.5897
12.9,0.283,0.8247,0.8151,0.7134,0.7044,0.7089,0.6829,0.7083,0.6956,0.4841,0.6419,0.563
13,0.2849,0.827,0.8205,0.7222,0.702,0.7121,0.6699,0.7,0.6849,0.4577,0.6235,0.5406
13.1,0.2872,0.8301,0.8262,0.7325,0.7029,0.7177,0.6592,0.6933,0.6762,0.4373,0.6099,0.5236
13.2,0.2879,0.834,0.8319,0.7437,0.7067,0.7252,0.6508,0.688,0.6694,0.4239,0.602,0.5129
13.3,0.2857,0.8387,0.8373,0.756,0.7131,0.7346,0.6445,0.684,0.6643,0.4178,0.5998,0.5088
13.4,0.2801,0.844,0.8425,0.7693,0.7219,0.7456,0.64,0.6809,0.6604,0.4198,0.6033,0.5116
13.5,0.2721,0.8494,0.8472,0.7832,0.7325,0.7578,0.6372,0.6784,0.6578,0.431,0.6125,0.5217
13.6,0.2635,0.8547,0.8508,0.7974,0.7445,0.7709,0.6363,0.6765,0.6564,0.4526,0.6269,0.5397
13.7,0.2547,0.8601,0.8525,0.8119,0.758,0.7849,0.6372,0.6758,0.6565,0.4847,0.6461,0.5654
13.8,0.2448,0.8658,0.8517,0.8265,0.7738,0.8002,0.64,0.6767,0.6583,0.5256,0.6688,0.5972
13.9,0.2316,0.872,0.848,0.8412,0.7926,0.8169,0.6437,0.6792,0.6614,0.5717,0.6929,0.6323
14,0.2131,0.8779,0.8409,0.8552,0.8146,0.8349,0.6473,0.6826,0.6649,0.6193,0.716,0.6677
14.1,0.1889,0.8829,0.83,0.8668,0.8388,0.8528,0.6501,0.6863,0.6682,0.6654,0.7363,0.7009
14.2,0.1603,0.8867,0.8152,0.8748,0.864,0.8694,0.6517,0.6902,0.6709,0.7074,0.7531,0.7303
14.3,0.1292,0.8893,0.7968,0.8785,0.8886,0.8836,0.652,0.6943,0.6731,0.7441,0.7663,0.7552
14.4,0.0965,0.8909,0.7754,0.8776,0.9118,0.8947,0.6512,0.6983,0.6747,0.7747,0.7761,0.7754
14.5,0.0634,0.8912,0.7517,0.8718,0.9331,0.9025,0.6493,0.701,0.6751,0.7983,0.7821,0.7902
14.6,0.0308,0.8896,0.7254,0.8607,0.9515,0.9061,0.6458,0.7011,0.6734,0.8142,0.7834,0.7988
14.7,-0.0008,0.8857,0.6956,0.8441,0.9655,0.9048,0.6404,0.6971,0.6687,0.8219,0.7791,0.8005
14.8,-0.0311,0.8796,0.6618,0.8227,0.9731,0.8979,0.6331,0.6881,0.6606,0.8217,0.7687,0.7952
14.9,-0.0595,0.8711,0.6246,0.7974,0.9731,0.8853,0.6245,0.674,0.6492,0.8148,0.753,0.7839
15,-0.0846,0.86,0.5853,0.7694,0.9649,0.8672,0.6153,0.6556,0.6355,0.8033,0.7336,0.7684
15.1,-0.1052,0.8459,0.546,0.7395,0.9488,0.8441,0.6065,0.6341,0.6203,0.7887,0.7122,0.7504
15.2,-0.1207,0.8287,0.5078,0.7083,0.9257,0.817,0.5985,0.6103,0.6044,0.7719,0.6897,0.7308
15.3,-0.1312,0.8089,0.4711,0.6765,0.8961,0.7863,0.5915,0.5848,0.5881,0.7529,0.6665,0.7097
15.4,-0.1371,0.7872,0.4356,0.6443,0.8604,0.7523,0.5849,0.5575,0.5712,0.7311,0.6418,0.6865
15.5,-0.1384,0.7637,0.4015,0.6118,0.819,0.7154,0.5779,0.5283,0.5531,0.7063,0.6157,0.661
15.6,-0.1354,0.7382,0.37,0.5784,0.7732,0.6758,0.5698,0.4978,0.5338,0.6787,0.5885,0.6336
15.7,-0.1289,0.7108,0.342,0.5443,0.7248,0.6346,0.5603,0.4665,0.5134,0.6492,0.561,0.6051
15.8,-0.1191,0.6822,0.3184,0.5104,0.6756,0.593,0.5497,0.4355,0.4926,0.6191,0.5348,0.5769
15.9,-0.106,0.6537,0.2993,0.4778,0.6268,0.5523,0.5384,0.4059,0.4721,0.5896,0.511,0.5503
16,-0.0898,0.6262,0.2851,0.4474,0.5796,0.5135,0.5266,0.3788,0.4527,0.5618,0.4906,0.5262
16.1,-0.0713,0.6003,0.2761,0.4194,0.5347,0.477,0.5147,0.355,0.4348,0.5362,0.474,0.5051
16.2,-0.0518,0.5762,0.2726,0.3934,0.4928,0.4431,0.5026,0.3353,0.419,0.5131,0.462,0.4876
16.3,-0.0322,0.5542,0.2746,0.3694,0.4545,0.4119,0.4905,0.3202,0.4054,0.4922,0.4545,0.4734
16.4,-0.013,0.5348,0.2813,0.3478,0.4197,0.3838,0.4784,0.3098,0.3941,0.4727,0.451,0.4618
16.5,0.0045,0.5186,0.2917,0.3291,0.3885,0.3588,0.4656,0.3035,0.3846,0.454,0.4508,0.4524
16.6,0.0197,0.5053,0.3045,0.3132,0.3606,0.3369,0.452,0.3012,0.3766,0.4363,0.4541,0.4452
16.7,0.0325,0.4948,0.3196,0.3,0.336,0.318,0.4377,0.3028,0.3702,0.4205,0.4613,0.4409
16.8,0.0441,0.4867,0.3371,0.2892,0.3156,0.3024,0.4236,0.3089,0.3662,0.4078,0.4733,0.4406
16.9,0.0551,0.4814,0.3571,0.2811,0.2997,0.2904,0.4105,0.3196,0.3651,0.3983,0.4902,0.4443
17,0.0648,0.4794,0.3783,0.2763,0.2887,0.2825,0.3983,0.3345,0.3664,0.3912,0.5103,0.4508
17.1,0.072,0.4809,0.399,0.2749,0.2826,0.2787,0.3867,0.3521,0.3694,0.3852,0.5311,0.4582
17.2,0.0764,0.4859,0.4169,0.2769,0.2811,0.279,0.3753,0.3712,0.3733,0.3794,0.5506,0.465
17.3,0.0795,0.4943,0.4308,0.282,0.2837,0.2828,0.3644,0.3903,0.3773,0.3739,0.5675,0.4707
17.4,0.0831,0.5059,0.4399,0.2896,0.2897,0.2897,0.3545,0.4088,0.3816,0.3696,0.5817,0.4756
17.5,0.0883,0.5204,0.4441,0.2994,0.2981,0.2987,0.3464,0.4267,0.3866,0.3689,0.5943,0.4816
17.6,0.0951,0.5374,0.4434,0.3107,0.3079,0.3093,0.3409,0.4438,0.3924,0.374,0.6066,0.4903
17.7,0.1025,0.5561,0.4373,0.3234,0.3187,0.321,0.3385,0.4595,0.399,0.3859,0.6191,0.5025
17.8,0.1102,0.5756,0.4256,0.3375,0.3308,0.3342,0.3395,0.4729,0.4062,0.4041,0.631,0.5176
17.9,0.1185,0.595,0.4087,0.3526,0.3445,0.3485,0.3447,0.484,0.4143,0.4274,0.6411,0.5342
18,0.1283,0.6132,0.3878,0.3676,0.359,0.3633,0.3552,0.4931,0.4241,0.4545,0.6487,0.5516
18.1,0.1392,0.6296,0.365,0.3817,0.3734,0.3776,0.3726,0.5019,0.4372,0.4848,0.6543,0.5695
18.2,0.1511,0.6439,0.343,0.3943,0.3874,0.3908,0.3983,0.5124,0.4553,0.5174,0.6589,0.5882
18.3,0.164,0.6557,0.3246,0.4052,0.4011,0.4031,0.4314,0.5262,0.4788,0.5507,0.6629,0.6068
18.4,0.1783,0.6648,0.3108,0.414,0.4148,0.4144,0.4692,0.5438,0.5065,0.5821,0.6658,0.6239
18.5,0.1934,0.6709,0.3008,0.4201,0.4285,0.4243,0.5075,0.5639,0.5357,0.6095,0.6672,0.6384
18.6,0.2083,0.6739,0.2932,0.4231,0.4415,0.4323,0.5435,0.5844,0.564,0.6324,0.667,0.6497
18.7,0.2229,0.6735,0.2868,0.4222,0.4532,0.4377,0.5764,0.6038,0.5901,0.6513,0.6652,0.6583
18.8,0.2381,0.6695,0.2818,0.4179,0.4634,0.4406,0.6065,0.6218,0.6141,0.6669,0.6626,0.6647
18.9,0.2543,0.6619,0.2793,0.4107,0.473,0.4419,0.6343,0.6388,0.6365,0.6795,0.6601,0.6698
19,0.2704,0.6518,0.2804,0.4018,0.4833,0.4425,0.66,0.6552,0.6576,0.69,0.6585,0.6743
19.1,0.2845,0.6403,0.2854,0.3926,0.4951,0.4438,0.6836,0.6711,0.6773,0.6993,0.6588,0.679
19.2,0.2955,0.6287,0.2942,0.384,0.5086,0.4463,0.7056,0.6861,0.6959,0.7084,0.6616,0.685
19.3,0.3027,0.6171,0.3065,0.3767,0.523,0.4498,0.7269,0.6997,0.7133,0.7185,0.667,0.6928
19.4,0.3041,0.6051,0.3221,0.3701,0.5373,0.4537,0.7477,0.7117,0.7297,0.7299,0.6752,0.7025
19.5,0.2973,0.5928,0.3413,0.3641,0.5509,0.4575,0.7682,0.722,0.7451,0.7426,0.6858,0.7142
19.6,0.2811,0.5805,0.3635,0.3586,0.5634,0.461,0.7877,0.7298,0.7587,0.7558,0.6982,0.727
19.7,0.2566,0.5691,0.3878,0.3542,0.5734,0.4638,0.8048,0.7338,0.7693,0.769,0.7115,0.7402
19.8,0.2262,0.5588,0.4131,0.3514,0.5784,0.4649,0.8184,0.7326,0.7755,0.7815,0.7247,0.7531
19.9,0.1931,0.549,0.4395,0.3505,0.5762,0.4633,0.8279,0.7265,0.7772,0.7933,0.7376,0.7654
20,0.1584,0.5396,0.4681,0.3512,0.5665,0.4589,0.8337,0.7167,0.7752,0.8047,0.7499,0.7773
20.1,0.1207,0.5317,0.5004,0.3541,0.5517,0.4529,0.8366,0.7054,0.771,0.8155,0.7616,0.7885
20.2,0.0775,0.5277,0.5365,0.36,0.5352,0.4476,0.8371,0.6942,0.7657,0.8252,0.7722,0.7987
20.3,0.0267,0.5287,0.5739,0.3702,0.5189,0.4445,0.835,0.6837,0.7593,0.8336,0.7814,0.8075
20.4,-0.0316,0.5339,0.6093,0.3849,0.5031,0.444,0.8304,0.6741,0.7523,0.841,0.789,0.815
20.5,-0.0939,0.5404,0.6399,0.4029,0.4873,0.4451,0.8245,0.6665,0.7455,0.8481,0.7957,0.8219
20.6,-0.1543,0.5456,0.6651,0.4225,0.4724,0.4474,0.8188,0.6623,0.7405,0.8548,0.8019,0.8283
20.7,-0.2094,0.548,0.6845,0.4418,0.4604,0.4511,0.8144,0.6624,0.7384,0.8609,0.8073,0.8341
20.8,-0.2602,0.5469,0.6983,0.4599,0.4529,0.4564,0.8121,0.6669,0.7395,0.8663,0.8113,0.8388
20.9,-0.309,0.5414,0.7068,0.4754,0.4497,0.4626,0.8125,0.6748,0.7437,0.8709,0.8136,0.8423
21,-0.3565,0.5314,0.7103,0.4874,0.4503,0.4689,0.8158,0.6854,0.7506,0.8744,0.814,0.8442
21.1,-0.4015,0.5179,0.7102,0.4956,0.4548,0.4752,0.8219,0.6984,0.7602,0.8759,0.8122,0.8441
21.2,-0.4414,0.5028,0.7079,0.5001,0.4633,0.4817,0.831,0.7141,0.7725,0.8744,0.8076,0.841
