Time,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
5.8,-0.1504,0.6212,0.3143,0.695,0.818,0.7565,0.93,0.5668,0.7484,0.6252,0.6598,0.6425
5.9,-0.1389,0.5947,0.3014,0.6678,0.7699,0.7188,0.9072,0.5409,0.7241,0.5975,0.6526,0.6251
6,-0.1316,0.5624,0.2886,0.6351,0.7131,0.6741,0.8762,0.5096,0.6929,0.5689,0.644,0.6065
6.1,-0.1275,0.5256,0.2768,0.5981,0.6489,0.6235,0.8377,0.4739,0.6558,0.5413,0.6349,0.5881
6.2,-0.1258,0.4862,0.2672,0.5589,0.5797,0.5693,0.7942,0.4357,0.6149,0.5169,0.6265,0.5717
6.3,-0.1249,0.4466,0.2606,0.5194,0.5088,0.5141,0.7491,0.3974,0.5733,0.4977,0.6202,0.5589
6.4,-0.1226,0.4084,0.2572,0.481,0.4396,0.4603,0.705,0.3613,0.5331,0.4846,0.6172,0.5509
6.5,-0.1173,0.3727,0.2569,0.4447,0.3751,0.4099,0.6631,0.3286,0.4958,0.4778,0.6182,0.548
6.6,-0.1085,0.3395,0.2591,0.4112,0.3174,0.3643,0.6239,0.3001,0.462,0.4767,0.6231,0.5499
6.7,-0.0966,0.3087,0.2639,0.3814,0.2676,0.3245,0.5882,0.2761,0.4321,0.4802,0.6311,0.5557
6.8,-0.0825,0.2805,0.2717,0.356,0.2266,0.2913,0.5565,0.2568,0.4067,0.4874,0.641,0.5642
6.9,-0.0667,0.2557,0.2826,0.3357,0.1947,0.2652,0.5292,0.2422,0.3857,0.4968,0.6518,0.5743
7,-0.0494,0.2348,0.2963,0.3208,0.1726,0.2467,0.5049,0.2319,0.3684,0.5074,0.6628,0.5851
7.1,-0.0313,0.2183,0.3126,0.3116,0.1606,0.2361,0.4822,0.2254,0.3538,0.5183,0.6738,0.5961
7.2,-0.0132,0.2055,0.3313,0.3078,0.1585,0.2331,0.4598,0.2226,0.3412,0.5295,0.6845,0.607
7.3,0.0046,0.1955,0.3521,0.3093,0.1646,0.2369,0.4374,0.2231,0.3302,0.5405,0.695,0.6177
7.4,0.0221,0.1871,0.3745,0.3154,0.1768,0.2461,0.4152,0.2264,0.3208,0.5509,0.7045,0.6277
7.5,0.039,0.1798,0.3976,0.3253,0.193,0.2592,0.3929,0.232,0.3124,0.5597,0.7124,0.6361
7.6,0.0548,0.1729,0.42,0.3379,0.2115,0.2747,0.3699,0.2391,0.3045,0.566,0.7179,0.6419
7.7,0.0699,0.1661,0.4406,0.3522,0.2304,0.2913,0.3456,0.2473,0.2964,0.5688,0.72,0.6444
7.8,0.0853,0.1592,0.4591,0.3679,0.2488,0.3083,0.3203,0.256,0.2882,0.5674,0.7185,0.6429
7.9,0.1024,0.1523,0.4751,0.3848,0.2657,0.3252,0.2953,0.2651,0.2802,0.5619,0.7131,0.6375
8,0.1218,0.1457,0.4887,0.4024,0.2808,0.3416,0.2719,0.2739,0.2729,0.5524,0.7042,0.6283
8.1,0.1419,0.14,0.4994,0.4201,0.2939,0.357,0.251,0.2821,0.2666,0.5398,0.6922,0.616
