Time,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
6.6,-0.0864,0.453,0.439,0.4981,0.5401,0.5191,0.2603,0.5354,0.3979,0.1841,0.3628,0.2734
6.7,-0.0667,0.4572,0.4397,0.4998,0.5417,0.5207,0.2796,0.5345,0.4071,0.2055,0.3885,0.297
6.8,-0.0447,0.4609,0.444,0.5029,0.544,0.5235,0.303,0.5368,0.4199,0.2311,0.4189,0.325
6.9,-0.0215,0.4646,0.4512,0.5073,0.5468,0.5271,0.3296,0.5415,0.4356,0.2599,0.4523,0.3561
7,0.0013,0.4678,0.461,0.5125,0.5497,0.5311,0.3585,0.5483,0.4534,0.2908,0.4872,0.389
7.1,0.0216,0.4699,0.4733,0.5176,0.5526,0.5351,0.3885,0.5568,0.4727,0.3229,0.5232,0.4231
7.2,0.0376,0.4706,0.4885,0.5221,0.5551,0.5386,0.4188,0.5668,0.4928,0.3557,0.5601,0.4579
7.3,0.0492,0.4702,0.5065,0.5261,0.557,0.5415,0.4491,0.5785,0.5138,0.3885,0.597,0.4927
7.4,0.0569,0.469,0.5271,0.5297,0.5579,0.5438,0.4796,0.5922,0.5359,0.4209,0.6326,0.5268
7.5,0.0621,0.467,0.5494,0.5331,0.5571,0.5451,0.5106,0.6078,0.5592,0.4523,0.666,0.5592
7.6,0.0653,0.4635,0.5719,0.5358,0.5536,0.5447,0.5416,0.6246,0.5831,0.4821,0.6964,0.5893
7.7,0.0667,0.4575,0.5928,0.5373,0.5469,0.5421,0.5713,0.6416,0.6065,0.5091,0.7233,0.6162
7.8,0.066,0.4486,0.6109,0.5372,0.5365,0.5369,0.5982,0.6578,0.628,0.5321,0.7459,0.639
