Time,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2,Subway - Healthier doesnt mean hungrier Client 15 TVC - Viewing 2
3,0.2689,0.4347,0.4346,0.4923,0.3478,0.42,0.392,0.4958,0.4439,0.3117,0.2423,0.277
3.1,0.2876,0.425,0.4482,0.4937,0.304,0.3989,0.3745,0.4929,0.4337,0.3258,0.2611,0.2935
3.2,0.3037,0.4173,0.4635,0.4973,0.2657,0.3815,0.3619,0.4922,0.427,0.3447,0.2834,0.314
3.3,0.3161,0.4112,0.4797,0.503,0.2335,0.3682,0.354,0.4922,0.4231,0.3667,0.3072,0.337
3.4,0.3234,0.406,0.4951,0.5101,0.2079,0.359,0.3506,0.4917,0.4212,0.3905,0.3307,0.3606
3.5,0.3239,0.4015,0.5083,0.5182,0.1895,0.3538,0.3513,0.4899,0.4206,0.4152,0.3522,0.3837
3.6,0.3166,0.3971,0.5177,0.5259,0.1785,0.3522,0.3553,0.4865,0.4209,0.4395,0.3709,0.4052
3.7,0.3011,0.3929,0.5224,0.5318,0.1745,0.3532,0.3626,0.4821,0.4223,0.4626,0.3867,0.4247
3.8,0.2771,0.3883,0.5219,0.5352,0.1767,0.356,0.3727,0.4773,0.425,0.4835,0.3996,0.4416
3.9,0.245,0.3831,0.5161,0.5361,0.1842,0.3601,0.3848,0.4726,0.4287,0.5019,0.4093,0.4556
4,0.2049,0.3773,0.5059,0.535,0.1964,0.3657,0.3972,0.4681,0.4326,0.5185,0.4159,0.4672
4.1,0.1577,0.3714,0.4926,0.5322,0.2132,0.3727,0.4081,0.4637,0.4359,0.534,0.4204,0.4772
4.2,0.1049,0.3663,0.4774,0.5282,0.2338,0.381,0.417,0.4588,0.4379,0.5499,0.4243,0.4871
4.3,0.0484,0.3622,0.4617,0.5234,0.2571,0.3903,0.4245,0.4531,0.4388,0.5677,0.4295,0.4986
4.4,-0.0095,0.3593,0.4463,0.5185,0.2817,0.4001,0.4316,0.4464,0.439,0.5885,0.4373,0.5129
4.5,-0.0668,0.3574,0.4317,0.5143,0.3068,0.4105,0.4393,0.4394,0.4394,0.6121,0.4484,0.5303
4.6,-0.1216,0.3564,0.4193,0.5111,0.3315,0.4213,0.4478,0.4327,0.4402,0.6376,0.4628,0.5502
4.7,-0.1717,0.3559,0.4099,0.5091,0.3544,0.4318,0.4569,0.4263,0.4416,0.6637,0.4796,0.5717
4.8,-0.2148,0.356,0.4034,0.5085,0.3747,0.4416,0.4667,0.42,0.4433,0.6895,0.4979,0.5937
4.9,-0.2488,0.357,0.3993,0.5093,0.3924,0.4509,0.4767,0.4135,0.4451,0.7139,0.5166,0.6153
5,-0.2726,0.3595,0.397,0.5115,0.4078,0.4596,0.4863,0.407,0.4466,0.7357,0.535,0.6354
5.1,-0.2866,0.3642,0.3957,0.5148,0.4224,0.4686,0.4945,0.4007,0.4476,0.7538,0.5525,0.6531
5.2,-0.2928,0.3714,0.3947,0.5191,0.4367,0.4779,0.5008,0.3956,0.4482,0.7669,0.5688,0.6678
5.3,-0.2935,0.3808,0.3936,0.5238,0.4502,0.487,0.505,0.3926,0.4488,0.7739,0.5834,0.6786
5.4,-0.2899,0.3918,0.3919,0.5287,0.4624,0.4955,0.5071,0.392,0.4495,0.7744,0.5958,0.6851
5.5,-0.282,0.4034,0.3893,0.5335,0.4724,0.503,0.5076,0.3927,0.4501,0.7689,0.6056,0.6873
5.6,-0.2692,0.4152,0.3861,0.5384,0.4803,0.5093,0.5072,0.3941,0.4507,0.7587,0.6134,0.686
5.7,-0.2521,0.4268,0.3825,0.5432,0.4866,0.5149,0.5067,0.396,0.4514,0.7448,0.6196,0.6822
5.8,-0.2319,0.4384,0.379,0.5479,0.4923,0.5201,0.5067,0.3988,0.4528,0.728,0.6247,0.6764
5.9,-0.2095,0.4503,0.3767,0.5522,0.4982,0.5252,0.5077,0.4031,0.4554,0.7094,0.629,0.6692
6,-0.1858,0.4625,0.3761,0.5562,0.5048,0.5305,0.5097,0.4092,0.4595,0.6897,0.6326,0.6612
6.1,-0.1622,0.4746,0.3777,0.5596,0.5123,0.536,0.5132,0.4171,0.4652,0.6699,0.6356,0.6528
6.2,-0.1398,0.4858,0.3814,0.5617,0.5201,0.5409,0.5183,0.4264,0.4724,0.6506,0.6378,0.6442
6.3,-0.1189,0.4955,0.3873,0.5619,0.5272,0.5446,0.5249,0.4366,0.4807,0.6321,0.6393,0.6357
6.4,-0.0999,0.5033,0.3957,0.5597,0.533,0.5463,0.5325,0.4473,0.4899,0.6145,0.6403,0.6274
6.5,-0.0831,0.5089,0.4062,0.5551,0.5367,0.5459,0.5408,0.4576,0.4992,0.5978,0.6411,0.6194
6.6,-0.0688,0.5118,0.418,0.5479,0.5377,0.5428,0.5495,0.467,0.5082,0.5815,0.6416,0.6116
6.7,-0.0576,0.5119,0.4297,0.5384,0.5357,0.5371,0.5577,0.4753,0.5165,0.5654,0.642,0.6037
6.8,-0.0491,0.5093,0.4405,0.5268,0.5307,0.5288,0.5649,0.4827,0.5238,0.5494,0.6426,0.596
6.9,-0.0432,0.5046,0.4504,0.5134,0.5237,0.5186,0.5709,0.4892,0.5301,0.5339,0.6444,0.5892
7,-0.0392,0.4984,0.46,0.499,0.5155,0.5073,0.5756,0.495,0.5353,0.5193,0.6481,0.5837
7.1,-0.037,0.4915,0.4697,0.4841,0.5065,0.4953,0.5789,0.4997,0.5393,0.5058,0.6538,0.5798
7.2,-0.0367,0.4843,0.4793,0.4693,0.4967,0.483,0.5804,0.5031,0.5417,0.4935,0.6608,0.5772
7.3,-0.0384,0.4768,0.4881,0.455,0.4861,0.4706,0.5792,0.505,0.5421,0.4823,0.6682,0.5753
7.4,-0.0414,0.4691,0.4953,0.4414,0.4751,0.4582,0.5746,0.5051,0.5399,0.4723,0.6753,0.5738
7.5,-0.0436,0.4616,0.5008,0.429,0.4645,0.4467,0.5669,0.5035,0.5352,0.4636,0.6816,0.5726
7.6,-0.0433,0.4547,0.5045,0.4188,0.4553,0.437,0.557,0.5003,0.5287,0.4562,0.6864,0.5713
7.7,-0.04,0.4489,0.5065,0.4118,0.4482,0.43,0.5461,0.4962,0.5211,0.45,0.6887,0.5694
7.8,-0.0342,0.4449,0.5066,0.4085,0.4434,0.4259,0.5349,0.4918,0.5133,0.4443,0.688,0.5661
7.9,-0.0266,0.4433,0.5046,0.4087,0.4413,0.425,0.5234,0.4877,0.5056,0.4386,0.6837,0.5611
8,-0.0175,0.4446,0.5003,0.4124,0.4427,0.4275,0.5116,0.4838,0.4977,0.4328,0.6758,0.5543
8.1,-0.0063,0.4497,0.4934,0.4201,0.4481,0.4341,0.4997,0.4799,0.4898,0.4273,0.6642,0.5457
8.2,0.0071,0.4591,0.4837,0.4325,0.4582,0.4453,0.4878,0.4759,0.4818,0.4222,0.6486,0.5354
8.3,0.021,0.4726,0.4713,0.449,0.4727,0.4608,0.4761,0.4719,0.474,0.4169,0.629,0.5229
8.4,0.033,0.4897,0.4567,0.4686,0.4909,0.4797,0.4648,0.4681,0.4665,0.4117,0.6055,0.5086
8.5,0.0417,0.509,0.4405,0.4898,0.5119,0.5009,0.4544,0.4651,0.4597,0.4072,0.5789,0.493
8.6,0.0468,0.5291,0.424,0.5119,0.5342,0.5231,0.4454,0.4633,0.4544,0.4038,0.5507,0.4773
8.7,0.0492,0.549,0.4089,0.5342,0.5562,0.5452,0.4386,0.4628,0.4507,0.4018,0.5223,0.4621
8.8,0.0499,0.5683,0.3966,0.5556,0.5772,0.5664,0.4343,0.4634,0.4488,0.401,0.4946,0.4478
8.9,0.0496,0.5867,0.3883,0.5751,0.5967,0.5859,0.4326,0.4644,0.4485,0.4012,0.4684,0.4348
9,0.048,0.6043,0.3847,0.592,0.6147,0.6033,0.4331,0.4659,0.4495,0.4019,0.4444,0.4232
9.1,0.0446,0.6213,0.3861,0.6067,0.631,0.6189,0.4355,0.4681,0.4518,0.4028,0.4232,0.413
9.2,0.0387,0.6379,0.3923,0.6198,0.6455,0.6327,0.4396,0.4713,0.4554,0.4035,0.4052,0.4044
9.3,0.0305,0.6536,0.403,0.6315,0.6577,0.6446,0.4454,0.4756,0.4605,0.4042,0.3909,0.3975
9.4,0.0209,0.6679,0.417,0.6417,0.667,0.6543,0.4526,0.4811,0.4668,0.4048,0.3802,0.3925
9.5,0.011,0.68,0.4332,0.6499,0.673,0.6614,0.4612,0.4871,0.4742,0.4054,0.373,0.3892
9.6,0.002,0.6901,0.4506,0.656,0.6756,0.6658,0.4712,0.4937,0.4824,0.4064,0.3687,0.3875
9.7,-0.0056,0.6985,0.4688,0.6605,0.6752,0.6679,0.4823,0.5008,0.4916,0.4075,0.3666,0.387
9.8,-0.0122,0.7059,0.4876,0.664,0.6728,0.6684,0.4943,0.5085,0.5014,0.4087,0.3661,0.3874
9.9,-0.0183,0.7126,0.506,0.6667,0.669,0.6678,0.5068,0.5165,0.5117,0.4101,0.3663,0.3882
10,-0.0244,0.7184,0.5229,0.6683,0.6645,0.6664,0.5195,0.5244,0.5219,0.4118,0.3663,0.389
10.1,-0.0304,0.7233,0.5372,0.6684,0.6599,0.6641,0.5315,0.5315,0.5315,0.4139,0.3658,0.3898
10.2,-0.0359,0.7272,0.5488,0.6668,0.6559,0.6613,0.5421,0.5373,0.5397,0.4167,0.3652,0.3909
10.3,-0.0399,0.7299,0.5583,0.6634,0.6531,0.6583,0.5508,0.5418,0.5463,0.4205,0.3651,0.3928
10.4,-0.0418,0.7313,0.5663,0.6584,0.6511,0.6547,0.5579,0.5454,0.5516,0.425,0.3654,0.3952
10.5,-0.0407,0.7309,0.5727,0.6516,0.6491,0.6504,0.5635,0.5484,0.5559,0.4296,0.3657,0.3976
10.6,-0.0364,0.7285,0.5773,0.643,0.6468,0.6449,0.5679,0.5513,0.5596,0.4337,0.3654,0.3995
10.7,-0.0289,0.7235,0.5804,0.6321,0.6438,0.6379,0.571,0.5542,0.5626,0.4371,0.3646,0.4008
10.8,-0.019,0.7158,0.5823,0.6187,0.6402,0.6295,0.572,0.5571,0.5645,0.4397,0.3642,0.402
10.9,-0.0075,0.7054,0.583,0.6029,0.6356,0.6193,0.5707,0.5599,0.5653,0.4418,0.3651,0.4035
11,0.0046,0.6927,0.5823,0.5852,0.6291,0.6071,0.5674,0.5624,0.5649,0.4434,0.368,0.4057
11.1,0.016,0.6783,0.5798,0.5658,0.6202,0.593,0.562,0.5643,0.5632,0.4443,0.3736,0.4089
11.2,0.0258,0.6628,0.5752,0.545,0.6091,0.577,0.5552,0.5655,0.5604,0.4442,0.3823,0.4133
11.3,0.0338,0.6465,0.5687,0.5232,0.5964,0.5598,0.5473,0.5664,0.5568,0.4435,0.3948,0.4192
11.4,0.0402,0.63,0.5605,0.5007,0.5824,0.5416,0.5385,0.5667,0.5526,0.4423,0.411,0.4267
11.5,0.045,0.613,0.5505,0.4779,0.5667,0.5223,0.5288,0.5661,0.5475,0.4409,0.4306,0.4357
11.6,0.0485,0.5956,0.5385,0.4546,0.5485,0.5015,0.5183,0.5639,0.5411,0.439,0.4529,0.4459
11.7,0.0501,0.5779,0.5246,0.4307,0.5277,0.4792,0.5069,0.5597,0.5333,0.4367,0.4768,0.4568
11.8,0.0496,0.56,0.509,0.4063,0.5053,0.4558,0.4945,0.5533,0.5239,0.4347,0.5017,0.4682
11.9,0.0474,0.5424,0.4923,0.3819,0.4822,0.432,0.481,0.5451,0.5131,0.4333,0.5273,0.4803
12,0.0438,0.5252,0.475,0.3578,0.4592,0.4085,0.4665,0.5352,0.5009,0.4321,0.5534,0.4927
12.1,0.0392,0.5087,0.4581,0.3342,0.4364,0.3853,0.4515,0.5232,0.4873,0.4305,0.5789,0.5047
12.2,0.034,0.4931,0.4424,0.312,0.4144,0.3632,0.4368,0.5092,0.473,0.4282,0.6022,0.5152
12.3,0.0285,0.4789,0.4288,0.2927,0.3941,0.3434,0.4235,0.4939,0.4587,0.4252,0.622,0.5236
12.4,0.0226,0.4665,0.4176,0.2777,0.3769,0.3273,0.4124,0.4787,0.4455,0.4215,0.6378,0.5297
12.5,0.0161,0.4561,0.4096,0.2678,0.3637,0.3158,0.4039,0.4646,0.4343,0.4175,0.6494,0.5334
12.6,0.01,0.4474,0.4055,0.2629,0.3549,0.3089,0.3986,0.4527,0.4256,0.4139,0.657,0.5354
12.7,0.006,0.44,0.4064,0.2626,0.3501,0.3064,0.3968,0.4437,0.4202,0.4118,0.6612,0.5365
12.8,0.0058,0.4334,0.4128,0.2668,0.3491,0.3079,0.3988,0.4382,0.4185,0.4119,0.6618,0.5368
12.9,0.01,0.4274,0.4247,0.2752,0.3516,0.3134,0.4041,0.4363,0.4202,0.4141,0.6588,0.5365
13,0.0175,0.4215,0.4425,0.2877,0.3576,0.3226,0.4122,0.4379,0.4251,0.4185,0.6526,0.5355
13.1,0.0262,0.4156,0.466,0.3038,0.3673,0.3355,0.4225,0.4429,0.4327,0.4246,0.6443,0.5345
13.2,0.035,0.4096,0.4943,0.3226,0.3806,0.3516,0.4345,0.4511,0.4428,0.4326,0.6352,0.5339
13.3,0.0432,0.4032,0.5262,0.343,0.3972,0.3701,0.4476,0.4623,0.4549,0.4424,0.6263,0.5344
13.4,0.0503,0.3961,0.5606,0.3638,0.4162,0.39,0.4612,0.4761,0.4686,0.4535,0.6185,0.536
13.5,0.0552,0.3886,0.5963,0.3842,0.4367,0.4105,0.4744,0.492,0.4832,0.4647,0.6116,0.5382
13.6,0.0572,0.3809,0.632,0.4033,0.4576,0.4305,0.4862,0.5091,0.4976,0.4745,0.6053,0.5399
13.7,0.0557,0.3727,0.6659,0.4203,0.4778,0.4491,0.4958,0.5265,0.5111,0.4818,0.5984,0.5401
13.8,0.0499,0.3637,0.6967,0.4346,0.4963,0.4655,0.5029,0.5432,0.5231,0.4864,0.5894,0.5379
13.9,0.0384,0.3534,0.7234,0.4457,0.5127,0.4792,0.5071,0.5583,0.5327,0.4883,0.5774,0.5328
14,0.0209,0.3416,0.7451,0.4534,0.527,0.4902,0.5076,0.5709,0.5392,0.4875,0.5616,0.5246
14.1,-0.0016,0.3284,0.761,0.4579,0.5389,0.4984,0.5036,0.5795,0.5416,0.4833,0.5413,0.5123
14.2,-0.0278,0.3139,0.7709,0.4598,0.548,0.5039,0.495,0.5834,0.5392,0.4756,0.5157,0.4957
14.3,-0.0556,0.2985,0.7745,0.4599,0.5538,0.5068,0.4821,0.5822,0.5322,0.4644,0.4849,0.4747
14.4,-0.0832,0.2826,0.7725,0.4587,0.5565,0.5076,0.466,0.5762,0.5211,0.4495,0.4493,0.4494
14.5,-0.1095,0.2669,0.7649,0.4566,0.5571,0.5069,0.4476,0.5663,0.5069,0.4297,0.4096,0.4197
14.6,-0.1338,0.2521,0.7516,0.4539,0.5565,0.5052,0.4276,0.5532,0.4904,0.4044,0.3667,0.3855
14.7,-0.1556,0.2384,0.7326,0.4505,0.5555,0.503,0.4062,0.5379,0.4721,0.3728,0.3215,0.3472
14.8,-0.1746,0.2252,0.7082,0.4466,0.554,0.5003,0.3836,0.521,0.4523,0.3352,0.2753,0.3053
14.9,-0.1906,0.2117,0.6794,0.4425,0.5516,0.497,0.3602,0.5031,0.4317,0.2926,0.2299,0.2612
