Time,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5972,0.332,0.6442,0.3795,0.5628,0.4711,0.5979,0.6268,0.6124,0.488,0.6673,0.5777
0.1,-0.5888,0.3371,0.6194,0.371,0.5563,0.4637,0.6007,0.6276,0.6142,0.4622,0.6428,0.5525
0.2,-0.5817,0.3426,0.5984,0.3612,0.5517,0.4565,0.6082,0.6317,0.6199,0.4395,0.6196,0.5296
0.3,-0.5749,0.3481,0.5812,0.3498,0.5484,0.4491,0.6206,0.6386,0.6296,0.4202,0.598,0.5091
0.4,-0.5679,0.3532,0.5675,0.3364,0.5458,0.4411,0.6372,0.6477,0.6425,0.4041,0.5781,0.4911
0.5,-0.5603,0.3579,0.5566,0.3214,0.5434,0.4324,0.6562,0.6576,0.6569,0.3909,0.5604,0.4756
0.6,-0.5514,0.3623,0.5476,0.306,0.5408,0.4234,0.6769,0.6666,0.6718,0.3802,0.5448,0.4625
0.7,-0.5398,0.3669,0.5396,0.2918,0.538,0.4149,0.6998,0.6738,0.6868,0.3719,0.5308,0.4514
0.8,-0.5238,0.3724,0.5321,0.2804,0.5353,0.4079,0.7259,0.6787,0.7023,0.3657,0.518,0.4418
0.9,-0.5021,0.3793,0.5248,0.2732,0.5331,0.4031,0.7558,0.6809,0.7184,0.3617,0.506,0.4339
1,-0.4739,0.3879,0.518,0.2708,0.5316,0.4012,0.789,0.68,0.7345,0.36,0.4947,0.4273
1.1,-0.4386,0.3981,0.5117,0.2737,0.5309,0.4023,0.8238,0.6753,0.7496,0.3604,0.4841,0.4223
1.2,-0.3958,0.4098,0.5063,0.2821,0.5308,0.4065,0.8585,0.6669,0.7627,0.3625,0.4743,0.4184
1.3,-0.3465,0.4228,0.502,0.296,0.5315,0.4137,0.8918,0.6555,0.7736,0.3662,0.4651,0.4157
1.4,-0.2922,0.4367,0.499,0.3147,0.533,0.4238,0.9225,0.6422,0.7824,0.3712,0.4567,0.414
1.5,-0.2361,0.451,0.4967,0.337,0.5351,0.4361,0.9495,0.627,0.7883,0.3769,0.4494,0.4132
1.6,-0.1816,0.4647,0.4942,0.3612,0.5374,0.4493,0.9716,0.6095,0.7906,0.3826,0.4432,0.4129
1.7,-0.1315,0.4769,0.4908,0.3859,0.5388,0.4623,0.988,0.5891,0.7885,0.3872,0.4378,0.4125
1.8,-0.0875,0.4872,0.486,0.4097,0.5384,0.4741,0.9981,0.5657,0.7819,0.3896,0.4327,0.4111
1.9,-0.0505,0.4952,0.4799,0.4317,0.5359,0.4838,1.0019,0.54,0.7709,0.3894,0.4275,0.4085
2,-0.0204,0.5013,0.4726,0.4509,0.5309,0.4909,0.9991,0.5128,0.7559,0.387,0.4223,0.4047
2.1,0.003,0.5054,0.4639,0.4668,0.5239,0.4953,0.9902,0.4848,0.7375,0.3828,0.4177,0.4003
2.2,0.0199,0.5078,0.4539,0.4791,0.5151,0.4971,0.9762,0.4568,0.7165,0.3773,0.414,0.3957
2.3,0.0303,0.5086,0.4433,0.4882,0.5051,0.4967,0.9583,0.43,0.6942,0.3708,0.411,0.3909
2.4,0.0342,0.5079,0.433,0.4943,0.4942,0.4943,0.9375,0.4058,0.6717,0.3637,0.4087,0.3862
2.5,0.0326,0.5062,0.4239,0.4976,0.4823,0.49,0.9146,0.3856,0.6501,0.3567,0.4072,0.3819
2.6,0.0276,0.504,0.4164,0.4977,0.4696,0.4837,0.8901,0.37,0.63,0.3506,0.4066,0.3786
2.7,0.0213,0.5016,0.4107,0.494,0.456,0.475,0.8643,0.3597,0.612,0.3456,0.4074,0.3765
2.8,0.0152,0.4991,0.407,0.4862,0.4417,0.464,0.8379,0.3549,0.5964,0.3422,0.4098,0.376
2.9,0.0104,0.4972,0.4056,0.4747,0.4273,0.451,0.8116,0.3555,0.5836,0.3406,0.4141,0.3773
3,0.0079,0.4966,0.4073,0.4604,0.4135,0.4369,0.786,0.3611,0.5736,0.3411,0.4204,0.3807
3.1,0.0091,0.4978,0.4125,0.4441,0.4006,0.4223,0.7615,0.3704,0.566,0.3438,0.4292,0.3865
3.2,0.0156,0.5008,0.4214,0.4267,0.3886,0.4076,0.7382,0.3822,0.5602,0.3488,0.4407,0.3947
3.3,0.0283,0.5051,0.4345,0.409,0.3772,0.3931,0.7166,0.3953,0.5559,0.3561,0.4548,0.4055
3.4,0.0474,0.5102,0.4518,0.392,0.3662,0.3791,0.6969,0.4087,0.5528,0.366,0.4716,0.4188
3.5,0.072,0.5158,0.4734,0.3764,0.3559,0.3661,0.6793,0.4222,0.5507,0.3787,0.491,0.4348
3.6,0.1013,0.5214,0.4989,0.3626,0.346,0.3543,0.6639,0.4349,0.5494,0.3945,0.5129,0.4537
3.7,0.1346,0.5267,0.5279,0.3509,0.3366,0.3438,0.6503,0.4462,0.5483,0.4134,0.5369,0.4751
3.8,0.1714,0.5315,0.5604,0.3418,0.3278,0.3348,0.6383,0.4556,0.5469,0.4353,0.5622,0.4987
3.9,0.2113,0.5359,0.5963,0.3361,0.3198,0.328,0.6279,0.4627,0.5453,0.46,0.5877,0.5238
4,0.2536,0.5401,0.6354,0.3345,0.3129,0.3237,0.6198,0.4677,0.5437,0.4877,0.6125,0.5501
4.1,0.2971,0.5442,0.6761,0.3372,0.307,0.3221,0.6147,0.4703,0.5425,0.5187,0.636,0.5774
4.2,0.3408,0.5482,0.7166,0.3435,0.3019,0.3227,0.6132,0.4707,0.5419,0.5529,0.6576,0.6053
4.3,0.3827,0.5518,0.7545,0.3522,0.2972,0.3247,0.6148,0.4688,0.5418,0.5896,0.6766,0.6331
4.4,0.4202,0.5545,0.7884,0.362,0.2928,0.3274,0.6187,0.465,0.5419,0.6274,0.6919,0.6597
4.5,0.4503,0.5559,0.817,0.3714,0.2892,0.3303,0.624,0.4594,0.5417,0.6647,0.7031,0.6839
4.6,0.4709,0.5558,0.8386,0.3793,0.2867,0.333,0.6302,0.4522,0.5412,0.6995,0.7097,0.7046
4.7,0.4803,0.5539,0.8514,0.3843,0.2853,0.3348,0.6368,0.4433,0.5401,0.7295,0.7119,0.7207
4.8,0.4782,0.5501,0.8544,0.3854,0.2846,0.335,0.6429,0.433,0.5379,0.7523,0.7095,0.7309
4.9,0.4648,0.5442,0.8478,0.3821,0.2839,0.333,0.6474,0.4211,0.5342,0.7661,0.7025,0.7343
5,0.4413,0.536,0.833,0.3748,0.2828,0.3288,0.6495,0.4084,0.5289,0.77,0.6911,0.7306
5.1,0.4098,0.5257,0.8114,0.3648,0.2811,0.323,0.6494,0.3954,0.5224,0.7647,0.6758,0.7203
5.2,0.373,0.5138,0.785,0.3538,0.2793,0.3165,0.6476,0.3833,0.5154,0.752,0.6573,0.7046
5.3,0.3329,0.5016,0.7561,0.3431,0.2778,0.3104,0.6448,0.373,0.5089,0.7342,0.6363,0.6853
5.4,0.2909,0.4905,0.7271,0.3338,0.2775,0.3056,0.6416,0.3658,0.5037,0.7134,0.614,0.6637
5.5,0.2484,0.4815,0.6995,0.3267,0.2788,0.3027,0.6382,0.3624,0.5003,0.6912,0.591,0.6411
5.6,0.2069,0.475,0.6743,0.3221,0.2822,0.3021,0.6351,0.3636,0.4993,0.6688,0.5681,0.6184
5.7,0.1679,0.4708,0.652,0.3207,0.2875,0.3041,0.6328,0.3695,0.5011,0.6467,0.5459,0.5963
5.8,0.1322,0.4687,0.6326,0.3226,0.2947,0.3086,0.6321,0.38,0.506,0.6255,0.525,0.5752
5.9,0.1,0.4689,0.6161,0.3279,0.304,0.3159,0.6332,0.3949,0.5141,0.6055,0.5059,0.5557
6,0.0709,0.4714,0.6025,0.3364,0.3163,0.3263,0.636,0.4134,0.5247,0.5866,0.4891,0.5378
6.1,0.0445,0.4762,0.5916,0.348,0.3323,0.3401,0.6401,0.4344,0.5372,0.5687,0.475,0.5218
6.2,0.0195,0.4835,0.5837,0.3626,0.3526,0.3576,0.6452,0.4564,0.5508,0.5521,0.4641,0.5081
6.3,-0.005,0.4932,0.5786,0.3799,0.3773,0.3786,0.6511,0.4784,0.5648,0.5374,0.457,0.4972
6.4,-0.0293,0.5054,0.5762,0.3997,0.406,0.4029,0.6582,0.4996,0.5789,0.5251,0.4544,0.4898
6.5,-0.053,0.5199,0.5758,0.4214,0.4386,0.43,0.6663,0.5197,0.593,0.5158,0.4564,0.4861
6.6,-0.0754,0.5365,0.5767,0.4448,0.4749,0.4598,0.6755,0.5384,0.607,0.5095,0.4628,0.4862
6.7,-0.096,0.5553,0.5783,0.4695,0.5145,0.492,0.6856,0.5556,0.6206,0.5063,0.4732,0.4897
6.8,-0.1137,0.5764,0.5806,0.4954,0.5568,0.5261,0.6963,0.5713,0.6338,0.5055,0.4866,0.4961
6.9,-0.1275,0.5998,0.5839,0.5221,0.6008,0.5615,0.7076,0.5855,0.6465,0.5065,0.5023,0.5044
7,-0.1366,0.6248,0.5883,0.549,0.6454,0.5972,0.7189,0.598,0.6585,0.5082,0.5194,0.5138
7.1,-0.1409,0.6507,0.594,0.5754,0.6896,0.6325,0.7298,0.6084,0.6691,0.5097,0.5371,0.5234
7.2,-0.1407,0.6764,0.6009,0.601,0.7326,0.6668,0.7396,0.6163,0.678,0.5105,0.555,0.5328
7.3,-0.1367,0.701,0.6087,0.6253,0.7734,0.6993,0.7488,0.6216,0.6852,0.5103,0.5728,0.5416
7.4,-0.1293,0.7238,0.6171,0.6476,0.8107,0.7292,0.7576,0.6246,0.6911,0.5091,0.5903,0.5497
7.5,-0.1192,0.7434,0.6259,0.6668,0.8437,0.7552,0.7667,0.6255,0.6961,0.5067,0.6076,0.5572
7.6,-0.1077,0.7588,0.6349,0.6818,0.8716,0.7767,0.7763,0.6245,0.7004,0.5032,0.6247,0.564
7.7,-0.0966,0.7687,0.6442,0.6919,0.894,0.7929,0.786,0.6214,0.7037,0.4985,0.6415,0.57
7.8,-0.0877,0.7723,0.6535,0.6966,0.9106,0.8036,0.7954,0.6159,0.7056,0.4924,0.6575,0.5749
7.9,-0.0818,0.7688,0.6622,0.6957,0.9209,0.8083,0.8039,0.6077,0.7058,0.4844,0.6722,0.5783
8,-0.0791,0.758,0.6695,0.6887,0.9249,0.8068,0.8111,0.5968,0.704,0.474,0.6852,0.5796
8.1,-0.0793,0.7402,0.6747,0.6757,0.9228,0.7992,0.8165,0.5833,0.6999,0.4608,0.6959,0.5783
8.2,-0.0817,0.7166,0.6775,0.6576,0.9152,0.7864,0.8199,0.5672,0.6936,0.4451,0.7037,0.5744
8.3,-0.0844,0.6889,0.677,0.6366,0.9026,0.7696,0.8213,0.5485,0.6849,0.4278,0.708,0.5679
8.4,-0.0848,0.6596,0.6722,0.6147,0.8858,0.7502,0.8212,0.5274,0.6743,0.4101,0.7085,0.5593
8.5,-0.0804,0.6308,0.6618,0.594,0.8659,0.7299,0.8208,0.5042,0.6625,0.3928,0.7053,0.5491
8.6,-0.07,0.6041,0.6449,0.5756,0.8443,0.7099,0.8209,0.4793,0.6501,0.3766,0.6991,0.5379
8.7,-0.0544,0.5809,0.6218,0.5605,0.822,0.6913,0.8221,0.4532,0.6377,0.362,0.6908,0.5264
8.8,-0.0353,0.5618,0.5931,0.5494,0.7998,0.6746,0.8244,0.4268,0.6256,0.3494,0.6814,0.5154
8.9,-0.0143,0.5469,0.5596,0.5426,0.7779,0.6603,0.8272,0.4009,0.614,0.339,0.6716,0.5053
9,0.0079,0.5357,0.5225,0.54,0.757,0.6485,0.8302,0.3765,0.6034,0.3314,0.6624,0.4969
9.1,0.0298,0.528,0.4832,0.5409,0.7378,0.6393,0.833,0.3542,0.5936,0.3265,0.654,0.4903
9.2,0.0498,0.524,0.4438,0.5447,0.7215,0.6331,0.8347,0.3342,0.5845,0.3246,0.6467,0.4857
9.3,0.0661,0.5243,0.4067,0.551,0.7093,0.6302,0.834,0.317,0.5755,0.326,0.6411,0.4835
9.4,0.0781,0.5293,0.3742,0.5597,0.7018,0.6307,0.8297,0.3026,0.5661,0.3309,0.638,0.4845
9.5,0.0855,0.5388,0.3477,0.5704,0.6988,0.6346,0.8218,0.2913,0.5565,0.3398,0.6381,0.489
9.6,0.0887,0.5523,0.328,0.5826,0.7002,0.6414,0.8107,0.284,0.5474,0.3529,0.6418,0.4974
9.7,0.0881,0.5688,0.3151,0.5957,0.7059,0.6508,0.7973,0.2818,0.5396,0.3701,0.6495,0.5098
9.8,0.0839,0.5882,0.3088,0.6095,0.7158,0.6626,0.782,0.2857,0.5339,0.3908,0.6609,0.5258
9.9,0.0765,0.6096,0.3085,0.6236,0.7292,0.6764,0.7645,0.2963,0.5304,0.4137,0.6753,0.5445
10,0.0671,0.6324,0.3135,0.6385,0.7455,0.692,0.7452,0.3134,0.5293,0.4378,0.6918,0.5648
10.1,0.0583,0.6555,0.324,0.6548,0.7641,0.7094,0.7255,0.3365,0.531,0.4625,0.71,0.5863
10.2,0.0529,0.6784,0.3402,0.6728,0.7844,0.7286,0.7073,0.3651,0.5362,0.4882,0.7304,0.6093
10.3,0.0521,0.7006,0.3628,0.6925,0.8058,0.7491,0.6924,0.3987,0.5455,0.5154,0.7531,0.6342
10.4,0.0545,0.7215,0.3918,0.7137,0.8274,0.7705,0.6813,0.4359,0.5586,0.5443,0.7779,0.6611
10.5,0.0574,0.7398,0.4265,0.7358,0.8485,0.7922,0.6746,0.4753,0.575,0.5745,0.804,0.6892
10.6,0.0581,0.7543,0.4661,0.7581,0.8682,0.8132,0.6726,0.5157,0.5941,0.6049,0.8305,0.7177
10.7,0.0546,0.7639,0.5094,0.7792,0.8857,0.8324,0.6757,0.5564,0.616,0.6342,0.8567,0.7455
10.8,0.0462,0.7679,0.5552,0.7972,0.9,0.8486,0.6836,0.5967,0.6402,0.6614,0.8816,0.7715
10.9,0.0321,0.7656,0.6017,0.8109,0.9099,0.8604,0.6962,0.6356,0.6659,0.6856,0.9041,0.7948
11,0.012,0.7572,0.6466,0.8205,0.9151,0.8678,0.7133,0.6716,0.6925,0.7062,0.9233,0.8148
11.1,-0.0146,0.7439,0.6879,0.8267,0.9162,0.8714,0.7351,0.7037,0.7194,0.7229,0.9389,0.8309
11.2,-0.0472,0.7277,0.7242,0.8304,0.9141,0.8722,0.7616,0.7316,0.7466,0.7355,0.9511,0.8433
11.3,-0.0837,0.7108,0.7553,0.8322,0.9094,0.8708,0.7927,0.7554,0.7741,0.744,0.9598,0.8519
11.4,-0.1207,0.6956,0.7807,0.8321,0.9022,0.8672,0.8278,0.775,0.8014,0.7486,0.9648,0.8567
11.5,-0.1555,0.6833,0.7992,0.8306,0.8917,0.8612,0.8664,0.7898,0.8281,0.7492,0.9657,0.8575
11.6,-0.1865,0.6746,0.8105,0.8283,0.8776,0.8529,0.9075,0.7993,0.8534,0.7464,0.9624,0.8544
11.7,-0.2129,0.6697,0.8147,0.8258,0.8601,0.843,0.9503,0.8028,0.8766,0.7409,0.9557,0.8483
11.8,-0.235,0.6689,0.8127,0.8235,0.8408,0.8322,0.9937,0.8008,0.8972,0.7334,0.9469,0.8401
11.9,-0.2533,0.6723,0.8056,0.8212,0.8211,0.8211,1.0363,0.7939,0.9151,0.7243,0.937,0.8307
12,-0.2686,0.679,0.7944,0.818,0.8015,0.8097,1.0766,0.7832,0.9299,0.714,0.9263,0.8202
12.1,-0.2819,0.6875,0.7802,0.8129,0.7818,0.7973,1.1127,0.7699,0.9413,0.7024,0.9145,0.8085
12.2,-0.2933,0.6965,0.7639,0.8053,0.7619,0.7836,1.143,0.7546,0.9488,0.6895,0.9011,0.7953
12.3,-0.3019,0.706,0.7456,0.7956,0.7423,0.7689,1.1663,0.7374,0.9519,0.6754,0.8861,0.7807
12.4,-0.3068,0.7169,0.7249,0.7842,0.7244,0.7543,1.1819,0.7187,0.9503,0.6602,0.8699,0.765
12.5,-0.3075,0.73,0.7014,0.772,0.7087,0.7403,1.1891,0.6985,0.9438,0.6438,0.8531,0.7485
12.6,-0.3034,0.745,0.6749,0.759,0.6954,0.7272,1.187,0.6773,0.9321,0.6262,0.836,0.7311
12.7,-0.2937,0.7611,0.6466,0.7452,0.6836,0.7144,1.1747,0.6557,0.9152,0.6075,0.8185,0.713
12.8,-0.2775,0.777,0.6178,0.7303,0.6727,0.7015,1.1512,0.6343,0.8928,0.5879,0.8007,0.6943
12.9,-0.2546,0.7915,0.5894,0.7139,0.6622,0.6881,1.1163,0.6138,0.8651,0.5681,0.7828,0.6754
13,-0.2266,0.8035,0.5616,0.6956,0.6521,0.6738,1.071,0.595,0.833,0.5486,0.7649,0.6568
13.1,-0.1961,0.8123,0.5347,0.6751,0.642,0.6586,1.0178,0.5783,0.798,0.5295,0.7468,0.6382
13.2,-0.1656,0.8172,0.5088,0.6528,0.6315,0.6422,0.9596,0.5639,0.7618,0.5105,0.7277,0.6191
13.3,-0.1356,0.8177,0.4848,0.6295,0.6206,0.625,0.9,0.5517,0.7259,0.4917,0.707,0.5993
13.4,-0.1061,0.814,0.4638,0.6066,0.6099,0.6082,0.8424,0.5413,0.6918,0.4741,0.6857,0.5799
13.5,-0.0779,0.8066,0.4468,0.5849,0.6,0.5924,0.7892,0.5325,0.6609,0.4594,0.6657,0.5625
13.6,-0.0525,0.7955,0.434,0.5639,0.591,0.5775,0.742,0.5251,0.6335,0.4482,0.6482,0.5482
13.7,-0.0318,0.7805,0.4247,0.543,0.5824,0.5627,0.701,0.5185,0.6097,0.4401,0.6329,0.5365
13.8,-0.0166,0.7613,0.4186,0.5227,0.5735,0.5481,0.6659,0.5124,0.5892,0.434,0.6192,0.5266
13.9,-0.0064,0.7389,0.4152,0.5042,0.5648,0.5345,0.6366,0.5069,0.5718,0.429,0.6068,0.5179
14,0.0004,0.7148,0.4142,0.4888,0.5566,0.5227,0.6135,0.5018,0.5577,0.4252,0.5959,0.5106
14.1,0.0058,0.6904,0.4152,0.4774,0.5496,0.5135,0.5966,0.497,0.5468,0.4231,0.5871,0.5051
14.2,0.0115,0.6663,0.4179,0.4699,0.5435,0.5067,0.5857,0.4922,0.5389,0.4233,0.5804,0.5018
14.3,0.0187,0.643,0.4221,0.4661,0.5383,0.5022,0.5807,0.4868,0.5337,0.4261,0.5755,0.5008
14.4,0.0275,0.6211,0.4281,0.466,0.5342,0.5001,0.5814,0.4808,0.5311,0.4317,0.5727,0.5022
14.5,0.0372,0.6016,0.4363,0.4697,0.5321,0.5009,0.588,0.4746,0.5313,0.44,0.5724,0.5062
14.6,0.047,0.5851,0.4469,0.477,0.5327,0.5049,0.6004,0.4688,0.5346,0.4513,0.5748,0.5131
14.7,0.0564,0.5717,0.4597,0.4873,0.5365,0.5119,0.6181,0.4638,0.541,0.4652,0.5798,0.5225
14.8,0.0651,0.5611,0.4743,0.4998,0.5434,0.5216,0.6407,0.4597,0.5502,0.4813,0.5869,0.5341
14.9,0.0717,0.553,0.4903,0.5138,0.5536,0.5337,0.6677,0.4563,0.562,0.4996,0.5963,0.548
15,0.0743,0.5474,0.5079,0.5289,0.5675,0.5482,0.6986,0.4536,0.5761,0.5201,0.6082,0.5642
15.1,0.0717,0.5447,0.5268,0.545,0.5856,0.5653,0.7336,0.4518,0.5927,0.543,0.6226,0.5828
15.2,0.0636,0.5449,0.5469,0.5617,0.6075,0.5846,0.7724,0.4517,0.612,0.5679,0.6391,0.6035
15.3,0.0501,0.5477,0.5679,0.5783,0.6321,0.6052,0.8145,0.4541,0.6343,0.5937,0.6566,0.6252
15.4,0.0313,0.5523,0.5893,0.594,0.6579,0.6259,0.8585,0.4594,0.6589,0.6193,0.6744,0.6469
15.5,0.007,0.5581,0.6109,0.6078,0.6837,0.6457,0.9023,0.4675,0.6849,0.6436,0.6919,0.6677
15.6,-0.0225,0.5652,0.6321,0.6196,0.7088,0.6642,0.9439,0.4781,0.711,0.6656,0.7089,0.6872
15.7,-0.0564,0.5737,0.6525,0.6296,0.7331,0.6814,0.9813,0.491,0.7361,0.6848,0.7252,0.705
15.8,-0.0928,0.5838,0.6718,0.638,0.7559,0.697,1.0131,0.5061,0.7596,0.7009,0.7405,0.7207
15.9,-0.1295,0.5949,0.69,0.6448,0.7763,0.7106,1.0383,0.5235,0.7809,0.714,0.7544,0.7342
16,-0.1646,0.6067,0.7073,0.6503,0.7937,0.722,1.0567,0.5432,0.8,0.724,0.7665,0.7453
16.1,-0.1968,0.6188,0.7238,0.6548,0.8083,0.7315,1.0686,0.5649,0.8168,0.7307,0.7765,0.7536
16.2,-0.2263,0.6312,0.7391,0.6583,0.8206,0.7395,1.0745,0.5887,0.8316,0.7342,0.784,0.7591
16.3,-0.2536,0.6441,0.7528,0.6608,0.8315,0.7461,1.0751,0.6144,0.8447,0.734,0.7884,0.7612
16.4,-0.2792,0.6574,0.7642,0.6622,0.8408,0.7515,1.071,0.6416,0.8563,0.7301,0.7889,0.7595
16.5,-0.303,0.6714,0.7729,0.6626,0.8488,0.7557,1.0629,0.6698,0.8663,0.7224,0.7853,0.7539
16.6,-0.324,0.6862,0.7789,0.6628,0.8556,0.7592,1.0516,0.6983,0.875,0.7117,0.7779,0.7448
16.7,-0.3406,0.7019,0.7818,0.6639,0.8617,0.7628,1.0381,0.7264,0.8822,0.6989,0.7674,0.7332
16.8,-0.3522,0.7184,0.7818,0.6665,0.8674,0.7669,1.023,0.7539,0.8885,0.685,0.7546,0.7198
16.9,-0.3592,0.7352,0.7786,0.6699,0.8725,0.7712,1.0074,0.7805,0.894,0.6706,0.7401,0.7054
17,-0.3625,0.7514,0.7717,0.6733,0.8766,0.775,0.9921,0.8058,0.8989,0.6561,0.7238,0.69
17.1,-0.3631,0.7665,0.7605,0.676,0.8798,0.7779,0.9776,0.8287,0.9031,0.6417,0.7056,0.6737
17.2,-0.3619,0.7806,0.7442,0.6781,0.8826,0.7804,0.9644,0.8481,0.9062,0.6282,0.6855,0.6568
17.3,-0.3599,0.7939,0.7227,0.6804,0.8864,0.7834,0.9531,0.8632,0.9082,0.6168,0.664,0.6404
17.4,-0.3587,0.8065,0.6963,0.6827,0.8918,0.7873,0.9444,0.8739,0.9091,0.6088,0.6425,0.6256
17.5,-0.3594,0.817,0.6657,0.6839,0.8985,0.7912,0.9386,0.88,0.9093,0.6052,0.622,0.6136
17.6,-0.3628,0.8241,0.6319,0.6823,0.9051,0.7937,0.9358,0.882,0.9089,0.6066,0.6035,0.605
17.7,-0.3694,0.8269,0.5959,0.6771,0.9105,0.7938,0.9356,0.8804,0.908,0.6126,0.5877,0.6002
17.8,-0.3799,0.8256,0.5583,0.6688,0.9151,0.792,0.9375,0.8761,0.9068,0.6232,0.5759,0.5995
17.9,-0.3952,0.8211,0.52,0.6584,0.9199,0.7891,0.9411,0.8704,0.9057,0.6383,0.569,0.6037
18,-0.4149,0.8139,0.4817,0.6461,0.9253,0.7857,0.946,0.8644,0.9052,0.6577,0.5677,0.6127
18.1,-0.4376,0.8039,0.4446,0.6319,0.9306,0.7813,0.9519,0.8587,0.9053,0.6805,0.5716,0.626
18.2,-0.4601,0.7905,0.4101,0.6156,0.9341,0.7749,0.9581,0.8533,0.9057,0.7054,0.5799,0.6427
18.3,-0.4794,0.7743,0.3791,0.5977,0.9348,0.7662,0.9641,0.8485,0.9063,0.7314,0.5917,0.6616
18.4,-0.4936,0.7564,0.352,0.5793,0.9324,0.7559,0.9695,0.8447,0.9071,0.7575,0.606,0.6817
18.5,-0.5021,0.7385,0.3291,0.5615,0.9272,0.7444,0.9735,0.8421,0.9078,0.7824,0.6217,0.7021
18.6,-0.505,0.7214,0.3108,0.545,0.9192,0.7321,0.9753,0.8406,0.908,0.8047,0.6382,0.7214
18.7,-0.5031,0.7053,0.2979,0.5298,0.9086,0.7192,0.974,0.8394,0.9067,0.8224,0.6541,0.7382
18.8,-0.4978,0.6906,0.2907,0.5162,0.8956,0.7059,0.9689,0.8376,0.9032,0.8344,0.6684,0.7514
18.9,-0.4912,0.6778,0.2895,0.5043,0.8814,0.6928,0.9599,0.8346,0.8973,0.8408,0.6804,0.7606
19,-0.485,0.6671,0.2939,0.4941,0.8667,0.6804,0.9475,0.8308,0.8891,0.8425,0.6896,0.7661
19.1,-0.4797,0.6586,0.3029,0.4854,0.8517,0.6686,0.9324,0.8263,0.8793,0.8402,0.6959,0.768
19.2,-0.4744,0.6517,0.3151,0.4779,0.8359,0.6569,0.9151,0.8214,0.8682,0.8339,0.6988,0.7664
19.3,-0.4678,0.6457,0.3293,0.4715,0.8186,0.645,0.8962,0.8158,0.856,0.8235,0.6981,0.7608
19.4,-0.4589,0.6402,0.3445,0.466,0.7994,0.6327,0.8762,0.8097,0.8429,0.809,0.6937,0.7513
19.5,-0.4468,0.6347,0.3603,0.4612,0.7784,0.6198,0.8558,0.8029,0.8293,0.7909,0.6859,0.7384
19.6,-0.4306,0.6288,0.3766,0.4571,0.7555,0.6063,0.8359,0.7953,0.8156,0.7704,0.6753,0.7228
