Time,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC,Samsung S22 Ultra 30 TVC
9.5,0.1292,0.7411,0.5811,0.6221,0.45,0.536,0.6635,0.7214,0.6924,0.5025,0.5926,0.5475
9.6,0.102,0.7316,0.5798,0.595,0.4539,0.5244,0.6637,0.7341,0.6989,0.5008,0.5834,0.5421
9.7,0.076,0.7216,0.5792,0.565,0.4602,0.5126,0.665,0.7474,0.7062,0.5015,0.5733,0.5374
9.8,0.0534,0.7117,0.5797,0.5339,0.4688,0.5013,0.6679,0.7607,0.7143,0.5039,0.5622,0.5331
9.9,0.0356,0.7016,0.5816,0.5027,0.4788,0.4907,0.6724,0.7736,0.723,0.5077,0.5502,0.5289
10,0.0226,0.6914,0.5854,0.472,0.49,0.481,0.6783,0.7856,0.732,0.5122,0.5377,0.5249
10.1,0.0135,0.6815,0.5914,0.4426,0.5028,0.4727,0.6852,0.7967,0.7409,0.5169,0.5251,0.521
10.2,0.007,0.6725,0.5995,0.4157,0.5178,0.4668,0.6932,0.8066,0.7499,0.5218,0.5131,0.5175
10.3,0.0023,0.6649,0.6095,0.3926,0.5349,0.4638,0.7024,0.8151,0.7587,0.5268,0.5018,0.5143
10.4,-0.0012,0.6588,0.6212,0.3739,0.5532,0.4635,0.7124,0.8217,0.767,0.5319,0.4911,0.5115
10.5,-0.0046,0.654,0.6343,0.3597,0.5711,0.4654,0.722,0.8258,0.7739,0.5372,0.4807,0.509
10.6,-0.009,0.6506,0.6486,0.3503,0.5881,0.4692,0.7301,0.8268,0.7784,0.5425,0.4705,0.5065
10.7,-0.0156,0.649,0.6641,0.3461,0.6041,0.4751,0.736,0.8243,0.7802,0.5476,0.4607,0.5041
10.8,-0.025,0.6498,0.6809,0.3473,0.6197,0.4835,0.7398,0.8187,0.7792,0.5523,0.4515,0.5019
10.9,-0.0373,0.6535,0.6989,0.3533,0.6355,0.4944,0.7417,0.8108,0.7762,0.5559,0.4429,0.4994
11,-0.0522,0.6594,0.7176,0.3633,0.6519,0.5076,0.7419,0.801,0.7715,0.558,0.4348,0.4964
11.1,-0.0694,0.6668,0.7358,0.3762,0.6686,0.5224,0.7408,0.7902,0.7655,0.5581,0.4269,0.4925
11.2,-0.0882,0.6753,0.7527,0.3917,0.6854,0.5386,0.7385,0.7787,0.7586,0.5563,0.419,0.4876
11.3,-0.1074,0.6845,0.7677,0.4097,0.7018,0.5557,0.7356,0.7674,0.7515,0.5526,0.4111,0.4819
11.4,-0.125,0.6943,0.7808,0.4301,0.7169,0.5735,0.733,0.757,0.745,0.5477,0.404,0.4758
11.5,-0.14,0.7041,0.792,0.4529,0.7301,0.5915,0.7309,0.7478,0.7393,0.5417,0.3982,0.4699
11.6,-0.1527,0.7129,0.8014,0.4778,0.7409,0.6093,0.7291,0.7397,0.7344,0.5348,0.3943,0.4645
11.7,-0.1637,0.7197,0.8084,0.5045,0.7489,0.6267,0.7275,0.7327,0.7301,0.5268,0.3927,0.4598
11.8,-0.1737,0.7236,0.8129,0.5322,0.7537,0.6429,0.726,0.7267,0.7263,0.5184,0.3941,0.4563
11.9,-0.1826,0.7242,0.8156,0.56,0.7551,0.6575,0.7249,0.722,0.7235,0.5106,0.3993,0.4549
12,-0.1904,0.7215,0.8171,0.5862,0.753,0.6696,0.7246,0.719,0.7218,0.5043,0.4085,0.4564
12.1,-0.1973,0.7155,0.8175,0.6092,0.7475,0.6783,0.7248,0.7172,0.721,0.5003,0.4216,0.4609
12.2,-0.2031,0.7063,0.8163,0.6276,0.7389,0.6832,0.7255,0.7162,0.7209,0.4988,0.438,0.4684
12.3,-0.2066,0.6945,0.8138,0.6414,0.7276,0.6845,0.7269,0.7151,0.721,0.4998,0.457,0.4784
12.4,-0.2059,0.6812,0.8104,0.6516,0.7142,0.6829,0.7295,0.7136,0.7215,0.5033,0.478,0.4907
12.5,-0.1991,0.6675,0.8066,0.6593,0.6994,0.6793,0.7337,0.7116,0.7227,0.5096,0.5,0.5048
12.6,-0.1859,0.6542,0.8027,0.6651,0.6836,0.6744,0.7395,0.7095,0.7245,0.5189,0.5223,0.5206
12.7,-0.1669,0.6417,0.7983,0.6692,0.6675,0.6684,0.7466,0.7072,0.7269,0.5313,0.5443,0.5378
12.8,-0.1434,0.6299,0.7929,0.6713,0.6516,0.6615,0.7547,0.7049,0.7298,0.5465,0.5649,0.5557
12.9,-0.1159,0.6189,0.7868,0.6718,0.6362,0.654,0.7628,0.7027,0.7327,0.5637,0.5833,0.5735
13,-0.0853,0.6087,0.7803,0.671,0.6217,0.6463,0.7699,0.7007,0.7353,0.5819,0.5991,0.5905
13.1,-0.0529,0.5991,0.774,0.6687,0.6079,0.6383,0.7747,0.6989,0.7368,0.6002,0.6121,0.6061
13.2,-0.0201,0.59,0.7683,0.6644,0.5947,0.6296,0.7755,0.6973,0.7364,0.6174,0.622,0.6197
13.3,0.0114,0.5811,0.7627,0.6579,0.5822,0.62,0.7716,0.6958,0.7337,0.633,0.6288,0.6309
13.4,0.0413,0.5726,0.7569,0.6496,0.5703,0.6099,0.7628,0.6942,0.7285,0.6469,0.6328,0.6398
13.5,0.0693,0.5646,0.7506,0.6404,0.559,0.5997,0.7497,0.6926,0.7212,0.6589,0.634,0.6465
13.6,0.0956,0.5578,0.7442,0.6314,0.548,0.5897,0.7329,0.691,0.712,0.6688,0.6324,0.6506
13.7,0.1197,0.5526,0.7381,0.6231,0.5367,0.5799,0.7131,0.6891,0.7011,0.6754,0.6277,0.6516
13.8,0.1413,0.5492,0.7326,0.6161,0.5248,0.5704,0.6906,0.6865,0.6885,0.6769,0.6195,0.6482
13.9,0.1604,0.5482,0.7276,0.6111,0.5124,0.5618,0.6659,0.683,0.6744,0.672,0.608,0.64
14,0.1779,0.5504,0.7231,0.609,0.5001,0.5545,0.6401,0.679,0.6595,0.6601,0.5938,0.627
14.1,0.1949,0.5563,0.7189,0.6102,0.4881,0.5491,0.6144,0.6753,0.6449,0.6416,0.5777,0.6097
14.2,0.2117,0.5659,0.7145,0.6146,0.4761,0.5454,0.5901,0.6725,0.6313,0.6175,0.56,0.5888
14.3,0.2283,0.579,0.7091,0.6217,0.4629,0.5423,0.5677,0.6705,0.6191,0.5889,0.5408,0.5648
14.4,0.2447,0.5949,0.7022,0.631,0.4467,0.5388,0.5475,0.6694,0.6084,0.5571,0.5203,0.5387
14.5,0.2606,0.6135,0.6939,0.6425,0.4264,0.5344,0.5299,0.6689,0.5994,0.5244,0.4994,0.5119
14.6,0.2759,0.6354,0.6848,0.657,0.4018,0.5294,0.5155,0.6689,0.5922,0.4935,0.4791,0.4863
14.7,0.2902,0.6605,0.6755,0.6754,0.3735,0.5244,0.5052,0.6696,0.5874,0.4668,0.4602,0.4635
14.8,0.3022,0.6887,0.6662,0.6977,0.3418,0.5197,0.4998,0.6704,0.5851,0.4456,0.4428,0.4442
14.9,0.3113,0.719,0.6573,0.7238,0.3068,0.5153,0.5,0.6706,0.5853,0.4296,0.427,0.4283
15,0.3177,0.7506,0.6495,0.7538,0.2693,0.5116,0.5067,0.67,0.5883,0.4186,0.4124,0.4155
15.1,0.323,0.7828,0.6438,0.7875,0.2307,0.5091,0.5204,0.6686,0.5945,0.4123,0.3997,0.406
15.2,0.3288,0.8142,0.641,0.8242,0.1933,0.5088,0.5414,0.6668,0.6041,0.411,0.3891,0.4
15.3,0.3354,0.8431,0.6414,0.8623,0.1594,0.5109,0.569,0.6648,0.6169,0.4146,0.3804,0.3975
15.4,0.3415,0.8673,0.645,0.8992,0.1312,0.5152,0.601,0.6622,0.6316,0.4228,0.3737,0.3983
15.5,0.3451,0.8852,0.6522,0.9325,0.1108,0.5217,0.6349,0.6581,0.6465,0.4349,0.3692,0.4021
15.6,0.3449,0.8967,0.6634,0.9614,0.1001,0.5308,0.6683,0.6518,0.6601,0.4508,0.3676,0.4092
15.7,0.3406,0.902,0.6783,0.9861,0.1003,0.5432,0.7001,0.6434,0.6717,0.4708,0.3693,0.42
15.8,0.3317,0.9009,0.695,1.006,0.111,0.5585,0.7288,0.6333,0.6811,0.4953,0.3745,0.4349
15.9,0.3166,0.8929,0.7111,1.0194,0.1303,0.5748,0.7531,0.6221,0.6876,0.5237,0.3831,0.4534
16,0.2943,0.8779,0.7251,1.0243,0.1552,0.5898,0.7712,0.6103,0.6907,0.5549,0.3949,0.4749
16.1,0.2657,0.8568,0.737,1.0202,0.1834,0.6018,0.7826,0.5982,0.6904,0.5873,0.4092,0.4982
16.2,0.2336,0.8313,0.7479,1.008,0.2131,0.6105,0.7875,0.5859,0.6867,0.6196,0.4246,0.5221
16.3,0.2015,0.8032,0.7586,0.9888,0.2427,0.6158,0.7866,0.5738,0.6802,0.6505,0.4409,0.5457
16.4,0.1719,0.7736,0.7687,0.9637,0.2707,0.6172,0.7802,0.5616,0.6709,0.6792,0.4578,0.5685
16.5,0.1467,0.7433,0.7769,0.9335,0.2955,0.6145,0.7684,0.5492,0.6588,0.7049,0.4748,0.5898
16.6,0.128,0.7131,0.7826,0.9,0.3158,0.6079,0.752,0.5367,0.6444,0.7274,0.4914,0.6094
16.7,0.1176,0.684,0.7857,0.8654,0.331,0.5982,0.732,0.5243,0.6282,0.7468,0.5081,0.6275
16.8,0.1168,0.6574,0.787,0.8318,0.3409,0.5864,0.7103,0.5125,0.6114,0.7637,0.5251,0.6444
16.9,0.1258,0.6345,0.7872,0.8002,0.3455,0.5728,0.6882,0.5014,0.5948,0.7779,0.543,0.6604
17,0.1438,0.6159,0.7865,0.7707,0.3449,0.5578,0.6668,0.4911,0.5789,0.7888,0.5621,0.6754
17.1,0.1698,0.6017,0.7848,0.7437,0.3397,0.5417,0.6467,0.4816,0.5641,0.7958,0.5821,0.689
17.2,0.203,0.5915,0.7819,0.7198,0.3305,0.5251,0.6289,0.4734,0.5511,0.799,0.6029,0.7009
17.3,0.2425,0.5851,0.7782,0.6993,0.3182,0.5088,0.6142,0.4675,0.5408,0.7988,0.6244,0.7116
17.4,0.2856,0.5824,0.774,0.6826,0.3042,0.4934,0.6035,0.465,0.5342,0.7963,0.6461,0.7212
17.5,0.3281,0.5832,0.7695,0.6693,0.2896,0.4795,0.5974,0.4662,0.5318,0.7924,0.6675,0.73
17.6,0.3657,0.5869,0.7654,0.6592,0.276,0.4676,0.5958,0.4715,0.5337,0.788,0.6871,0.7375
17.7,0.3948,0.5927,0.762,0.6524,0.2648,0.4586,0.599,0.4809,0.5399,0.7831,0.7034,0.7433
17.8,0.4137,0.6001,0.7602,0.6493,0.2574,0.4534,0.6066,0.494,0.5503,0.7785,0.7157,0.7471
17.9,0.4226,0.6086,0.7602,0.6505,0.2548,0.4527,0.6181,0.5104,0.5643,0.7749,0.7246,0.7497
18,0.4236,0.618,0.7619,0.6565,0.2574,0.4569,0.6324,0.529,0.5807,0.7728,0.7303,0.7516
18.1,0.4192,0.6282,0.7646,0.6673,0.265,0.4661,0.6483,0.5486,0.5985,0.7717,0.7332,0.7525
18.2,0.4116,0.6387,0.768,0.6828,0.2768,0.4798,0.6652,0.5686,0.6169,0.7708,0.7335,0.7522
18.3,0.4015,0.6491,0.7723,0.7023,0.2926,0.4975,0.6824,0.589,0.6357,0.7694,0.7318,0.7506
18.4,0.3883,0.6589,0.7772,0.7246,0.3124,0.5185,0.6987,0.6102,0.6545,0.7677,0.7291,0.7484
18.5,0.3711,0.6679,0.7824,0.7485,0.3361,0.5423,0.7126,0.6315,0.6721,0.766,0.726,0.746
18.6,0.3495,0.6763,0.7872,0.7724,0.3635,0.5679,0.7226,0.6518,0.6872,0.7639,0.7227,0.7433
18.7,0.3243,0.684,0.791,0.7953,0.3937,0.5945,0.7278,0.6698,0.6988,0.7608,0.7188,0.7398
18.8,0.2966,0.6913,0.7934,0.8166,0.4258,0.6212,0.7283,0.6847,0.7065,0.7562,0.7143,0.7352
18.9,0.2675,0.6981,0.7941,0.8361,0.4586,0.6473,0.7248,0.6964,0.7106,0.7498,0.7088,0.7293
19,0.2379,0.7046,0.7931,0.8536,0.4914,0.6725,0.7182,0.7056,0.7119,0.7415,0.7023,0.7219
19.1,0.2086,0.7111,0.7903,0.8688,0.5236,0.6962,0.7092,0.7126,0.7109,0.7316,0.6946,0.7131
19.2,0.1805,0.7173,0.7856,0.881,0.5543,0.7177,0.6986,0.718,0.7083,0.7199,0.686,0.7029
19.3,0.1547,0.723,0.7798,0.8899,0.5826,0.7362,0.6869,0.7223,0.7046,0.7062,0.6765,0.6914
19.4,0.1321,0.7279,0.7736,0.8948,0.6077,0.7513,0.6747,0.7257,0.7002,0.6905,0.6663,0.6784
19.5,0.1135,0.7318,0.7675,0.8957,0.6295,0.7626,0.6621,0.7283,0.6952,0.6729,0.6553,0.6641
19.6,0.0993,0.7347,0.7612,0.8929,0.6479,0.7704,0.6489,0.7295,0.6892,0.6534,0.6433,0.6484
19.7,0.0892,0.7363,0.7537,0.8866,0.6625,0.7746,0.6349,0.7292,0.6821,0.6324,0.6301,0.6312
19.8,0.0825,0.7363,0.7445,0.8772,0.6727,0.775,0.6198,0.7273,0.6735,0.6101,0.6156,0.6128
19.9,0.0788,0.7344,0.734,0.8647,0.6779,0.7713,0.6037,0.724,0.6638,0.5866,0.6,0.5933
20,0.078,0.7308,0.7227,0.8493,0.6773,0.7633,0.5871,0.7192,0.6531,0.5623,0.5834,0.5729
20.1,0.0805,0.7255,0.7111,0.831,0.6709,0.751,0.5703,0.7127,0.6415,0.5378,0.5661,0.552
20.2,0.0865,0.7184,0.6997,0.8101,0.6588,0.7344,0.5536,0.7043,0.6289,0.5137,0.5483,0.531
20.3,0.0958,0.7095,0.6883,0.7872,0.642,0.7146,0.5373,0.6944,0.6159,0.4909,0.5303,0.5106
20.4,0.1077,0.6988,0.6775,0.7635,0.6214,0.6925,0.5216,0.6839,0.6027,0.4701,0.5127,0.4914
20.5,0.1212,0.6866,0.6674,0.7402,0.5983,0.6692,0.5065,0.6735,0.59,0.4521,0.4958,0.4739
20.6,0.1355,0.6734,0.6583,0.7182,0.5737,0.646,0.4923,0.664,0.5782,0.4372,0.4797,0.4585
20.7,0.1496,0.6598,0.6505,0.6983,0.549,0.6237,0.4792,0.6559,0.5675,0.426,0.4644,0.4452
20.8,0.1625,0.6461,0.6438,0.6808,0.5254,0.6031,0.4677,0.6495,0.5586,0.419,0.4496,0.4343
20.9,0.173,0.6322,0.6383,0.6655,0.5032,0.5844,0.458,0.6447,0.5514,0.4167,0.4357,0.4262
21,0.1809,0.6181,0.6341,0.6527,0.4823,0.5675,0.45,0.6417,0.5459,0.4188,0.4228,0.4208
21.1,0.1866,0.6038,0.6312,0.6424,0.4626,0.5525,0.4437,0.6403,0.542,0.4247,0.4109,0.4178
21.2,0.1915,0.5895,0.6294,0.6349,0.4438,0.5394,0.4386,0.6407,0.5397,0.4334,0.4003,0.4169
