Time,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7.9,0.1449,0.5507,0.3381,0.4772,0.2889,0.3831,0.416,0.3259,0.371,0.5107,0.4072,0.4589
8,0.1437,0.5496,0.3395,0.4773,0.2893,0.3833,0.4233,0.3248,0.3741,0.5229,0.4168,0.4699
8.1,0.1347,0.5455,0.3418,0.475,0.2889,0.3819,0.4306,0.3252,0.3779,0.5314,0.427,0.4792
8.2,0.1176,0.5383,0.3452,0.4706,0.2882,0.3794,0.4375,0.327,0.3822,0.5359,0.4369,0.4864
8.3,0.0923,0.5284,0.3495,0.465,0.2872,0.3761,0.4433,0.3305,0.3869,0.536,0.4459,0.4909
8.4,0.0599,0.5166,0.3547,0.4599,0.2862,0.373,0.4476,0.3356,0.3916,0.5317,0.4536,0.4927
8.5,0.0226,0.5041,0.3605,0.4568,0.2852,0.371,0.4498,0.342,0.3959,0.5232,0.4602,0.4917
8.6,-0.0174,0.4917,0.3671,0.4572,0.2849,0.371,0.4494,0.3492,0.3993,0.5109,0.4655,0.4882
8.7,-0.0591,0.4794,0.3745,0.4607,0.2858,0.3733,0.4452,0.3562,0.4007,0.4949,0.469,0.4819
8.8,-0.1026,0.467,0.382,0.4661,0.2881,0.3771,0.4361,0.362,0.3991,0.4754,0.4702,0.4728
8.9,-0.1479,0.4545,0.3889,0.4718,0.2916,0.3817,0.4216,0.3655,0.3936,0.4526,0.4688,0.4607
9,-0.1939,0.4424,0.3945,0.4771,0.296,0.3865,0.4023,0.3662,0.3842,0.4274,0.4647,0.446
9.1,-0.2387,0.4315,0.3983,0.4821,0.3017,0.3919,0.3799,0.3636,0.3717,0.4005,0.4581,0.4293
