Time,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC,EnergyAustralia - Brand 30 TVC
2.1,-0.0337,0.5884,0.4852,0.5242,0.4316,0.4779,0.6206,0.4738,0.5472,0.5842,0.6011,0.5927
2.2,-0.0545,0.5973,0.4956,0.5375,0.4275,0.4825,0.633,0.5078,0.5704,0.601,0.6015,0.6012
2.3,-0.0763,0.6082,0.5085,0.5524,0.4269,0.4896,0.6458,0.5399,0.5929,0.6172,0.6038,0.6105
2.4,-0.099,0.621,0.5244,0.5686,0.4308,0.4997,0.6595,0.5706,0.615,0.6332,0.6088,0.621
2.5,-0.1225,0.6352,0.5432,0.586,0.4403,0.5132,0.674,0.5999,0.637,0.649,0.6167,0.6329
2.6,-0.1472,0.6501,0.5645,0.6038,0.4557,0.5297,0.6893,0.6273,0.6583,0.6643,0.6276,0.6459
2.7,-0.1734,0.6646,0.5876,0.6216,0.4761,0.5488,0.7046,0.652,0.6783,0.6786,0.6411,0.6599
2.8,-0.2008,0.6777,0.6116,0.6385,0.5003,0.5694,0.7193,0.6734,0.6964,0.6913,0.6573,0.6743
2.9,-0.2291,0.688,0.6352,0.6535,0.5266,0.5901,0.733,0.6914,0.7122,0.7022,0.6757,0.6889
3,-0.2582,0.6952,0.6571,0.6659,0.5536,0.6098,0.7453,0.7059,0.7256,0.7106,0.696,0.7033
3.1,-0.2881,0.6994,0.6759,0.6756,0.5804,0.628,0.756,0.7161,0.7361,0.7161,0.7174,0.7167
3.2,-0.3184,0.701,0.6908,0.6829,0.6066,0.6448,0.7651,0.7215,0.7433,0.7181,0.7386,0.7283
3.3,-0.3488,0.7007,0.7011,0.6877,0.632,0.6598,0.7723,0.7219,0.7471,0.7161,0.7584,0.7373
3.4,-0.3781,0.6986,0.7072,0.689,0.6561,0.6726,0.7771,0.7175,0.7473,0.7099,0.7761,0.743
3.5,-0.4048,0.6943,0.7094,0.6853,0.6779,0.6816,0.7791,0.7085,0.7438,0.6997,0.791,0.7454
3.6,-0.4272,0.6875,0.7082,0.6755,0.6962,0.6859,0.7779,0.6955,0.7367,0.6857,0.8026,0.7442
3.7,-0.4438,0.6788,0.7042,0.6598,0.7101,0.685,0.7738,0.6791,0.7264,0.6687,0.8104,0.7396
3.8,-0.4535,0.6692,0.6977,0.6396,0.7199,0.6798,0.7673,0.6599,0.7136,0.6496,0.8139,0.7317
3.9,-0.4558,0.6601,0.6889,0.6168,0.726,0.6714,0.7592,0.6386,0.6989,0.6295,0.8131,0.7213
4,-0.4511,0.6521,0.6782,0.5927,0.7291,0.6609,0.7503,0.6167,0.6835,0.6099,0.8083,0.7091
4.1,-0.4398,0.6452,0.6662,0.5682,0.7296,0.6489,0.7409,0.5952,0.6681,0.5916,0.7998,0.6957
4.2,-0.4219,0.6388,0.6533,0.5436,0.7274,0.6355,0.7309,0.5752,0.6531,0.5753,0.788,0.6816
4.3,-0.397,0.6326,0.64,0.5196,0.7225,0.6211,0.7197,0.5577,0.6387,0.5611,0.7733,0.6672
4.4,-0.3652,0.6268,0.6265,0.4976,0.7153,0.6064,0.7071,0.5429,0.625,0.5491,0.7564,0.6528
4.5,-0.3274,0.6224,0.6129,0.4784,0.7059,0.5922,0.6934,0.5309,0.6122,0.5394,0.7379,0.6386
4.6,-0.285,0.6197,0.5992,0.463,0.695,0.579,0.6788,0.5214,0.6001,0.5319,0.7182,0.625
4.7,-0.2395,0.6188,0.5855,0.4515,0.6832,0.5674,0.6639,0.5141,0.589,0.5265,0.6979,0.6122
4.8,-0.1931,0.6193,0.5721,0.4442,0.671,0.5576,0.6493,0.5091,0.5792,0.5237,0.6777,0.6007
4.9,-0.1489,0.6204,0.5594,0.441,0.6594,0.5502,0.6356,0.5068,0.5712,0.5239,0.6588,0.5913
5,-0.1097,0.6214,0.548,0.4415,0.6489,0.5452,0.6236,0.508,0.5658,0.5279,0.6424,0.5852
5.1,-0.0779,0.6213,0.5384,0.4452,0.6396,0.5424,0.6132,0.5127,0.563,0.5363,0.6295,0.5829
5.2,-0.0542,0.6192,0.5306,0.4511,0.6312,0.5411,0.6042,0.5201,0.5622,0.549,0.6202,0.5846
5.3,-0.0377,0.6148,0.5243,0.4583,0.6229,0.5406,0.596,0.5291,0.5626,0.5654,0.6141,0.5898
5.4,-0.0273,0.6078,0.5195,0.4662,0.6146,0.5404,0.5886,0.5388,0.5637,0.5846,0.6109,0.5977
5.5,-0.0224,0.5986,0.5165,0.4743,0.6063,0.5403,0.5818,0.549,0.5654,0.6055,0.61,0.6077
5.6,-0.0234,0.5874,0.5156,0.4821,0.5984,0.5402,0.5756,0.5593,0.5674,0.627,0.6107,0.6188
5.7,-0.0303,0.5742,0.5168,0.4891,0.5909,0.54,0.5691,0.5691,0.5691,0.6481,0.6123,0.6302
5.8,-0.0421,0.559,0.5194,0.495,0.5835,0.5393,0.5613,0.5776,0.5695,0.6677,0.614,0.6408
5.9,-0.057,0.5418,0.5227,0.4997,0.5757,0.5377,0.5519,0.5842,0.5681,0.6845,0.615,0.6498
6,-0.0737,0.523,0.526,0.5031,0.5669,0.535,0.5409,0.5884,0.5646,0.6977,0.6149,0.6563
6.1,-0.0916,0.5031,0.5284,0.5052,0.5569,0.531,0.5288,0.59,0.5594,0.7069,0.613,0.66
6.2,-0.1104,0.4826,0.5294,0.5063,0.5459,0.5261,0.5163,0.5893,0.5528,0.712,0.6092,0.6606
6.3,-0.1298,0.462,0.5289,0.5072,0.5347,0.5209,0.504,0.5868,0.5454,0.7134,0.6032,0.6583
6.4,-0.1491,0.4423,0.527,0.5091,0.5238,0.5164,0.4925,0.5829,0.5377,0.7109,0.5943,0.6526
6.5,-0.1673,0.4243,0.524,0.5131,0.5136,0.5134,0.4823,0.5781,0.5302,0.7046,0.5824,0.6435
6.6,-0.1841,0.4085,0.5203,0.5198,0.5039,0.5118,0.4735,0.5729,0.5232,0.6944,0.5673,0.6309
6.7,-0.1998,0.395,0.5162,0.5291,0.494,0.5116,0.4665,0.5678,0.5171,0.6807,0.5495,0.6151
6.8,-0.2145,0.3836,0.5117,0.5407,0.4839,0.5123,0.4612,0.5632,0.5122,0.6643,0.5299,0.5971
6.9,-0.2283,0.3746,0.507,0.5551,0.4735,0.5143,0.4582,0.5596,0.5089,0.6457,0.5091,0.5774
7,-0.2411,0.3683,0.5019,0.5726,0.4637,0.5181,0.4578,0.5577,0.5078,0.6258,0.4881,0.5569
7.1,-0.2525,0.3658,0.4968,0.5934,0.4553,0.5244,0.4604,0.5577,0.5091,0.6053,0.4678,0.5366
7.2,-0.2622,0.3675,0.4924,0.6171,0.449,0.533,0.4659,0.56,0.5129,0.5852,0.4493,0.5172
7.3,-0.2701,0.373,0.4893,0.642,0.4449,0.5434,0.474,0.565,0.5195,0.5657,0.4334,0.4996
7.4,-0.2757,0.3813,0.4884,0.6664,0.4428,0.5546,0.4844,0.5727,0.5286,0.5468,0.4213,0.484
7.5,-0.2783,0.3913,0.4899,0.6887,0.4426,0.5656,0.497,0.5831,0.54,0.5285,0.4132,0.4709
7.6,-0.2774,0.4023,0.4936,0.7075,0.4438,0.5757,0.5117,0.5958,0.5537,0.5112,0.4095,0.4603
7.7,-0.2729,0.4139,0.4987,0.722,0.446,0.584,0.5287,0.6101,0.5694,0.4956,0.4102,0.4529
7.8,-0.2647,0.426,0.5043,0.7317,0.449,0.5904,0.5483,0.6258,0.5871,0.4823,0.4154,0.4489
7.9,-0.2529,0.4381,0.5098,0.7363,0.4527,0.5945,0.5704,0.6423,0.6064,0.4718,0.4251,0.4484
8,-0.2379,0.4496,0.5149,0.7358,0.4571,0.5965,0.595,0.659,0.627,0.464,0.4392,0.4516
8.1,-0.2204,0.4602,0.5196,0.7303,0.4626,0.5965,0.6213,0.6754,0.6483,0.4591,0.4577,0.4584
8.2,-0.2019,0.47,0.5241,0.7203,0.4693,0.5948,0.6482,0.691,0.6696,0.4575,0.4807,0.4691
8.3,-0.1829,0.4791,0.528,0.7063,0.4767,0.5915,0.6743,0.7049,0.6896,0.4591,0.508,0.4836
8.4,-0.163,0.4872,0.531,0.6888,0.4841,0.5864,0.6983,0.7167,0.7075,0.4632,0.5385,0.5009
8.5,-0.1409,0.494,0.533,0.6684,0.4903,0.5794,0.7192,0.7253,0.7222,0.4685,0.5704,0.5195
8.6,-0.1151,0.4997,0.534,0.6462,0.4949,0.5706,0.7361,0.7298,0.7329,0.4735,0.6015,0.5375
8.7,-0.0849,0.5051,0.5341,0.6233,0.498,0.5606,0.7489,0.7296,0.7393,0.4769,0.6299,0.5534
8.8,-0.0511,0.5109,0.533,0.6008,0.5001,0.5504,0.7576,0.725,0.7413,0.4779,0.6542,0.5661
8.9,-0.0147,0.5177,0.5302,0.5805,0.5016,0.541,0.7621,0.7161,0.7391,0.4761,0.6735,0.5748
9,0.0238,0.5256,0.5251,0.5638,0.5025,0.5332,0.7628,0.7032,0.733,0.4712,0.687,0.5791
9.1,0.0648,0.5347,0.517,0.5519,0.5028,0.5273,0.76,0.6864,0.7232,0.4631,0.6943,0.5787
9.2,0.1085,0.5452,0.5059,0.5451,0.5022,0.5237,0.7543,0.666,0.7102,0.4522,0.6955,0.5739
9.3,0.1536,0.5571,0.4918,0.5435,0.5013,0.5224,0.746,0.6426,0.6943,0.4393,0.6912,0.5652
9.4,0.1977,0.5704,0.475,0.5463,0.5008,0.5235,0.7354,0.6172,0.6763,0.4254,0.6817,0.5535
9.5,0.2388,0.5845,0.4558,0.553,0.5008,0.5269,0.7226,0.5909,0.6568,0.411,0.6674,0.5392
9.6,0.276,0.5983,0.4348,0.5625,0.5012,0.5318,0.7075,0.5649,0.6362,0.3967,0.6492,0.523
9.7,0.3102,0.6107,0.4126,0.5735,0.5008,0.5371,0.6903,0.5397,0.615,0.3833,0.6283,0.5058
9.8,0.3432,0.6205,0.3897,0.5841,0.4986,0.5413,0.6711,0.5156,0.5933,0.3715,0.6062,0.4888
9.9,0.3759,0.6267,0.3672,0.5922,0.494,0.5431,0.6498,0.4927,0.5713,0.3621,0.5843,0.4732
10,0.4081,0.6283,0.3459,0.5961,0.4871,0.5416,0.6266,0.4712,0.5489,0.3553,0.5636,0.4595
10.1,0.4394,0.6251,0.3272,0.5947,0.4787,0.5367,0.6017,0.4515,0.5266,0.351,0.5447,0.4478
10.2,0.4693,0.6169,0.3118,0.5878,0.4695,0.5287,0.576,0.4341,0.505,0.3489,0.5278,0.4383
10.3,0.4978,0.6037,0.3002,0.5752,0.4598,0.5175,0.5501,0.4195,0.4848,0.3493,0.5134,0.4313
10.4,0.5253,0.5855,0.2925,0.5568,0.4494,0.5031,0.5249,0.408,0.4664,0.3524,0.5018,0.4271
10.5,0.5521,0.5616,0.2889,0.5328,0.4377,0.4852,0.5005,0.3997,0.4501,0.3584,0.4928,0.4256
10.6,0.5776,0.5319,0.2894,0.5039,0.4249,0.4644,0.4773,0.3942,0.4358,0.3663,0.4858,0.4261
10.7,0.6002,0.4972,0.2933,0.4716,0.4118,0.4417,0.4555,0.3911,0.4233,0.3752,0.4795,0.4274
10.8,0.6176,0.459,0.2998,0.4376,0.3996,0.4186,0.4358,0.3898,0.4128,0.3845,0.4729,0.4287
10.9,0.6281,0.4203,0.3081,0.4042,0.3892,0.3967,0.419,0.3903,0.4047,0.3943,0.4657,0.43
11,0.6314,0.3839,0.3176,0.3738,0.3816,0.3777,0.4057,0.3926,0.3991,0.4049,0.4585,0.4317
11.1,0.6274,0.3524,0.3282,0.3486,0.3772,0.3629,0.3961,0.397,0.3966,0.4166,0.4518,0.4342
11.2,0.6158,0.3272,0.3401,0.3307,0.3766,0.3537,0.3904,0.4035,0.3969,0.4292,0.446,0.4376
11.3,0.596,0.3097,0.3532,0.3216,0.3807,0.3511,0.3885,0.4118,0.4002,0.4422,0.4412,0.4417
11.4,0.5675,0.3007,0.3676,0.3216,0.3899,0.3557,0.3908,0.4223,0.4066,0.4555,0.4378,0.4466
11.5,0.5313,0.3007,0.3832,0.3306,0.4044,0.3675,0.3976,0.4351,0.4163,0.4689,0.4359,0.4524
11.6,0.4898,0.309,0.3998,0.3482,0.4236,0.3859,0.4089,0.4498,0.4293,0.4823,0.4357,0.459
11.7,0.4467,0.3245,0.4166,0.3736,0.4464,0.41,0.4242,0.4657,0.445,0.4947,0.4366,0.4656
11.8,0.4046,0.3458,0.4324,0.4059,0.472,0.439,0.4427,0.4814,0.4621,0.5052,0.4378,0.4715
11.9,0.3652,0.3722,0.4464,0.444,0.5,0.472,0.4635,0.4958,0.4797,0.5132,0.4386,0.4759
12,0.3287,0.4031,0.4581,0.4861,0.5303,0.5082,0.4862,0.5083,0.4972,0.519,0.4388,0.4789
12.1,0.2952,0.4376,0.4673,0.5305,0.5623,0.5464,0.5103,0.5189,0.5146,0.523,0.4388,0.4809
12.2,0.2647,0.4743,0.4741,0.5753,0.5949,0.5851,0.5354,0.5276,0.5315,0.5256,0.4389,0.4823
12.3,0.238,0.5123,0.4785,0.6191,0.6268,0.623,0.5609,0.5344,0.5477,0.5269,0.4395,0.4832
12.4,0.2156,0.5505,0.4805,0.6603,0.6568,0.6585,0.5859,0.5392,0.5625,0.5263,0.4403,0.4833
12.5,0.1978,0.588,0.4799,0.6972,0.6839,0.6905,0.6092,0.5419,0.5756,0.5238,0.4413,0.4825
12.6,0.1841,0.6235,0.4769,0.7284,0.7075,0.718,0.6299,0.5432,0.5866,0.519,0.4424,0.4807
12.7,0.1737,0.6559,0.4715,0.7536,0.7273,0.7404,0.6472,0.5439,0.5955,0.5122,0.4433,0.4778
12.8,0.1662,0.6846,0.4641,0.7731,0.7429,0.758,0.6602,0.5449,0.6026,0.5035,0.4439,0.4737
12.9,0.1615,0.7091,0.4553,0.7873,0.7539,0.7706,0.6687,0.5469,0.6078,0.4932,0.4439,0.4685
13,0.1597,0.7292,0.446,0.7966,0.7602,0.7784,0.6724,0.55,0.6112,0.4816,0.4435,0.4625
13.1,0.1604,0.7449,0.4371,0.8009,0.762,0.7815,0.6714,0.5545,0.6129,0.4688,0.4428,0.4558
13.2,0.1625,0.756,0.4299,0.8006,0.76,0.7803,0.6659,0.5606,0.6133,0.4552,0.4417,0.4484
13.3,0.1642,0.763,0.4249,0.7964,0.7547,0.7755,0.6568,0.5692,0.613,0.4407,0.4397,0.4402
13.4,0.1637,0.7662,0.4225,0.7889,0.7466,0.7677,0.6452,0.5806,0.6129,0.426,0.4367,0.4314
13.5,0.1595,0.766,0.423,0.7786,0.7357,0.7572,0.6326,0.5949,0.6138,0.4121,0.4333,0.4227
13.6,0.1511,0.7627,0.4263,0.7655,0.7223,0.7439,0.6199,0.6117,0.6158,0.3999,0.43,0.4149
13.7,0.1384,0.7567,0.4327,0.7491,0.7066,0.7278,0.6074,0.6294,0.6184,0.39,0.4273,0.4087
13.8,0.1213,0.7485,0.4413,0.7292,0.6892,0.7092,0.5945,0.6467,0.6206,0.3823,0.4251,0.4037
13.9,0.1001,0.7387,0.4513,0.7062,0.6708,0.6885,0.5812,0.6621,0.6216,0.3761,0.4231,0.3996
14,0.0753,0.7284,0.4619,0.6808,0.6523,0.6665,0.568,0.6749,0.6214,0.371,0.4214,0.3962
14.1,0.0473,0.7185,0.4724,0.6534,0.6342,0.6438,0.5558,0.6849,0.6203,0.3673,0.4207,0.394
14.2,0.0165,0.7098,0.4832,0.6247,0.6172,0.621,0.5456,0.6926,0.6191,0.3657,0.4221,0.3939
14.3,-0.017,0.7027,0.4946,0.5955,0.602,0.5988,0.5378,0.6986,0.6182,0.3669,0.4261,0.3965
14.4,-0.0522,0.6976,0.5068,0.5667,0.589,0.5779,0.5326,0.7037,0.6181,0.3708,0.4325,0.4017
14.5,-0.0886,0.6944,0.5198,0.539,0.579,0.559,0.53,0.708,0.619,0.3768,0.4405,0.4087
14.6,-0.1247,0.6932,0.5336,0.5133,0.5722,0.5428,0.5297,0.7112,0.6204,0.3837,0.449,0.4164
14.7,-0.1587,0.6938,0.5473,0.4903,0.5693,0.5298,0.5314,0.7122,0.6218,0.39,0.4568,0.4234
14.8,-0.1884,0.6962,0.5598,0.4705,0.5703,0.5204,0.5345,0.7105,0.6225,0.3949,0.4631,0.429
14.9,-0.2119,0.7005,0.57,0.4548,0.5752,0.515,0.5388,0.7052,0.622,0.398,0.4675,0.4327
15,-0.2281,0.7066,0.5773,0.4442,0.5836,0.5139,0.5445,0.6962,0.6203,0.3992,0.4701,0.4347
15.1,-0.2368,0.7144,0.5817,0.4397,0.5951,0.5174,0.552,0.6838,0.6179,0.399,0.4713,0.4351
15.2,-0.2389,0.723,0.5844,0.4415,0.6091,0.5253,0.5618,0.6691,0.6155,0.3975,0.4716,0.4346
15.3,-0.2352,0.732,0.5866,0.4492,0.6246,0.5369,0.5744,0.6531,0.6137,0.395,0.4712,0.4331
15.4,-0.2263,0.7408,0.5888,0.4622,0.6402,0.5512,0.5891,0.6369,0.613,0.3914,0.4704,0.4309
15.5,-0.2118,0.7492,0.591,0.4799,0.6543,0.5671,0.6053,0.621,0.6131,0.3864,0.4696,0.428
15.6,-0.1915,0.7569,0.5931,0.5018,0.6656,0.5837,0.6217,0.6056,0.6136,0.3803,0.4688,0.4245
15.7,-0.1654,0.7632,0.5949,0.5269,0.6735,0.6002,0.6375,0.5914,0.6145,0.3732,0.468,0.4206
15.8,-0.1344,0.7672,0.5963,0.5533,0.6781,0.6157,0.6521,0.5792,0.6157,0.3659,0.4675,0.4167
15.9,-0.1,0.7674,0.5976,0.5798,0.6795,0.6297,0.6649,0.5701,0.6175,0.3592,0.4675,0.4134
16,-0.0634,0.7635,0.5992,0.6051,0.678,0.6415,0.6755,0.5645,0.62,0.3536,0.4684,0.411
16.1,-0.0259,0.7553,0.6016,0.6288,0.6733,0.651,0.6835,0.5627,0.6231,0.35,0.4704,0.4102
16.2,0.0117,0.7431,0.6049,0.6501,0.6654,0.6578,0.6887,0.5637,0.6262,0.3486,0.4736,0.4111
16.3,0.0488,0.7267,0.6085,0.6681,0.6548,0.6614,0.6914,0.5662,0.6288,0.3496,0.4777,0.4136
16.4,0.0843,0.7062,0.6117,0.6813,0.6415,0.6614,0.6916,0.5689,0.6302,0.3529,0.4822,0.4175
16.5,0.1166,0.6817,0.6137,0.6891,0.6257,0.6574,0.6895,0.5708,0.6301,0.3585,0.4867,0.4226
16.6,0.1444,0.6539,0.6144,0.6912,0.607,0.6491,0.6848,0.5712,0.628,0.3666,0.491,0.4288
16.7,0.1663,0.6235,0.6139,0.6873,0.5852,0.6363,0.6775,0.5694,0.6235,0.3772,0.4951,0.4361
16.8,0.1821,0.5914,0.612,0.6773,0.5605,0.6189,0.6676,0.5648,0.6162,0.3902,0.4989,0.4446
16.9,0.1918,0.5587,0.609,0.6615,0.5336,0.5975,0.6553,0.5572,0.6062,0.4055,0.5026,0.454
17,0.1961,0.5263,0.6051,0.6407,0.5055,0.5731,0.6407,0.5466,0.5937,0.4223,0.5058,0.464
17.1,0.1959,0.4951,0.6002,0.6163,0.4768,0.5465,0.6242,0.5336,0.5789,0.4397,0.5079,0.4738
17.2,0.1923,0.4655,0.5944,0.5894,0.4475,0.5185,0.6065,0.5188,0.5626,0.4569,0.5086,0.4827
17.3,0.1863,0.438,0.5879,0.5612,0.4182,0.4897,0.5884,0.5029,0.5456,0.4733,0.5075,0.4904
17.4,0.1783,0.4128,0.5814,0.5326,0.39,0.4613,0.5705,0.4865,0.5285,0.4886,0.5049,0.4967
17.5,0.1685,0.3905,0.5755,0.5047,0.3643,0.4345,0.5533,0.4703,0.5118,0.5027,0.5008,0.5017
17.6,0.157,0.3712,0.5706,0.4787,0.3422,0.4104,0.5368,0.4549,0.4958,0.5151,0.4954,0.5052
17.7,0.144,0.3549,0.5667,0.455,0.3241,0.3896,0.5215,0.4408,0.4811,0.5253,0.4885,0.5069
17.8,0.1296,0.3413,0.5635,0.4337,0.3097,0.3717,0.5073,0.4282,0.4677,0.5331,0.4802,0.5066
17.9,0.1135,0.33,0.5606,0.4143,0.2989,0.3566,0.4941,0.4169,0.4555,0.5379,0.4706,0.5043
18,0.0952,0.3209,0.5573,0.3969,0.2917,0.3443,0.4819,0.4065,0.4442,0.5397,0.46,0.4998
18.1,0.0741,0.3144,0.5533,0.3818,0.2883,0.335,0.4708,0.3972,0.434,0.5386,0.4486,0.4936
18.2,0.0495,0.3107,0.5485,0.3689,0.2884,0.3287,0.4611,0.3892,0.4251,0.5352,0.437,0.4861
18.3,0.021,0.3099,0.5431,0.3585,0.292,0.3252,0.4536,0.3832,0.4184,0.5304,0.4258,0.4781
18.4,-0.0115,0.3119,0.5378,0.3501,0.2988,0.3244,0.4483,0.3798,0.4141,0.5247,0.4155,0.4701
18.5,-0.048,0.3163,0.5327,0.3435,0.3084,0.326,0.4452,0.3794,0.4123,0.5186,0.4063,0.4624
18.6,-0.0885,0.3229,0.5279,0.3385,0.3205,0.3295,0.4442,0.3818,0.413,0.5121,0.3985,0.4553
18.7,-0.1325,0.3315,0.5228,0.3348,0.334,0.3344,0.4451,0.3869,0.416,0.5053,0.392,0.4486
18.8,-0.179,0.3415,0.517,0.3325,0.348,0.3402,0.4483,0.3944,0.4213,0.4982,0.3869,0.4426
18.9,-0.2265,0.3526,0.5105,0.3313,0.3622,0.3468,0.4541,0.4036,0.4289,0.491,0.3831,0.4371
19,-0.2734,0.3641,0.5037,0.3313,0.3769,0.3541,0.4627,0.4143,0.4385,0.4838,0.3807,0.4322
19.1,-0.3187,0.3756,0.4972,0.3324,0.3922,0.3623,0.474,0.426,0.45,0.4764,0.3796,0.428
19.2,-0.3615,0.3868,0.4913,0.3344,0.4077,0.3711,0.4876,0.438,0.4628,0.4685,0.3797,0.4241
19.3,-0.4011,0.3979,0.4861,0.3374,0.4229,0.3802,0.5028,0.4492,0.476,0.4598,0.3806,0.4202
19.4,-0.4367,0.4095,0.4812,0.3415,0.4375,0.3895,0.5184,0.4584,0.4884,0.45,0.3818,0.4159
19.5,-0.4668,0.4219,0.4763,0.3467,0.451,0.3988,0.5334,0.4644,0.4989,0.4386,0.3825,0.4106
19.6,-0.4897,0.4353,0.4703,0.3528,0.4633,0.408,0.5469,0.4662,0.5066,0.4257,0.3822,0.404
19.7,-0.5043,0.4495,0.4625,0.3593,0.4739,0.4166,0.5577,0.4634,0.5106,0.4112,0.3804,0.3958
19.8,-0.51,0.4643,0.4525,0.3659,0.4823,0.4241,0.5647,0.4558,0.5103,0.3951,0.377,0.386
19.9,-0.5069,0.4798,0.4407,0.3722,0.488,0.4301,0.5674,0.4439,0.5056,0.3773,0.372,0.3747
20,-0.4953,0.4963,0.4278,0.3787,0.4911,0.4349,0.5658,0.4283,0.4971,0.3581,0.3653,0.3617
20.1,-0.476,0.5142,0.4142,0.3864,0.4929,0.4397,0.5606,0.4103,0.4854,0.3377,0.357,0.3474
20.2,-0.45,0.5335,0.3999,0.3965,0.4947,0.4456,0.553,0.3908,0.4719,0.317,0.3473,0.3322
20.3,-0.4198,0.5538,0.3851,0.4092,0.4974,0.4533,0.5438,0.3709,0.4573,0.2968,0.3364,0.3166
20.4,-0.3882,0.5745,0.3698,0.424,0.5017,0.4629,0.5332,0.3516,0.4424,0.2777,0.3246,0.3011
20.5,-0.3577,0.5945,0.3541,0.44,0.5076,0.4738,0.5209,0.3334,0.4271,0.2599,0.3119,0.2859
20.6,-0.33,0.6131,0.3381,0.4561,0.5147,0.4854,0.5067,0.3167,0.4117,0.2437,0.2989,0.2713
20.7,-0.3055,0.6298,0.3221,0.4718,0.5228,0.4973,0.4909,0.3021,0.3965,0.2295,0.286,0.2577
20.8,-0.2846,0.6442,0.3065,0.4866,0.5315,0.5091,0.474,0.2899,0.3819,0.2173,0.2735,0.2454
20.9,-0.2677,0.6565,0.2921,0.5001,0.5408,0.5205,0.4564,0.2808,0.3686,0.2073,0.2619,0.2346
21,-0.2556,0.6667,0.2795,0.5113,0.5502,0.5308,0.4385,0.2752,0.3569,0.1998,0.2511,0.2254
21.1,-0.2487,0.6748,0.2694,0.5195,0.5593,0.5394,0.4202,0.2728,0.3465,0.1948,0.2412,0.218
