Time,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 2
13.2,-0.1808,0.5443,0.5537,0.5533,0.7313,0.6423,0.6394,0.438,0.5387,0.7363,0.5123,0.6243
13.3,-0.1947,0.5277,0.5631,0.537,0.7227,0.6298,0.6361,0.4371,0.5366,0.7272,0.5223,0.6248
13.4,-0.2132,0.5098,0.5695,0.5186,0.7132,0.6159,0.628,0.4358,0.5319,0.7155,0.5296,0.6226
13.5,-0.2354,0.4923,0.5733,0.4987,0.7033,0.601,0.6149,0.4338,0.5244,0.701,0.5335,0.6173
13.6,-0.2593,0.4763,0.575,0.4781,0.6926,0.5854,0.5971,0.4311,0.5141,0.6837,0.5339,0.6088
13.7,-0.2834,0.4625,0.5751,0.4576,0.6806,0.5691,0.575,0.4277,0.5013,0.6637,0.5313,0.5975
13.8,-0.3063,0.451,0.5732,0.4377,0.6675,0.5526,0.5493,0.4233,0.4863,0.6414,0.5258,0.5836
13.9,-0.3272,0.4422,0.5689,0.4195,0.6539,0.5367,0.5209,0.4177,0.4693,0.6169,0.5176,0.5673
14,-0.3455,0.4362,0.5617,0.4034,0.6403,0.5218,0.4905,0.4106,0.4506,0.5907,0.5064,0.5486
14.1,-0.3609,0.433,0.5512,0.3895,0.6267,0.5081,0.4589,0.4025,0.4307,0.5632,0.4924,0.5278
14.2,-0.3739,0.4319,0.5372,0.3774,0.6128,0.4951,0.4265,0.3934,0.41,0.5354,0.4757,0.5056
14.3,-0.3861,0.4324,0.5198,0.3658,0.5983,0.482,0.3934,0.3834,0.3884,0.508,0.4569,0.4824
14.4,-0.3988,0.4338,0.4996,0.3535,0.5823,0.4679,0.3595,0.3718,0.3657,0.4816,0.4365,0.459
14.5,-0.4119,0.4355,0.4773,0.34,0.5639,0.4519,0.3249,0.358,0.3414,0.4564,0.4152,0.4358
14.6,-0.4238,0.437,0.454,0.3254,0.5422,0.4338,0.2899,0.3417,0.3158,0.4325,0.3936,0.4131
14.7,-0.4332,0.4381,0.4302,0.3102,0.5172,0.4137,0.2553,0.3234,0.2893,0.4102,0.3727,0.3915
14.8,-0.4404,0.4387,0.4065,0.2947,0.4899,0.3923,0.2228,0.3039,0.2633,0.3902,0.3534,0.3718
14.9,-0.4472,0.4389,0.3836,0.2788,0.4621,0.3705,0.1943,0.2842,0.2393,0.3734,0.3368,0.3551
