Time,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC,SquareSpace 15 TVC
8.1,-0.5484,0.6362,0.4533,0.6973,0.7622,0.7297,0.4595,0.5364,0.4979,0.4214,0.4748,0.4481
8.2,-0.5618,0.6253,0.4377,0.6863,0.74,0.7131,0.4782,0.5266,0.5024,0.4285,0.4639,0.4462
8.3,-0.568,0.6155,0.4242,0.6771,0.718,0.6975,0.4986,0.5146,0.5066,0.4362,0.4563,0.4462
8.4,-0.5678,0.6069,0.4135,0.6695,0.6974,0.6834,0.5193,0.5011,0.5102,0.4436,0.452,0.4478
8.5,-0.5628,0.5993,0.4061,0.6639,0.6786,0.6713,0.5394,0.4872,0.5133,0.4496,0.4515,0.4505
8.6,-0.5549,0.5929,0.4028,0.6612,0.6626,0.6619,0.5575,0.4743,0.5159,0.4539,0.4546,0.4543
8.7,-0.5453,0.5881,0.4042,0.6626,0.6508,0.6567,0.5726,0.4637,0.5181,0.4565,0.461,0.4587
8.8,-0.5348,0.5854,0.4107,0.6688,0.6448,0.6568,0.5839,0.4563,0.5201,0.4574,0.4699,0.4637
8.9,-0.5237,0.5847,0.4222,0.6794,0.645,0.6622,0.5912,0.4524,0.5218,0.4569,0.4807,0.4688
9,-0.5128,0.5854,0.4382,0.6929,0.6506,0.6718,0.5941,0.4517,0.5229,0.4552,0.493,0.4741
9.1,-0.5029,0.587,0.4576,0.7074,0.6602,0.6838,0.5922,0.4536,0.5229,0.4528,0.5065,0.4796
9.2,-0.4946,0.589,0.4794,0.7215,0.6723,0.6969,0.5853,0.4575,0.5214,0.4503,0.5213,0.4858
9.3,-0.488,0.5913,0.5027,0.7344,0.686,0.7102,0.574,0.4628,0.5184,0.4488,0.5371,0.4929
9.4,-0.4832,0.594,0.5262,0.7455,0.7005,0.723,0.5599,0.4694,0.5146,0.4488,0.5534,0.5011
9.5,-0.4803,0.5972,0.5486,0.7543,0.7151,0.7347,0.5452,0.4775,0.5114,0.4511,0.5694,0.5102
9.6,-0.4802,0.6012,0.5684,0.7603,0.7288,0.7446,0.5323,0.4873,0.5098,0.4562,0.5846,0.5204
9.7,-0.484,0.6061,0.5844,0.7629,0.7411,0.752,0.5235,0.4985,0.511,0.4647,0.5993,0.532
9.8,-0.4925,0.6118,0.5958,0.762,0.7516,0.7568,0.52,0.5095,0.5148,0.4765,0.6132,0.5448
9.9,-0.5057,0.6179,0.6016,0.7573,0.76,0.7586,0.5221,0.5185,0.5203,0.4908,0.6258,0.5583
10,-0.5227,0.6233,0.6014,0.7487,0.7653,0.757,0.5289,0.5231,0.526,0.5064,0.6359,0.5712
10.1,-0.542,0.6268,0.5946,0.7359,0.7663,0.7511,0.5385,0.5218,0.5301,0.5222,0.6431,0.5826
10.2,-0.5622,0.6279,0.5812,0.719,0.7621,0.7406,0.55,0.514,0.532,0.5375,0.6474,0.5925
10.3,-0.5822,0.6265,0.562,0.6988,0.7528,0.7258,0.5629,0.4999,0.5314,0.5522,0.6495,0.6008
10.4,-0.6005,0.623,0.5385,0.6761,0.7389,0.7075,0.5778,0.4799,0.5288,0.566,0.6499,0.608
10.5,-0.6154,0.6172,0.5117,0.6521,0.7205,0.6863,0.5944,0.4548,0.5246,0.5784,0.6492,0.6138
10.6,-0.6246,0.609,0.4828,0.6277,0.6979,0.6628,0.6121,0.4258,0.5189,0.5891,0.6474,0.6183
10.7,-0.6266,0.5984,0.4529,0.6037,0.6716,0.6376,0.6299,0.3949,0.5124,0.5981,0.6455,0.6218
10.8,-0.6209,0.5857,0.4233,0.5812,0.6421,0.6116,0.6466,0.3642,0.5054,0.6059,0.6443,0.6251
10.9,-0.607,0.5718,0.3951,0.5606,0.6104,0.5855,0.661,0.3355,0.4983,0.6128,0.6447,0.6287
11,-0.5853,0.5569,0.3693,0.5418,0.5773,0.5596,0.6718,0.3092,0.4905,0.6195,0.6471,0.6333
11.1,-0.5567,0.5413,0.3461,0.5241,0.5439,0.534,0.6778,0.2853,0.4816,0.6262,0.6514,0.6388
11.2,-0.5226,0.5248,0.3256,0.5066,0.5113,0.5089,0.6786,0.2637,0.4711,0.633,0.657,0.645
11.3,-0.4844,0.5073,0.3078,0.4887,0.4806,0.4846,0.6748,0.2445,0.4596,0.6398,0.663,0.6514
11.4,-0.4436,0.4892,0.2929,0.4703,0.4526,0.4614,0.6678,0.2281,0.4479,0.6466,0.6692,0.6579
11.5,-0.401,0.471,0.2819,0.4519,0.4275,0.4397,0.6592,0.2147,0.4369,0.6534,0.6756,0.6645
11.6,-0.3572,0.4533,0.2753,0.4343,0.4059,0.4201,0.6503,0.2043,0.4273,0.6598,0.6822,0.671
11.7,-0.3128,0.4366,0.274,0.4184,0.3879,0.4031,0.6415,0.1965,0.419,0.6649,0.6889,0.6769
11.8,-0.2686,0.4215,0.2782,0.4046,0.3736,0.3891,0.6327,0.1913,0.412,0.6683,0.6952,0.6817
11.9,-0.2255,0.4088,0.288,0.3935,0.3627,0.3781,0.6242,0.189,0.4066,0.6698,0.7006,0.6852
12,-0.1846,0.399,0.3029,0.3848,0.3552,0.37,0.6163,0.1896,0.403,0.6698,0.7049,0.6873
12.1,-0.1463,0.3922,0.3222,0.3786,0.3513,0.365,0.6097,0.1932,0.4014,0.6684,0.708,0.6882
12.2,-0.1111,0.3878,0.345,0.3745,0.351,0.3627,0.6046,0.1994,0.402,0.6655,0.7106,0.6881
12.3,-0.0798,0.3853,0.3705,0.372,0.3539,0.3629,0.601,0.2081,0.4045,0.6606,0.7129,0.6868
12.4,-0.0531,0.384,0.3977,0.371,0.3588,0.3649,0.5984,0.2188,0.4086,0.6534,0.7148,0.6841
12.5,-0.0316,0.3837,0.4262,0.3708,0.365,0.3679,0.597,0.2316,0.4143,0.6438,0.7161,0.68
12.6,-0.0156,0.3844,0.4561,0.3711,0.3718,0.3715,0.5967,0.2464,0.4216,0.6322,0.7166,0.6744
12.7,-0.0051,0.386,0.4869,0.3715,0.3784,0.375,0.598,0.263,0.4305,0.6186,0.7156,0.6671
12.8,0.0009,0.3884,0.5182,0.372,0.3841,0.378,0.6009,0.2808,0.4409,0.603,0.712,0.6575
12.9,0.0037,0.3913,0.5492,0.3732,0.3878,0.3805,0.605,0.299,0.452,0.5854,0.7051,0.6453
13,0.0045,0.3944,0.5792,0.3759,0.3886,0.3823,0.6097,0.3168,0.4633,0.5666,0.6948,0.6307
13.1,0.0046,0.397,0.6081,0.3807,0.3862,0.3834,0.6142,0.333,0.4736,0.547,0.6818,0.6144
13.2,0.0046,0.399,0.6352,0.3875,0.3807,0.3841,0.6175,0.3463,0.4819,0.5272,0.6668,0.597
13.3,0.0041,0.4002,0.66,0.3962,0.3728,0.3845,0.6188,0.3559,0.4874,0.5073,0.6502,0.5787
13.4,0.0033,0.4007,0.6819,0.4061,0.3631,0.3846,0.6176,0.3621,0.4898,0.4878,0.6326,0.5602
13.5,0.0021,0.4003,0.7003,0.4168,0.3516,0.3842,0.6138,0.3652,0.4895,0.4696,0.6149,0.5422
13.6,0.0014,0.399,0.7148,0.4278,0.3385,0.3831,0.608,0.3658,0.4869,0.4539,0.5981,0.526
13.7,0.0023,0.3962,0.7248,0.4385,0.3235,0.381,0.6005,0.3637,0.4821,0.4415,0.583,0.5122
13.8,0.006,0.3916,0.7295,0.4482,0.3066,0.3774,0.5916,0.3586,0.4751,0.432,0.5693,0.5007
13.9,0.0129,0.3852,0.7275,0.4561,0.288,0.372,0.581,0.3504,0.4657,0.4251,0.5565,0.4908
14,0.0221,0.3773,0.7183,0.4614,0.268,0.3647,0.5686,0.3397,0.4541,0.4202,0.544,0.4821
14.1,0.0328,0.368,0.7024,0.4639,0.2476,0.3557,0.5545,0.3273,0.4409,0.4177,0.5325,0.4751
14.2,0.0436,0.3578,0.6809,0.4633,0.2278,0.3456,0.5389,0.3137,0.4263,0.4178,0.5223,0.47
14.3,0.0528,0.3469,0.6554,0.4592,0.21,0.3346,0.522,0.2988,0.4104,0.4203,0.5135,0.4669
14.4,0.0589,0.3353,0.627,0.4509,0.1953,0.3231,0.5045,0.2825,0.3935,0.4249,0.5061,0.4655
14.5,0.0607,0.323,0.597,0.4381,0.1841,0.3111,0.487,0.2652,0.3761,0.431,0.4996,0.4653
14.6,0.058,0.3102,0.5669,0.4214,0.176,0.2987,0.4698,0.2477,0.3588,0.4383,0.4945,0.4664
14.7,0.0512,0.2975,0.5384,0.4024,0.1708,0.2866,0.4535,0.231,0.3423,0.4466,0.4918,0.4692
14.8,0.0405,0.286,0.5131,0.3833,0.1688,0.276,0.4385,0.2157,0.3271,0.456,0.4919,0.474
14.9,0.0255,0.2771,0.4918,0.3658,0.1708,0.2683,0.4248,0.2021,0.3135,0.4659,0.4943,0.4801
