Time,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7.5,0.1174,0.5478,0.4684,0.8686,0.6408,0.7547,0.6915,0.5179,0.6047,0.4116,0.5828,0.4972
7.6,0.1235,0.5579,0.4676,0.8944,0.6293,0.7619,0.6907,0.503,0.5969,0.4015,0.5658,0.4836
7.7,0.1264,0.5684,0.4718,0.9179,0.6185,0.7682,0.6925,0.4889,0.5907,0.3948,0.5499,0.4724
7.8,0.1271,0.5797,0.4818,0.9391,0.6091,0.7741,0.6973,0.4762,0.5868,0.3926,0.5363,0.4645
7.9,0.1277,0.5912,0.4973,0.9578,0.6011,0.7794,0.7058,0.4657,0.5857,0.3947,0.5255,0.4601
8,0.1303,0.6009,0.5171,0.9725,0.5941,0.7833,0.7181,0.4578,0.5879,0.4012,0.5177,0.4595
8.1,0.1361,0.6067,0.5399,0.9818,0.5868,0.7843,0.7332,0.4531,0.5932,0.4121,0.513,0.4626
8.2,0.145,0.6072,0.5648,0.9847,0.5774,0.7811,0.7493,0.4515,0.6004,0.4278,0.5116,0.4697
8.3,0.1567,0.6026,0.59,0.9813,0.5644,0.7729,0.7643,0.4518,0.608,0.4484,0.513,0.4807
8.4,0.171,0.5933,0.6139,0.9724,0.548,0.7602,0.7772,0.4531,0.6152,0.4731,0.5169,0.495
8.5,0.1877,0.5796,0.6348,0.959,0.5296,0.7443,0.7883,0.4545,0.6214,0.5006,0.5224,0.5115
8.6,0.2073,0.5615,0.6511,0.9413,0.5103,0.7258,0.7976,0.4552,0.6264,0.5294,0.5286,0.529
8.7,0.23,0.539,0.6617,0.9193,0.4902,0.7047,0.8049,0.4548,0.6298,0.558,0.5348,0.5464
8.8,0.254,0.5132,0.6663,0.8933,0.4688,0.681,0.8095,0.4532,0.6314,0.5855,0.5407,0.5631
8.9,0.2764,0.4856,0.6655,0.864,0.4459,0.6549,0.8107,0.4502,0.6304,0.611,0.5464,0.5787
9,0.2945,0.4576,0.6601,0.8323,0.4221,0.6272,0.8079,0.4459,0.6269,0.6337,0.5518,0.5928
9.1,0.307,0.4297,0.6509,0.7988,0.3979,0.5983,0.8013,0.4402,0.6207,0.6523,0.5565,0.6044
9.2,0.3142,0.4021,0.6384,0.7642,0.3735,0.5688,0.7917,0.4328,0.6123,0.6657,0.56,0.6128
9.3,0.3175,0.3749,0.6234,0.7291,0.3489,0.539,0.7798,0.4234,0.6016,0.6735,0.5619,0.6177
9.4,0.3177,0.3475,0.6062,0.6936,0.3237,0.5086,0.766,0.4113,0.5886,0.6757,0.5618,0.6187
9.5,0.315,0.3191,0.5876,0.6577,0.297,0.4774,0.7502,0.396,0.5731,0.6727,0.5594,0.616
9.6,0.3096,0.2891,0.5684,0.6211,0.2692,0.4451,0.7319,0.3775,0.5547,0.6651,0.555,0.61
9.7,0.3022,0.2574,0.5485,0.5838,0.2409,0.4123,0.7107,0.3562,0.5335,0.6536,0.5487,0.6011
9.8,0.2938,0.2243,0.5274,0.5466,0.2133,0.38,0.6869,0.3324,0.5097,0.6386,0.5407,0.5897
9.9,0.286,0.1911,0.5052,0.5112,0.1881,0.3497,0.6612,0.3069,0.4841,0.6209,0.5314,0.5762
10,0.2792,0.1593,0.4828,0.4794,0.1667,0.323,0.6353,0.2811,0.4582,0.6014,0.5214,0.5614
10.1,0.2725,0.13,0.462,0.4522,0.1503,0.3013,0.6102,0.2569,0.4335,0.5811,0.5117,0.5464
10.2,0.2654,0.1041,0.4441,0.4301,0.1397,0.2849,0.586,0.2356,0.4108,0.5609,0.503,0.5319
10.3,0.2574,0.0823,0.4286,0.4131,0.1354,0.2743,0.5619,0.2173,0.3896,0.5412,0.4953,0.5183
10.4,0.2486,0.0655,0.4147,0.4019,0.1377,0.2698,0.5375,0.2014,0.3695,0.523,0.4887,0.5058
10.5,0.2383,0.0545,0.4023,0.3978,0.1467,0.2722,0.5136,0.1881,0.3508,0.5072,0.4836,0.4954
10.6,0.2256,0.05,0.3929,0.4021,0.1629,0.2825,0.4918,0.1786,0.3352,0.4951,0.4809,0.488
10.7,0.209,0.0526,0.3891,0.4153,0.1874,0.3014,0.4742,0.1745,0.3243,0.4876,0.4814,0.4845
10.8,0.1875,0.0625,0.3932,0.4372,0.2213,0.3292,0.462,0.1773,0.3197,0.4855,0.486,0.4858
10.9,0.1614,0.0803,0.4067,0.4672,0.2652,0.3662,0.4558,0.1877,0.3218,0.49,0.4953,0.4926
11,0.1321,0.1063,0.4298,0.5054,0.3184,0.4119,0.4564,0.2057,0.3311,0.5021,0.5092,0.5056
11.1,0.1019,0.1397,0.462,0.5515,0.3792,0.4654,0.4646,0.2319,0.3483,0.5228,0.5269,0.5249
11.2,0.0722,0.1784,0.502,0.6035,0.4443,0.5239,0.4804,0.2663,0.3734,0.5518,0.5475,0.5496
11.3,0.0439,0.2205,0.5476,0.6577,0.51,0.5839,0.5022,0.3078,0.405,0.5875,0.5695,0.5785
11.4,0.0182,0.2635,0.596,0.7105,0.5725,0.6415,0.5272,0.3531,0.4402,0.6279,0.5915,0.6097
11.5,-0.0039,0.3056,0.6447,0.7598,0.6292,0.6945,0.5529,0.3986,0.4757,0.6707,0.6121,0.6414
11.6,-0.0222,0.3453,0.6923,0.805,0.6791,0.742,0.5781,0.4415,0.5098,0.7138,0.6303,0.672
11.7,-0.0363,0.381,0.7378,0.846,0.7222,0.7841,0.6028,0.4809,0.5419,0.7545,0.6452,0.6999
11.8,-0.0456,0.4114,0.7796,0.8822,0.7587,0.8205,0.6274,0.5171,0.5722,0.7898,0.6559,0.7229
11.9,-0.0499,0.4359,0.816,0.9124,0.7885,0.8505,0.6513,0.5505,0.6009,0.8174,0.6612,0.7393
12,-0.05,0.4549,0.8457,0.9359,0.8112,0.8736,0.6736,0.5808,0.6272,0.8361,0.6607,0.7484
12.1,-0.0467,0.4697,0.8685,0.9528,0.8268,0.8898,0.6926,0.6072,0.6499,0.8463,0.655,0.7506
12.2,-0.0417,0.4816,0.8841,0.9641,0.8362,0.9001,0.7073,0.6292,0.6683,0.8483,0.645,0.7467
12.3,-0.0371,0.4911,0.8913,0.9706,0.8408,0.9057,0.7175,0.6465,0.682,0.8425,0.6314,0.7369
12.4,-0.0339,0.4981,0.8889,0.9727,0.8422,0.9074,0.7231,0.6589,0.691,0.8287,0.6144,0.7215
12.5,-0.0331,0.5024,0.8764,0.9705,0.8412,0.9058,0.7238,0.6663,0.695,0.807,0.5939,0.7004
12.6,-0.0357,0.504,0.8552,0.9638,0.8382,0.901,0.7188,0.6688,0.6938,0.7782,0.5698,0.674
12.7,-0.0423,0.5036,0.8266,0.9531,0.8328,0.893,0.7066,0.6666,0.6866,0.7433,0.5428,0.6431
12.8,-0.0539,0.5014,0.7915,0.9382,0.8244,0.8813,0.6863,0.6601,0.6732,0.7033,0.5135,0.6084
12.9,-0.0717,0.497,0.7506,0.9186,0.8118,0.8652,0.6581,0.6497,0.6539,0.6593,0.4837,0.5715
13,-0.0964,0.4903,0.7052,0.8935,0.7941,0.8438,0.6237,0.6359,0.6298,0.6127,0.4551,0.5339
13.1,-0.1272,0.4816,0.6581,0.8627,0.7713,0.817,0.5852,0.6197,0.6024,0.5649,0.4291,0.497
13.2,-0.1626,0.4713,0.613,0.8264,0.7438,0.7851,0.5443,0.6023,0.5733,0.5172,0.4062,0.4617
13.3,-0.2017,0.4598,0.5728,0.7857,0.7123,0.749,0.502,0.5847,0.5434,0.4707,0.3864,0.4286
13.4,-0.2436,0.447,0.5394,0.7415,0.6774,0.7095,0.4588,0.5678,0.5133,0.4265,0.3699,0.3982
13.5,-0.2867,0.4328,0.513,0.6941,0.6397,0.6669,0.4154,0.552,0.4837,0.3859,0.3578,0.3719
13.6,-0.3283,0.4175,0.4932,0.6441,0.5998,0.6219,0.3735,0.5374,0.4554,0.3507,0.3513,0.351
13.7,-0.3658,0.4017,0.4799,0.5928,0.5589,0.5759,0.3349,0.5243,0.4296,0.3228,0.3509,0.3368
13.8,-0.398,0.3865,0.4734,0.5424,0.5186,0.5305,0.3017,0.5135,0.4076,0.3036,0.3568,0.3302
13.9,-0.4247,0.3725,0.4737,0.4949,0.4801,0.4875,0.2752,0.506,0.3906,0.2934,0.3686,0.331
14,-0.4456,0.3605,0.4797,0.4517,0.4447,0.4482,0.2556,0.5021,0.3789,0.2918,0.3848,0.3383
